Charge / Procedure Number,CPT / HCPCS Code,Billing Description,CDM Price
629917,,CT Guidance Tissue Ablation - Report,845.00
629924,,XR TMJ Open and Closed Right - Report,61.00
629929,,XR TMJ Open and Closed Left - Report,61.00
629931,,CT Hand wo + with Contrast Left - Report,473.00
629933,,XR TMJ Open and Closed Bilateral - Report,73.00
629939,,CT Hand wo + with Contrast Right - Report,473.00
629941,,CT Hand with Contrast Left - Report,449.00
629945,,CT Hand with Contrast Right - Report,449.00
629951,,CT Hand without Contrast Left - Report,411.00
629953,,zzXR Teeth Single View - Report,26.00
629955,,CT Hand without Contrast Right - Report,411.00
629957,,zzXR Teeth Partial - Report,46.00
629959,,CT Head or Brain wo + with Contrast - Report,654.00
629961,,zzXR Teeth Complete Full Mouth - Report,57.00
629963,,CT Head or Brain with Contrast - Report,549.00
629967,,CT Head or Brain without Contrast - Report,489.00
629973,,CT Hip wo + with Contrast Left - Report,548.00
629975,,XR Sternum Minimum 2 Views - Report,68.00
629981,,CT Hip wo + with Contrast Right - Report,548.00
629985,,CT Hip with Contrast Left - Report,456.00
629987,,XR Spine Thoracolumbar 2 Views - Report,82.00
629989,,CT Hip with Contrast Right - Report,456.00
629993,,CT Hip without Contrast Left - Report,430.00
629995,,XR Spine Thoracic Minimum 4 Views - Report,82.00
629998,,CT Hip without Contrast Right - Report,430.00
629999,,XR Spine Thoracic 3 Views - Report,79.00
630003,,XR Spine Thoracic 2 Views - Report,76.00
630005,,CT Humerus wo + with Contrast Left - Report,473.00
630009,,CT Humerus wo + with Contrast Right - Report,473.00
630013,,XR Spine Scoliosis Supine + Standing - Report,102.00
630015,,CT Humerus with Contrast Left - Report,449.00
630018,,CT Humerus with Contrast Right - Report,449.00
630019,,XR Spine Scoliosis Study Standing - Report,87.00
630023,,XR Spine Lumbosacral Minimum 4 Views - Report,107.00
630025,,CT Humerus without Contrast Right - Report,411.00
630029,,zzXR Spine Lumbosacral Complete w Bending - Report,164.00
630031,,CT Knee wo + with Contrast Left - Report,548.00
630035,,CT Knee wo + with Contrast Right - Report,548.00
630039,,CT Knee with Contrast Left - Report,456.00
630041,,CT Knee with Contrast Right - Report,456.00
630045,,CT Knee without Contrast Left - Report,548.00
630047,,CT Knee without Contrast Right - Report,548.00
630050,,XR Spine Lumbosacral 2 or 3 Views - Report,74.00
630051,,CT Spine Lumbar wo + with Contrast - Report,604.00
630053,,CT Spine Lumbar with Contrast - Report,510.00
630055,,XR Spine Entire Survey AP/Lat - Report,122.00
630057,,CT Spine Lumbar without Contrast - Report,438.00
630059,,CT Limited or Localized Follow Up Study - Report,340.00
630085,,XR Small Bowel with Serial Films - Report,119.00
630087,,CT Maxillofacial wo + with Contrast - Report,700.00
630089,,XR Small Bowel via Enteroclysis Tube - Report,149.00
630091,,CT Maxillofacial with Contrast - Report,562.00
630095,,CT Maxillofacial without Contrast - Report,442.00
630101,,XR Sinuses Paranasal Complete - Report,78.00
630107,,XR Sinuses Paranasal Less Than 3 Views - Report,49.00
630109,,CT Pelvis wo + with Contrast - Report,537.00
630111,,XR Sialogram - Report,92.00
630113,,CT Pelvis with Contrast - Report,489.00
630115,,CT Pelvis without Contrast - Report,597.00
630117,,XR Shuntogram Non-Vascular - Report,131.00
630133,,CT Shoulder wo + with Contrast Left - Report,473.00
630135,,CT Shoulder wo + with Contrast Right - Report,473.00
630139,,CT Shoulder with Contrast Left - Report,449.00
630141,,CT Shoulder with Contrast Right - Report,449.00
630143,,XR Shoulder 1 View Right - Report,57.00
630147,,XR Shoulder 1 View Left - Report,57.00
630149,,CT Shoulder without Contrast Left - Report,411.00
630153,,CT Shoulder without Contrast Right - Report,411.00
630155,,CT Soft Tissue Neck wo + with Contrast - Report,596.00
630157,,XR Sella Turcica - Report,58.00
630159,,CT Soft Tissue Neck with Contrast - Report,544.00
630161,,CT Soft Tissue Neck without Contrast - Report,530.00
630163,,XR Scapula Right - Report,58.00
630166,,CT Spine Thoracic wo + with Contrast - Report,522.00
630167,,XR Scapula Left - Report,58.00
630169,,CT Spine Thoracic with Contrast - Report,554.00
630173,,CT Spine Thoracic without Contrast - Report,449.00
630175,,XR Salivary Gland Calculus Right - Report,58.00
630179,,XR Salivary Gland Calculus Left - Report,58.00
630185,,CT Tibia-Fibula wo + w Contrast Left - Report,548.00
630187,,XR Sacrum Coccyx Minimum 2 Views - Report,62.00
630189,,CT Tibia-Fibula wo + w Contrast Right - Report,548.00
630195,,CT Tibia-Fibula with Contrast Left - Report,456.00
630197,,XR Sacroiliac Joints Minimum 3 Views - Report,69.00
630199,,CT Tibia-Fibula with Contrast Right - Report,456.00
630204,,CT Tibia-Fibula without Contrast Left - Report,430.00
630206,,CT Tibia-Fibula without Contrast Right - Report,430.00
630216,,XR Sacroiliac Joints 1 or 2 Views - Report,61.00
630218,,XR Ribs with PA Chest Right - Report,93.00
630224,,XR Ribs with PA Chest Left - Report,93.00
630228,,XR Ribs 2 Views Right - Report,73.00
630230,,XR Ribs 2 Views Left - Report,73.00
630232,,XR Ribs 3 Views Bilateral - Report,96.00
630238,,XR Pharynx or Larynx with Fluoroscopy - Report,85.00
630250,,CT Wrist wo + with Contrast Left - Report,473.00
630252,,CT Wrist wo + with Contrast Right - Report,473.00
630256,,CT Wrist with Contrast Left - Report,449.00
630258,,CT Wrist with Contrast Right - Report,449.00
630262,,CT Wrist without Contrast Left - Report,411.00
630264,,CT Wrist without Contrast Right - Report,411.00
630266,,XR Peritoneogram - Report,146.00
630268,,XR Cystography - Report,155.00
630270,,zzXR Perineogram - Report,299.00
630282,,XR Pelvis Complete Minimum 3 Views - Report,84.00
630286,,XR Pelvis 1 View - Report,64.00
630288,,XR Pelvis and Hips Infant or Child - Report,62.00
630296,,zzXR Pacemaker Insertion - Report,184.00
630304,,XR Optic Foramina Right - Report,62.00
630306,,XR Optic Foramina Left - Report,62.00
630308,,XR Neck Soft Tissue - Report,49.00
630310,,XR Nasal Bones Minimum 3 Views - Report,50.00
630312,,XR Myelography Thoracic Spine - Report,354.00
630314,,XR Myelography Posterior Fossa - Report,212.00
630316,,XR Myelography Lumbosacral - Report,347.00
630318,,XR Myelography Spine 2 or More Areas - Report,515.00
630322,,XR Mastoids Complete Right - Report,87.00
630324,,XR Mastoids Complete Left - Report,87.00
630328,,XR Mastoids Less Than 3 Views Right - Report,55.00
630334,,XR Mastoids Less Than 3 Views Left - Report,55.00
630338,,XR Mandible Partial Less Than 4 Views - Report,45.00
630340,,XR Mandible Complete Minimum 4 Views - Report,84.00
630357,,XR Knee 1 View Right - Report,53.00
630362,,XR Knee 1 View Left - Report,53.00
630396,,XR Knee 3 Views Right - Report,61.00
630402,,zzXR Biliary Drain Transhep Perc Int + Ext - Report,458.00
630404,,XR Knee 3 Views Left - Report,61.00
630406,,zzXR Biliary Drain Transhep Perc with Cont - Report,430.00
630418,,XR IVP - Report,146.00
630422,,XR Internal Audio Meati Complete Left - Report,110.00
630426,,XR Hysterosalpingography - Report,125.00
630440,,XR Hip Operative Right - Report,84.00
630444,,XR Hip Operative Left - Report,84.00
630462,,XR Hip Bilateral with Pelvis - Report,98.00
630466,,XR Hip 1 View Right - Report,62.00
630470,,XR Hip 1 View Left - Report,62.00
630475,,XR Hand Complete Right - Report,56.00
630480,,XR Hand Complete Left - Report,56.00
630490,,XR Hand 2 Views Right - Report,49.00
630492,,zzXR Enteroclysis Tube Placement - Report,239.00
630494,,XR Hand 2 Views Left - Report,49.00
630499,,XR ERCP Pancreatic Duct - Report,153.00
630504,,XR Foreign Body Loc Nose to Rectum Child - Report,62.00
630512,,XR Foreign Body Loc Eye Bilateral - Report,76.00
630514,,XR Naso-oro Gastric-Tube Placement Requiring Physician skill and Fluoroscopic Guidance - Report,397.00
630520,,XR Forearm 2 Views Right - Report,55.00
630524,,XR Forearm 2 Views Left - Report,55.00
630526,,XR Loopogram - Report,150.00
630534,,XR Foot Complete Right - Report,49.00
630550,,XR Foot Complete Left - Report,49.00
630551,,XR Nephrostogram,758.00
630553,,XR Nephrostogram - Report,150.00
630556,,XR Foot 2 Views Right - Report,43.00
630560,,XR Foot 2 Views Left - Report,43.00
630570,,XR Fluoroscopy Up to 1 Hour - Report,82.00
630574,,XR Renal Cyst Study Translumbar Left - Report,163.00
630584,,XR Fluoroscopy Over 1 Hour - Report,299.00
630587,,zzXR Transhepatic Portography w Hemo Eval - Report,969.00
630588,,XR Fluoro Guidance Needle Placement - Report,204.00
630590,,zzXR Transhepatic Portography wo Hemo Eval - Report,932.00
630592,,XR Fluoro Guidance Needle Loc Spine - Report,210.00
630596,,XR Fistula or Sinus Tract Abscess Study - Report,187.00
630658,,MA Mammary Ductogram Multiple Ducts Left - Report,214.00
630664,,XR Facial Bones Minimum 3 Views - Report,85.00
630667,,MA Mammary Ductogram Multiple Ducts Right - Report,214.00
630668,,XR Facial Bones Less Than 3 Views - Report,73.00
630674,,MA Mammary Ductogram Single Duct Left - Report,174.00
630678,,MA Mammary Ductogram Single Duct Right - Report,174.00
630680,,XR Elbow Complete Right - Report,60.00
630682,,MA Mammogram Diagnostic Bilateral - Report,372.00
630684,,XR Elbow Complete Left - Report,60.00
630688,,XR Elbow 2 Views Right - Report,47.00
630690,,XR Elbow 2 Views Left - Report,47.00
630694,,zzXR Duodenography Hypotonic - Report,267.00
630704,,MA Mammogram Screening - Report,311.00
630714,,zzXR Dacryocystography - Report,93.00
630720,,MRA Head wo + with Contrast - Report,720.00
630722,,MRA Head with Contrast - Report,422.00
630724,,MRA Head without Contrast - Report,458.00
630726,,XR Arthrogram Wrist Right - Report,144.00
630732,,XR Arthrogram Wrist Left - Report,144.00
630738,,MRA Neck wo + with Contrast - Report,679.00
630740,,MRA Neck with Contrast - Report,456.00
630742,,XR Arthrogram Shoulder Right - Report,186.00
630744,,MRA Neck without Contrast - Report,448.00
630746,,XR Arthrogram Shoulder Left - Report,186.00
630756,,XR Arthrogram Sacroiliac Joint Left - Report,239.00
630760,,XR Arthrogram Knee Right - Report,178.00
630762,,MRA Upper Extremity w or wo Cont Left - Report,693.00
630764,,XR Arthrogram Knee Left - Report,178.00
630772,,XR Arthrogram Hip Right - Report,175.00
630774,,XR Arthrogram Hip Left - Report,175.00
630784,,XR Arthrogram Elbow Right - Report,178.00
630786,,XR Arthrogram Elbow Left - Report,178.00
630829,,US Transvaginal Non-OB - Report,190.00
630830,,MRI Elbow wo + with Contrast Left - Report,"1,057.00"
630832,,MRI Elbow wo + with Contrast Right - Report,"1,057.00"
630840,,MRI Elbow with Contrast Left - Report,696.00
630842,,MRI Elbow with Contrast Right - Report,696.00
630846,,MRI Elbow without Contrast Left - Report,755.00
630848,,US Spinal Canal - Report,231.00
630850,,MRI Elbow without Contrast Right - Report,755.00
630852,,US Scrotum (Contents) - Report,288.00
630855,,MRI Orbit Face Neck wo + with Contrast - Report,"1,019.00"
630856,,US Retroperitoneal Limited - Report,255.00
630858,,MRI Orbit Face Neck with Contrast - Report,700.00
630860,,MRI Orbit Face Neck without Contrast - Report,565.00
630864,,MRI Femur wo + with Contrast Left - Report,929.00
630866,,MRI Femur wo + with Contrast Right - Report,929.00
630870,,MRI Femur with Contrast Left - Report,679.00
630872,,MRI Femur with Contrast Right - Report,679.00
630876,,MRI Femur without Contrast Left - Report,525.00
630878,,MRI Femur without Contrast Right - Report,525.00
630882,,MRI Foot wo + with Contrast Left - Report,929.00
630884,,MRI Foot wo + with Contrast Right - Report,929.00
630888,,MRI Foot with Contrast Left - Report,679.00
630890,,MRI Foot with Contrast Right - Report,679.00
630894,,US Retroperitoneal Complete - Report,212.00
630898,,MRI Foot without Contrast Left - Report,525.00
630900,,zzUS Prostate Transrectal - Report,251.00
630902,,MRI Foot without Contrast Right - Report,525.00
630911,,MRI Forearm wo + with Contrast Left - Report,983.00
630915,,MRI Forearm wo + with Contrast Right - Report,983.00
630924,,MRI Forearm with Contrast Left - Report,604.00
630926,,US Pelvic Non-OB Limited - Report,201.00
630928,,MRI Forearm with Contrast Right - Report,604.00
630930,,US Pelvic Non-OB Complete - Report,185.00
630938,,MRI Forearm without Contrast Left - Report,482.00
630943,,MRI Forearm without Contrast Right - Report,482.00
630946,,MRI Guidance for Injection - Report,537.00
630950,,MRI Guidance Tissue Ablation - Report,913.00
630954,,MRI Hand wo + with Contrast Left - Report,983.00
630956,,MRI Hand wo + with Contrast Right - Report,983.00
630964,,MRI Hand with Contrast Left - Report,604.00
630968,,MRI Hand with Contrast Right - Report,604.00
630974,,MRI Hand without Contrast Left - Report,482.00
630977,,MRI Hand without Contrast Right - Report,482.00
630983,,MRI Hip wo + with Contrast Left - Report,"1,063.00"
630986,,MRI Hip wo + with Contrast Right - Report,"1,063.00"
630996,,MRI Hip with Contrast Left - Report,742.00
631000,,MRI Hip with Contrast Right - Report,742.00
631008,,MRI Hip without Contrast Left - Report,776.00
631012,,MRI Hip without Contrast Right - Report,776.00
631022,,MRI Humerus wo + with Contrast Left - Report,983.00
631026,,US Drainage Abscess or Cyst - Report,464.00
631028,,MRI Humerus wo + with Contrast Right - Report,983.00
631034,,MRI Humerus with Contrast Left - Report,604.00
631038,,MRI Humerus with Contrast Right - Report,604.00
631070,,MRI Humerus without Contrast Left - Report,482.00
631074,,MRI Humerus without Contrast Right - Report,482.00
631084,,MRI Knee wo + with Contrast Left - Report,"1,063.00"
631090,,MRI Knee wo + with Contrast Right - Report,"1,063.00"
631098,,MRI Knee with Contrast Left - Report,742.00
631103,,MRI Knee with Contrast Right - Report,742.00
631104,,US Fetal Biophysical Profile w Non-Str - Report,302.00
631109,,US Fetal Biophysical Profile wo Non-Str - Report,266.00
631114,,MRI Knee without Contrast Left - Report,776.00
631122,,MRI Knee without Contrast Right - Report,776.00
631128,,US Guided Fetal Transfusion - Report,389.00
631142,,US Follow Up Study - Report,99.00
631151,,US Soft Tissue Head - Neck or Thyroid,711.00
631152,,US Soft Tissue Head - Neck or Thyroid - Report,141.00
631192,,US Guidance Tissue Ablation - Report,458.00
631200,,MRI Pelvis wo + with Contrast - Report,"1,091.00"
631204,,MRI Pelvis with Contrast - Report,763.00
631209,,US Guided Intraoperative - Report,308.00
631210,,MRI Pelvis without Contrast - Report,563.00
631218,,MRI Shoulder wo + with Contrast Left - Report,"1,057.00"
631220,,MRI Shoulder wo + with Contrast Right - Report,"1,057.00"
631228,,MRI Shoulder with Contrast Left - Report,696.00
631234,,MRI Shoulder with Contrast Right - Report,696.00
631247,,MRI Shoulder without Contrast Left - Report,755.00
631253,,MRI Shoulder without Contrast Right - Report,755.00
631278,,MRI Spine Lumbar wo + with Contrast - Report,"1,436.00"
631284,,MRI Spine Lumbar with Contrast - Report,"1,018.00"
631288,,MRI Spine Lumbar without Contrast - Report,926.00
631290,,MRI Spine Thoracic with Contrast - Report,974.00
631294,,MRI Spine Thoracic wo + with Contrast - Report,"1,417.00"
631296,,MRI Spine Thoracic without Contrast - Report,920.00
631302,,MRI Tibia-Fibula wo + with Contrast Left - Report,929.00
631307,,MRI Tibia-Fibula wo +with Contrast Right - Report,929.00
631320,,MRI Tibia-Fibula with Contrast Left - Report,679.00
631326,,MRI Tibia-Fibula with Contrast Right - Report,679.00
631337,,MRI Tibia-Fibula without Contrast Left - Report,525.00
631344,,MRI Tibia-Fibula without Contrast Right - Report,525.00
631424,,MRI Wrist with + without Contrast Left - Report,"1,057.00"
631431,,MRI Wrist with + without Contrast Right - Report,"1,057.00"
631450,,MRI Wrist with Contrast Left - Report,696.00
631455,,MRI Wrist with Contrast Right - Report,696.00
631466,,MRI Wrist without Contrast Left - Report,755.00
631484,,MRI Wrist without Contrast Right - Report,755.00
631567,82150,Amylase Level,122.00
631588,,After Hours Visit,150.00
631589,,Antepartum Care 4-6 Visits,"1,580.00"
631590,,Antepartum Care 7 or More Visits,"3,239.00"
631605,,Critical Care Services Evaluation and Treatment for Each Additional 30 Minutes,735.00
631606,,Critical Care Services Evaluation and Treatment for First 30 - 74 Minutes,"1,523.00"
631607,,Work Related or Medical Disability Insurance Evaluation by Treating Provider,622.00
631608,,Work Related or Medical Disability Insurance Evaluation by Other Than Treating Provider,"1,043.00"
631615,,Emergency Department Visit Level 1,212.00
631616,,Emergency Department Visit Level 2,365.00
631617,,Emergency Department Visit Level 3,714.00
631618,,Emergency Department Visit Level 4,"1,165.00"
631619,,Emergency Department Visit Level 5,"1,911.00"
631625,,Home Visit Level 1 Established,155.00
631626,,Home Visit Level 1 New,180.00
631627,,Home Visit Level 2 Established,235.00
631628,,Home Visit Level 2 New,236.00
631629,,Home Visit Level 3 Established,352.00
631630,,Home Visit Level 3 New,361.00
631631,,Home Visit Level 4 Established,473.00
631632,,Home Visit Level 4 New,505.00
631633,,Home Visit Level 5 New,590.00
631634,,Hospital Discharge Day Management 30 min or Less,284.00
631635,,Hospital Discharge Day Management More Than 30 min,422.00
631636,,Initial Hospital Care Level 1,406.00
631637,,Initial Hospital Care Level 2,507.00
631638,,Initial Hospital Care Level 3,721.00
631639,,Inpatient Consultation Level 1,166.00
631640,,Inpatient Consultation Level 2,264.00
631641,,Inpatient Consultation Level 3,394.00
631642,,Inpatient Consultation Level 4,492.00
631643,,Inpatient Consultation Level 5,700.00
631645,,Initial Observation Care Level 1,308.00
631646,,Initial Observation Care Level 2,393.00
631647,,Initial Observation Care Level 3,575.00
631648,99211,Life Insurance Physical,258.00
631660,,Observation/ Same Day Inpatient Care Level 1,524.00
631661,,Observation/ Same Day Inpatient Care Level 2,666.00
631662,,Observation/ Same Day Inpatient Care Level 3,912.00
631663,,Observation Care Discharge,197.00
631664,99211,Office Consultation Level 1,258.00
631665,99211,Office Consultation Level 2,258.00
631666,99211,Office Consultation Level 3,258.00
631667,99211,Office Consultation Level 4,258.00
631668,99211,Office Consultation Level 5,258.00
631670,99211,Office/Outpatient Visit Level 1 Established,258.00
631671,99211,Office/Outpatient Visit Level 1 New,288.00
631672,99211,Office/Outpatient Visit Level 2 Established,258.00
631673,99211,Office/Outpatient Visit Level 2 New,258.00
631674,99211,Office/Outpatient Visit Level 3 Established,258.00
631675,99211,Office/Outpatient Visit Level 3 New,258.00
631676,99211,Office/Outpatient Visit Level 4 Established,258.00
631677,99211,Office/Outpatient Visit Level 4 New,258.00
631678,99211,Office/Outpatient Visit Level 5 Established,258.00
631679,99211,Office/Outpatient Visit Level 5 New,258.00
631688,,"Physician Direction of EMS, Advanced Life Support",609.00
631690,99211,Postoperative Follow-Up Visit Included in Global Service,258.00
631691,,Postpartum Care only,593.00
631692,,Periodic Comprehensive Preventive Medicine 1-4 years Established,285.00
631693,,Initial Comprehensive Preventive Medicine 1-4 years New,346.00
631694,,Periodic Comprehensive Preventive Medicine 12-17 years Established,308.00
631695,,Initial Comprehensive Preventive Medicine 12-17 years New,368.00
631696,,Periodic Comprehensive Preventive Medicine 18-39 years Established,347.00
631697,,Initial Comprehensive Preventive Medicine 18-39 years New,418.00
631698,,Periodic Comprehensive Preventive Medicine 40-64 years Established,393.00
631699,,Initial Comprehensive Preventive Medicine 40-64 years New,458.00
631700,,Periodic Comprehensive Preventive Medicine 5-11 years Established,285.00
631701,,Initial Comprehensive Preventive Medicine 5-11 years New,353.00
631702,,Periodic Comprehensive Preventive Medicine 65+ years Established,425.00
631703,,Initial Comprehensive Preventive Medicine 65+ years New,504.00
631704,,Periodic Comprehensive Preventive Medicine < 1 year Established,282.00
631705,,Initial Comprehensive Preventive Medicine < 1 year New,329.00
631707,,Unlisted Preventive Medicine Services,104.00
631708,,"Preventive Medicine, Group Counseling Approximately 30 Minutes",101.00
631709,,"Preventive Medicine, Group Counseling Approximately 60 Minutes",122.00
631710,,Prolonged Physician Service Inpatient with Direct Patient Contact Each Additional 30 Minutes,342.00
631711,,Prolonged Physician Service Inpatient with Direct Patient Contact First Hour,361.00
631712,,Prolonged Physician Service Outpatient with Direct Patient Contact  Each Addl 30 Minutes,342.00
631713,,Prolonged Physician Service Without Direct Patient Contact Each Additional 30 Minutes,251.00
631714,,Prolonged Physician Service Without Direct Patient Contact First Hour,535.00
631715,,Risk Factor Counseling 15 min,144.00
631716,,Risk Factor Counseling 30 min,281.00
631717,,Risk Factor Counseling 45 min,366.00
631718,,Risk Factor Counseling 60 min,500.00
631719,,Subsequent Hospital Care Level 1,171.00
631720,,Subsequent Hospital Care Level 2,272.00
631721,,Subsequent Hospital Care Level 3,402.00
633652,82150,Amylase Level Body Fluid,122.00
633653,82150,Amylase Level Urine,122.00
633698,,Cardiolipin Antibody Screen,289.00
633727,85362,Fibrinogen Degradation Products NSHC,221.00
633786,83874,Myoglobin,355.00
633809,84146,Prolactin Level,250.00
633834,84481,T3 Free,275.00
633876,,Manual Differential,119.00
633933,86403,Neisseria meningitidis groups A and Y antigen,156.00
634326,,ABO/Rh,96.00
635589,,CT Humerus without Contrast Left - Report,411.00
651591,76705,Bladder Scan,803.00
657591,,XR Chest Decubitus Right - Report,47.00
661600,,CT Sinus wo + with Contrast - Report,700.00
