DRG NO,DRG DESCRIPTION,AVG. TOTAL CHARGES PER STAY
916,ALLERGIC REACTIONS W/O MCC,"21,166.76 "
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"19,007.00 "
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"14,307.20 "
920,COMPLICATIONS OF TREATMENT W CC,"11,953.23 "
922,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W MCC","15,703.62 "
947,SIGNS & SYMPTOMS W MCC,"43,413.08 "
948,SIGNS & SYMPTOMS W/O MCC,"10,012.10 "
959,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W/O CC,"27,621.47 "
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W,"21,294.50 "
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W C,"21,740.79 "
