DRG #,DRG Description,Average Charge for each Inpatient  Admission
249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,"$63,867.82"
250,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,"$87,461.57"
251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,"$81,631.38"
252,OTHER VASCULAR PROCEDURES W MCC,"$101,101.40"
253,OTHER VASCULAR PROCEDURES W CC,"$59,600.74"
254,OTHER VASCULAR PROCEDURES W/O CC/MCC,"$67,197.93"
259,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,"$67,919.50"
262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,"$37,504.17"
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"$76,571.62"
268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,"$202,882.51"
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,"$92,450.94"
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,"$68,671.43"
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,"$117,172.60"
272,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,"$64,905.08"
274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,"$74,269.08"
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","$49,242.83"
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","$40,270.12"
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","$30,192.56"
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC","$55,932.01"
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","$64,813.65"
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","$35,995.85"
291,HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"$29,413.15"
292,HEART FAILURE & SHOCK W CC,"$25,080.60"
293,HEART FAILURE & SHOCK W/O CC/MCC,"$18,270.60"
294,DEEP VEIN THROMBOPHLEBITIS W CC/MCC,"$13,844.93"
296,"CARDIAC ARREST, UNEXPLAINED W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)","$55,830.92"
299,PERIPHERAL VASCULAR DISORDERS W MCC,"$39,962.18"
300,PERIPHERAL VASCULAR DISORDERS W CC,"$23,745.34"
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"$19,451.64"
302,ATHEROSCLEROSIS W MCC,"$14,618.83"
303,ATHEROSCLEROSIS W/O MCC,"$22,464.31"
304,HYPERTENSION W MCC,"$22,136.86"
305,HYPERTENSION W/O MCC,"$25,752.14"
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"$37,760.08"
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"$19,649.48"
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"$17,964.01"
312,SYNCOPE & COLLAPSE,"$31,910.33"
313,CHEST PAIN,"$17,583.75"
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"$42,640.25"
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"$22,262.60"
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"$30,744.04"
327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC","$47,068.93"
328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC","$34,955.64"
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"$132,997.28"
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"$81,414.15"
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$53,345.52"
335,PERITONEAL ADHESIOLYSIS W MCC,"$73,304.70"
336,PERITONEAL ADHESIOLYSIS W CC,"$56,115.57"
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,"$25,374.80"
338,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,"$99,255.74"
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,"$31,958.24"
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$39,346.19"
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$26,566.08"
345,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,"$58,666.30"
352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,"$44,100.05"
353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,"$105,005.85"
354,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,"$46,972.44"
355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,"$46,265.57"
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,"$86,262.73"
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"$28,559.85"
369,MAJOR ESOPHAGEAL DISORDERS W CC,"$45,586.57"
371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"$39,402.02"
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"$30,203.88"
373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,"$21,428.37"
374,DIGESTIVE MALIGNANCY W MCC,"$27,174.72"
375,DIGESTIVE MALIGNANCY W CC,"$111,621.58"
377,G.I. HEMORRHAGE W MCC,"$55,592.72"
378,G.I. HEMORRHAGE W CC,"$25,376.95"
379,G.I. HEMORRHAGE W/O CC/MCC,"$18,815.87"
380,COMPLICATED PEPTIC ULCER W MCC,"$39,628.18"
381,COMPLICATED PEPTIC ULCER W CC,"$44,150.09"
383,UNCOMPLICATED PEPTIC ULCER W MCC,"$37,593.64"
384,UNCOMPLICATED PEPTIC ULCER W/O MCC,"$59,901.16"
385,INFLAMMATORY BOWEL DISEASE W MCC,"$122,977.68"
386,INFLAMMATORY BOWEL DISEASE W CC,"$26,058.71"
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"$31,861.47"
388,G.I. OBSTRUCTION W MCC,"$109,135.13"
389,G.I. OBSTRUCTION W CC,"$31,190.87"
390,G.I. OBSTRUCTION W/O CC/MCC,"$15,624.61"
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","$59,222.25"
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","$21,853.04"
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$45,028.64"
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"$31,790.51"
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$10,520.03"
407,"PANCREAS, LIVER & SHUNT PROCEDURES W/O CC/MCC","$89,679.40"
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"$67,177.80"
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"$50,062.30"
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"$37,374.50"
425,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W/O CC/MCC,"$67,868.52"
432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"$36,840.39"
433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,"$31,711.30"
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,"$27,603.11"
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,"$76,084.88"
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"$41,317.75"
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"$30,644.82"
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"$19,779.50"
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","$54,113.60"
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","$32,914.77"
443,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC","$15,647.60"
444,DISORDERS OF THE BILIARY TRACT W MCC,"$34,146.41"
445,DISORDERS OF THE BILIARY TRACT W CC,"$40,465.21"
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"$32,027.22"
455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,"$64,593.97"
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"$77,275.34"
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,"$159,172.17"
463,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC","$118,496.98"
464,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC","$48,696.73"
465,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC","$94,518.28"
466,REVISION OF HIP OR KNEE REPLACEMENT W MCC,"$137,769.23"
467,REVISION OF HIP OR KNEE REPLACEMENT W CC,"$95,481.92"
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"$51,819.64"
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,"$66,703.43"
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$48,409.52"
471,CERVICAL SPINAL FUSION W MCC,"$115,877.95"
473,CERVICAL SPINAL FUSION W/O CC/MCC,"$47,223.92"
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,"$87,798.17"
480,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"$78,495.36"
481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"$68,272.45"
482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"$47,328.16"
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"$70,351.92"
485,KNEE PROCEDURES W PDX OF INFECTION W MCC,"$203,693.80"
487,KNEE PROCEDURES W PDX OF INFECTION W/O CC/MCC,"$51,610.78"
488,KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,"$48,183.97"
489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,"$38,801.42"
492,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC","$81,375.10"
493,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","$82,115.06"
494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","$43,694.90"
501,SOFT TISSUE PROCEDURES W CC,"$70,866.84"
502,SOFT TISSUE PROCEDURES W/O CC/MCC,"$38,044.14"
504,FOOT PROCEDURES W CC,"$36,109.62"
511,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W CC","$62,976.70"
512,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W/O CC/MCC","$31,133.29"
516,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,"$39,209.71"
517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,"$45,477.29"
519,BACK & NECK PROC EXC SPINAL FUSION W CC,"$29,499.72"
520,BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,"$32,084.55"
535,FRACTURES OF HIP & PELVIS W MCC,"$50,780.38"
536,FRACTURES OF HIP & PELVIS W/O MCC,"$12,762.73"
539,OSTEOMYELITIS W MCC,"$21,377.73"
540,OSTEOMYELITIS W CC,"$31,499.76"
543,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,"$24,337.60"
545,CONNECTIVE TISSUE DISORDERS W MCC,"$114,268.64"
546,CONNECTIVE TISSUE DISORDERS W CC,"$32,279.75"
549,SEPTIC ARTHRITIS W CC,"$20,356.40"
551,MEDICAL BACK PROBLEMS W MCC,"$56,895.11"
552,MEDICAL BACK PROBLEMS W/O MCC,"$21,372.03"
554,BONE DISEASES & ARTHROPATHIES W/O MCC,"$11,161.03"
557,"TENDONITIS, MYOSITIS & BURSITIS W MCC","$32,239.23"
558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC","$19,950.83"
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC","$26,118.05"
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC","$12,785.83"
562,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W MCC","$50,857.87"
563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC","$17,566.37"
565,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,"$20,313.42"
570,SKIN DEBRIDEMENT W MCC,"$22,416.16"
571,SKIN DEBRIDEMENT W CC,"$64,175.10"
572,SKIN DEBRIDEMENT W/O CC/MCC,"$27,805.73"
579,"OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC","$150,556.79"
580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC","$28,089.11"
581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC","$29,605.80"
593,SKIN ULCERS W CC,"$17,267.95"
596,MAJOR SKIN DISORDERS W/O MCC,"$21,870.64"
598,MALIGNANT BREAST DISORDERS W CC,"$17,678.74"
599,MALIGNANT BREAST DISORDERS W/O CC/MCC,"$29,300.66"
600,NON-MALIGNANT BREAST DISORDERS W CC/MCC,"$59,711.94"
602,CELLULITIS W MCC,"$58,825.39"
603,CELLULITIS W/O MCC,"$18,781.45"
605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC","$20,242.41"
617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","$54,590.84"
621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC,"$41,556.80"
623,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC","$38,969.32"
626,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC","$62,391.70"
628,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W MCC","$60,639.24"
637,DIABETES W MCC,"$48,487.17"
638,DIABETES W CC,"$21,784.83"
639,DIABETES W/O CC/MCC,"$18,807.44"
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","$29,595.15"
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","$23,507.12"
643,ENDOCRINE DISORDERS W MCC,"$67,231.12"
644,ENDOCRINE DISORDERS W CC,"$21,740.14"
645,ENDOCRINE DISORDERS W/O CC/MCC,"$29,850.22"
654,MAJOR BLADDER PROCEDURES W CC,"$20,893.01"
656,KIDNEY & URETER PROCEDURES FOR NEOPLASM W MCC,"$74,629.00"
657,KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,"$72,819.50"
659,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W MCC,"$122,057.32"
660,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,"$52,967.74"
661,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC,"$34,659.22"
663,MINOR BLADDER PROCEDURES W CC,"$24,020.18"
668,TRANSURETHRAL PROCEDURES W MCC,"$49,514.53"
669,TRANSURETHRAL PROCEDURES W CC,"$38,435.11"
670,TRANSURETHRAL PROCEDURES W/O CC/MCC,"$19,164.16"
673,OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,"$63,548.68"
674,OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,"$73,527.56"
682,RENAL FAILURE W MCC,"$52,688.67"
683,RENAL FAILURE W CC,"$27,704.28"
684,RENAL FAILURE W/O CC/MCC,"$17,351.24"
689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"$35,836.47"
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"$19,666.73"
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"$31,437.45"
696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,"$19,713.28"
698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"$34,249.69"
699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"$25,784.23"
700,OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC,"$15,036.68"
707,MAJOR MALE PELVIC PROCEDURES W CC/MCC,"$40,036.45"
708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,"$38,792.41"
713,TRANSURETHRAL PROSTATECTOMY W CC/MCC,"$73,492.47"
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,"$20,744.45"
736,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W MCC,"$186,206.23"
740,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W CC","$43,136.46"
743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,"$28,642.90"
745,"D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W/O CC/MCC","$68,752.97"
749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W CC/MCC,"$113,915.78"
755,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W CC","$50,513.86"
758,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W CC","$12,140.58"
760,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W CC/MCC,"$25,842.26"
761,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC,"$26,369.23"
768,VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL &/OR D&C,"$18,121.79"
769,POSTPARTUM & POST ABORTION DIAGNOSES W O.R. PROCEDURE,"$38,487.79"
776,POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,"$10,977.36"
784,CESAREAN SECTION W STERILIZATION W CC,"$22,082.44"
785,CESAREAN SECTION W STERILIZATION W/O CC/MCC,"$22,489.45"
786,CESAREAN SECTION W/O STERILIZATION W MCC,"$21,058.28"
787,CESAREAN SECTION W/O STERILIZATION W CC,"$23,624.43"
788,CESAREAN SECTION W/O STERILIZATION W/O CC/MCC,"$20,162.47"
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","$4,092.23"
