CHG #,CHARGE DESCRIPTION,,REV,,CPT,,PRICE,
 4845001,IV THERAPY INITIAL 16min TO 1 HOUR,,260,,96365,,192.00,
 4845014,IV THERAPY EA ADDL HOUR,,260,,96366,,82.00,
 4845015,IV THERAPY INITIAL HR 2ND OR ADDL VISIT,,260,,96365XE,,192.00,
 4845016,IV THERAPY EA ADDL HR 2ND OR ADDL VISIT,,260,,96366XE,,82.00,
 4845018,IV THERAPY CONCURRENT INFUSION PER DAY,,260,,96368,,93.00,
 4845019,IV THERAPY ADDL SEQUENTIAL  NEW DRUG,,260,,96367,,132.00,
 4890760,HYDRATION THERAPY INITIAL 31 MIN TO 1 HR,,260,,96360,,149.00,
 4890761,HYDRATION THERAPY EA ADDL HR,,260,,96361,,68.00,
  500948,REGULAR PACIFIER,,270,,,,3.08,
  501142,EAR AND ULCER SYRINGE RED HEAVY DUTY REU,,270,,,,16.31,
  501635,ORTHODONTIC PACIFIER,,270,,,,13.85,
  700002,DISPOSABLE NURSING PADS PER BOX OF 12,,270,,,,1.89,
  700003,KOTEX THIN MAXI EACH,,270,,,,0.50,
  700014,PERI BOTTLE  8 OZ.,,270,,,,2.60,
  700238,STRETCH MESH PANTS LARGE,,270,,,,2.37,
  700239,STRETCH MESH PANTS MEDIUM,,270,,,,2.37,
  700246,DIAPER BAG BABY,,270,,,,14.83,
  700398,MATERNITY CURITY PAD PER PACKAGE,,270,,,,3.97,
  700505,BELT MATERNITY CURITY HOOK CLS,,270,,,,1.60,
  700891,STRETCH MESH PANTS XL,,270,,,,2.37,
  700931,STRETCH MESH PANTS XXLARGE,,270,,,,2.37,
  700969,UTERINE SPATULA,,270,,,,13.85,
  701032,FETAL MONITOR BELT 52  LONG PINK & BLUE,,270,,,,22.55,
  701294,SANITARY PAD BELT,,270,,,,1.91,
  710020,OB ADMIT KIT,,270,,,,203.58,
  730003,FETAL HEART MONITOR,,270,,,,51.43,
 1200076,RAZOR SHAVE PREP TRAY,,270,,,,13.20,
 1200432,auto suture step reposable 5mm,,270,,,,168.81,
 1200445,ELECTRODE POLYHESIVE DISPOSABLE W/CORD G,,270,,,,22.24,
 1200561,REFILL KIT FOR SYNCHRO MED PUMPS,,270,,,,130.17,
 1200587,BIOGEL SURGICAL GLOVE SIZE 8,,270,,,,15.72,
 1200798,EYE SHIELD VENTILATED CLEAR ACRYLIC ADUL,,270,,,,13.48,
 1200885,LIGACLIP ROTATING MULTIPLE CLIP APPLIER,,270,,,,497.09,
 1201066,BASE LINE PREP KIT,,270,,,,42.59,
 1201307,DRAIN SILICONE ROUND JACK PRAT LIKE 15FR,,270,,,,31.30,
 1204063,COOLER KNEE THERAPY AIRCAST LG,,270,,,,274.04,
 1204065,JUMBO JUG,,270,,,,133.68,
 1204263,EVACUATED CONTAINER EMPTY 1000 ML,,270,,,,49.75,
 1204272,PLANTAR FASCIITS NIGHT BOOT LARGE,,270,,,,80.48,
 1204273,PLANTAR FASCIITS NIGHT BOOT MED,,270,,,,80.48,
 1204274,PLANTAR FASCIITS NIGHT BOOT SMALL,,270,,,,83.68,
 1204275,BODY ARMOR NIGHT SPLINT,,270,,,,136.65,
 1204281,OLYMPUS WATER TUBE AUX. CHANNEL,,270,,,,76.00,
 1204484,ANOSPEC LIGHTED ANOSCOPE,,270,,,,26.28,
 1204532,ULTIPOR 25 FILTER,,270,,,,37.95,
 1204606,PIG FLOOR SUCTION,,270,,,,73.00,
 1204612,DVT GARMENT MED,,270,,,,60.75,
 1204613,DVT GARMENT LG,,270,,,,87.75,
 1204654,COTTON ROLL 1 lb.,,270,,,,28.55,
 1299117,LAP FILM,,270,,,,10.25,
 1500100,AIRWAY BERMAN 40mm NEONATAL,,270,,,,2.60,
 1500101,AIRWAY BERMAN 50mm INFANT,,270,,,,2.60,
 1500262,BREATHING CIRCUIT FILTER NONCONDUCTIVE,,270,,,,15.44,
 1500275,AIRWAY 70MM,,270,,,,6.66,
 1500276,AIRWAY 50MM,,270,,,,6.66,
 1500629,GUEDELL AIRWAY 0,,270,,,,9.45,
 1500630,GUEDELL AIRWAY SIZE 00,,270,,,,9.45,
 1500631,GUEDELL AIRWAY SIZE 000,,270,,,,9.45,
 1500882,AIRWAY 30MM,,270,,,,7.70,
 1500883,AIRWAY 40MM,,270,,,,7.70,
 1501074,AIRWAY 60MM,,270,,,,4.78,
 1501440,ENDOTRACHEAL TUBE HOLDER CHILD (THOMAS),,270,,,,28.08,
 1501441,ENDOTRACHEAL TUBE HOLDER ADULT (THOMAS),,270,,,,28.08,
 1501589,ENDOTRACHEAL TUBE HOLDER ADULT SIZE,,270,,,,23.80,
 1504327,BREATHING CIRCUIT ADULT EXPANDABLE,,270,,,,20.48,
 1504413,AIRWAY 110mm,,270,,,,7.20,
 1504598,AIRWAY NASOL 14FR,,270,,,,47.20,
 1504619,AIRWAY NASOL 18FR,,270,,,,12.24,
 1504620,AIRWAY NASOL 12FR,,270,,,,12.24,
 1700028,THUMB SPICA LEFT SMALL,,270,,,,112.11,
 1700029,THUMB SPICA RIGHT SMALL,,270,,,,112.11,
 1700109,FOREARM SPLINT PADDED ALL SIZES,,270,,,,26.25,
 1700141,EYE OCCLUSOR JUNIOR SIZE,,270,,,,2.60,
 1700190,THUMB SPICA LEFT LARGE,,270,,,,112.11,
 1700203,THUMB SPICA LEFT MEDIUM,,270,,,,112.11,
 1700204,THUMB SPICA RIGHT MEDIUM,,270,,,,112.11,
 1700361,LUMBOSACRAL SUPPORT SMALL,,270,,,,67.18,
 1700433,ANKLE BRACE SMALL,,270,,,,90.58,
 1700472,KNEE IMMOBILIZER XXL,,270,,,,95.68,
 1700473,KNEE IMMOBILIZER XL,,270,,,,155.60,
 1700476,VELPEAU IMMOBILIZER SMALL,,270,,,,28.20,
 1700477,SHOULDER IMMOBILIZER MEN'S SMALL,,270,,,,40.56,
 1700479,HEEL CUPS WAFFLE,,270,,,,28.95,
 1700480,ELBOW SUPPORT UNIVERSAL,,270,,,,30.37,
 1700481,ARM SLING SMALL,,270,,,,24.38,
 1700482,RIB BELT MEN'S XL,,270,,,,27.89,
 1700483,RIB BELT MEN'S LG,,270,,,,27.89,
 1700484,RIB BELT MEN'S MEDIUM,,270,,,,27.89,
 1700485,RIB BELT MEN'S SMALL,,270,,,,27.89,
 1700491,PELVIC TRACTION BELT 26 -30,,270,,,,78.42,
 1700492,PELVIC TRACTION BELT 42 -45,,270,,,,78.42,
 1700493,PELVIC TRACTION BELT 30 -34,,270,,,,78.42,
 1700494,PELVIC TRACTION BELT 46 -50,,270,,,,78.42,
 1700495,PELVIC TRACTION BELT 34 -38,,270,,,,78.42,
 1700496,PELVIC TRACTION BELT 38 -42,,270,,,,78.42,
 1700497,LUMBOSACRAL BRACE REG LEI-BACK,,270,,,,67.18,
 1700589,ABDOMINAL BINDER LG,,270,,,,95.40,
 1700590,ABDOMINAL BINDER XL,,270,,,,94.52,
 1700591,ABDOMINAL BINDER UNISIZE 30-45,,270,,,,61.78,
 1700594,CERVICAL COLAR LG,,270,,,,23.44,
 1700595,CERVICAL COLAR MEDIUM,,270,,,,23.44,
 1700599,CERVICAL COLAR XL,,270,,,,23.44,
 1700603,CERVICAL COLAR SMALL,,270,,,,23.44,
 1700604,SERPENTINE FELT COLLAR SMALL,,270,,,,65.31,
 1700605,LUMBOSACRAL SUPPORT MEDIUM,,270,,,,67.18,
 1700618,WRIST SPLINT LEFT COCKUP SMALL,,270,,,,53.66,
 1700619,WRIST SPLINT LEFT COCKUP MED,,270,,,,53.66,
 1700620,WRIST SPLINT LEFT COCKUP LARGE,,270,,,,53.66,
 1700621,CLAVICAL SPLINT XL,,270,,,,33.70,
 1700622,CLAVICAL SPLINT LARGE,,270,,,,33.70,
 1700623,CLAVICAL SPLINT SMALL,,270,,,,33.70,
 1700624,CLAVICAL SPLINT MEDIUM,,270,,,,33.70,
 1700633,LUMBOSACRAL BRACE XL LEI-BACK,,270,,,,67.18,
 1700647,KNEE SUPPORT ELASTIC XL,,270,,,,7.90,
 1700687,THUMB SPICA LEFT SMALL,,270,,,,112.11,
 1700705,THUMB SPICA RIGHT MEDIUM,,270,,,,112.11,
 1700737,DISPOSABLE RESUSCITATION MASK,,270,,,,19.22,
 1700829,ANKLE BRACE MEDIUM,,270,,,,90.58,
 1700867,ARM SLING PEDIATRIC,,270,,,,24.38,
 1700876,FINGER SPLINT UNIVERSAL,,270,,,,53.66,
 1700879,WRIST SPLINT LEFT COCKUP XL,,270,,,,53.66,
 1700923,WRIST SPLINT RIGHT COCKUP SMALL,,270,,,,53.66,
 1700924,WRIST SPLINT RIGHT COCKUP XL,,270,,,,53.66,
 1700934,ANKLE BRACE LG,,270,,,,90.58,
 1700941,KNEE IMMOBILIZER SMALL,,270,,,,95.68,
 1700942,KNEE IMMOBILIZER MEDIUM,,270,,,,95.68,
 1700982,ANKLE REHAB KIT,,270,,,,118.56,
 1700983,CAST SHOE SMALL,,270,,,,33.70,
 1700984,CAST SHOE MEDIUM,,270,,,,33.70,
 1700985,CAST SHOE LARGE,,270,,,,33.70,
 1700986,CAST SHOE XL,,270,,,,33.70,
 1700987,SHOE POST-OP MALE XL,,270,,,,57.75,
 1700988,SHOE POST-OP FEMALE XL,,270,,,,36.30,
 1701129,KNEE IMMOBILIZER LARGE,,270,,,,95.68,
 1701152,SHOULDER IMMOBILIZER MEN'S MEDIUM,,270,,,,40.56,
 1701153,SHOULDER IMMOBILIZER MEN'S LARGE,,270,,,,40.56,
 1701154,SHOULDER IMMOBILIZER MEN'S X LARGE,,270,,,,40.56,
 1701155,SHOULDER IMMOBILIZER LADIES MEDIUM,,270,,,,40.56,
 1701156,SHOULDER IMMOBILIZER LADIES LARGE,,270,,,,40.56,
 1701157,SHOULDER IMMOBILIZER UNIV. XL,,270,,,,56.00,
 1701158,VELPEAU IMMOBILIZER MEDUIM,,270,,,,28.20,
 1701159,VELPEAU IMMOBILIZER LARGE,,270,,,,28.20,
 1701160,SHOULDER IMMOBILIZER MALE XXL (43-47),,270,,,,43.00,
 1701193,THUMB SPICA RIGHT LARGE,,270,,,,112.11,
 1701202,THUMB SPICA LEFT LARGE,,270,,,,112.11,
 1701219,NOSEBLEED KIT EPISTAXIS,,270,,,,34.63,
 1701220,NOSEBLEED EPISTAXIS BALLON CATHETER,,270,,,,138.82,
 1701228,ANKLE BRACE XL,,270,,,,90.58,
 1701229,CERVICAL COLAR XS,,270,,,,23.44,
 1701230,SHOULDER IMMOBILIZER LADIES SMALL,,270,,,,40.56,
 1701323,ABDOMINAL BINDER UNISIZE 46-62,,270,,,,95.40,
 1701381,COLLAR STIFF NECK INFANT,,270,,,,46.75,
 1701382,COLLAR STIFF NECK PEDIATRIC,,270,,,,70.30,
 1701431,DEFIB PADS 9 X 6,,270,,,,28.90,
 1701432,ARM SLING MEDIUM,,270,,,,24.38,
 1701433,ARM SLING LARGE,,270,,,,24.38,
 1701434,ARM SLING X LARGE,,270,,,,24.38,
 1701435,WRIST SPLINT RIGHT COCKUP MEDIUM,,270,,,,53.66,
 1701436,WRIST SPLINT RIGHT COCKUP LARGE,,270,,,,53.66,
 1701460,MATERNITY SACROILIAC BELT,,270,,,,94.60,
 1701506,SCOTCHCAST PLUS 2IN,,270,,,,16.72,
 1701507,SCOTCHCAST PLUS 3IN,,270,,,,27.37,
 1701508,SCOTCHCAST PLUS 4IN,,270,,,,28.77,
 1701577,COLLAR STIFF NECK UNIVERSAL,,270,,,,70.30,
 1701614,WALKING CAST LOW TOP MEDIUM,,270,,,,153.44,
 1701615,WALKING CAST LOW TOP SMALL,,270,,,,153.44,
 1701616,WALKING CAST LOW TOP LARGE,,270,,,,153.44,
 1701622,WALKING CAST LOW TOP X-SMALL,,270,,,,158.81,
 1701627,CLAVICAL SPLINT XS CHILD,,270,,,,42.95,
 1701636,ABDOMINAL BINDER SMALL,,270,,,,61.78,
 1701637,WRAP KNEE COLD PACKS ORTHO,,270,,,,83.20,
 1701638,COLD SHOULDER THERAPY WRAP,,270,,,,88.28,
 1701651,CLAVICAL SPLINT XXS (INFANT),,270,,,,42.95,
 1701730,SILVADENE CREAM 25gr TUBE,,270,,,,35.52,
 1701739,ANKLE STIRUP REG (X-CELL),,270,,,,85.07,
 1701740,ANKLE STIRUP SMALL (X-CELL),,270,,,,85.07,
 1701743,AIRCAST ANKLE STIRUP RIGHT (TRAINING),,270,,,,129.82,
 1701772,AIRCAST ANKLE STIRUP LEFT (TRAINING),,270,,,,129.82,
 1701775,AIRCAST ANKLE STIRUP RIGHT STANDARD,,270,,,,83.00,
 1701786,AIRCAST ANKLE STIRUP LEFT STANDARD,,270,,,,132.69,
 1701787,ANKLE STABILIZER STANDARD (SPRINT),,270,,,,87.62,
 1701868,THUMB SPLINT LEWIN,,270,,,,59.54,
 1701870,KNEE SUPPORT ELASTIC SMALL,,270,,,,40.46,
 1701871,KNEE SUPPORT ELASTIC MEDIUM,,270,,,,40.46,
 1701872,KNEE SUPPORT ELASTIC LG,,270,,,,40.46,
 1701931,VELPEAU IMMOBILIZER XL,,270,,,,41.81,
 1701993,SHOE POST-OP FEMALE SMALL,,270,,,,36.30,
 1701994,SHOE POST-OP FEMALE MEDIUM,,270,,,,36.30,
 1701995,SHOE POST-OP FEMALE LG,,270,,,,28.50,
 1701996,SHOE POST-OP MALE SMALL,,270,,,,36.30,
 1701997,SHOE POST-OP MALE MEDIUM,,270,,,,26.52,
 1701998,SHOE POST-OP MALE LG,,270,,,,36.30,
 1702034,RIB BELT LADIES XL,,270,,,,27.89,
 1702035,RIB BELT LADIES LG,,270,,,,41.81,
 1702036,RIB BELT LADIES MEDIUM,,270,,,,27.89,
 1702037,RIB BELT LADIES SMALL,,270,,,,27.89,
 1704087,SHOULDER IMMOBILIZER UNIV. X-SMALL,,270,,L3670,,59.75,
 1704088,SHOULDER IMMOBILIZER UNIV. MED,,270,,L3670,,59.35,
 1704089,SHOULDER IMMOBILIZER UNIV. LARGE,,270,,L3670,,59.35,
 1704090,SHOULDER IMMOBILIZER UNIV. SMALL,,270,,L3670,,59.75,
 1704095,HAND COCKUP YOUTH PADDED,,270,,,,34.50,
 1704096,HAND COCKUP ADULT PADDED,,270,,,,34.50,
 1704097,HAND COCKUP CHILD PADDED,,270,,,,34.50,
 1704114,WRIST SPLINT UNIVERSAL,,270,,,,53.80,
 1704140,ANKLE ORTHOSIS WEBLY XS,,270,,,,62.85,
 1704141,ANKLE ORTHOSIS WEBLY S,,270,,,,62.85,
 1704142,ANKLE ORTHOSIS WEBLY MD,,270,,,,62.85,
 1704143,ANKLE ORTHOSIS WEBLY LG,,270,,,,62.85,
 1704144,ANKLE ORTHOSIS WEBLY XL,,270,,,,62.85,
 1704145,ANKLE ORTHOSIS WEBLY XXL,,270,,,,62.85,
 1704153,PATELLA STABILIZER SMALL,,270,,,,100.68,
 1704154,PATELLA STABILIZER MED,,270,,,,100.68,
 1704155,PATELLA STABILIZER LG,,270,,,,100.68,
 1704161,CERV COLLAR 2  UNIV,,270,,,,32.05,
 1704162,CERV COLLAR 3  UNIV,,270,,,,32.05,
 1704163,CERV COLLAR 4  UNIV,,270,,,,32.05,
 1704164,HINGED KNEE ORTHO SMALL 12,,270,,,,112.26,
 1704165,HINGED KNEE ORTHO MED 12,,270,,,,112.26,
 1704166,HINGED KNEE ORTHO LG 12,,270,,,,112.26,
 1704167,HINGED KNEE ORTHO SMALL 16,,270,,,,168.42,
 1704168,HINGED KNEE ORTHO MED 16,,270,,,,168.42,
 1704169,HINGED KNEE ORTHO LG 16,,270,,,,168.42,
 1704170,KNEE IMMOB UNIV 14,,270,,,,98.70,
 1704171,KNEE IMMOB UNIV 18,,270,,,,86.40,
 1704172,KNEE IMMOB UNIV 20,,270,,,,81.08,
 1704173,KNEE IMMOB UNIV 22,,270,,,,83.72,
 1704188,WRIST TINY LEFT TITAN,,270,,,,47.80,
 1704189,WRIST TINY RIGHT TITAN,,270,,,,47.80,
 1704198,TENNIS ELBOW SUPPORT MED,,270,,,,28.00,
 1704199,TENNIS ELBOW SUPPORT LG,,270,,,,28.00,
 1704213,VELOCITY HINGED KNEE XL 12,,270,,,,179.67,
 1704214,VELOCITY HINGED KNEE LG 12,,270,,,,179.67,
 1704215,VELOCITY HINGED KNEE MD 12,,270,,,,179.67,
 1704216,VELOCITY HINGED KNEE XL 16,,270,,,,199.67,
 1704217,VELOCITY HINGED KNEE LG 16,,270,,,,199.67,
 1704218,VELOCITY HINGED KNEE MD 16,,270,,,,199.67,
 1704246,WEE WALKER SZ 8 - 12.5  LARGE,,270,,,,171.00,
 1704247,WEE WALKER SZ 0 - 8 SMALL - MED,,270,,,,171.00,
 1704289,KUHL BACK ORTHOSIS REG,,270,,,,121.80,
 1704290,KUHL BACK ORTHOSIS XLG,,270,,,,138.60,
 1704323,SAM SPLINT 36,,270,,,,67.00,
 1704338,EXTENDER PLUS KNEE BRACE - SHORT,,270,,,,252.00,
 1704344,KNEE IMMOB UNIV 12,,270,,,,94.10,
 1704345,KNEE IMMOB UNIV 16,,270,,,,82.52,
 1704355,PATELLA STABILIZER XL,,270,,,,108.00,
 1704356,PATELLA STABILIZER XXL,,270,,,,108.00,
 1704360,AIRCAST ANKLE PED. LEFT,,270,,,,135.00,
 1704361,AIRCAST ANKLE PED. RIGHT,,270,,,,135.00,
 1704423,WEE WALKER SZ X-LARGE,,270,,,,171.00,
 1704435,COLLAR NEC-LOC LG,,270,,,,51.25,
 1704436,COLLAR NEC-LOC MD,,270,,,,51.25,
 1704437,COLLAR NEC-LOC SM,,270,,,,51.25,
 1704438,COLLAR NEC-LOC CHILD LG,,270,,,,51.25,
 1704439,COLLAR NEC-LOC CHILD SM,,270,,,,51.25,
 1704440,COLLAR NEC-LOC PED XS,,270,,,,51.25,
 1704454,J FELTER SHLDR IMMOB w/ WRIST STRAP,,270,,,,40.85,
 1704463,JUMPER KNEE STRAP / ASST. COLORS,,270,,,,47.50,
 1704480,WALKER PEDIATRIC LARGE,,270,,,,132.44,
 1704483,WALKER PEDIATRIC SMALL,,270,,,,132.44,
 1704485,WALKER PEDIATRIC MED,,270,,,,132.44,
 1704490,TENNIS ELBOW SUPPORT XL,,270,,,,28.00,
 1704496,PATELLA STABILIZER X-SMALL,,270,,,,112.00,
 1704527,MIAMI J COLLAR REG,,270,,,,128.97,
 1704528,MIAMI J COLLAR SHT,,270,,,,147.42,
 1704548,HINGED AXIS KNEE SLEEVE MD,,270,,,,125.40,
 1704549,HINGED AXIS KNEE SLEEVE LG,,270,,,,125.40,
 1704558,HINGED ELBOW RIGHT,,270,,,,186.34,
 1704564,VENTILATOR MASK MED. NON-VENTED,,270,,,,150.00,
 1704565,VENTILATOR MASK LG. NON-VENTED,,270,,,,150.00,
 1704566,VENTILATION UNIVERSAL J CIRCUIT 22mm,,270,,,,64.00,
 1704607,VENTILATOR MASK SM. NON-VENTED,,270,,,,150.00,
 1704621,TENNIS ELBOW SUPPORT SM,,270,,,,28.00,
 1704658,SAM MED. PELVIC SLING II,,270,,,,192.00,
 1704660,SAM SM PELVIC SLING II,,270,,,,192.00,
 1704670,FEMORAL LEG TRACTION PED & ADULT,,270,,,,260.00,
 2200813,RED DOT EKG ELECTRODE,,270,,,,2.87,
 2200814,RED DOT MONITORING ELECTRODE,,270,,,,4.90,
 2201882,ELECTRODE POLYHESIVE PED GROUNDING,,270,,,,42.33,
 2240017,EKG RHYTHM STRIP,,270,,,,57.87,
 2500410,enterol feeding bag for plumset,,270,,,,57.30,
 2501083,ACETIC ACID 1000 ML POUR BOTTLE,,270,,,,22.13,
 2501332,IV SET NITRO PLUM PUMP,,270,,,,29.75,
 2504489,CHEMO PRIMARY PLUMSET w/ FILTER,,270,,,,40.95,
 2760002,FORMALIN WITH SPECIMAN CONTAINER,,270,,,,13.65,
 3000001,DIAPERS HUGGIES SIZE 1,,270,,,,17.36,
 3000013,DIAPERS HUGGIES SIZE 2,,270,,,,22.19,
 3000020,DIAPERS HUGGIES SIZE 4,,270,,,,22.26,
 3000048,LEGGING-DOUBLE,,270,,,,25.77,
 3000049,LEGGING SINGLE,,270,,,,24.13,
 3000051,BRIEF LG PKG 20,,270,,,,10.57,
 3000052,BRIEF MEDIUM PKG 24,,270,,,,9.01,
 3000053,LINER PKG LG - PURPLE,,270,,,,29.56,
 3000054,BELTED BRIEF UNDERGARMENT PER PACK,,270,,,,14.38,
 3000056,PULL-UPS LG 18 PACK,,270,,,,8.88,
 3000057,PULL-UPS MED 20 PACK,,270,,,,7.48,
 3000059,WIPES ADULT ATTENDS BOX,,270,,,,3.51,
 3000062,WIPES ADULT WINGS REFILL,,270,,,,3.43,
 3000111,BRIEF X LARGE PKG 15,,270,,,,12.81,
 3000136,GAUZE SPONGE NON-STERILE 2x2,,270,,,,9.99,
 3000140,COVERLET OCCULSOR REGULAR SIZE 2X3 PAD,,270,,,,2.60,
 3000148,COBAN 2,,270,,,,9.63,
 3000169,ELASTIC BANDAGE 3X4 1/2 YD,,270,,,,16.89,
 3000207,SKIN BARRIER HOLSTER  4 X 4,,270,,,,69.78,
 3000226,ENEMA MINERAL OIL (DISCONTINUED),,270,,,,10.95,
 3000273,ANGIOCATH 21G X 1,,270,,,,6.14,
 3000285,HEELBO LARGE WHITE,,270,,,,88.52,
 3000286,SKIN PREP 12oz SPRAY,,270,,,,54.39,
 3000354,RIB BELT UNIVERSAL,,270,,,,27.89,
 3000366,BREAST PUMP,,270,,,,73.84,
 3000369,SYRINGE BULB,,270,,,,2.90,
 3000386,ACETIC 25% ACID 250ML,,270,,,,29.33,
 3000388,STERILE WATER 500 ML POUR BOTTLE,,270,,,,14.04,
 3000414,DIAPER PREMIE,,270,,,,28.54,
 3000417,CATHETER ROB-NEL 8 FRENCH,,270,,,,6.24,
 3000434,WASHCLOTH PREMOISTENED WIPE W/BOX,,270,,,,4.84,
 3000475,FOLEY CATHETER HOLDER LEGBAND,,270,,,,22.50,
 3000503,ANKLE SUPPORT ELASTIC XXL,,270,,,,26.89,
 3000512,HEELBO-SMALL,,270,,,,33.96,
 3000513,HEELBO MED,,270,,,,33.96,
 3000519,FLUTTER MUCUS CLEARANCE DEVICE,,270,,,,161.78,
 3000524,PERINEAL CARE WASHCLOTH,,270,,,,4.16,
 3000531,BACK SUPPORT MED W/ STRAPS,,270,,,,46.70,
 3000532,BACK SUPPORT SMALL W/O STRAPS,,270,,,,46.70,
 3000535,HOLLISTER KARAYA SEAL RINGS 1 1/2,,270,,,,20.30,
 3000539,SECURE-ALL PELVIC HOLDER,,270,,,,51.74,
 3000547,MEDICAL SPRAY ADHESIVE,,270,,,,85.36,
 3000552,TRACHEAL TUBE HI LO 8.0,,270,,,,23.30,
 3000572,STERI-STRIP COMPOUND BENZOIN TINCTURE,,270,,,,4.30,
 3000585,HEELBO XLG,,270,,,,27.77,
 3000586,EGG CRATE FOAM PAD,,270,,,,28.58,
 3000613,ANTI-EMBOLISM STOCKING KNEE SM-REGULAR,,270,,,,19.08,
 3000614,ANTI-EMBOLISM STOCKING KNEE SM-LONG,,270,,,,18.08,
 3000615,ANTI-EMBOLISM STOCKING KNEE MED-REGULAR,,270,,,,27.30,
 3000616,ANTI-EMBOLISM STOCKING KNEE MED-LONG,,270,,,,19.08,
 3000617,ANTI-EMBOLISM STOCKING KNEE LG-REGULAR,,270,,,,27.30,
