Hospital Name:  AHMC GARFIELD MEDICAL CENTER,,,,
OSHPD Facility No: 106190315,,,,
"Effective Date of Charges: June 1, 2018",,,,
,,,,
,,,,
CDM,CHARGE DESCRIPTION , PRICE ,,
48,NF-APRODINE TAB 60MG-2.5MG,$0.00,,
49,NF-HYZAAR ORAL TABLET 25MG-100MG,$0.00,,
50,NF-ENABLEX EXTENDED-RELEASE TABLET 7.5MG,$0.00,,
51,NF-ENABLEX EXTENDED-RELEASE TABLET 7.5MG,$0.00,,
52,NF-ENABLEX EXTENDED-RELEASE TABLET 7.5MG,$0.00,,
53,NF-ROXANOL SOLN 20MG/1ML,$0.00,,
54,NF-ALBUTEROL HFA INH AER PWD 0.09MG/1ACT,$0.00,,
55,NF-SYMBICORT INH AER LIQ 80MCG-4.5MCG/1,$0.00,,
56,NF-PATANOL OPHTHALMIC SOLUTION 0.1%,$0.00,,
57,NF-CHERATUSSIN AC SYR 10MG-100MG/5ML,$0.00,,
58,NF-NEXIUM CAP DR 20MG,$0.00,,
59,NF-LIPITOR ORAL TABLET 20MG,$0.00,,
60,NF-TRAVATAN SOLUTION OPHTHALMIC 0.004%,$0.00,,
61,NF-TRAVATAN OPHTH SOLUTION 0.004%,$0.00,,
62,NF-CELECOXIB CAP 100MG,$0.00,,
63,NF-GALANTAMINE HBR ORAL CAP ER 8MG,$0.00,,
64,NF-CHERATUSSIN AC SYRUP,$0.00,,
65,NF- TACROLIMUS POWDER 5GM,$0.00,,
66,NF-CHERATUSSIN AC SYR 10MG-100MG/5ML,$0.00,,
67,NF-VYTORIN TAB 10MG-10MG,$0.00,,
68,NF-FISH OIL CAPSULE,$0.00,,
69,NF-MICARDIS TAB 80MG,$0.00,,
69,TELEMETRY,$0.00,,
70,NF-BONIVA ORAL TABLET 150MG,$0.00,,
71,NF-LOTREL CAP 10MG-20MG,$0.00,,
72,NF-TRILIPIX CAP DR 135MG,$0.00,,
73,NF-DEXILANT CAP DR 30MG,$0.00,,
74,NF-VASOTEC ORAL TABLET 20MG,$0.00,,
75,NF-VASOTEC ORAL TABLET 20MG,$0.00,,
76,NF-COREG CR CAP ER 20MG,$0.00,,
77,NF-OMEPRAZOLE CAP DR 20MG,$0.00,,
78,NF-KRISTALOSE ORAL PWD FOR SUSP 20GM/1PK,$0.00,,
79,NF-LOPERAMIDE CAPSULE 2MG,$0.00,,
80,NF-POLYETHEYLENE GLYCOL 3350 PWD FOR SOL,$0.00,,
81,NF-ROBITUSSIN COUGH DM SOLN 10MG-100MG/5,$0.00,,
82,NF-FORTEO SUBCUTANEOUS SOLUTION 250MCG/1,$0.00,,
83,NF-SYMBICORT INH AER LIQ 160MCG-4.5MCG,$0.00,,
84,NF-AMITIZA LIQUID FILLED CAPSULE 24MCG,$0.00,,
85,NF-FORTICAL NASAL SPRAY 200IU/1ACT,$0.00,,
86,NF-FORTICAL NASAL SPRAY 200IU/1ACT,$0.00,,
87,NF-PATANOL OPHTH SOLN 0.1%,$0.00,,
88,NF-RENVELA ORAL TABLET 800MG,$0.00,,
89,NF-AMITIZA LIQ CAP 24MCG,$0.00,,
90,NF-CITRANATAL B-CALM KIT 1MG-20MG; 25MG,$0.00,,
91,NF-CIPRO TAB 500MG,$0.00,,
92,NF-BYSTOLIC ORAL TABLET 10MG,$0.00,,
92,ER II OBSERVATION,$0.00,,
93,OBSERVATION,$0.00,,
93,NF-FORTAMET TAB ER 1000MG,$0.00,,
94,NF-AVALIDE ORAL TABLET 25MG-300MG,$0.00,,
95,NF-ONGLYZA ORAL TABLET 5MG,$0.00,,
96,NF-ONGLYZA ORAL TABLET 5MG,$0.00,,
97,NF-ZOCOR ORAL TABLET 40MG,$0.00,,
98,NF-DSS CAPSULE 250MG,$0.00,,
99,NF-NITROGLYCERIN CAP ER 2.5MG,$0.00,,
100,NF-MULTIPLE VITAMIN     TAB,$0.00,,
101,NF-NEXIUM CAP DR 40MG,$0.00,,
102,NF-ACTONEL ORAL TABLET 150MG,$0.00,,
103,NF-TEKTURNA ORAL TABLET 150MG,$0.00,,
104,NF-VICODIN,$0.00,,
105,NF-FOLIC ACID ORAL TABLET 1MG,$0.00,,
106,NF-PRENATAL VITAMIN 1PLUS 1 TABLET,$0.00,,
107,NF-GLUCOVANCE TAB 1.25MG-250MG,$0.00,,
108,NF- FELODIPINE TABLET ER 5MG,$0.00,,
109,NF-APAP EXTRA STRENGTH TAB 500MG,$0.00,,
110,NF-INSULIN HUMAN REGULAR INJ SOLN 100U/1,$0.00,,
111,NF-INSULIN HUMAN REGULAR INJ SOLN 100U/1,$0.00,,
112,NF-VYTORIN ORAL TABLET 10MG-20MG,$0.00,,
113,NF-CARTIA XT ORAL 24 HR CAP ER 300MG,$0.00,,
114,NF-SENSIPAR TAB 60MG,$0.00,,
115,NF-ASPIRIN         TAB  81MG,$0.00,,
116,NF- FELODIPINE TABLET ER 5MG,$0.00,,
117,NF-SULAR ORAL EXTENDED-RELEASE TABLET 8.,$0.00,,
118,NF-VYTORIN ORAL TABLET 10MG-40MG,$0.00,,
119,NF-HYDRALAZINE HCL ORAL TABLET 100MG,$0.00,,
120,NF-FLUTICASONE PROPIONATE 0.05MG/1ACT,$0.00,,
121,NF-FORTICAL NASAL SPRAY 200IU/1ACT,$0.00,,
122,NF-PATANOL OPHTH SOLN 0.1%,$0.00,,
123,NF-TRAVATAN OPHTH SOLN 0.004%,$0.00,,
124,NF-TRAVATAN OPHTH SOLN 0.004%,$0.00,,
125,NF-ELESTAT OPHTH SOLN 0.05%,$0.00,,
126,NF-BYSTOLIC ORAL TABLET 10MG,$0.00,,
127,NF-AVALIDE ORAL TABLET 25MG-300MG,$0.00,,
128,NF-FORTAMET ORAL TAB ER 500MG,$0.00,,
129,NF- TACROLIMUS POWDER 5GM,$0.00,,
130,NF-NEXIUM CAP DR 40MG,$0.00,,
131,NF-LIPITOR ORAL TABLET 10MG,$0.00,,
132,NF-PRILOSEC CAP DR 40MG,$0.00,,
133,NF-ANTARA CAP 130MG,$0.00,,
134,NF-BYSTOLIC ORAL TABLET 2.5MG,$0.00,,
135,NF-VITAMIN C POWDER,$0.00,,
136,NF-ULORIC ORAL TABLET 40MG,$0.00,,
137,NF-RENVELA ORAL TABLET 800MG,$0.00,,
138,NF-VITA-MIN ORAL CAPSULE,$0.00,,
139,NF-LOVAZA LIQ CAP 1GM,$0.00,,
140,NF-CALVITE P&D ORAL TABLET 120IU-105MG-8,$0.00,,
141,NF-LOVAZA LIQ CAP 1GM,$0.00,,
142,NF-ZITHROMAX ORAL TABLET 250MG,$0.00,,
143,NF-AZILECT ORAL TABLET 1MG,$0.00,,
144,NF-TRIAMTERENE AND HCTZ TABLET 75MG-50MG,$0.00,,
145,NF-TRIAZOLAM  ORAL TABLET  0.25MG,$0.00,,
146,NF-BONIVA ORAL TABLET 150MG,$0.00,,
147,NF-PROVENTIL SOLUTION 0.5%,$0.00,,
148,NF-NEXIUM CAP DR 40MG,$0.00,,
149,NF-ROPINIROLE HCL TAB 1MG,$0.00,,
150,NF-NIACIN NO FLUSH CAPSULE,$0.00,,
151,NF-FENOFIBRATE ORAL TABLET 54MG,$0.00,,
152,NF-FENOFIBRATE MICRO ORAL CAPSULE 134MG,$0.00,,
153,NF-LOVAZA LIQ CAP 1GM,$0.00,,
154,NF-NEVANAC OPHTH SUSP 0.1%,$0.00,,
155,NF-TUSSIN COUGH SYRUP 10MG/5ML,$0.00,,
156,NF-ANAGRELIDE HCL CAP 0.5MG,$0.00,,
157,NF-ENABLEX EXTENDED-RELEASE TABLET 7.5MG,$0.00,,
158,NF-ENABLEX EXTENDED-RELEASE TABLET 7.5MG,$0.00,,
159,NF-WELCHOL ORAL TABLET 625MG,$0.00,,
160,NF-AZASITE OPHTH SOLN 1%,$0.00,,
161,NF-MULTIVITAMINS TABLET,$0.00,,
162,NF-ZEBETA ORAL TABLET 5MG,$0.00,,
163,NF-PYRIDOSTIGMINE BROMIDE TAB 60MG,$0.00,,
164,NF-COPAXONE KIT,$0.00,,
165,NF-DICLOFENAC NA ORAL TAB EC 25MG,$0.00,,
166,NF-BARACLUDE ORAL TABLET 0.5MG,$0.00,,
167,NF-PREDNISOL OPHTH SOLN 1%,$0.00,,
168,NF-MAXIDEX OPHTH SUSP 0.1%,$0.00,,
169,NF- FELODIPINE TABLET ER 5MG,$0.00,,
170,NF-WELCHOL ORAL TABLET 625MG,$0.00,,
171,NF-GLIMEPIRIDE ORAL TABLET 4MG,$0.00,,
172,NF-LOVAZA LIQUID FILLED CAPSULE 1GM,$0.00,,
173,NF-BYSTOLIC ORAL TABLET 5MG,$0.00,,
174,NF-ACTOPLUS MET ORAL TABLET 500MG-15MG,$0.00,,
175,NF-BENICAR HCT ORAL TABLET 40MG-25MG,$0.00,,
176,NF-AZILECT ORAL TABLET 0.5MG,$0.00,,
177,NF-NASONEX NASAL SPRAY 0.05MG/1ACT,$0.00,,
178,NF-FERROUS SULFATE HEPTAHYDRATE CRYSTAL,$0.00,,
179,NF-UROXATRAL ORAL TABLET ER 10MG,$0.00,,
180,NF-UROXATRAL TAB ER 10MG,$0.00,,
181,NF-ULORIC ORAL TABLET 40MG,$0.00,,
182,NF-NATEGLINIDE ORAL TABLET 120MG,$0.00,,
183,NF-FENOFIBRATE MICRO ORAL CAPSULE 134MG,$0.00,,
184,NF-STALEVO 75 TAB,$0.00,,
185,NF-TEKTURNA ORAL TABLET 300MG,$0.00,,
186,NF-SEROQUEL XR TAB ER 50MG,$0.00,,
187,NF-RESTASIS OPHTH EMULSION 0.05%,$0.00,,
188,NF-DEPAKOTE DELAYED-RELEASE TABLET 250MG,$0.00,,
189,NF-DEPAKOTE ER EXTENDED-RELEASE TAB 250M,$0.00,,
190,NF-ARICEPT ORAL TABLET 23MG,$0.00,,
191,NF-VERELAN PM CAP ER 200MG,$0.00,,
192,NF-MELOXICAM ORAL TABLET 15MG,$0.00,,
193,NF-MOBIC TAB 15MG,$0.00,,
194,NF-MOBIC TAB 7.5MG,$0.00,,
195,NF-FENOFIBRATE ORAL TABLET 54MG,$0.00,,
196,NF-STALEVO 150 TAB 37.5MG-200MG-150MG,$0.00,,
197,NF-AZILECT ORAL TABLET 1MG,$0.00,,
198,NF-MULTAQ ORAL TABLET 400MG,$0.00,,
199,NF-BYSTOLIC ORAL TABLET 2.5MG,$0.00,,
200,NF-WELCHOL ORAL TABLET 625MG,$0.00,,
201,NF-ADVAIR DISKUS INH/NEB 250MCG-50MCG/1A,$0.00,,
202,NF-CALVITE P&D ORAL TABLET 120IU-105MG-8,$0.00,,
203,NF-BYSTOLIC ORAL TABLET 5MG,$0.00,,
204,NF-MOBIC ORAL TABLET 7.5MG,$0.00,,
205,NF-ORACEA CAP ER 40MG,$0.00,,
206,NF-TACTINAL TAB 500MG,$0.00,,
207,NF-XYZAL ORAL TABLET 5MG,$0.00,,
208,NF-ULORIC ORAL TABLET 40MG,$0.00,,
209,NF-XYLAZINE HCL PWD,$0.00,,
210,NF-XYZAL ORAL TABLET 5MG,$0.00,,
211,NF-KETOROLAC TROMETHAMINE OPHTH SOLN 0.4,$0.00,,
212,NF-FENOFIBRATE ORAL TABLET 54MG,$0.00,,
213,NF-DONEPEZIL HCL TAB 23MG,$0.00,,
214,NF-PAXIL CR EXTENDED-RELEASE TABLET 25MG,$0.00,,
215,NF-SYMBICORT INH AER LIQ 160MCG-4.5MCG,$0.00,,
216,NF-SYMBICORT INH AER LIQ 160MCG-4.5MCG,$0.00,,
217,NF-CALVITE P&D ORAL TABLET 120IU-105MG-8,$0.00,,
218,NF-CALVITE P&D ORAL TABLET 120IU-105MG-8,$0.00,,
219,NF-TREPADONE ORAL CAPSULE,$0.00,,
220,NF-THERAMINE ORAL CAPSULE,$0.00,,
221,NF-SENTRA AM CAPSULE,$0.00,,
222,NF-SENTRA PM CAPSULE,$0.00,,
223,NF-TRILIPIX CAP DR 135MG,$0.00,,
224,NF-RAPAFLO CAP 8MG,$0.00,,
225,NF-LOVAZA LIQ CAP 1GM,$0.00,,
226,NF-SIMCOR TAB ER 500MG-20MG,$0.00,,
227,NF-LOVAZA LIQ CAP 1GM,$0.00,,
228,NF-FENOFIBRATE MICRO ORAL CAPSULE 134MG,$0.00,,
229,NF-ULORIC TAB 40MG,$0.00,,
230,NF-ULORIC ORAL TABLET 80MG,$0.00,,
231,NF-AZOR ORAL TABLET 5MG-20MG,$0.00,,
232,NF-LOVAZA LIQ CAP 1GM,$0.00,,
233,NF-DILTIAZEM CD 24 HR CAP 240MG,$0.00,,
234,NF-ARIXTRA INJECTION 2.5MG/0.5ML,$0.00,,
235,NF-CIPRODEX OTIC SUSP 0.3%-0.1%,$0.00,,
236,NF-RENVELA ORAL TABLET 800MG,$0.00,,
237,NF-ALLER-CHLOR TABLET 4MG,$0.00,,
238,NF-CARDIZEM CD 24 HR CAP 180MG,$0.00,,
239,NF-LOVAZA LIQ CAP 1GM,$0.00,,
240,NF-NASONEX SPRAY 0.05MG/INH,$0.00,,
241,NF-NASONEX SPRAY 0.05MG/INH,$0.00,,
242,NF-DILTIAZEM HCL CAPSULE 90MG,$0.00,,
243,NF-LOTEMAX OPHTH SUSP 0.5%,$0.00,,
244,NF-ULTRAVATE OINTMENT 0.05%,$0.00,,
245,NF-NASONEX SPRAY 0.05MG/INH,$0.00,,
246,NF-TRAVATAN OPHTH SOLN 0.004%,$0.00,,
247,NF-AZOPT OPHTH SUSP 1%,$0.00,,
248,NF-GALANTAMINE HYDROBROMIDE TAB 12MG,$0.00,,
249,NF-GALANTAMINE HYDROBROMIDE TAB 4MG,$0.00,,
250,NF-LOVAZA LIQ CAP 1GM,$0.00,,
251,NF-PHAZYME ULTRA STRENGTH LIQ CAP 180MG,$0.00,,
252,NF-DEXLANSOPRAZOLE CAP DR 30MG,$0.00,,
253,NF-ONGLYZA ORAL TABLET 5MG,$0.00,,
254,NF-ARICEPT ORAL TABLET 23MG,$0.00,,
255,NF-AZMACORT INHALER 100MCG/INH,$0.00,,
256,NF-CHONDROITIN COMPLEX/GLUCOSAMINE CAPSU,$0.00,,
257,NF-MOBIC ORAL TABLET 15MG,$0.00,,
258,NF-PROAMATINE ORAL TABLET 5MG,$0.00,,
259,NF-VESICARE ORAL TABLET 5MG,$0.00,,
260,NF-PRISTIQ EXTENDED-RELEASE TABLET 50MG,$0.00,,
261,NF-DEXILANT CAP DR 60MG,$0.00,,
262,NF-CADUET TAB 5MG-20MG,$0.00,,
263,NF-CALCIUM GLUCONATE INJECTION 100MG/ML,$0.00,,
264,NF-CALCIUM GLUCONATE TABLET 500MG,$0.00,,
265,NF-DIPROLENE AF CREAM 0.05%,$0.00,,
266,NF-PATANOL OPHTH SOLN 0.1%,$0.00,,
267,NF-BISOPROLOL FM ORAL TABLET 5MG,$0.00,,
268,NF-BISOPROLOL FM ORAL TABLET 5MG,$0.00,,
269,NF-TRAVATAN OPHTH SOLN 0.004%,$0.00,,
270,NF-BYSTOLIC ORAL TABLET 2.5MG,$0.00,,
271,NF-LOVAZA ORAL LIQUID FILLED CAPSULE 1GM,$0.00,,
272,NF-BARACLUDE ORAL TABLET 1MG,$0.00,,
273,NF-HYDROCODONE AND APAP TABLET 10MG-325M,$0.00,,
274,NF-BONIVA ORAL TABLET 150MG,$0.00,,
275,NF-ALDARA TOPICAL CREAM 5%,$0.00,,
276,NF-LOVENOX INJECTION SOLUTION 30MG/0.3ML,$0.00,,
277,NF-OMEGA-3-ACID ETHYL ESTERS LIQ CAP 1GM,$0.00,,
278,NF-CALVITE P&D ORAL TABLET 120IU-105MG-8,$0.00,,
279,NF-UROXATRAL ORAL TABLET ER 10MG,$0.00,,
280,NF-TRICOR ORAL TABLET 48MG,$0.00,,
281,NF-CALVITE P&D ORAL TABLET 120IU-105MG-8,$0.00,,
282,NF-ACTONEL ORAL TABLET 150MG,$0.00,,
283,NF-COREG CR CAP ER 20MG,$0.00,,
284,NF-NOVOLOG MIX 70/30 INJECTION,$0.00,,
285,NF-KAPIDEX CAP DR 30MG,$0.00,,
286,NF-CALCIUM 600 TABLET 600MG,$0.00,,
287,NF-VESICARE ORAL TABLET 5MG,$0.00,,
288,NF-CASODEX TAB 50MG,$0.00,,
289,NF-COREG CR CAP ER 20MG,$0.00,,
290,NF-NAPROXEN DELAYED-RELEASE TABLET 500MG,$0.00,,
291,NF-AHIST TAB 12MG,$0.00,,
292,NF-ALFUZOSIN HCL TAB ER 10MG,$0.00,,
293,NF-CALVITE P&D ORAL TABLET 120IU-105MG-8,$0.00,,
294,NF-VESICARE TAB 10MG,$0.00,,
295,NF-KETOROLAC TROMETHAMINE IM SOLN 30MG/1,$0.00,,
296,NF-KETOROLAC TROMETHAMINE OPHTH SOLN 0.4,$0.00,,
297,NF- FELODIPINE TABLET ER 5MG,$0.00,,
298,NF-XOPENEX HFA AER PWD INH ORAL/NEB 0.04,$0.00,,
299,NF-FLOVENT DISKUS INH/NEB PWD 50MCG/1ACT,$0.00,,
300,NF-CALVITE P&D ORAL TABLET 120IU-105MG-8,$0.00,,
301,NF-RENVELA TAB 800MG,$0.00,,
302,NF-OSCAL ULTRA 600 ORAL TABLET,$0.00,,
303,NF-SODIUM CHLORIDE INJECTION 14.6%,$0.00,,
304,NF-TRILIPIX CAP DR 135MG,$0.00,,
305,NF-ANTHRALIN PWD,$0.00,,
306,NF-ANTARA CAP 130MG,$0.00,,
307,NF-SODIUM CHLORIDE INTRAVENOUS SOLN 14.6,$0.00,,
308,NF-VOSPIRE ORAL TABLET ER 4MG,$0.00,,
309,NF-CITRACAL TABLET 200MG,$0.00,,
310,NF-CENTRUM SILVER TABLET,$0.00,,
311,NF-BYSTOLIC TAB 5MG,$0.00,,
312,NF-BALSALAZIDE DISODIUM ORAL CAPSULE 750,$0.00,,
313,NF-BYSTOLIC TAB 5MG,$0.00,,
314,NF-NITROLINGUAL SL SPRAY 0.4MG/1SPRAY,$0.00,,
315,NF-LAMICTAL XR TAB ER 200MG,$0.00,,
316,NF-OLOPATADINE HYDROCHLORIDE OPHTH SOLN,$0.00,,
317,NF-REVATIO TAB 20MG,$0.00,,
318,NF-SYMBICORT INH AER LIQ 160MCG-4.5MCG/1,$0.00,,
319,NF-UROXATRAL ORAL TABLET ER 10MG,$0.00,,
320,NF-BARACLUDE TAB 1MG,$0.00,,
321,NF-LOVAZA ORAL LIQUID FILLED CAPSULE 1GM,$0.00,,
322,NF-BIOTENE MOUTHWASH W/ CALCIUM MM SOLUT,$0.00,,
323,NF-BIOTENE DRY MOUTH MOUTHWASH MM SOLUTI,$0.00,,
324,NF-CALVITE P&D ORAL TABLET 120IU-105MG-8,$0.00,,
325,NF-SYMBICORT INH AER LIQ 80MCG-4.5MCG/1,$0.00,,
326,NF-OXYTROL TD PATCH ER 3.9MG/24HR,$0.00,,
327,NF-Q-PAP ES TAB 500MG,$0.00,,
328,NF-RAZADYNE CAP ER 16MG,$0.00,,
329,NF-VALTURNA TAB 300MG-320MG,$0.00,,
330,NF-BROVANA INHALATION SOLUTION 15MCG/2ML,$0.00,,
331,NF-LOVAZA LIQ CAP 1GM,$0.00,,
332,NF-ELMIRON CAP 100MG,$0.00,,
333,NF-ATACAND TAB 16MG,$0.00,,
334,NF-DILTIAZEM ER ORAL 24HR CAP ER 120MG,$0.00,,
335,NF-ASMANEX TWIST INH/NEB POWDER 220MCG/A,$0.00,,
336,NF-VALTURNA ORAL TABLET 150MG-160MG,$0.00,,
337,NF-ZEGERID PKT 40MG-1680MG/1PKT,$0.00,,
338,NF-CARNITOR TAB 330MG,$0.00,,
339,NF-ATACAND ORAL TABLET 8MG,$0.00,,
340,NF-PRESERVISION LUTEIN LQUID FILLED CAPS,$0.00,,
341,NF-PRESERVISION ORAL LIQUID CAPSULE,$0.00,,
342,NF-GERITOL COMPLETE TABLET,$0.00,,
343,NF-NEVANAC OPHTH SUSP 0.1%,$0.00,,
344,NF-OMNIPRED OPHTH SUSP 1%,$0.00,,
345,NF-PROAIR HFA INH AER PWD 0.09MG/1 INH,$0.00,,
346,NF-PROAIR HFA INH AER PWD 0.09MG/1 INH,$0.00,,
347,NF-PROAIR HFA INH/NEB AER PWD 0.09MG/1AC,$0.00,,
348,NF-CALVITE P&D ORAL TABLET 120IU-105MG-8,$0.00,,
349,NF-SMALL DRAINABLE POUCH ONE PIECE,$0.00,,
350,NF-POTASSIUM CHLOR TAB  8MEQ,$0.00,,
351,NF-ULORIC TAB 80MG,$0.00,,
352,NF-BUPROPION XL ORAL 24HR TAB ER 300MG,$0.00,,
353,NF-CALCET PETITES TAB 250IU-200MG,$0.00,,
354,NF-CAL-G CAPSULE 700MG,$0.00,,
355,NF-AVALIDE ORAL TABLET 25MG-300MG,$0.00,,
356,NF-PATANOL OPHTH SOLN 0.1%,$0.00,,
357,NF-RESOURCE ARGINAID POWDER 4.5GM/9.2GM,$0.00,,
358,NF-RESOURCE THICKENED APPLE JUICE LIQUID,$0.00,,
359,NF-GLYCOLAX PWD FOR SOLN 17GM/1DOSE,$0.00,,
360,NF-CALTRATE 600 + D TABLET,$0.00,,
361,NF-NORCO TABLET,$0.00,,
362,NF-1-BUTANOL LIQUID,$0.00,,
363,NF-ULTIGUARD SYRINGES DEVICE,$0.00,,
364,NF-LOVAZA LIQ CAP 1GM,$0.00,,
365,NF-HYDROCODONE AND APAP TABLET 10MG-325M,$0.00,,
366,NF-REPLENS CREAM,$0.00,,
367,NF-TRAVOPROST OPHTH SOLN 0.004%,$0.00,,
368,NF-LOVENOX SUBCUTANEOUS SOLUTION 40MG/0.,$0.00,,
369,NF-LOVASTATIN ORAL TABLET 20MG,$0.00,,
370,NF-LOVAZA ORAL LIQUID-FILLED CAPSULE 1GM,$0.00,,
371,NF-SHARPS DISPOSAL BY MAIL SYSTEM DEVICE,$0.00,,
372,NF-SHARPS DISPOSAL BY MAIL SYSTEM DEVICE,$0.00,,
373,NF-APRODINE TAB 60MG-2.5MG,$0.00,,
374,NF-COMBIGAN OPHTH SOLN 0.2%-0.5%,$0.00,,
375,NF-DIALYVITE TAB,$0.00,,
376,NF-TRAVATAN Z OPHTHALMIC SOLUTION 0.004%,$0.00,,
377,NF-DIALYVITE TAB,$0.00,,
378,NF-PATANOL OPHTH SOLUTION 0.1%,$0.00,,
