Charge Code,Charge Description,CPT/HCPCS Code," Inpatient 
Price "," Outpatient 
Price "
761000073,"HC INJECTION INTO SKIN LESIONS, UP TO 7",11900, $336.35 , $336.35 
761000074,"HC INJECTION INTO SKIN LESIONS, 8 OR MORE",11901, $529.48 , $529.48 
761000075,HC FILL CONTOUR DEFCT <1CC,11950, $371.07 , $371.07 
761000647,HC RMV CONTRACEPT CAPSULES,11976, $819.72 , $819.72 
761000080,"HC IMPLNT,HORMONE,SUBCUTANEOUS",11980, $389.52 , $389.52 
761000081,HC INSERTION DRG IMPLNT DVC,11981, $950.46 , $950.46 
761001040,HC  REMOVE DRUG IMPLANT DEVICE,11982, $620.62 , $620.62 
761001041,HC  REMOVE/INSERT DRUG IMPLANT,11983, $620.62 , $620.62 
761000801,HC REPR SUPRF WND BODY <2.5CM,12001, $505.61 , $505.61 
761000802,HC REPR SUP NPTERF WND BODY 2.6-7.5,12002, $649.92 , $649.92 
761000803,HC REPR SUPRF WND BODY 7.6-12.5,12004, $889.70 , $889.70 
761000804,HC REPR SUPRF WND BODY 12.6-20,12005, $986.27 , $986.27 
761000805,HC REPR SUPRF WND BODY 20.1-30,12006," $1,096.94 "," $1,096.94 "
761000806,HC REPR SUPRF WND FACE <2.5CM,12011, $528.40 , $528.40 
761000807,HC REPR SUPRF WND FACE 2.6-5,12013, $586.99 , $586.99 
761000808,HC REPR SUPRF WND FACE 5.1-7.5,12014, $586.99 , $586.99 
761000809,HC REPR SUPRF WND FACE 7.6-12.5,12015, $651.00 , $651.00 
761000810,HC REPR SUPRF WND FACE 12.6-20,12016, $890.79 , $890.79 
761000649,HC TX WOUND DEHISCENCE SMPL,12020, $688.98 , $688.98 
761000085,HC CLOSURE SUPRF WND DEHIS W PACKING,12021, $624.96 , $624.96 
761000811,"HC LAYR CLOS WND TRUNK,ARM,LEG <2.5 CM",12031, $780.12 , $780.12 
761000812,"HC LAYR CLOS WND TRUNK,ARM,LEG 2.6-7.5 CM",12032," $1,047.03 "," $1,047.03 "
761000813,"HC LAYR CLOS WND TRUNK,ARM,LEG 7.6-12.5 CM",12034," $1,105.62 "," $1,105.62 "
761000814,"HC LAYR CLOS WND TRUNK,ARM,LEG 12.6-20 CM",12035," $1,281.39 "," $1,281.39 "
761000815,HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.5CM/&LT;,12041, $435.09 , $435.09 
761000816,HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.6-7.5 CM,12042, $478.49 , $478.49 
761000923,HC INTMD RPR N-HF/GENIT7.6-12.5,12044, $688.98 , $688.98 
761000088,HC LAYR CLOS WND REST BODY 12.6-20 CM,12045, $688.98 , $688.98 
761000817,"HC LAYR CLOS WND FACE,FACIAL <2.5 CM",12051, $926.59 , $926.59 
761000818,"HC LAYR CLOS WND FACE,FACIAL 2.5-5 CM",12052," $1,096.94 "," $1,096.94 "
761000819,"HC LAYR CLOS WND FACE,FACIAL 5.1-7.5 CM",12053," $1,133.83 "," $1,133.83 "
761000820,"HC LAYR CLOS WND FACE,FACIAL 7.6-12.5 CM",12054," $1,190.25 "," $1,190.25 "
761000091,"HC LAYR CLOS WND FACE,FACIAL 12.6-20 CM",12055," $1,308.51 "," $1,308.51 "
761000092,"HC LAYR CLOS WND FACE,FACIAL 20.1-30 CM",12056," $1,439.80 "," $1,439.80 "
761000094,HC REPR CMPL WND TRUNK 1.1-2.5CM,13100," $2,054.45 "," $2,054.45 "
761000095,HC REPR CMPL WND TRUNK 2.6-7.5CM,13101," $1,144.68 "," $1,144.68 "
761000096,"HC REP,SKIN,TRUNK,CMPLX,+5CM/<",13102, $399.28 , $399.28 
761000924,HC CMPLX RPR S/A/L 1.1-2.5 CM,13120, $964.57 , $964.57 
761000821,"HC REPR CMPL WND SCALP,EXTR 2.6-7.5",13121," $1,554.81 "," $1,554.81 "
761000822,"HC REP,SKIN,SCALP/EXTREM+5CM/<",13122, $520.80 , $520.80 
761000823,"HC REPR CMPL WND HEAD,FAC,HAND 1.1-2.5",13131," $1,554.81 "," $1,554.81 "
761000824,"HC REPR CMPL WND HEAD,FAC,HAND 2.6-7.5",13132," $1,554.81 "," $1,554.81 "
761000097,"HC REP,FACE,GENITAL,HAND,FT+5CM/<",13133, $628.22 , $628.22 
761000099,"HC REPR CMPL WND LID,NOS,EAR 1.1-2.5",13151," $1,194.59 "," $1,194.59 "
761000825,"HC REPR CMPL WND LID,NOS,EAR 2.5-7.5",13152," $1,977.96 "," $1,977.96 "
761000100,"HC REP,EYELID,NOSE,EAR,LIP+5CM",13153, $585.90 , $585.90 
761000103,HC ADJ TISS XFER TRUNK 10.1-30,14001," $3,126.97 "," $3,126.97 "
761000104,"HC ADJ TISS XFER SCALP,EXTREM <10SQCM",14020," $5,341.46 "," $5,341.46 "
761000105,"HC ADJ TISS XFER SCALP,EXTREM 10.1-30",14021," $6,743.28 "," $6,743.28 "
761000106,"HC ADJ TISS XFER HEAD,FAC,HAND <10SQCM",14040," $5,416.32 "," $5,416.32 "
761000107,"HC ADJ TISS XFER HEAD,FAC,HAND 10.1-30",14041," $6,635.86 "," $6,635.86 "
761000108,"HC ADJ TISS XFER LID,NOS,EAR <10SQCM",14060," $6,595.72 "," $6,595.72 "
761000109,"HC ADJ TISS XFER LID,NOS,EAR 10.1-30",14061," $8,119.06 "," $8,119.06 "
761000110,"HC ADJ TISS XFER ANY AREA,30.1-60 SQCM",14301," $6,474.20 "," $6,474.20 "
761000111,"HC ADJ TISS XFER ANY AREA,EA ADD 30.0 SQCM",14302," $2,604.00 "," $2,604.00 "
761000122,HC FULL THICK GRFT TRUNK <20 SQCM,15200," $3,806.72 "," $3,806.72 "
761000124,"HC FULL THICK GRFT SCALP,ARM,LEG <20SQC",15220," $3,692.26 "," $3,692.26 "
761000126,"HC FULL THICK GRFT HEAD,FAC,HAND <20SQC",15240," $2,257.89 "," $2,257.89 "
761000127,"HC FULL THICK GRFT HEAD,FAC,HA ADD 20SQ",15241, $402.54 , $402.54 
761000128,"HC FULL THICK GRFT NOS,EAR,LID <20SQCM",15260," $7,193.55 "," $7,193.55 "
761000130,HC APP SKN SUB GRFT T/A/L AREA/<100SCM /<1ST 25 SC,15271," $5,713.61 "," $5,713.61 "
761000131,HC APP SKN SUB GRFT T/A/L AREA/<100SCM EA ADL 25SC,15272, $549.01 , $549.01 
761000974,HC SKIN SUB GRAFT FACE/NK/HF/G,15275," $2,170.00 "," $2,170.00 "
761000134,"HC FORM SKIN PEDICLE FLAP LID,EAR,NOSE",15576," $3,324.44 "," $3,324.44 "
761001075,HC DELAY FLAP F/C/C/N/AX/G/H/F,15620," $6,083.60 "," $6,083.60 "
761001072,HC DELAY FLAP EYE/NOS/EAR/LIP,15630," $6,083.60 "," $6,083.60 "
761000136,HC ISLAND PEDICLE FLAP GRAFT,15740," $2,413.04 "," $2,413.04 "
761000137,HC COMPOSITE SKIN GRAFT,15760," $4,391.00 "," $4,391.00 "
761000141,HC ABRASION SNGL LESION,15786, $247.38 , $247.38 
761000143,"HC CHEM PEEL, FACE, EPIDERM",15788, $730.21 , $730.21 
761000145,"HC CHEM PEEL, NONFACIAL EPIDERM",15792, $432.92 , $432.92 
761000148,HC REVISN OF UPPER EYELID,15822," $4,947.60 "," $4,947.60 "
761000656,HC BLEPHARO UP W/EXCESS SKIN,15823," $4,998.60 "," $4,998.60 "
761001015,HC INITIAL TREATMENT OF BURN(S),16000, $337.98 , $337.98 
761000826,HC DRESS/DEBRID SMALL BURN NO ANES,16020, $368.90 , $368.90 
761000827,HC DRESS/DEBRID MED BURN NO ANESTH,16025, $764.93 , $764.93 
761000828,HC DRESS/DEBRID LARGE BURN NO ANESTH,16030, $972.70 , $972.70 
761000158,"HC DESTRUC PREMALIGNANT, FIRST LESION",17000, $226.77 , $226.77 
761000159,"HC DESTRUC PREMALIGNANT,2-14 LESIONS",17003, $79.75 , $79.75 
761000160,"HC DESTRUC PREMALIGNANT,15+ LESIONS",17004, $432.92 , $432.92 
761000161,HC DESTRUC CUT/VASC <10SQ CM,17106, $834.37 , $834.37 
761000162,HC DESTRUC CUT/VASC 10-50 SQ CM,17107," $1,061.67 "," $1,061.67 "
761000163,HC DESTRUC CUT/VASC >50 SQ CM,17108," $2,170.00 "," $2,170.00 "
761000829,HC DESTRUCTION BENIGN LESIONS UP TO 14,17110, $365.10 , $365.10 
761000164,HC DESTRUCTION BENIGN LESIONS 15 OR MORE,17111, $448.11 , $448.11 
761000165,HC CHEMICAL CAUTERY TISSUE,17250, $507.78 , $507.78 
761000166,"HC DESTR MALIG TRUNK,EXTREM <0.6 CM",17260, $482.28 , $482.28 
761000167,"HC DESTR MALIG TRUNK,EXTREM 0.6-1 CM",17261, $639.07 , $639.07 
761000168,"HC DESTR MALIG TRUNK,EXTREM 1.1-2 CM",17262, $809.95 , $809.95 
761000169,"HC DESTR MALIG TRUNK,EXTREM 2.1-3 CM",17263, $896.75 , $896.75 
761000170,"HC DESTR MALIG TRUNK,EXTREM 3.1-4 CM",17264, $959.68 , $959.68 
761000171,"HC DESTR MALIG TRUNK,EXTREM >4.0 CM",17266," $1,117.55 "," $1,117.55 "
761000172,"HC DESTR MALIG SCAL,NCK,HAND <0.6 CM",17270, $437.80 , $437.80 
761000173,"HC DESTR MALIG SCAL,NCK,HAND 0.6-1 CM",17271, $514.83 , $514.83 
761000174,"HC DESTR MALIG SCAL,NCK,HAND 1.1-2 CM",17272, $558.23 , $558.23 
761000175,"HC DESTR MALIG SCAL,NCK,HAND 2.1-3 CM",17273, $630.93 , $630.93 
761000178,"HC DESTR MALIG FACE,NOSE,LIP <0.6 CM",17280, $379.21 , $379.21 
761000179,"HC DESTR MALIG FACE,NOSE,LIP 0.6-1 CM",17281, $520.80 , $520.80 
761000180,"HC DESTR MALIG FACE,NOSE,LIP 1.1-2 CM",17282, $601.63 , $601.63 
761000181,"HC DESTR MALIG FACE,NOSE,LIP 2.1-3 CM",17283, $751.36 , $751.36 
761000184,"HC MOHS, 1 STAGE, HEAD/NECK/HAND/FEET/GENTIAL",17311," $1,611.77 "," $1,611.77 "
761000185,"HC MOHS,  ADDL STAGE, HEAD/NECK/HAND/FEET/GENTIAL",17312," $1,177.23 "," $1,177.23 "
761000186,"HC MOHS, 1 STAGE, TRUNK/ARM/LEG",17313," $1,291.15 "," $1,291.15 "
761000187,"HC MOHS, ADDL STAGE, TRUNK/ARM/LEG",17314, $709.59 , $709.59 
761000188,"HC MOHS SURG, ADDL BLOCK",17315, $692.77 , $692.77 
761000981,"HC 557, 539 LASER TX > 50 SQ CM",17999, $613.03 , $613.03 
360000001,HC PUNC/ASPIR BREAST CYST,19000," $1,237.74 "," $1,237.74 "
761000830,HC EXPLO/DRAIN BREAST ABSCESS,19020," $2,264.40 "," $2,264.40 "
401000006,HC BX BREAST 1ST LESION STRTCTC,19081," $3,413.41 "," $3,413.41 "
401000007,HC BX BREAST ADD LESION STRTCTC,19082," $1,912.86 "," $1,912.86 "
401000008,HC BX BREAST 1ST LESION US IMAG,19083," $3,413.41 "," $3,413.41 "
401000009,HC BX BREAST ADD LESION US IMAG,19084," $1,912.86 "," $1,912.86 "
610000039,HC BX BREAST 1ST LESION MR IMAG,19085," $3,413.41 "," $3,413.41 "
360000003,"HC BIOPSY OF BREAST, NEEDLE CORE",19100," $1,705.20 "," $1,705.20 "
401000010,HC PERQ DEVICE BREAST 1ST IMAG,19281, $819.72 , $819.72 
401000011,HC PERQ DEVICE BREAST EA IMAG,19282, $264.20 , $264.20 
402000064,HC PERQ DEV BREAST 1ST US IMAG,19285, $819.72 , $819.72 
610000041,HC PERQ DEV BREAST 1ST MR GUIDE,19287, $819.72 , $819.72 
761001038,HC  BREAST RECONSTRUCTION,19350," $7,617.79 "," $7,617.79 "
761001117,HC EXPLORE WOUND EXTREMITY,20103," $4,055.19 "," $4,055.19 "
761000200,HC DEEP MUSCLE BIOPSY,20205," $6,282.15 "," $6,282.15 "
360000010,"HC NEEDLE BIOPSY,MUSCLE",20206," $1,378.37 "," $1,378.37 "
360000011,"HC BONE BIOPSY,TROCAR/NEEDLE SUPRF",20220," $1,924.79 "," $1,924.79 "
360000012,"HC BONE BIOPSY,TROCAR/NEEDLE DEEP",20225," $4,126.26 "," $4,126.26 "
761000204,HC INJECT CARPAL TUNNEL,20526, $769.27 , $769.27 
761000831,HC INJECT TENDON SHEATH/LIGAMENT,20550," $1,235.27 "," $1,235.27 "
761000205,HC INJECT TENDON ORIGIN/INSERT,20551," $1,276.50 "," $1,276.50 "
761000832,"HC INJECT TRIGGER POINT, 1 OR 2",20552, $969.99 , $969.99 
761000206,"HC INJECT TRIGGER POINTS, > 3",20553," $1,119.18 "," $1,119.18 "
761000833,HC DRAIN/INJECT SMALL JNT/BURSA - W/O US,20600," $1,049.20 "," $1,049.20 "
761001055,HC DRAIN/INJ JOINT/BURSA W/US SM JOINT,20604," $1,199.47 "," $1,199.47 "
761000834,HC DRAIN/INJ JOINT/BURSA W/O US,20605," $1,114.84 "," $1,114.84 "
761001059,HC DRAIN/INJ JOINT/BURSA W/US IMMED JOINT,20606," $1,199.47 "," $1,199.47 "
761000835,HC DRAIN/INJECT LARGE JNT/BURSA W/O US,20610," $1,364.93 "," $1,364.93 "
761001056,HC DRAIN/INJ JOINT/BURSA W/US MAJOR JOINT/BURSA,20611," $1,199.47 "," $1,199.47 "
761000836,HC ASPIRAT/INJECTION GANGLION CYST,20612, $702.54 , $702.54 
761000988,HC TREATMENT OF BONE CYST,20615," $1,873.25 "," $1,873.25 "
700000097,HC INSERT AND RMV BONE PIN,20650," $5,713.61 "," $5,713.61 "
761000837,HC RMVL SUPRFICIAL IMPLNT,20670," $7,541.84 "," $7,541.84 "
510000145,"HC RECRD FLUID PRESSURE,MUSCLE",20950, $819.72 , $819.72 
360000013,"HC ABLATE, BONE TUMOR PERQ",20982," $9,846.92 "," $9,846.92 "
761000211,HC EXCISION TUMOR SOFT TISS FACE/SCALP SUBQ 2+CM,21012," $3,851.21 "," $3,851.21 "
761001046,HC EAR CARTILAGE GRAFT,21235," $4,482.14 "," $4,482.14 "
761000215,HC CLOSED RX NOSE FRACTURE,21315," $5,538.93 "," $5,538.93 "
450000063,HC CLOSED RX NOSE FX W STABILIZATN,21320," $7,128.99 "," $7,128.99 "
450000064,HC REDUCE TEMPOROMANDIBL DISLOC,21480," $1,015.56 "," $1,015.56 "
360000014,HC BIOPSY SOFT TISSUE NECK/CHEST,21550," $1,870.00 "," $1,870.00 "
761000217,HC EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM,21930," $3,504.55 "," $3,504.55 "
510000158,HC EXC BACK LES SC 3 CM/>,21931," $4,862.97 "," $4,862.97 "
329000001,HC PERCUT VERTEBROPLASTY THOR,22510," $10,207.68 "," $10,207.68 "
329000002,HC PERQ LUMBOSACRAL INJECTION,22511," $10,207.68 "," $10,207.68 "
360000015,HC PERCUT VERTEBROPLASTY ADDL,22512," $3,389.54 "," $3,389.54 "
761001048,HC EXC ADB LES SC 3CM/>,22903," $6,303.85 "," $6,303.85 "
761001050,HC EXC SHOULDER LES SC 3 CM/>,23071," $7,156.66 "," $7,156.66 "
761000218,HC EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ <3CM,23075," $3,055.36 "," $3,055.36 "
360000020,HC INJ PROC SHOULDER ARTHROGRAPHY/CT/MRI,23350, $688.98 , $688.98 
700000099,HC CLOSED RX PROX HUMERUS FRACTURE,23600," $1,091.51 "," $1,091.51 "
700000100,"HC CLOSED RX PROX HUMERUS FX,MANIP",23605," $2,339.26 "," $2,339.26 "
700000102,HC CLOSED RX SHLDR DISLOCATION,23650," $1,755.53 "," $1,755.53 "
700000010,HC TREAT SHOULDER DISLOCATION,23655," $4,973.64 "," $4,973.64 "
761001036,HC  EXC ARM/ELBOW LES SC 3 CM/,24071," $6,700.96 "," $6,700.96 "
761000219,HC EXC TUMOR SOFT TISS UPPER ARM/ELBOW SUBQ <3CM,24075," $2,599.66 "," $2,599.66 "
360000021,HC INJECTION FOR ELBOW ARTHROGRAM,24220, $576.14 , $576.14 
700000103,"HC CLOSED RX MID HUMERUS FX,MANIPULATN",24505," $1,755.53 "," $1,755.53 "
700000104,HC CLOSED RX HUMERAL SUPRACONDYLAR FX,24530," $1,080.66 "," $1,080.66 "
700000105,"HC CLOSED RX HUM SUPRACONDYLR FX,MANIPU",24535," $1,780.49 "," $1,780.49 "
700000106,HC CLOSED RX HUMER EPICONDYLR FX,24560, $559.86 , $559.86 
700000107,"HC CLOSED RX HUMER CONDYLR FX,MANIP",24577," $1,755.53 "," $1,755.53 "
761000876,HC CLOSED RX ELBOW DISLOCATION,24600," $1,091.51 "," $1,091.51 "
700000108,HC CLOSED RX MONTEGGIA FX/DISLOC ELBOW,24620," $3,271.28 "," $3,271.28 "
700000109,"HC CLOSED RX RADIAL HEAD DISLOC,CHILD",24640, $554.44 , $554.44 
700000110,"HC CLOSED RX RADIAL HEAD/NECK FX,MANIP",24655," $1,755.53 "," $1,755.53 "
700000111,HC CLOSED TX ULNAR FRACTURE PROX END W MANIPULATIO,24675," $1,755.53 "," $1,755.53 "
510000129,HC EXC FOREARM/WRIST SUB>3,25071," $4,855.38 "," $4,855.38 "
761000220,HC EXC TUMOR SOFT TISSUE FOREARM &/WRIST SUBQ <3CM,25075," $3,441.62 "," $3,441.62 "
360000022,HC INJECTION FOR WRIST ARTHROGRAM,25246," $1,009.59 "," $1,009.59 "
700000019,HC CLOSED RX RADIAL SHAFT FX,25500, $469.26 , $469.26 
700000112,"HC CLOSED RX RADIAL SHAFT FX,MANIPULATN",25505," $1,597.12 "," $1,597.12 "
700000021,HC CLOSED RX ULNA SHAFT FX,25530, $570.71 , $570.71 
700000113,"HC CLOSED RX ULNA SHAFT FX,MANIPULATN",25535," $1,092.05 "," $1,092.05 "
700000114,HC CLOSED RX RAD/ULNA SHAFT FX,25560, $936.90 , $936.90 
700000115,"HC CLOSED RX RAD/ULNA SHAFT FX,MANIP",25565," $1,908.52 "," $1,908.52 "
700000116,HC CLOSED RX DIST RAD/ULNA FX,25600," $1,752.82 "," $1,752.82 "
700000117,"HC CLOSED RX DIST RAD/ULNA FX,MANIPUL",25605," $3,729.69 "," $3,729.69 "
700000118,HC CLOSED RX NAVICULAR FX,25622, $344.49 , $344.49 
700000119,"HC CLOSED RX NAVICULAR FX,MANIPULATN",25624," $1,596.58 "," $1,596.58 "
700000120,HC CLOSED RX ULNA STYLOID FX,25650, $467.09 , $467.09 
761000877,"HC DRAIN FINGER ABSCESS,SIMPLE",26010, $776.86 , $776.86 
761000221,"HC DRAIN FINGER ABSCESS,COMPLICATED",26011," $1,508.15 "," $1,508.15 "
700000122,HC CLOSED RX METACARPAL FX,26600, $412.30 , $412.30 
700000123,"HC CLOSED RX METACARPAL FX,MANIP",26605, $670.53 , $670.53 
700000125,"HC CLOSED RX, CARPOMETACAR DISLOC,NON-THUMB",26670, $534.91 , $534.91 
700000126,HC CLOSED RX MC-P DISLOC,26700, $539.25 , $539.25 
700000128,"HC CLOSE RX PROX/MID FING SHFT FX,MANIP",26725," $1,309.60 "," $1,309.60 "
700000129,"HC CLOSE RX FINGR ARTICULAR FX,MANIP",26742," $1,755.53 "," $1,755.53 "
700000130,HC CLOSE RX DIST FINGR FX,26750, $390.60 , $390.60 
700000131,"HC CLOSE RX DIST FINGR FX,MANIPULATN",26755, $783.37 , $783.37 
700000132,HC CLOSED RX IP JT DISLOCATION,26770," $1,755.53 "," $1,755.53 "
450000105,HC AMPUTATION FINGER/THUMB,26951," $3,620.65 "," $3,620.65 "
360000023,"HC BX SOFT TISSUES,PELV/HIP,DEEP",27041," $2,124.43 "," $2,124.43 "
