Procedure Name, Price  
HC ASSAY OF CK (CPK),$179.70 
"HC CREATINE, MB FRACTION",$246.95 
HC ASSAY OF CREATININE,$101.45 
HC ASSAY OF URINE CREATININE,$230.40 
HC CREATININE CLEARANCE TEST,$253.60 
HC ASSAY OF CRYOGLOBULIN,$125.70 
HC VITAMIN B-12,$203.95 
HC DEHYDROEPIANDROSTERONE-SULFATE,$11.35 
"HC ASSAY VIT D, 1,25-DIHYDROXY W FRACTIONS",$17.85 
HC ASSAY OF ERYTHROPOIETIN,$7.65 
HC ASSAY OF ESTRADIOL,$318.60 
HC ASSAY OF ESTROGEN,$19.20 
HC ASSAY OF ETHYLENE GLYCOL,$17.65 
HC ASSAY OF FERRITIN,$281.15 
HC BLOOD FOLIC ACID SERUM,$187.45 
"HC ASSAY OF GAMMAGLOBULIN IGA, IGD, IGG, IGM, EACH",$18.10 
HC ASSAY OF GAMMAGLOBULIN IGE,$7.00 
"HC ASSAY GLUCOSE, BODY FLUID",$132.30 
"HC ASSAY QUANTITATIVE,BLOOD GLUCOSE",$83.73 
HC GLUCOSE TOLERANCE TEST (GTT),$179.70 
HC GTT-ADDED SAMPLES,$76.05 
HC ASSAY OF G6PD ENZYME,$4.60 
HC GLUCOSE BLOOD TEST,$165.40 
HC ASSAY OF GGT,$218.30 
HC GONADOTROPIN (FSH),$7.00 
HC GONADOTROPIN (LH),$10.35 
"HC ASSAY OF HAPTOGLOBIN, QUANT",$7.15 
HC HEMOGLOBIN CHROMOTOGRAPHY,$9.20 
HC GLYCOSYLATED HEMOGLOBIN TEST,$228.20 
HC ASSAY OF HOMOCYSTINE,$30.55 
HC IMMUNOASSAY ANALYTE QUANT RADIOIMMUNOASSAY,$84.00 
HC IMMUNOASSAY ANALYTE QUANTITATIVE NOS,$76.00 
"HC ASSAY OF INSULIN,TOTAL",$4.35 
HC ASSAY OF IRON,$173.10 
HC IRON BINDING TEST,$239.25 
HC ASSAY OF LACTIC ACID,$183.00 
HC LACTATE (LD) (LDH) ENZYME,$175.30 
HC ASSAY OF LEAD,$21.85 
HC ASSAY OF LIPASE,$203.95 
"HC ASSAY OF BLOOD LIPOPROTEIN,HDL CHOLEST",$120.15 
"HC ASSAY OF BLOOD LIPOPROTEIN,LDL CHOLEST",$120.15 
HC ASSAY OF MAGNESIUM,$230.40 
HC ASSAY OF METANEPHRINES,$38.30 
"HC MYELIN BASIC PROTEIN,CSF",$14.85 
HC ASSAY OF MYOGLOBIN,$328.55 
HC NATRIURETIC PEPTIDE,$264.60 
"HC NEPHELOMETRY, NOT SPECIFIED",$21.00 
HC OLIGOCLONAL IMMUNOGLOBULIN,$30.05 
"HC ASSAY SNGL ORGANIC ACID, QUANTITATIVE",$21.90 
HC ASSAY OF BLOOD OSMOLALITY,$258.00 
HC ASSAY OF URINE OSMOLALITY,$258.00 
HC ASSAY OF OXALATE,$109.20 
HC ASSAY OF PARATHORMONE,$287.75 
HC PH BODY FLUID NOS,$49.60 
HC ASSAY PHOSPHATASE ACID PROSTATIC,$4.45 
HC ASSAY ALKALINE PHOSPHATASE,$183.00 
HC ASSAY OF INORGANIC PHOSPHORUS,$175.30 
HC ASSAY OF SERUM POTASSIUM,$151.05 
HC ASSAY OF URINE POTASSIUM,$230.40 
HC ASSAY OF PREALBUMIN,$198.45 
HC ASSAY OF PROGESTERONE,$318.60 
HC ASSAY OF PROCALCITONIN,$189.00 
HC ASSAY OF PROLACTIN,$7.85 
"HC PROSTATE SPECIFIC ANTIGEN,FREE",$7.00 
HC PROTEIN TOT XCPT REFRACTOMETRY SERUM,$140.00 
HC PROTEIN TOT XCPT REFRACTOMETRY URINE,$230.40 
HC PROTEIN TOT XCPT REFRACTOMETRY OTH SRC,$147.75 
"HC PROTEIN E-PHORESIS, SERUM",$4.65 
HC PROTEIN E-PHORESIS/URINE/CSF,$9.60 
HC ASSAY OF VITAMIN B-6,$23.00 
HC ASSAY OF RENIN,$14.85 
HC ASSAY OF SEX HORMONE BINDING GLOBULIN,$18.40 
HC ASSAY OF SERUM SODIUM,$155.45 
HC ASSAY OF URINE SODIUM,$230.40 
HC ASSAY OF SOMATOMEDIN,$16.40 
HC SPECTROPHOTOMETRY,$10.00 
HC ASSAY OF TESTOSTERONE,$14.90 
HC ASSAY OF TOTAL TESTOSTERONE,$7.00 
HC ASSAY OF VITAMIN B-1,$14.95 
HC ASSAY OF THYROGLOBULIN,$4.55 
HC ASSAY OF TOTAL THYROXINE,$212.80 
HC ASSAY OF FREE THYROXINE,$319.75 
HC ASSAY THYROID STIM HORMONE,$230.40 
HC ASSAY OF THYROID STIM IMMUNOGLOBULINS (TSI),$52.25 
HC TRANSFERASE ASPARTATE AMINO (AST) (SGOT),$113.55 
HC TRANSFERASE ALANINE AMINO (ALT) (SGPT),$111.35 
HC ASSAY OF TRANSFERRIN,$5.80 
HC ASSAY OF TRIGLYCERIDES,$148.85 
HC THYROID HORM UPTAKE/THYR HORM BINDING RATIO,$106.95 
"HC TRIIODOTHYRONINE TOTAL ASSAY, TT-3",$7.00 
HC TRIIODOTHYRONINE FREE ASSAY (FT-3),$5.25 
"HC ASSAY OF TROPONIN, QUANT",$263.50 
"HC ASSAY UREA NITROGEN, QUAN",$183.00 
HC ASSAY URINE UREA-N,$230.40 
"HC ASSAY OF URIC ACID, BLOOD",$134.50 
"HC ASSAY OF URIC ACID, BLOOD, OTHER SOURCE",$210.60 
HC ASSAY OF URINE VMA,$11.35 
HC ASSAY OF ZINC,$25.00 
"HC CHORIONIC GONADOTROPIN, QUANT",$114.65 
"HC CHORIONIC GONADOTROPIN, QUAL",$92.60 
HC ASSAY OF PROSTATE SPECIFIC ANTIGEN TOTAL,$244.75 
HC DRUG SCREEN MULTIP CLASS,$185.20 
HC ALPHA-FETOPROTEIN L3,$7.65 
HC CYSTATIN C,$49.60 
HC IGG 1 2 3 OR 4 EACH,$13.15 
HC LIPOPROTEIN BLD BY NMR,$24.10 
"HC BLOOD GASES: PH, PO2 & PCO2",$122.40 
"HC BLOOD GASES: PH, PO2 & PCO2 W O2 SATU",$179.70 
HC IMMUNOASSAY ANALYTE QUAL/SEMIQUAL MULTIPLE STEP,$36.75 
"HC ALLERGEN SPEC IGE QUANT,EACH",$4.50 
HC PLATELET ANTIBODIES,$127.05 
HC ANTINUCLEAR ANTIBODIES,$4.35 
HC ANTISTREPTOLYSIN O TITER,$4.15 
HC C-REACTIVE PROTEIN,$160.95 
"HC C-REACTIVE PROTEIN,HIGH SENSITIVITY",$7.60 
"HC BETA 2 GLYCOPROTEIN I ANTIBODY,EA",$5.25 
HC CARDIOLIPIN ANTIBODY,$11.35 
HC PHOSPHOLIPID ANTIBODY,$24.35 
"HC COMPLEMENT, ANTIGEN",$33.10 
"HC COMPLEMENT, TOTAL (CH50)",$5.50 
HC CYCLIC CIRULLINATED PEPTIDE ANTIBODY,$10.95 
"HC DNA ANTIBODY, NATV/2 STRAND",$7.65 
HC NUCLEAR ANTIGEN ANTIBODY,$15.75 
HC FLUORESCENT ANTIBODY; SCREEN,$13.10 
HC FLUORESCENT ANTIBODY; TITER,$30.90 
"HC IMMUNOASSAY, TUMOR ANTIGEN, CA 15-3",$12.25 
"HC IMMUNOASSAY, TUMOR ANTIGEN, CA 19-9",$10.95 
"HC IMMUNOASSAY, TUMOR ANTIGEN, CA 125",$8.75 
"HC HETEROPHILE ANTIBODIES,SCREEN",$172.00 
"HC IMMUNOASSAY,INFECT AGENT,QUANT",$21.85 
"HC IMMUNOFIX E-PHORESIS, SERUM",$13.00 
"HC T CELLS, TOTAL COUNT",$37.47 
HC T CELL ABSOLUTE COUNT/RATIO,$52.50 
HC T CELL ABSOLUTE COUNT,$31.50 
HC MICROSOMAL ANTIBODY,$6.00 
HC RHEUMATOID FACTOR TEST,$65.05 
"HC RHEUMATOID FACTOR, QUANT",$163.15 
"HC TB TEST, CELL MDIATD ANTGEN RESPS GAMMA INTFRON",$122.00 
HC TB INTRADERMAL TEST,$26.45 
HC SYPHILIS TEST NON TREPONEMAL ANTIBODY QUAL,$134.50 
"HC SYPHILIS TEST, QUANTITATIVE",$10.00 
HC ASPERGILLUS ANTIBODY,$7.65 
"HC BARTONELLA, ANTIBODY",$6.10 
"HC BLASTOMYCES, ANTIBODY",$18.20 
"HC LYME DISEASE ANTIBODY, CONFIRMATORY",$13.15 
HC LYME DISEASE ANTIBODY,$8.20 
"HC BRUCELLA, ANTIBODY",$13.25 
"HC CHLAMYDIA, ANTIBODY",$103.45 
"HC CHLAMYDIA, IGM, ANTIBODY",$107.35 
"HC COCCIDIOIDES, ANTIBODY",$16.50 
HC Q FEVER ANTIBODY,$18.25 
HC CRYPTOCOCCUS ANTIBODY,$24.15 
HC CMV ANTIBODY,$6.10 
"HC CMV ANTIBODY, IGM",$6.10 
"HC EPSTEIN-BARR ANTIBODY,EARLY",$15.75 
"HC EPSTEIN-BARR ANTIBODY,NUCLEAR",$30.70 
"HC EPSTEIN-BARR ANTIBODY,V CAPSID",$15.75 
HC HELICOBACTER PYLORI,$21.85 
"HC HELMINTH, ANTIBODY",$105.00 
"HC HERPES SIMPLEX TEST, UNSPECIFIED TYPE",$13.95 
"HC HERPES SIMPLEX TEST, TYPE 1",$14.95 
"HC HERPES SIMPLEX TEST, TYPE 2",$18.75 
HC HISTOPLASMA,$8.75 
HC HIV-1,$20.35 
"HC HIV-1/HIV-2, SINGLE ASSAY",$16.80 
"HC HEP B CORE AB TEST, TOTAL",$5.20 
"HC HEP B CORE AB TEST, IGM",$5.60 
HC HEPATITIS B SURFACE AB TEST,$3.50 
HC HEPATITIS BE AB TEST,$7.00 
HC HEP A ANTIBODY TOTAL,$4.90 
"HC HEP A AB TEST, IGM",$4.90 
HC LEGIONELLA,$13.80 
HC LEPTOSPIRA,$52.50 
HC MUMPS,$6.30 
HC MYCOPLASMA,$7.00 
HC RUBELLA,$10.50 
HC RUBEOLA,$8.25 
HC TOXOPLASMA,$8.75 
"HC TOXOPLASMA, IGM",$12.40 
HC VARICELLA-ZOSTER,$200.00 
"HC WEST NILE VIRUS AB, IGM",$16.50 
HC WEST NILE VIRUS ANTIBODY,$16.50 
"HC VIRUS, NOT SPECIFIED",$68.25 
HC THYROGLOBULIN ANTIBODY,$8.50 
HC HEPATITIS C AB TEST,$6.00 
HC RBC ANTIBODY SCREEN,$256.90 
HC RBC ANTIBODY IDENTIFICATION,$307.60 
HC ANTIHUMAN GLOBULIN DIR EA ANTISERUM,$77.20 
"HC BLOOD TYPING, ABO",$142.20 
"HC BLOOD TYPING, RH (D)",$77.20 
"HC BLOOD TYPE ANTIGEN DONOR REAGENT SERUM, EA AG",$71.00 
"HC BLOOD TYPING, RBC ANTIGENS",$174.20 
"HC COMPATIBILITY TEST,SPIN TECH",$185.20 
"HC COMPATIBILITY TEST,ANTIGLOB TECH",$211.70 
HC ASPERGILLUS AG EIA,$109.05 
HC GIARDIA AG EIA,$190.75 
HC HPYLORI STOOL EIA,$34.50 
HC HIV-1 AG W/HIV-1 & HIV-2 AB,$44.00 
HC IMMUNODIFFUSION OUCHTERLONY,$42.00 
HC SALMONELLA ANTIBODY,$75.60 
HC HIV ANTIGEN AND ANTIBODIES,$263.77 
HC BLOOD TRANSFUSION REACTION INTERPRETATION,$459.50 
HC CULTYP NUCLEIC ACID SEQUENCING METH EA ISOLATE,$712.10 
HC ARC RBC ANTIBODY SCREEN,$256.90 
HC ARC RBC ANTIBODY IDENTIFICATION,$307.60 
HC ARC ANTIHUMAN GLOBULIN DIR EA ANTISERUM,$77.20 
"HC ARC BLOOD TYPING, ABO",$142.20 
"HC ARC BLOOD TYPING, RH (D)",$77.20 
"HC ARC BLOOD TYPING, RBC ANTIGENS",$52.00 
"HC ARC BLOOD TYPING, RH PHENOTYPE",$81.00 
HC ARC RBC PRETREATMENT/ENZYM,$17.25 
"HC ARC RBC PRETREAT,SERUM DIFF RBC ABSO",$93.00 
"HC BLOOD SMEAR,MICRO EXAM,MANUAL DIFF WBC",$57.35 
HC BLOOD SMEAR MICRO EXAM W/O MANUAL DIFF,$9.20 
HC HEMATOCRIT,$57.35 
HC HEMOGLOBIN,$57.35 
HC COMPLETE CBC & AUTO DIFF WBC,$162.05 
HC COMPLETE CBC,$166.50 
HC RED BLOOD CELL (RBC) COUNT,$59.55 
"HC RETICULOCYTE COUNT, AUTO",$138.90 
HC LEUKOCYTE (WBC) COUNT,$59.55 
HC PLATELET COUNT,$121.30 
"HC BLOOD CLOT FACTOR VIII TEST, ONE STAGE",$67.80 
"HC ANTITHROMBIN III TEST,ACTIV",$24.85 
"HC CLOT INHIB PROTEIN C,ANTIGEN",$36.80 
"HC CLOT INHIB PROTEIN C,ACTIV",$27.60 
"HC CLOT INHIB PROTEIN S,TOTAL",$19.65 
"HC CLOT INHIB PROTEIN S,FREE",$34.95 
"HC FIBRIN DEGRADPRODUCTS,D-DIMER, QUANT",$172.00 
"HC FIBRINOGEN, ACTIVITY",$251.35 
HC BLOOD PLATELET AGGREGATION,$157.50 
HC PROTHROMBIN TIME,$168.70 
"HC RUSSELL VIPER VENOM, DILUTED",$31.50 
"HC RBC SED RATE, NONAUTO",$154.35 
HC RBC SICKLE CELL TEST,$18.00 
HC THROMBOPLAS TIME PARTIAL,$229.30 
HC THROMBOPLAS TIME PART PLASMA FRAC,$7.80 
HC OCCULT BLOOD OTHER SOURCES,$95.90 
HC BLOOD COUNT RETICULOCYTES AUTO 1/> CELL MEAS,$151.00 
"HC SPECIMEN CONCENTRAT, INFECT AGENTS",$9.30 
HC BLOOD CULTURE FOR BACTERIA,$253.60 
"HC STOOL CULTURE,SALMONELLA & SHIGELLA",$187.45 
"HC CULTURE SPEC, BACTERIA, NOT URINE,STOOL,BLOOD",$353.90 
"HC BACTERIA IDENTIFICATION, AEROBIC ISOLATE",$125.70 
HC BACTERIA CULTURE SCREEN,$172.00 
"HC URINE CULTURE, COLONY COUNT",$357.20 
HC FUNGUS ISOLATION CULTURE,$242.55 
"HC MYCOBACT CULTURE,ISOLATN",$293.25 
HC OVA AND PARASITES SMEARS,$172.00 
"HC ANTIBIOTIC SENS,MIC,EACH",$269.00 
"HC SMEAR,PRIMARY W/INTERP",$133.40 
"HC SMEAR, FLUOR STAIN, W INTERP",$181.90 
"HC SMEAR,INCLUSION BODIES/PARASITES,INTERP",$242.55 
"HC SMEAR,STAIN,WET MNT,INTERP",$108.05 
HC TISSUE EXAM BY KOH,$149.95 
"HC VIRUS ID,INOC TEST,OBSERV",$41.25 
"HC VIRUS ID;CENTRIF ENH TECH,W/IMMUNOFLUOR",$26.25 
"HC VIRUS ID,NON-IMMUNOLOGIC METHOD",$21.85 
"HC LEGION PNEUMO AG, DFA",$36.80 
"HC PNEUMOCYSTIS CARINII AG, IMMUNOFLUOR",$32.58 
"HC CRYPTOSPOR AG, EIA",$190.75 
"HC HEPATITIS B SURFACE AG, EIA",$319.75 
"HC HEPATITIS B AG, EIA",$6.10 
"HC HISTOPLASMA CAPSUL AG, EIA",$64.85 
"HC AG DETECT NOS, EIA, MULT STEP",$21.85 
"HC CHYLMD TRACH, DNA, AMP PROBE",$20.00 
"HC CYTOMED, DNA, AMP PROBE",$248.05 
"HC CYTOMEG, DNA, AMP PROBE",$135.45 
HC IADNA ENTEROVIRUS AMPLIF PROBE & REV TRNSCRIP,$190.00 
HC INFECTIOUS AGENT DNA/RNA INFLUENZA EA TYPE,$118.15 
HC INFECT AGENT DNA/RNA INFLUENZA FIRST 2 TYPES,$236.25 
HC IADNA HEPATITIS C QUANT & REVERSE TRANSCRIPTION,$125.90 
"HC HSV, DNA, AMP PROBE",$172.00 
HC IADNA HIV-1 QUANT & REVERSE TRANSCRIPTION,$91.65 
"HC M.TUBERCULO, DNA, AMP PROBE",$165.00 
"HC N.GONORRHOEAE, DNA, AMP PROB",$20.00 
"HC DETECT AGENT NOS, DNA, AMP",$232.05 
"HC DETECT AGENT,IMMUN,DIR OBS,INFLUENZA",$145.55 
HC STREP A ASSAY W/OPTIC,$83.80 
HC AGENT NOS ASSAY W/OPTIC,$221.60 
"HC HEPATITIS C VIRUS, GENOTYPE ANAL DNA/RNA",$196.60 
HC SKIN FUNGI CULTURE,$278.95 
HC FUNGI IDENTIFICATION MOLD,$110.25 
HC DNA/RNA DIRECT PROBE,$109.75 
HC MICROBE SUSCEPT MACROBROTH,$351.00 
HC SMEAR COMPLEX STAIN,$172.00 
HC CYTOMEG DNA QUANT,$132.40 
HC STREP B ASSAY W/OPTIC,$32.60 
HC DNA/RNA AMPLIFIED PROBE,$250.95 
HC ENTAMOEB HIST GROUP AG EIA,$37.00 
HC CULTURE ANAEROBE IDENT EACH,$137.80 
HC MICROBE SUSCEPTIBLE DISK,$56.25 
HC SHIGA-LIKE TOXIN AG EIA,$190.75 
HC LYME DIS DNA AMP PROBE,$117.90 
"HC DETECT AGENT,IMMUN,DIR OBS, RSV",$226.00 
"HC URINALYSIS, AUTO, W/SCOPE",$113.55 
"HC URINALYSIS, AUTO, W/O SCOPE",$61.75 
HC MICROSCOPIC EXAM OF URINE,$72.75 
HC URINE PREGNANCY TEST,$141.00 
HC F2 GENE ANALYSIS 20210G >A VARIANT,$86.55 
HC F5 COAGULATION FACTOR V ANAL LEIDEN VARIANT,$76.40 
HC HLA I LOW RESOLUTION ONE ANTIGEN EQUIVALENT EA,$23.60 
HC BODY FLUID CELL COUNT W DIFF,$218.30 
"HC LEUKOCYTE COUNT,FECAL",$47.40 
"HC EXAM,SYNOVIAL FLUID CRYSTALS",$123.50 
HC NASAL SMEAR FOR EOSINOPHILS,$191.85 
HC BCR/ABL1 GENE MAJOR BP,$206.80 
HC BCR/ABL1 GENE MINOR BP,$204.75 
HC CFTR GENE COM VARIANTS,$113.55 
HC MTHFR GENE,$85.20 
HC SPUTUM SPECIMEN COLLECTION,$363.80 
"HC BONE MARROW,SMEAR INTERPRETATION",$47.40 
HC DECALCIFY TISSUE,$51.80 
"HC SPECIAL STAINS,GROUP I",$121.30 
"HC SPECIAL STAINS,GROUP II",$110.25 
HC PATH CONSULT IN SURGERY,$20.95 
"HC PATH CONSULT IN SURG,W FRZ SEC",$57.35 
"HC PATH CONSULT IN SURG,W ADDN FRZ SEC",$29.75 
HC IMHISTOCHEM/CYTCHM 1ST SEP IDENT ANTIBODY SLIDE,$52.50 
"HC INTRAOPERATIVE CYTO PATH CONSULT, INITIAL SITE",$29.75 
HC IMHISTOCHEM/CYTCHM EA ADD SEP IDENT ANTIBODY SLIDE,$26.25 
"HC IMHISTOCHEM/CYTCHM PER SEP, EA MULTPLX AB STAIN",$52.50 
"HC CYTOPATH FLUIDS,SMEAR,INTERP",$36.40 
"HC CYTOPATH FLUIDS,CONCENTRATN,INTERP",$73.85 
"HC CYTOPATH, CELL ENHANCE TECH",$160.95 
HC CYTOPATH CERV/VAG THIN LAYER,$66.15 
"HC EVAL FNA SMEAR TO DETERMIN ADEQUACY, FIRST EVAL",$47.40 
HC INTERPRETATION OF FNA SMEAR,$79.40 
"HC SURG PATH,GROSS,LEVEL I",$35.30 
"HC SURG PATH,LEVEL II",$37.50 
"HC SURG PATH,LEVEL III",$89.30 
"HC SURG PATH,LEVEL IV",$104.75 
"HC SURG PATH,LEVEL V",$203.95 
"HC SURG PATH,LEVEL VI",$283.35 
HC TUMOR IMMUNOHISTOCHEM/MANUAL,$55.15 
HC X-RAY JAW 4+ VW,"$1,113.55 "
HC X-RAY FACIAL BONES <3 VW,$457.55 
HC X-RAY FACIAL BONES 3+ VW,$945.95 
HC X-RAY NASAL BONES,$470.75 
HC X-RAY ORBITS,$945.95 
HC X-RAY SINUSES <3 VW,$541.35 
HC X-RAY SKULL <4 VW,$746.40 
HC X-RAY SKULL 4+ VW,$882.00 
HC X-RAY TMJ UNILAT,$206.15 
HC X-RAY NECK SOFT TISSUE,$457.55 
HC X-RAY RIBS 2 VW UNILAT,$571.10 
HC X-RAY RIBS 3 VW BILAT,$770.65 
"HC X-RAY RIBS, CHEST 4+ VW",$923.90 
HC X-RAY SPINE ONE VIEW,$244.75 
HC RADEX SPINE CERVICAL 2 OR 3 VIEWS,$230.35 
HC RADEX SPINE CERVICAL 4 OR 5 VIEWS,$355.15 
HC RADEX SPINE CERVICAL 6 OR MORE VIEWS,$355.15 
HC X-RAY THORACIC SPINE+SWIM 3 VW,$457.00 
HC X-RAY THORACIC SPINE 4 VW,$206.15 
HC X-RAY THOR-LUMB SP 2 VW,$303.40 
HC X-RAY LUMBAR SPINE 2/3 VW,$571.10 
HC X-RAY LUMBAR SPINE 4 VW,$850.05 
HC X-RAY LUMBAR SPINE 6+ VW,$955.85 
HC X-RAY LUMBAR SPINE FLEX/EXTEN,$355.00 
HC X-RAY PELVIS 1/2 VW,$532.50 
HC X-RAY SACRUM/COCCYX 2+ VW,$571.10 
HC MYELOGRAPHY LUMBAR SPINE,"$1,042.95 "
HC MYELOGRAPHY OF ENTIRE SPINE,"$2,343.90 "
HC X-RAY CLAVICLE,$394.70 
HC X-RAY SHOULDER 1 VW,$413.45 
HC X-RAY SHOULDER 2+ VW,$532.50 
HC X-RAY HUMERUS,$470.75 
HC X-RAY ELBOW 2 VW,$413.45 
HC X-RAY ELBOW 3+ VW,$532.50 
HC X-RAY FOREARM 2 VW,$470.75 
HC X-RAY WRIST 2 VW,$428.85 
HC X-RAY WRIST 3+ VW,$532.50 
HC X-RAY HAND 2 VW,$413.45 
HC X-RAY HAND 3+ VW,$470.75 
HC X-RAY EXAM OF FINGER(S),$400.20 
"HC XRAY HIP W PELVIS, UNILAT 2-3 VW",$615.20 
"HC XRAY HIPS W PELVIS, BILAT 2 VW",$713.30 
HC XRAY FEMUR =>2 VW,$457.55 
HC X-RAY KNEE 1 OR 2 VIEW,$372.65 
HC X-RAY KNEE 3 VIEW,$206.15 
HC X-RAY KNEE 4+ VIEW,$506.05 
"HC X-RAY TIB + FIB, 2VW",$470.75 
HC X-RAY ANKLE 2 VW,$372.65 
HC X-RAY ANKLE 3+ VW,$517.05 
HC X-RAY FOOT 2 VW,$372.65 
HC X-RAY FOOT 3+ VW,$470.75 
HC X-RAY HEEL,$372.65 
HC X-RAY TOE(S),$372.65 
HC RADIOLOGIC EXAM ABDOMEN 1 VIEW,$372.65 
"HC X-RAY ABDOMEN,COMP ACUTE SERIES",$527.00 
HC ESOPHAGRAM,"$1,550.10 "
"HC SWALLOWING FCN,W/CINE &/OR VIDEO","$1,166.45 "
HC XRAY UPPER GI TRACT + KUB,$310.90 
"HC XRAY UPPER GI TRACT,W/SMALL INTEST,F/T",$449.80 
"HC X-RAY,SMALL BOWEL,W/MULT SERIAL FILMS",$955.85 
HC X-RAY OPER CHOLANGIOGRAM,"$1,113.55 "
HC X-RAY INTRODUCTN GI TUBE,$804.00 
HC X-RAY RETROGRADE PYELOGRAM,"$1,201.75 "
HC X-RAY URETHROCYSTOGRAM,"$1,511.70 "
HC VENOGRAM EXTREM UNILAT,"$3,367.05 "
HC VENOGRAM INFER VENA CAVA,"$3,124.50 "
HC CHANGE PERCUT TUBE/DRAIN CATH W CONTRAST MONIT,$492.80 
"HC RAD GUIDED,PERCUT DRAINAGE,W/CATH PLACE","$2,429.90 "
HC FLUOROSCOPY SPX UP TO 1 HOUR PHYS/QHP TIME,"$1,973.85 "
HC FLUOROSCOPY SPX >1 HOUR PHYS/QHP TIME,"$1,240.30 "
"HC X-RAY FISTULA,ABSCESS,SINUS TRACT",$822.45 
"HC X-RAY EXAM, BREAST SPECIMEN","$1,663.00 "
HC XR FLUORO GUIDANCE CV/PICC LINE,$288.85 
HC FLUOROSCOPIC GUIDANCE NEEDLE PLACEMENT,"$1,809.20 "
HC FLUORSCOPIC GUIDANCE SPINAL INJECTION,$513.75 
HC X-RAY BLADDER W CONTRAST,$348.40 
HC CONTRAST INJ PERQ RADIOLOGIC EVAL GI TUBE,$428.85 
