Standard Charge Description,Charge Description Master,Charge as of 1.1.19
CT SCAN GUIDANCE FOR AND MONITORING OF TISSUE DESTRUCTION,41318355,450.45
CT SCAN HEAD OR BRAIN,41278516,"1,634.10"
CT SCAN HEAD OR BRAIN BEFORE AND AFTER CONTRAST,41278500,"2,194.60"
CT SCAN HEAD OR BRAIN WITH CONTRAST,41278515,"1,634.10"
CT SCAN LEG,41278692,"1,510.75"
CT SCAN LEG WITH CONTRAST INJECTION,41278691,"1,543.55"
CT SCAN OF ABDOMEN AND PELVIS,41278400,"3,475.00"
CT SCAN OF ABDOMEN AND PELVIS BEFORE AND AFTER CONTRAST,41278402,"4,237.00"
CT SCAN OF ABDOMEN AND PELVIS WITH CONTRAST,41278401,"3,882.70"
CT SCAN OF ABDOMINAL AND PELVIC BLOOD VESSELS WITH CONTRAST,41270536,"5,508.00"
CT SCAN OF ABDOMINAL AORTA AND BOTH LEG ARTERIES WITH CONTRAST,41278684,"4,131.65"
CT SCAN OF ABDOMINAL BLOOD VESSELS WITH CONTRAST,41278685,"2,754.35"
CT SCAN OF ARM,41278702,"1,096.55"
CT SCAN OF ARM BEFORE AND AFTER CONTRAST,41310501,"1,369.90"
CT SCAN OF ARM BLOOD VESSELS WITH CONTRAST,41278689,"2,754.35"
CT SCAN OF ARM WITH CONTRAST,41310502,"1,096.55"
CT SCAN OF BLOOD VESSEL OF HEAD WITH CONTRAST,41278681,"2,754.35"
CT SCAN OF BLOOD VESSELS IN CHEST WITH CONTRAST,41278683,"2,754.35"
CT SCAN OF CRANIAL CAVITY,41278523,"1,695.30"
CT SCAN OF CRANIAL CAVITY BEFORE AND AFTER CONTRAST,41278522,"2,164.00"
CT SCAN OF CRANIAL CAVITY WITH CONTRAST,41278524,"1,695.30"
CT SCAN OF FACE,41278512,"1,785.90"
CT SCAN OF FACE BEFORE AND AFTER CONTRAST,41310487,"2,228.15"
CT SCAN OF FACE WITH CONTRAST,41278511,"1,785.90"
CT SCAN OF HEART BLOOD VESSELS AND GRAFTS WITH CONTRAST DYE,41310659,804.30
CT SCAN OF HEART WITH EVALUATION OF BLOOD VESSEL CALCIUM,41310656,663.00
CT SCAN OF LEG BEFORE AND AFTER CONTRAST INJECTION,41313702,"1,667.80"
CT SCAN OF LOWER LEG BLOOD VESSELS WITH CONTRAST,41278687,"2,754.35"
CT SCAN OF LOWER SPINE,41278520,"1,971.30"
CT SCAN OF LOWER SPINE BEFORE AND AFTER CONTRAST,41270533,"2,494.95"
CT SCAN OF LOWER SPINE WITH CONTRAST,41278521,"1,971.30"
CT SCAN OF MIDDLE SPINE,41278510,"1,936.45"
CT SCAN OF MIDDLE SPINE BEFORE AND AFTER CONTRAST,41270074,"2,788.80"
CT SCAN OF MIDDLE SPINE WITH CONTRAST,41310497,"1,936.45"
CT SCAN OF NECK,41278530,"1,280.00"
CT SCAN OF NECK BEFORE AND AFTER CONTRAST,41278529,"2,148.30"
CT SCAN OF NECK BLOOD VESSELS WITH CONTRAST,41278682,"2,754.35"
CT SCAN OF NECK WITH CONTRAST,41278528,"1,574.05"
CT SCAN OF PELVIC BLOOD VESSELS WITH CONTRAST,41278680,"2,754.35"
CT SCAN OF PELVIS BEFORE AND AFTER CONTRAST,41278525,"2,127.35"
CT SCAN OF UPPER SPINE,41278506,"1,637.95"
CT SCAN OF UPPER SPINE BEFORE AND AFTER CONTRAST,41278690,"2,817.25"
CT SCAN OF UPPER SPINE WITH CONTRAST,41310459,"1,743.00"
CT SCAN PELVIS,41278526,"1,628.45"
CT SCAN PELVIS WITH CONTRAST,41278527,"1,773.85"
DERMABOND SKIN ADHESIVE,41317156,93.35
DIGITAL TOMOGRAPHY OF BOTH BREASTS,31730228,60.00
DIGITAL TOMOGRAPHY OF ONE BREAST,31730229,60.00
"DILATOR FR, ANY SIZE",41315056,23.00
DRAINAGE KIT ARROW,41310017,194.40
EMBOSHERES 2 ML,41315087,602.00
EMBROCATH PLUS MICROCATHETER,41311071,"1,072.50"
EXERCISE OR DRUG-INDUCED HEART AND BLOOD VESSEL STRESS TEST WITH EKG TRACING AND MONITORING,41378325,704.80
FLO-SWITCH,41315080,20.80
FLUOROSCOPIC GUIDANCE FOR INSERTION OF NEEDLE,41311036,402.10
"FLUOROSCOPIC GUIDANCE FOR INSERTION, REPLACEMENT OR REMOVAL OF CENTRAL VENOUS ACCESS DEVICE",41317101,763.50
FOLLOW-UP OR LIMITED ULTRASOUND EXAMINATION OF HEART,41310105,468.20
GASTROJEJUNOSTOMY SET COOK,41316953,773.50
GASTROSTOMY FEEDING TUBE,41310322,265.85
"GASTROSTOMY/JEJUNOSTOMY TUBE, STANDARD, ANY MATERIAL, ANY TYPE, EACH",41314746,685.23
GUIDE WIRE,41319368,559.00
IMAGING FOR ABSCESS OR ABNORMAL DRAINAGE TRACT PROCEDURE,41316082,380.00
IMAGING FOR BONE AGE ASSESSMENT,41268070,220.30
IMAGING FOR BONE LENGTH ASSESSMENT,41430099,269.85
IMAGING FOR EVALUATION OF SWALLOWING FUNCTION,41312340,484.85
"IMAGING FROM NOSE TO RECTUM, SINGLE VIEW, CHILD",41316010,251.85
"IMAGING GUIDANCE FOR PROCEDURE, UP TO 1 HOUR",41312342,481.55
IMAGING OF ABDOMEN AND CHEST,41268003,492.20
IMAGING OF BLOOD VESSEL,41312327,875.80
IMAGING OF BRAIN AND SPINAL CORD FLUID FLOW SHUNT EVALUATION,41371013,677.90
"IMAGING OF BRAIN WITH BLOOD FLOW, MINIMUM OF 4 STATIC VIEWS",41377131,996.67
"IMAGING OF BRAIN, BLOOD FLOW",41370130,996.67
IMAGING OF LIVER AND BILE DUCT SYSTEM,41371060,"1,142.30"
IMAGING OF LIVER AND BILE DUCT SYSTEM WITH USE OF DRUGS,41377166,"1,142.30"
IMAGING OF LIVER AND SPLEEN,41377216,356.80
IMAGING OF LIVER AND SPLEEN WITH BLOOD FLOW,41371025,320.00
IMAGING OF PARATHYROID,41377227,513.65
IMAGING OF URINARY TRACT,41315083,629.30
IMAGING OF URINARY TRACT USING INFUSION TECHNIQUE WITH KIDNEY SECTION FILMING,41314415,944.35
IMAGING OF URINARY TRACT WITH INJECTION OF CONTRAST INTO A VEIN,41314400,739.35
INFLATION DEVICE BARD.,41319441,177.35
"INJECTION, GADOLINIUM-BASED MAGNETIC RESONANCE CONTRAST AGENT, NOT OTHERWISE SPECIFIED (NOS), PER ML",41430690,10.15
"INJECTION, SINCALIDE, 5 MICROGRAMS",41377038,110.60
"INJECTIONS OF BOTH SIDES OF SACRUM FOR ENLARGEMENT, 2 OR MORE NEEDLES, ACCESSED THROUGH THE SKIN",41315280,"5,079.00"
INTESTINE IMAGING,41377224,486.30
"INTRODUCER/SHEATH, GUIDING, INTRACARDIAC ELECTROPHYSIOLOGICAL, FIXED-CURVE, PEEL-AWAY",41317145,239.45
"INTRODUCER/SHEATH, OTHER THAN GUIDING, OTHER THAN INTRACARDIAC ELECTROPHYSIOLOGICAL, NON-LASER",41317059,313.15
"IODINE I-131 SODIUM IODIDE CAPSULE(S), THERAPEUTIC, PER MILLICURIE",41371050,76.95
KIT PNEUMOTHORAX ARROW,41319098,231.60
KIT SITE-RITE NDLE GUIDE,41319294,28.15
KIT SITE-RITE NEEDLE GUI,41310010,265.00
KUMPE CATHETER,41319369,96.00
KYPHO BONE BX DEVICE EXPRESS,41312756,579.45
KYPHO CEMENT MIXER-CAREFUSION,41310089,"2,031.25"
KYPHOPAK TRAY 15/2,41317248,"15,746.05"
KYPHOPLASTY BONE BIOPSY DEVICE,41317171,538.00
KYPHOPLASTY BONE FILLER DEVICE,41317176,455.25
KYPHOPLASTY CEMENT/MIXER PACK,41317170,724.25
KYPHOPLASTY CURETTE,41317169,807.05
KYPHOPLASTY INTRODUCER BEVEL/DIAM,41317189,"4,490.25"
KYPHOPLASTY INTRODUCER TROCAR/DIA,41317174,"4,697.25"
MA BREAST CLIP MARKER,31738803,325.95
MA BREAST DUCTOGRAM CANULA SET,31739255,42.45
MA BREAST LOCAL WIRE,31738708,71.60
MA BREAST NEEDLE BARD,31731006,47.00
MA BREAST PROBE MAMMOTOME,31738802,665.85
MA BREAST VACCUM TUBING,31738791,48.65
MAMMOGRAPHY OF BOTH BREASTS,31730073,157.00
MAMMOGRAPHY OF ONE BREAST,31739771,181.00
MEASURING THE STIFFNESS IN THE LIVER VIA ELASTOGRAPHY,41540535,460.00
MERIT MAK GUIDE WIRE 0.018 X 60,41310180,111.47
MICROPUNCTURE SET,41315098,88.30
MIDLINE BASIC TRAY 18G 10CM,41310170,232.37
MIDLINE BASIC TRAY 20G 10CM,41310171,232.75
"MODERATE SEDATION SERVICES BY PHYSICIAN ALSO PERFORMING A PROCEDURE, ADDITIONAL 15 MINUTES",41310191,22.05
"MODERATE SEDATION SERVICES BY PHYSICIAN ALSO PERFORMING A PROCEDURE, PATIENT 5 YEARS OF AGE OR OLDER, FIRST 15 MINUTES",41310190,49.60
MR BX LOCAL SET OD 9G ATEC,41689509,520.00
MR BX OD 9GX14 HANDPEICE ATEC,41689505,958.75
MR BX SUCTION CANISTER W LID,41689506,13.00
MR BX TITANIUM MARKER,41689508,195.00
MRA SCAN OF HEAD BLOOD VESSELS,41270063,"2,996.60"
MRA SCAN OF HEAD BLOOD VESSELS BEFORE AND AFTER CONTRAST,41430253,"3,353.35"
MRA SCAN OF HEAD BLOOD VESSELS WITH CONTRAST,41270534,"2,942.40"
MRA SCAN OF NECK BLOOD VESSELS,41278550,"2,996.60"
MRA SCAN OF NECK BLOOD VESSELS BEFORE AND AFTER CONTRAST,41278597,"3,353.35"
MRA SCAN OF NECK BLOOD VESSELS WITH CONTRAST,41278596,"2,996.60"
"MRI SCAN BONES OF THE EYE, FACE, AND/OR NECK",41278554,"2,523.70"
"MRI SCAN BONES OF THE EYE, FACE, AND/OR NECK BEFORE AND AFTER CONTRAST",41278551,"2,793.85"
MRI SCAN BRAIN,41278561,"2,877.00"
MRI SCAN OF ABDOMEN,41278661,"2,605.00"
MRI SCAN OF ABDOMEN BEFORE AND AFTER CONTRAST,41278582,"3,582.15"
MRI SCAN OF ABDOMEN WITH CONTRAST,41278660,"2,605.00"
MRI SCAN OF ARM,41278587,"2,340.20"
MRI SCAN OF ARM BEFORE AND AFTER CONTRAST,41278570,"2,996.60"
MRI SCAN OF ARM JOINT,41278673,"2,340.20"
MRI SCAN OF ARM JOINT BEFORE AND AFTER CONTRAST,41278576,"2,457.40"
MRI SCAN OF ARM JOINT WITH CONTRAST,41278678,"2,340.20"
MRI SCAN OF ARM WITH CONTRAST,41430347,"2,340.20"
MRI SCAN OF BRAIN BEFORE AND AFTER CONTRAST,41278559,"3,582.15"
MRI SCAN OF BRAIN WITH CONTRAST,41278571,"2,942.40"
MRI SCAN OF CHEST,41278665,"2,340.20"
MRI SCAN OF CHEST BEFORE AND AFTER CONTRAST,41278663,"2,696.85"
MRI SCAN OF JAW JOINTS,41278563,"2,340.20"
MRI SCAN OF LEG,41278605,"2,340.20"
MRI SCAN OF LEG BEFORE AND AFTER CONTRAST,41278545,"2,340.20"
MRI SCAN OF LEG JOINT,41278670,"2,852.45"
MRI SCAN OF LEG JOINT BEFORE AND AFTER CONTRAST,41278603,"2,852.45"
MRI SCAN OF LEG JOINT WITH CONTRAST,41430284,"2,340.20"
MRI SCAN OF LOWER SPINAL CANAL,41278634,"2,597.95"
MRI SCAN OF LOWER SPINAL CANAL BEFORE AND AFTER CONTRAST,41278652,"3,582.15"
MRI SCAN OF LOWER SPINAL CANAL WITH CONTRAST,41278546,"2,752.80"
MRI SCAN OF MIDDLE SPINAL CANAL,41278633,"2,570.60"
MRI SCAN OF MIDDLE SPINAL CANAL BEFORE AND AFTER CONTRAST,41278649,"3,582.15"
MRI SCAN OF MIDDLE SPINAL CANAL WITH CONTRAST,41540090,"2,752.80"
MRI SCAN OF PELVIS BEFORE AND AFTER CONTRAST,41278556,"2,696.85"
MRI SCAN OF UPPER SPINAL CANAL,41278627,"2,003.45"
MRI SCAN OF UPPER SPINAL CANAL BEFORE AND AFTER CONTRAST,41278581,"3,228.45"
MRI SCAN OF UPPER SPINAL CANAL WITH CONTRAST,41430269,"2,752.80"
NASO-JEJUNAL FEEDING TUBE,41310136,97.27
NDLE 18G BIOPTY,41319117,102.20
NDLE CHIBA 15G 22CM,41319042,22.10
NDLE COAXIAL TEMNO,41319299,104.40
NDLE ECHOTIP 20G,41319293,42.45
NEEDLE ABLATION ELECTRODE,41318358,"5,214.55"
NEEDLE BIOPRINCE BIOPSY,41317192,177.90
NEEDLE BIOPRINCE COAXIAL,41317193,49.65
NEEDLE RFA 3CM,41317134,"3,802.30"
NUCLEAR MEDICINE IMAGING FOR THYROID UPTAKE MEASUREMENTS,41370129,"1,010.00"
NUCLEAR MEDICINE STUDY BRAIN WITH METABOLIC EVALUATION,41540506,"7,121.45"
NUCLEAR MEDICINE STUDY OF BLOOD CIRCULATION IN THE LUNGS,41377219,"1,198.15"
NUCLEAR MEDICINE STUDY OF BONE AND/OR JOINT,41377128,770.85
"NUCLEAR MEDICINE STUDY OF HEART WALL MOTION AT REST OR STRESS WITH EVALUATION OF BLOOD EJECTION FROM HEART, SINGLE STUDY",41377325,416.65
NUCLEAR MEDICINE STUDY OF KIDNEY WITH ASSESSMENT OF BLOOD FLOW AND FUNCTION,41377231,975.00
NUCLEAR MEDICINE STUDY OF KIDNEY WITH ASSESSMENT OF BLOOD FLOW AND FUNCTION,41377233,880.25
NUCLEAR MEDICINE STUDY OF KIDNEY WITH ASSESSMENT OF BLOOD FLOW AND FUNCTION,41377266,891.85
NUCLEAR MEDICINE STUDY OF LIVER,41377199,"1,800.00"
NUCLEAR MEDICINE STUDY OF LUNG VENTILATION,41377218,323.35
NUCLEAR MEDICINE STUDY OF LUNG VENTILATION AND BLOOD CIRCULATION IN THE LUNGS,41377222,787.50
NUCLEAR MEDICINE STUDY OF RADIOACTIVE MATERIAL DISTRIBUTION,41377159,"1,187.30"
NUCLEAR MEDICINE STUDY OF RADIOACTIVE MATERIAL DISTRIBUTION AT MULTIPLE TUMOR LOCATIONS,31750033,698.55
NUCLEAR MEDICINE STUDY OF RADIOACTIVE MATERIAL DISTRIBUTION AT SITES OF INFLAMMATION IN WHOLE BODY,41377158,"1,005.00"
NUCLEAR MEDICINE STUDY OF TESTICLES AND BLOOD VESSEL FLOW,41377286,361.00
NUCLEAR MEDICINE STUDY OF VESSELS OF HEART USING DRUGS OR EXERCISE MULTIPLE STUDIES,41377180,"1,811.00"
NUCLEAR MEDICINE STUDY OF VESSELS OF HEART USING DRUGS OR EXERCISE SINGLE STUDY,41377112,"1,738.00"
NUCLEAR MEDICINE STUDY WITH CT IMAGING SKULL BASE TO MID-THIGH,41540199,"7,121.45"
NUCLEAR MEDICINE STUDY WITH CT IMAGING WHOLE BODY,41540200,"7,121.45"
NUCLEAR MEDICINE STUDY WITH MEASUREMENT OF BLOOD CIRCULATION IN THE LUNGS AND VENTILATION,41377221,591.95
NUCLEAR MEDICINE WHOLE BODY STUDY FOR THYROID CANCER,41371022,893.60
ORAL ADMINISTRATION OF RADIOACTIVE MATERIAL THERAPY AGENT,41377207,494.30
OSTEOCOOL DUAL KIT 10MM X 2,41310404,"12,691.00"
PARTIAL ULTRASOUND OF JOINT OR OTHER NON-BLOOD VESSEL STRUCTURE OF ARM OR LEG,31739777,257.85
PARTIAL ULTRASOUND OF JOINT OR OTHER NON-BLOOD VESSEL STRUCTURE OF ARM OR LEG,41310276,286.00
PATIENT PLEURX STARTER KIT,41310285,861.25
PLACEMENT OF CATHETER OF GALLBLADDER AND PANCREAS UNDER IMAGING USING AN ENDOSCOPE,41314330,891.10
"PORT, INDWELLING (IMPLANTABLE)",41317163,"2,748.00"
QUADRASPHERE MICROSPHERES-1550,41310164,"4,050.00"
QUICKCLOT 4X4 PEELABLE POUCH,41315278,79.23
QUICKCLOT COMBAT GAUZE,41315277,157.30
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF BIOPSY PROCEDURE,41316001,"1,230.70"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF CHANGE OF TUBE (ACCESSED THROUGH THE SKIN) OR DRAINAGE CATHETER WITH CONTRAST MONITORING,41311163,796.05
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF CT GUIDANCE FOR NEEDLE INSERTION,41314161,"1,610.65"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF DILATION OF URINARY DUCTS (URETERS) OR BLADDER CANAL (URETHRA),41311168,"1,648.00"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF DRAWING BLOOD VIA CATHETER PROCEDURE,41315893,"3,561.00"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF ABDOMINAL ARTERY,41315726,"4,557.00"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF ARTERIES OF BOTH ARMS OR LEGS,41315705,"2,784.00"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF ARTERIES OF BOTH LUNGS,41471075,"3,371.15"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF ARTERY,41315114,"1,070.30"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF ARTERY OF ONE ARM OR LEG,41315660,"2,309.00"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF ARTERY OF ONE LUNG,41471076,"3,002.35"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF ARTERY OF PELVIS,41315735,"3,561.00"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF BREAST DUCT,31750029,289.00
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF BREAST DUCT,31730079,289.00
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF LIVER VEIN WITH ASSESSMENT OF BLOOD FLOW,41311165,"2,759.00"
"RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF LUNG ARTERY, CONTRAST INSERTED BY CATHETER OR INJECTION INTO VEIN",41471074,"2,309.00"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF MAJOR ABDOMINAL VEIN,41315826,"2,759.00"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF MAJOR CHEST VEIN,41315828,709.00
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF VEIN OF ONE ARM OR LEG,41470850,979.00
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF VEIN OF ONE ARM OR LEG,41315821,979.00
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF VEIN OF ONE KIDNEY,41315832,"2,759.00"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF VEIN SYSTEM IN HEAD OR NECK VEIN,41311151,"2,309.00"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF IMAGING OF VEINS OF BOTH ARMS OR LEGS,41315824,851.80
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF INSERTION OF CATHETER INTO BILIARY DUCT USING AN ENDOSCOPE,41314350,587.15
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF INSERTION OF CATHETER INTO PANCREATIC DUCT USING AN ENDOSCOPE,41312338,587.15
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF OBSTRUCTION OF BLOOD VESSEL VIA CATHETER,41311170,642.10
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF PLACEMENT OF CATHETER OF UTERINE TUBE PROCEDURE,41318346,763.10
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF PLACEMENT OF CATHETER WITH DRAINAGE (ACCESSED THROUGH THE SKIN) PROCEDURE,41310477,"1,506.15"
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF PLACEMENT OF LONG SMALL BOWEL TUBE PROCEDURE,41312007,154.80
RADIOLOGICAL SUPERVISION AND INTERPRETATION OF REPAIR OF CHEST AORTA WITH GRAFT,41316109,"1,536.70"
RADIOLOGICAL SUPERVISION AND INTERPRETATION X-RAY OF ABDOMINAL AORTA,41315630,"2,675.50"
RADIOLOGICAL SUPERVISION AND INTERPRETATION X-RAY OF ABDOMINAL AORTA AND BOTH LEG ARTERIES,41315631,"2,497.10"
RADIOLOGICAL SUPERVISION AND INTERPRETATION X-RAY OF BILE AND/OR PANCREATIC DUCTS DURING SURGERY,41312331,616.70
RADIOLOGICAL SUPERVISION AND INTERPRETATION X-RAY OF CHEST AORTA,41470840,"2,759.00"
RADIOLOGICAL SUPERVISION AND INTERPRETATION X-RAY OF KNEE JOINT,41540321,382.00
RADIOLOGICAL SUPERVISION AND INTERPRETATION X-RAY OF SHOULDER JOINT,41313043,491.45
RADIOLOGICAL SUPERVISION AND INTERPRETATION X-RAY OF URINARY BLADDER AND URETHRA,41314452,542.00
RADIOLOGICAL SUPERVISION AND INTERPRETATION X-RAY OF URINARY BLADDER AND URETHRA,41314456,637.35
"RADIOLOGICAL SUPERVISION AND INTERPRETATION X-RAY OF URINARY BLADDER, MINIMUM OF 3 VIEWS",41314431,257.30
RADIOLOGICAL SUPERVISION AND INTERPRETATION X-RAY OF URINARY TRACT,41314426,380.00
RADIOLOGICAL SUPERVISION AND INTERPRETATION X-RAY OF UTERINE TUBES AND OVARIES,41314741,599.40
"RETRIEVAL DEVICE, INSERTABLE (USED TO RETRIEVE FRACTURED MEDICAL DEVICES)",41317194,"1,345.00"
RULER GLOW-N-TELL,41315058,40.25
SCREENING DIGITAL TOMOGRAPHY OF BOTH BREASTS,31730125,60.00
SET TRANSJUGULAR LIVER BIOPSY,41317139,"1,878.35"
SHEATH INTRODUCER 6F,41319285,57.05
SPECULUM VAGINAL W/LIGHT LRG,41310729,60.00
STATLOCK,41315089,16.10
"STENT, COATED/COVERED, WITH DELIVERY SYSTEM",41687725,"11,774.75"
"STENT, NON-CORONARY, TEMPORARY, WITHOUT DELIVERY SYSTEM",41315145,374.65
STOMACH EMPTYING STUDY,41377176,"1,238.80"
STOPCOCK 1-WAY,41319288,16.50
STOPCOCK 3-WAY,41315086,12.00
STOPCOCK TUOHY-BORST,41319289,47.25
SUTURE SET,31770060,13.55
"TECHNETIUM TC-99M EXAMETAZIME, DIAGNOSTIC, PER STUDY DOSE, UP TO 25 MILLICURIES",41377015,"4,334.90"
"TECHNETIUM TC-99M SESTAMIBI, DIAGNOSTIC, PER STUDY DOSE",41377003,415.45
"TECHNETIUM TC-99M SULFUR COLLOID, DIAGNOSTIC, PER STUDY DOSE, UP TO 20 MILLICURIES",31750058,114.40
T-FASTERNERS (HALYARD),41310293,357.33
TORQUE VISE,41315057,30.10
TRAY ARTHROGRAM,41431010,154.75
TRAY BONE BIOPSY ONCONTROL,41310287,"1,137.50"
TRAY LUMBAR PUNCTURE,41317082,41.35
TRAY MYELOGRAM,41315043,230.10
TRAY THORACENTESIS ARROW,41318374,60.85
TRAY-ARTERIOGRAM,41319013,338.25
TRAY-CT BIOPSY,41319291,63.90
TRAY-US BIOPSY,41319292,63.90
ULTRASONIC GUIDANCE DURING SURGERY,41316986,552.60
ULTRASONIC GUIDANCE FOR DRAINAGE OF SAC THAT COVERS THE HEART,41471083,138.75
ULTRASONIC GUIDANCE IMAGING SUPERVISION AND INTERPRETATION FOR INSERTION OF NEEDLE,31750089,763.50
ULTRASONIC GUIDANCE IMAGING SUPERVISION AND INTERPRETATION FOR INSERTION OF NEEDLE,31730092,763.50
ULTRASOUND AND MONITORING OF HEART OF FETUS,40850211,756.00
ULTRASOUND BEHIND ABDOMINAL CAVITY,41271532,664.65
"ULTRASOUND BEHIND ABDOMINAL CAVITY, LIMITED",41311315,449.45
ULTRASOUND GUIDANCE FOR ACCESSING INTO BLOOD VESSEL,41311307,763.50
ULTRASOUND GUIDANCE FOR REPAIR OF BLOOD VESSEL,41316933,624.30
"ULTRASOUND LIMITED SCAN OF ABDOMINAL, PELVIC, AND/OR SCROTAL ARTERIAL INFLOW AND VENOUS OUTFLOW",41271531,449.45
ULTRASOUND OF ABDOMEN,41271551,813.30
ULTRASOUND OF ABDOMEN,31772228,606.65
ULTRASOUND OF BRAIN,41311300,620.00
ULTRASOUND OF CHEST,41271511,441.75
ULTRASOUND OF FETAL BRAIN ARTERY,40850214,450.00
ULTRASOUND OF FETAL HEART,40850217,239.00
