Charge Number,Description,Charge
70170236,2.7/3.5MM CORTEX SCREW SYNTHES,69
70174047,2.8mm Quick Release Surgibit Drill,215
70185233,20.0mm Head Right,3764
70185180,20.0mm Mini Acutrak 2 Bone Screw,802.5
70180213,22.0mm Head Left,3764
70180204,22.0mm Mini Acutrak 2 Bone Screw,802.5
70174128,22.3X10mm BONE SCREWSCROSSPINSELFTAPPING,159.5
70185259,22.3X12mm BONE SCREWSCROSSPINSELFTAPPING,159.5
70185211,"22.4mm Val Smooth Shaft Screw, Titanium,",350
70174161,"22.4mm Val Smooth Shaft Screw, Titanium,",350
70185184,"22.4mm Val Smooth Shaft Screw, Titanium,",350
70174160,"22.4mm Val Smooth Shaft Screw, Titanium,",350
70174478,3.0 mm  ASNIS MICRO CANNULATED COUNTERSI,402
70174154,3.0 mm  ASNIS MICRO CANNULATED SCREW 26/,353.1
70185047,3.0 mm  ASNIS MICRO CANNULATED SCREW 40/,353.1
70173702,3.0 mm  ASNIS MICRO CANNULATED SCREWDRIV,252.7
70173700,3.0 mm  ASNIS MICRO K-WIRE 1.2 mm X 100,66
70174475,3.0 mm  ASNIS MICRO SOLID DRILL 2.1mm AO,126
70174151,3.0 mm  ASNIS MICRO WASHER 3.0mm STERILE,141.89
70180007,3.5m3.5mm CORTEX TI SCREW ?3.5mm / L28mm,81.9
70173976,3.5m3.5mm CORTEX TI SCREW ?3.5mm / L30mm,81.9
70180010,3.5m3.5mm CORTEX TI SCREW ?3.5mm / L32mm,81.9
70174119,3.5m3.5mm CORTEX TI SCREW ?3.5mm / L34mm,81.9
70174067,3.5mm CORSCREW 32MM X 3.5 NONLOCK 661432,81.9
70174120,3.5mm CORTEX TI SCREW ?3.5mm / L36mm,81.9
70173977,3.5mm CORTEX TI SCREW ?3.5mmSCREW 661428,81.9
70174130,3.5mm CORTSCREW 3.5X38 NONLOCKING 661438,81.9
70180241,"3.5mm Low Profile Screw, Fixed Angle, Lo",212.5
70173836,"3.5mm Low Profile Screw, Fixed Angle, Lo",212.5
70174159,"3.5mm Low Profile Screw, Fixed Angle, Lo",212.5
70185181,"3.5mm Low Profile Screw, Fixed Angle, Lo",212.5
70185186,"3.5mm Low Profile Screw, Fixed Angle, Lo",212.5
70180216,"3.5mm Low Profile Screw, Non-Locking, Ti",150
70185201,"3.5mm Low Profile Screw, Non-Locking, Ti",150
70185185,"3.5mm Low Profile Screw, Non-Locking, Ti",150
70174077,3.5mm x 10mm Locking Hexalobe Screw,245
70174075,3.5mm x 12mm Locking Hexalobe Screw,245
70174076,3.5mm x 12mm Non-Locking Hexalobe Screw,157.5
70180162,3.5mm x 14mm Locking Hexalobe Screw,245
70180159,3.5mm x 14mm Non-Locking Hexalobe Screw,157.5
70185283,3.5mm x 16mm Non-Locking Hexalobe Screw,157.5
70180161,3.5mm x 18mm Non-Locking Hexalobe Screw,157.5
70180157,3.5mm x 20mm Locking Hexalobe Screw,245
70170148,3/4 TONSIL SPONGE,27
70180158,33.5mm x 10mm Non-Locking Hexalobe Screw,157.5
70173288,36MM COMPR RVS SHLDR GLNSPR STD,2000
70180100,4.0 X46MM TI CANNULATED SCREW,316.8
70185175,4.5m4.5mm CORTEX TI SCREW ?4.5mm / L50mm,93.6
70185224,4.5m4.5mm CORTEX TI SCREW ?4.5mm / L60mm,93.6
70185220,4.5m4.5mm CORTEX TI SCREW ?4.5mm / L65mm,93.6
70185218,4.5mm CORTEX TI SCREW ?4.5mm / L36mm,93.6
70185217,4.5mm CORTEX TI SCREW ?4.5mm / L40mm,93.6
70185148,4.5mm CORTEX TI SCREW ?4.5mm / L46mm,93.6
70185150,4.5mm CORTEX TI SCREW ?4.5mm / L48mm,93.6
70185057,4.5mm CORTEX TI SCREW ?4.5mm / L55mm,93.59
70173907,4.5mm CORTEX TI SCREW ?4.5mmSCREW 661744,93.6
70185270,4mm CANCELLOUS TI SCREW ?4.0mm / L55mm /,117
70173739,4mm LOCK4mm LOCKING SCREW 4.0mm /  L30mm,429
70173981,4mm LOCKI4mm LOCKING SCREW 4.0mm / L24mm,429
70175148,4mm LOCKI4mm LOCKING SCREW 4.0mm / L26mm,429
70174116,4mm LOCKI4mm LOCKING SCREW 4.0mm / L32mm,429
70174066,4mm LOCKI4mm LOCKING SCREW 4.0mm / L44mm,429
70185091,4mm LOCKI4mm LOCKING SCREW 4.0mm / L60mm,429
70180028,4mm LOCKI4mm LOCKING SCREW 4.0mm / L65mm,429
70173753,4mm LOCKI4mm LOCKING SCREW 4.0mm / L75mm,429
70173744,4mm LOCKI4mm LOCKING SCREW 4.0mm / L80mm,429
70173754,4mm LOCKI4mm LOCKING SCREW 4.0mm / L85mm,429
70180228,4mm LOCKING SCREW 4.0mm / L20mm,429
70173983,4mm LOCKING SCREW 4.0mm / L28mm,429
70185008,4mm LOCKING SCREW 4.0mm / L32mm,429
70173752,4mm LOCKING SCREW 4.0mm / L36mm,429
70173979,4mm LOCKING SCREW 4.0mm / L38mm,429
70173740,4mm LOCKING SCREW 4.0mm / L3SCREW 661034,514.8
70174051,4mm LOCKING SCREW 4.0mm / L42mm,943.8
70174117,4mm LOCKING SCREW 4.0mm / L46mm,429
70173741,4mm LOCKING SCREW 4.0mm / L4SCREW 661040,429
70173742,4mm LOCKING SCREW 4.0mm / L55mm,429
70185010,4mm LOCKING SCREW 4.0mm / L70mm,429
70173743,4mm LOCKING SCREW 4.0mm / L7SCREW 661070,429
70174118,4mm LOCKING SSCREW 4.0X48 LOCKING 661048,429
70185061,5mm LOCKI5mm LOCKING SCREW 5.0mm / L40mm,455
70185216,5mm LOCKI5mm LOCKING SCREW 5.0mm / L42mm,455
70173903,5mm LOCKI5mm LOCKING SCREW 5.0mm / L44mm,455
70173908,5mm LOCKI5mm LOCKING SCREW 5.0mm / L46mm,455
70185172,5mm LOCKI5mm LOCKING SCREW 5.0mm / L50mm,455
70185056,5mm LOCKI5mm LOCKING SCREW 5.0mm / L55mm,455
70185149,5mm LOCKI5mm LOCKING SCREW 5.0mm / L70mm,455
70185058,5mm LOCKI5mm LOCKING SCREW 5.0mm / L75mm,455
70173904,5mm LOCKI5mm LOCKING SCREW 5.0mm / L80mm,455
70185219,5mm LOCKI5mm LOCKING SCREW 5.0mm / L85mm,455
70180237,5mm LOCKING SCREW 5.0mm / L16mm,455
70185272,5mm LOCKING SCREW 5.0mm / L32mm,455
70185223,5mm LOCKING SCREW 5.0mm / L34mm,455
70185273,5mm LOCKING SCREW 5.0mm / L36mm,455
70185222,5mm LOCKING SCREW 5.0mm / L38mm,455
70185173,5mm LOCKING SCREW 5.0mm / L48mm,455
70185059,5mm LOCKING SCREW 5.0mm / L60mm,455
70173905,5mm LOCKING SCREW 5.0mm / L65mm,455
70185082,5X150 APEX S/D HALF PIN 40 THR,244
70180163,6 Hole Midshaft Ulna Plate,1485
70180092,6.5 CANCELLOUS BONE SCREW 25mm,236.35
70180160,8 Hole Midshaft Ulna Plate,1485
70180214,8.0mm x 2.0mm Stem,2250
70170380,8FRENCH RED. ROBINSON CATH 0094080 BARD,0.9
1515017,A&D OINTMENT {VIT A&D 0.5GM} (S),6
1515502,A&D OINTMENT {VIT A&D113 GM} (S),16
5084001,A/G RATIO,0
1514859,A1 PROTEINASE {INH 10MG} (S-NW),10.97
431529,ABCESS SIMPLE,139
431530,ABCESS-COMPLICATED,139
3370358,ABDOMEN (2 VIEWS ONLY),148
3370001,ABDOMEN INCLUDES PA CHEST (3 VIEWS),353
3303462,ABDOMEN XRAY POST PROCEDURE/IMPLANT,0
70170439,ABDOMINAL BINDER,39.45
70171598,ABDUCTION PILLOW,247.75
4765042,ABG COLLECTION,0
4704802,ABG CORD BLOOD COLLECTION,0
4765156,ABG-ARTERIAL PUNCTURE,0
4765045,ABG-PH ONLY COLLECTION,0
1500001,ABILIFY (ARIPIPRAZOLE) 15MG (N),26
1500002,ABILIFY (ARIPIPRAZOLE) TAB:5MG (N),26
1515262,ABILIFY {ARIPiprazole 2 MG} TAB,83
1514836,ABILIFY TAB {ARIPiprazole 10MG},26
70174137,ABLATOR APOLLO RF AR-9811,437.5
5082014,ABO,18
5082013,ABO GROUP,35
5050148,"ABO, RH & AB SCREEN",0
5050193,"ABO,RH & AB SCREEN",0
5005464,"ABO,RH & ANTIBODY SCREEN",0
1515070,ABREVA {DOCOSONAL CREAM 10% 2GM},40
70172016,ABSORBABLE SKIN STAPLER,112.5
70173396,ABSORBABLE TACKER LAP STRAP23,1150
70172000,ABSORBATACK 20,1198
70171993,ABSORBATACK 5MM DISP,1438
70173514,ABSORBATACK LONG 30 CLPS,1197.25
70172296,ABSORBATACK SHORT 5MM,1040
56750,ABSORBATACK SHORT 5MM ABSTACK20S,1618.75
3370003,AC JOINTS (WT BEARING),222
70174647,ACCESS SHEATH 10 12 FR 28 CM,385
70171564,ACE 3IN STERILE,30.5
70171565,ACE 4IN STERILE,29.25
70171561,ACE 6IN (SMITH),35.75
70171563,ACE 6IN STERILE,35.75
70171562,ACE 6IN VELCRO,35.75
70174604,ACETABULAR SHELL 16-116052,3000
1500598,ACETADOTE IV {200MG/ML} >40KG (2ND DOSE),368
1500599,ACETADOTE IV {200MG/ML} >40KG (3RD DOSE),368
1515221,ACETADOTE IV {200MG/ML} >40KG (LOAD),368
5092021,ACETAMINOPHEN,108
1500003,ACETIC ACID SOLUTION  30ML (N),15
5050243,ACETONE (KETONE) URINE,24
5050265,"ACETYLCHOLINE RECEPTOR ABS, COMPLETE",300
5084103,ACETYLCHOLINE RECEPTOR ANTIBODY 085902,341
1500603,ACETYLCYSTEINE CAPSULE:600MG,10
5094000,ACHR BLOCKING AB. 085926,341
5094001,ACHR MODULATING AB 085933,341
5005032,ACID PHOSPHATASE TOTAL 829642,41
70171510,ACL DISPOSABLE KIT AR-1897S,112.5
70173590,ACP KIT ABS-10011,437.5
5092022,ACTH 004440,248
1513065,ACTIGALL {URSODIOL 300MG} CAP,14
1512907,ACTIVASE {ALTEPLASE TPA INJ 100MG} VIAL,20000
1514611,ACTIVASE CATHFLO {ALTEPLASE 2MG},194
5088001,ACTIVATED CLOTTING TIME,70
1514288,ACTOS {PIOGLITAZONE TAB 15MG},15
1514365,ACTOS {PIOGLITAZONE TAB 30MG} (S),17
1514855,ACTOS {PIOGLITAZONE TAB 45MG} (S),21
51299,ACUDYNE CLEANSER SCRUB 48/CS MDS093945,0
51298,ACUDYNE PREP SOLUTION MDS093944 48MIN,0
1515305,ACULAR  OPTH SOL 0.5%:3ML,0
70185280,Acu-Loc 2 VDR Extension Plt Neutral,1357.5
70185284,Acu-Loc 2 VDR Plt Extension Link Screw,345
70185281,Acu-Loc 2 VDR Prox Plt Std Long R,2115
70185177,Acu-Loc VDR Plate Narrow Right,1595
70174602,ACUTE AC REPAIR KIT,2250
70172027,ACUTRAK 2 LARG DRILL,425
5050271,"ACYLCARNITINE, PLASMA 070228",913
5005306,ADAMTS13 117913,200
1101136,ADAPTER BIOPSY VALVE,26.61
1101191,ADAPTERS SWIVEL (FIBER BRONC) 625191,32.6
1500006,ADDERALL TAB (AMPHETAMINE):10MG,8
5080043,ADDITIONAL CBC EXAM,0
5050449,ADD'L ALLERGENS - ALLERGEN 10 PANEL,13
5050455,ADD'L ALLERGENS - ALLERGEN 24 PANEL,13
5005479,ADD'L ALLERGENS - ALLERGEN 27 PANEL,13
5050450,ADD'L ALLERGENS - ALLERGEN FOOD PANEL,13
5050452,ADD'L ALLERGENS - ALLERGEN MOLD PANEL,13
5050454,ADD'L ALLERGENS - ALLERGEN ZONE 8 PANEL,13
5050527,ADD'L RAST - RAST FOOD IGE PANEL,13
5050529,ADD'L RAST - RAST FOOD IGG PANEL,13
5050525,ADD'L RAST - RAST INHALANT PANEL,13
5050531,ADD'L RAST - RAST SINGLE ALLERGEN,13
1513350,ADENOCARD I.V. {ADENOSINE INJ 6MG/2ML},122
1515006,ADENOCARD I.V. {INJ 12MG/4M}  (S),122
1515506,ADENOCARD I.V. {INJ 90MG/30ML} (S),680.9
5005489,ADENOVIRUS,100
5084212,ADENOVIRUS GROUP ANTIBODIES 096065,128
2503000,ADHESIVE SAO2 ADULT 2151,58.04
2502999,ADHESIVE SAO2 PEDIATRIC 2152,65.47
300328,ADMIN INFLUENZA VIRUS VACCINE,79
300329,ADMIN PNEUMONIA VACCINE,79
400418,ADMIN TD VACCINE,79
61661629,ADMISSION C SECTION KIT,168.61
9909914,ADMIT FROM ASSISTED LIVING SS,0
9909915,ADMIT FROM HOSPICE SS,0
9909900,ADMIT FROM NURSING HOME SS,0
9909901,ADMIT W/HOME HEALTH SS,0
70170336,ADULT EAR DRESSING S-1000,30
1514524,ADVAIR DISKUS 250/50MCG/DOSE 14 SIZE,288
1514479,ADVAIR DISKUS 500/50MCG/DOSE 14SIZE,288
1101247,ADVANTIX STENT 10X5CM,762.5
1101243,ADVANTIX STENT 7X5CM,762.5
1101244,ADVANTIX STENT 7X7CM,762.5
70174133,ADVINCULA DELINEATOR 3.0 AD750-KE30,262.5
70174134,ADVINCULA DELINEATOR 3.5 AD750-KE35,262.5
70174135,ADVINCULA DELINEATOR 4.0 AD750-KE40,262.5
5080064,AFB CULTURE WITH CONCENTRATION,128
5081081,AFB SMEAR AND CULTURE 183764,49
5092024,AFP MATERNAL SERUM 010801,122
5050162,AFP TETRA 017319,18
5094005,AFP TUMOR MARKER,122
5005503,AFP TUMOR MARKER MMCN,122
1510047,AFRIN SPRAY {OXYMETAZOLINE O.05% 15ML},16
1514349,AGGRENOX {DIPYRIDAMOLE/AS} CAP,12
70172642,AGRESSIVE PLUS CUTTER,250
61661675,AID BREASTFEEDING LATCH ASSIST,36.98
70185212,"AIMING GUIDE, RT, WIDE,  VOLAR DRP",1062.5
70174500,AIR KNOT PUSHER CUTTER 4721,625
4704818,AIRVO ADULT CIRCUIT KIT 900PT501,148.24
4704823,AIRVO EQUIP CHECK Q4HRS -STATISTIC ONLY,0
4704826,AIRVO2 INITIAL DAY,446
4704827,AIRVO2 SUBSEQUENT DAY,283
2030216,AIRWAY NASAL,59
2030215,AIRWAY ORAL,11
2502928,AIRWAY ORAL ADULT MEDIUM 90CM,0.83
2050924,AIRWAY ORAL ADULT MEDIUM 90CM  12/BX,10.25
2531431,AIRWAY ORAPHARYNGEAL COPA,49
2057837,AK-01000 TRAY THORCENTHESIS 10MIN,88.88
5094006,ALBUMIN,35
5050514,ALBUMIN - MMCN,35
1514084,ALBUMIN 25% INJ 12.5GM/50ML,169
1500008,ALBUTEROL 0.042% NEB 1.25MG/3ML (N),0
1500009,ALBUTEROL 0.083% NEB 2.5MG/3ML (N),0
1511574,ALBUTEROL HFA MDI 60 DOSE,66
1513626,ALBUTEROL SOLN {UD 2.5MG/0.5ML} (S),0
1500401,ALBUTEROL/ATROVENT NEB SOLN 2.5/0.5,0
5005244,ALCA,60
1511420,ALCAINE{PROPARACAINE OPTH SOL 0.5% 15ML},47
51516,ALCOHOL 16 OZ H    12/CS MDS098003Z,7.75
70173539,ALCOHOL 16oz BOTTLE,6.45
5092023,ALCOHOL BLOOD,113
1510380,ALDACTAZIDE SPIRONOLACTON/HCTZ 25/25 TAB,12
1510244,ALDACTONE {SPIRONOLACTONE 50MG} TAB,13
1510054,ALDACTONE {SPIRONOLACTONE TAB 25MG},10
5084112,ALDOLASE SERUM 002030,80
1510057,ALDOMET {METHYLDOPA 250MG} TAB,12
5094007,"ALDOSTERONE LCMS, SERUM 004374",246
5084135,ALDOSTERONE URINE 24HR 004291,253
5094008,ALDOSTERONE/RENIN  000703,227
1518095,ALINIA {NITAZOXANIDE 500MG} TAB (S),139.7
5084111,ALK PHOS ISOENZYMES 001612,136
5094009,ALKALINE PHOSPHATASE,43
5084021,ALKALINE PHOSPHATASE,52
5005038,ALLERGEN (SINGLE),13
5094010,ALLERGEN 10 RAST MINI PANEL,13
5094207,ALLERGEN 24 PANEL,13
5005476,ALLERGEN 27 PANEL,13
5005294,ALLERGEN ADDL (LABCORP),13
5084123,ALLERGEN FOOD PANEL,13
5084128,ALLERGEN INHALANT PANEL,13
5050456,ALLERGEN MOLD PANEL,13
5084126,ALLERGEN MOLD PANEL RAST,13
5050453,ALLERGEN PANEL ALLEMETRIX/CML ADDITIONAL,13
5050210,ALLERGEN PANEL ALLERMETRIX/COMMONWEALTH,13
5005296,ALLERGEN PRO W/TOTL IGE RSP-AREA6 602633,75
5092518,ALLERGEN ZONE 8 PANEL,13
5005295,ALLERGY FOOD PROFILE 602989,13
70170479,ALLODERM 3X7 MEDIUM (102021),1585
70172405,ALLODERM GRAFT 4X7 THIN,2380
70185263,AlloSync DBM Gel  5cc,2000
5092139,ALPHA 1 ANTITRYPSIN  001982,102
5050272,ALPHA 1 ANTITRYPSIN GENOTYPE 123260,240
5084260,ALPHA 1 ANTITRYPSIN PHENOTYPING 095653,136
5092322,ALPHA 17 OH PROGESTERONE 070085,147
5005382,ALPHA 2 ANTIPLASMIN 117739,240
5005391,ALPHA GAL IGE 806562,75
5050339,ALPHA1 ANTITRYPSIN DEFICIENCY DNA 511881,294
1500454,ALPHAGAN P{BRIMONIDINE} OPH SOL 0.1% 5ML,94
1514741,ALPHAGAN P{BRIMONIDINE}OPH SOL 0.15% 5ML,94
1513391,ALTACE {RAMIPRIL 10MG} CAP,13
1513389,ALTACE {RAMIPRIL 2.5MG} CAP,10
1513390,ALTACE {RAMIPRIL 5MG} CAP,10
1513970,AMARYL {GLIMEPIRIDE 2MG} TAB,10
1514403,AMARYL {GLIMEPIRIDE 4MG} TAB,12
5050187,"AMBIEN (ZOLPIDEM), SERUM 808135",270
1513456,AMBIEN {ZOLPIDEM 10MG} TAB,15
1513462,AMBIEN {ZOLPIDEM 5MG} TAB,12
4704712,"AMBU BAG, DISPOSABLE",163
530862,AMBULANCE ALS 1 EMERGENCY BASE RATE,788.26
531769,AMBULANCE ALS 1 NON EMERG BASE RATE,497.84
531767,AMBULANCE BLS EMERGENCY BASE RATE,663.8
530248,AMBULANCE BLS NON EMERG BASE RATE,414.88
530249,AMBULANCE MILEAGE CHARGE,16
4704764,AMBULATE WITH O2,59
5005245,AMCA,60
1500492,AMIDATE I.V. {ETOMIDATE} 20MG/10ML,50
1512712,AMIDATE I.V. {ETOMIDATE} 40MG/20ML,100
5094011,AMIKACIN (SERUM) TROUGH 007205,126.5
1500555,AMILORIDE TAB 5MG (N),10
5005065,"AMINO ACID QNT, PLASMA 700068",911
5092540,AMINO ACID URINE  700140,113
1513553,AMINO II 8.5/D5W50 1L (S),222
1510094,AMINOPHYLLINE I.V. 250MG/10ML VIAL (S),17
1510095,AMINOPHYLLINE I.V. 500MG/20ML VIAL,35
1514250,AMINOSYN 10% 500ML,147
1521016,AMIODARONE HCL IV SOLUTION 450MG/9ML,70.45
5092309,AMIODARONE PANEL 706705,114
1515178,AMITIZA {LUBIPROSTONE 24MCG} CAP,23
1515471,AMITIZA {LUBIPROSTONE 8MCG} CAP (S),23
5084070,AMITRIPTYLINE(ELAVIL) 007476,102.5
5094012,AMITRYPTILINE,40
1510105,AMMONIA AROMATIC VAPOROLE 1EA,10
5092025,AMMONIA BLOOD,120
2051085,AMNIHOOK STERILE 25/BX DYNJ04230,22.5
70174529,AMNIOFILL AF0250,1312.5
70174606,AMNIOFIX 4X6 CM AAS-5460,3600
70174020,AMNIOFIX GRAFT MESH 9X20 APS-5920,16348
5081086,AMOEBA ANTIBODIES 006874,264
1500257,AMOXICILLIN CAP  250MG (N),8
1500258,AMOXICILLIN CAP 500MG (N),8
1510107,AMOXIL {AMOXICILLIN 250MG} CAP (S),15
1510114,AMOXIL {AMOXICILLIN 500MG} CAP (S),16
1514231,AMOXIL {AMOXICILLIN 875MG} TAB,17
1510110,AMOXIL {AMOXICILLIN} SUSP 125MG/5ML 80ML,38
1511120,AMOXIL {AMOXICILLIN} SUSP 125MG/5ML UD,13
1510112,AMOXIL {AMOXICILLIN} SUSP 250MG/5ML 80ML,33
1510306,AMOXIL {AMOXICILLIN} SUSP 250MG/5ML U.D.,21
1514982,AMOXIL SUSP  5ML- E.D. DOSE (S),3
5084181,AMPHETAMINES URINE 071282,97
1510120,AMPICILLIN CAPSULE 500MG,12
1510436,AMPICILLIN SODIUM INJ 125MG VIAL,25
1510121,AMPICILLIN SODIUM INJ 1GM VIAL,37
1510546,AMPICILLIN SODIUM INJ 250MG VIAL,41
1512347,AMPICILLIN SODIUM INJ 2GM VIAL,41
1510414,AMPICILLIN SODIUM INJ 500MG VIAL,43
70174140,AMPLATZ 260035 M001465090,111.5
5005151,AMPLIFIED PROBE TECHNIQUE EA ADD'L ORG,50
5005150,AMPLIFIED PROBE TECHNIQUE EA ORGANISM,50
5005190,"AMPLIFIED PROBE TECHNIQUE, EACH ADDL",150
5005189,"AMPLIFIED PROBE TECHNIQUE, EACH ORGANISM",150
5084002,AMYLASE,40
5094013,AMYLASE BODY FLUID 088062,84
5084194,AMYLASE ISOENZYMES 123110,42
5084343,AMYLASE URINE,71
5093002,AMYLASE URINE (2 HR),52
5005550,AMYLASE URINE (2 HR) MMCN,52
5092102,ANA - DIRECT 164855,81.61
5035642,ANA - IFA 164947,90
5005156,ANA (PREMIER) 164962,59
5005439,ANA COMPREHENSIVE PANEL 165092,97
5050152,ANA W/REFLEX TO CONF TESTS  164863,59
1513939,ANALGESIC BALM (METHYL SALIC) 1OZ (N),22
5005322,ANAPLASMA PHAGOCYTOPHILUM,220
5050338,ANCA AB PROFILE  163873,120
1500609,ANCEF {CEFAZOLIN} 1 GRAM VIAL OMNICELL,53
1500011,ANCEF 1GM/STERILE WATER 10ML IVPB,53
1500385,ANCEF 2GM/STERILE WATER 20ML IVPB,106
1512884,ANCEF/KEFZOL {ceFAZolin} INJ 1GM VIAL,53
1513173,ANCEF/KEFZOL INJ 500MG VIAL (S),43
70171454,ANCHOR 1.3 MICRO WRIST ANCHOR,710
70171456,ANCHOR MENISCAL FASTNER KNEE,398
70170154,ANCHOR SUTURE BIOFASTIN RC,546
70173883,ANCHOR SUTURE SWIVEL LOCK 7MM AR-16692BC,957
70173820,ANCHOR W/1MM FIBER 3910-500-512,500
70185251,ANCHORAGE 1.6MM X 100MM GUIDE WIRE,68.4
70185252,ANCHORAGE 2.0 MM X 110 MM CALIBRATED REA,293
70185249,ANCHORAGE A0 TORQUE DRIVER REV. 2,353
70185247,ANCHORAGE FIXATION PIN,210
70185255,ANCHORAGE LOCKING SCREW 3mm X 12mm,381.25
70185250,ANCHORAGE LOCKING SCREW 3mm X 14mm,381.25
70185257,ANCHORAGE LOCKING SCREW 3mm X 16mm,381.25
70185253,ANCHORAGE PLATE MTP V1 RIGHT,2143
70185248,ANCHORAGE STANDARD SCREW 3mm X 16mm,262.5
5084279,ANDROSTENEDIONE LCMS  004705,212
1513475,ANECTINE {SUCCINYL} 20MG/1ML 10ML,36
5050425,ANEMIA PANEL,0
5005504,ANEMIA PANEL MMCN,0
2502889,ANESTHESIA FEE,950
2530026,ANESTHESIA-ENDOTRA INTUB,590
1514858,ANGIOMAX {BIVALIRUDIN INJ 250MG} VIAL,1500
5084091,ANGIOTENSIN CONVERTING ENZ. (ACE)010116,113
3370844,ANKLE BILATERAL,298
3370005,ANKLE LEFT,271
3303316,ANKLE LT 2 VIEWS,259
3370006,ANKLE RIGHT,271
5092130,ANTI DIURETIC HORMONE (ADH) 046557,227
5092027,ANTI DNA (DS) AB  096339,97
5092422,ANTI DNA DS (SLE),23
5084143,ANTI ENA 006338,114
5092346,ANTI HISTONE AB  012518,46
5005467,ANTI HMGCR ANTIBODY 821988,450
5092339,ANTI HU NEUR AB 808988,78
5005339,ANTI INFLIXIMAB AB,230
5092340,ANTI JO-1 AB  161455,130
5050532,ANTI MULLERIAN ABS 500183,110
5005435,ANTI PM/SCL AB,70
5005231,ANTI SRP 809782,265
5084147,ANTI STRIATED MUSCLE ANTIBODY 160184,118
5050236,ANTI-68KD (INNER EAR AB)840439,312
5092509,ANTIADRENAL ABS  082024,65
1514698,ANTIBIOTIC IRRIGATION SOLN 1000ML (S),200
1514699,ANTIBIOTIC IRRIGATION SOLN 3000ML (S),204
5082076,ANTIBODY ID (REF LAB),199
5082072,ANTIBODY IDENTIFICATION PANEL,172
5082080,ANTIBODY SCREENING,75.04
5082011,ANTIBODY TITER,71
5005029,ANTIBODY WEST NILE VIRUS,96
5050317,ANTICARDIOLIPIN AB IGG/IGM 161802,180
