Hospital Service, Price ,,,,,,,,
BALO ANGIOP CTR DIALYSIS SEG, $639.00 ,,,,,,,,
BARIUM ENEMA INTUSSUSCEPTN      ," $2,268.00 ",,,,,,,,
BARIUM ENEMA WITH AIR," $1,973.00 ",,,,,,,,
BARIUM ESOPHOGUS                , $964.00 ,,,,,,,,
BASIC DOSIMETRY CALC            ," $2,128.00 ",,,,,,,,
BASIC RADIATION DOSIMETRY CALC  ," $2,128.00 ",,,,,,,,
BASIC VESTIBULAR EVALUATION, $700.00 ,,,,,,,,
BASIC VESTIBULAR EVALUATION     , $700.00 ,,,,,,,,
BC CALORIC VESTIBULAR TEST      , $882.00 ,,,,,,,,
BC COMPUTERIZED POSTUROGRAPHY   ," $1,397.00 ",,,,,,,,
BC COMPUTERIZED TORSION SWING   ," $1,397.00 ",,,,,,,,
BC OPTOKINETIC NYSTAGMUS        , $495.00 ,,,,,,,,
BC OSCILLATING TRACKING, $495.00 ,,,,,,,,
BC POSITIONED NYSTAGMUS         , $495.00 ,,,,,,,,
BC PRESSURE FISTULE TEST        , $731.00 ,,,,,,,,
BC SPONTANEOUS NYSTAGMUS, $495.00 ,,,,,,,,
BC SPONTANEOUS NYSTAGMUS        , $495.00 ,,,,,,,,
BC USE OF VERTICAL ELECTRODES, $495.00 ,,,,,,,,
BC USE OF VERTICAL ELECTRODES   , $495.00 ,,,,,,,,
BEDSIDE SPIROMETRY, $753.00 ,,,,,,,,
BEHAV CHNG SMOKING > 10 MIN     , $75.00 ,,,,,,,,
BEHAV CHNG SMOKING 3-10 MIN, $82.00 ,,,,,,,,
BIL DUCT DIL W&W/O STENT        ," $1,840.00 ",,,,,,,,
BILAT. LYMPHANGIOGRAM," $1,497.00 ",,,,,,,,
BILATERAL 4 VIEWS, $749.00 ,,,,,,,,
BILE DUCT SUPPORT," $13,583.00 ",,,,,,,,
BILIARY ENDO THRU SKIN," $4,122.00 ",,,,,,,,
BILIARY ENDOSCOPY SKIN," $4,943.00 ",,,,,,,,
BILIARY STONE EXTRACT           ," $2,641.00 ",,,,,,,,
BILIARY STONE REMOVAL VIA T-TU," $2,641.00 ",,,,,,,,
BIOPSY EPIDIDYMIS NEEDLE, $876.00 ,,,,,,,,
BIOPSY OF CERVIX                ," $1,790.00 ",,,,,,,,
BIOPSY OF VULVA/PERINEUM 1 LES  , $560.00 ,,,,,,,,
BIOPSY ORAL TISSUE - HARD       , $156.00 ,,,,,,,,
BIOPSY ORAL TISSUE - SOFT       , $198.00 ,,,,,,,,
BIOPSY SALIVARY GLAND; NEEDLE, $798.00 ,,,,,,,,
BIOPSY SKIN/ EA ADD'L, $366.00 ,,,,,,,,
BIOPSY THYROID PERC CORE NEEDL, $828.00 ,,,,,,,,
BITEWING SINGLE FILM            , $39.00 ,,,,,,,,
BITEWING X-RAY - FOUR           , $96.00 ,,,,,,,,
BITEWING X-RAY - TWO            , $66.00 ,,,,,,,,
BLEPHAROTOMY DRAIN ABSC EYELID  , $623.00 ,,,,,,,,
BLINK REFLEX                    , $168.00 ,,,,,,,,
BLOOD PRODUCT EXCHANGE PR111," $3,835.00 ",,,,,,,,
BLOOD TRANSFUSION, $836.00 ,,,,,,,,
"BLOOD TRANSFUSION, ONCE         "," $3,499.00 ",,,,,,,,
"BLOOD,WHOLE TRANSFUS PR 950", $563.00 ,,,,,,,,
BLY DRN EXT / INT," $3,810.00 ",,,,,,,,
BM IMAGING; LIMITED             ," $1,878.00 ",,,,,,,,
BM IMAGING; MULTIPLE AREAS," $2,702.00 ",,,,,,,,
BM IMAGING; WB                  ," $2,953.00 ",,,,,,,,
"Board, 3 Cooke, CCU"," $22,460.00 ",,,,,,,,
"Board, 3 Cooke, ICU"," $22,460.00 ",,,,,,,,
BONE DEEP PERC," $2,793.00 ",,,,,,,,
BONE DENSITOMETRY               ," $1,562.00 ",,,,,,,,
BONE DENSITOMETRY FOR VERT FX   , $370.00 ,,,,,,,,
BONE DENSITTOM INCL VERT FX AS  ," $1,562.00 ",,,,,,,,
BONE GRAFT                      , $506.00 ,,,,,,,,
BONE REPLACEMENT GRAFT          , $114.00 ,,,,,,,,
BONE SUPERFICIAL PERC," $3,388.00 ",,,,,,,,
BONE/JOINT MANIP/ANES PR45," $2,747.00 ",,,,,,,,
BONE/JOINT; LIMITED," $1,909.00 ",,,,,,,,
BONE/JOINT; SPECT (3D)          ," $3,326.00 ",,,,,,,,
BPP W/ NST 1ST FETUS            ," $1,658.00 ",,,,,,,,
BPP W/O NST FIRST FETUS         , $978.00 ,,,,,,,,
BRACHIOCEPH TRUNK / BRANCH EA," $30,011.00 ",,,,,,,,
BRACHIOCEPHALIC 1ST 2ND ORD+F3," $4,139.00 ",,,,,,,,
BRACHYTX ISODOSE COMPLEX        ," $5,030.00 ",,,,,,,,
BRACHYTX ISODOSE PLAN SIMPLE, $403.00 ,,,,,,,,
BRAIN IMAGE W/FLOW < 4 VIEWS    ," $3,638.00 ",,,,,,,,
BRAIN IMAGE W/FLOW 4 + VIEWS," $3,965.00 ",,,,,,,,
BRAIN IMAGING (3D)              ," $4,592.00 ",,,,,,,,
BRAIN PET METABOLIC EVAL        ," $5,773.00 ",,,,,,,,
BRAIN PET METABOLIC EVAL PS     ," $5,773.00 ",,,,,,,,
BRAIN VASCULAR FLOW ONLY        ," $1,227.00 ",,,,,,,,
BREAST BIOPSY," $3,710.00 ",,,,,,,,
BREAST BIOPSY," $4,334.00 ",,,,,,,,
BREAST BX ADDL LESION," $1,414.00 ",,,,,,,,
BREAST TOMOSYNTHESIS DIAGNO LT  , $114.00 ,,,,,,,,
BREAST TOMOSYNTHESIS DX BILAT, $114.00 ,,,,,,,,
BREAST TOMOSYNTHESIS DX RT      , $114.00 ,,,,,,,,
BREATHING - CPAP/BIPAP," $1,001.00 ",,,,,,,,
BREATHING CPAP/BIPAP SUBSQ DAY  ," $1,001.00 ",,,,,,,,
BREATHING TEST CHALLENGE        ," $2,453.00 ",,,,,,,,
BREATHING TEST CHALLENGE SPIRO  ," $1,541.00 ",,,,,,,,
BREATHING TEST MVV              , $385.00 ,,,,,,,,
BREATHING TEST NIF              , $517.00 ,,,,,,,,
BREATHING TEST SPIRO, $494.00 ,,,,,,,,
BREATHING TEST SPIRO            , $494.00 ,,,,,,,,
BREATHING TEST SPIRO PRE/POST, $753.00 ,,,,,,,,
"BRIEF SCREENING-15"" MINIMUM", $230.00 ,,,,,,,,
BRONCHOSPASM - PRE & POST BD    , $753.00 ,,,,,,,,
BRONCHOTRON/VDR 1ST DAY         ," $2,991.00 ",,,,,,,,
BRONCHOTRON/VDR SUBSEQ DAY      ," $2,991.00 ",,,,,,,,
"BRT ISODOSE PLAN,INTERMEDIATE   "," $1,572.00 ",,,,,,,,
BRUSH BX URTR RNL PLVS          , $584.00 ,,,,,,,,
BURN DRESSING MED. AREA         ," $1,436.00 ",,,,,,,,
BX BREAST 1ST LESION MR IMAG," $4,334.00 ",,,,,,,,
BX BREAST 1ST LESION STRTCTC," $3,710.00 ",,,,,,,,
BX BREAST 1ST LESION US IMAG," $3,404.00 ",,,,,,,,
BX BREAST ADD LESION MR IMAG," $2,167.00 ",,,,,,,,
BX BREAST ADD LESION STRTCTC," $1,564.00 ",,,,,,,,
BX BREAST ADD LESION US IMAG," $1,414.00 ",,,,,,,,
BX BREAST VACUUM ASSIST US," $3,404.00 ",,,,,,,,
BX LUNG MEDIASTINUM," $4,006.00 ",,,,,,,,
BX PANCREAS PERC NEEDLE," $2,922.00 ",,,,,,,,
BX SOFT TISSUE NECK THORAX," $6,056.00 ",,,,,,,,
BYPASS GRAFT / AORTOFEMORAL," $10,181.00 ",,,,,,,,
BYPASS GRAFT / FEMORAL-POPLITE," $7,735.00 ",,,,,,,,
BYPASS GRAFT / ILIO FEMORAL," $6,536.00 ",,,,,,,,
BYPASS GRAFT / SUBCLAVIAN/AXIL," $6,597.00 ",,,,,,,,
BYPASS GRAFT AORTA ILIAC / BI-," $9,521.00 ",,,,,,,,
BYPASS GRAFT SUBCLAVIAN," $6,612.00 ",,,,,,,,
C MOTOR EVOKED LWR LIMBS        , $659.00 ,,,,,,,,
C0 DIFFUSE CAPACITY             , $363.00 ,,,,,,,,
C8957 PROLONGED IV INFUSION     ," $1,777.00 ",,,,,,,,
CAD BREAST MRI," $2,234.00 ",,,,,,,,
"CALCANEUS, MIN 2 VIEWS, BILAT   ", $441.00 ,,,,,,,,
"CALCANEUS, MIN 2 VIEWS, LT      ", $441.00 ,,,,,,,,
"CALCANEUS, MIN 2 VIEWS, RT      ", $441.00 ,,,,,,,,
CALCIUM SCORING CT              , $526.00 ,,,,,,,,
CALORIC BILATERAL BITHERMAL, $882.00 ,,,,,,,,
CALORIC BILATERAL MONOTHERMAL, $922.00 ,,,,,,,,
CALORIC VESTIBULAR TEST         , $922.00 ,,,,,,,,
CANE-S, $29.00 ,,,,,,,,
CANTHOTOMY                      , $603.00 ,,,,,,,,
CARD MRI W/STRESS IMG AND DYE   ," $2,643.00 ",,,,,,,,
CARD PERFUS SPECT MULTI," $7,949.00 ",,,,,,,,
CARD PERFUS SPECT SGL           ," $7,949.00 ",,,,,,,,
CARD PET PERFUS; MULTIPLE       ," $4,932.00 ",,,,,,,,
CARD PET PERFUS; SINGLE         ," $4,932.00 ",,,,,,,,
CARDIAC BLOOD POOL IMAGING," $3,245.00 ",,,,,,,,
CARDIAC CATH - OR               , $334.00 ,,,,,,,,
CARDIAC PET METABOL EVALUATION  ," $5,376.00 ",,,,,,,,
CARDIOPULM EXERCISE TESTING     ," $2,170.00 ",,,,,,,,
CARDIOVERSION," $1,347.00 ",,,,,,,,
CARDIOVERSION ELECTIVE; INT     ," $2,777.00 ",,,,,,,,
CARDIOVERSION ELECTRIC EXT      ," $2,777.00 ",,,,,,,,
CAROTID CEREBRAL BIL," $9,855.00 ",,,,,,,,
CAROTID CEREBRAL UNI," $16,093.00 ",,,,,,,,
CAROTID CERVICAL UNI," $9,855.00 ",,,,,,,,
CAROTID DUPLEX SCAN UNIL/LIMIT  ," $1,301.00 ",,,,,,,,
CAROTID DUPLEX SCAN; BILAT      ," $2,413.00 ",,,,,,,,
CAROTID EXTERNAL UNI," $13,577.00 ",,,,,,,,
CAST METAL PARTIAL - MAX        ," $1,461.00 ",,,,,,,,
CAST NON-PRECIOUS PER PONTIC    , $444.00 ,,,,,,,,
CAST SENU-PRECIOUS PER PONTIC   , $567.00 ,,,,,,,,
CAT ABD WO THEN W/CONTRAST      ," $6,233.00 ",,,,,,,,
CAT HEAD W/ CONTRAST," $3,949.00 ",,,,,,,,
CAT HEAD W/O CONTRAST           ," $3,435.00 ",,,,,,,,
CAT HEAD/BRAIN WO & W CONTRAST," $4,734.00 ",,,,,,,,
CAT MAXILL W/O CONTRAST," $3,634.00 ",,,,,,,,
CAT MAXILL. W/CONTRAST          ," $4,179.00 ",,,,,,,,
CAT NECK W&WO CON," $8,131.00 ",,,,,,,,
CAT NECK W&WO CON               ," $8,131.00 ",,,,,,,,
CATH LAB PROCEDURE              ," $31,544.00 ",,,,,,,,
CBT CONTINUOUS INHALE 1ST HR    , $616.00 ,,,,,,,,
CBT CONTINUOUS INHALE EA + HR   , $616.00 ,,,,,,,,
CBT EACH ADDL HOUR, $616.00 ,,,,,,,,
CCVHD DIALYSIS 1ST              ," $4,500.00 ",,,,,,,,
CCVHD DIALYSIS SUBSEQ           ," $4,500.00 ",,,,,,,,
CECOS W/FLURO INJECT PERCUTAN," $6,984.00 ",,,,,,,,
CENTRAL AUD EVAL ADDTL 15 MIN, $136.00 ,,,,,,,,
CENTRAL AUDITORY EVAL - 60 MIN, $545.00 ,,,,,,,,
CENTRAL MOTOR EVOKED U&L LIMBS  ," $1,238.00 ",,,,,,,,
CEPHALOMETRIC STUDY             , $108.00 ,,,,,,,,
CEREBRAL SEIZ W VIDEO 4 12 HRS  ," $7,301.00 ",,,,,,,,
