GOOD SAMARITAN HOSPITAL,,,
CHARGE DESCRIPTION MASTER,,,
"AS OF JUNE 1, 2018",,,
,,,
,,,
Chrg Code,Chrg Desc,Chrg Amt IP,Chrg Amt OP
12195,CTHTHRMB FGRTY 7F 80    ,"1,191.00","1,191.00"
12225,CTH FGRTY IRRIG 6F 80   ,579.00,579.00
12230,CATH FGRTY 8FR 14FR 80CM,"1,859.00","1,859.00"
12240,CTHTHRMB VNS 6F 80      ,"1,637.00","1,637.00"
12245,CTHTHRMB VNS 8F 80      ,"1,859.00","1,859.00"
12260,CATH FOL 12FR 5CC IC    ,324.00,324.00
12290,CATH FOLEY 16FR 30CC IC ,355.00,355.00
12301,CATH FOL 14FR ALL SIL   ,151.00,151.00
12303,CATH FOLEY 2W 8F 3CC    ,151.00,151.00
12304,CATH FOLEY 2W 10FR 3CC  ,151.00,151.00
12310,CATH FOLEY 18FR 30CC IC ,355.00,355.00
12315,CATH FOLEY 3W 18F 30CC  ,736.00,736.00
12350,CATH FOLY 3W LUB 22F 30 ,397.00,397.00
12365,CATH FOLEY 22F 5CC IC   ,335.00,335.00
12415,CATH FOLEY 3W 16F 30CC  ,397.00,397.00
12490,CATH URET COUDE TIP 18FR,177.00,177.00
12535,CATH FOLEY PED 10FR 3CC ,318.00,318.00
12540,CATH FOLEY PED 8FR 3CC  ,291.00,291.00
12739,CATH GD 6FR KIMNY       ,"1,803.00","1,803.00"
12944,CTHGD VBT 8F 088 XBLD3.5,"1,567.00","1,567.00"
13083,GW RTWR FLPY 325 5PK    ,"3,493.00","3,493.00"
13254,CATH BRNSTN 65 5F       ,577.00,577.00
13256,CATH BERN 5FR 100CM     ,579.00,579.00
13296,GW GRFX INT 300         ,"2,382.00","2,382.00"
13830,CATH CV 600564          ,"3,585.00","3,585.00"
13930,CATH IV ANGIO 14GAX2    ,179.00,179.00
13990,CATH IV INFUS 20GA1.88IN,179.00,179.00
14010,CATH IV ANGIO 22X2      ,35.00,35.00
14011,CATH IV ANGIO 24GX3/4   ,205.00,205.00
14045,CATH IV CUTDOWN 2.7FR BR,"2,865.00","2,865.00"
14259,CTHEP LVWR STE DD 401904,"14,743.00","14,743.00"
14285,CATH MLCT 16FR 4-WING   ,414.00,414.00
14290,CATH DRN MLCT 18FR 4-WNG,414.00,414.00
14295,CATH MLCT 20FR 4-WING   ,414.00,414.00
14300,DRAIN MLCT 4 WNG 22FR   ,414.00,414.00
14305,CATH MLCT 24FR 4-WING   ,414.00,414.00
14325,CATH MLCT 32FR STRL     ,414.00,414.00
14335,CATH MALECOT 36FR STERIL,414.00,414.00
14345,CATH MLCT 40FR STRL     ,414.00,414.00
14355,CATH MLCT 12FR 4-WING   ,414.00,414.00
14858,CTHEP SPRM 401860       ,"2,464.00","2,464.00"
14930,CATH QUINTON PERI 62    ,"1,859.00","1,859.00"
14932,CATH QUINTON PERI CRCL  ,"1,859.00","1,859.00"
14942,CATH ARTERIAL 22FR      ,496.00,496.00
14970,CATH UTL RED 10FR       ,28.00,28.00
14980,CATH UTLITY RED 12FR    ,28.00,28.00
14990,CATH UTL RED 14FR       ,28.00,28.00
15000,CATH UTILTY RED 16FR    ,28.00,28.00
15015,CATH UTILTY RED 18FR    ,28.00,28.00
15020,CATH UTL RED 20FR       ,153.00,153.00
15035,CATH UTL RR 22FR        ,153.00,153.00
15065,CATH UTL RED 8FR        ,28.00,28.00
15075,CATH RBNL 12FR 16       ,28.00,28.00
15085,CATH ARTHMY SYS 1.25MM  ,"15,725.00","15,725.00"
15095,CATH ARTHMY SYS 1.5MM   ,"15,725.00","15,725.00"
15096,CTH SYS ATHR RTLNK ADV  ,"4,990.00","4,990.00"
15097,SHTH PNCLC 6F 10 038 GW ,481.00,481.00
15100,CATH ARTHMY SYS 1.75MM  ,"15,725.00","15,725.00"
15110,CATH ARTHMY SYS 2MM     ,"15,725.00","15,725.00"
15455,CATH SUPRPUB STMY ST 12 ,"1,713.00","1,713.00"
15460,CATH DX SP STMY 14F 25CM,"1,713.00","1,713.00"
15471,CATH SUPRAPUBIC INTR    ,659.00,659.00
15590,CATH THOR STR ADLT 20F  ,186.00,186.00
15610,CATH TRC CHST 24F RT ANG,293.00,293.00
15615,CATH THOR RT ANG 28FR   ,293.00,293.00
15620,CATH THORAC RT ANGLE 32F,293.00,293.00
15625,CATH THORAC RT ANGLE 36F,293.00,293.00
15635,CATH THOR STR 40FR      ,193.00,193.00
15645,CATH THOR 16FR STRT     ,193.00,193.00
15660,CATH TROCAR 10FR X 8IN  ,481.00,481.00
15665,CATH TROCAR 12FR X 9IN  ,481.00,481.00
15685,CATH TROCAR 24FR X 1    ,481.00,481.00
15715,CATH UMBIL PU L15IN     ,496.00,496.00
15765,CATH URETERAL CONE      ,347.00,347.00
15850,CATH URETER 4FR WHIS    ,447.00,447.00
16055,CATH UMBILICAL 3.5FR    ,496.00,496.00
16065,CAUTERY AARON LOOP TIP D,496.00,496.00
16140,ELECTRODE CAUT XTN 6IN  ,119.00,119.00
16290,CEMENT BN CAP FEM SYSTM ,"2,229.00","2,229.00"
16295,SYRINGE CEMENT EXET     ,540.00,540.00
16925,CLAMP OSTMY             ,28.00,28.00
17220,APPLIER CLIP ENDO ER320 ,"2,151.00","2,151.00"
17240,HEMOCLIP TI SMALL       ,160.00,160.00
17391,VLV RLF 303TT W VAC     ,837.00,837.00
17635,COLLAR CERV FRMFT H4UNV ,131.00,131.00
17650,COLLAR CERVICAL 2INX-LNG,141.00,141.00
17655,COLLAR PHIL LG 3.25 NARR,333.00,333.00
17740,COLLAR CERV 10.5-22X3IN ,131.00,131.00
18175,CONNECTR PRFSN 3/8X3/8IN,206.00,206.00
18180,CONN Y .5X.5X.5 STRL    ,235.00,235.00
18185,CONNECTR PRFSN 3/8X1/2IN,235.00,235.00
18190,CONNECTOR PRFSN .25IN Y ,228.00,228.00
18200,CONN Y 3/8X3/8X3/8/6    ,282.00,282.00
19040,SHIELD CORNEAL LIGHT    ,80.00,80.00
19041,BLADE 7.5 TRPHN         ,"1,859.00","1,859.00"
19042,BLADE CORNL TRPHN 7.25  ,"1,859.00","1,859.00"
19145,CORNEAL TREPHINE WECK 7.,"1,859.00","1,859.00"
19150,BLADE 8.0 TRPHN         ,"1,859.00","1,859.00"
19155,CORNEAL TREPHINE WECK 8.,"1,859.00","1,859.00"
19160,BLADE SRG L15.8MM OD8.5M,"1,859.00","1,859.00"
19165,BLDE TRPHN 8.7 LNVTC    ,"1,859.00","1,859.00"
19190,OCCLUDER CRNRY 1.5MM    ,"1,339.00","1,339.00"
19196,CORNOARY OCCL 2.0MM     ,"1,339.00","1,339.00"
20100,CT LTD/LOC              ,"1,799.00","1,799.00"
20102,DHS ROOM ADJ            ,"6,780.00","6,780.00"
20104,DHS ROOM ADJ            ,"6,691.00","6,691.00"
20105,ESCITALOPRAM 5MG/5ML    ,130.00,130.00
20113,CYANOCOBALAMIN1MG/ML INJ,163.00,163.00
20114,PREGABALIN 25MG CAP     ,79.00,79.00
20115,PREGABALIN 50MG CAP     ,79.00,79.00
20116,PREGABALIN 75MG CAP     ,79.00,79.00
20122,ACAMPROSATE 333MG TAB   ,56.75,56.75
20125,DHS SEMI-PRIVATE        ,"6,780.00",0.00
20126,DHS REHAB SEMI-PRIVATE  ,"6,691.00",0.00
20127,D-DIMER QUANT           ,611.00,611.00
20134,3D CT/MRI/US/OTH IND    ,"4,728.00","4,728.00"
20139,CHEMO SQ/IM NON HORM ANP,"1,761.00","1,761.00"
20140,CHEMO SQ/IM HORMONL ANPL,"1,761.00","1,761.00"
20143,CHEM INF > 8HR REQ PUMP ,"2,075.00","2,075.00"
20145,CHEMO ART INF EA ADDL HR,490.00,490.00
20146,CHEMO INTART UP TO 1 HR ,"2,075.00","2,075.00"
20173,CHEMO SQ/IM NON HORM ANP,"1,761.00","1,761.00"
20177,CHEMO SQ/IM NON HORM ANP,"1,761.00","1,761.00"
20178,CHEMO SQ/IM HORMONL ANPL,"1,761.00","1,761.00"
20203,CHEM INF > 8HR REQ PUMP ,"2,075.00","2,075.00"
20209,OBS PER HOUR            ,323.00,323.00
20210,DIRECT REFERRAL TO OBS  ,661.00,661.00
20213,OBS PER HOUR            ,323.00,323.00
20214,DIRECT REFERRAL TO OBS  ,661.00,661.00
20215,OBS PER HOUR            ,323.00,323.00
20216,DIRECT REFERRAL TO OBS  ,661.00,661.00
20219,OBS PER HOUR            ,323.00,323.00
20221,OBS PER HOUR            ,323.00,323.00
20233,IVIG POWDER NOS 500 MG  ,469.25,469.25
20235,DIG IMMUNE FAB PER VIAL ,"12,593.00","12,593.00"
20236,HBIG HUMAN IM 0.5 ML    ,"1,104.00","1,104.00"
20238,CYCLOSPORINE 100 MG PO  ,178.00,178.00
20240,CYCLOSP MOD 100 MG PO   ,145.00,145.00
20241,TETANUS DIPTH 0.5 ML INJ,383.00,383.00
20243,MENINGOCOCCL POLYSACC SQ,"1,528.00","1,528.00"
20246,CORTROSYN 0.25 MG INJ   ,"1,624.00","1,624.00"
20247,DEFEROX MESY 500 MG INJ ,442.25,442.25
20248,DIHYDROERGOT 1 MG INJ   ,557.00,557.00
20251,SINCALIDE 5 MCG INJ     ,948.00,948.00
20256,CYCLOSPORINE 25 MG PO   ,82.75,82.75
20257,TACROLIMUS 5 MG INJ     ,"2,046.00","2,046.00"
20259,STREPTOZOCIN 1 G INJ    ,"4,047.00","4,047.00"
20345,OCC BLD PEROX OTH SOURCE,253.00,253.00
20346,LIPOPROTEIN ELECTRO BLD ,10.35,10.35
20347,VERTICAL AUTO PROF BLD  ,35.75,35.75
20353,LIPOPROTEIN (A)         ,9.49,9.49
20354,SIROLIMUS RAPAMUNE QN   ,16.86,16.86
20361,INJECTION IM OR SQ      ,620.00,620.00
20362,BLOOD TRANSFUSION       ,"3,015.00","3,015.00"
20363,IVP EA ADD SEQ NEW DRUG ,435.00,435.00
20364,IVP EA ADD SEQ SAME DRUG,435.00,435.00
20366,OXYQUINOLINE DX 0.5 MCI ,"15,478.00","15,478.00"
20372,GA67 CITRATE DX PER MCI ,843.00,843.00
20373,MERTIATIDE DX TO 15 MCI ,"3,141.00","3,141.00"
20376,OXIDRONATE DX TO 30 MCI ,693.00,693.00
20377,LABELED RBC DX TO 30 MCI,"2,704.00","2,704.00"
20390,INJECTION IM OR SQ      ,208.00,208.00
20391,INJECTION IM OR SQ      ,708.00,708.00
20394,ORTH MGT TRAIN EA 15M PT,288.00,288.00
20396,PROST TRAINING EA 15M PT,186.00,186.00
20403,ORTH MGT TRAIN EA 15M OT,216.00,216.00
20409,ORTH MGT TRAIN EA 15M OT,355.00,355.00
20410,PROST TRAINING EA 15M OT,304.00,304.00
20412,PROST TRAINING EA 15M PT,412.00,412.00
20419,IA2 AUTOANTIBODY        ,54.70,54.70
20420,CEA                     ,8.95,8.95
20421,CORTISOL FREE           ,67.70,67.70
20422,EBV EARLY AB QUAL       ,13.25,13.25
20423,LIGHT CHAINS LAMBDA NEPH,17.65,17.65
20424,LIGHT CHAINS KAPPA NEPH ,17.65,17.65
20426,ZIDOVUDINE 50MG/5ML SYR ,63.50,63.50
20427,LAMIVUDINE 50MG/5ML SOLN,108.00,108.00
20428,TIGECYCLINE 50 MG INJ   ,940.75,940.75
20429,CYCLOSPORIN 0.05% OPHSOL,93.25,93.25
20432,ORA PLUS SUSP           ,22.00,22.00
20433,INH TOBRAMYCIN NC 300 MG,846.00,846.00
20435,LIDOCAINE 4% CREAM      ,106.00,106.00
20436,SEVELAMER 800MG TAB     ,72.00,72.00
20443,INSULIN REG 100U/100ML  ,461.00,461.00
20444,PER CL CON INT COM W/IMP,"46,160.00","46,160.00"
20446,INTRACARDIAC ECHO       ,"20,326.00","20,326.00"
20452,IMMUNOFIX ELECTRO UR    ,17.55,17.55
20453,TRYPTASE IA QN          ,38.70,38.70
20454,INTERLEUKIN 6 IA QN     ,58.50,58.50
20455,INFECT AGENT AMP PROBE  ,378.00,378.00
20456,RIBOSOMAL P AB IA QN    ,30.90,30.90
20458,HISTONE AB QL IA        ,15.45,15.45
20461,NEUTRP FNCT OXI BRST NRS,59.60,59.60
20462,PTH RELATED PROTEIN RIA ,15.90,15.90
20465,BIOTINIDASE EA SPEC     ,55.60,55.60
20467,TRANSGLUTAMIN IGG QL IA ,12.65,12.65
20471,ANTI-CCP                ,10.95,10.95
20473,CMV DNA QN              ,90.00,90.00
20474,BRUCELLA AB QL IGG      ,14.10,14.10
20475,BRUCELLA AB QL IGM      ,14.10,14.10
20480,THYROTROP BIND INHIB IG ,15.00,15.00
20482,ALPHA GALACTOSIDASE NRAS,345.75,345.75
20483,METHANOL                ,12.50,12.50
20484,PROINSULIN              ,30.85,30.85
20485,CR EXER MON             ,69.25,69.25
20504,CT MAXIFAC W&W/O CONT   ,"5,440.00","5,440.00"
20505,CT MAXIFAC W/CONTRAST   ,"4,575.00","4,575.00"
20524,DSMT INDIVIDUAL EA 30MIN,678.00,678.00
20525,DSMT GROUP EA 30 MIN    ,507.00,507.00
20526,DSMT GROUP EA 30 MIN    ,341.00,341.00
20527,M A MIB-1 AB IHC QT/SQT ,21.20,21.20
20528,THORACENTESIS W/TB      ,"1,717.00","1,717.00"
20530,BX ABD/RETROPERITO      ,"2,874.00","2,874.00"
20531,BX ABD/RETROPERITO      ,"2,874.00","2,874.00"
20542,BRACHYTX NS HDR IR 192  ,198.00,198.00
20543,ALPHA SUBUNIT PIT GPH RI,57.40,57.40
20545,CULT ENTEROVIRUS        ,35.65,35.65
20546,INSULIN AB              ,19.75,19.75
20548,DNASE ANTIBODY          ,15.90,15.90
20551,BX BREAST IM GUID LT    ,"4,540.00","4,540.00"
20576,DHS SEMI-PRIVATE        ,"4,818.00",0.00
20577,DHS ROOM ADJ            ,"4,818.00","4,818.00"
20579,SP ANG VISC SEL W/WO F  ,"9,088.00","9,088.00"
20580,SP AORTOGM ABD W/FILM   ,"10,183.00","10,183.00"
20581,SP ANGIO EXT UNI LT     ,"8,727.00","8,727.00"
20582,SP ANGIO EXT UNI RT     ,"8,727.00","8,727.00"
20590,SP ANGIO ADDL VESSEL    ,"8,561.00","8,561.00"
20592,SP AORTOGM ABD W/RNF    ,"8,329.00","8,329.00"
20596,TENOFOVIR 300MG TAB     ,290.00,290.00
20601,PROPAFENONE SR 325MG    ,152.00,152.00
20603,BARRIER CREAM W/ZINC    ,30.40,30.40
20608,EXENATDE 600MCG INJ2.4ML,"3,189.00","3,189.00"
20609,EXENATDE 300MCG INJ1.2ML,"2,740.00","2,740.00"
20640,LOCM 300 TO 399 PER ML  ,13.55,13.55
20658,LYME DISEASE AB QL      ,14.65,14.65
20660,STREP GROUP B LATEX     ,25.95,25.95
20661,VIRUS SPEC ENZY ACTIVITY,16.75,16.75
20663,HGH STIMUL PANEL 4 TESTS,46.35,46.35
20680,INJECTION IM OR SQ      ,288.00,288.00
20688,INTRACARD EP 3D MAPPING ,"13,966.00","13,966.00"
20690,ILC/FEM ART ANG AT CCATH,"4,617.00","4,617.00"
20691,L VENTRIC PACING LEAD   ,"27,180.00","27,180.00"
20693,REMOVAL OF PACEMAKER SY ,"17,870.00","17,870.00"
20694,REMOVAL OF PACE ELETRODE,"17,870.00","17,870.00"
20695,"REMOVE ELTRD, TRANSEN   ","13,293.00","13,293.00"
20700,ITRACONAZOLE SPORONOZ QN,74.20,74.20
20718,INHIBIN B IA QN         ,88.20,88.20
20724,COLLAGEN BINDING IA QN  ,119.25,119.25
20725,FACTOR 13 ASSAY         ,61.80,61.80
20726,FACTOR 12 ASSAY         ,61.80,61.80
20730,INSULIN 5 U INJ         ,"1,312.00","1,312.00"
20732,ATAZANAVIR 150MG CAP    ,269.00,269.00
20736,"MINERAL OIL,LIGHT 10ML  ",162.00,162.00
20737,ALFUZOSIN 10MG TAB      ,92.75,92.75
20744,ARIPIPRAZOLE 5MG        ,257.00,257.00
20749,CPR                     ,"4,371.00","4,371.00"
20756,CATH AORTA              ,"5,724.00","5,724.00"
20757,CATH 1ST ORD UP ART     ,"10,092.00","10,092.00"
20758,CATH 2ND ORD UP ART     ,"10,493.00","10,493.00"
20759,CATH 3RD ORD UP ART     ,"10,869.00","10,869.00"
20760,CATH EA ADDL UP ART     ,"3,578.00","3,578.00"
20761,CATH 1ST OD LOW ART     ,"10,092.00","10,092.00"
20762,CATH 2ND OD LOW ART     ,"10,493.00","10,493.00"
20763,CATH 3RD OD LOW ART     ,"10,869.00","10,869.00"
20764,CATH EA ADDL LOW ART    ,"3,578.00","3,578.00"
20772,CATH HMDIAL 14FX28      ,"7,315.00","7,315.00"
20774,PORT MRI SUBQ W CATH 8FR,"7,480.00","7,480.00"
20775,MESH PROLENE 6X6        ,"1,867.00","1,867.00"
20776,CATH CV LNRD 10FR 2VITAC,"3,785.00","3,785.00"
20777,SCREW T2 F/T LCK 5X35   ,"6,283.00","6,283.00"
20778,PORT 1LUM MRI PERC INTRO,"5,296.00","5,296.00"
20781,SCREW BN GMA3 IM 10.5X80,"9,378.00","9,378.00"
20782,LEAD CPSR FXNVS 407658  ,"10,327.00","10,327.00"
20799,SP ANGIO EXT BI         ,"12,001.00","12,001.00"
20800,CEMENT BNE KYPHXHV-R    ,"2,992.00","2,992.00"
20801,PLATE TIB UHMWPE 41X62MM,"16,706.00","16,706.00"
20802,CEMENT BN FULL DS 10 PK ,"9,378.00","9,378.00"
20803,COMPNT PTLA 00597206529 ,"8,483.00","8,483.00"
20809,LCS COMP RP INS STD 15  ,"16,186.00","16,186.00"
20815,HEAD FM ART/EZ 32 +1 GRN,"9,137.00","9,137.00"
20817,STEM SMT CMNT SZ4 HI    ,"25,702.00","25,702.00"
20818,RESTRICTOR CEMENT 13.0MM,"2,221.00","2,221.00"
20820,OIL OPHTH SIL1000 PDMTHL,"7,480.00","7,480.00"
20822,MESH SURG MRLX 6X3IN GRO,"1,353.00","1,353.00"
20826,PLATE 1/3 TBLR 85MM 7HL ,"2,011.00","2,011.00"
20827,PLATE 1/3 TBLR 73MM 6HL ,"2,011.00","2,011.00"
20828,SCREW BNE CANC 4.0X14   ,497.00,497.00
20842,LEAD CPSR FXNVS 407645  ,"10,327.00","10,327.00"
20844,GRAFT BNE INFS LG ALGRFT,"98,860.00","98,860.00"
20847,SCREW MUL AX 5.5X45     ,"16,473.00","16,473.00"
20848,SCREW SET BREAK-OFF 6.35,"2,449.00","2,449.00"
20850,PLATE 45-57MM TI 5.5MM  ,"25,225.00","25,225.00"
20851,SCREW CANN 4.0 X 40 SH/T,"5,705.00","5,705.00"
20852,SUTURE STEEL MONO DS18  ,251.00,251.00
20857,PLATE 3.5 LC DCP        ,"4,323.00","4,323.00"
20858,SCREW CORTEX 3.5X12     ,616.00,616.00
20865,"PORT, LOW PROFILE ACCESS","10,204.00","10,204.00"
20869,ANCH ORTH PSHLK         ,"7,480.00","7,480.00"
20870,SUT LASSO AR-4068-25TL  ,"3,831.00","3,831.00"
20871,SUTURE LSO CRV RT 1.8MM ,"3,831.00","3,831.00"
20875,SCREW CORT LCK TI 2.3X20,"2,663.00","2,663.00"
20876,SCREW CORT LCK TI 2.3X18,"2,663.00","2,663.00"
20877,SCREW CORT LCK TI 2.3X24,"2,663.00","2,663.00"
20880,BIT DRILL QRLSE 2.8MM   ,"2,088.00","2,088.00"
20892,SCREW CORT 2.7X20       ,868.00,868.00
20897,SCREW LOCKING 3.5X18 212,"3,594.00","3,594.00"
20898,SCREW LOCKING 3.5X10 212,"3,594.00","3,594.00"
20899,KWIRE 1.6 TI 292.16 SYN ,"2,006.00","2,006.00"
20900,K-WIRE 2.0MM L150MM     ,401.00,401.00
20902,BIT DRILL 3.2 L145MM    ,"1,873.00","1,873.00"
20950,BLDE DERMATOME PDGT     ,"2,447.00","2,447.00"
21038,TRAY TIB KNEE KEEL 5    ,"29,373.00","29,373.00"
21039,TRAY 6 MBT TIB CMNT KEEL,"29,373.00","29,373.00"
21042,TRAY MBT REV CEM TIB 2.5,"57,439.00","57,439.00"
21044,BASEPLATE TIB 5520-B-400,"18,358.00","18,358.00"
21045,CMPNT FEM TRTHLN 2 RT   ,"35,423.00","35,423.00"
21046,INSRT TIB TRTHLN 11     ,"17,441.00","17,441.00"
21048,MESH FULL INGUINAL 15 X ,"4,203.00","4,203.00"
21049,GRFT BN ILIAC 13-15MM   ,"13,603.00","13,603.00"
21050,ANCH CORKSCREW 3.5      ,"5,386.00","5,386.00"
21053,SHNT CATH LMBR EXT DRN  ,"5,312.00","5,312.00"
21090,OP VISIT LEVEL 1 EST    ,572.00,572.00
21091,NAIL GAMMA 3 RT/LNG 320 ,"31,320.00","31,320.00"
21092,GRAFT BN DBM CANC 8ML   ,"13,791.00","13,791.00"
21093,SCREW LAG HIP 75X12.7MM ,"7,480.00","7,480.00"
21094,SCREW CORT 4.5X34       ,616.00,616.00
21100,OP VISIT LEVEL 3 EST    ,881.00,881.00
21103,RING FALLOP FRB-30      ,"2,743.00","2,743.00"
21113,OMEGA-3 ACID 1GM CAP    ,63.50,63.50
21116,TRAY TIB 4 MBT REV      ,"57,439.00","57,439.00"
21124,LENS IOL MZ60BD 21.5    ,552.00,552.00
21129,I123 SOD IOD CAP 100 UCI,943.00,943.00
21141,MESH PRFX XL PLG 0112   ,"5,532.00","5,532.00"
21148,MESH SURG DLMSH 15X10CM ,"8,955.00","8,955.00"
21225,SHTH INTRO 5FR 018 40 10,856.00,856.00
21246,INJ PERC EXTREM PSEAN LT,"2,031.00","2,031.00"
21247,INJ PERC EXTREM PSEAN RT,"2,031.00","2,031.00"
21248,ABG WITH CALC O2 SAT    ,"1,406.00","1,406.00"
21249,BLOOD GAS OTHER ANY TWO ,"1,406.00","1,406.00"
21251,SODIUM BLD              ,506.00,506.00
21252,POTASSIUM BLD           ,492.00,492.00
21253,CALCIUM IONIZED         ,32.00,32.00
21254,GLUCOSE BLD QN          ,646.00,646.00
21258,RIFAXIMIN 200MG TAB     ,117.00,117.00
21259,LEVETIRACETAM 500 MG INJ,623.50,623.50
21260,MNT GROUP EA 30 MIN     ,67.50,67.50
21274,INSERT ABDOM DRN PERM   ,"19,597.00","19,597.00"
21293,CD 57 1ST MARK          ,162.50,162.50
21300,MNT REASSESS EA 15 MIN  ,121.16,121.16
21301,COCCIDIODES GD          ,39.00,39.00
