Hospital Name:  Mercy St Marys SF,,,,,
OSHPD Facility No: 10630965,,,,,
"Effective Date of Charges: July 1, 2018",,,,,
,,,,,
"CDM
Number",Billing Description (25 char), Price ,Zero Price Inicator,,
0515536,TX FX/DISLOC LEVEL 2     ," 5,035.00 ",,,
0515544,TX FX/DISLOC LEVEL 3     ," 16,399.00 ",,,
0515569,WINDOWING/WEDGING OF CAST, 787.00 ,,,
0515585,PARACENTESIS/PERIT LAVAGE," 2,767.00 ",,,
0515593,EXCISION LEVEL 1         ," 2,409.00 ",,,
0515601,RECTAL PROCEDURE INTERMED," 3,162.00 ",,,
0515619,CATH FOR SPECIMEN COLLECT, 331.00 ,,,
0515627,INCIS/DRAIN/ASP LEVEL 2  ," 5,864.00 ",,,
0515635,TOBACCO COUNSELING 3-10MN, 112.00 ,,,
0515643,TOBACCO COUNSELING >10MIN, 233.00 ,,,
0515650,ENDOSCOPY PROC COMPLEX   ," 3,723.00 ",,,
0515668,DECLOT THROMBOLYSIS      ," 1,360.00 ",,,
0520552,US GUIDED VASCULAR ACCESS," 1,125.00 ",,,
0550203,TROPONIN QN POC          , 254.00 ,,,
0550204,BLADDER PROCEDURE LEVEL 1," 1,019.00 ",,,
0570102,SKIN PROCEDURE COMPLEX   ," 4,001.00 ",,,
0570103,DEBR SL SESSION 1ST 20CM ," 2,663.00 ",,,
0570104,ALCOH/SUBST INTERV >30MN , 488.00 ,,,
0570105,ALCOH/SUBST INTERV 15-30 , 98.00 ,,,
0570106,ARTERIAL PUNCTURE        , 266.00 ,,,
0570107,BLADDER PROCEDURE LEVEL 2, 585.00 ,,,
0570108,DEBR SELCT SESSION ADD 20, 439.00 ,,,
0570109,DENTAL PROC/REIMPLANT    , 189.00 ,,,
0570110,ECG 12 LEAD TRACING ONLY , 623.00 ,,,
0570111,EMERGENCY ESRD DIALY TRMT," 10,400.00 ",,,
0570112,ENDOSCOPY PROC INTERMED  , 155.00 ,,,
0570113,EXCISION LEVEL 2         ," 2,288.00 ",,,
0570114,EXPLORE WOUND            , 471.00 ,,,
0570115,FORESKIN MANIPULATION    , 230.00 ,,,
0570116,MOD SED <5Y 1ST 15 OTH MD, 406.00 ,,,
0570117,MOD SED =>5Y 1ST 15 OTHMD, 406.00 ,,,
0570118,MOD SEDAT ADD 15M OTH MD , 406.00 ,,,
0570119,NASOPHARYNGOSCOPY W ENDO , 252.00 ,,,
0570120,THORACOTOMY              ," 7,191.00 ",,,
0570121,THROMBOLYSIS CORONARY IV ," 1,948.00 ",,,
0570122,VENIPUNCT CUTDOWN < AGE 1, 211.00 ,,,
0570123,TELHEALTH FAC FEE NONHSPA, 64.00 ,,,
0570124,LARYNGOSCOPY DIAGNOSTIC  , 157.00 ,,,
0570125,IMP VENTRC CATH CEREB MON," 6,751.50 ",,,
0980603,BD DEN DAYS MCL          , -   ,1,,
0980607,BD DEN MED NEC           , -   ,1,,
1000001,TRANSFUS BLOOD/COMP 1HR  ," 2,104.00 ",,,
1000002,TRANSFUS BLOOD/COMP 2HR  ," 2,104.00 ",,,
1000003,TRANSFUS BLOOD/COMP 3HR  ," 2,104.00 ",,,
1000004,TRANSFUS BLOOD/COMP 4HR  ," 2,104.00 ",,,
1000005,TRANSFUS BLOOD/COMP 5HR  ," 2,104.00 ",,,
1000006,TRANSFUS BLOOD/COMP 6HR  ," 2,104.00 ",,,
1000007,TRANSFUS BLOOD/COMP 7HR  ," 2,104.00 ",,,
1000008,TRANSFUS BLOOD/COMP 8HR  ," 2,104.00 ",,,
1000009,TRANSFUS BLOOD/COMP >8HR ," 2,104.00 ",,,
1010008,INFUSION/CHEMOTHERAPY    , -   ,2,,
1013184,BONE MARROW ASP ONLY     ," 1,474.00 ",,,
1013192,PARACENTESIS ABD WO IMAG ," 1,016.00 ",,,
1013234,APHERESIS WBC            ," 11,139.00 ",,,
1013366,VENIPUNCTURE NON LAB     , 152.00 ,,,
1013481,LUMBAR PUNCTURE DIAGNOSTC," 1,208.00 ",,,
1013507,INJ TX/DX/PROPH SUBQ/IM  , 325.00 ,,,
1013523,INJ TX/DX/PRO IVPUSH INIT, 325.00 ,,,
1013531,INJ TX/DX/PRO IV PUSH SEQ, 325.00 ,,,
1013754,INJ TX/PRO/DX IVP SME DRG, 325.00 ,,,
1013762,PHLEBOTOMY THERAPEUT     , 655.00 ,,,
1013770,INS PICC WO PORT/PUMP>5YR," 3,099.00 ",,,
1013788,REPL PICC WO PORT        ," 2,250.00 ",,,
1013796,PLEURODESIS INSTIL AGENT ," 1,141.00 ",,,
1013804,VISIT LEVEL 2 EST PT     , 188.00 ,,,
1013812,VISIT LEVEL 2 EST W PROC , 188.00 ,,,
1013853,VISIT LEVEL 3 EST PT     , 200.00 ,,,
1013861,VISIT LEVEL 3 EST W PROC , 200.00 ,,,
1013903,VISIT LEVEL 4 EST PT     , 268.00 ,,,
1013911,VISIT LEVEL 4 EST W PROC , 268.00 ,,,
1013952,VISIT LEVEL 5 EST PT     , 348.00 ,,,
1013960,VISIT LEVEL 5 EST W PROC , 348.00 ,,,
1013978,VISIT LEVEL 1 EST PT     , 149.00 ,,,
1013986,VISIT LEVEL 1 EST W PROC , 149.00 ,,,
1014000,VISIT LEVEL 1 NEW PT     , 149.00 ,,,
1014018,VISIT LEVEL 1 NEW W PROC , 149.00 ,,,
1014026,VISIT LEVEL 2 NEW PT     , 188.00 ,,,
1014034,VISIT LEVEL 2 NEW W PROC , 188.00 ,,,
1014042,VISIT LEVEL 3 NEW PT     , 245.00 ,,,
1014059,VISIT LEVEL 3 NEW W PROC , 245.00 ,,,
1014067,VISIT LEVEL 4 NEW PT     , 311.00 ,,,
1014075,VISIT LEVEL 4 NEW W PROC , 311.00 ,,,
1014083,VISIT LEVEL 5 NEW PT     , 442.00 ,,,
1014091,VISIT LEVEL 5 NEW W PROC , 442.00 ,,,
1016154,BX&ASPIRAT BONE MARROW DX," 1,838.00 ",,,
1026160,INF IV HYDRA INIT 31-60MN," 1,817.00 ",,,
1026178,INF IV HYDRAT EA ADD HR  , 491.00 ,,,
1026186,INF TX/DX/PRO INIT 1ST HR," 2,180.00 ",,,
1026194,INF TX/DX/PRO EA ADD HR  , 599.00 ,,,
1026202,INF TX/DX/PRO SEQ 1HR    , 948.00 ,,,
1026210,CHEMO SQ/IM NONHORMONAL  , 701.00 ,,,
1026228,CHEMO SQ/IM HORMONAL     , 301.00 ,,,
1026236,CHEMO IV PUSH INITIAL    ," 1,331.00 ",,,
1026244,CHEMO IV PUSH EA ADD     , 746.00 ,,,
1026251,CHEMO INF INIT 1ST HR    ," 1,036.00 ",,,
1026269,CHEMO INF EA ADD HR      , 216.00 ,,,
1026277,IRRIG IMPLANTED VEN ACCES, 241.00 ,,,
1026293,INF TX/DX CONCURRENT     , 324.00 ,,,
1026301,INSERT NONTUN CV CATH >5 ," 3,510.00 ",,,
1026319,REPAIR CV CATH WO PUM/POR, 926.00 ,,,
1026327,REM TUN CV CATH WO PORT/P," 1,594.00 ",,,
1026335,REM TUN CVA DEV W PORT/P ," 2,749.00 ",,,
1026343,CHEMO INF EA SEQ 1ST HR  , 707.00 ,,,
1026376,PUMP IMPLANTD REFIL/MAINT, 352.00 ,,,
1026384,INF IV TX/DX PUMP PROLONG, 514.00 ,,,
1026392,CHEMO IV INF PUMP PROLONG," 1,610.00 ",,,
1026400,CHEMO ADMIN PERIT CAV IND, 681.00 ,,,
1026434,VASC ACCES THROMBL DECLOT, 339.00 ,,,
1026442,BLOOD COLLECTION VAD     , 287.00 ,,,
1026459,GLUCOSE BLD BY DEVICE POC, 216.00 ,,,
1026467,PUMP PORTABL REFILL/MAINT, 514.00 ,,,
1026475,BLOOD COLLECTION PICC    , 316.00 ,,,
1026483,BLAD INSTL ANTICARCINOGEN, 478.00 ,,,
1026491,CHEMO ADMIN INTRATHECAL  , 671.00 ,,,
1026509,CHEMO INJ SUBARAC/VENTRIC, 441.00 ,,,
1026517,ADMIN IMMUN ORAL/NASL ONE, 212.00 ,,,
1026525,ADMN IMMUN ORAL/NASAL ADD, 212.00 ,,,
1026541,ADMIN PNEUMO VACCINE     , 176.00 ,,,
1090001,EQ CLINIC VISIT LEVEL    , -   ,2,,
1090002,EQ TREATMT ROOM VISIT LEV, -   ,2,,
1090029,EQ RENAL DIALYSIS CRRT   , -   ,2,,
1090030,EQ RENAL DIALYSIS CAPD   , -   ,2,,
1090032,EQ ROOM LEAVE OF ABSENCE , -   ,2,,
1090033,EQ ROOM SUBACUTE CARE I  , -   ,2,,
1090034,EQ ROOM SUBACUTE CARE III, -   ,2,,
1090035,EQ ROOM SUBACUTE CARE IV , -   ,2,,
1090036,EQ ROOM SUBACUTE CARE OTH, -   ,2,,
1091111,EQ PHARM SELF ADMIN & 636, -   ,2,,
1091112,EQ PHARM W HCPCS & 250 MC, -   ,2,,
1091113,EQ ORGAN ACQU CADAVER DON, -   ,2,,
1091114,EQ EMERGENCY MED SCREEN  , -   ,2,,
1096916,EQ ROOM PVT GENERAL      , -   ,2,,
1096924,EQ ROOM SEMI GENERAL     , -   ,2,,
1096932,EQ ROOM SEMI M/S/GYN     , -   ,2,,
1096940,EQ ROOM SEMI PVT OB      , -   ,2,,
1096957,EQ ROOM SEMI PVT PED     , -   ,2,,
1096965,EQ ROOM SEMI PVT PSYCH   , -   ,2,,
1096973,EQ ROOM SEMI ONCOLOGY    , -   ,2,,
1096981,EQ ROOM SEMI PVT REHAB   , -   ,2,,
1096999,EQ ROOM NEWBORN LEVEL 1  , -   ,2,,
1097005,EQ ROOM NEWBORN NICU II  , -   ,2,,
1097013,EQ ROOM NEWBORN NICU III , -   ,2,,
1097021,EQ ROOM NEWBORN NICU IV  , -   ,2,,
1097039,EQ ROOM SUBACUTE CARE    , -   ,2,,
1097047,EQ ROOM ICU GENERAL      , -   ,2,,
1097054,EQ ROOM INTER ICU/TEL    , -   ,2,,
1097062,EQ ROOM ICU TRAUMA       , -   ,2,,
1097070,EQ ROOM CCU GENERAL      , -   ,2,,
1097088,EQ ROOM INTER CCU/TEL    , -   ,2,,
1097096,EQ PHARM GENERAL         , -   ,2,,
1097104,EQ PHARM W HCPCS         , -   ,2,,
1097112,EQ PHARM SELF ADMIN      , -   ,2,,
1097120,EQ PHARM TAKE HOME       , -   ,2,,
1097138,EQ PHARM REL TO RAD      , -   ,2,,
1097161,EQ PHARM IV SOLUTION     , -   ,2,,
1097187,EQ INFUSION/IV THERAPY   , -   ,2,,
1097203,EQ SUPPLY NONSTERILE     , -   ,2,,
1097211,EQ SUPPLY STERILE        , -   ,2,,
1097229,EQ SUPPLY PROST/ORTHOTIC , -   ,2,,
1097237,EQ SUPPY PACEMAKER/LEADS , -   ,2,,
1097245,EQ SUPPLY IMPLANT EYE LNS, -   ,2,,
1097252,EQ SUPPLY IMPLANT        , -   ,2,,
1097260,EQ LAB GENERAL           , -   ,2,,
1097278,EQ LAB CHEMISTRY         , -   ,2,,
1097286,EQ LAB IMMUNOLOGY        , -   ,2,,
1097294,EQ LAB HEMATOLOGY        , -   ,2,,
1097302,EQ LAB BACTERIOLOGY      , -   ,2,,
1097310,EQ LAB UROLOGY           , -   ,2,,
1097328,EQ LAB PATH CYTOLOGY     , -   ,2,,
1097336,EQ LAB PATH HISTOLOGY    , -   ,2,,
1097344,EQ LAB PATH BIOPSY       , -   ,2,,
1097351,EQ RADIOLOGY GENERAL     , -   ,2,,
1097369,EQ RADIOLOGY ARTHROGRAPHY, -   ,2,,
1097377,EQ RADIOLOGY ARTERIOGRAPH, -   ,2,,
1097385,EQ RADIOLOGY CHEST XRAY  , -   ,2,,
1097393,EQ RAD THERAP CHEMO ADM  , -   ,2,,
1097401,EQ RAD THERAP RADIATION  , -   ,2,,
1097419,EQ RAD THERAP CHEMO IV   , -   ,2,,
1097427,EQ NUC MED PROC DIAGNOS  , -   ,2,,
1097435,EQ NUC MED PROC THERAPEU , -   ,2,,
1097443,EQ NUC MED RADIOPHARM DX , -   ,2,,
1097450,EQ NUC MED RADIOPHARM TX , -   ,2,,
1097468,EQ CT SCAN GENERAL       , -   ,2,,
1097476,EQ CT SCAN HEAD          , -   ,2,,
1097484,EQ CT SCAN BODY          , -   ,2,,
1097492,EQ CT SCAN OTHER         , -   ,2,,
1097500,EQ SURGERY GEN           , -   ,2,,
1097518,EQ SURGERY MINOR         , -   ,2,,
1097526,EQ ANESTH GENERAL        , -   ,2,,
1097534,EQ BLOOD COMPONENT GEN   , -   ,2,,
1097542,EQ BLOOD ADMINISTRATION  , -   ,2,,
1097559,EQ MAMMOGRAPHY DIAGNOSTIC, -   ,2,,
1097567,EQ ULTRASOUND            , -   ,2,,
1097575,EQ MAMMOGRAPHY SCREENING , -   ,2,,
1097583,EQ PET SCAN              , -   ,2,,
1097591,EQ RESPIRATORY GENERAL   , -   ,2,,
1097609,EQ RESPIRATORY INHAL     , -   ,2,,
1097617,EQ HBO HYPERBARIC O2     , -   ,2,,
1097625,EQ RESPIRATORY STREN/ENDR, -   ,2,,
1097633,EQ PHYSICAL THER GENERAL , -   ,2,,
1097641,EQ PHYSICAL THER GEN-OTH , -   ,2,,
1097666,EQ PHYSICAL THER GEN-MCAL, -   ,2,,
1097674,EQ PHYSICAL THER GROUP   , -   ,2,,
1097682,EQ PHYSICAL THER GRP-OTH , -   ,2,,
1097708,EQ PHYSICAL THER EVAL    , -   ,2,,
1097716,EQ PHYSICAL THER EVAL-OTH, -   ,2,,
1097732,EQ PHYSICAL THER EVALMCAL, -   ,2,,
1097740,EQ OCCUP THER GENERAL    , -   ,2,,
1097757,EQ OCCUP THER GEN-OTH    , -   ,2,,
1097773,EQ OCCUP THER GEN - MCAL , -   ,2,,
1097781,EQ OCCUP THER GROUP      , -   ,2,,
1097799,EQ OCCUP THER GRP - OTH  , -   ,2,,
1097815,EQ OCCUP THER EVAL       , -   ,2,,
1097823,EQ OCCUP THER EVAL - OTH , -   ,2,,
1097849,EQ OCCUP THER EVAL - MCAL, -   ,2,,
1097856,EQ SPEECH PATH GENERAL   , -   ,2,,
1097864,EQ SPEECH PATH GROUP RATE, -   ,2,,
1097872,EQ SPEECH PATH EVAL      , -   ,2,,
1097880,EQ SPEECH PATH EVAL-OTH  , -   ,2,,
1097898,EQ EMERGENCY DEPARTMENT  , -   ,2,,
1097906,EQ PULMONARY FUNCTION GEN, -   ,2,,
1097914,EQ AUDIOLOGY DIAGNOSTIC  , -   ,2,,
1097915,EQ AUDIOLOGY GENERAL     , -   ,2,,
1097922,EQ CARDIO GEN-NON CATHLAB, -   ,2,,
1097930,EQ CARDIO CATH LAB/EP LAB, -   ,2,,
1097948,EQ CARDIAC STRESS TEST   , -   ,2,,
1097955,EQ ECHOCARDIOLOGY        , -   ,2,,
1097971,EQ CLINIC                , -   ,2,,
1097989,EQ MRI GENERAL           , -   ,2,,
1097997,EQ MRI BRAIN             , -   ,2,,
1098003,EQ MRI SPINAL CORD       , -   ,2,,
1098004,EQ OB DIAGNOSTIC         , -   ,2,,
1098011,EQ MRA HEAD AND NECK     , -   ,2,,
1098029,EQ MRA LOWER EXTREMITIES , -   ,2,,
1098037,EQ MRA NON HEAD/NCK/EXTRM, -   ,2,,
1098045,EQ SUPPLY FDA IDE 272    , -   ,2,,
1098052,EQ TRAUMA RESPONSE LEV II, -   ,2,,
1098060,EQ RECOVERY ROOM GENERAL , -   ,2,,
1098078,EQ OB PROCEDURE          , -   ,2,,
1098086,EQ EKG/ECG GENERAL       , -   ,2,,
1098094,EQ EKG/ECG HOLTER MONITOR, -   ,2,,
1098102,EQ EEG GENERAL           , -   ,2,,
1098110,EQ ENDOSCOPY/GI          , -   ,2,,
1098128,EQ TREATMENT ROOM        , -   ,2,,
1098144,EQ OBSERVATION ROOM      , -   ,2,,
1098151,EQ VACCINE ADMIN PREVENT , -   ,2,,
1098177,EQ OB DELIVERY           , -   ,2,,
1098185,EQ LITHOTRIPSY ESWL      , -   ,2,,
1098193,EQ RENAL HEMODIALYSIS    , -   ,2,,
1098201,EQ RENAL CCPD            , -   ,2,,
1098219,EQ BEHAV HLTH TX GENERAL , -   ,2,,
1098227,EQ BEHAV HLTH INDIVID RX , -   ,2,,
1098235,EQ BEHAV HLTH GROUP RX   , -   ,2,,
1098243,EQ BEHAV HLTH TESTING    , -   ,2,,
1098250,EQ DIAGNOSTIC SVC OTHER  , -   ,2,,
1098268,EQ PERIPHERAL VASCLR LAB , -   ,2,,
1098276,EQ ELECTROMYELOGRAM      , -   ,2,,
1098284,EQ THERAPEUTIC SVC OTHER , -   ,2,,
1098292,EQ EDUCATION/TRAINING    , -   ,2,,
1098300,EQ CARDIAC REHAB         , -   ,2,,
1098318,EQ STATISTICAL           , -   ,2,,
1098326,EQ BEHAV HLTH FAMILY RX  , -   ,2,,
1098524,EQ ROOM SUBACUTE/SNF I   , -   ,2,,
1098532,EQ ROOM ICU SURGICAL     , -   ,2,,
1098540,EQ ROOM ICU MEDICAL      , -   ,2,,
1098557,EQ PHARM REL TO DX TEST  , -   ,2,,
1098599,EQ SUPPLY IMP W RX HCPCS , -   ,2,,
1098623,EQ PHARM OTHER           , -   ,2,,
1098649,EQ SUPPLY FDA IDE 275    , -   ,2,,
1098656,EQ SUPPLY FDA IDE 278    , -   ,2,,
1098664,EQ LAB OTHER             , -   ,2,,
1098672,EQ PULMONARY REHAB       , -   ,2,,
1098680,EQ IP INFANT AUDIOLOGY DX, -   ,2,,
1098698,EQ PHARM VACCINE PREVENT , -   ,2,,
1098706,EQ VACCINE ADMIN OTHER   , -   ,2,,
1098714,EQ SPEECH PATH EVAL-MCAL , -   ,2,,
1098722,EQ MRI OTHER             , -   ,2,,
1098730,EQ LAB PATH GENERAL      , -   ,2,,
1098748,EQ SPEECH PATH GEN - OTH , -   ,2,,
1098755,EQ SUPPLY IMPLANT FDA DEF, -   ,2,,
1098763,EQ PHARM EPO UNDER 10000 , -   ,2,,
1098771,EQ PHARM EPO OVER 10000  , -   ,2,,
1098805,EQ CATH/EP LAB PROCEDURES, -   ,2,,
1098813,EQ CATH/EP LAB RAD 320   , -   ,2,,
1098821,EQ CATH/EP LAB RAD 323   , -   ,2,,
1098847,EQ RENAL DIALYSIS NON HD , -   ,2,,
