Standard Charge Description,Charge Description Master,Charge as of 1.1.19
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),IMPL CROSSTIE -820",34305179,"2,665.00"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),NAIL BONE -1450",34303901,"4,712.50"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),NAIL BONE- 230",34304009,747.50
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),NAIL BONE-2000",34300461,"6,500.00"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),PIN FIXATION -105",34303994,341.25
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),PIN FX 45MM CRLGE THRD PSTN ORTH",34301933,374.00
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),PLATE -2675",34303632,"8,693.75"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),PLATE BONE-4320",34303584,"14,040.00"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),PLATE EPIPHYSIS -3885",34303884,"12,626.25"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),ROD BONE-1555",34303046,"5,053.75"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),SCREW BONE-2300",34300707,"7,475.00"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),SPACER INTERBODY -3400",34303741,"11,050.36"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),STAPLE BONE-10",34303306,"1,023.75"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),WASHER BONE -160",34303939,520.75
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),WIRE NEUROVISION - 160",34303544,520.00
ANGIO KIT,41470521,69.40
ANGIOJET PUMPSET,41473009,668.90
"ANKLE CONTROL ORTHOSIS, STIRRUP STYLE, RIGID, INCLUDES ANY TYPE INTERFACE (E.G., PNEUMATIC, GEL), PREFABRICATED, OFF-THE-SHELF",31770203,78.05
ANS CINCH LEAD ANCHOR 1194,34303318,243.75
ANS LEAD ANCHOR 1194,34303301,559.00
ANS TUNNEL TOOL,34303300,143.00
"ANTERIOR CHAMBER INTRAOCULAR LENS,LENS INTRAOCULAR ANT BICONVEX MA",34300429,403.00
"APLIGRAF, PER SQUARE CENTIMETER",41400502,97.86
APPLICATION OF BLOOD VESSEL COMPRESSION OR DECOMPRESSION DEVICE TO 1 OR MORE AREAS,41212322,116.15
APPLICATION OF CAST TO HAND AND LOWER FOREARM,31773522,192.00
"APPLICATION OF CAST, ELBOW TO FINGER (SHORT ARM)",31773527,348.85
"APPLICATION OF CAST, SHOULDER TO HAND (LONG ARM)",31773530,348.00
APPLICATION OF CHEMICAL AGENT TO EXCESSIVE WOUND TISSUE,41400230,233.75
"APPLICATION OF ELECTRICAL STIMULATION TO 1 OR MORE AREAS, EACH 15 MINUTES",41212260,74.95
APPLICATION OF HOT OR COLD PACKS TO 1 OR MORE AREAS,41210511,73.10
APPLICATION OF LONG ARM SPLINT (SHOULDER TO HAND),31773535,169.80
APPLICATION OF LONG LEG CAST (THIGH TO TOES),31773551,348.85
APPLICATION OF LONG LEG CAST BRACE,31773556,348.85
APPLICATION OF LONG LEG SPLINT (THIGH TO ANKLE OR TOES),31773573,170.15
"APPLICATION OF LOW COST SKIN SUBSTITUTE GRAFT TO FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, ORBITS, GENITALIA, HANDS, FEET, AND/OR MULTIPLE DIGITS, TOTAL WOUND SURFACE AREA UP TO 100 SQ CM; FIRST 25 SQ CM OR LESS WOUND SURFACE AREA",41400811,506.00
"APPLICATION OF LOW COST SKIN SUBSTITUTE GRAFT TO TRUNK, ARMS, LEGS, TOTAL WOUND SURFACE AREA UP TO 100 SQ CM; FIRST 25 SQ CM OR LESS WOUND SURFACE AREA",41400809,506.00
APPLICATION OF MECHANICAL TRACTION TO 1 OR MORE AREAS,41210402,123.70
"APPLICATION OF MEDICATION THROUGH SKIN USING ELECTRICAL CURRENT, EACH 15 MINUTES",41210403,119.90
"APPLICATION OF MOVEABLE, HINGED FINGER SPLINT",31773735,170.15
"APPLICATION OF NON-MOVEABLE, HINGED FINGER SPLINT",31773524,170.15
"APPLICATION OF NON-MOVEABLE, SHORT ARM SPLINT (FOREARM TO HAND)",31773540,169.80
APPLICATION OF SHORT LEG CAST (BELOW KNEE TO TOES),31773564,360.51
APPLICATION OF SHORT LEG SPLINT (CALF TO FOOT),31773570,169.80
"APPLICATION OF SKIN SUBSTITUTE (WOUND SURFACE UP TO 100 SQ CM) TO FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, EYE REGION, GENITALS, HANDS, FEET, AND/OR MULTIPLE FINGERS OR TOES",41400796,187.00
"APPLICATION OF SKIN SUBSTITUTE (WOUND SURFACE UP TO 100 SQ CM) TO FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, EYE REGION, GENITALS, HANDS, FEET, AND/OR MULTIPLE FINGERS OR TOES (FIRST 25 SQ CM OR LESS)",41400795,"1,310.00"
"APPLICATION OF SKIN SUBSTITUTE (WOUND SURFACE UP TO 100 SQ CM) TO TRUNK, ARMS, OR LEGS",41400794,187.00
"APPLICATION OF SKIN SUBSTITUTE (WOUND SURFACE UP TO 100 SQ CM) TO TRUNK, ARMS, OR LEGS (FIRST 25 SQ CM OR LESS)",41400793,"1,310.00"
APPLICATION OF SURFACE NEUROSTIMULATOR,41210102,15.00
"APPLICATION OF ULTRASOUND TO 1 OR MORE AREAS, EACH 15 MINUTES",41210550,103.15
APPLICATION OF VEIN WOUND COMPRESSION SYSTEM LOWER LEG BELOW KNEE INCLUDING ANKLE AND FOOT,41400285,322.00
APPLICATION OF WHIRLPOOL THERAPY TO 1 OR MORE AREAS,41212761,73.10
APPLIER CLIP DAVINCI M/L SGL,34303835,"2,161.25"
APR SCLP CLIP RANEY DISP,34300949,98.48
ARCH BAR MANDIBULAR -2,34303625,"1,056.25"
ARTERIAL PUNCTURE WITHDRAWAL OF BLOOD FOR DIAGNOSIS,41330133,113.00
"ARTHROFLEX, PER SQUARE CENTIMETER,MATRIX TISS GRAFT/SQ CM - 170",34303520,170.00
"ASPIRATION AND/OR INJECTION KIDNEY CYST, ACCESSED THROUGH THE SKIN",41310304,"1,079.15"
ASPIRATION AND/OR INJECTION OF CYSTS,31773212,356.25
ASPIRATION AND/OR INJECTION OF LARGE JOINT OR JOINT CAPSULE,31773210,348.52
ASPIRATION AND/OR INJECTION OF MEDIUM JOINT OR JOINT CAPSULE,31773205,356.25
ASPIRATION AND/OR INJECTION OF SMALL JOINT OR JOINT CAPSULE,31773200,356.25
ASPIRATION AND/OR INJECTION OF THYROID CYST,41315180,"1,080.90"
"ASPIRATION OF ABSCESS, BLOOD ACCUMULATION, BLISTER, OR CYST",31773025,260.00
ASPIRATION OF BLADDER WITH INSERTION OF BLADDER TUBE TO SKIN SURFACE,31773003,"2,730.95"
ASPIRATION OF BREAST CYST,31731000,688.35
ASPIRATION OF FLUID FROM SAC THAT COVERS THE HEART,31773775,821.00
ASSESSORY EXT. KIT,41470548,144.85
ATTEMPT TO RESTART HEART AND LUNGS,41330073,468.90
AVANTA SINGLE PATIENT,41470951,89.25
BAG 10IN 275IN UROS STD 2 PC DRN,34300956,4.23
BAG BREATHING ADULT,34300030,9.75
BAG DECANTER,41470941,2.45
BAG OST AL 75-225IN 1 PC DRN,34300963,10.17
BAG OSTOMY,40480181,10.17
BAIR HUGGER WARMING SYSTEM,41471880,142.40
BAIR HUGGER-DISPOSABLE,31770097,142.40
BALL JURGAN,34303784,18.43
"BALLOON DILATION OF ARTERIES IN ONE LEG, ENDOVASCULAR, ACCESSED THROUGH THE SKIN OR OPEN PROCEDURE",41470791,"8,645.00"
"BALLOON DILATION OF ARTERY IN ONE SIDE OF GROIN, ENDOVASCULAR, ACCESSED THROUGH THE SKIN OR OPEN PROCEDURE",41470822,"17,290.00"
"BALLOON DILATION OF ARTERY OF ONE LEG, ENDOVASCULAR, ACCESSED THROUGH THE SKIN OR OPEN PROCEDURE",41470826,"8,776.00"
"BALLOON DILATION OF ARTERY, ACCESSED THROUGH THE SKIN OR BY OPEN PROCEDURE, WITH IMAGING INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION",41319492,"10,176.00"
"BALLOON DILATION OF DIALYSIS SEGMENT, ACCESSED THROUGH THE SKIN, WITH IMAGING INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION",41319530,"1,078.00"
"BALLOON DILATION OF FIRST VEIN, ACCESSED THROUGH THE SKIN OR BY OPEN PROCEDURE, WITH IMAGING INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION",41311171,"10,176.00"
"BALLOON DILATION OF GROIN ARTERY, ENDOVASCULAR, OPEN, OR PERCUTANEOUS APPROACH",41470146,"8,645.00"
BALLOON DILATION OF NARROWED OR BLOCKED MAJOR CORONARY ARTERY OR BRANCH (ACCESSED THROUGH THE SKIN),41471307,"4,905.00"
BALLOON MULTI-LUMEN CONTURA,34305263,"8,125.00"
BALLOON POSTPARTUM BAKRI,40790604,721.50
"BALLOON, EBUS",41380100,92.00
BAND SUPP BRST AUG MAX SUPP,34300970,536.25
BANDAGE KERLIX ANY SIZE,34300038,3.25
BAR ARCH COIL DNTL ERICH 1 MTR RL,34300972,228.00
BARIATRIC NUTRITION COUNSEL EA15M,41950112,20.00
BASKET TRAPEZOID -300,40481250,975.00
BEHAVIORAL AND QUALITATIVE ANALYSIS OF VOICE AND RESONANCE,41190214,320.00
BG DRN BILE ADJ BELT RBR LTX 19,34300979,17.26
BG DRN URN LEG CLT LG 1000CC,34300980,14.82
BIOPSY OF BLOOD VESSEL VIA CATHETER,41315905,"3,561.00"
BIOPSY OF BONE USING NEEDLE OR TROCAR,41310514,"1,126.00"
BIOPSY OF BREAST ACCESSED THROUGH THE SKIN WITH MRI GUIDANCE,41310687,"1,800.00"
BIOPSY OF BREAST ACCESSED THROUGH THE SKIN WITH STEREOTACTIC GUIDANCE,31730201,"1,800.00"
BIOPSY OF BREAST ACCESSED THROUGH THE SKIN WITH ULTRASOUND GUIDANCE,31730204,"1,800.00"
BIOPSY OF PROSTATE GLAND,41311327,"1,416.00"
BIOPSY OF SOFT TISSUE OF NECK OR CHEST,41315183,"1,275.35"
BIT DRILL-600,34300073,"1,950.00"
BLADDER IRRIGATION AND/OR INSTILLATION,31771056,192.00
BLADE REMOVAL EXPLANT - 630,34303524,"2,047.50"
BLADE SURG SPECIAL-550,34300096,"1,787.50"
BLOCK ANY TYPE FIRST HOUR,40360013,630.00
BLOOD TRANSFUSION KIT,34300188,30.00
BLOOD VESSEL INJECTION PROCEDURE,41318377,10.00
BME SPEED IMPLANT,34303816,"2,551.25"
BNDG CONTEX LF 5YDX4IN NSTRL ELC,34300997,2.31
BNDG CST PLSTR SPCLST 2IN X 3YD,34301000,2.24
BNDG GZE KLING 2IN X 4YD,34301016,1.66
BNDG GZE KLING 6IN,34301014,2.41
BNDG MUSLIN RL STRL 40IN X 50YD,34301019,13.65
BODY DJD -2900,34305013,"9,425.00"
BONE GRAFT FACET FUSION,34303429,"11,862.50"
BONE MARROW BIOPSY,41310096,"1,353.00"
BONE MARROW BIOPSY AND ASPIRATION,41310380,"1,353.00"
BP CUFF DISPOSIBLE,41470933,13.86
BRDG OST LOOP STRL 35IN,34301042,230.17
"BREAST PROSTHESIS, MASTECTOMY BRA, WITHOUT INTEGRATED BREAST PROSTHESIS FORM, ANY SIZE, ANY TYPE,SUPP MAM SURGI BRA SM 30 TO 32IN",40752393,121.00
BRONCH W/TRANSBRONCHIAL BIOPSY,41380004,"1,550.00"
BRONCHIAL WASH,41380006,552.20
BRONCHOSCOPE ASCOPE-300,34305157,975.98
BRONCHOSCOPY,41380005,"1,426.95"
BRONCHOSCOPY FOR AIRWAY INSERTION,41380009,"1,575.20"
BRSH CYTO CSCP STRL DISP RD 70FR,34301051,50.05
BRUSH CYTOLOGY NEEDLE TIP,41380017,178.10
BSKT SPEC RETR 120CM 19FR STONE 4,34301060,843.70
BUR BONE-160,34300119,520.00
BWL CMNT MX BONE QCK VAC SGL,34301069,236.44
BWL CMNT MX ORTHOPAEDIC STRL W SP,34301070,45.53
CABLE EP UMBILICAL CO-AXIAL,41470221,455.00
CABLE MAP ACHIEVE,41470223,731.25
CAGE LUMBAR IBF,40752949,"12,925.58"
CAGE LUMBAR IBF CONTOURED H88,34302862,"22,139.33"
CAGE LUMBAR IBF OBLONG 22/26,34302861,"17,229.00"
CAGE LUMBAR IBF THR CYLIND IFIX,34302948,"7,949.50"
CANN SONOPLEX,34303834,49.92
CANNISTER SUCTION DISP,40480627,4.68
CANNULA ARTERIAL PERC,34300129,819.00
CANNULA ARTHROSCOPY- 35,34304067,113.75
CANNULA BREAST BIOPSY,34302882,260.00
CANNULA IO-FLEX,34303466,169.00
CANNULA NASAL ADULT,41470948,1.26
CANNULA RETROGRADE CARDIO,34302763,331.50
CAP BONE END DFN TI STRL 0MM,34301073,778.18
CAP END 5MM TROCH XTD IM NL TI NS,34301083,482.37
"CARDIOVERTER-DEFIBRILLATOR, DUAL CHAMBER (IMPLANTABLE)",41471245,"52,000.00"
"CARDIOVERTER-DEFIBRILLATOR, OTHER THAN SINGLE OR DUAL CHAMBER (IMPLANTABLE)",41471234,"61,750.00"
"CARDIOVERTER-DEFIBRILLATOR, SINGLE CHAMBER (IMPLANTABLE)",41471434,"66,625.00"
"CAST FIBERGLASS, ALL SIZES",31771034,177.75
CAST GRN 5YDX4IN SPCLST PLSTR PCU,34301097,3.87
CAST GRN 5YDX5IN SPCLST PLSTR PCU,34301098,4.75
"CAST, LONG ARM CHILD",31770002,110.05
"CAST, SHORT LEG CHILD",31770003,117.45
CASTING OR STRAPPING PROCEDURE,31773600,169.80
CATH BALLOON DILITATION,40480224,"2,239.25"
CATH CATHLON,34302651,5.72
"CATH CHEST THORACIC, ALL SIZES",31771233,38.05
CATH CORDIS -50,34303716,162.50
CATH CTO FRONTRUNNER XP,41470633,"3,396.25"
CATH EPIDURAL,34302672,197.54
CATH EXPO MULTIPK 6F,41470079,80.45
CATH EXTERNAL VENTRICULAR,34303817,477.75
CATH FOLEY TEMP-SENSING,31771050,93.17
CATH GI DILITATION ACHALASIA,34302676,"2,239.25"
CATH IMPELLA-20000,41471300,"65,000.00"
CATH INTRA UTERINE,34302799,88.24
CATH RADIAL ARTERY,31770088,47.00
"CATHETER 3 WAY, ALL SIZES",31771066,56.20
CATHETER BALLOON FOLEY,34300149,48.75
CATHETER BALLOON FOLEY TEF COATED,34300152,74.75
"CATHETER CHEST TROCAR, ALL SIZES",31771026,84.60
CATHETER CHOLANGIOGRAM,34300157,81.25
"CATHETER COUDE, ALL SIZES",31770197,46.65
"CATHETER FOLEY 5CC, ALL SIZES",31771051,36.00
"CATHETER INSERTION OF STENTS IN MAJOR CORONARY ARTERY OR BRANCH, ACCESSED THROUGH THE SKIN",41470735,"8,776.00"
CATHETER KIT FEMALE (QUICK CATH),31771052,5.15
"CATHETER PLACEMENT OF STENTS IN MAJOR CORONARY ARTERY OR BRANCH, ACCESSED THROUGH THE SKIN",41470786,"5,305.00"
CATHETER SUCTION CONTROL VALVE,34300169,3.25
"CATHETER, BALLOON DILATATION, NON-VASCULAR,BILIARY BALLOON DILATOR",40480575,"1,020.35"
"CATHETER, BALLOON DILATATION, NON-VASCULAR,CATHETER BALLOON DIL CRE ESOPH",34300143,666.25
"CATHETER, BALLOON DILATATION, NON-VASCULAR,TOOL DILATION MULTI-SINUS XPRESS",34303480,"2,925.00"
"CATHETER, BRACHYTHERAPY SEED ADMINISTRATION,MAMMOSITE APPLICATOR, ANY SIZE",34300437,"8,937.50"
"CATHETER, DRAINAGE,CATH SPINAL DRAINAGE",34302687,364.00
"CATHETER, DRAINAGE,CATH VENT BACTISEAL",34302729,"2,437.50"
"CATHETER, DRAINAGE,CATH VENT EDS II",34302731,416.00
"CATHETER, DRAINAGE,CATHETER URETHRAL TIEMAN COUDE TI",34300176,14.37
"CATHETER, ELECTROPHYSIOLOGY, DIAGNOSTIC, OTHER THAN 3D MAPPING (19 OR FEWER ELECTRODES)",41470561,"1,571.40"
"CATHETER, ELECTROPHYSIOLOGY, DIAGNOSTIC, OTHER THAN 3D MAPPING (20 OR MORE ELECTRODES)",41473984,"3,517.75"
"CATHETER, ELECTROPHYSIOLOGY, DIAGNOSTIC/ABLATION, 3D OR VECTOR MAPPING",41470098,"8,645.00"
"CATHETER, ELECTROPHYSIOLOGY, DIAGNOSTIC/ABLATION, OTHER THAN 3D OR VECTOR MAPPING, OTHER THAN COOL-TIP",41470224,"14,625.00"
"CATHETER, EXTRAVASCULAR TISSUE ABLATION, ANY MODALITY (INSERTABLE),UTERINE BALLOON THER SYSTME",34302842,"1,608.75"
"CATHETER, GUIDING (MAY INCLUDE INFUSION/PERFUSION CAPABILITY)",41475007,"2,827.50"
"CATHETER, GUIDING (MAY INCLUDE INFUSION/PERFUSION CAPABILITY),CATH QUICK CROSS SUPPORT",34303093,"5,655.00"
"CATHETER, HEMODIALYSIS/PERITONEAL, LONG-TERM,CATH DIALYSIS HEMOGLIDE",34302660,"1,537.58"
"CATHETER, HEMODIALYSIS/PERITONEAL, LONG-TERM,TRAY CATH 115FR 195CM MHRKR 2 LUM",34302516,384.96
"CATHETER, INFUSION, INSERTED PERIPHERALLY, CENTRALLY OR MIDLINE (OTHER THAN HEMODIALYSIS)",41470780,269.70
"CATHETER, INFUSION, INSERTED PERIPHERALLY, CENTRALLY OR MIDLINE (OTHER THAN HEMODIALYSIS),CATH VASC CENT PERIPHERAL",34302717,271.70
"CATHETER, INFUSION, INSERTED PERIPHERALLY, CENTRALLY OR MIDLINE (OTHER THAN HEMODIALYSIS),KIT 36CM 135FR 2 LUM VTCF ANMC CU",34301696,497.25
"CATHETER, INFUSION, INSERTED PERIPHERALLY, CENTRALLY OR MIDLINE (OTHER THAN HEMODIALYSIS),TRY CATH CV COAT BARR PRECAUTIONS",34302547,274.30
"CATHETER, INTRACARDIAC ECHOCARDIOGRAPHY",41470988,"9,425.00"
"CATHETER, INTRACARDIAC ECHOCARDIOGRAPHY,CATH ECHO ULTRA ICE -1100",34303983,"3,575.00"
"CATHETER, INTRAVASCULAR ULTRASOUND",41470769,"1,797.95"
"CATHETER, MULTI LUMEN",31770206,224.75
"CATHETER, OCCLUSION,CATH BALLOON AORTIC OCC",34302643,338.00
"CATHETER, SUPRAPUBIC/CYSTOSCOPIC,CATH URO SUPRAPUBIC",34302709,144.33
"CATHETER, SUPRAPUBIC/CYSTOSCOPIC,TRAY CATHETERIZATN FOL CATH WO BA",34300880,32.50
"CATHETER, SUPRAPUBIC/CYSTOSCOPIC,TRY CATH DRN SUBRAPUBIC BONANNO 1",40752548,182.20
"CATHETER, THROMBECTOMY/EMBOLECTOMY",41470125,"8,433.75"
"CATHETER, THROMBECTOMY/EMBOLECTOMY,CATH BALLOON PERIPH OTW ANGIO",34302954,672.62
"CATHETER, THROMBECTOMY/EMBOLECTOMY,CATH EMBOLECTOMY FOGARTY -120",34303832,390.00
"CATHETER, THROMBECTOMY/EMBOLECTOMY,CATH EXPORTAP ASP -700",34305053,"2,275.00"
"CATHETER, THROMBECTOMY/EMBOLECTOMY,DVC EKOSONIC MACH 4-STUDY",34303487,"6,500.00"
"CATHETER, TRANSLUMINAL ANGIOPLASTY, DRUG-COATED, NON-LASER,CATH PTA DCB - 1500",34305211,"4,875.00"
"CATHETER, TRANSLUMINAL ANGIOPLASTY, LASER",41475006,"6,337.50"
"CATHETER, TRANSLUMINAL ANGIOPLASTY, NON-LASER (MAY INCLUDE GUIDANCE, INFUSION/PERFUSION CAPABILITY)",41470180,"3,737.50"
"CATHETER, TRANSLUMINAL ANGIOPLASTY, NON-LASER (MAY INCLUDE GUIDANCE, INFUSION/PERFUSION CAPABILITY),CATH ANGIOSCULPT OTW -1000",34303710,"3,250.00"
"CATHETER, TRANSLUMINAL ANGIOPLASTY, NON-LASER (MAY INCLUDE GUIDANCE, INFUSION/PERFUSION CAPABILITY),CATH BALLOON ATHEROTOME",34302644,"2,600.00"
"CATHETER, TRANSLUMINAL ANGIOPLASTY, NON-LASER (MAY INCLUDE GUIDANCE, INFUSION/PERFUSION CAPABILITY),CATH PERF VENOUS",34302685,111.48
"CATHETER, TRANSLUMINAL ANGIOPLASTY, NON-LASER (MAY INCLUDE GUIDANCE, INFUSION/PERFUSION CAPABILITY),CATH VASC CUTTING",34302718,"2,600.00"
"CATHETER, TRANSLUMINAL ANGIOPLASTY, NON-LASER (MAY INCLUDE GUIDANCE, INFUSION/PERFUSION CAPABILITY),CATHETER BALLOON RAPID EXCH STER",34300141,"1,511.25"
"CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL",41472000,"10,400.00"
"CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL,CATH TURBOHAWK LX-C ANY",34303417,"11,033.75"
"CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL,CATHETER ATHERECTOMY SILVERHAWK",34300140,"8,108.75"
"CATHETER, TRANSLUMINAL ATHERECTOMY, ROTATIONAL",41474040,"12,350.00"
"CATHETER, URETERAL,CATH URETERAL-1",34302698,3.25
"CATHETER, WORD",31770229,49.35
CATHETER-DUAL LUMEN PIGTAIL,41470876,419.25
"CATHETERIZATION FOR COLLECTION OF SPECIMEN, SINGLE PATIENT, ALL PLACES OF SERVICE",31770553,96.45
CAUT ESUG BTRY FINE TIP HI TEMP P,34301104,27.82
CAUT SRG OPTH FINE TIP ADJ LO TEM,34301109,19.70
CAUTEREY TIP,41479050,14.50
CERVICAL COLLAR PMT 1585,41785808,240.05
CERVICAL DILATION BALLOON,40790605,113.75
"CERVICAL, COLLAR, SEMI-RIGID THERMOPLASTIC FOAM, TWO-PIECE, PREFABRICATED, OFF-THE-SHELF",31770897,195.35
"CERVICAL, FLEXIBLE, NON-ADJUSTABLE, PREFABRICATED, OFF-THE-SHELF (FOAM COLLAR)",31770902,73.10
CHANGE OF BREATHING TUBE OF WINDPIPE IN NECK,31773610,351.65
CHANGE OF TUBE OR STENT IN URINARY DUCT (URETER),41319495,"3,469.00"
CIRCT BRTHG ANES GAS SMPL,34301133,19.08
CIRCUMCISION,31530501,624.30
CLAMP ENDO-SYNERGY LT -2800,34305170,"9,100.00"
CLAMP ENDO-SYNERGY RT -2800,34305171,"9,100.00"
CLIP APPLIER 10MM PISTOL GRIP,34300179,277.42
CLIP APR ESCP TI DISP 5MM,34301145,488.64
CLIP RMR LCK IRR STRL,34301158,782.83
CLNR ELECTRO SRG CAUT TIP,34301163,4.29
CLOSED TREATMENT OF ANKLE DISLOCATION,31773465,294.00
CLOSED TREATMENT OF BROKE FOREARM BONE AT ELBOW,31773290,270.30
CLOSED TREATMENT OF BROKEN ANKLE,31773450,270.30
CLOSED TREATMENT OF BROKEN ANKLE WITH MANIPULATION,31773455,"1,128.00"
CLOSED TREATMENT OF BROKEN FINGER OR THUMB,31773380,270.30
CLOSED TREATMENT OF BROKEN FINGER OR THUMB WITH MANIPULATION,31773365,270.30
CLOSED TREATMENT OF BROKEN FOOT BONE,31773490,270.30
CLOSED TREATMENT OF BROKEN FOREARM BONE,31773300,270.30
CLOSED TREATMENT OF BROKEN FOREARM BONE AT ELBOW,31773285,270.30
CLOSED TREATMENT OF BROKEN FOREARM BONE AT ELBOW WITH MANIPULATION,31773286,"1,128.00"
CLOSED TREATMENT OF BROKEN FOREARM BONE WITH MANIPULATION,31773305,"1,128.00"
