Procedure Code,Procedure Description,Price
403100313,CONTINUOUS RENAL REPLACMT THERAPY,"$5,701.35 "
403100314,PERC TRACHEOSTOMY,$947.55 
403100315,VENTRCULOSTOMY INSERTION,"$3,994.90 "
403100316,PERICARDIOCENTESIS,$654.00 
403100317,SWAN GANZ INSERTION,"$2,477.90 "
403100334,CHEMO IV PUSH EA ADDL,$311.25 
403100336,CHEMO INFUSION SEQNTL 1 HR,$311.25 
403100338,REFILL/MAINTAIN PORTABLE PUMP,$606.65 
403100412,IV INFUSION THERAP CONCURRENT,$314.85 
403100413,IVP ADDL SAME DRUG THERAPEUTIC,$404.00 
403100602,CHEMO IV INFUSION CONCURRENT,$209.95 
403100609,MINOR PROCEDURE,$368.80 
403100634,OBSERVATION DIRECT ADMIT,$574.30 
403102966,CHEMO INTRA ARTERIAL PUSH,"$1,225.95 "
403103388,CHEMO PERITONEAL VIA PORT/CATH,$943.75 
403103412,US TRANSCRANIAL DOPPLER COMPLT,"$2,184.65 "
403120007,INTUBATION TRAY,$519.75 
403120011,TRANSDUCER SINGLE,$91.95 
403120012,TRANSDUCER TRIPLE,$264.30 
403120013,CAMIN ICP VENTRICULOSTOMY BOLT,"$3,260.20 "
403120014,CAMINO VENTRICULOSTOMY SET,"$1,301.65 "
403120016,MULTI LUMEN CVC CATH,$594.20 
403120017,HYPTHERMIA WRAP ARTICSUN,"$4,312.25 "
403120018,CATH BACTISEAL EXTRN VENTRC,"$2,520.15 "
403120019,SURGICEL 4X8 DRSNG HEMSTAT,$250.10 
403120020,CATH EDM LUMB 80CM,"$1,058.95 "
403120021,ASSY EDSM PT CONN LINE,$268.15 
403120022,DRAIN EDMS II BECKER,$847.60 
403120023,EDM LUMBAR DRAIN KIT,"$1,336.50 "
403120024,CATH EDM VENT W/TORCAR 35CM,$757.10 
403123161,COOLGUARD 3000,$716.70 
403123162,CATH QUAT 3 LUMEN,"$3,453.20 "
403123163,CONNECTOR LUMBOPERIT STR,$306.50 
403123164,DEVICE MONITOR ABVISER,$303.50 
606100634,OBSERVATION DIRECT ADMIT,$574.30 
605600014,ADMIN BLOOD TRANSFUSION DAILY,"$2,558.55 "
605600016,CIRCUMCISION,$368.80 
605600068,BILIRUBIN TOTAL TRANSCUTANEOUS,$122.10 
605600128,NURSERY ROOM/BOARD,"$1,666.85 "
605600130,NICU LEVEL 2,"$5,337.10 "
605600202,HOSPICE ROOM/BOARD,"$1,681.25 "
605600210,NICU LEVEL 3,"$7,519.80 "
605600211,NICU LEVEL 4,"$10,080.40 "
605600220,BLOOD EXCHANGE TRANSF-DAILY,"$1,420.05 "
605600221,PICC/MIDLINE (CENTRAL VENOUS CATHETER) INSERT <5 YRS,"$3,001.30 "
605600223,ABG DRAW BY RN,$208.40 
605600257,NEWBORN HEARING SCREEN COMP,$328.45 
605600258,CARDIOPULMONARY RESUSCITATION,$762.20 
605600263,INTUBATION,"$1,263.85 "
605600273,NEWBORN HEARING SCREEN LTD,$204.00 
605600281,LUMBAR PUNCTURE,$546.30 
605600282,THORACENTESIS-NICU,"$1,401.20 "
605600284,CHEST TUBE INSERTION,$682.95 
605600609,MINOR PROCEDURE,$368.80 
605600904,PARTIAL BLOOD EXCHG TRANSF-DAILY,"$1,420.05 "
605602880,VENIPUNCTURE <3 YRS SCALP VEIN,$53.70 
605602881,VENIPUNCTURE <3 YRS OTH VEIN,$52.05 
605602882,UMBILICAL VEIN CATH NEWB FOR DIAGN/THERAP,$820.00 
605602883,CATH UMBCL ARTRY NB DX/THER,$820.00 
605620003,GS/LM INFANT CATH UMB DUAL-LUM 3.5F,$419.50 
605620008,GS INTUBATION TRAY,$494.90 
417100014,ADMIN BLOOD TRANSFUSION DAILY,"$2,558.55 "
417100070,IV INFUSN HYDRATION INITIAL HR,$740.45 
417100071,IV INFUSION THERAP INITIAL HR,$738.80 
417100072,IVP INITIAL THERAPEUTIC,$738.80 
417100110,OBSERVATION/HR,$195.10 
417100111,TELEMETRY ROOM/BOARD,"$4,317.25 "
417100113,BONE MARROW BX W/O SEDATION,"$1,952.05 "
417100196,CENTRAL LINE INSERT/REPAIR/RMVL,"$2,352.05 "
417100198,IV INFUSION THERAP SEQ 1 HR,$292.40 
417100199,IVP ADDL DIFF DRUG THERAP,$404.00 
417100201,MED/SURG/GYN PRIV ROOM/BOARD,"$2,490.40 "
417100254,IV INFUSN HYDRATION EA ADDL HR,$311.75 
417100255,IV INFUSION THERAP EA ADDL HR,$404.00 
417100256,INJECTION IM/SC THERAPEUTIC,$123.20 
417100281,LUMBAR PUNCTURE,$546.30 
417100282,THORACENTESIS,"$1,401.20 "
417100284,CHEST TUBE INSERTION,$682.95 
417100302,PARACENTESIS,$482.90 
417100304,BONE MARROW BX W/SEDATION,"$2,483.75 "
417100412,IV INFUSION THERAP CONCURRENT,$314.85 
417100413,IVP ADDL SAME DRUG THERAPEUTIC,$404.00 
417100609,MINOR PROCEDURE,$368.80 
417100634,OBSERVATION DIRECT ADMIT,$574.30 
417101150,SM JOINT ASPIRTN/INJECT UNI,$777.00 
417101151,MEDIUM JOINT ASPIRTN/INJECT UNI,$981.75 
417101153,MAJOR JOINT ASPIRTN/INJECT UNI,"$1,312.80 "
722100110,OBSERVATION/HR,$252.05 
722100634,OBSERVATION DIRECT ADMIT,$574.30 
419100014,ADMIN BLOOD TRANSFUSION DAILY,"$2,558.55 "
419100070,IV INFUSN HYDRATION INITIAL HR,$740.45 
419100071,IV INFUSION THERAP INITIAL HR,$738.80 
419100072,IVP INITIAL THERAPEUTIC,$738.80 
419100110,OBSERVATION/HR,$137.85 
419100111,TELEMETRY ROOM/BOARD,"$4,317.25 "
419100113,BONE MARROW BX W/O SEDATION,"$1,952.05 "
419100196,CENTRAL LINE INSERT/REPAIR/RMVL,"$2,352.05 "
419100198,IV INFUSION THERAP SEQ 1 HR,$292.40 
419100199,IVP ADDL DIFF DRUG THERAP,$404.00 
419100201,MED/SURG/GYN PRIV ROOM/BOARD,"$2,490.40 "
419100202,HOSPICE ROOM/BOARD,"$1,681.25 "
419100254,IV INFUSN HYDRATION EA ADDL HR,$311.75 
419100255,IV INFUSION THERAP EA ADDL HR,$404.00 
419100256,INJECTION IM/SC THERAPEUTIC,$123.20 
419100281,LUMBAR PUNCTURE,$546.30 
419100282,THORACENTESIS,"$1,401.20 "
419100284,CHEST TUBE INSERTION,$682.95 
419100296,CHEMO INFUSION INITIAL 1ST HR,"$1,162.25 "
419100297,CHEMO INFUSION EA ADDL HOUR,$594.60 
419100302,PARACENTESIS,$482.90 
419100304,BONE MARROW BX W/SEDATION,"$2,483.75 "
419100307,CAPD-CONT AMBULATORY PERITONEAL DIALYSIS,"$3,564.85 "
419100336,CHEMO INFUSION SEQNTL 1 HR,$311.25 
419100412,IV INFUSION THERAP CONCURRENT,$314.85 
419100413,IVP ADDL SAME DRUG THERAPEUTIC,$404.00 
419100609,MINOR PROCEDURE,$368.80 
419100634,OBSERVATION DIRECT ADMIT,$574.30 
419101150,SMALL JOINT ASPIRTN/INJ UNILAT,$536.25 
419101151,MEDIUM JOINT ASPIRTN/INJECT UNI,$981.75 
419101153,MAJOR JOINT ASPIRTN/INJECT UNI,"$1,312.80 "
603000014,ADMIN BLOOD TRANSFUSION DAILY,"$2,558.55 "
603000070,IV INFUSN HYDRATION INITIAL HR,$740.45 
603000071,IV INFUSION THERAP INITIAL HR,$738.80 
603000072,IVP INITIAL THERAPEUTIC,$738.80 
603000110,OBSERVATION/HR,$137.85 
603000111,TELEMETRY ROOM/BOARD,"$4,317.25 "
603000113,BONE MARROW BX W/O SEDATION,"$1,952.05 "
603000198,IV INFUSION THERAP SEQ 1  HR,$292.40 
603000199,IVP ADDL DIFF DRUG THERAP,$404.00 
603000200,PEDIATRIC PRIV ROOM/BOARD,"$2,490.40 "
603000201,MED/SURG/GYN PRIV ROOM/BOARD,"$2,490.40 "
603000202,HOSPICE ROOM/BOARD,"$1,681.25 "
603000254,IV INFUSN HYDRATION EA ADDL HR,$311.75 
603000255,IV INFUSION THERAP EA ADDL HR,$404.00 
603000256,INJECTION IM/SC THERAPEUTIC,$123.20 
603000281,LUMBAR PUNCTURE,$546.30 
603000282,THORACENTESIS,"$1,401.20 "
603000284,CHEST TUBE INSERTION,$682.95 
603000293,CHEMO SQ OR IM NON-HORMONAL,$752.95 
603000294,CHEMO SQ OR IM HORMONAL,$311.25 
603000295,CHEMO IV PUSH INITIAL,$738.80 
603000296,CHEMO INFUSION INITIAL 1ST HR,"$1,162.25 "
603000297,CHEMO INFUSION EA ADDL HOUR,$594.60 
603000298,CHEMO INTRAPLEURAL,$943.75 
603000299,CHEMO INTRATHECAL,"$1,225.95 "
603000302,PARACENTESIS,$482.90 
603000304,BONE MARROW BX W/SEDATION,"$2,483.75 "
603000307,GS CAPD-CONT AMBULATORY PERITONEAL DIALYSIS,"$3,741.90 "
603000334,CHEMO IV PUSH EA ADDL,$311.25 
603000336,CHEMO INFUSION SEQNTL 1 HR,$311.25 
603000338,REFILL/MAIN PORT PUMP,$606.65 
603000412,IV INFUSION THERAP CONCURRENT,$314.85 
603000413,IVP ADDL SAME DRGU THERAPEUTIC,$404.00 
603000602,CHEMO IV INFUSION CONCURRENT,$209.95 
603000609,MINOR PROCEDURE,$368.80 
603000634,OBSERVATION DIRECT ADMIT,$574.30 
603001150,SMALL JOINT ASPIRTN/INJ UNILAT,$536.25 
603001151,MEDIUM JOINT ASPIRTN/INJECT UNI,$981.75 
603001153,MAJOR JOINT ASPIRTN/INJECT UNI,"$1,312.80 "
603002966,CHEMO INTRA ARTERIAL PUSH,"$1,225.95 "
603003388,CHEMO PERITONEAL VIA PORT/CATH,$943.75 
419600014,ADMIN BLOOD TRANSFUSION DAILY,"$2,558.55 "
419600070,IV INFUSN HYDRATION INITIAL HR,$740.45 
419600071,IV INFUSION THERAP INITIAL HR,$738.80 
419600072,IVP INITIAL THERAPEUTIC,$738.80 
419600110,OBSERVATION/HR,$137.85 
419600111,TELEMETRY ROOM/BOARD,"$4,317.25 "
419600113,BONE MARROW BX W/O SEDATION,"$1,952.05 "
419600196,CENTRAL LINE INSERT/REPAIR/RMVL,"$2,352.05 "
419600198,IV INFUSION THERAP SEQ 1 HR,$292.40 
419600199,IVP ADDL DIFF DRUG THERAP,$404.00 
419600201,MED/SURG/GYN PRIV ROOM/BOARD,"$2,490.40 "
419600202,HOSPICE ROOM/BOARD,"$1,681.25 "
419600254,IV INFUSN HYDRATION EA ADDL HR,$311.75 
419600255,IV INFUSION THERAP EA ADDL HR,$404.00 
419600256,INJECTION IM/SC THERAPEUTIC,$123.20 
419600281,LUMBAR PUNCTURE,$546.30 
419600282,THORACENTESIS,"$1,401.20 "
419600284,CHEST TUBE INSERTION,$682.95 
419600296,CHEMO INFUSION INITIAL 1ST HR,"$1,162.25 "
419600297,CHEMO INFUSION EA ADDL HOUR,$594.60 
419600302,PARACENTESIS,$482.90 
419600304,BONE MARROW BX W/SEDATION,"$2,483.75 "
419600307,CAPD-CONT AMBULATORY PERITONEAL DIALYSIS,"$3,741.90 "
419600412,IV INFUSION THERAP CONCURRENT,$314.85 
419600413,IVP ADDL SAME DRUG THERAPEUTIC,$404.00 
419600609,MINOR PROCEDURE,$368.80 
419600634,OBSERVATION DIRECT ADMIT,$574.30 
419601150,SMALL JOINT ASPIRTN/INJ UNILAT,$536.25 
419601151,MEDIUM JOINT ASPIRTN/INJECT UNI,$981.75 
419601153,MAJOR JOINT ASPIRTN/INJECT UNI,"$1,312.80 "
601100014,ADMIN BLOOD TRANSFUSION DAILY,"$2,558.55 "
601100070,IV INFUSN HYDRATION INITIAL HR,$740.45 
601100071,IV INFUSION THERAP INITIAL HR,$738.80 
601100072,IVP INITIAL THERAPEUTIC,$738.80 
601100110,OBSERVATION/HR,$252.05 
601100111,TELEMETRY ROOM/BOARD,"$4,317.25 "
601100113,BONE MARROW BX W/O SEDATION,"$1,952.05 "
601100114,INTERMEDIATE CARE ROOM/BOARD,"$5,805.25 "
601100196,CENTRAL LINE INSERT/REPAIR/RMVL,"$2,352.05 "
601100198,IV INFUSION THERAP SEQ 1 HR,$292.40 
601100199,IVP ADDL DIFF DRUG THERAP,$404.00 
601100201,MED/SURG/GYN PRIV ROOM/BOARD,"$2,490.40 "
601100202,HOSPICE ROOM/BOARD,"$1,681.25 "
601100254,IV INFUSN HYDRATION EA ADDL HR,$311.75 
601100255,IV INFUSION THERAP EA ADDL HR,$404.00 
601100256,INJECTION IM/SC THERAPEUTIC,$123.20 
601100281,LUMBAR PUNCTURE,$546.30 
601100282,THORACENTESIS,"$1,401.20 "
601100284,CHEST TUBE INSERTION,$682.95 
601100296,CHEMO INFUSION INITIAL 1ST HR,"$1,683.95 "
601100302,PARACENTESIS,$482.90 
601100304,BONE MARROW BX W/SEDATION,"$2,483.75 "
601100307,CAPD-CONT AMBULATORY PERITONEAL DIALYSIS,"$3,741.90 "
601100311,CARDIOVERSION,"$2,942.50 "
601100398,QUICK-COMBO PACING/DEFIB PAD,$327.25 
601100412,IV INFUSION THERAP CONCURRENT,$314.85 
601100413,IVP ADDL SAME DRUG THERAPEUTIC,$404.00 
601100609,MINOR PROCEDURE,$368.80 
601100634,OBSERVATION DIRECT ADMIT,$574.30 
601101153,MAJOR JOINT ASPIRTN/INJECT UNI,"$1,312.80 "
604000014,ADMIN BLOOD TRANSFUSION DAILY,"$2,558.55 "
604000070,IV INFUSN HYDRATION INITIAL HR,$740.45 
604000071,IV INFUSION THERAP INITIAL HR,$738.80 
604000072,IVP INITIAL THERAPEUTIC,$738.80 
604000110,OBSERVATION/HR,$137.85 
604000111,TELEMETRY ROOM/BOARD,"$4,317.25 "
604000114,INTERMEDIATE CARE ROOM/BOARD,"$5,805.25 "
604000128,NURSERY ROOM/BOARD,"$1,663.90 "
604000198,IV INFUSION THERAP SEQ 1 HR,$292.40 
604000199,IVP ADDL DIFF DRUG THERAP,$404.00 
604000200,PEDIATRIC PRIVATE ROOM/BOARD,"$2,490.40 "
604000201,MED/SURG/GYN PRIV ROOM/BOARD,"$2,490.40 "
604000202,HOSPICE ROOM/BOARD,"$1,681.25 "
604000203,OB/ANTEPART PRIV ROOM/BOARD,"$2,490.40 "
604000254,IV INFUSN HYDRATION EA ADDL HR,$311.75 
604000255,IV INFUSION THERAP EA ADDL HR,$404.00 
604000256,INJECTION IM/SC THERAPEUTIC,$123.20 
604000281,LUMBAR PUNCTURE,$546.30 
604000282,THORACENTESIS,"$1,401.20 "
604000284,CHEST TUBE INSERTION,$682.95 
604000412,IV INFUSION THERAP CONCURRENT,$314.85 
604000413,IVP ADDL SAME DRUG THERAPEUTIC,$404.00 
604000609,MINOR PROCEDURE,$368.80 
604000634,OBSERVATION DIRECT ADMIT,$574.30 
604020153,SPINAL PUNCTURE TRAY,$104.65 
604020186,CATHETER INFANT,$29.85 
604020187,CATHETER PEDIATRIC,$29.85 
437100016,CIRCUMCISION,$368.80 
437100068,BILIRUBIN TOTAL TRANSCUTANEOUS,$116.50 
437100128,NURSERY ROOM/BOARD,"$1,666.85 "
437100223,ABG DRAW BY RN,$208.40 
437100257,NEWBORN HEARING SCREEN COMP,$328.45 
437100273,NEWBORN HEARING SCREEN LTD,$204.00 
437102888,SKIN TAG REMOVAL UP TO 15 LESIONS,$312.55 
437105477,INCISION OF LINGUAL FRENUM (FRENOTOMY),"$1,571.60 "
437106910,LACTATION CLASSES NON PHYS PROV PER SESSION,$328.70 
601300014,ADMIN BLOOD TRANSFUSION DAILY,"$2,558.55 "
601300016,CIRCUMCISION,$368.80 
601300019,FETAL NON-STRESS TEST,$403.05 
601300070,IV INFUSN HYDRATION INITIAL HR,$740.45 
601300071,IV INFUSION THERAP INITIAL HR,$738.80 
601300072,IVP INITIAL THERAPEUTIC,$738.80 
601300110,OBSERVATION/HR,$137.85 
601300198,IV INFUSION THERAP SEQ 1 HR,$292.40 
601300199,IVP ADDL DIFF DRUG THERAP,$404.00 
601300203,OB/ANTEPART PRIV ROOM/BOARD,"$2,490.40 "
601300224,BLADDER SCAN,$341.70 
601300236,ULTRASOUND OB LIMITED,$753.40 
601300237,US OB FOLLOW-UP INITIAL FETUS,$759.60 
601300239,TRANSVAGINAL ULTRASOUND PREGNANCY,"$1,017.00 "
601300240,BIOPHYSICAL PROFILE W/NST INITIAL,"$1,562.00 "
601300241,UMBILICAL ARTERY ECHO,"$1,107.70 "
601300254,IV INFUSN HYDRATION EA ADDL HR,$311.75 
601300255,IV INFUSION THERAP EA ADDL HR,$404.00 
601300256,INJECTION IM/SC THERAPEUTIC,$123.20 
601300412,IV INFUSION THERAP CONCURRENT,$314.85 
601300413,IVP ADDL SAME DRUG THERAPEUTIC,$404.00 
601300609,MINOR PROCEDURE,$368.80 
601300634,OBSERVATION DIRECT ADMIT,$574.30 
601302870,BIOPHYSICAL PROFILE  W/NST ADDL,"$1,562.00 "
601302914,US OB FOLLOW-UP EA ADDL FETUS,$759.60 
722000009,INTUBATION ET EMERGENT,"$1,263.85 "
722000012,VENIPUNCTURE,$33.40 
722000014,ADMIN BLOOD TRANSFUSION DAILY,"$2,558.55 "
722000020,INJ EPIDURAL BLOOD OR CLOT PATCH,"$1,309.20 "
722000057,GASTROCULT,$49.40 
722000070,IV INFUSN HYDRATION INITIAL HR,$740.45 
722000071,IV INFUSION THERAP INITIAL HR,$738.80 
722000072,IVP INITIAL THERAPEUTIC,$738.80 
722000110,OBSERVATION/HR,$252.05 
722000198,IV INFUSION THERAP SEQ 1 HR,$292.40 
722000199,IVP ADDL DIFF DRUG THERAP,$404.00 
722000221,PICC/MIDLINE (CENTRAL VENOUS CATHETER) INSERT <5 YRS,"$3,001.30 "
722000222,PICC/MIDLINE (CENTRAL VENOUS CATHETER) INSERT =>5 YRS,"$3,001.30 "
722000223,ABG DRAW BY RN,$208.40 
722000224,BLADDER SCAN,$341.70 
722000236,ULTRASOUND OB LIMITED,$753.40 
722000239,TRANSVAGINAL ULTRASOUND PREGNANCY,"$1,017.00 "
722000246,ULTRASOUND TRANSVAGINAL NON-OB,"$1,017.00 "
722000250,US GUIDED NEEDLE PLACEMENT,"$1,313.25 "
722000254,IV INFUSN HYDRATION EA ADDL HR,$311.75 
722000255,IV INFUSION THERAP EA ADDL HR,$404.00 
722000256,INJECTION IM/SC THERAPEUTIC,$123.20 
722000258,CARDIOPULMONARY RESUSCITATION,"$2,701.75 "
722000291,BLD COLLECT VENOUS ACSS DEVICE,$195.50 
722000302,PARACENTESIS,"$3,070.00 "
722000309,US GUIDE VASCULAR ACCESS,$635.90 
722000311,CARDIOVERSION,"$2,942.50 "
722000412,IV INFUSION THERAP CONCURRENT,$314.85 
722000413,IVP ADDL SAME DRUG THERAPEUTIC,$404.00 
722000435,CHANGE GASTROSTOMY TUBE,$947.75 
722000571,THORACENTESIS,"$1,401.20 "
722000572,CHEST TUBE INSERTION,$682.95 
722000573,PERICARDIOCENTESIS INITIAL,"$3,001.30 "
722000574,CENTRAL VENOUS CATH INSERT <5YRS,"$3,001.30 "
722000575,CENTRAL VENOUS CATH INSERT >5YRS,"$3,001.30 "
722000576,BLADDER IRRIGATION,$385.50 
722000577,FOLEY CATHETER INSERTION,$438.80 
722000578,INSERT COMPLEX CATHETER,$485.50 
722000579,CYSTOSTOMY TUBE CHANGE,$947.75 
722000580,DELIVERY-VAGINAL,"$2,907.05 "
722000581,DELIVERY-PLACENTA ONLY,"$4,845.55 "
722000582,LUMBAR PUNCTURE,"$2,225.05 "
722000583,US SOFT TISSUE HEAD/NECK,$534.35 
722000584,ULTRASOUND CHEST/THORACIC,$494.55 
722000585,ULTRASOUND ABDOMEN LIMITED,$494.55 
722000587,BREATHALYZER,$73.95 
722000588,IMMUNIZATION ADMIN;ONE VACCINE,$127.50 
722000589,IMMUNIZATION ADM;EA ADDL VACC,$102.30 
722000594,TEMP TRANSCUTANEOUS PACING,"$3,181.65 "
722000595,THROMBOLYSIS IV INFUSION,$393.15 
722000596,INSERTION SWAN GANZ CATHETER,"$3,001.30 "
722000604,CATH FOR SPECIMEN COLLECTION,$34.30 
722000605,BURN CARE,$386.95 
722000607,FRACTURE/DISLOCATION CARE,$420.45 
722000608,I&D SIMPLE,$450.35 
722000609,MINOR PROCEDURE,$368.80 
722000610,NOSEBLEED,$531.70 
722000611,SPLINTING,$368.80 
722000613,ANOSCOPY,$373.65 
722000617,CAST REMOVAL/BIVALVING,$368.80 
722000618,I&D COMPLEX,$519.30 
722000619,INTEROSSEOUS NEEDLE PLACEMENT,$368.80 
722000620,LAVAGE-PERITONEAL,"$1,236.00 "
722000621,MAJOR PROCEDURE,"$1,335.50 "
722000622,NAIL REMOVAL FINGER/TOE,"$1,335.50 "
722000623,RHINO/LARYNGOSCOPY,$532.95 
722000624,INSERTION SUPRAPUBIC CATHETER,"$2,395.70 "
722000625,TRACHEOSTOMY-EMERGENT,"$2,761.80 "
722000626,VENTRICULOSTOMY,"$4,401.40 "
722000627,FULL TRAUMA ACTIVATION,"$8,159.10 "
722000628,LIMITED TRAUMA ACTIVATION,"$5,303.45 "
722000629,WOUND REPAIR-SIMPLE,$368.80 
722000630,WOUND REPAIR INTERMEDIATE,$552.50 
722000631,WOUND REPAIR-COMPLEX,$736.20 
722000633,DRUG SCREEN FOR W.C.,$89.75 
722000634,OBSERVATION DIRECT ADMIT,$574.30 
722001097,ULTRASOUND ABDOMEN COMPLETE,$494.55 
722001099,US RETROPERITONEAL LTD,$494.55 
722001150,SMALL JOINT ASPRNT/INJECT UNI W/O US GUIDE,$872.75 
722001151,MEDIUM JOINT ASPIRTN/INJECT UNI W/O US GUIDE,$872.75 
722001153,MAJOR JOINT ASPRTN/INJ UNI W/O US GUIDE,$872.75 
722002336,REMOVAL IMPACTED CERUMEN REQ INSTR; UNILAT,$193.95 
722002776,NERVE BLOCK,$772.60 
722002791,EMERGENCY ROOM-LEVEL 1,$427.35 
722002792,EMERGENCY ROOM-LEVEL 2,$961.00 
722002793,EMERGENCY ROOM-LEVEL 3,"$2,022.40 "
722002794,EMERGENCY ROOM-LEVEL 4,"$3,333.70 "
722002795,EMERGENCY ROOM-LEVEL 5,"$5,248.05 "
722002796,ER CRITICAL CARE,"$9,405.15 "
722002797,ER CRITICAL CARE-'ADDL 30 MIN,$814.90 
722002800,EMERGENCY ROOM - LEVEL 1 W/MOD,$427.35 
722002801,EMERGENCY ROOM - LEVEL 2 W/MOD,$961.00 
722002802,EMERGENCY ROOM - LEVEL 3 W/MOD,"$2,022.40 "
722002803,EMERGENCY ROOM - LEVEL 4 W/MOD,"$3,333.70 "
722002804,EMERGENCY ROOM - LEVEL 5 W/MOD,"$5,248.05 "
722002805,ER CRITICAL CARE W/MOD,"$9,405.15 "
722003381,US LMTD JOINT OR NONVASC EXTREM UNILATERAL,$428.00 
722003420,GASTRIC INTUBATION AND ASPIRATION TX,$499.05 
722004252,PARACENTESIS WITH IMAGING,"$3,070.00 "
722004769,PREFAB ANKLE AIRCAST; RIGID/STIRRUP OTS,$650.35 
722005774,MOLDED CERV COLLAR PLAST SEMI-RIG ADJ CHIN CUP W MAND L0150,$368.95 
722005930,PREFAB KPFAB KNEE ELAS JNT OTS,$331.70 
722005932,PREFAB WRS-FNG WO JNT OTS,$807.90 
722005935,PREFAB NON-PNMTC BOOT OTS,$562.85 
722006171,SMALL JT ASPRNT/INJECT UNI INCLUDE US GUIDE,"$1,309.15 "
722006172,MEDIUM JT ASPRNT/INJECT UNI INCLUDE US GUIDE,"$1,916.25 "
722006173,MAJOR JT ASPRNT/INJECT UNI INCLUDE US GUIDE,"$2,523.40 "
722006299,US BREAST UNILATERAL COMPLETE INCL AXILLA - 4 QUADRANTS,"$1,381.10 "
722006300,US BREAST UNILATERAL LTD INCL AXILLA - 1 OR MORE ELEMENTS,"$1,201.15 "
722006443,PREFAB SHOULDER ORTHOSIS FIGURE 8 ABDUCTION RESTRAINER OTS,$265.50 
722006459,FULL TRAUMA ACTIVATION W/O CRITICAL CARE,"$7,926.30 "
722006460,LIMITED TRAUMA ACTIVATION W/O CRITICAL CARE,"$5,152.10 "
722006574,REMOVAL IMPACTED CERUMEN IRRIGATION/LAVAGE UNIL,$193.95 
722007813,RECTAL FOREIGN BODY REMOVAL,"$2,306.40 "
722020115,PREFAB CERV COLLAR SEMI-RIGID 2PC THERMOPL FOAM  OTS,$340.85 
722020188,PREFAB SHOULDER ORTHO CANVAS/WEBBING ACROMIOCLAV OTS L3670,$377.80 
722020202,PREFAB WRIST-HAND ORTHO W EXT CONTR COCK-UP OTS,$144.90 
722020220,PREFAB KNEE ORTHO/IMMOBILIZER-CANVAS OTS,$244.50 
722020251,PREFAB CERV COLLAR FLEXIBLE FOAM NON-ADJUST OTS,$68.60 
722022564,PREFAB ANKLE-FOOT V-LOCK BRACE OTS,$415.30 
722039866,PREFAB SURGICAL BOOT/SHOE EA L3260,$333.75 
722039867,PREFAB SHOULDER ORTHO FIG 8 RESTRAINER OTS,$329.95 
605100014,ADMIN BLOOD TRANSFUSION DAILY,"$2,558.55 "
605100017,AMNIOCENTESIS DIAGNOSTIC,$768.65 
605100018,AMNIOCENTESIS THERAPEUTIC,"$1,479.50 "
605100019,FETAL NON-STRESS TEST,$403.05 
605100020,INJ EPIDURAL BLOOD OR CLOT PATCH,"$2,225.05 "
605100070,IV INFUSN HYDRATION INITIAL HR,$740.45 
605100071,IV INFUSION THERAP INITIAL HR,$738.80 
605100072,IVP INITIAL THERAPEUTIC,$738.80 
605100110,OBSERVATION/HR,$252.05 
605100198,IV INFUSION THERAP SEQ 1 HR,$292.40 
