BarCdmID,Name,BillDescription,Amount,Category,CPT Modifier Code 1,CPT Modifier Code 2,CPT Multiplier,EffectiveDate,Expression 1,Expression 2,Expression 3,Expression 4,Expression 5,Expression 6,HCPCS Modifier Code 1,HCPCS Modifier Code 2,HCPCS Multiplier,MC Indicator,NDC,OD 1,OD 2,OD 3,OD 4,OD 5,OD 6,OD Value 1,OD Value 2,OD Value 3,OD Value 4,OD Value 5,OD Value 6,Override Expression 1,Override Expression 2,Override Expression 3,Override Expression 4,Override Expression 5,Override Expression 6,Professional GL Override
77200806,SBG MAINTENANCE DIABETES,,1632.00,094x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972205,Magnesium Citrate,Magnesium Citrate,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76971282,Ascorbic Acid 500Mg/ 1Ml,,56.00,025x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972253,Albuterol-Nebulizer NonCom 1mg,Albuterol NonCompounded Con1mg,6.00,025x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972043,PREDNISONE 5 MG TAB,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972265,Chemo Admin:Intralesnl>=7Lesns,,480.00,033x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972109,Lipidox Ea 10 Mg,,1372.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972213,KCL 2 mEq,,18.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972062,TEMOZOLOMIDE ORAL EA 5 MG,,13.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76970511,Fluzone-High Dose 0.5Ml Syr,,44.63,063x,,,,11/01/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972371,METOPROLOL TARTRATE 100MG TAB,,5.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972272,Rasburicase/Elitek 0.5mg Inj,,1020.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972365,Copanlisib/Aliqopa 1mg Inj,,16800.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76971024,Vad Irrigation,,365.00,026x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972229,PROCHLORPERAZINE <=10 MG INJ,Prochlorperazine 10MG,62.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972119,Iron Sucrose Ea 1 Mg Inj,,5.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972089,MORPHINE INJ EA 10 MG,,56.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972263,Darzalex 10mg Inj,,193.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972065,Hydromorphone HCL 1MG/ML Inj,,56.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972147,GRANIX/TBO-FILGRASTIM Inj 1Mcg,,18.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972291,Appl On-BodyInjtr/Timed SC Inj,,463.00,026x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972639,Gammagard S/D 10G Powder,,1788.20,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972362,IRINOTECAN LIP/ONIVYDE INJ 1MG,,158.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972250,Gazyva / Obinutuzumab 10MG Inj,,202.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972135,D5W 250 Ml,,18.00,025x,,,,07/01/2017,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972142,DOXORUBICIN/DOXIL EA 10 MG,Doxil Ea 10 Mg,2234.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972209,FULVESTRANT/FASLODEX 25 MG,FULVESTRANT 25 MG INJ,360.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972516,Tetanus-Diptheria (Tenivac)0.5,TD VACC NO PRESV 7 YRS++ IM,89.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972277,ELOTUZUMAB/EMPLICITI INJ 1MG,,25.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972261,Engerix-B 10mcg/0.5 ml Ped SDV,Engerix-B Ped/Adol 3Dose,89.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972162,Alteplase 1 MG Inj    LCRP,Alteplase 1 MG Inj,292.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76970196,Albumin 5%% Human 250 Ml Vial,,300.00,063x,,,,07/04/2017,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76979017,ARSENIC TRIOXIDE 10MG/10ML VL,,5525.00,063x,,,,12/01/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972200,"Copper, 0.4mg/ml, Inj",,146.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972271,EMEND CAP EA 5 MG,,41.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972145,FILGRAMSTIM(G-CSG) EA1MCG INJ,Filgramstim(G-Csf) Ea1Mcg INJ,46.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972044,PEDAXHIB VACCINE 7.5ug / 0.5mL,HIB PRP-OMP VACC 3 DOSE IM,95.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972102,ZIPRASIDONE MESYLATE EA 10 MG,,75.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76970252,Hydration Each Additional Hour,IV Infusn Hydration Ea Addl Hr,342.00,026x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972138,PANITUMUMAB EA 10 MG,,439.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972058,GLUCAGEN INJ 1 MG,,677.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76970205,Established Patient 4,,390.00,051x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972346,Montelukast Sod 10mg Tab,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972108,Normal Saline 250 Cc,,18.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972299,Varubi Inj 166.5mg/92.5ml Vial,,1180.00,063X,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972518,Velaglucerase Alfa/VPRIV100UIn,,1377.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972188,EPO INJ NonESRD EA 1000Units,EPO EA 1000 Units,108.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972111,Interferon Alfa 2B 1 M Units,Interferon Alfa 2B 1 M Units,118.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972267,HEP A VACC PED/ADOL 2DSE IMINJ,,118.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972094,CEFTRIAXONE EA 250 MG,,32.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972059,TRIPTORELIN DEPO 3.75 MG Inj,,2384.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76970256,Concurrent Infusion,,435.00,026x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972086,ENOXAPARIN EA 10 MG,,12.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972372,HAVRIX 1440U/ 1ML SYR INJ,,253.00,025X,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972021,IPOL,"Poliovirs Vaccne Inactiv,SQ/IM",122.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972018,Hydrocodone 5MG/APAP 325MG TAB,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972083,Hylenex Inj Ea 1.0 USP Unit,,2.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972051,WINRHO EACH 100 IU,IV HUMAN RHO I IG INJ 100 IU,94.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76970258,Hepatitis B Vaccine Admin 1.0,,93.00,077x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972199,VINORELBINE/NAVELB 10MG,,56.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972091,RANITIDINE/ZANTAC EA 25 MG,,27.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76970200,Established Patient 3,,345.00,051x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972352,ALLOPURINOL 300MG TAB,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972258,DEXAMETHASONE ORAL EA 0.25MG,,3.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972353,ALLOPURINOL 100MG TAB,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972076,D5W/NACL 0.45% 1000 ML,,56.00,025x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972085,NACL 0.45%500 ML,,56.00,025x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76970260,PICC  Line Blood Draw,,503.00,036x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972368,"Vedolizumab/Entyvio Inj, 1mg",,78.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76970253,Vaccine Admin Initial,Immunization Admin 1 vaccine,93.00,077x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972100,LIBATAYO 350 MG/7 ML VIAL,,9100.00,063x,,,,10/01/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972260,IMLYGIC 100XM PFU Inj EA Vial,,91.00,063x,,,,07/02/2018,,,,,,,,,100.00,N,,,,,,,,,,,,,,,,,,,,
76972144,CLOFARABINE/CLOLAR EA 1 MG,,566.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972287,Tranexamic Acid 10ml IV,,206.00,025x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972081,MANVEO VACCINE,MANVEO VACCNE IM QUAD,506.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972154,PEMETREXED/ALIMTA 10 MG INJ,,206.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972195,GRANISETRON HCL EA 100 MCG,Granisetron Hcl Ea 100Mcg,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972289,Ofatumumab/Arzerra 10mg Inj,,202.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972220,Meningococcal Vac IM 0.5ml Inj,MENACWY VACCINE IM,443.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972033,PROMETHAZINE 25MG TAB,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76977538,Lidocaine 1%% 30Ml Vial,,1.78,063x,,,,07/02/2018,,,,,,,,,30.00,N,,,,,,,,,,,,,,,,,,,,
76971006,SubQ Non-Chemo Infusion 1stHR,SC THER INFUSION UPTO 1HR,636.00,026x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972211,FERRIC NA GLUCONATE 12.5 MG,FERRLECIT INJ 12.5MG,11.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972165,B-12 INJ Up to 1000 MCG,"Cyanocobalamin, Vitamin Inj",53.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972218,Cyramza Ea 5 MG,,222.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972186,Cabazitaxel 1 MG,Cabazitaxel 1 MG,525.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972178,ROMIPLOSTIM/NPLATE 10MCG,,231.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972224,TEMSIROLIMUS/TORISEL 1 MG,,269.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972055,ARSENIC TRIOXIDE EA 1 MG  LCRP,,258.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972301,Degarelix/Firmagon Inj 1MG,,15.00,063x,,,,03/01/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972039,CALCIUM GLUCONATE 10ML INJ,,56.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972294,FLUCONAZOLE/DIFLUCAN INJ 200MG,,28.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972090,ECULIZUMAB EA 10 MG,,477.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972099,OLARATUMAB 500MG/50ML VIAL,,9440.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76977534,Lidocaine 1%% 2Ml Amp,,48.52,063x,,,,07/02/2018,,,,,,,,,2.00,N,,,,,,,,,,,,,,,,,,,,
76972041,DIPHENOXYLATE/ATROPIN 2.5MGTAB,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76970110,Non-Chemo IV  Infusion First H,,838.00,026x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76970190,Established Patient 1,,175.00,051x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972321,Chemo Inj: Sq/Im Hormonal,,462.00,033x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972037,ALBUTEROL INHALER PER USE 1INH,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972034,BELIMUMAB/BENLYSTA INJ 10MG,,168.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972107,NORMAL SALINE 500ML,,18.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972127,Vinblastine Ea 1 Mg,,13.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972361,TRASTUZUMAB/HER INJ SDV 10MG,,403.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972284,Vancomycin HCL 500Mg Inj,,77.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972268,PREDNISONE IR/DR ORAL 1MG TAB,,5.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972355,"Somatuline Depot ea 1mg, Inj",,273.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972093,Dexamethasone 2Mg Tab,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972073,D5W 500 ML,,56.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972283,TECENTRIQ/ATEZOLIZUMAB INJ10MG,TECENTRIQ/ATEZOLIZUMAB INJ10MG,237.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972231,SARGRAMOSTIM INJ EA 50 MCG,,123.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972248,CIPROFLOXACIN 500MG ORAL TAB,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972241,Neulasta Delivery Kit 6mg INJ,,16100.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972106,NORMAL SALINE 1000 CC,,19.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972080,INSULIN Flex Pen EA 5U INJ,,3.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972354,"NIVOLUMAB / OPDIVO, INJ 1MG",,103.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972129,ONDANSETRON/ZOFRAN EA 1 MG,,7.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972152,PACLITAXEL PROTEIN BND 1MG INJ,,48.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972141,KADCYLA EA 1 MG,,96.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972638,Gammagard S/D 5G Powder,,894.10,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972068,GRANISETRON HCL 1 MG TAB,,5.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972052,PHYTONADIONE/VIT K EA 1MG,Vitamin K Ea 1 Mg,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76971037,IV Inj Seq Push Same Drug Addl,,142.00,026x,,,,07/02/2018,TREATMNT,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76970254,Vaccine Admin Ea Addl,Vaccine Admin Addl 1 Vaccine,93.00,077x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972169,DEXAMETHASONE EA 1 MG,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972070,FLUMAZENIL 0.1MG/ML 5ML INJ MD,,16.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972166,CYCLOPHOSPHAMIDE 100 MG   LCRP,,170.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972112,Gammagard Ea 500 MG,Gammagard Ea 500 Mg,204.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972197,Pamidronate 30 MG Inj,Pamidronate 30 MG,50.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972214,Acetaminophen 10Mg Inj,,2.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76970160,Chemo IV  Infusion First Hr,,922.00,033x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76971492,Prochlorperazine 10Mg2Ml Inj,,29.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972320,Chemo: Sc/Im Non-Hormonal,,573.00,033x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76970257,Hep B Vaccine Admin,,63.00,077x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972292,Fentanyl Ptch-Xtd Rel 25mcg/hr,,12.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972500,Abatacept 10mg SDV INJ,,150.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972228,PACLITAXEL 1.0 MG,,20.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972088,MEPERIDINE UP TO 100 MG,,53.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972023,LABETALOL 20MG/4ML,,56.00,025x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972118,Furosemide/Lasix Ea 20 MG,Furosemide/Lasix Ea 20 MG,56.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972160,IRINOTECAN  20 MG INJ,,13.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972122,Sipuleucel-T/Provenge Per Vial,,73253.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972510,Levofloxacin/Levaquin 250 mg,,18.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76970170,Chemo: Infusion Ea Add 1Hr,Chemo: Infusion Ea Add Hr,739.00,033x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972060,GOSERELIN ACETATE EA 3.6 MG,,2420.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972512,Praltrexate / Folotyn ea 1MG,,820.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972027,METOCLOPRAMIDE 10MG 1TAB,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972252,Aminocaproic Acid 250mg/ml Inj,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972192,FLUDARBINE EA 50MG,,244.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972155,PALONOSETRON/ALOXI 25MCG,,59.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972298,ImmuneGlobul-Octagam 500mg Inj,,208.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972032,PROCHLORPERAZINE Oral ea 5mg,,6.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972513,Cefepime/Maxepine Inj ea 500MG,,15.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972349,Chemo IV Infus Addl Sequen/Hr,,303.00,033x,,,,07/02/2018,PROCED,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
76972176,Famotidine ea 20mg,Famotidine ea 20mg,56.00,025x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972278,MENACWY VACCINE IM SDV,MENACTRA VACCINE IM,438.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972279,CIPROFLOXACIN 250MG ORAL TAB,,5.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972285,Chlorpromazine HCL Inj to 50MG,,109.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972028,MEASLES-MUMPS-RUBELLA II,M-M-R II VACCINE SQ,257.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972506,Leuprolide Depot Ea 7.5Mg,Leuprolide Depot Ea 7.5Mg,5554.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972373,9VHPVGARDASIL VAC2-3D 0.5MLINJ,,759.00,063X,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972082,ActHIB VACCIN 4DoseIM,,143.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76970510,Admin Immuniz Flu Vaccine x1,Flu Immunization Admin 1 vacci,34.00,077x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
76972179,DENOSUMAB Inj EA 1 MG,,72.00,063x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
