HC APC FULL SEQ-FAP APC," 1,496.68 ",
HC APC (TARGETED PANEL), 525.26 ,
HC BCR/ABL1 (CML);MAJOR BREAKPT., 330.95 ,
HC BCR/ABL1 (TARGETED PANEL), 56.51 ,
HC BRAF (TARGETED PANEL), 50.26 ,
HC BRAF GENE ANALYSIS, 673.45 ,
HC CFTR 165, 920.70 ,
HC CFTR COMMON VARIANTS (CFTRNB), 920.70 ,
HC CFTR COMMON VARIANTS (CFTR), 920.70 ,
HC CFTR KNOWN FAMILIAL VARIANTS, 505.95 ,
HC CFTR DUP/DEL, 931.23 ,
HC CFTR FULL GENE SEQ-PP," 1,092.56 ",
HC CFTR;FULL SEQ-PANCREAT, 749.06 ,
HC CFTR;FULL GEN SEQ-CFFGS," 1,539.26 ",
HC CFTR FULL SEQ-CP, 488.73 ,
HC CFTR INTRON 8 POLY-T-PP, 165.75 ,
HC CFTR;INTRO 8 POLY T-PANCREAT, 749.06 ,
HC CFTR;INTRON 8 POLY-T-CFFGS, 129.46 ,
HC MICROARRAY FOR SNP VARIANTS," 2,327.25 ",
HC PARENTAL SNP, 662.95 ,
HC F2 VARIANT, 295.25 ,
HC F2 PT NEUCLOTIDE 20210 G/A, 78.44 ,
HC F5 LEIDEN VARIANT, 295.25 ,
HC F5 APC RESISTANCE MUTATION/DET, 76.47 ,
HC FLT3 (TARGETED PANEL), 56.51 ,
HC FLT3 GENE ANALYSIS, 200.95 ,
HC GJB2 FULL SEQ-CX26/30, 430.00 ,
HC GJB2;FULL SEQ-CONXRELDEAF, 658.86 ,
HC GJB6 FULL SEQ-CX26/30, 70.00 ,
HC GJB6 COMMON VAR-CONXRELDEAF, 109.86 ,
HC HEMOCHROMATOSIS COMMON VARIANT, 280.95 ,
HC HFE COMMON VARIANTS, 167.29 ,
HC HFE (TARGETED PANEL), 56.51 ,
HC JAK2, 407.83 ,
HC JAK2 (TARGETED PANEL), 44.00 ,
HC LQTS;KNOWN FAMILIAL VARIANT," 1,075.00 ",
HC LQTS KNOWN FAMILIAL SEQ, 443.45 ,
HC MECP2;FULL SEQ," 1,358.30 ",
HC MECP2;FULL SEQ," 1,281.26 ",
HC MECP2;FULL SEQ-RETT FGA," 1,643.06 ",
HC MECP2 FULL SEQ-RAP, 149.48 ,
HC MECP2 FULL SEQ-AUT/ID, 146.36 ,
HC MECP2 FULL SEQ-RA, 313.00 ,
HC MECP2-DEL/DUP, 590.55 ,
HC MECP2;DEL/DUP VARIANTS, 506.26 ,
HC MECP2;DEL/DUP-RHETT FGA, 313.16 ,
HC MECP2 DEL/DUP-RAP, 22.73 ,
HC MECP2 DEL/DUP-RA, 490.93 ,
HC PML/RARA QUANT, 423.14 ,
HC PML/RARAPLHA (TARGETED PANEL), 62.76 ,
HC PTEN SEQUENCING," 1,655.95 ",
HC PTEN SEQ-VAS MALFORM PAN, 327.28 ,
HC PTEN (TARGETED PANEL), 319.00 ,
HC PTEN FULL SEQ-VMS, 613.00 ,
HC MECP2 FULL SEQ-AUT/ID, 145.41 ,
HC PTEN SEQ-PTEN SDD," 1,986.78 ",
HC PTEN FULL SEQ-SMOS, 613.00 ,
HC PTEN D/D-VAS MALFORM PAN, 53.79 ,
HC PTEN DEL/DUP-PTEN SDD, 294.18 ,
HC PTEN DEL/DUP-SMOS, 102.00 ,
"HC PMP22 GENE, DEL/DUP"," 1,574.50 ",
HC PMP22 (TARGETED PANEL), 806.51 ,
HC SNRPN/UBE3A (PWS &/OR AS), 687.60 ,
HC SNRPN/UBE3A METHYLATION, 589.35 ,
HC SNRPN/UBE3A-RA, 49.74 ,
HC SERPINA 1 COMMON VAR-A1A, 403.13 ,
HC HLA CLASS I & II LR-DDU," 1,131.06 ",
HC HLA CLASS I & II LR, 615.45 ,
HC HLA I & II TYPING LOW RES, 697.16 ,
HC HLA CLASS 1 LR COMPLETE, 221.88 ,
HC HLA CLASS I TYPING LR COMPL, 385.78 ,
HC HLA CLASS I B27, 174.98 ,
HC HLA ONE ANTIGEN EQUIV HLA-B27, 131.23 ,
HC HLA CLASS 2 LR;1 DR-DRQ, 253.12 ,
HC HLA II TYPE LR HLA-DRB, 385.51 ,
HC HLA CLASS 1 HR;1 LOCUS-A, 280.69 ,
HC HLA CLASS 1 HR;1 LOCUS-B, 280.69 ,
HC HLA CLASS 1 HR;1 LOCUS-C, 280.69 ,
HC HLA CLASS 2 HR-CELIAC GENETICS, 473.14 ,
HC HLA CLASS 2 HR-CELIA PLUS, 453.55 ,
HC MOLEC PATH LEV 2-BW/W METHYL, 505.95 ,
HC MOLEC PATH LEV 2-GALT, 365.93 ,
HC MOLEC PATH LEV 2-SMN1/SMN2, 793.76 ,
HC MOLEC PATH LEV 2-LHON, 893.45 ,
HC MOLEC PATH LEV 2-DM1 RPT, 443.45 ,
HC MOLEC PATH LEV 2-H19 (BWS)," 1,143.73 ",
HC MOLEC PATH LEV 2-H19 METHYL-RS, 460.61 ,
HC MOLEC PATH LEV 2-AR (X-INACT), 443.45 ,
HC MOLEC PATH LEV 2-ATXN2/ATXN7, 906.23 ,
HC MOLEC PATH LEV 2-HGB VAR, 101.53 ,
HC MOLEC PATH LEV 2-PRO PRED TMPT, 326.89 ,
HC MOLEC PATH LEV 2- FGFR3, 317.51 ,
HC MOLEC PATH LEV 2-DM1DNA, 287.48 ,
HC MOLEC PATH LEV 2-FRIEDREICHS, 268.45 ,
HC MOLEC PATH LEV 2-CP, 80.73 ,
HC MP LEV 2-EVT6, 904.30 ,
HC MOLEC PATH LEV 3-PANCREAT," 1,496.56 ",
HC MOLEC PATH LEV 3-CAH DETX, 546.70 ,
HC MOLEC PATH PROC LEV 3-UPD-RS, 795.61 ,
HC MOLEC PATH LEV 3-D816V, 356.23 ,
HC MOLEC PATH LEV 3-UPD15, 681.23 ,
HC MOLEC PATH LEV 4-KFM, 340.75 ,
HC MP LEV 4-HBB, 370.80 ,
HC MOLEC PATH LEV 4-COL1A2 KM, 325.00 ,
HC MOLEC PATH LEV 4-FAMILIAL MUT, 568.73 ,
HC MOLEC PATH LEV 4-TARGETED MUT, 381.23 ,
HC MOLEC PATH LEV 4-DYT1, 381.26 ,
HC MOLEC PATH LEV 4-KNOWN FAM MUT, 649.70 ,
HC MOLEC PATH LEV 4-HGB VAR, 265.33 ,
HC MOLEC PATH LEV 4-NF1 KNOWN VAR, 318.76 ,
HC MOLEC PATH LEV 4-TARGET VAR, 556.23 ,
HC MOLEC PATH LEV 4 FACTOR 8, 387.20 ,
HC MP LEV 4 HBB DEL/DUP-BGS, 173.00 ,
HC MP LEV 4-MODY EVAL, 54.70 ,
HC MOL PATH LEV 4-FAMILIAL VAR, 568.45 ,
HC MOLEC PATH LEV 4-TSC1 KM, 443.45 ,
HC MP LEV 4-F8, 387.20 ,
HC MOLEC PATH LEV 5-PP," 1,092.56 ",
HC MOLEC PATH LEV 5-FSHD1A," 1,581.23 ",
HC MOLEC PATH LEV 5 BD, 804.24 ,
HC MOLEC PATH PROC LEV5-HBB SEQ, 610.64 ,
"HC MOLEC PATH,LEV 5-PFS"," 1,091.15 ",
HC MOLEC PATH LEV 5-GSD1A, 809.98 ,
HC MOLEC PATH LEV 5-GSD1B, 797.48 ,
HC MOLEC PATH LEV 5-FOXG1 (RETT), 518.45 ,
HC MOLEC PATH LEV 5-UGT1A1 SEQ," 1,099.98 ",
HC MOLEC PATH LEV 5-PFS," 1,879.34 ",
HC MP LEV 5-CD40LG/SH2D1A-PAD, 490.55 ,
HC MOLEC PATH LEV 5-CP, 192.50 ,
HC MOLEC PATH LEV 5-CD40LG," 2,172.48 ",
HC MOLEC PATH LEV 5-HGB VAR, 370.63 ,
HC MOLEC PATH PROC LEV 5-BOFS, 623.11 ,
HC MOLEC PATH LEV 5-NF1/SPRED1, 439.08 ,
HC MOLEC PATH PROC LEV 5-DYST, 731.23 ,
HC MOLEC PATH LEV 5-UNK VAR SEQ, 737.48 ,
HC MOLEC PATH LEV 5-RAP, 351.79 ,
HC MP LEV 5-CRANIOSYNOSTOSIS, 484.39 ,
HC MOLEC PATH LEV 5-AUT/ID, 114.74 ,
HC MP LEV 5 HBB SEQ-BGS, 485.00 ,
HC MP LEV 5-NFSP NGS, 485.00 ,
HC MP LEV 5-MODY EVAL, 265.38 ,
HC MP LEV 5-HBB SEQ-SUV, 485.00 ,
HC MOLEC PATH LEV 5-FXN FULL SEQ, 630.95 ,
HC MP LEV 5-LIMB GIRDLE MD PANEL, 149.06 ,
HC MP LEV 5-RETT ANGLEMAN-RA, 671.30 ,
HC MOLEC PATH LEV 5-TNP, 219.48 ,
HC MP LEV 5-SMOS, 485.00 ,
HC MP LEV 5-EPIXPANDED PANEL, 95.90 ,
HC MP LEV 5-NDUFAF2 SEQ, 693.45 ,
HC MOLEC PATH LEV 6-DHCR7," 1,355.95 ",
HC MOLEC PATH LEV 6-MEN2, 693.85 ,
HC MOLEC PATH LEV 6-AGAS, 765.61 ,
HC MOLEC PATH LEV 6-GLA," 1,530.95 ",
HC MOLEC PATH LEV 6-CDKL5 RETT," 1,828.13 ",
HC MOLEC PATH LEV 6-PLPN1, 881.23 ,
HC MOLEC PATH LEV 6-AORTS, 517.19 ,
HC MOLEC PATH LEV 6-NOONAN SPECT, 586.16 ,
HC LEV 6 MP-SMAD4-VAS MALFORM PAN," 1,056.58 ",
HC MOLEC PATH LEV 6-ECP, 132.21 ,
HC MOLEC PATH LEV 6-HCM, 262.08 ,
HC MOLEC PATH LEV 6-TSC1-TSP, 302.26 ,
HC MOLEC PATH LEV 6 ANDROGEN INS," 1,658.73 ",
HC MOLEC PATH PROC LEV 6-BOFS, 933.11 ,
HC MOLEC PATH LEV 6-SLC22A5," 1,027.83 ",
HC MOLEC PATH LEV 6-SPRED1, 660.94 ,
HC MOLEC PATH LEV 6-RAP, 641.85 ,
HC TP53 SEQ," 1,580.95 ",
HC UNLIST MP LEV 6-TP53," 2,150.83 ",
HC MP LEV 6-CRANIOSYNOSTOSIS," 1,978.00 ",
HC MOLEC PATH LEV 6-AUT/ID, 156.54 ,
HC MP LEV 6 HBA1/HAB2 SEQ-AGS, 660.00 ,
HC MP LEV 6-BM FAILURE PANEL, 406.19 ,
HC MP LEV 6-STAT EPILEPSY PANEL, 233.93 ,
HC MP LEV 6-MSUD SEQ, 661.00 ,
HC MP LEV 6-MODY EVAL, 362.76 ,
HC MP LEV 6-HBA1/HBA2 SEQ-SUV, 661.00 ,
HC MP LEV 6-LIMB GIRDLE MD PANEL, 776.48 ,
HC MP LEV 6-RETT ANGLEMAN-RA, 915.05 ,
HC MOLEC PATH LEV 6-CP, 313.00 ,
HC MP LEV 6-PLA2G6 DEL/DUP," 1,255.95 ",
HC MP LEV 6-SMOS, 661.00 ,
HC MP LEV 6-GLA SEQ, 901.28 ,
HC MP LEV 6-EPIXPANDED PANEL, 105.16 ,
HC MOLEC PATH LEV 7-UBE3A SEQ," 1,724.70 ",
HC MP LEV 7-WAS," 1,256.26 ",
HC MOLEC PATH LEV 7 GALT SEQ," 1,295.50 ",
HC MOLEC PATH LEV 7-EYA1-BOR/BOS, 706.59 ,
HC MOLEC PATH LEV 7-CDKL5 SEQ," 1,828.13 ",
HC MOLEC PATH LEV 7-NSD1," 3,005.95 ",
HC MOLEC PATH PROC LEV 7-ATP7B," 2,381.26 ",
HC MOLEC PATH LEV 7-PENDRED," 1,317.50 ",
HC MOLEC PATH LEV 7-AORTS, 674.69 ,
HC MOLEC PATH LEV 7-NOONAN SPECT," 1,145.06 ",
HC MP LEV 7-SMAD4-VAS MALFORM PAN," 2,069.88 ",
HC MP LEV 7-BTK-PAD," 1,311.25 ",
HC MOLEC PATH LEV 7-CP," 1,536.35 ",
HC MOLEC PATH LEV 7-ACADVL," 1,295.50 ",
HC MOLEC PATH LEV 7-ECP, 300.32 ,
HC MOLEC PATH LEV 7-HCM, 512.08 ,
HC MOLEC PATH LEV 7-TSC1&2-TSP," 1,171.09 ",
HC MOLEC PATH LEV 7-ALDH7A1," 1,295.50 ",
HC MOLEC PATH LEV 7-JOUBERT, 438.63 ,
HC MOLEC PATH LEV 7-NF2," 1,296.00 ",
HC MOLEC PATH LEV 7-RAP," 1,260.98 ",
HC UNLIST MOLEC PATH LEV 7-HADHA," 2,305.95 ",
HC MP LEV 7-ATP1A2 SEQ," 1,295.50 ",
HC MP LEV 7-VMS," 3,882.50 ",
HC MOLEC PATH LEV 7-AUT/ID, 306.93 ,
HC MP LEV 7-BM FAILURE PANEL," 3,179.31 ",
HC MP LEV 7-STAT EPILEPSY PANEL, 458.65 ,
HC MOLEC PATH LEV 7-GALDNA," 1,296.00 ",
HC MP LEV 7-MSUD SEQ," 2,592.00 ",
HC MP LEV 7-MODY EVAL, 706.60 ,
HC UNLIST MP-PAH SEQ," 1,018.45 ",
HC MP LEV 7-LIMB GIRDLE MD PANEL, 886.33 ,
HC MP LEV 7-AUTOSOMAL DOM PKD SEQ," 1,296.00 ",
HC MOLEC PATH LEV 7-CP, 869.49 ,
HC MOLEC PATH LEV 7-TNP, 585.68 ,
HC MP LEV 7-NPHP1 SEQ," 1,472.16 ",
HC MP LEV 7-CNTNAP2 SEQ," 1,530.95 ",
HC MP LEV 7-SMOS," 1,296.00 ",
HC MP LEV 7-EPIXPANDED PANEL, 238.89 ,
HC MP LEV 7-SCNS PANEL," 1,801.18 ",
HC MOLEC PATH LEV 8 COL4A4 ALPORT, 875.94 ,
HC MOLEC PATH LEV 8-JAG1-JCRS, 801.11 ,
HC MOLEC PATH LEV 8-CP, 871.65 ,
HC CREBBP SEQ-CES," 3,437.18 ",
HC MOLEC PATH PROC LEV 8-SCN1A," 2,197.00 ",
HC MOLEC PATH LEV 8-ECP, 371.28 ,
HC CREBBP DEL/DUP-CEDD, 939.68 ,
HC MOLEC PATH LEV 8-HCM," 1,732.08 ",
HC MOLEC PATH LEV 8-TSC2-TSP, 993.88 ,
HC MOLEC PATH LEV 8-CHD7 FULL SEQ," 2,243.76 ",
HC MOLEC PATH LEV 8-JOUBERT," 1,480.50 ",
HC MOLEC PATH LEV 6-NF1/SPRED1, 439.08 ,
HC MOLEC PATH LEV 8-NF1 SEQ, 497.09 ,
HC MOLEC PATH LEV 8-AUT/ID, 520.55 ,
HC MP LEV 8-STAT EPILEPSY PANEL, 777.87 ,
HC MP LEV 8-NFSP NGS," 2,198.00 ",
HC MP LEV 8-MODY EVAL, 601.29 ,
HC MP LEV 8-AUTOSOMAL DOM PKD SEQ," 2,198.00 ",
HC MOLEC PATH LEV 8-CP," 1,339.49 ",
HC MP LEV 8-EPIXPANDED PANEL, 295.30 ,
HC MOLEC PATH LEV 9 COL4A3&5 ALP," 1,051.11 ",
HC MOLEC PATH LEV 9 VW FULL SEQ," 2,943.45 ",
HC MOLEC PATH LEV 9-MFS1 MARFAN 1," 1,320.33 ",
HC MOLEC PATH LEV 9-FAMDNA SEQ," 1,320.33 ",
HC MOLEC PATH LEV 9-AORTS, 685.94 ,
HC MP LEV 9-ATM-PAD," 1,336.65 ",
HC MOLEC PATH LEV 9-CP, 524.85 ,
HC MOLEC PATH LEV 9-JOUBERT, 445.70 ,
HC MOLEC PATH LEV 7-NF1/SPRED1, 439.08 ,
HC MOLEC PATH LEV 9-NF1 SEQ, 497.09 ,
HC MOLEC PATH LEV 9-AUT/ID, 312.73 ,
HC MP LEV 9-BM FAILURE PANEL, 811.19 ,
HC MP LEV 9-COL1A1-1A2 SDD," 2,640.66 ",
HC MP LEV 9-NFSP NGS," 1,321.00 ",
HC MOLEC PATH LEV 9 DMD FULL SEQ," 1,320.33 ",
HC MP LEV 9-LIMB GIRDLE MD PANEL, 303.28 ,
HC MP LEV 9-EPIXPANDED PANEL, 558.24 ,
HC AORT SEQ," 1,880.95 ",
HC AORT DYSFUNCT OR DIL SEQ-AORTP," 1,566.26 ",
HC EXOME XOMEDX WES ONLY PROBAND," 5,130.95 ",
HC EXOME SEQ WES ONLY TRIO," 2,083.23 ",
HC EXOME SEQ-XOMED PLUS PROBAND," 2,565.63 ",
HC EXOME SEQ XOMED PLUS TRIO," 1,563.99 ",
HC EXOME SEQ-XOMEDXXPRESS," 5,555.76 ",
HC EXOME SEQ ANALYSIS-XOMEDX TRIO," 5,940.48 ",
HC EXOME EA COMPAR WES ONLY TRIO," 2,086.36 ",
HC EXOME EA COMPAR XOMEDPLUS TRIO," 1,563.99 ",
HC EXOME SEQ EA EXOME-XOMEDXXPRES," 5,562.60 ",
HC EXOME SEQ EA EXOME-XOMEDX TRIO," 5,940.48 ",
HC mtDNA-XOMED PLUS PROBAND," 2,565.63 ",
HC mtDNA-XOMED PLUS TRIO," 1,563.99 ",
HC WHOLE MITO GENOME SEQ-WMG, 659.23 ,
HC BETA-HYDROXY BUTYRIC ACID, 44.05 ,
HC ACETONE SERUM;QUANT, 35.70 ,
HC KETONE BODIES;QUANT-AA, 180.00 ,
HC KETONE BODIES;QUANT-BOBA, 102.48 ,
HC BETA HYDROXYBUTERATE QUANT, 20.51 ,
HC ACYLCARNITINES;QUANT EACH, 118.45 ,
HC ACYLCARNITINE QUANT EA-CP, 74.85 ,
HC ACYLCARNITINE QT EA-AASEM, 243.45 ,
HC ACYLCARNITINE QT EA-SIALIC, 243.45 ,
HC ACYLCARNITINES;QUANT EA-NB, 15.55 ,
HC ACYLCARNITINE QT EA-FAOX, 556.35 ,
HC ADRENOCORTICOTROPIC HORMONE, 47.16 ,
HC ACTH, 69.98 ,
HC ALPHA-1-ANTITRYPSIN;TOT(FECES), 62.20 ,
HC ALPHA-1-ANTITRYPSIN;TOTAL, 38.27 ,
HC A1A TOT-A1AGENO, 98.05 ,
HC ALPHA-1-ANTITRYPSIN, 41.18 ,
HC AMINO ACIDS 6 OR MORE QT-CSF, 312.20 ,
HC AA 6 OR MORE QUANT EA-NB, 15.55 ,
HC AMINO ACIDS QUANT EA-CSF, 162.36 ,
HC AMYLASE ISOENZYME, 36.90 ,
HC AMYLASE-BF, 18.45 ,
HC AMYLASE, 18.96 ,
HC ANGIOTENSIN CONVERT ENZYME, 41.63 ,
HC ANGIOTENSIN I (GAUCHER PANEL), 193.80 ,
HC BIOTINIDASE EA SPEC, 48.03 ,
