HC EXCISION H/P/P/U SIMPLE/INTERMEDIATE REPAIR,"2,942.00",,,
HC EXCISION MAL LESION TRUNK/ARM/LEG 0.6-1.0 CM,"1,129.00",,,
HC EXCISION MAL LESION TRUNK/ARM/LEG 1.1-2.0 CM,"1,243.00",,,
HC EXCISION MAL LESION TRUNK/ARM/LEG 2.1-3.0 CM,"1,482.00",,,
HC EXCISION MAL LESION TRUNK/ARM/LEG 3.1-4.0 CM,"1,631.00",,,
HC EXCISION MALIGNANT LESION TRUNK/ARM/LEG > 4.0 CM,"2,415.00",,,
HC EXCISION MALIGNANT LESION S/N/H/F/G 0.5 CM/<,916,,,
HC EXCISION MALIGNANT LESION S/N/H/F/G 1.1-2.0 CM,"1,304.00",,,
HC EXCISION MALIGNANT LESION S/N/H/F/G 2.1-3.0 CM,"1,612.00",,,
HC EXCISION MALIGNANT LESION S/N/H/F/G 3.1-4.0 CM,"1,828.00",,,
HC EXCISION MALIGNANT LESION S/N/H/F/G >4.0 CM,"2,942.00",,,
HC EXCISION MALIGNANT LESION F/E/E/N/L 0.5 CM/<,952,,,
HC EXCISION MALIGNANT LESION F/E/E/N/L 2.1-3.0 CM,"1,759.00",,,
HC EXCISION MALIGNANT LESION F/E/E/N/L 3.1-4.0 CM,"2,177.00",,,
HC EXCISION MALIGNANT LESION F/E/E/N/L >4.0 CM,"3,017.00",,,
HC TRIMMING NONDYSTROPHIC NAILS ANY NUMBER,104,,,
HC DEBRIDEMENT NAIL ANY METHOD 1-5,162,,,
HC DEBRIDEMENT NAIL ANY METHOD 6/>,184,,,
HC AVULSION NAIL PLATE PARTIAL/COMPLETE SIMPLE 1,377,,,
HC AVULSION NAIL PLATE PARTIAL/COMP SIMPLE EA ADDL,152,,,
HC EVACUATION SUBUNGUAL HEMATOMA,242,,,
HC EXCISION NAIL MATRIX PERMANENT REMOVAL,"1,295.00",,,
HC BIOPSY NAIL UNIT SEPARATE PROCEDURE,591,,,
HC REPAIR NAIL BED,"1,019.00",,,
HC WEDGE EXCISION SKIN NAIL FOLD,693,,,
HC EXCISION PILONIDAL CYST/SINUS SIMPLE,"2,942.00",,,
HC EXCISION PILONIDAL CYST/SINUS COMPLICATED,"4,333.00",,,
HC INJECTION INTRALESIONAL UP TO & INCLUD 7 LESIONS,239,,,
HC INJECTION INTRALESIONAL >7 LESIONS,369,,,
HC REMOVAL IMPLANTABLE CONTRACEPTIVE CAPSULES,731,,,
HC SUBCUTANEOUS HORMONE PELLET IMPLANTATION,609,,,
HC INSJ NON-BIODEGRADABLE DRUG DELIVERY IMPLANT,606,,,
HC REMOVAL NON-BIODEGRADABLE DRUG DELIVERY IMPLANT,723,,,
HC RMVL W/RINSJ NON-BIODEGRADABLE DRUG DLVR IMPLT,"1,250.00",,,
HC SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.5CM/<,337,,,
HC SMPL REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.6-7.5CM,447,,,
HC SIMPLE RSCALP/NECK/AX/GENIT/TRUNK 7.6-12.5CM,556,,,
HC SMPL RSCALP/NECK/AX/GENIT/TRUNK 12.6-20.0CM,751,,,
HC SMPL RSCALP/NECK/AX/GENIT/TRUNK 20.1-30.0CM,916,,,
HC SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK >30.0CM,"1,127.00",,,
HC SIMPLE REPAIR F/E/E/N/L/M 2.5CM/<,421,,,
HC SIMPLE REPAIR F/E/E/N/L/M 2.6CM-5.0 CM,468,,,
HC SIMPLE REPAIR F/E/E/N/L/M 5.1CM-7.5 CM,597,,,
HC SIMPLE REPAIR F/E/E/N/L/M 7.6CM-12.5 CM,742,,,
HC SIMPLE REPAIR F/E/E/N/L/M 12.6CM-20.0 CM,"1,013.00",,,
HC CLOSURE SUPERF WND DEHIS SIMPLE,"1,413.00",,,
HC TX SUPERFICIAL WOUND DEHISCENCE W/PACKING,"1,073.00",,,
HC REPAIR INTERMEDIATE S/A/T/E 2.5 CM/<,"1,159.00",,,
HC REPAIR INTERMEDIATE S/A/T/E 2.6-7.5 CM,"1,482.00",,,
HC REPAIR INTERMEDIATE S/A/T/E 7.6-12.5 CM,"1,564.00",,,
HC REPAIR INTERMEDIATE S/A/T/E 12.6-20.0CM,"1,811.00",,,
HC REPAIR INTERMEDIATE S/A/T/E >30.0 CM,"2,476.00",,,
HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.5CM/<,"1,186.00",,,
HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.6-7.5 CM,"1,519.00",,,
HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 7.6-12.5CM,"1,623.00",,,
HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT >30.0 CM,"2,588.00",,,
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.5 CM/<,"1,304.00",,,
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.6-5.0 CM,"1,545.00",,,
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 5.1-7.5 CM,"1,652.00",,,
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 7.6-12.5 CM,"1,732.00",,,
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 12.6-20.0CM,"2,287.00",,,
HC REPAIR COMPLEX TRUNK 1.1-2.5 CM,"1,766.00",,,
HC REPAIR COMPLEX TRUNK 2.6-7.5 CM,"2,147.00",,,
HC REPAIR COMPLEX TRUNK EACH ADDITIONAL 5 CM/<,568,,,
HC REPAIR COMPLEX SCALP/ARM/LEG 1.1-2.5 CM,"1,856.00",,,
HC REPAIR COMPLEX SCALP/ARM/LEG 2.6-7.5 CM,"2,479.00",,,
HC REPAIR COMPLEX SCALP/ARM/LEG EA ADDL 5 CM/<,651,,,
HC REPAIR COMPLEX F/C/C/M/N/AX/G/H/F 1.1-2.5 CM,"2,081.00",,,
HC REPAIR COMPLEX F/C/C/M/N/AX/G/H/F 2.6-7.5 CM,"3,548.00",,,
HC REPAIR COMPLEX F/C/C/M/N/AX/G/H/F EA ADDL 5 CM/<,"1,000.00",,,
HC REPAIR COMPLEX EYELID/NOSE/EAR/LIP 1.1-2.5 CM,"2,390.00",,,
HC REPAIR COMPLEX EYELID/NOSE/EAR/LIP 2.6-7.5 CM,"3,191.00",,,
HC SECONDARY CLOSURE SURG WOUND/DEHSN EXTSV/COMPLIC,"6,113.00",,,
HC ADJACENT TISSUE TRANSFER/REARGMT TRUNK 10 SQCM/<,"3,846.00",,,
HC ADJNT TIS TRANSFR/REARRANGE TRUNK 10.1-30.0 SQCM,"4,997.00",,,
HC ADJT TIS TRNSFR/REARGMT SCALP/ARM/LEG 10 SQ CM/<,"4,360.00",,,
HC ADJT/REARRGMT SCALP/ARM/LEG 10.1-30.0 SQ CM,"5,504.00",,,
HC ADJT TIS TRNS/REARGMT F/C/C/M/N/A/G/H/F 10SQCM/<,"4,855.00",,,
HC ADJT/REARGMT F/C/C/M/N/AX/G/H/F 10.1-30.0 SQ CM,"5,950.00",,,
HC ADJT TIS TRNSFR/REARRGMT E/N/E/L DFCT 10 SQ CM/<,"5,153.00",,,
HC ADJT TIS REARGMT EYE/NOSE/EAR/LIP 10.1-30.0 SQCM,"6,354.00",,,
HC ADJNT TIS TRNSFR/REARGMT ANY AREA 30.1-60 SQ CM,"6,773.00",,,
HC ADJT TIS TRNSFR/REARGMT DEFEC EA ADDL 30 SQCM/<,"1,574.00",,,
HC PREP SITE TRUNK/ARM/LEG 1ST 100 SQ CM/1PCT,"1,726.00",,,
HC PREP SITE F/S/N/H/F/G/M/D GT 1ST 100 SQ CM/1PCT,"2,041.00",,,
HC PINCH GRAFT 1/MLT SM ULCER TIP/OTH AREA 2CM,"3,417.00",,,
HC FTH/GFT FR W/DIR CLSR F/C/C/M/N/AX/G/H/F 20 CM/<,"6,142.00",,,
HC FTH/GT FR W/DIR CLSR F/C/C/M/N/AX/G/H/F EA20CM/<,857,,,
HC FTH/GFT FREE W/DIRECT CLOSURE N/E/E/L 20 SQ CM/<,"2,957.00",,,
HC APP SKN SUB GRFT T/A/L AREA/100SQ CM /<1ST 25,"2,321.00",,,
HC APP SKN SUB GRFT T/A/L AREA/100SQ CM EA ADL 25SC,131,,,
HC SUB GRFT F/S/N/H/F/G/M/D <100SQ CM 1ST 25 SQ CM,"2,321.00",,,
HC SUB GRFT F/S/N/H/F/G/M/D<100SQ CM EA ADDL25SQ CM,188,,,
HC DELAY FLAP/SECTIONING FLAP F/C/C/N/AX/G/H/F,"2,497.00",,,
HC BLEPHAROPLASTY UPPER EYELID,"2,994.00",,,
HC EXCISION EXCESSIVE SKIN & SUBQ TISSUE THIGH,"1,505.00",,,
HC EXCISION EXCESSIVE SKIN & SUBQ TISSUE OTHER AREA,"5,596.00",,,
HC DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ SMALL,410,,,
HC DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ MEDIUM,851,,,
HC DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ LARGE,"1,009.00",,,
HC DESTRUCTION PREMALIGNANT LESION 1ST,423,,,
HC DESTRUCTION PREMALIGNANT LESION 2-14 EA,33,,,
HC DESTRUCTION PREMALIGNANT LESION 15/>,989,,,
HC DESTRUCTION CUTANEOUS VASC PROLIFERATIVE <10CM,"2,072.00",,,
HC DSTRJ CUTANEOUS VASCULAR LESIONS 10.0-50.0 SQ CM,"2,635.00",,,
HC DSTRJ CUTANEOUS VASCULAR LESIONS >50.0 SQ CM,"3,973.00",,,
HC DESTRUCTION BENIGN LESIONS UP TO 14,528,,,
HC DESTRUCTION BENIGN LESIONS 15/>,647,,,
HC CHEMICAL CAUTERIZATION GRANULATION TISSUE,323,,,
HC DESTRUCTION MALIGNANT LESION T/A/L 0.5 CM/<,528,,,
HC DESTRUCTION MAL LESION TRUNK/ARM/LEG 0.6-1.0 CM,698,,,
HC DESTRUCTION MAL LESION TRUNK/ARM/LEG 1.1-2.0CM,885,,,
HC DESTRUCTION MAL LESION TRUNK/ARM/LEG 2.1-3.0CM,980,,,
HC DESTRUCTION MAL LESION TRUNK/ARM/LEG 3.1-4.0CM,"1,049.00",,,
HC DESTRUCTION MALIGNANT LESION S/N/H/F/G 0.6-1.0CM,845,,,
HC MOHS MICROGRAPHIC H/N/H/F/G 1ST STAGE 5 BLOCKS,"2,869.00",,,
HC MOHS MICROGRAPHIC H/N/H/F/G EACH ADDL STAGE,"1,524.00",,,
HC MOHS TRUNK/ARM/LEG 1ST STAGE 5 BLOCKS,"2,573.00",,,
HC MOHS TRUNK/ARM/LEG EA STAGE AFTER 1ST STAGE,"1,415.00",,,
HC MOHS TRUNK/ARM/LEG EA ADDL BLOCK ANY STAGE,399,,,
HC PUNCTURE ASPIRATION CYST BREAST,698,,,
HC MASTOTOMY W/EXPLORATION/DRAINAGE ABSCESS DEEP,"2,300.00",,,
HC BX BREAST NEEDLE CORE W/O IMAGING GUIDANCE SPX,698,,,
HC EXC CYST/ABERRANT BREAST TISSUE OPEN 1/> LESION,"3,088.00",,,
HC NIPPLE/AREOLA RECONSTRUCTION,"2,850.00",,,
HC REVISION RECONSTRUCTED BREAST,"5,909.00",,,
HC I&D SOFT TISSUE ABSCESS SUBFASC,"1,730.00",,,
HC EXPLORATION PENETRATING WOUND SPX EXTREMITY,"2,661.00",,,
HC BIOPSY MUSCLE DEEP,"1,942.00",,,
HC BIOPSY MUSCLE PERCUTANEOUS NEEDLE,"1,191.00",,,
HC BIOPSY BONE OPEN DEEP,"4,735.00",,,
HC REMOVAL FOREIGN BODY MUSCLE/TENDON SHEATH SIMPLE,"1,108.00",,,
HC RMVL FOREIGN BODY MUSCLE/TENDON SHEATH DEEP/COMP,"2,942.00",,,
HC INJECTION THERAPEUTIC CARPAL TUNNEL,426,,,
HC INJECTION ENZYME PALMAR FASCIAL CORD,447,,,
HC INJECTION 1 TENDON SHEATH/LIGAMENT APONEUROSIS,308,,,
HC INJECTION SINGLE TENDON ORIGIN/INSERTION,319,,,
HC INJECTION SINGLE/MLT TRIGGER POINT 1/2 MUSCLES,283,,,
HC INJECTION SINGLE/MLT TRIGGER POINT 3/> MUSCLES,319,,,
HC ARTHROCENTESIS ASPIR&/INJ SMALL JT/BURSA W/O US,288,,,
HC ARTHROCNT ASPIR&/INJ SMALL JT/BURSAW/US REC RPRT,318,,,
HC ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/O US,306,,,
HC ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/US,360,,,
HC ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/O US,375,,,
HC ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/US,423,,,
HC ASPIRATION&/INJECTION GANGLION CYST ANY LOCATJ,311,,,
HC REMOVAL IMPLANT SUPERFICIAL SEPARATE PROCEDURE,"1,942.00",,,
HC REMOVAL IMPLANT DEEP,"3,216.00",,,
HC EXCISION TUMOR SOFT TISS FACE/SCALP SUBQ <2CM,"1,966.00",,,
HC EXCISION TUMOR SOFT TISS FACE/SCALP SUBQ 2 CM/>,"2,547.00",,,
HC EXC TUMOR SOFT TISS FACE&SCALP SUBFASCIAL <2CM,"3,060.00",,,
HC EXC TUMOR SOFT TISS FACE&SCALP SUBFASCIAL 2 CM/>,"3,944.00",,,
HC APPL INTERDENTAL FIXATION DEVICE NON-FX/DISLC,"5,049.00",,,
HC GRAFT EAR CRTLG AUTOGENOUS NOSE/EAR,"2,583.00",,,
HC CLOSED TX NASAL FRACTURE W/O STABILIZATION,"1,404.00",,,
HC CLOSED TREATMENT NASAL FRACTURE W/STABILIZATION,"2,063.00",,,
HC CLOSED TX MANDIBULAR FRACTURE W/MANIPULATION,"4,798.00",,,
HC CLOSED TX TEMPOROMANDIBULAR DISLOCATION 1ST/SBSQ,242,,,
HC I&D DEEP ABSC/HMTMA SOFT TISSUE NECK/THORAX,"2,443.00",,,
HC BIOPSY SOFT TISSUE NECK/THORAX,"1,942.00",,,
HC EXC TUMOR SOFT TIS NECK/ANT THORAX SUBQ 3 CM/>,"3,354.00",,,
HC EXC TUMOR SOFT TISSUE NECK/THORAX SUBFASC 5 CM/>,"5,488.00",,,
HC EXC TUMOR SOFT TISSUE NECK/ANT THORAX SUBQ <3CM,"2,331.00",,,
HC EXC TUMOR SOFT TISS NECK/THORAX SUBFASCIAL <5CM,"4,056.00",,,
HC EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM,"2,755.00",,,
HC EXCISION TUMOR SOFT TIS BACK/FLANK SUBQ 3 CM/>,"2,942.00",,,
HC EXC TUMOR SOFT TISS BACK/FLANK SUBFASCIAL 5 CM/>,"5,566.00",,,
HC CLTX VRT BDY FX W/O MANJ REQ&W/CSTING/BRACING,"1,316.00",,,
HC EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ 3 CM/>,"5,338.00",,,
HC EXC TUMOR SOFT TISSUE SHOULDER SUBFASCIAL 5 CM/>,"1,505.00",,,
HC EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ <3CM,"1,942.00",,,
HC REMOVAL FOREIGN BODY SHOULDER SUBCUTANEOUS,916,,,
HC INJECTION SHOULDER ARTHROGRAPHY/ CT/MRI ARTHG,583,,,
HC CLSD TX CLAVICULAR FRACTURE W/O MANIPULATION,"1,199.00",,,
HC CLSD TX CLAVICULAR FRACTURE W/MANIPULATION,"1,712.00",,,
HC CLSD TX ACROMIOCLAVICULAR DISLC W/O MANIPULATION,"1,199.00",,,
HC CLSD TX ACROMIOCLAVICULAR DISLC W/MANIPULATION,"1,712.00",,,
HC CLOSED TX SCAPULAR FRACTURE W/O MANIPULATION,"1,199.00",,,
HC CLTX SCAPULAR FX W/MANJ W/WO SKELETAL TRACTION,"1,712.00",,,
HC CLTX PROXIMAL HUMERAL FRACTURE W/O MANIPULATION,"1,199.00",,,
HC CLTX PROX HUMRL FX W/MANJ W/WO SKELETAL TRACJ,"1,991.00",,,
HC CLTX GREATER HUMERAL TUBEROSITY FX W/O MANJ,"1,199.00",,,
HC CLTX GRTER HUMERAL TUBEROSITY FX W/MANIPULATION,"1,991.00",,,
HC CLSD TX SHOULDER DISLC W/MANIPULATION W/O ANES,974,,,
HC CLSD TX SHOULDER DISLC W/MANIPULATION REQ ANES,"1,956.00",,,
HC CLTX SHOULDER DISLC W/FX HUMERAL TUBRST W/MANJ,"1,731.00",,,
HC EXC TUMOR SOFT TISSUE UPPER ARM/ELBOW SUBQ 3+CM,"5,191.00",,,
HC EXC TUMOR SOFT TISS UPPER ARM/ELBOW SUBQ <3CM,"1,942.00",,,
HC RMVL FOREIGN BODY UPPER ARM/ELBOW SUBCUTANEOUS,"1,199.00",,,
HC CLSD TX HUMERAL SHAFT FRACTURE W/O MANIPULATION,"1,199.00",,,
HC CLTX HUMERAL SHFT FX W/MANJ W/WO SKELETAL TRACJ,"1,712.00",,,
HC CLTX SPRCNDYLR/TRANSCNDYLR HUMERAL FX W/WO MANJ,"1,199.00",,,
HC CLTX SPRCNDYLR/TRANSCNDYLR HUMERAL FX W/MANJ,"1,712.00",,,
HC CLTX HUMERAL EPICONDYLAR FX MEDIAL/LAT W/O MANJ,"1,199.00",,,
HC CLTX HUMERAL EPICONDYLAR FX MEDIAL/LAT W/MANJ,"1,991.00",,,
HC CLTX HUMERAL CONDYLAR FX MEDIAL/LAT W/O MANJ,"2,292.00",,,
HC CLTX HUMERAL CONDYLAR FX MEDIAL/LATERAL W/MANJ,"3,764.00",,,
HC TREATMENT CLOSED ELBOW DISLOCATION W/O ANES,"2,502.00",,,
HC CLTX RDL HEAD SUBLXTJ CHLD NURSEMAID ELBW W/MANJ,709,,,
HC CLOSED TX RADIAL HEAD/NECK FX W/O MANIPULATION,"1,808.00",,,
HC CLOSED TX RADIAL HEAD/NECK FX W/MANIPULATION,"3,021.00",,,
HC CLOSED TX ULNAR FRACTURE PROXIMAL END W/O MANJ,"1,974.00",,,
HC CLOSED TX ULNAR FRACTURE PROXIMAL END W/MANJ,"3,139.00",,,
HC EXC TUMOR SOFT TISS FOREARM AND/WRIST SUBQ 3CM/>,"3,205.00",,,
HC EXC TUMOR SOFT TISSUE FOREARM &/WRIST SUBQ <3CM,"2,392.00",,,
HC EXCISION GANGLION WRIST DORSAL/VOLAR PRIMARY,"2,413.00",,,
HC EXCISION GANGLION WRIST DORSAL/VOLAR RECURRENT,"4,009.00",,,
HC RAD EXC BURSA SYNVA WRST/F/ARM TDN SHTHS XTNSRS,"1,505.00",,,
HC CLOSED TX RADIAL SHAFT FRACTURE W/O MANIPULATION,"1,879.00",,,
HC CLOSED TX RADIAL SHAFT FRACTURE W/MANIPULATION,"3,468.00",,,
HC CLOSED TX ULNAR SHAFT FRACTURE W/O MANIPULATION,"1,781.00",,,
HC CLOSED TX ULNAR SHAFT FRACTURE W/MANIPULATION,"3,417.00",,,
HC CLOSED TX RADIAL&ULNAR SHAFT FRACTURES W/O MAN,"1,874.00",,,
HC CLOSED TX RADIAL&ULNAR SHAFT FRACTURES W/MANJ,"3,553.00",,,
HC CLTX DSTL RADIAL FX/EPIPHYSL SEP W/O MANJ,"2,335.00",,,
HC CLOSED TX CARPAL SCAPHOID FRACTURE W/O MANJ,"2,091.00",,,
HC CLOSED TX CARPAL SCAPHOID FRACTURE W/MANJ,"3,248.00",,,
HC CLTX CARPAL BONE FX W/O MANJ EACH BONE,"2,119.00",,,
HC CLTX CARPAL BONE FX W/MANJ EACH BONE,"3,112.00",,,
HC CLOSED TREATMENT ULNAR STYLOID FRACTURE,"2,270.00",,,
HC DRAINAGE FINGER ABSCESS SIMPLE,"1,042.00",,,
HC DRAINAGE FINGER ABSCESS COMPLICATED,"1,397.00",,,
HC TENDON SHEATH INCISION,"2,341.00",,,
HC EX TUM/VASC MAL SFT TIS HAND/FNGR SUBFSC 1.5CM/>,"4,137.00",,,
HC EXC TUM/VASC MAL SFT TISS HAND/FNGR SUBQ <1.5CM,"2,507.00",,,
HC EXC TUM/VAS MAL SFT TIS HAND/FNGR SUBFASC<1.5CM,"3,975.00",,,
HC EXC LESION TDN SHTH/JT CAPSL HAND/FNGR,"2,521.00",,,
HC MANIPLATN PALAR FASCIAL CRD POST INJ SINGLE CORD,558,,,
HC CLTX DSTL XTNSR TDN INSJ W/WO PERCUTAN PINNING,"3,716.00",,,
HC ARTHROPLASTY INTERPHALANGEAL JOINT EACH,"3,725.00",,,
HC CLTX METACARPAL FX W/O MANIPULATION EACH BONE,"2,088.00",,,
HC CLTX METACARPAL FX W/MANIPULATION EACH BONE,"2,212.00",,,
HC CLTX CARPO/METACARPAL DISLOCATION THUMB W/MANJ,"2,490.00",,,
HC CLTX CARPO/METACARPAL FX DISLC THUMB W/MANJ,"2,932.00",,,
HC CLTX CARPO/METACARPL DISLC THMB MANJ EA W/O ANES,"2,270.00",,,
HC CLTX METACARPOPHALANGEAL DISLC W/MANJ W/O ANES,"2,264.00",,,
HC CLTX PHLNGL FX PROX/MIDDLE PX/F/T W/O MANJ EA,"1,392.00",,,
HC CLTX PHLNGL FX PROX/MIDDLE PX/F/T W/MANJ EA,"2,300.00",,,
HC CLTX ARTCLR FX INVG MTCRPHLNGL/IPHAL JT W/O MANJ,"1,618.00",,,
HC CLTX ARTCLR FX INVG MTCARPHLNGL/IPHAL JT W/MANJ,"2,524.00",,,
HC CLTX DSTL PHLNGL FX FNGR/THMB W/O MANJ EA,"1,392.00",,,
HC CLTX IPHAL JT DISLC W/MANJ W/O ANES,"1,910.00",,,
HC CLTX IPHAL JT DISLC W/MANJ REQ ANES,"2,618.00",,,
HC EXCISION TUMOR SOFT TISSUE PELVIS&HIP SUBQ 3CM/>,"1,505.00",,,
HC EXC TUMOR SOFT TISSUE PELVIS & HIP SUBQ <3CM,"2,752.00",,,
HC EXC TUMOR SOFT TISSUE PELVIS & HIP SUBFASC <5CM,"1,505.00",,,
HC RMVL FOREIGN BODY PELVIS/HIP SUBCUTANEOUS TISS,"1,124.00",,,
HC REMOVAL FOREIGN BODY PELVIS/HIP DEEP,"4,754.00",,,
HC INJECT SI JOINT ARTHRGRPHY&/ANES/STEROID W/IMA,642,,,
HC CLSD TX PELVIC RING FX W/O MANIPULATION,"3,593.00",,,
HC CLTX ACETABULUM HIP/SOCKT FX W/O MANJ,"3,948.00",,,
HC CLTX FEM FX PROX END NCK W/O MANJ,"3,546.00",,,
HC CLTX INTER/PERI/SUBTROCHANTERIC FEM FX W/O MANJ,"3,457.00",,,
HC CLTX GREATER TROCHANTERIC FX W/O MANJ,"2,906.00",,,
HC CLTX POST HIP ARTHRP DISLC W/O ANES,"3,009.00",,,
