Item ID,Item Description, Item Charge 
4300349,clomiPRAMINE 75 MG CAP, $53.96 
4300351,Diltiazem 90 MG TAB, $5.00 
4300354,"Heparin Arterial 5,000 Units/ 5000 UNITS/500 ML BAG", $142.03 
4300355,Metaxalone 800 MG TAB, $10.88 
4300356,Diltiazem 120 MG TAB, $5.00 
4300363,Diltiazem 30 MG TAB, $5.00 
4300364,Echothiophate Iodide 0.125% Dr 5 ML BOT, $743.84 
4300368,Diltiazem 60 MG TAB, $5.00 
4300369,Megestrol Susp 400 MG/10 ML UDCUP, $24.17 
4300370,Albuterol Neb. Soln 100 MG/20 ML BOT, $153.60 
4300371,Acetylcysteine I.V. 6000 MG/30 ML VIAL, $692.69 
4300373,Levothyroxine 100 MCG TAB, $5.00 
4300374,Levothyroxine 50 MCG TAB, $5.00 
4300378,Pindolol 5 MG TAB, $5.18 
4300380,Flumazenil 500 MCG/5 ML VIAL, $25.44 
4300382,Pindolol 10 MG TAB, $15.12 
4300385,Estradiol 1 MG TAB, $5.00 
4300386,Potassium Chloride ERC 8 MEQ CAP.SA, $5.00 
4300387,Ciprofloxacin 0.3% Ophth Oint 3.5 GM TUBE," $1,706.32 "
4300388,fentaNYL 25 MCG/HR Patch 1 PATCH PATCH, $9.18 
4300390,Methyldopate 250 MG/5 ML VIAL, $406.70 
4300391,fentaNYL 75 MCG/HR Patch 1 PATCH PATCH, $19.78 
4300396,Probenecid 500 MG TAB, $5.00 
4300399,Dexamethasone 500 MCG TAB, $5.00 
4300400,Dexamethasone 750 MCG TAB, $5.00 
4300402,Dexamethasone Elix 500 MCG/5 ML 120MLBTL, $235.84 
4300404,Clemastine 2.68 MG TAB, $5.00 
4300405,Clemastine 1.34 MG TAB, $5.00 
4300407,Dexamethasone Na Phos 4 MG/ML VIAL, $20.00 
4300408,Dexamethasone Na Phos 20 MG/5 ML VIAL, $20.00 
4300411,Chlorothiazide Susp 250 MG/5 ML ML, $5.00 
4300418,Amitriptyline 50 MG TAB, $5.00 
4300419,Hydrochlorothiazide 25 MG TAB, $5.00 
4300420,Hydrochlorothiazide 50 MG TAB, $5.00 
4300421,Thiamine 200 MG/2 ML VIAL, $53.20 
4300427,Lovastatin 20 MG TAB, $5.00 
4300428,Mannitol 12.5 G/50 ML VIAL, $20.00 
4300432,Phytonadione 5 MG TAB, $470.08 
4300434,Cyproheptadine Syrup 2 MG/5 ML ML, $5.00 
4300435,Amitriptyline/Perphenazine 1 TAB TAB, $9.18 
4300436,Amitriptyline/Perphenazine 1 TAB TAB, $11.68 
4300437,Amitriptyline/Perphenazine 1 TAB TAB, $10.24 
4300438,Amitriptyline/Perphenazine 1 TAB TAB, $12.73 
4300441,Triazolam 250 MCG TAB, $5.00 
4300443,Dextroamphetamine ERC 5 MG CAP.SA, $7.46 
4300446,Iohexol 2.4 GM/10 ML VIAL, $433.77 
4300447,Sodium Bicarbonate 650 MG TAB, $5.00 
4300448,Chlorzoxazone 500 MG TAB, $5.00 
4300450,HYDROcodone/Homatropine 5 ML UDCUP, $8.53 
4300458,Liothyronine 25 MCG TAB, $5.00 
4300459,Aspirin EC 325 MG TAB.EC, $0.50 
4300460,Magnesium Sulfate 50% 1000 MG/2 ML VIAL, $20.00 
4300461,Vitamin E 1000 INT.UNIT CAP, $5.00 
4300462,Thyroid 90 MG TAB, $6.56 
4300463,Ampicillin/Sulbactam 1500 MG VIAL, $25.08 
4300464,Ampicillin/Sulbactam 3000 MG VIAL, $50.16 
4300467,Hepatitis B Virus Vaccine 20 MCG VIAL, $527.73 
4300468,Promethazine W/Codeine Syrup 5 ML UDCUP, $5.00 
4300472,chlorproMAZINE 10 MG TAB, $28.51 
4300474,chlorproMAZINE 25 MG TAB, $35.65 
4300476,chlorproMAZINE 50 MG TAB, $35.10 
4300477,chlorproMAZINE 100 MG TAB, $47.68 
4300478,chlorproMAZINE 200 MG TAB, $56.94 
4300479,Centrum Silver 1 TAB TAB, $0.50 
4300482,Morphine 30 MG TAB, $5.00 
4300483,Modafinil 200 MG TAB, $11.45 
4300484,Propranolol ERC 60 MG CAP.SA, $7.53 
4300485,guaiFENesin ERT 600 MG TAB.SA, $5.00 
4300487,Flumazenil 200 MCG/2 ML SYR, $20.00 
4300489,diphenhydrAMINE 50 MG CAP, $0.50 
4300490,diphenhydrAMINE 25 MG CAP, $0.50 
4300491,diphenhydrAMINE 50 MG/ML VIAL, $20.00 
4300492,Labetalol 100 MG TAB, $5.00 
4300493,Flumazenil 1000 MCG/10 ML VIAL, $63.46 
4300496,Phenytoin Sodium Extended 30 MG CAP, $7.12 
4300497,Phenytoin 50 MG CHEWTAB, $5.00 
4300498,Phenytoin Sodium Extended 100 MG CAP, $5.00 
4300499,fentaNYL Transmucosal System 1200 MCG LOZ, $45.21 
4300501,Leech 1 LEECH LEECH, $108.00 
4300504,Alteplase 50 MG VIAL," $9,209.38 "
4300505,Midazolam 2 MG/2 ML VIAL, $35.00 
4300507,Acyclovir Susp 200 MG/5 ML ML, $5.36 
4300508,Ketoprofen 50 MG CAP, $5.00 
4300509,Zidovudine 100 MG CAP, $5.00 
4300510,Sodium Chloride 3% 500 ML BOT, $177.24 
4300511,"Gelatin Sponge,Absorbable 1 APP APP", $56.40 
4300513,Calcitriol 1 MCG/ML AMP, $35.71 
4300514,Calcium Acetate 667 MG CAP, $5.00 
4300516,Betamethasone Suspension 12 MG/2 ML DHA.SYR, $137.09 
4300517,Ciprofloxacin 250 MG TAB, $5.00 
4300519,Ciprofloxacin 500 MG TAB, $5.00 
4300520,Resinol Oint 99 GM JAR, $65.44 
4300521,Theophylline ERT 450 MG TAB.SA, $5.00 
4300524,Triamcinolone 0.1%/Orabase 5 GM TUBE, $514.04 
4300526,Heparin Flush in 1/2 NS 10 UNITS/10 ML SYR, $20.00 
4300527,Heparin Flush in 1/2 NS 25 UNITS/5 ML SYR, $20.00 
4300529,Triamcinolone Acetonide 40 MG/ML VIAL, $88.66 
4300530,Ciprofloxacin 750 MG TAB, $5.00 
4300531,Heparin in 1/2 NS 50 UNITS/50 ML SYR, $20.00 
4300532,Lidocaine 2% W/Epi 30 ML VIAL, $31.64 
4300533,Fenofibrate 145 MG TAB, $5.00 
4300534,NovoLOG MIX 70/30 1000 UNITS/10 ML VIAL, $87.08 
4300535,DULoxetine EC 30 MG CAP.EC, $5.00 
4300536,DULoxetine EC 60 MG CAP.EC, $5.00 
4300537,DULoxetine EC 20 MG CAP.EC, $5.00 
4300540,Cefuroxime Axetil 250 MG TAB, $6.28 
4300541,Procainamide 1000 MG/10 ML VIAL, $586.15 
4300542,Cefuroxime Axetil 500 MG TAB, $7.57 
4300546,Amoxicillin Susp 400 MG/5 ML 100MLBTL, $17.42 
4300547,Droperidol 5 MG/2 ML AMP, $21.47 
4300548,buPROPion XL 150 MG TAB.SA, $5.00 
4300550,Multivitamin W/Minerals 1 TAB TAB, $0.50 
4300551,FLUoxetine 20 MG CAP, $5.00 
4300552,Amino Acids 8% 500 ML BOT, $953.33 
4300553,Morphine Epidural 10 MG/10 ML AMP, $159.64 
4300554,buPROPion XL 300 MG TAB.SA, $5.00 
4300555,Risedronate Weekly 35 MG TAB, $116.88 
4300556,fentaNYL 250 MCG/5 ML AMP, $48.05 
4300557,fentaNYL 1000 MCG/20 ML AMP, $90.74 
4300558,Morphine Epidural 5 MG/10 ML AMP, $567.58 
4300562,ARIPiprazole 5 MG TAB, $5.00 
4300563,Talc Sterile 5 GM VIAL, $945.25 
4300564,Amoxicillin Susp 200 MG/5 ML UDBOT, $5.00 
4300566,Erythromycin Stearate 250 MG TAB, $87.20 
4300568,Benazepril 5 MG TAB, $5.00 
4300569,Folic Acid 800 MCG TAB, $5.00 
4300570,Ascorbic Ac/Ferrous Sulf/Folic 1 TAB TAB.SA, $5.04 
4300571,Diltiazem ERT 180 MG TAB.SA, $18.56 
4300572,Diltiazem ERT 120 MG TAB.SA, $30.48 
4300578,Rosuvastatin 5 MG TAB, $5.00 
4300579,Rosuvastatin 10 MG TAB, $5.00 
4300580,Estropipate 750 MCG TAB, $5.00 
4300581,Terazosin 2 MG CAP, $5.00 
4300582,Terazosin 1 MG CAP, $5.00 
4300583,Rosuvastatin 20 MG TAB, $5.00 
4300584,Terazosin 5 MG CAP, $5.00 
4300585,Rosuvastatin 40 MG TAB, $5.00 
4300586,Iohexol 30 GM/100 ML VIAL, $904.40 
4300587,Clorazepate 15 MG TAB, $5.81 
4300588,Clorazepate 7.5 MG TAB, $5.00 
4300589,Clorazepate 3.75 MG TAB, $5.00 
4300591,Eszopiclone 2 MG TAB, $5.00 
4300592,Leuprolide Kit 45 MG KIT," $20,639.15 "
4300593,Betamethasone Suspension 30 MG/5 ML VIAL, $332.50 
4300594,Bacitracin Ophth Oint 3.5 GM TUBE, $714.40 
4300595,Oxymetazoline 0.05% Spr 30 ML SQBOT, $7.44 
4300596,Mupirocin 2% Oint 22 GM TUBE, $43.46 
4300597,Doxercalciferol 0.5 MCG CAP, $47.84 
4300599,Lithium Carbonate 150 MG CAP, $5.00 
4300600,prednisoLONE SOLN 60 MG/20 ML BTL, $10.08 
4300601,Proparacaine 0.5% Ophth Drops 15 ML BOT, $185.02 
4300602,carBAMazepine ERT 200 MG TAB.SA, $23.25 
4300603,Feogen 1 CAP CAP, $6.76 
4300604,Perphenazine 8 MG TAB, $11.12 
4300605,Niacin ERT 1000 MG TAB.SA, $40.22 
4300607,Gentamicin 80 MG/2 ML VIAL, $20.00 
4300608,AMOXicillin/Clavulanate 1000 MG TAB.SA, $13.44 
4300609,Sodium Acetate 40 MEQ/20 ML VIAL, $28.50 
4300610,Cefepime 2000 MG VIAL, $80.09 
4300612,Potassium Phosphate 45 MM/15 ML VIAL, $192.28 
4300613,Tetracycline 250 MG CAP, $48.96 
4300614,Lidocaine 2% W/Epi 50 ML VIAL, $32.87 
4300615,Abacavir 300 MG TAB, $54.22 
4300616,Lidocaine 0.5% W/Epi 50 ML VIAL, $21.28 
4300617,Alendronate Weekly 35 MG TAB, $6.66 
4300621,Aminocaproic Acid 500 MG TAB, $171.26 
4300622,Aminocaproic Acid 5000 MG/20 ML VIAL, $59.28 
4300623,Atropine 1.2 MG/3 ML SYR, $44.75 
4300625,Neostigmine 1:1000 5 MG/5 ML SYR, $326.61 
4300627,Bisoprolol 10 MG TAB, $5.89 
4300629,Eszopiclone 1 MG TAB, $5.00 
4300630,Balsalazide 750 MG CAP, $5.00 
4300631,Demeclocycline 150 MG TAB, $23.84 
4300632,Demeclocycline 300 MG TAB, $70.16 
4300633,Maalox Susp 30 ML UDBOT, $1.37 
4300634,Acarbose 25 MG TAB, $5.00 
4300635,Amino Acids 10% 500 ML BOT, $123.79 
4300636,Triamterene/Hydrochlorothiazid 1 TAB TAB, $5.00 
4300637,D70W 500 ML BOT, $230.40 
4300639,Verapamil 40 MG TAB, $5.00 
4300640,Carboprost 250 MCG/ML AMP," $3,366.88 "
4300641,Diclofenac 25 MG TAB.EC, $7.28 
4300643,Diclofenac 50 MG TAB.EC, $5.00 
4300644,Diclofenac 75 MG TAB.EC, $5.00 
4300646,Acyclovir 1000 MG VIAL, $63.41 
4300647,Atomoxetine 25 MG CAP, $16.94 
4300648,Atomoxetine 40 MG CAP, $18.42 
4300650,Minocycline 50 MG CAP, $5.00 
4300653,Ethambutol 400 MG TAB, $7.13 
4300654,Atomoxetine 60 MG CAP, $25.12 
4300656,Acamprosate EC 333 MG TAB.EC, $5.00 
4300658,Mag Hydrox/Al Hydrox/Simeth 30 ML UDBOT, $2.12 
4300659,Mag Hydrox/Al Hydrox/Simeth 30 ML UDBOT, $1.48 
4300660,Multivitamin Stress Formula 1 TAB TAB, $0.50 
4300665,Citalopram 10 MG TAB, $5.00 
4300667,Flurbiprofen 50 MG TAB, $5.00 
4300668,Flurbiprofen 100 MG TAB, $5.00 
4300669,Divalproex 125 MG TAB.EC, $5.00 
4300670,Acitretin 25 MG CAP, $123.06 
4300671,Calcium Lactate 650 MG TAB, $5.00 
4300672,Divalproex 500 MG TAB.EC, $5.00 
4300674,Dantrolene 50 MG CAP, $7.80 
4300675,Diltiazem ERC 90 MG CAP.SA, $19.58 
4300676,Diltiazem ERC 120 MG CAP.SA, $30.14 
4300677,carBAMazepine ERT 100 MG TAB.SA, $6.94 
4300678,niCARdipine 30 MG CAP, $9.75 
4300679,Methocarbamol 1000 MG/10 ML VIAL, $125.38 
4300681,Pilocarpine 5 MG TAB, $5.00 
4300682,niMODipine 30 MG CAP, $18.53 
4300683,Budesonide EC 3 MG CAP.EC, $31.81 
4300685,Promethazine 25 MG/ML AMP, $20.00 
4300686,Promethazine 50 MG/ML AMP, $22.14 
4300687,Misoprostol 200 MCG TAB, $6.06 
4300688,Desipramine 100 MG TAB, $22.80 
4300689,Oxymetholone 50 MG TAB, $99.68 
4300694,Desipramine 75 MG TAB, $14.80 
4300695,Penicillin V Pot Susp 250 MG/5 ML 100MLBTL, $31.71 
4300696,Penicillin V Pot Susp 125 MG/5 ML 100MLBTL, $24.88 
4300698,Oxazepam 10 MG CAP, $5.00 
4300699,Ursodiol 300 MG CAP, $18.90 
4300700,Acyclovir 400 MG TAB, $5.00 
4300701,Enalapril 2.5 MG/2 ML VIAL, $26.13 
4300703,Oxybutynin 15.6 MG/4 Day Patch 1 PATCH PATCH, $497.91 
4300704,Isosorbide Dinitra/HydrALAZINE 1 TAB TAB, $25.65 
4300705,Hydroxyurea 500 MG CAP, $5.00 
4300707,Cinacalcet 30 MG TAB, $214.40 
4300708,Pamidronate 90 MG/10 ML VIAL, $275.69 
4300710,Ammonium Lactate 12% Lotion 240 ML BOT, $140.79 
4300712,Methenamine Mandelate 500 MG TAB, $5.00 
4300713,Methenamine Mandelate 1000 MG TAB, $7.50 
4300715,Acetaminophen/Codeine 5 ML UDBOT, $5.00 
4300716,Lisinopril 5 MG TAB, $5.00 
4300718,Hydrocortisone 25 MG Supp 1 SUPP SUPP, $46.36 
4300719,Lisinopril 10 MG TAB, $5.00 
4300720,Lisinopril 20 MG TAB, $5.00 
4300721,Propafenone ERC 225 MG CAP.SA, $36.50 
4300722,Propafenone ERC 325 MG CAP.SA, $46.67 
4300723,Propafenone ERC 425 MG CAP.SA, $44.59 
4300728,Eszopiclone 3 MG TAB, $5.00 
4300729,Esmolol 2500 MG/NS 10 MG/ML BAG," $3,130.16 "
4300732,Fenoldopam 10 MG/1 ML AMP," $2,513.13 "
4300733,Neostigmine 1:2000 5 MG/10 ML VIAL, $597.27 
4300734,Hydrocortisone Butyrat 0.1% Cr 15 GM TUBE, $393.20 
4300735,Doxycycline Susp 25 MG/5 ML 60MLBTL, $139.44 
4300742,Clobetasol 0.05% Topical Soln 25 ML BOT, $504.32 
4300744,Triamcinolone 0.025% Oint 15 GM TUBE, $28.07 
4300745,Meprobamate 200 MG TAB, $5.00 
4300746,Sodium Chloride 0.9% 25 ML BAG, $74.13 
4300747,Octreotide 5000 MCG/5 ML VIAL," $1,330.48 "
4300748,Acetic Acid 2% Otic Soln 15 ML BOT, $141.72 
4300750,D5W 25 ML BAG, $77.70 
4300751,Ifosfamide 1000 MG VIAL, $70.17 
4300753,Cefdinir Suspension 125 MG/5 ML 60MLBTL, $109.59 
4300754,Dutasteride 500 MCG CAP, $5.00 
4300755,amLODIPine/Benazepril 1 CAP CAP, $5.00 
4300756,DOPamine 400 MG/D5W 1600 MCG/1 ML BAG, $67.55 
4300757,Amoxicillin Susp 125 MG/5 ML 100MLBTL, $11.68 
4300759,Fluocinolone Acet 0.025% Oint 60 GM TUBE, $623.76 
4300760,DOPamine 800 MG/D5W 3200 MCG/1 ML BAG, $95.19 
4300762,Butenafine 1% Cream 15 GM TUBE, $781.92 
4300764,Oxacillin 2000 MG VIAL, $98.78 
4300765,Oxacillin 1000 MG VIAL, $70.39 
4300767,carBAMazepine Susp 200 MG/10 ML UDCUP, $29.70 
4300770,Vancomycin 500 MG / 5 MG/ML BAG, $57.86 
4300774,Lidocaine 1 G/D5w 4 MG/ML BAG, $49.73 
4300777,Mannitol 20% 100 G/500 ML BOT, $118.28 
