SERVICE DESCRIPTION,SERVICE CHARGE CODE,Gross Charge,M'caid  CPT,M'care  CPT,W'Comp  Cpt,Other  CPT
13131-REPAIR OF WOUN,4604059,$240.90,13131,13131,13131,13131
13132 LAC RP COMPLEX,4610077,"$1,201.00",13132,13132,13132,13132
13132-REPAIR OF WOUN,4604060,$314.60,13132,13132,13132,13132
13133 LAC RP ADD ON,4610078,$400.00,13133,13133,13133,13133
13133-REPAIR WOUND/L,4604061,$240.90,13133,13133,13133,13133
13150-REPAIR OF WOUN,4604062,$823.90,13150,13150,13150,13150
13151-REPAIR OF WOUN,4604063,$279.40,13151,13151,13151,13151
13152 LAC RP COMPLEX,4610050,$835.00,13152,13152,13152,13152
13152-REPAIR OF WOUN,4604064,$823.90,13152,13152,13152,13152
13153-REPAIR WOUND/L,4604454,$240.90,13153,13153,13153,13153
14040-SKIN TISSUE RE,4604066,"$2,095.50",14040,14040,14040,14040
15000-SKIN GRAFT,4604067,$823.90,15000,15000,15000,15000
15240-SKIN FULL GRAF,4604068,"$2,095.50",15240,15240,15240,15240
"15852-DRES.CHG,W/SED",4604069,$95.70,15852,15852,15852,15852
16000-INT.TX OF BURN,4604070,$132.00,16000,16000,16000,16000
16020 BURN TX,4610063,$204.00,16020,16020,16020,16020
16020-DEBRIDE SM <5%,4604364,$165.00,16020,16020,16020,16020
16020-TX BURN SM <5%,4604072,$165.00,16020,16020,16020,16020
16025TX BURN M 5-10%,4604073,$165.00,16025,16025,16025,16025
16030 DEBRI LG 10%>,4604004,$254.10,16030,16030,16030,16030
16030 TX BURN L >10%,4604074,$254.10,16030,16030,16030,16030
17000-DESTROY BENIGN,4604492,$92.40,17000,17000,17000,17000
17003-DESTROY LESION,4604553,$92.40,17003,17003,17003,17003
17250-CHEM/CAUTERIZE,4604077,$225.50,17250,17250,17250,17250
17999-SKIN TISSUE PR,4604078,$234.30,17999,17999,17999,17999
17-HYDROXYPREGNEOLON,4309489,$173.25,84143,84143,84143,84143
17-HYDROXYPROGESTERO,4308009,$170.00,83498,83498,83498,83498
17-KETOSTER UR TOTAL,4308012,$135.19,83586,83586,83586,83586
18MM LCKNG CANC SCRW,4001159,$626.50,C1713,C1713,C1713,C1713
19000-DRAINAGE OF BR,4604398,$276.10,19000,19000,19000,19000
19020-I&D BREAST,4610117,"$2,877.18",19020,19020,19020,19020
19020INCIS/BREAST/LE,4604079,"$2,530.00",19020,19020,19020,19020
19100 BX OF BREAST,4604080,$556.60,19100,19100,19100,19100
19125-EXCIS BREAST L,4604081,"$3,018.40",19125,19125,19125,19125
2.3 X 14L SCREW,4000427,$466.20,C1713,C1713,C1713,C1713
2.3 X 16L SCREW,4000428,$466.20,C1713,C1713,C1713,C1713
2.3 X 18L SCREW,4000429,$466.20,C1713,C1713,C1713,C1713
2.3 X 20L SCREW,4000430,$466.20,C1713,C1713,C1713,C1713
2.3 X 22 L,4005117,$466.00,C1713,C1713,C1713,C1713
2.3 X 22 L COT 2322,4005107,$466.20,C1713,C1713,C1713,C1713
2.3 X 22 NL,4005115,$466.20,C1713,C1713,C1713,C1713
2.3 X 24 NL CON 2324,4005102,$466.20,C1713,C1713,C1713,C1713
2.3 X 26 L COT 2326,4005108,$466.20,C1713,C1713,C1713,C1713
2.3 X 26 NL CON 2326,4005106,$466.20,C1713,C1713,C1713,C1713
2.3 X 2ONL,4000175,$466.20,C1713,C1713,C1713,C1713
2.3X16NL,4000168,$466.00,C1713,C1713,C1713,C1713
2.3X18L,4000169,$466.20,C1713,C1713,C1713,C1713
2.4 CORTX SCREW,4001069,$364.00,C1713,C1713,C1713,C1713
2.4 LOCKY SCREW,4001070,$442.00,C1713,C1713,C1713,C1713
2.7 CORTEX SCR 10M,4000151,$143.00,C1713,C1713,C1713,C1713
2.7 CORTEX SCR 12M,4000152,$107.00,C1713,C1713,C1713,C1713
2.7 CORTEX SCREW 20M,4000154,$107.00,C1713,C1713,C1713,C1713
2.7 CORTEX SCREW/18M,4000153,$113.47,C1713,C1713,C1713,C1713
2.7MM BONE SCREW,4001010,$378.00,C1713,C1713,C1713,C1713
20000-INCIS/ABCESS,4604082,$234.30,20000,20000,20000,20000
20100-EXPLORE WOUND,4604548,$740.30,20100,20100,20100,20100
20101-EXPLORE WOUND,4604563,"$2,825.90",20101,20101,20101,20101
"20102-EXPLORE WOUND,",4604083,"$2,825.90",20102,20102,20102,20102
20103 REM FOREIGN BO,4610130,"$1,836.30",20103,20103,20103,20103
"20103-EXPLORE WOUND,",4604084,$740.30,20103,20103,20103,20103
"20206-NEEDLE BIOPSY,",4604421,$556.60,20206,20206,20206,20206
20520-REMOVAL OF FOR,4604085,$644.60,20520,20520,20520,20520
20525-REMOVAL OF FOR,4604505,"$3,039.30",20525,20525,20525,20525
20552-INJECT TRIGGER,4604518,$352.00,20552,20552,20552,20552
"20600-DRAIN/INJECT,",4604483,$352.00,20600,20600,20600,20600
20605 INJ JOINT/BURS,4610064,$365.46,20605,20605,20605,20605
"20605-DRAIN/INJECT,",4604086,$352.00,20605,20605,20605,20605
20610 DRN/INJ JOINT,4610017,$365.46,20610,20610,20610,20610
"20610-DRN/INJ,JOINT",4604087,$352.00,20610,20610,20610,20610
20612-ASPIRATE/INJ G,4604556,$352.00,20612,20612,20612,20612
20670-REMOVE SUP.IMP,4604088,"$2,328.70",20670,20670,20670,20670
20680-REMOVAL OF SUP,4604382,"$3,039.30",20680,20680,20680,20680
21110-INTERDENTAL FI,4604477,"$1,258.40",21110,21110,21110,21110
21310-TREATMENT OF N,4604480,$323.40,21310,21310,21310,21310
21315-TREATMENT OF N,4604419,$323.40,21315,21315,21315,21315
21320-TREATMENT OF N,4604467,"$1,258.40",21320,21320,21320,21320
21421-TREAT MOUTH RO,4604391,"$3,620.10",21421,21421,21421,21421
21440-TREAT DENTAL R,4604538,"$3,620.10",21440,21440,21440,21440
21450-TREAT LOWER JA,4604504,$323.40,21450,21450,21450,21450
21453-TREAT LOWER JA,4604433,"$5,745.30",21453,21453,21453,21453
21480 CL TX TMJ,4610065,$317.00,21480,21480,21480,21480
21480-RESET DISLOCAT,4604091,$323.40,21480,21480,21480,21480
21497-INTERDENTAL WI,4604092,"$2,495.90",21497,21497,21497,21497
21800-CLOSE/TX RIB F,4604093,$267.30,21800,21800,21800,21800
23140 REMOVE BONE LE,4604379,"$4,265.80",23140,23140,23140,23140
231655-TX/SHOUD/ANES,4604103,"$2,227.50",23655,23655,23655,23655
23330 REM FB SHOULDE,4610079,"$1,157.68",23330,23330,23330,23330
23330-REMOVE FB SHOU,4604095,"$1,078.00",23330,23330,23330,23330
23500-CLD/TX CLAVICL,4604096,$267.30,23500,23500,23500,23500
23505-CLD TX CLAVICL,4604097,$267.30,23505,23505,23505,23505
23520-TREAT CLAVICLE,4604487,$267.30,23520,23520,23520,23520
23525-TR STERN/CLAVI,4604098,$267.30,23525,23525,23525,23525
23540-TREAT CLAVICLE,4604509,$267.30,23540,23540,23540,23540
23545-TX ACROM/CLAVI,4604099,$267.30,23545,23545,23545,23545
23570-TREAT SCAPULAR,4604369,$267.30,23570,23570,23570,23570
23575-TREAT SHOULDER,4604447,$267.30,23575,23575,23575,23575
23600-TREAT HUMERUS,4604100,$267.30,23600,23600,23600,23600
23605-TREAT HUMERUS,4604101,$550.00,23605,23605,23605,23605
23620-TREAT FRACTURE,4604376,$267.30,23620,23620,23620,23620
23650 CL TX SH DIS,4610028,$649.00,23650,23650,23650,23650
23650-TREAT SHOULDER,4604102,$267.30,23650,23650,23650,23650
23665-TREAT DISLOCAT,4604104,$353.10,23665,23665,23665,23665
23675-TREAT DISLOCAT,4604105,$267.30,23675,23675,23675,23675
23929-SHOULDER SURGE,4604373,$267.30,23929,23929,23929,23929
23931-I&D UPPER ARM,4604106,"$2,530.00",23931,23931,23931,23931
24 HR.URINE COLLECTI,4301183,$18.90,81050,81050,81050,81050
24000-ARTHROTOMY ELB,4604107,"$3,716.90",24000,24000,24000,24000
24200-REMOVE FB ARM,4604108,$644.60,24200,24200,24200,24200
24341-REPAIR ARM TEN,4604109,"$5,684.80",24341,24341,24341,24341
24500-TREAT HUMERUS,4604110,$267.30,24500,24500,24500,24500
24505-TREAT HUMERUS,4604111,$267.30,24505,24505,24505,24505
24530-TREAT HUMERUS,4604112,$301.40,24530,24530,24530,24530
24535-TREAT HUMERUS,4604113,$267.30,24535,24535,24535,24535
24560-TREAT HUMERUS,4604114,$267.30,24560,24560,24560,24560
24565-TREAT HUMERUS,4604115,$267.30,24565,24565,24565,24565
24576-TREAT HUMERUS,4604116,$267.30,24576,24576,24576,24576
24577-TREAT HUMERUS,4604117,$267.30,24577,24577,24577,24577
24579-TREAT HUMERUS,4604118,"$5,882.80",24579,24579,24579,24579
24600-CL DISLC ELBOW,4610112,$155.00,24600,24600,24600,24600
24600-TREAT ELBOW DI,4604119,$267.30,24600,24600,24600,24600
24605-TREAT ELBOW DI,4604120,"$2,227.50",24605,24605,24605,24605
24620 CL TX MONT FX,4610088,"$2,680.74",24620,24620,24620,24620
24620-TREAT ELBOW FR,4604452,$267.30,24620,24620,24620,24620
24640 TX DISLOC ELBO,4610085,$267.00,24640,24640,24640,24640
24640-TREAT ELBOW DI,4604121,$267.30,24640,24640,24640,24640
24650-TREAT RADIUS F,4604122,$267.30,24650,24650,24650,24650
24655-TREAT RADIUS F,4604435,$267.30,24655,24655,24655,24655
24670-TREAT ULNAR FR,4604123,$267.30,24670,24670,24670,24670
24675-TREAT ULNAR FR,4604453,$267.30,24675,24675,24675,24675
24999-UPPER ARM/ELBO,4604124,$267.30,24999,24999,24999,24999
25111-REMOVE WRIST T,4604510,"$2,428.80",25111,25111,25111,25111
25248-REMOVE FOREARM,4604486,"$3,165.80",25248,25248,25248,25248
25260-REPAIR FOREARM,4604125,"$3,716.90",25260,25260,25260,25260
25270-REPAIR FOREARM,4604555,"$3,716.90",25270,25270,25270,25270
25505-TREAT FRACTURE,4604126,$267.30,25505,25505,25505,25505
25530-TREAT FRACTURE,4604127,$267.30,25530,25530,25530,25530
25535 FX TX ULNA,4610094,$176.00,25535,25535,25535,25535
25535-TREAT FRACTURE,4604474,$267.30,25535,25535,25535,25535
25560-TREAT FRACT. R,4604128,$267.30,25560,25560,25560,25560
25565 FX TX RAD/ULNA,4610114,$712.38,25565,25565,25565,25565
25565-TREAT FRACT. R,4604129,$267.30,25565,25565,25565,25565
25600-TREAT FRACT. R,4604130,$267.30,25600,25600,25600,25600
25605-TREAT FRACT. R,4604131,$267.30,25605,25605,25605,25605
25605-TX CL FX RAD/U,4610123,$712.38,25605,25605,25605,25605
25620-TREAT FRACT. R,4604133,"$5,177.70",25620,25620,25620,25620
25622-TREAT FRACTURE,4604375,$267.30,25622,25622,25622,25622
25624-TREAT WRIST BO,4604478,$267.30,25624,25624,25624,25624
25630 TREAT WRIST BO,4604448,$267.30,25630,25630,25630,25630
25635-TREAT WRIST BO,4604134,$267.30,25635,25635,25635,25635
25650-TREAT WRIST BO,4604135,$267.30,25650,25650,25650,25650
25660-TREAT WRIST DI,4604523,$267.30,25660,25660,25660,25660
25675-TREAT WRIST DI,4604557,$267.30,25675,25675,25675,25675
25690-TREAT WRIST DI,4604500,$267.30,25690,25690,25690,25690
26010 DRN FINGER ABS,4610066,$283.00,26010,26010,26010,26010
26010-DRAINAGE OF FI,4604137,$234.30,26010,26010,26010,26010
26011-DRAINAGE OF FI,4604490,"$1,812.80",26011,26011,26011,26011
26236 PARTIAL REMOVA,4604445,"$2,428.80",26236,26236,26236,26236
26350-REPAIR FINGER/,4604479,"$3,902.80",26350,26350,26350,26350
26410-REPAIR HAND TE,4604420,"$2,428.80",26410,26410,26410,26410
26418-REPAIR FINGER,4604138,"$2,428.80",26418,26418,26418,26418
26418-RP FNGR TENDON,4610118,"$1,520.12",26418,26418,26418,26418
26540-REPAIR HAND JO,4604361,"$2,428.80",26540,26540,26540,26540
26600 CL TX MET FX,4610029,$606.00,26600,26600,26600,26600
26600-TREAT METACARP,4604139,$267.30,26600,26600,26600,26600
26605 FX TX METACARP,4610099,$176.00,26605,26605,26605,26605
26605-TREAT METACARP,4604140,$267.30,26605,26605,26605,26605
26608-TREAT METACARP,4604506,"$5,882.80",26608,26608,26608,26608
26641 CL TX CAR DIS,4610042,$782.00,26641,26641,26641,26641
26641-TREAT THUMB DI,4604141,$267.30,26641,26641,26641,26641
26645-TREAT THUMB FR,4604142,$267.30,26645,26645,26645,26645
26670-TREAT HAND DIS,4604143,$267.30,26670,26670,26670,26670
26700-TREAT KNUCKLE,4604145,$267.30,26700,26700,26700,26700
26705 CL TX MC DISLO,4610067,$453.00,26705,26705,26705,26705
26705-TREAT KNUCKLE,4604146,$267.30,26705,26705,26705,26705
26720-TREAT FINGER F,4604147,$267.30,26720,26720,26720,26720
26725 CL TX PH SH FX,4610041,$718.00,26725,26725,26725,26725
26725-TREAT FINGER F,4604148,$267.30,26725,26725,26725,26725
26735-TREAT FINGER F,4604149,"$5,882.80",26735,26735,26735,26735
26740-TREAT FINGER F,4604389,$267.30,26740,26740,26740,26740
26742-TREAT FINGER F,4604150,$267.30,26742,26742,26742,26742
26750-FX TX THUMB,4610119,$163.26,26750,26750,26750,26750
26750-TREAT FINGER F,4604151,$267.30,26750,26750,26750,26750
26755-TREAT FINGER F,4604152,$267.30,26755,26755,26755,26755
26756-PIN FINGER FRA,4604465,"$5,882.80",26756,26756,26756,26756
26765-TREAT FINGER F,4604153,"$5,882.80",26765,26765,26765,26765
26770 CL TX INTER JT,4610068,$363.00,26770,26770,26770,26770
26770-TREAT FINGER D,4604154,$267.30,26770,26770,26770,26770
26775 TREAT FINGER D,4610129,"$2,162.88",26775,26775,26775,26775
26775-TREAT FINGER D,4604155,"$2,227.50",26775,26775,26775,26775
26951-AMPUTATION OF,4604156,"$2,428.80",26951,26951,26951,26951
26952-AMPUTATION OF,4604157,"$2,428.80",26952,26952,26952,26952
26989-HAND/FINGER SU,4604158,$267.30,26989,26989,26989,26989
27230-TREAT THIGH FR,4604507,$267.30,27230,27230,27230,27230
27238-TREAT THIGH FR,4604559,$267.30,27238,27238,27238,27238
27250-HIP DISLOC TX,4610109,$155.00,27250,27250,27250,27250
27250-TREAT HIP DISL,4604416,$267.30,27250,27250,27250,27250
27252-TREAT HIP DISL,4604159,"$2,227.50",27252,27252,27252,27252
27256-TREAT HIP DISL,4604455,$267.30,27256,27256,27256,27256
27265-TREAT HIP DISL,4604400,$267.30,27265,27265,27265,27265
27266-TREAT HIP DISL,4604418,"$2,227.50",27266,27266,27266,27266
27301-DRAIN THIGH/KN,4604472,"$2,530.00",27301,27301,27301,27301
27372-REMOVAL OF FOR,4604160,"$3,039.30",27372,27372,27372,27372
27501-TREATMENT OF T,4604439,$267.30,27501,27501,27501,27501
27502-TREATMENT OF T,4604569,$267.30,27502,27502,27502,27502
27508-TREATMENT OF T,4604161,$267.30,27508,27508,27508,27508
27510-TREATMENT OF T,4604458,$267.30,27510,27510,27510,27510
27520-TREAT KNEECAP,4604162,$267.30,27520,27520,27520,27520
27530-TREAT KNEE FRA,4604163,$267.30,27530,27530,27530,27530
27532-TREAT KNEE FRA,4604578,$267.30,27532,27532,27532,27532
27538-TREAT KNEE FRA,4604164,$267.30,27538,27538,27538,27538
27550-CL TX KNEE DIS,4610120,$163.26,27550,27550,27550,27550
27550-TREAT KNEE DIS,4604401,$267.30,27550,27550,27550,27550
27560 CL TX PAT DIS,4610051,$758.00,27560,27560,27560,27560
27560-TREAT KNEECAP,4604165,$267.30,27560,27560,27560,27560
27562 CL RED OF PAT,4610043,"$2,162.88",27562,27562,27562,27562
27562-TREAT KNEECAP,4604166,"$2,227.50",27562,27562,27562,27562
27599-LEG SURGERY PR,4604167,$267.30,27599,27599,27599,27599
27650-REPAIR ACHILLE,4604517,"$5,684.80",27650,27650,27650,27650
27658-REPAIR LEG TEN,4604539,"$3,165.80",27658,27658,27658,27658
27750 TREATMENT OF T,4604380,$267.30,27750,27750,27750,27750
27752-TREATMENT OF T,4604168,$267.30,27752,27752,27752,27752
27760-TREATMENT OF A,4604459,$275.00,27760,27760,27760,27760
27762-TREATMENT OF A,4604169,$267.30,27762,27762,27762,27762
27780-TREATMENT OF F,4604498,$267.30,27780,27780,27780,27780
27781-TREAT FIBULA F,4604558,$267.30,27781,27781,27781,27781
27786-FX TX DSTL FIB,4610111,$155.00,27786,27786,27786,27786
27786-TREATMENT OF A,4604170,$267.30,27786,27786,27786,27786
27788-FX TX DSTL FIB,4610115,$168.00,27788,27788,27788,27788
27788-TREATMENT OF A,4604171,$267.30,27788,27788,27788,27788
27808-TREATMENT OF A,4604172,$302.50,27808,27808,27808,27808
27810-TREATMENT OF A,4604173,$235.40,27810,27810,27810,27810
27816-TREATMENT OF A,4604174,$267.30,27816,27816,27816,27816
27818-TREATMENT OF A,4604175,$267.30,27818,27818,27818,27818
27824-TREAT LOWER LE,4604176,$267.30,27824,27824,27824,27824
27825-TREAT LOWER LE,4604177,$267.30,27825,27825,27825,27825
27840-TREAT ANKLE DI,4604178,$267.30,27840,27840,27840,27840
27842 CLOSED TX ANKL,4610128,"$2,162.88",27842,27842,27842,27842
27899-LEG/ANKLE SURG,4604179,$267.30,27899,27899,27899,27899
"28020-ARTHROTOMY,INT",4604384,"$3,371.50",28020,28020,28020,28020
28190 REM FB SQ FOOT,4610080,"$1,157.68",28190,28190,28190,28190
28190-REMOVAL OF FOO,4604180,$644.60,28190,28190,28190,28190
28192-REMOVAL OF FOO,4604181,"$2,328.70",28192,28192,28192,28192
28208-REPAIR OF FOOT,4604182,"$3,371.50",28208,28208,28208,28208
28400-TREATMENT OF H,4604183,$267.30,28400,28400,28400,28400
28430-TREATMENT OF A,4604184,$267.30,28430,28430,28430,28430
28435-TREATMENT OF A,4604462,$267.30,28435,28435,28435,28435
28450-TREAT MIDFOOT,4604185,$267.30,28450,28450,28450,28450
28455-TREAT MIDFOOT,4604493,$267.30,28455,28455,28455,28455
28470-TREAT METATARS,4604186,$267.30,28470,28470,28470,28470
28475-TREAT METATARS,4604187,$267.30,28475,28475,28475,28475
28490-CL TX FX G TOE,4610124,$155.00,28490,28490,28490,28490
28490-TREAT BIG TOE,4604456,$267.30,28490,28490,28490,28490
28495-TREAT BIG TOE,4604188,$267.30,28495,28495,28495,28495
28505-TREAT BIG TOE,4604189,"$5,882.80",28505,28505,28505,28505
28510 CL TX FX PHAL,4610030,$279.00,28510,28510,28510,28510
28510-TREATMENT OF T,4604383,$267.30,28510,28510,28510,28510
28515 FX TX TOE,4610097,$176.00,28515,28515,28515,28515
28515-TREATMENT OF T,4604190,$267.30,28515,28515,28515,28515
28540 DISLOC TX FOOT,4610102,$176.00,28540,28540,28540,28540
28540-TREAT FOOT DIS,4604513,$267.30,28540,28540,28540,28540
28630 DISLOC TX TOE,4610101,$176.00,28630,28630,28630,28630
28630-TREAT TOE DISL,4604191,$267.30,28630,28630,28630,28630
28660-TREAT TOE DISL,4604192,$267.30,28660,28660,28660,28660
