MEMORIAL SLOAN KETTERING CANCER CENTER - Pricing as of 01/01/2019,,
"Hospitals are required by law to make available information about their standard charges for the items and services they provide. These standard charges do not represent what a person will actually pay for medical care at Memorial Sloan Kettering Cancer Center. They also do not reflect or represent the actual payment the hospital will receive from insurance or from patients for those services. Therefore, referring to these standard charges to determine out-of-pocket costs is misleading.",,
,,
"We can provide you with an estimate of your out-of-pocket costs before you begin treatment, so you can make the right decision for you and your family. Services or items rendered to each patient and their cost may vary because of treatment decisions, unforeseen complications, additional tests or services ordered by a doctor, and the individual’s needs. In addition, estimates may change based on a person’s contracted insurance benefits, insurance policy exclusions, maximum benefits, pending financial assistance, or pending state/federal or other aid. ",,
,,
Please note that any information that you receive is for informational purposes only and is not an offer or representation of actual pricing for services at MSK. This information is not meant to be nor should it be considered financial or medical advice. This document also may not be altered or edited in any way once downloaded.,,
,,
Code,Description,Std-Fee
AMB000199,FULL DNR GRFT SCLP/P,2816
AMB000200,FULL DNR GRAFT ADD'L,1280
AMB000201,"FULL FACE GRAFT, ADD",2274
AMB000202,DONOR GRFT EYE/EAR/L,2781
AMB000203,SKIN SUB HIGH GRAFT,2455
AMB000204,SKIN SUB HGH GRFT T/,190
AMB000205,SKIN SUB HIGH GRAFT,2455
AMB000206,SKN SUB HGH GFT FC/N,190
AMB000207,SKIN PEDICLE FLAP,3460
AMB000208,"FORM SKIN PEDICLE, L",3360
AMB000209,DELAY FLAP TRUNK,3921
AMB000210,DELAY FLAP ARMS/LEGS,3906
AMB000211,DELAY FLAP F/C/C/N/A,3906
AMB000212,DELAY/SECT FLAP EYE/,2460
AMB000213,TRANSFER SKIN PEDICL,4191
AMB000214,FOREHEAD FLAP W/VASC,3906
AMB000215,"GRAFT, COMPOSITE",1222
AMB000216,HAIR TRANSPLNT1-15 P,2274
AMB000217,HAIR TRANSPLANT GTR,2274
AMB000218,ACELLULAR DERM MATRI,2395
AMB000219,DERMABRASION TOTAL F,1222
AMB000220,DERMABRASION SEGM FA,1222
AMB000221,DERMABRSN REG OTHR T,1222
AMB000222,"DERMABRASION, SUPERF",1222
AMB000223,"ABRASION,SINGLE LESI",358
AMB000224,CHEMICAL PEEL/FACIAL,181
AMB000225,CHEM PEEL FACIAL DER,1222
AMB000226,"CHEM PEEL,NONFACL, E",310
AMB000227,CHEM PEEL/NON-FACIAL,1222
AMB000228,"BLEPHAROPLASTY, LOWE",2133
AMB000229,"BLEPHAROPLASTY,LWR E",2543
AMB000230,BLEPHAROPLASTY UPPER,2133
AMB000231,BLPHPLSTY UP EYELD;W,2543
AMB000232,RHYTIDECTOMY:(SMAS),4015
AMB000234,GRAFT FOR FACE NERVE,4191
AMB000235,REMOVAL OF SUTURES,451
AMB000236,"LIPECTOMY, HEAD & NE",3722
AMB000237,LIPECTOMY/TRUNK,3722
AMB000238,"LIPECTOMY, UPPER EXT",3722
AMB000239,LIPECTOMY; LOWER EXT,3722
AMB000240,REMOVAL OF PRESSURE,771
AMB000241,PREMAL LES DEST 1ST,264
AMB000242,PREMAL LES DEST 2-14,133
AMB000243,PREMAL LES DEST ANY,504
AMB000245,DES VASC BENIGN LESS,520
AMB000246,DESTR VASCULAR LESIO,1222
AMB000247,DESTR VASCULAR LESIO,1222
AMB000248,DEST BENIGN FLAT WAR,263
AMB000249,DES BENIGN FLAT WART,400
AMB000250,CHEM CAUTERIZ OF WOU,370
AMB000251,DES MAL LES T/A/L .5,621
AMB000252,DES MAL LES T/A/L .6,631
AMB000253,DES MAL LES T/A/L/ 1,631
AMB000254,DES MAL LES T/A/L/ 2,618
AMB000255,DES MAL LES T/A/L 3.,631
AMB000256,DES MAL LES T/A/L GT,601
AMB000257,"DES MAL LE SC,NK,H/F",631
AMB000258,"DES MAL LE SC,NK,H/F",631
AMB000259,"DES MAL LE SC,NK,H/F",610
AMB000260,"DES MAL LE SC,NK,H/F",631
AMB000261,DES MAL LES S/N/H 3.,823
AMB000262,"DES MAL LE SC,NK,H/F",1222
AMB000263,"DES MAL LE, FACE LES",629
AMB000264,"DES MAL LE, FACE ETC",631
AMB000265,"DES MAL LE, FACE ETC",631
AMB000266,"DES MAL LE, FACE ETC",631
AMB000267,DES MAL LES F/E/N 3.,823
AMB000268,DES MAL LES F/E/N GT,823
AMB000269,MOHS H/N/H/F/G 1ST S,779
AMB000270,MOHS H/N/H/F/G EA AD,754
AMB000271,MOHS TRNK/ARM/LEG 1S,779
AMB000272,MOHS TRNK/ARM/LEG EA,754
AMB000273,MOHS ADDL BL AFTER 1,606
AMB000274,CRYOTHERAPY,595
AMB000275,SKIN TISSUE PROCEDUR,71
AMB000276,PUNT ASPIR-CYST BREA,926
AMB000277,ADDTNL ASPRTN OF CYS,502
AMB000280,MASTTMY W/EXPL/DRAIN,3022
AMB000282,"BPSY OF BRST,PRCTNS",2436
AMB000285,BREAST BIOPSY INCISI,4297
AMB000288,EXCSN CYST M/F 1 OR,4297
AMB000289,EXCSN/RMOVAL OF CHES,3163
AMB000292,REMOVAL MAMMARY IMPL,5793
AMB000293,RMVL IMPLANT MATERIA,5770
AMB000295,NIPPLE/AREOLA RECONS,4007
AMB000296,NIPPLE AREOLA RECON,6426
AMB000297,CORRECTION OF INVRTE,5321
AMB000299,SURGERY OF BREAST CA,5731
AMB000301,REM BREAST CAPSULE U,5793
AMB000302,REV RECONST BREAST U,6596
AMB000304,REV RECONST BREAST B,12447
AMB000305,BREAST PROCEDURE,3890
AMB000306,INC SOFT TIS ABSC SU,3879
AMB000307,"BIOPSY, MUSCLE; SUPE",3092
AMB000308,"BIOPSY, MUSCLE; DEEP",2396
AMB000309,"BIOPSY, MUSCLE, PERC",2126
AMB000310,BX BONE TROCAR/NDL S,1141
AMB000311,BX BONE TROCAR/NDL D,2689
AMB000312,BIOPSY EXCISIONAL;SU,3694
AMB000313,BIOPSY EXCISIONAL DE,1222
AMB000314,REM FOREIGN IN MUS/T,999
AMB000315,"THER INJECTION, CARP",464
AMB000316,INJ DUPUYTREN CRD W/,414
AMB000317,INJ TENDON ORIGIN/IN,544
AMB000318,TRGGR PNT INJ 1 OR 2,701
AMB000319,TRGGR PNT INJ 3 OR M,701
AMB000320,ARTHCTSS MINOR JOINT,1186
AMB000321,"ARTHROCEN,ASP-INJ;IN",1328
AMB000322,ARTHRO/ASPR/INJ MA W,1559
AMB000323,ASP/INJ OF GANGLION,534
AMB000324,REMOVAL OF IMPLANT;,2408
AMB000325,REMOVAL OF IMPLANT D,4011
AMB000326,COMP EXT FIXATE STRU,2094
AMB000327,REMOVAL OF TISSUE FO,826
AMB000328,MUSCULOSKELETAL SURG,4224
AMB000329,EXC FACE LESION SC L,1584
AMB000330,EXC FACE TUM DEEP 2,1311
AMB000331,"TUMOR RESECTION, FAC",3095
AMB000332,EAR CARTILAGE GRAFT,4406
AMB000333,CRANIO/MAXILLOFACIAL,442
AMB000334,MUSCULOSKELETAL PROC,3095
AMB000335,DRAIN NECK/CHEST LES,3427
AMB000336,SOFT TISSUE BIOPSY;,2126
AMB000337,EXC NECK LES SC = 3C,3925
AMB000338,EXC CHEST WALL LESIO,1205
AMB000339,EXCIS SOFT TIS NECK,4264
AMB000340,NECK/CHEST SURG PROC,1420
AMB000341,"BX, SOFT TISSUE, BAC",1746
AMB000342,"BX OF BACK OR FLANK,",4269
AMB000343,"EXC TUMOR, SOFT TISS",3930
AMB000344,EXC TMR SFT TISS BCK,2346
AMB000345,REMOVE ABD WALL LESI,4112
AMB000346,ABDOMEN SURGERY PROC,4004
AMB000347,BIOPSY; SHLDR SUPERF,3261
AMB000348,BIOPSY SHOULDER TISS,4112
AMB000349,DEEP EXC SHOULDER 5C,3496
AMB000350,EX BEN TUMOR;SHOULDE,3261
AMB000351,EX BEN TUMOR; DEEP S,1222
AMB000352,STERNOCLAVICULAR BIO,483
AMB000353,"SHLDER SURG, SOFT TI",418
AMB000354,BX SOFT TISSUE ARM E,3358
AMB000355,BX SOFT TISSUE ARM E,3358
AMB000356,EXC ARM/ELBOW LES SC,2583
AMB000357,EXC TMR SFT TIS UP A,2851
AMB000358,"BIOPSY,SFT TIS FOREA",2905
AMB000359,EXC FOREARM/WRIST LE,2919
AMB000360,DRAINAGE OF FINGER A,417
AMB000361,DRAINAGE FINGER  ABS,1728
AMB000362,MANIPULAT PALM CORD,355
AMB000363,BX SFT TISSUE PELVS,1798
AMB000364,BX SOFT TISSUE PELVI,2827
AMB000365,"EXC TUM PELV, HIP SU",3554
AMB000366,EXC HIP/PELVIS DEEP,2583
AMB000367,INJ PROC FR HIP ARTH,340
AMB000368,SACROILAC JNT INJ,1683
AMB000369,"UNLSTD PRCD,PELVIS O",1028
AMB000370,INCISION/DRAIN; THIG,4422
AMB000371,BIOPSY SFT TISSUE TH,1209
AMB000372,BX SOFT TISSUE THIGH,4330
AMB000373,EXC TUMOR THIGH/KNEE,1213
AMB000374,EXC TUMOR THIGH/KNEE,1186
AMB000375,"BIOPSY, KNEE JOINT L",5332
AMB000376,EXC THIGH/KNEE LES S,2583
AMB000377,ASPIRATION OF THIGH,1290
AMB000378,"BIOPSY, SOFT TISSUE",1786
AMB000379,"BX SOFT TISSUE, LEG,",3823
AMB000380,EXCIS TUMOR LEG/ANKL,3257
AMB000381,EXC TUMOR LEG/ANKLE,1186
AMB000382,EXC LEG/ANKLE LES SC,2583
AMB000383,"EXCISN LESN,TENDN SH",4197
AMB000384,"UNLSTD PROCED, FOOT",356
AMB000385,APPLIC LONG ARM CAST,313
AMB000386,APPLIC SHORT ARM CAS,315
AMB000387,APPLIC LONG ARM SPLI,315
AMB000388,APPLCTN OF SHORT ARM,1328
AMB000389,APPLICATION OF FINGE,583
AMB000390,STRAPPING: SHOULDER,315
AMB000391,APPLCTN OF LONG LEG,1222
AMB000392,APPL SHORT LEG CAST,460
AMB000393,APPLCTN SHORT LEG WA,1205
AMB000394,APPLIC LONG LEG SPLI,315
AMB000395,APPLIC SHORT LEG SPL,304
AMB000396,STRAPPING: KNEE,315
AMB000397,STRAPPING: ANKLE,315
AMB000398,STRAPPING: TOE,315
AMB000399,APPLICATION OF PASTE,206
AMB000400,"DRAIN ABSCESS, NASAL",398
AMB000401,BIOPSY INTRANASAL,1785
AMB000402,"SURG PL SKIN, NOSE,",1222
AMB000403,"CNTRL NASAL HEMRG, S",1306
AMB000404,NASAL SURGERY PROCED,207
AMB000405,"IRRIGATION, MAXILLAR",396
AMB000406,NASAL ENDO DX UNI/BI,297
AMB000407,NASAL SINUS ENDOSCOP,432
AMB000408,"NASAL ENDOSCOPY, SUR",4142
AMB000409,NASAL ENDO W/ POLYPE,4367
AMB000410,EMERGENCY AIRWAY PLA,975
AMB000411,REPLACE TRACH TUBE,975
AMB000412,"LARYNGOSCOPY, INDIRE",190
AMB000413,"LARYNGSCPY, THERAP A",3201
AMB000414,LARYNCOSCPY DIR W/WO,2905
AMB000415,"LARYNGOSCOPY, W/ BIO",3535
AMB000416,LARYNGOSCPY BX W/MIC,4591
AMB000417,LARYNGOSCPY EXC TUMO,4455
AMB000418,"LARNGSCPY, DIR W INJ",4180
AMB000419,"LARYNGSCPY, DIRCT W",4287
AMB000420,"LARYNGOSCOPY, FLEXIB",471
AMB000421,LARYNGOSCOPY WITH BI,4293
AMB000422,LARYNGOSCOPY W/ STRO,1686
AMB000423,RVSN LARYNX,6643
AMB000424,"TRACH PUNCT,CLEAR WI",5337
AMB000425,TRACHEOSTOMA REVISIO,6803
AMB000426,BRONCHOSCOPY THROUGH,1408
AMB000427,"BRONCHOSCOPY, DIAG,",3176
AMB000428,CLOSURE OF WINDPIPE,4190
AMB000429,REVISION OF TRACH SC,716
AMB000430,AIRWAYS SURGICAL PRO,2470
AMB000432,TUBE THORCSTMY W/WO,1531
AMB000433,"PLEURAL BX,PERCUTANE",1753
AMB000434,REM INDWELL TUN PLEU,888
AMB000435,INSERT CATH PLEURA W,2660
AMB000436,"PLEURODESIS, CHEMICA",999
AMB000437,LYSE CHEST FIBRIN IN,1176
AMB000438,LYSE CHEST FIBRIN SU,871
AMB000440,THORACSCPY W/ BX INF,5457
AMB000441,THORACSCPY W/ BX NOD,5457
AMB000442,THORACSCPY W/ BX PLE,5457
AMB000444,BLOOD PRODUCT TRANSF,1746
AMB000445,INJECT SCLEROSING SO,448
AMB000446,REMOVAL:IMPLANTABLE,2123
AMB000447,REMOVE IMPLANT PUMP,2191
AMB000448,RPR TUN/NONTUN CVAC,1782
AMB000451,RPL CPL N-TUN CICVC,2829
AMB000455,RPL CPL PICC W/O PT/,2244
AMB000457,BLD DRAW PART IMP CA,172
AMB000458,BLD DRW EST CTRL/PER,172
AMB000459,DECLOT THRMBLYTC AGN,695
AMB000460,ARTERIAL PUNCTURE -,181
AMB000462,BM/STEM CELL TRANSPL,3981
AMB000463,BX/EXCISION LYMPH NO,4297
AMB000464,BIOPSY/EXCSN LYMPH N,2126
AMB000465,BIOPSY DEEP CERVICAL,3879
AMB000466,SUPRACLAVICULAR NODE,1222
AMB000467,LYMPH NODE BX/EXC:DE,4407
AMB000468,AXILLARY NODE BPSY;,1222
AMB000469,INGUINOFEMORAL LYMPH,4555
AMB000470,INJCTN FOR LYMPHATIC,246
AMB000472,"THORACENTESIS,INIT/S",2247
AMB000473,INSERT CATH PLEURA W,2247
AMB000474,NVR CNDJ TST 1-2 STU,246
AMB000475,NRV CNDJ TST 3-4 STU,491
AMB000476,NRV CNDJ TST 5-6 STU,735
AMB000477,NRV CNDJ TEST 7-8 ST,981
AMB000478,NRV CNDJ TEST 9-10 S,1229
AMB000479,NRV CNDJ TEST 11-12,1473
AMB000480,NRV CNDJ TEST 13 OR,1595
AMB000482,LIP BIOPSY,1205
AMB000483,VERMILIONECTOMY,1222
AMB000484,EXCISION; LIP WEDGE,4349
AMB000485,PARTIAL EXCISION OF,3035
AMB000486,REPAIR LIP,1238
AMB000487,DRAINAGE OF MOUTH LE,293
AMB000488,"BIOPSY, VESTIBULE OF",1213
AMB000489,EXCSN LESN MUCOSA W/,3034
AMB000490,EXC LES-MOUTH W/SMPL,3331
AMB000491,DRAINAGE OF MOUTH LE,3211
AMB000492,BX OF TONGUE ANT 2/3,1467
AMB000493,"BX OF TONGUE, POST 1",3095
AMB000494,BIOPSY OF FLOOR OF M,1522
AMB000495,EXCISION OF TONGUE L,3177
AMB000496,EXC LES W/CLOS TONGU,3095
AMB000497,EXC LES W/CLOS TONGU,3211
AMB000498,EXCISION OF MOUTH LE,3390
AMB000499,PARTIAL REMOVAL OF T,4561
AMB000500,"BILAT THER INJ, CARP",929
AMB000501,EXC/BX LES/TISSUE GU,1203
AMB000502,EXCISION OF GUM LESI,3070
AMB000503,EXCSN GUM LESN W SMP,3313
AMB000504,BIOPSY OF GINGIVA,3204
AMB000505,"BIOPSY OF PALATE, UV",1785
AMB000506,"EXCISION LESION, MOU",3035
AMB000507,"DES OF LES,PALATE OR",3740
AMB000508,REMOVAL OF SALIVARY,3035
AMB000509,BX OF SALIVARY GLAND,636
AMB000510,BIOPSY SALIVARY GLAN,3313
AMB000511,DRAINAGE OF SALIVARY,3879
AMB000512,REPAIR SALIVARY DUCT,3728
AMB000513,BIOPSY; OROPHARYNX,3191
AMB000514,"BX NASOPHARYNX, SIMP",3495
AMB000515,BIOPSY UPPER NOSE/TH,2954
AMB000516,EXCISE PHARYNX LESIO,3211
AMB000517,REMOVAL OF FOREIGN B,162
AMB000518,UNLISTED NASAL PROCE,4142
AMB000519,ESOPHAGOSCOPY FLEX O,2061
AMB000523,DILATION OF ESOPHAGU,2061
AMB000526,GASTROSTOMY TUBE CHG,1967
AMB000527,"BX INTSTN BY CAP, TU",1666
AMB000528,REVISION OF ILEOSTOM,3371
AMB000532,DIL & MANIP OF ENTER,2192
AMB000533,"BPSY OF ANRCTL WLL,",3301
AMB000534,"EXC RCTL TUMR, TRNS",4545
AMB000535,PROCTOSIGMOIDOSCOPY,2891
AMB000536,PROCTOSIGMOIDOSCOPY,1640
AMB000537,PROCTOSIGMOIDOSCOPY,1213
AMB000539,FLEXIBLE SIGMOIDOSCO,2159
AMB000540,SIGMOIDOSCOPY & POLY,2158
AMB000542,FLEX SIG W/SUBMUC IN,1692
AMB000544,FLEXI SIGMOIDSCOPY W,1640
AMB000546,"FLEX SIG, COL SCRN,",1971
AMB000547,RECTAL STRICT DILAT,2969
AMB000548,PLACEMENT OF SETON,3941
AMB000549,INC DRNG ISCH / PERR,4386
AMB000550,PERIANAL ABSCESS I+D,2054
AMB000551,INCISION/DRAINAGE;IS,1222
AMB000552,I&D THROMBOSED EXT H,418
AMB000553,"EXC SINGLE TAG, ANUS",3729
AMB000554,HEMORRHOIDECTOMY (BA,1222
AMB000555,"INJ SCLEROSING SOL,",3034
AMB000556,"ANOSCOPY, DIAGNOSTIC",1205
AMB000557,ANOSCOPY WITH BIOPSY,1715
AMB000558,ANOSCOPY W/ REM MULT,1789
AMB000559,"ENDO DEST LESION, AN",1803
AMB000560,CHEM DESTRUCT LESION,1222
AMB000561,DESICCATION LESION A,1186
AMB000562,"CRYOSURGERY, ANAL LE",282
AMB000563,SURG EXCISION LESION,1222
AMB000564,"DESTRUCTION, ANAL LE",3992
AMB000565,HEMORR LIGAT INT SNG,3727
AMB000566,HEMORR;LIGAT INTER M,1222
AMB000567,UNLISTED PROCEDURE A,1680
AMB000568,BILE TRACT SURGERY P,2555
AMB000570,ABD PARACENTESIS- W/,871
