DRG_CODE,DRG_NAME, AVG_CHGS 
37,EXTRACRANIAL PROCEDURES W MCC,"$111,035.57 "
38,EXTRACRANIAL PROCEDURES W CC,"$44,762.22 "
39,EXTRACRANIAL PROCEDURES W/O CC/MCC,"$32,071.37 "
40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,"$85,718.09 "
41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,"$71,239.72 "
42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,"$38,323.88 "
52,SPINAL DISORDERS & INJURIES W CC/MCC,"$59,623.51 "
53,SPINAL DISORDERS & INJURIES W/O CC/MCC,"$22,074.28 "
54,NERVOUS SYSTEM NEOPLASMS W MCC,"$22,542.53 "
55,NERVOUS SYSTEM NEOPLASMS W/O MCC,"$25,727.37 "
56,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"$44,526.98 "
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"$37,657.51 "
59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,"$21,243.86 "
60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,"$32,363.59 "
61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC","$94,131.89 "
62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC","$57,609.54 "
63,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC","$48,239.44 "
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"$48,038.67 "
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"$28,620.10 "
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"$25,377.18 "
67,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,"$35,885.88 "
68,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,"$24,596.48 "
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$22,978.38 "
70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"$38,096.95 "
71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"$26,208.00 "
72,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,"$17,836.00 "
73,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,"$36,907.52 "
74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"$27,612.17 "
75,VIRAL MENINGITIS W CC/MCC,"$8,936.67 "
76,VIRAL MENINGITIS W/O CC/MCC,"$9,512.18 "
77,HYPERTENSIVE ENCEPHALOPATHY W MCC,"$43,443.45 "
78,HYPERTENSIVE ENCEPHALOPATHY W CC,"$22,107.06 "
79,HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,"$13,630.19 "
80,NONTRAUMATIC STUPOR & COMA W MCC,"$49,374.44 "
81,NONTRAUMATIC STUPOR & COMA W/O MCC,"$25,026.73 "
82,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC","$66,301.13 "
83,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC","$33,692.34 "
84,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC","$20,290.77 "
85,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC","$44,299.84 "
86,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC","$28,910.65 "
87,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC","$17,271.48 "
88,CONCUSSION W MCC,"$24,161.37 "
89,CONCUSSION W CC,"$29,029.89 "
90,CONCUSSION W/O CC/MCC,"$29,496.93 "
91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"$37,112.94 "
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$25,867.05 "
93,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"$33,390.68 "
94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,"$68,197.58 "
95,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,"$65,933.25 "
96,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,"$46,521.20 "
97,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,"$92,252.75 "
98,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,"$60,209.66 "
99,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,"$39,744.19 "
100,SEIZURES W MCC,"$37,836.59 "
101,SEIZURES W/O MCC,"$18,812.41 "
102,HEADACHES W MCC,"$28,238.94 "
103,HEADACHES W/O MCC,"$23,064.66 "
113,ORBITAL PROCEDURES W CC/MCC,"$60,920.86 "
114,ORBITAL PROCEDURES W/O CC/MCC,"$37,326.38 "
115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,"$27,698.67 "
116,INTRAOCULAR PROCEDURES W CC/MCC,"$26,008.25 "
117,INTRAOCULAR PROCEDURES W/O CC/MCC,"$19,677.14 "
121,ACUTE MAJOR EYE INFECTIONS W CC/MCC,"$44,711.18 "
122,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,"$10,468.04 "
123,NEUROLOGICAL EYE DISORDERS,"$27,431.14 "
124,OTHER DISORDERS OF THE EYE W MCC,"$16,642.31 "
125,OTHER DISORDERS OF THE EYE W/O MCC,"$22,033.49 "
129,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,"$96,005.40 "
130,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,"$61,946.42 "
131,CRANIAL/FACIAL PROCEDURES W CC/MCC,"$95,997.90 "
132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,"$53,895.99 "
133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC","$116,188.03 "
134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC","$37,818.37 "
135,SINUS & MASTOID PROCEDURES W CC/MCC,"$55,694.49 "
136,SINUS & MASTOID PROCEDURES W/O CC/MCC,"$40,731.06 "
137,MOUTH PROCEDURES W CC/MCC,"$37,635.39 "
138,MOUTH PROCEDURES W/O CC/MCC,"$21,540.95 "
139,SALIVARY GLAND PROCEDURES,"$36,953.30 "
146,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC","$32,054.84 "
147,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC","$41,699.93 "
148,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC","$18,065.21 "
149,DYSEQUILIBRIUM,"$19,344.97 "
150,EPISTAXIS W MCC,"$15,878.23 "
151,EPISTAXIS W/O MCC,"$18,311.05 "
152,OTITIS MEDIA & URI W MCC,"$28,242.76 "
153,OTITIS MEDIA & URI W/O MCC,"$11,863.70 "
154,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC","$32,730.05 "
155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC","$20,990.86 "
156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC","$14,612.92 "
157,DENTAL & ORAL DISEASES W MCC,"$26,408.45 "
158,DENTAL & ORAL DISEASES W CC,"$22,252.58 "
159,DENTAL & ORAL DISEASES W/O CC/MCC,"$14,364.60 "
163,MAJOR CHEST PROCEDURES W MCC,"$88,860.60 "
164,MAJOR CHEST PROCEDURES W CC,"$61,462.41 "
165,MAJOR CHEST PROCEDURES W/O CC/MCC,"$50,493.24 "
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"$110,494.14 "
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"$49,991.04 "
168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,"$37,564.03 "
175,PULMONARY EMBOLISM W MCC,"$33,124.64 "
176,PULMONARY EMBOLISM W/O MCC,"$21,613.72 "
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"$29,495.76 "
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"$24,995.90 "
179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,"$19,423.50 "
180,RESPIRATORY NEOPLASMS W MCC,"$31,887.74 "
181,RESPIRATORY NEOPLASMS W CC,"$26,469.29 "
182,RESPIRATORY NEOPLASMS W/O CC/MCC,"$31,520.37 "
183,MAJOR CHEST TRAUMA W MCC,"$34,186.12 "
184,MAJOR CHEST TRAUMA W CC,"$29,576.70 "
185,MAJOR CHEST TRAUMA W/O CC/MCC,"$30,078.06 "
186,PLEURAL EFFUSION W MCC,"$24,918.94 "
187,PLEURAL EFFUSION W CC,"$19,336.25 "
189,PULMONARY EDEMA & RESPIRATORY FAILURE,"$24,882.67 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$22,266.49 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$18,291.75 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"$14,668.72 "
193,SIMPLE PNEUMONIA & PLEURISY W MCC,"$25,276.86 "
194,SIMPLE PNEUMONIA & PLEURISY W CC,"$17,129.82 "
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"$11,270.07 "
196,INTERSTITIAL LUNG DISEASE W MCC,"$34,622.08 "
197,INTERSTITIAL LUNG DISEASE W CC,"$17,857.78 "
198,INTERSTITIAL LUNG DISEASE W/O CC/MCC,"$21,526.44 "
199,PNEUMOTHORAX W MCC,"$35,763.88 "
200,PNEUMOTHORAX W CC,"$26,040.36 "
201,PNEUMOTHORAX W/O CC/MCC,"$15,161.29 "
202,BRONCHITIS & ASTHMA W CC/MCC,"$17,312.98 "
203,BRONCHITIS & ASTHMA W/O CC/MCC,"$9,604.81 "
204,RESPIRATORY SIGNS & SYMPTOMS,"$16,331.44 "
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"$31,272.49 "
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"$24,249.34 "
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"$99,626.40 "
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"$50,475.02 "
215,OTHER HEART ASSIST SYSTEM IMPLANT,"$160,612.74 "
216,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,"$254,709.31 "
217,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,"$212,068.62 "
219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,"$165,510.26 "
220,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,"$131,390.48 "
221,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,"$106,441.92 "
222,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,"$235,110.67 "
224,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,"$264,688.35 "
225,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,"$183,134.88 "
226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,"$221,676.29 "
227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,"$204,357.15 "
228,OTHER CARDIOTHORACIC PROCEDURES W MCC,"$169,333.49 "
229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,"$173,803.80 "
231,CORONARY BYPASS W PTCA W MCC,"$173,656.66 "
232,CORONARY BYPASS W PTCA W/O MCC,"$199,199.89 "
233,CORONARY BYPASS W CARDIAC CATH W MCC,"$168,854.93 "
234,CORONARY BYPASS W CARDIAC CATH W/O MCC,"$125,737.69 "
235,CORONARY BYPASS W/O CARDIAC CATH W MCC,"$121,213.54 "
236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,"$94,585.03 "
239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,"$92,600.32 "
240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,"$65,489.45 "
241,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC,"$112,109.04 "
241,PEPTIC ULCER & GASTRITIS,"$44,288.25 "
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"$106,484.12 "
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"$80,270.60 "
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"$66,068.41 "
245,AICD GENERATOR PROCEDURES,"$178,253.26 "
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"$128,578.23 "
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"$100,305.03 "
248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"$80,869.31 "
249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,"$101,042.98 "
250,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,"$104,455.88 "
251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,"$69,176.07 "
252,OTHER VASCULAR PROCEDURES W MCC,"$77,893.49 "
253,OTHER VASCULAR PROCEDURES W CC,"$69,566.41 "
254,OTHER VASCULAR PROCEDURES W/O CC/MCC,"$59,927.41 "
255,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,"$79,913.51 "
256,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,"$52,472.12 "
259,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,"$175,141.68 "
260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,"$215,960.18 "
261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,"$59,362.23 "
262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,"$34,386.62 "
263,VEIN LIGATION & STRIPPING,"$62,078.92 "
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"$81,164.74 "
265,AICD LEAD PROCEDURES,"$46,564.58 "
266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,"$173,186.03 "
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,"$137,873.81 "
268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,"$117,709.55 "
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,"$81,133.33 "
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,"$128,151.30 "
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,"$114,941.59 "
272,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,"$103,682.11 "
273,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,"$146,606.11 "
274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,"$133,517.01 "
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","$30,750.03 "
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","$26,471.50 "
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","$25,602.83 "
282,DISORDERS OF PANCREAS EXCEPT MALIGNANCY,"$15,142.93 "
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC","$40,661.45 "
284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC","$15,645.68 "
285,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC","$4,937.85 "
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","$52,208.55 "
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","$40,850.58 "
288,ACUTE & SUBACUTE ENDOCARDITIS W MCC,"$59,828.44 "
289,ACUTE & SUBACUTE ENDOCARDITIS W CC,"$55,585.56 "
291,HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"$23,071.39 "
292,HEART FAILURE & SHOCK W CC,"$16,766.66 "
293,HEART FAILURE & SHOCK W/O CC/MCC,"$13,314.66 "
294,DEEP VEIN THROMBOPHLEBITIS W CC/MCC,"$85,178.60 "
296,"CARDIAC ARREST, UNEXPLAINED W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)","$48,263.62 "
297,"CARDIAC ARREST, UNEXPLAINED W CC","$37,203.73 "
298,"CARDIAC ARREST, UNEXPLAINED W/O CC/MCC","$7,887.07 "
299,PERIPHERAL VASCULAR DISORDERS W MCC,"$35,251.08 "
300,PERIPHERAL VASCULAR DISORDERS W CC,"$24,394.89 "
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"$19,462.42 "
302,ATHEROSCLEROSIS W MCC,"$23,473.97 "
303,ATHEROSCLEROSIS W/O MCC,"$15,344.12 "
304,HYPERTENSION W MCC,"$24,969.25 "
305,HYPERTENSION W/O MCC,"$16,615.64 "
306,CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,"$24,111.27 "
307,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,"$19,949.34 "
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"$22,521.80 "
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"$15,232.41 "
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"$9,485.99 "
311,ANGINA PECTORIS,"$15,357.59 "
312,SYNCOPE & COLLAPSE,"$22,223.26 "
313,CHEST PAIN,"$15,454.62 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"$39,790.61 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"$27,077.26 "
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"$19,212.49 "
326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC","$141,840.00 "
327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC","$69,881.60 "
328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC","$36,186.47 "
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"$137,662.86 "
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"$65,245.29 "
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$50,231.02 "
332,RECTAL RESECTION W MCC,"$62,487.47 "
333,RECTAL RESECTION W CC,"$36,814.24 "
334,RECTAL RESECTION W/O CC/MCC,"$58,741.73 "
335,PERITONEAL ADHESIOLYSIS W MCC,"$72,324.02 "
336,PERITONEAL ADHESIOLYSIS W CC,"$60,471.96 "
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,"$45,807.17 "
338,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,"$72,761.69 "
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,"$44,897.70 "
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$34,849.71 "
341,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,"$90,511.73 "
342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,"$53,983.04 "
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$28,486.05 "
344,MINOR SMALL & LARGE BOWEL PROCEDURES W MCC,"$75,317.38 "
345,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,"$25,110.92 "
346,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$48,887.57 "
347,ANAL & STOMAL PROCEDURES W MCC,"$83,281.65 "
348,ANAL & STOMAL PROCEDURES W CC,"$35,814.83 "
349,ANAL & STOMAL PROCEDURES W/O CC/MCC,"$31,260.90 "
350,INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,"$86,924.96 "
351,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,"$53,927.40 "
352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,"$25,400.04 "
353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,"$101,172.91 "
354,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,"$45,922.57 "
355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,"$53,893.36 "
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,"$96,810.87 "
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,"$72,260.61 "
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"$44,100.47 "
368,MAJOR ESOPHAGEAL DISORDERS W MCC,"$40,234.58 "
369,MAJOR ESOPHAGEAL DISORDERS W CC,"$25,361.15 "
370,MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,"$17,681.82 "
371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"$40,950.28 "
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"$24,821.57 "
373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,"$14,846.52 "
374,DIGESTIVE MALIGNANCY W MCC,"$32,194.01 "
375,DIGESTIVE MALIGNANCY W CC,"$30,758.16 "
376,DIGESTIVE MALIGNANCY W/O CC/MCC,"$42,722.40 "
377,G.I. HEMORRHAGE W MCC,"$32,779.25 "
378,G.I. HEMORRHAGE W CC,"$23,339.78 "
379,G.I. HEMORRHAGE W/O CC/MCC,"$16,303.39 "
380,COMPLICATED PEPTIC ULCER W MCC,"$24,321.43 "
381,COMPLICATED PEPTIC ULCER W CC,"$27,763.37 "
382,COMPLICATED PEPTIC ULCER W/O CC/MCC,"$25,646.95 "
383,UNCOMPLICATED PEPTIC ULCER W MCC,"$35,287.39 "
384,UNCOMPLICATED PEPTIC ULCER W/O MCC,"$25,934.18 "
385,INFLAMMATORY BOWEL DISEASE W MCC,"$27,895.28 "
386,INFLAMMATORY BOWEL DISEASE W CC,"$27,773.11 "
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"$25,672.47 "
388,G.I. OBSTRUCTION W MCC,"$32,720.23 "
389,G.I. OBSTRUCTION W CC,"$19,659.92 "
390,G.I. OBSTRUCTION W/O CC/MCC,"$13,310.71 "
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","$29,304.01 "
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","$17,030.40 "
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$32,305.83 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"$24,606.47 "
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$19,180.55 "
405,"PANCREAS, LIVER & SHUNT PROCEDURES W MCC","$130,181.45 "
406,"PANCREAS, LIVER & SHUNT PROCEDURES W CC","$95,312.54 "
407,"PANCREAS, LIVER & SHUNT PROCEDURES W/O CC/MCC","$58,614.30 "
408,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC,"$72,950.15 "
409,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC,"$56,312.52 "
410,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC/MCC,"$65,450.64 "
414,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,"$103,120.25 "
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,"$57,056.30 "
416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,"$46,239.06 "
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"$50,273.11 "
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"$42,083.86 "
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"$37,123.79 "
420,HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,"$81,190.47 "
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,"$62,863.41 "
422,HEPATOBILIARY DIAGNOSTIC PROCEDURES W/O CC/MCC,"$53,000.81 "
