CODE,DESCRIPTION,CHARGE AMOUNT
5517453,4.5 MM MALLEOLAR SCREW,81.00
5517461,4.5 MM NARROW 10 HOLES,"1,006.00"
5517479,4.5 MM NARROW 11 HOLES,"1,084.00"
5517487,4.5 MM NARROW 12 HOLES,"1,162.00"
5517495,4.5 MM NARROW 14 HOLES,"1,320.00"
5517511,4.5 MM NARROW 16 HOLES,"1,533.00"
5517529,4.5 MM NARROW 4 HOLES,634.00
5517537,4.5 MM NARROW 5 HOLES,679.00
5517545,4.5 MM NARROW 6 HOLES,724.00
5517552,4.5 MM NARROW 7 HOLES,836.00
5517560,4.5 MM NARROW 8 HOLES,881.00
5517578,4.5 MM NARROW 9 HOLES,925.00
5517586,4.5 MM SHAFT SCREW 28-40M,42.00
5517594,4.5 MM SHAFT SCREW 42-50M,48.00
5517610,4.5 MM T-PLATE 4 HOLES,"1,129.00"
5517628,4.5 MM T-PLATE 6 HOLES,"1,298.00"
5517636,4.5 MM T-PLATE 8 HOLES,"1,497.00"
7000755,5-HIAA,43.00
5517644,5.0 MM LOCKING SCREW SLF-TPNG,270.00
5517651,5.0 MM SCHANZ SCREW,311.00
7100407,500 CC SALINE,60.00
9401407,500CC SALINE,60.00
5517958,6.5 MM CANCELLOUS 16MM/100,90.00
5517966,6.5 MM CANCELLOUS 16MM/105,90.00
5517974,6.5 MM CANCELLOUS 16MM/110,90.00
5517677,6.5 MM CANCELLOUS 16MM/30,84.00
5517685,6.5 MM CANCELLOUS 16MM/35,84.00
5517693,6.5 MM CANCELLOUS 16MM/40,84.00
5517719,6.5 MM CANCELLOUS 16MM/45,84.00
5517727,6.5 MM CANCELLOUS 16MM/50,84.00
5517735,6.5 MM CANCELLOUS 16MM/55,84.00
5517743,6.5 MM CANCELLOUS 16MM/60,84.00
5517750,6.5 MM CANCELLOUS 16MM/65,84.00
5517768,6.5 MM CANCELLOUS 16MM/70,84.00
5517776,6.5 MM CANCELLOUS 16MM/75,84.00
5517784,6.5 MM CANCELLOUS 16MM/80,84.00
5517792,6.5 MM CANCELLOUS 16MM/85,90.00
5517818,6.5 MM CANCELLOUS 16MM/90,90.00
5517826,6.5 MM CANCELLOUS 16MM/95,90.00
5517982,6.5 MM CANCELLOUS 32MM/100,90.00
5517990,6.5 MM CANCELLOUS 32MM/105,90.00
5518014,6.5 MM CANCELLOUS 32MM/110,90.00
5517834,6.5 MM CANCELLOUS 32MM/45,84.00
5517842,6.5 MM CANCELLOUS 32MM/50,84.00
5517859,6.5 MM CANCELLOUS 32MM/55,84.00
5517867,6.5 MM CANCELLOUS 32MM/60,84.00
5517875,6.5 MM CANCELLOUS 32MM/65,84.00
5517883,6.5 MM CANCELLOUS 32MM/70,84.00
5517891,6.5 MM CANCELLOUS 32MM/75,84.00
5517917,6.5 MM CANCELLOUS 32MM/80,84.00
5517925,6.5 MM CANCELLOUS 32MM/85,90.00
5517933,6.5 MM CANCELLOUS 32MM/90,90.00
5517941,6.5 MM CANCELLOUS 32MM/95,90.00
5517669,6.5 MM CANCELLOUS FULLY T,84.00
3701018,6F INTRODURN KIT,94.00
3701000,9F INTRODURN KIT,94.00
6810238,A AND D OINT 42.5 GM,10.00
7000824,"A. PULLULANS AB, EA",27.00
7010374,A1 ANTITRYPSIN PHENOTYPE,64.00
3700226,ABD PARACENTESIS,622.00
3300225,ABD PARACENTESIS,622.00
3400231,ABD PARACENTESIS,622.00
3500246,ABD PARACENTESIS,622.00
3600244,ABD PARACENTESIS,622.00
6105209,ABD PARACENTESIS/NP,510.00
6817829,ABILIFY 10MG TABLET,37.00
7001001,ABO TYPE,32.00
6813455,ACCOLATE 20MG TABLET,4.00
6820351,ACCT/HYDRO (NORW)10/325MG TAB,10.00
6816961,ACCUNEB,12.00
6812143,ACCUPRIL 10MG TABLET,3.00
9300112,ACE,9.00
9400664,ACE WRAP,9.00
7000748,ACE(ANGIO.CONVERTING ENZYME),65.00
7021900,ACETAMINOPHEN,94.00
6816516,ACETAMINOPHEN 160MG/5ML,6.00
6819452,ACETAMINOPHEN 80MG SUPPOSITORY,8.00
6810758,ACETAMINOPHEN SUP 120MG,18.00
6810766,ACETAMINOPHEN SUP 325MG,10.00
6810774,ACETAMINOPHEN SUP 650MG,11.00
6812135,ACETAMINOPHEN/COD 5 ML,6.00
7007594,ACETYLCHOLINE RECEPTOR AB.,266.00
6817341,ACETYLCYSTEINE 10% SOL. 4ML,71.00
6819767,ACETYLCYSTEINE 6G/30ML VIAL,575.00
6817365,ACETYSTEINE 20% 4ML,47.00
7000946,ACH R BINDING AB.,266.00
7008006,ACID FAST SMEAR,31.00
7016504,ACID PHOS (RIA),72.00
5542186,ACRYSOF IQ RESTOR,"2,357.00"
5542159,ACRYSOF IQ TORIC INTRAOCULAR,"1,306.00"
6820104,ACTEMRA 80MG/4ML,634.00
7026305,ACTH,249.00
6804231,ACTIFED TABS,4.00
6802854,ACTIVASE(TPA) 100 MG,"6,741.00"
6817704,ACTOS 15MG TABLET,29.00
6815732,ACTOS 30MG,32.00
6815781,ACTOS 45MG,36.00
6820344,ACYCLOVIR 1GM VIAL,102.00
6820211,ACYCLOVIR 5% OINT 5GM TUBE,325.00
3900825,ADD'L PUSH SAME DRUG,72.00
7058407,ADDITIONAL GLUCOSE,24.00
6802862,ADENOCARD 6 MG/2 ML,67.00
6805956,ADENOSCAN 90 MG,473.00
7002589,"ADENOVIRUS, DFA",49.00
7000351,"ADENOVIRUS, EIA",72.00
7000094,ADH,202.00
9300328,ADJUST/ HORSESHOE SUPPORT,135.00
9300310,ADJUSTABLE DONUT,79.00
6802870,ADRENALIN 1 ML AMP,16.00
6816136,ADVAIR 100/50,184.00
6817621,ADVAIR 115/21 MCG INHALATION,0.00
6817670,ADVAIR 230/21 MCG INHALATION,0.00
6816185,ADVAIR 250/50,219.00
6817571,ADVAIR 45/21 MCG INHALATION,0.00
6816235,ADVAIR 500/50,300.00
6817167,AEROBID,55.00
6900906,AEROCHAMBER,59.00
6908594,AEROSOL MASK,8.00
6900161,AEROSOL TX EVAL/DAILY,93.00
7026008,AFB CULTURE,113.00
7059678,AFP-CHORIONIC GONADOTROPI,21.00
7059686,AFP-ESTRIOL,51.00
7059660,AFP-SERUM,34.00
6804124,AFRIN NOSE DROPS 20 ML,55.00
6804132,AFRIN SPRAY 15ML,30.00
6818074,AGGRENOX 25MG/200MG CAPSULE,9.00
9421025,AIRCAST,37.00
5904453,AIRWAY EXCHANGE CATHETER,135.00
6906259,AIRWAY INTRODUCER BOUGIE/STYLE,17.00
6804249,AKINETON 2 MG,4.00
6812510,AKWA TEARS DROPS,7.00
6816680,ALAMAG 60 ML,6.00
7001902,ALBUMIN,27.00
6802888,ALBUMIN (HUMAN) 50 ML,232.00
7042609,ALBUMIN URINE 24 HR,48.00
7060163,"ALBUMIN, BODY FLUID",72.00
7000086,ALBUMIN-CSF,59.00
6812986,ALBUMINAR-5 IV SOLUTION,85.00
6817316,ALBUTEROL 0.083% NEB,12.00
6804272,ALBUTEROL 2 MG UD,4.00
6801450,ALBUTEROL INHALER 17 GM,60.00
6804256,ALBUTEROL LIQ 5ML,4.00
6819254,ALBUTEROL/IPRATROPIUM NEB SOL,12.00
7026602,ALCOHOL,94.00
5010103,ALCOHOL,8.00
3800323,"ALCOHOL, 4 OZ BOTTLE",6.00
6804280,ALDACTONE 25 MG UD,54.00
7026701,ALDOLASE,92.00
6802896,ALDOMET 250 MG IV,37.00
6804298,ALDORIL-15,61.00
7002009,ALDOSTERONE SERUM,229.00
7001381,"ALDOSTERONE, URINE",174.00
6807655,ALEOMET 250 MG,4.00
7026800,ALK PHOS,25.00
7058811,ALK.PHOS.ISOENZYMES,137.00
6815740,ALLEGRA 60 MG,10.00
7059488,"ALLERGEN, INDIVIDUAL RAST",19.00
7026909,ALPHA FETOPROTEIN,79.00
6817969,ALPRAZOLAM 1MG,9.00
9000027,ALS LEVEL 2,628.00
9000019,ALS LVL I EMERGENCY,435.00
9000100,ALS LVL I NON EMERGENCY,276.00
6804306,ALTACE 2.5 MG,5.00
6816706,ALTACE 5MG,12.00
6804314,ALTERNAGEL 60ML,8.00
7059439,"ALUMINUM, PLASMA/SERUM",112.00
6817118,ALUPENT 4%,12.00
6801468,ALUPENT INHALER 15 ML,46.00
6816276,AMANTADINE SYRUP,8.00
6816169,AMARYL 2 MG,6.00
6804330,AMBIEN 5 MG,11.00
6909780,AMBULATORY BP,235.00
7060262,AMEBIASIS ANTIBODIES,107.00
6818827,AMERICAINE HEMORRHOIDAL OINT,31.00
6801583,AMICAR 500 MG INJ,26.00
6804348,AMICAR 500 MG TAB,232.00
6802904,AMIDATE 40 MG AMP,113.00
7002207,AMIKACIN,89.00
6801591,AMIKIN 500 MG INJ,72.00
7059991,AMINO ACID PROFILE,581.00
3901204,AMINO HOOK,10.00
6800577,AMINOPHYLLIN 250 MG IV,25.00
6800585,AMINOPHYLLIN 500 MG IV,28.00
6820260,AMINOPHYLLINE 250MG/10ML VIAL,87.00
6814685,AMINOSYN II 4.25% IN D10W,252.00
7058852,AMIODARONE,82.00
6812572,AMITRIP/PERPHEN 25-4 TABLET,4.00
7016405,AMITRIPTYLINE,115.00
6810337,AMLACTIN LOTION,31.00
7027006,AMMONIA,90.00
6801476,AMMONIA INHALENTS,4.00
6804397,AMOXICILLIN 125/5ML 5ML,10.00
6804405,AMOXICILLIN 250/5 5ML,16.00
6804413,AMOXICILLIN 250MG P O,4.00
6804421,AMOXICILLIN 500MG P O,5.00
6804389,AMOXICILLIN PED. DROPS,13.00
6819106,AMOXICILLIN/CLAVULAN 600MG/5ML,77.00
6818777,AMP/SULB 3GM VIAL,24.00
7001472,AMPHETAMINES,60.00
7026965,AMPHETAMINES OR METHAMP (OB),57.00
6819197,AMPHOTERICIN B 50MG VIAL,71.00
6811699,AMPICILLIN 2 GM VIAL,27.00
6804447,AMPICILLIN 250 MG CAP,4.00
6804454,AMPICILLIN 250/5ML,24.00
6804462,AMPICILLIN 500 MG CAP,4.00
6802920,AMPICILLIN INJ 125 MG,26.00
6802912,AMPICILLIN INJ 1G *AV,44.00
6802946,AMPICILLIN INJ 250 MG,28.00
6802938,AMPICILLIN INJ 2G,46.00
6802953,AMPICILLIN INJ 500 MG,22.00
6801484,AMYL NITRATE VAP (12),5.00
7002306,"AMYLASE, BODY FLUID",33.00
7027204,AMYLASE-SERUM,34.00
7012107,AMYLASE-URINE,33.00
7010119,ANAEROBE ID,108.00
7017908,ANAEROBIC CULTURE,91.00
6804470,ANAPROX 275 MG,7.00
7052509,ANCA,338.00
7058316,ANDROSTENEDIONE,155.00
6802979,ANECTINE 20 MG/ML 1ML,17.00
5931001,ANES ADM. UNITS,258.00
5900402,ANES TECH COMP 1/4HR INCR,289.00
5904461,"ANES, BIS ECG ELECTRODE",80.00
6790042,ANGIOCATH 18 GA11,19.00
6790083,ANGIOCATH 20 GA11,19.00
7115003,ANODYNE/INFRARED,19.00
7115033,ANODYNE/INFRARED,19.00
9421009,ANODYNE/INFRARED,19.00
9421900,ANODYNE/INFRARED,19.00
6804488,ANSAID 100MG.,7.00
7003205,ANTI DNA,107.00
7001027,ANTI ENDOMYSIAL AB,327.00
7053986,ANTI JO-1,164.00
7001019,ANTI SCL 70,101.00
7058837,ANTI SS-A (RO),101.00
7058845,ANTI SS-B (LA),101.00
7060098,"ANTI-CCP,IGG",49.00
7059595,ANTI-DNA (DOUBLE STRANDED,77.00
7060254,ANTI-DNASE,107.00
7001035,"ANTI-GLIADIN AB,IGA",233.00
7001043,"ANTI-GLIADIN AB,IGG",233.00
7048101,ANTI-HELICOBACTER,83.00
7058878,ANTI-HISTONE,233.00
7015437,ANTI-HU ANTIBODIES,440.00
7010242,ANTI-LKM,62.00
7018906,ANTI-NUCLEAR AB,87.00
7015456,ANTI-RI ANTIBODIES,440.00
7058886,ANTI-RNP,102.00
7058894,ANTI-SM,102.00
7015482,ANTI-YO ANTIBODIES,440.00
6810261,ANTIBIOTIC TOP OINT,7.00
7019102,ANTIBODY I.D.,102.00
7001704,ANTIBODY SCREEN,47.00
7060288,"ANTIBODY, BACTERIUM NES",72.00
7000821,ANTICARDIOLIPIN AB.,168.00
7010358,ANTICHROMATIN ANTIBODIES,77.00
5532304,ANTIFOG WIPES,33.00
7000597,ANTIMICROBIAL SUSC. STUDY,31.00
7008014,ANTIMUSCLE ANTIBODIES,52.00
7000649,ANTITHROMBIN III,166.00
7007149,ANTITRYPSIN,68.00
6810279,ANUSOL HC CR,70.00
6810782,ANUSOL HC SUPPOS,31.00
6810790,ANUSOL OINT 1 OZ,7.00
7059892,APOLIPOPROTEIN B,87.00
5821804,APPLICATION LONG ARM CAST,219.00
5821803,APPLICATION LONG LEG CAST,315.00
5821800,APPLICATION OF SHORT LEG CAST,216.00
5821801,APPLICATION SHORT ARM CAST,265.00
6806616,APRESOLINE  25 MG,4.00
6813851,APRESOLINE 10 MG,4.00
6802995,APRESOLINE 20 MG 1 ML,46.00
6819445,AQUACEL DRESSING,84.00
6803001,AQUAMEPHYTON 10 MG 1 ML,51.00
7107709,AQUATIC THERAPY,72.00
7107790,AQUATIC THERAPY,72.00
9400482,AQUATIC THERAPY W/THERAPEUTIC,72.00
9400428,AQUATIC THERAPY W/THERAPEUTIC,72.00
6819130,ARANESP 100MCG/0.5ML SYRINGE,"1,304.00"
6814487,AREDIA 90MG VIAL,"1,103.00"
6805287,ARICEPT 5 MG,10.00
5821807,ARM ADULT LONG PLASTER,165.00
7100662,ARM IMMOBILIZER,119.00
9400839,ARM IMMOBILIZER,119.00
5821806,ARM PEDS LONG PLASTER,165.00
5800567,ARM SLING,26.00
5014980,ARM SLING,26.00
7100670,ARM SLING,26.00
9400821,ARM SLING,26.00
7059785,ARSENIC,124.00
3701026,ART LINE KIT,54.00
6804496,ARTANE 2 MG,4.00
6905301,ARTERIAL BLOOD GAS ANALYS,161.00
6908974,ARTERIAL PUNCTURE,168.00
5533856,ARTHRO-TRIANGLE KNIFE,113.00
6801120,ARTIFICIAL TEARS,25.00
6804504,ASA EC 81 MG,4.00
6810808,ASA SUPPOS 120MG,7.00
6810816,ASA SUPPOS 325MG,10.00
6810824,ASA SUPPOS 650MG,7.00
6815831,ASACOL 400MG,9.00
6804512,ASCRIPTIN 5 GR (2),4.00
7042807,ASO,47.00
9300047,ASO ANKLE BRACE,90.00
7005931,"ASPERGILLUS FLAVUS AB, EA",65.00
7015648,"ASPERGILLUS FUMIGATUS AB, EA",65.00
7003675,"ASPERGILLUS GLAUCUS AB, EA",65.00
7006827,"ASPERGILLUS NIDULANS AB, EA",65.00
7008572,"ASPERGILLUS NIGER AB, EA",65.00
5800297,ASPIRATION OF ABCESS,428.00
5024203,"ASPIRATOR, SUMP PUMP",224.00
6804546,ASPIRIN 325 MG,4.00
6804553,ASPIRIN 81 MG(CHILDRENS),4.00
6804538,ASPIRIN EC 325,4.00
7002571,ASSAY OF ANDROSTENEDIONE,113.00
7026534,ASSAY OF BENZODIAZAPINES (OB),206.00
7002568,ASSAY OF PROGETERONE 17-D,105.00
7029218,ASSAY OF SOMATOMEDIN-C,222.00
7002583,ASSAY OF TOTAL TESTOSTERONE,99.00
9500346,ASSESSMENT OF APHASIA W/INTER,119.00
9500364,ASSESSMENT OF APHASIA W/INTER,119.00
9400959,ASSIST TECHNOL/ASSESS W/REPORT,130.00
9400599,ASSIST TECHNOL/ASSESS W/REPORT,130.00
6813240,ASTRAMORPH-PF 1MG/ML AMPUL,32.00
6806707,ATARAX 10 MG   MG,4.00
6801617,ATIVAN INJ 2 MG 1 ML,63.00
6803027,ATROPINE 1.0MG SYR,65.00
6819551,ATROPINE 1MG/ML VIAL,15.00
6803019,ATROPINE INJ 0.4-0.8 MG,29.00
6801625,ATROPINE MDV,26.00
6801138,ATROPINE SULFATE OPHTH OI,18.00
6814461,ATROVENT 0.06% SPRAY,76.00
6801492,ATROVENT INHALER,65.00
6804561,AUGMENTIN 125MG/5ML 75 ML,76.00
6804587,AUGMENTIN 200MG/5ML 50ML,113.00
6804579,AUGMENTIN 250MG TABLETS,9.00
6815336,AUGMENTIN 400,26.00
6813588,AUGMENTIN 400-57 SUSPEN,80.00
6804595,AUGMENTIN 500 MG,12.00
6813570,AUGMENTIN 875-125 TABLET,16.00
6801088,AURALGAN OTTIC SOLN 15,46.00
7000508,AUTOLOGOUS DONATION,201.00
7006752,AUTOMATED WBC DIFFERENTIAL,21.00
7042906,AUTOPSY ADULT,"1,172.00"
7042914,AUTOPSY STILLBORN/NEWBORN,411.00
6818157,AVANDIA 2MG TAB,18.00
6816268,AVANDIA 4 MG,18.00
6815997,AVAPRO 150MG,12.00
6811525,AVC CREAM 4 OZ,129.00
6802177,AVEENO BATH,15.00
6816284,AVITENE 5GM,803.00
6818173,AVODART 0.5MG CAPSULE,11.00
6804603,AXID 150 MG,8.00
6812820,AYR SALINE 0.65% NOSE DROPS,8.00
6812812,AYR SALINE 0.65% NOSE SPRAY,8.00
6801633,AZACTM 1 GRAM,78.00
6801641,AZACTM 2 GRAM,115.00
6819007,AZITHROMYCIN 500MG ADD-VANTAGE,87.00
6801500,AZMACORT,95.00
6800593,AZT IV 200 MG,43.00
6804611,AZT SYRUP 10MG/ML 30ML,7.00
6804629,AZULFIDINE 500MG,4.00
6810832,B & O SUPP 16A,11.00
6810840,B & O SUPPOS 30 MG,11.00
6801658,B-12 INJ 1000 MCG,21.00
6800551,"BACITRACIN 50,000",53.00
6813273,BACITRACIN PACKET,4.00
6810287,BACITRICIN OINT. 15GM,9.00
6804645,BACLOFEN 10 MG,4.00
7043003,BACTERIAL ANTIGENS,204.00
6816458,BACTROBAN NASAL,48.00
6810295,BACTROBAN OINT 2%,70.00
5510607,"BAG, BILE",47.00
5010301,"BAG, CONVENIENCE",20.00
5510615,"BAG, ENDO RETRIEVAL",353.00
5010327,"BAG, FLATUS",16.00
5010335,"BAG, IRRIGATION VAGINAL",12.00
5010343,"BAG, LEG",42.00
5010715,"BAG, TOP-FILL",15.00
5010319,"BAG, URINARY",76.00
5505920,"BAG, URINARY",77.00
5800057,BAIR HUGGER BLANKET,73.00
5534144,BAIR HUGGER BLANKET,80.00
6819494,BALANCED SALT SOLUTION 500 ML,81.00
5534110,BALLOON DILA/QUANTUM DISP,331.00
5505879,BALLOON SINUPLASTY SYSTEM,"3,921.00"
5505938,"BANDAGE, ELASTIC",21.00
5010400,"BANDAGE, ELASTIC",22.00
7100548,"BANDAGE, ELASTIC",20.00
9400730,"BANDAGE, ELASTIC",20.00
5517305,"BANDAGE, ELASTIC STERILE",74.00
5010418,"BANDAGE, ELASTOPLAST",31.00
5010426,"BANDAGE, KLING",17.00
5505946,"BANDAGE, KLING",19.00
7100530,"BANDAGE, KLING",17.00
9400722,"BANDAGE, KLING",19.00
5013057,"BANDAGE, X-LARGE",9.00
7001449,BARBITUATES,60.00
7004393,BARBITURATES,60.00
5501200,BARD/PLUG/MESH,568.00
5012653,BARRIER CREAM,26.00
5700117,BASIN SET,79.00
5010509,"BASIN, EMESIS",17.00
9400094,BCBS CASE MANAGEMENT VISIT,119.00
6812168,BECONASE AQ 0.042% SPRAY,94.00
6812275,BENADRYL 12.5 MG/5 ML   30 ML,6.00
6804660,BENADRYL 25 MG CAP,4.00
6804678,BENADRYL 50 MG CAP,4.00
6801666,BENADRYL 50 MG INJ,41.00
6801674,BENADRYL 50 MG SYRINGE,18.00
6804652,BENADRYL ELIXIR 60 ML,9.00
6804686,BENEMID 500 MD UD,5.00
6817654,BENICAR 20MG TABLET,15.00
6804702,BENTYL 10 MG UD,4.00
6812952,BENTYL 20 MG,4.00
6801682,BENTYL INJ 10 MG/ML 2 ML,67.00
7004385,BENZODIAZEPINES,60.00
7001514,BENZODIAZEPINES,60.00
6804710,BENZTROPINE 1 MG,4.00
7004138,BETA 2 MICRGLOBULIN,70.00
7037104,BETA HCG QUANT,100.00
7050909,BETA STREP B,52.00
6811533,BETADINE DOUCHE 1/2 OZ,20.00
6810311,BETAMETHASONE LOT 60ML,57.00
6809602,BETAPACE,292.00
6909303,BI-LEVEL ASST.VENT DAILY,281.00
6908685,BI-LEVEL HEADGEAR,33.00
6908677,BI-LEVEL MASK,59.00
6814479,BIAXIN 250MG/5ML SUSPENSION,62.00
6812903,BIAXIN 500MG TABLET,13.00
6820294,"BICILLIN L-A 600,000 UNIT INJ",178.00
6801708,BICILLIN LA 600,142.00
6804744,BICITRA 30 ML,7.00
6816045,BIDEX DM,5.00
7027600,BILIRUBIN DIRECT,26.00
7027501,BILIRUBIN TOTAL,26.00
7105109,BIODEX EVAL W/WRTN REPORT,119.00
9421835,BIODEX EVAL. W/WRTN REPORT,119.00
9421843,BIODEX TREATMENT,92.00
9421834,BIODEX TREATMENT,92.00
7105208,BIODEX TREATMENT,92.00
7105280,BIODEX TREATMENT,92.00
7100613,BIOFREEZE,26.00
9400763,BIOFREEZE,26.00
5510045,BIOMET CEMENT,878.00
5528690,BIOMET CRUCIATE PLATE(KR),"3,328.00"
5528674,BIOMET FEMUR (KR),"5,014.00"
5534003,BIOMET HIP PREP KIT,323.00
5528682,BIOMET PATELLA (KR),"1,731.00"
5528609,BIOMET TIBIAL BEARING KR,"2,394.00"
5501325,BIOPSY FORCEP,267.00
5532601,BIRCH DISSECTION BALLOON,357.00
3905403,BIRTHING CHARGE,"1,353.00"
3911005,BIRTHING ROOM CARE KIT,47.00
6804751,BISACODYL 5MG TABLET,4.00
6810857,BISACODYL SUPP.,11.00
6813190,BISMUTH SUBGALLATE POWDER,14.00
5534276,BITE BLOCK,21.00
5500213,BLACK P/O SHOE,42.00
6801716,BLACK WIDOW ANTIVENIN,99.00
5700133,BLADDER EVACUATOR,0.00
5333067,BLADDER IRRIGATION,248.00
3700168,BLADDER IRRIGATION,248.00
3600194,BLADDER IRRIGATION,248.00
3500196,BLADDER IRRIGATION,248.00
3400181,BLADDER IRRIGATION,248.00
3300175,BLADDER IRRIGATION,248.00
3200256,BLADDER SCANNER,119.00
5333008,BLADDER SCANNER,119.00
5800267,BLADDER SCANNER,119.00
5504683,"BLADE,LARYNGEAL 4.0MM",699.00
5700422,BLANKETROL BLANKET,52.00
5700430,BLANKETROL PROBE,37.00
7053887,"BLASTOMYCES AB, IGM",119.00
7053895,BLASTOMYCES ANTIBODIES,119.00
7002108,BLEEDING TIME,36.00
6801153,BLEPHAMIDE 00 3.5 G,18.00
6804769,BLOCADREN 10 MG,4.00
5904503,BLOCK/REGIONAL ANES SUPPLIES,191.00
5852646,BLOOD COLLECT PORT A CATH,113.00
5302972,BLOOD COLLECTION PICC HICKMAN,96.00
5800347,BLOOD COLLECTION VAD,113.00
5300454,BLOOD COLLECTION-VAD,113.00
3300134,BLOOD COLLECTION-VAD,113.00
3400140,BLOOD COLLECTION-VAD,113.00
3500154,BLOOD COLLECTION-VAD,113.00
3600152,BLOOD COLLECTION-VAD,113.00
3700127,BLOOD COLLECTION-VAD,113.00
7006604,BLOOD CULTURE,63.00
5306808,BLOOD PATCH,782.00
5821594,BLOOD PATCH,"1,121.00"
3910809,BLOOD PRESSURE/DISP.CUFF INFAN,27.00
7029804,BLOOD SUGAR (F),25.00
7029705,BLOOD SUGAR (R),25.00
5820907,BLOOD TRANSFUSION,340.00
5903703,BLOOD/FLUID WARMER TUBING L72,83.00
9000225,BLS EMERGENCY,366.00
9000209,BLS NON EMERGENCY,230.00
7031008,BMP,31.00
7053911,BNP,232.00
8700015,BODY COMPOSITION,13.00
7047004,BODY FLUID ANALYSIS PANEL,70.00
7013907,BODY FLUID GRAM STAIN,25.00
