Facility,Description,Unit Price,
Cooper University Hospital,ACID PERFUSION(BERNSTEIN) TEST," $1,474.00 ",
Cooper University Hospital,ACTH, $353.00 ,
Cooper University Hospital,ACTIVATED CLOT TIME, $30.00 ,
Cooper University Hospital,ACTIVATED PROTEIN C RESISTANCE, $717.00 ,
Cooper University Hospital,ACUNAV CATHETER," $15,099.00 ",
Cooper University Hospital,ACYCLOVIR, $530.00 ,
Cooper University Hospital,ACYLCARNITINE/QUANTITATIVE EAC, $632.00 ,
Cooper University Hospital,ADACEL/BOOSTRIX(TDAP)0.5ML INJ, $174.00 ,
Cooper University Hospital,ADALIMUMAB ANTIBODY, $350.00 ,
Cooper University Hospital,ADALIMUMAB LEVEL, $807.00 ,
Cooper University Hospital,ADAMTS13 CNV DETECTION - PG, $163.00 ,
Cooper University Hospital,ADAMTS13 SEQUENCING - PG, $163.00 ,
Cooper University Hospital,ADB PARACENTESIS W/IMAGE GUIDE," $2,170.00 ",
Cooper University Hospital,ADB PARACENTESIS W/O IMAGE GUI," $2,191.00 ",
Cooper University Hospital,ADENOSINE 1MG INJ*, $3.00 ,
Cooper University Hospital,"ADENOSINE DEAMINASE, BLOOD CS", $133.00 ,
Cooper University Hospital,"ADENOSINE DEAMINASE, FLUID CS", $419.00 ,
Cooper University Hospital,ADENOVIRUS ABS, $234.00 ,
Cooper University Hospital,"ADENOVIRUS AG, DFA", $194.00 ,
Cooper University Hospital,ADENOVIRUS BY PCR, $132.00 ,
Cooper University Hospital,ADJACENT TISSUE TRANSFER/REARGMT TRUNK 10 SQCM/<," $7,391.00 ",
Cooper University Hospital,ADJNT TIS TRANSFR/REARRANGE TRUNK 10.1-30.0 SQCM," $7,391.00 ",
Cooper University Hospital,ADJT TIS REARGMT EYE/NOSE/EAR/LIP 10.1-30.0 SQCM," $7,391.00 ",
Cooper University Hospital,ADJT TIS TRNS/REARGMT F/C/C/M/N/A/G/H/F 10SQCM/<," $7,391.00 ",
Cooper University Hospital,ADJT TIS TRNSFR/REARGMT SCALP/ARM/LEG 10 SQ CM/<," $7,391.00 ",
Cooper University Hospital,ADJT TIS TRNSFR/REARRGMT E/N/E/L DFCT 10 SQ CM/<," $7,391.00 ",
Cooper University Hospital,ADJT/REARGMT F/C/C/M/N/AX/G/H/F 10.1-30.0 SQ CM," $7,391.00 ",
Cooper University Hospital,ADJT/REARRGMT SCALP/ARM/LEG 10.1-30.0 SQ CM," $7,391.00 ",
Cooper University Hospital,ADM CATH PTA BAL COAT 5X40MM," $6,571.00 ",
Cooper University Hospital,ADM CATH PTA BAL COAT 6X40MM," $6,571.00 ",
Cooper University Hospital,ADMIN HEP B VACCINE, $154.00 ,
Cooper University Hospital,ADMIN INFLUENZA VIRUS VACCINE, $154.00 ,
Cooper University Hospital,ADMIN ONE VACCINE SINGLE/COMBO, $154.00 ,
Cooper University Hospital,ADMIN PNEUMOCOCCAL VACCINE, $154.00 ,
Cooper University Hospital,ADP*, $632.00 ,
Cooper University Hospital,ADRENAL AB, $78.00 ,
Cooper University Hospital,ADULT COLOR FLOW," $2,661.00 ",
Cooper University Hospital,ADULT DOPPLER," $2,661.00 ",
Cooper University Hospital,AGGLUTINATION PER ANTISERA, $52.00 ,
Cooper University Hospital,"AHG,INDIRECT, EACH RGT CELL", $145.00 ,
Cooper University Hospital,AIGIS RX POUCH MED/LRG," $5,270.00 ",
Cooper University Hospital,ALBUMIN, $101.00 ,
Cooper University Hospital,ALBUMIN CS, $17.00 ,
Cooper University Hospital,ALBUMIN FLUID, $31.00 ,
Cooper University Hospital,ALCOHOL BIOMARKERS, $243.00 ,
Cooper University Hospital,ALDOLASE, $164.00 ,
Cooper University Hospital,ALDOSTERONE, $387.00 ,
Cooper University Hospital,ALKALINE PHOS, $58.00 ,
Cooper University Hospital,ALKALINE PHOSPHATASE, $125.00 ,
Cooper University Hospital,"ALLERGEN, IGG", $102.00 ,
Cooper University Hospital,ALPHA 1 ANTITRYPSIN, $213.00 ,
Cooper University Hospital,ALPHA 1 ANTITRYPSIN DEFICIENCY, $346.00 ,
Cooper University Hospital,ALPHA 1 ANTITRYPSIN PHENOTYPE, $105.00 ,
Cooper University Hospital,ALPHA FETO PROT PREG, $586.00 ,
Cooper University Hospital,ALPHA FETO PROTEIN SERUM, $690.00 ,
Cooper University Hospital,ALPHA FETOPROT TUMOR, $586.00 ,
Cooper University Hospital,ALPHA GLOBIN 1/2 GENE ANALYSIS," $1,412.00 ",
Cooper University Hospital,ALPHA SUBUNIT, $101.00 ,
Cooper University Hospital,ALPHA-2 ANTIPLASMIN, $275.00 ,
Cooper University Hospital,ALPHA-2 MACROGLOBULIN, $241.00 ,
Cooper University Hospital,ALPHA-FETAPROTEIN CSF, $113.00 ,
Cooper University Hospital,ALPHA-FETOPROTEIN W/AFP-L3, $242.00 ,
Cooper University Hospital,ALPL GENE ANALYSIS, $882.00 ,
Cooper University Hospital,ALPRAZOLAM 0.25MG TAB, $7.00 ,
Cooper University Hospital,"ALPRAZOLAM, QT, URINE", $389.00 ,
Cooper University Hospital,ALT (SGPT), $40.00 ,
Cooper University Hospital,ALTEPLASE 1MG INJ, $349.00 ,
Cooper University Hospital,ALUMINUM, $292.00 ,
Cooper University Hospital,AMBULATORY EEG MONITORING," $4,428.00 ",
Cooper University Hospital,AMIFOSTINE INJ 500MG/10ML VIAL," $1,090.00 ",
Cooper University Hospital,AMIKACIN, $181.00 ,
Cooper University Hospital,AMINO ACID ANALYSIS PLASMA, $658.00 ,
Cooper University Hospital,AMINO ACID FRAC QUAN," $1,169.00 ",
Cooper University Hospital,AMINOPHYLLINE 250MG/10ML INJ, $13.00 ,
Cooper University Hospital,AMIODARONE, $374.00 ,
Cooper University Hospital,AMITRIPTYLINE, $89.00 ,
Cooper University Hospital,AML/ETO T(8;21)QN PCR," $1,050.00 ",
Cooper University Hospital,AMMONIA, $363.00 ,
Cooper University Hospital,AMMONIUM*, $363.00 ,
Cooper University Hospital,AMNIOCENTESIS, $646.00 ,
Cooper University Hospital,AMNIOTIC FLUID SCAN OD 450-650, $510.00 ,
Cooper University Hospital,AMP F/TH 1/2 JT/PHALANX W/NEURECT W/DIR CLSR," $10,987.00 ",
Cooper University Hospital,AMPHETAMINE CONFIRMATION, $97.00 ,
Cooper University Hospital,AMPHIPHYSIN ANTIBODY," $1,310.00 ",
Cooper University Hospital,AMPLATZER DELIVERY/EXCHANGE CA," $4,058.00 ",
Cooper University Hospital,AMPLATZER OCCLUDER DEVICE," $46,724.00 ",
Cooper University Hospital,AMPLATZER SIZING BALLOON," $1,588.00 ",
Cooper University Hospital,AMPLIA/MRI QUAD CRTD DEFIB," $91,486.00 ",
Cooper University Hospital,AMPUTATION FINGER/THUMB W FLAP," $6,338.00 ",
Cooper University Hospital,AMYLASE, $124.00 ,
Cooper University Hospital,AMYLASE MEDICARE ONLY, $40.00 ,
Cooper University Hospital,"AMYLASE, FLUID", $124.00 ,
Cooper University Hospital,ANA SCREEN, $40.00 ,
Cooper University Hospital,"ANABOLIC STEROIDS,1 OR 2", $733.00 ,
Cooper University Hospital,ANAPLASMA ANTIBODY, $221.00 ,
Cooper University Hospital,"ANAPLASMA DNA,QL PCR", $754.00 ,
Cooper University Hospital,ANDROSTENEDIONE, $506.00 ,
Cooper University Hospital,ANESTHESIA INJ TRIGEMINAL NERV, $806.00 ,
Cooper University Hospital,ANGEL CATHETER/419236," $9,923.00 ",
Cooper University Hospital,ANGIO ADDL VESSEL AFTER BASIC," $7,701.00 ",
Cooper University Hospital,ANGIO EXTREMITY BILAT," $9,226.00 ",
Cooper University Hospital,ANGIO INTERNAL MAMMARY," $3,368.00 ",
Cooper University Hospital,ANGIO LOWER EXTREM UNILATERAL," $10,138.00 ",
Cooper University Hospital,ANGIO LUMBAR/INTERCOSTALS," $9,801.00 ",
Cooper University Hospital,ANGIO PELVIC," $9,639.00 ",
Cooper University Hospital,ANGIO VISCERAL +/-FLUSH AOGRAM," $9,882.00 ",
Cooper University Hospital,"ANGIO, 1ST ORDER BELOW DIAPHRA"," $6,592.00 ",
Cooper University Hospital,"ANGIO, 2ND ORDER-BELOW DIAPHRA"," $6,360.00 ",
Cooper University Hospital,"ANGIO, 3RD ORDER-BELOW DIAPHRA"," $6,913.00 ",
Cooper University Hospital,"ANGIO, EA ADD-BELOW DIAPHRAGM"," $2,763.00 ",
Cooper University Hospital,"ANGIO,CARTD CRBL EA ADD"," $1,930.00 ",
Cooper University Hospital,ANGIOSEAL- 6F/8F," $1,315.00 ",
Cooper University Hospital,ANGIOTEN CONVERT ENZ, $296.00 ,
Cooper University Hospital,ANGIOTENSIN CONV ENZYME CSF, $296.00 ,
Cooper University Hospital,ANGRPH PULMONARY NONSLCTV CATH/VEN NJX RS&I," $3,047.00 ",
Cooper University Hospital,ANKRD26 CNV DETECTION - PG, $163.00 ,
Cooper University Hospital,ANKRD26 SEQUENCING - PG, $163.00 ,
Cooper University Hospital,ANOSCOPY, $417.00 ,
Cooper University Hospital,ANOSCOPY LESION REMOVAL SNARE," $2,617.00 ",
Cooper University Hospital,ANOSCOPY WITH ABLATION," $7,707.00 ",
Cooper University Hospital,ANTI CCP, $308.00 ,
Cooper University Hospital,ANTI GLIADIN AB, $107.00 ,
Cooper University Hospital,ANTI HISTONE AG, $89.00 ,
Cooper University Hospital,ANTI INHIB COAG COMPLEX PER IU, $12.00 ,
Cooper University Hospital,ANTI LIVERKIDNEY MICROSOMAL AB, $261.00 ,
Cooper University Hospital,ANTI MITOCHONDRIAL AB EA*, $319.00 ,
Cooper University Hospital,ANTI NEUTRO CYTO ABS, $301.00 ,
Cooper University Hospital,ANTI NUCLEAR ANTIBODY, $257.00 ,
Cooper University Hospital,ANTI NUCLEAR ANTIBODY QUANT, $195.00 ,
Cooper University Hospital,ANTI STREPTOLYSIN O, $178.00 ,
Cooper University Hospital,ANTI THROMBIN III, $215.00 ,
Cooper University Hospital,ANTI THYROID PEROXIDASE AB, $116.00 ,
Cooper University Hospital,ANTIBIOTIC SCREENING AGAR *, $158.00 ,
Cooper University Hospital,ANTIBODY ELUTED, $273.00 ,
Cooper University Hospital,ANTIBODY IDENT. - ARC PROC, $623.00 ,
Cooper University Hospital,ANTIBODY IDENTIFICATION PANEL, $177.00 ,
Cooper University Hospital,ANTIBODY SCREEN RBC*, $235.00 ,
Cooper University Hospital,ANTIBODY VIRUS NOT ELSE SPECIF, $360.00 ,
Cooper University Hospital,ANTIDIURETIC HORMONE, $152.00 ,
Cooper University Hospital,ANTI-DNA ANTIBODY QUANT, $161.00 ,
Cooper University Hospital,ANTI-HMGCR AB, $544.00 ,
Cooper University Hospital,ANTI-MAG, $209.00 ,
Cooper University Hospital,ANTI-MULLERIAN HORMONE, $119.00 ,
Cooper University Hospital,ANTI-PLATELET AB, $992.00 ,
Cooper University Hospital,ANTITHROMBIN 3 AG, $54.00 ,
Cooper University Hospital,ANTITHYROGLOBIN AB, $196.00 ,
Cooper University Hospital,ANTI-VGKC ANTIBODY," $1,306.00 ",
Cooper University Hospital,AORTIC VALVULOPLASTY," $6,128.00 ",
Cooper University Hospital,APHERESIS PLASMA," $4,843.00 ",
Cooper University Hospital,APHERESIS PLASMA LA," $4,843.00 ",
Cooper University Hospital,APHERESIS WHITE CELLS," $4,211.00 ",
Cooper University Hospital,APHERESIS WHITE CELLS LA," $4,843.00 ",
Cooper University Hospital,"APHERESIS, RED BLOOD CELLS"," $3,875.00 ",
Cooper University Hospital,"APHERESIS, RED BLOOD CELLS LA"," $3,875.00 ",
Cooper University Hospital,APOLIPOPROTEIN, $58.00 ,
Cooper University Hospital,APP HOT/COLD PACKS, $115.00 ,
Cooper University Hospital,APPL CLUBFOOT CAST MOLDING/MANJ LONG/SHORT LEG, $575.00 ,
Cooper University Hospital,APPL HIP SPICA CAST ONE&ONE-HALF SPICA/BOTH LEGS," $1,119.00 ",
Cooper University Hospital,APPL INTERDENTAL FIXATION DEVICE NON-FX/DISLC," $5,364.00 ",
Cooper University Hospital,APPL LONG ARM SPLINT STATIC, $627.00 ,
Cooper University Hospital,APPL SPLINT SHORT ARM STATIC, $420.00 ,
Cooper University Hospital,APPLICATION CAST HAND & LOWER FOREARM GAUNTLET, $639.00 ,
Cooper University Hospital,APPLICATION CAST SHOULDER HAND LONG ARM," $1,119.00 ",
Cooper University Hospital,"APPLICATION CAST, FINGER", $300.00 ,
Cooper University Hospital,APPLICATION FINGER SPLINT STATIC, $280.00 ,
Cooper University Hospital,APPLICATION HAND/FINGER STRAP, $354.00 ,
Cooper University Hospital,APPLICATION TOE STRAPPING, $118.00 ,
Cooper University Hospital,APPLY BONE FIXATION DEVICE," $8,105.00 ",
Cooper University Hospital,APT DOWNEY FETAL HGB, $51.00 ,
Cooper University Hospital,"AQUAPORIN-4 AB,IGG,CBA"," $1,907.00 ",
Cooper University Hospital,ARACHADONIC ACID*, $632.00 ,
Cooper University Hospital,ARG1 GENE ANALYSIS," $4,410.00 ",
Cooper University Hospital,"ARSENIC, URINE", $300.00 ,
Cooper University Hospital,ART UPPER EXT UNILAT LIMIT, $722.00 ,
Cooper University Hospital,ARTERIAL PUNCTURE BLOOD, $367.00 ,
Cooper University Hospital,ARTHROCENT INTERMED JNT W/US, $893.00 ,
Cooper University Hospital,ARTHROCENT MAJOR JOINT W/US GU, $893.00 ,
Cooper University Hospital,ARTHROCENT SM JNT W/O US GUID, $893.00 ,
Cooper University Hospital,ARTHROCENT SM JNT W/US GU, $893.00 ,
Cooper University Hospital,ARTHROCENTESIS INTERMED JOINT, $897.00 ,
Cooper University Hospital,ARTHROCENTESIS MJR JOINT/BURSA, $897.00 ,
Cooper University Hospital,ARTHROGRAM ELBOW," $2,613.00 ",
Cooper University Hospital,ARTHRT ACROMCLAV/STRNCLAV JT W/BX&/EXC CRTLG," $12,465.00 ",
Cooper University Hospital,ARYSM VASC MALFRMJ IA EMBOLIZATION," $10,334.00 ",
Cooper University Hospital,ASCENDING AO ANGIOGRAPHY, $345.00 ,
Cooper University Hospital,ASD CLOSURE PERCUTANEOUS," $50,137.00 ",
Cooper University Hospital,ASP FLD PAN CYST MCR ONLY," $13,676.00 ",
Cooper University Hospital,ASP/INJ RENAL PELVIS PERC," $4,886.00 ",
Cooper University Hospital,ASPA(CANAVAN)GENE ANALYSIS, $882.00 ,
Cooper University Hospital,ASPERGILLIS ANTIGEN, $367.00 ,
Cooper University Hospital,ASPERGILLUS ABS, $398.00 ,
Cooper University Hospital,ASPIRATE PLEURA W/IMAGINIG," $2,148.00 ",
Cooper University Hospital,ASPIRATION&/INJECTION GANGLION CYST ANY LOCATJ," $1,153.00 ",
Cooper University Hospital,ASPIRIN 325MG TAB, $7.00 ,
Cooper University Hospital,ASPIRIN 81MG CHEWABLE TABLET, $7.00 ,
Cooper University Hospital,ASSMT & CARE PLN PT COG IMP, $323.00 ,
Cooper University Hospital,AST (SGOT), $40.00 ,
Cooper University Hospital,ATROPINE SUL 1MG/10ML JECT, $21.00 ,
Cooper University Hospital,ATTAIN SHEATH," $3,625.00 ",
Cooper University Hospital,"AUDIOMETRY, AIR AND BONE", $645.00 ,
Cooper University Hospital,B HENSELAE IGG/IGM TITER, $78.00 ,
Cooper University Hospital,B12, $112.00 ,
Cooper University Hospital,BABESIA AB, $89.00 ,
Cooper University Hospital,BACTERIAL 16S RDNA SEQUENCING," $1,319.00 ",
Cooper University Hospital,BACTERIAL DNA DETECTION 16SPCR, $356.00 ,
Cooper University Hospital,BACTICARD STREP ID, $45.00 ,
Cooper University Hospital,BAER STUDY COMPREHENSIVE," $1,304.00 ",
Cooper University Hospital,BAL BRONCHOSCOPY LAVAGE," $4,568.00 ",
Cooper University Hospital,BAL DILA URET STRIC W/IMA, $993.00 ,
Cooper University Hospital,BALLOON ACH MAPPING CATH 20MM," $3,969.00 ",
Cooper University Hospital,BALLOON ANGIOSCULPT VAR SIZES," $3,528.00 ",
Cooper University Hospital,BALLOON FOR LARIAT," $2,867.00 ",
Cooper University Hospital,BAND TRANSRADIAL, $245.00 ,
Cooper University Hospital,BARBITURATES CONFIRMATION, $97.00 ,
Cooper University Hospital,BARD TRANSSEPTAL SHEATH (CHANN," $1,145.00 ",
Cooper University Hospital,BARIUM ENEMA W/WO KUB," $2,581.00 ",
Cooper University Hospital,BARIUM ENEMA/AIR CONTRAST," $2,880.00 ",
Cooper University Hospital,"BARTONELLA DNA, PCR QL", $830.00 ,
Cooper University Hospital,BASIC DOSIMETRY CALCULATION, $769.00 ,
Cooper University Hospital,BASIC DOSIMETRY CALCULATION RP, $842.00 ,
Cooper University Hospital,BASIC METABOLIC CHEM PANEL, $63.00 ,
Cooper University Hospital,"B-CELLS, TOTAL", $67.00 ,
Cooper University Hospital,BCG PER INSTALL, $412.00 ,
Cooper University Hospital,BCKDHB(MAPLE SYRUP)GENE ANALYS, $882.00 ,
Cooper University Hospital,BCR/ABL1 MAJOR BREAKPNT QL/QT," $3,635.00 ",
Cooper University Hospital,BCR/ABL1 MINOR BREAKPNT QL/QT, $782.00 ,
Cooper University Hospital,BEHAV/QUAL ANALYSIS VOICE/RESO, $520.00 ,
Cooper University Hospital,BENZOCAINE 20% SPRAY, $19.00 ,
Cooper University Hospital,BENZODIAZEPINE CONFIRMATION, $97.00 ,
Cooper University Hospital,BETA 2 GLYCOPROTEIN, $96.00 ,
Cooper University Hospital,BETA 2 MICROGLOBULIN, $231.00 ,
Cooper University Hospital,BETA LACTAMASE DISK, $37.00 ,
Cooper University Hospital,BETA STREP GPB SCREEN, $158.00 ,
Cooper University Hospital,BETA-2-TRANSFERRIN," $1,203.00 ",
Cooper University Hospital,BETA-HYDROXYBUTYRATE QUANTITAT, $194.00 ,
Cooper University Hospital,BG CHEMSTRIP TEST, $44.00 ,
Cooper University Hospital,BILAT RIBS W CHEST MIN 4 VIEWS, $816.00 ,
Cooper University Hospital,BILATERAL RIBS 3 VIEWS, $664.00 ,
Cooper University Hospital,BILE ACID FRACTION, $138.00 ,
Cooper University Hospital,"BILE ACIDS, TOTAL", $56.00 ,
Cooper University Hospital,BILIARY DRAINAGE, $160.00 ,
Cooper University Hospital,"BILIRUBIN,DIRECT", $57.00 ,
Cooper University Hospital,"BILIRUBIN,TOTAL", $23.00 ,
Cooper University Hospital,BIOFEEDBACK PEINEAL MUSCLES, $199.00 ,
Cooper University Hospital,BIOPSY BREAST INCISIONAL," $10,316.00 ",
Cooper University Hospital,BIOPSY BREAST PERC," $2,654.00 ",
Cooper University Hospital,"BIOPSY BREAST,NEEDLE CORE"," $2,474.00 ",
Cooper University Hospital,BIOPSY LYMPH NODE," $2,756.00 ",
Cooper University Hospital,BIOPSY MUSCLE DEEP," $6,995.00 ",
Cooper University Hospital,BIOPSY MUSCLE PERC NEEDLE," $4,660.00 ",
Cooper University Hospital,BIOPSY NAIL UNIT SEPARATE PROCEDURE," $2,700.00 ",
Cooper University Hospital,BIOPSY NEEDLE PLEURA," $3,998.00 ",
Cooper University Hospital,"BIOPSY OF BREAST, NEEDLE CORE"," $2,474.00 ",
Cooper University Hospital,BIOPSY OF LIP, $842.00 ,
Cooper University Hospital,BIOPSY OF PENIS," $5,702.00 ",
Cooper University Hospital,BIOPSY SALIVARY GLAND NEEDLE," $2,551.00 ",
Cooper University Hospital,BIOPSY SKIN SUBQ&/MUCOUS MEMBRANE EA ADDL LESN," $1,465.00 ",
Cooper University Hospital,BIOPSY TONGUE ANT TWO THIRDS," $2,735.00 ",
Cooper University Hospital,"BIOPSY,VESTIBULE OF MOUTH"," $1,806.00 ",
Cooper University Hospital,"BIOTIDINASE, QUANT", $392.00 ,
Cooper University Hospital,BIOTINIDASE DEFICIENCY," $1,700.00 ",
Cooper University Hospital,BIOTRONIK BIV ICD W REMOTE MON," $90,261.00 ",
Cooper University Hospital,BIOTRONIK DUAL CHAMBER ICD," $72,742.00 ",
Cooper University Hospital,BIOTRONIK DUAL CHAMBER PPG," $21,896.00 ",
Cooper University Hospital,BIOTRONIK ICD LEADS," $21,896.00 ",
Cooper University Hospital,BIOTRONIK PPM LEAD," $2,677.00 ",
Cooper University Hospital,BIOTRONIK SINGLE CHAMBER ICD," $72,742.00 ",
Cooper University Hospital,BIOTRONIK SINGLE CHAMBER PPG," $21,896.00 ",
Cooper University Hospital,BIVALIRUDIN 1MG INJ*, $13.00 ,
Cooper University Hospital,BIVALIRUDIN 250MG/50ML IV DRIP," $2,761.00 ",
Cooper University Hospital,BK VIRUS QT PCR, $318.00 ,
Cooper University Hospital,"BLADDER CANCER,FISH"," $1,507.00 ",
Cooper University Hospital,BLADDER INST ANTICARCINOGENIC, $905.00 ,
Cooper University Hospital,BLADDER IRRIGATION, $829.00 ,
Cooper University Hospital,BLADE PLASMA PEAK," $1,363.00 ",
Cooper University Hospital,BLASTOMYCES AB, $96.00 ,
Cooper University Hospital,"BLD GAS,MIXED VENOUS ARTERIAL", $427.00 ,
Cooper University Hospital,BLEPHAROTOMY DRAINAGE ABSCESS EYELID," $1,281.00 ",
Cooper University Hospital,BLM (BLOOM) GENE ANALYSIS, $882.00 ,
Cooper University Hospital,BLOOD CRYPTOCCAL AG QUANT, $280.00 ,
Cooper University Hospital,BLOOD CULTURE, $215.00 ,
Cooper University Hospital,BLOOD DRAW CAPILLARY, $175.00 ,
Cooper University Hospital,BLOOD GAS W/DIRECT O2 SAT, $363.00 ,
Cooper University Hospital,BLOOD OCCULT STOOL, $42.00 ,
Cooper University Hospital,BLOOD OCCULT STOOL LM, $42.00 ,
Cooper University Hospital,"BLOOD TYPE AG DONOR,EACH", $242.00 ,
Cooper University Hospital,BLOOD TYPE-RH PHENOTYPE, $145.00 ,
Cooper University Hospital,BLOOD TYPING ABO*, $118.00 ,
Cooper University Hospital,BLOOD TYPING RBC AG AB, $427.00 ,
Cooper University Hospital,BLOOD TYPING RH*, $47.00 ,
Cooper University Hospital,BODY POS CURRENT STATUS, $2.00 ,
Cooper University Hospital,BODY POS D/C STATUS, $2.00 ,
Cooper University Hospital,BODY POS GOAL STATUS, $2.00 ,
Cooper University Hospital,BODY/BONE FULL," $2,181.00 ",
Cooper University Hospital,BODY/BONE LIMITED," $1,993.00 ",
Cooper University Hospital,BONE AGE STUDY, $193.00 ,
Cooper University Hospital,BONE CYST ASPIRATE/INJECT," $1,836.00 ",
Cooper University Hospital,BONE IMAGING THREE PHASE," $1,503.00 ",
Cooper University Hospital,BONE LENGTH STUDY, $296.00 ,
Cooper University Hospital,BONE MARROW ASP AFTER BIOPSY, $290.00 ,
Cooper University Hospital,BONE MARROW ASPIR BONE GRFG," $4,230.00 ",
Cooper University Hospital,BONE MARROW ASPIRATION ON," $4,442.00 ",
Cooper University Hospital,BONE MARROW ASPIRATION ONLY," $3,776.00 ",
Cooper University Hospital,BONE MARROW BX NEEDLE/TROCAR," $5,668.00 ",
Cooper University Hospital,BONE SURVEY LIMITED (METS), $395.00 ,
Cooper University Hospital,BOOSTRIX (TDAP)0.5ML 7YRS>, $174.00 ,
Cooper University Hospital,BORDETELLA HOMLESII BY PCR, $132.00 ,
Cooper University Hospital,BORDETELLA PARAPERTU/BRONCH PC, $132.00 ,
Cooper University Hospital,BORDETELLA PERTUSSIS, $667.00 ,
Cooper University Hospital,BORDETELLA PERTUSSIS BY PCR, $132.00 ,
Cooper University Hospital,BOSTON SCIENTIFIC BIV ICD W/RE," $102,533.00 ",
Cooper University Hospital,BOSTON SCIENTIFIC BIV PPG," $38,539.00 ",
Cooper University Hospital,BOSTON SCIENTIFIC DC ICD," $84,893.00 ",
Cooper University Hospital,BOSTON SCIENTIFIC DC PPG," $22,050.00 ",
Cooper University Hospital,BOSTON SCIENTIFIC ICD LEADS," $19,464.00 ",
Cooper University Hospital,BOSTON SCIENTIFIC LV (CS) LEAD," $9,733.00 ",
Cooper University Hospital,BOSTON SCIENTIFIC SC ICD," $72,986.00 ",
Cooper University Hospital,BOSTON SCIENTIFIC SC PPG," $20,900.00 ",
Cooper University Hospital,BRACHYTHERAPY ISODOSE 11 >," $1,710.00 ",
Cooper University Hospital,BRACHYTHERAPY ISODOSE 1-4, $614.00 ,
