Description,2019 Price
"ALBUMIN, HUMAN INJ 5%",$277.20
"ALBUMIN, HUMAN INJ 5%",$524.40
"ALBUMIN, HUMAN INJ 5%",$700.80
"ALBUMIN, HUMAN INJ 5%",$241.20
"ALBUMIN, HUMAN INJ 5%",$220.80
ALBUTEROL SULFATE AER POW BA 108 MCG/ACT (90 MCG BASE EQUIV),$237.16
ALBUTEROL SULFATE INHAL AERO 108 MCG/ACT (90MCG BASE EQUIV),$102.84
ALBUTEROL SULFATE INHAL AERO 108 MCG/ACT (90MCG BASE EQUIV),$285.93
ALBUTEROL SULFATE INHAL AERO 108 MCG/ACT (90MCG BASE EQUIV),$257.99
ALBUTEROL SULFATE SOLN NEBU 0.083% (2.5 MG/3ML),$4.00
ALBUTEROL SULFATE SOLN NEBU 0.5% (5 MG/ML),$4.00
ALBUTEROL SULFATE SOLN NEBU 0.5% (5 MG/ML),$153.60
ALBUTEROL SULFATE SOLN NEBU 1.25 MG/3ML (BASE EQUIV),$6.38
ALBUTEROL SULFATE SYRUP 2 MG/5ML,$4.00
ALBUTEROL SULFATE TAB 2 MG,$22.56
ALBUTEROL SULFATE TAB 2 MG,$28.22
ALBUTEROL SULFATE TAB 2 MG,$28.20
ALBUTEROL SULFATE TAB 4 MG,$11.28
ALBUTEROL SULFATE TAB ER 12HR 4 MG,$6.85
ALBUTEROL SULFATE TAB ER 12HR 8 MG,$5.05
ALCLOMETASONE DIPROPIONATE CREAM 0.05%,$374.54
ALCLOMETASONE DIPROPIONATE OINT 0.05%,$193.82
ALCLOMETASONE DIPROPIONATE OINT 0.05%,$79.99
ALCLOMETASONE DIPROPIONATE OINT 0.05%,$119.23
ALCLOMETASONE DIPROPIONATE OINT 0.05%,$151.20
ALCOHOL ABSOLUTE INJ 98%,$48.00
ALCOHOL ABSOLUTE INJ 98%,$435.95
ALCOHOL ABSOLUTE INJ 98%,$187.20
ALDESLEUKIN FOR IV SOLN 22000000 UNIT,"$1,955.27"
ALECTINIB HCL CAP 150 MG (BASE EQUIVALENT),$510.33
ALEMTUZUMAB IV INJ 12 MG/1.2ML (10 MG/ML),"$82,901.17"
ALENDRONATE SODIUM ORAL SOLN 70 MG/75ML,$16.49
ALENDRONATE SODIUM TAB 10 MG,$4.00
ALENDRONATE SODIUM TAB 35 MG,$4.00
ALENDRONATE SODIUM TAB 40 MG,$4.00
ALENDRONATE SODIUM TAB 5 MG,$4.00
ALENDRONATE SODIUM TAB 70 MG,$4.00
ALENDRONATE SODIUM-CHOLECALCIFEROL TAB 70-2800 MG-UNIT,$182.85
ALEXIS CONTAINED EXTRACTION SYSTEM W/GELPOINT ACCESS PLATFORM,"1,500.00"
ALEXIS LARGE WOUND PROTECTOR/RETRACTOR,149.00
ALEXIS MEDIUM WOUND PROTECTOR/RETRACTOR,96.00
ALFENTANIL HCL IV SOLN 1000 MCG/2ML (500 MCG/ML) (BASE EQ),$45.00
ALFENTANIL HCL IV SOLN 2500 MCG/5ML (500 MCG/ML) (BASE EQ),$58.08
ALFUZOSIN HCL TAB ER 24HR 10 MG,$4.00
ALGLUCOSIDASE ALFA FOR IV SOLN 50 MG,"$3,617.25"
ALGLUCOSIDASE ALFA FOR IV SOLN 50 MG,"$3,312.70"
ALIROCUMAB SUBCUTANEOUS SOLN PEN-INJECTOR 150 MG/ML,"$1,181.60"
ALIROCUMAB SUBCUTANEOUS SOLN PEN-INJECTOR 75 MG/ML,"$2,363.20"
ALIROCUMAB SUBCUTANEOUS SOLN PREFILLED SYRINGE 150 MG/ML,"$1,181.60"
ALIROCUMAB SUBCUTANEOUS SOLN PREFILLED SYRINGE 75 MG/ML,"$2,363.20"
ALISKIREN FUMARATE TAB 150 MG (BASE EQUIVALENT),$28.79
ALISKIREN FUMARATE TAB 300 MG (BASE EQUIVALENT),$18.16
ALISKIREN-AMLODIPINE TAB 150-10 MG,$20.95
ALISKIREN-AMLODIPINE TAB 150-5 MG,$20.95
ALISKIREN-AMLODIPINE TAB 300-10 MG,$26.44
ALISKIREN-AMLODIPINE TAB 300-5 MG,$26.44
ALLOGRAFT DERMIS 4CM X 5CM,"1,300.00"
ALLOPURINOL 100 MG PO TABS,$4.00
ALLOPURINOL SODIUM FOR INJ 500 MG,"$14,469.00"
ALLOPURINOL TAB 100 MG,$4.00
ALLOPURINOL TAB 300 MG,$4.00
ALMOTRIPTAN MALATE TAB 12.5 MG,$90.10
ALMOTRIPTAN MALATE TAB 6.25 MG,$180.18
ALOE VERA GEL,$19.05
ALOGLIPTIN BENZOATE TAB 12.5 MG (BASE EQUIV),$29.95
ALOGLIPTIN BENZOATE TAB 25 MG (BASE EQUIV),$29.95
ALOGLIPTIN BENZOATE TAB 6.25 MG (BASE EQUIV),$59.89
ALOGLIPTIN-METFORMIN HCL TAB 12.5-1000 MG,$29.95
ALOGLIPTIN-METFORMIN HCL TAB 12.5-500 MG,$29.95
ALOGLIPTIN-PIOGLITAZONE TAB 12.5-15 MG,$59.89
ALOGLIPTIN-PIOGLITAZONE TAB 12.5-30 MG,$59.89
ALOGLIPTIN-PIOGLITAZONE TAB 12.5-45 MG,$59.89
ALOGLIPTIN-PIOGLITAZONE TAB 25-15 MG,$59.89
ALOGLIPTIN-PIOGLITAZONE TAB 25-30 MG,$59.89
ALOGLIPTIN-PIOGLITAZONE TAB 25-45 MG,$59.89
ALOSETRON HCL TAB 1 MG (BASE EQUIV),$123.65
ALPHA1-PROTEINASE INHIBITOR (HUMAN) FOR IV SOLN 1000 MG,$45.00
ALPHA1-PROTEINASE INHIBITOR (HUMAN) FOR IV SOLN 500 MG,$45.00
ALPHA1-PROTEINASE INHIBITOR (HUMAN) FOR IV SOLN 800 MG,$45.00
ALPHA1-PROTEINASE INHIBITOR (HUMAN) INJ 1000 MG/20ML,$45.00
ALPHA1-PROTEINASE INHIBITOR (HUMAN) INJ 1000 MG/50ML,"$2,592.00"
ALPHA-D-GALACTOSIDASE TABLETS,$4.00
ALPHA-LIPOIC ACID (THIOCTIC ACID) CAP 100 MG,$4.00
ALPRAZOLAM TAB 0.25 MG,$10.00
ALPRAZOLAM TAB 0.5 MG,$10.00
ALPRAZOLAM TAB 1 MG,$10.00
ALPRAZOLAM TAB 2 MG,$10.00
ALPRAZOLAM TAB ER 24HR 0.5 MG,$10.00
ALPRAZOLAM TAB ER 24HR 1 MG,$10.00
ALPRAZOLAM TAB ER 24HR 2 MG,$10.00
ALPRAZOLAM TAB ER 24HR 3 MG,$10.00
ALPROSTADIL FOR INJ 20 MCG,$415.64
ALPROSTADIL FOR INJ KIT 10 MCG,$507.29
ALPROSTADIL FOR INJ KIT 20 MCG,$272.02
ALPROSTADIL FOR INJ KIT 40 MCG,$368.79
ALPROSTADIL INJ 500 MCG/ML,$500.38
ALPROSTADIL INJ 500 MCG/ML,$457.19
ALPROSTADIL URETHRAL PELLET 250 MCG,$130.43
ALPROSTADIL URETHRAL PELLET 500 MCG,$279.17
ALTEPLASE FOR INJ 100 MG,"$32,649.34"
ALTEPLASE FOR INJ 100 MG,"$11,427.27"
ALTEPLASE FOR INJ 100 MG,"$16,324.67"
ALTEPLASE FOR INJ 2 MG,$322.96
ALTEPLASE FOR INJ 2 MG,$645.91
ALTEPLASE FOR INJ 2 MG,$161.48
ALTEPLASE FOR INJ 50 MG,"$16,324.67"
ALTRETAMINE CAP 50 MG,$76.32
ALUM & MAG HYDROXIDE-SIMETHICONE CHEW TAB 200-200-25 MG,$1.00
ALUM & MAG HYDROXIDE-SIMETHICONE SUSP 200-200-20 MG/5ML,$1.00
ALUM & MAG HYDROXIDE-SIMETHICONE SUSP 400-400-40 MG/5ML,$1.00
ALUMINUM ACETATE CREAM,$345.60
ALUMINUM ACETATE SOLN,$57.60
ALUMINUM CHLORIDE SOLN 20%,$31.32
ALUMINUM CHLORIDE SOLN 20%,$25.92
ALUMINUM CHLORIDE SOLN 20%,$26.88
ALUMINUM HYDROXIDE GEL SUSP 320 MG/5ML,$1.00
ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE SUSP 95-358 MG/15ML,$1.00
ALUMINUM HYDROXIDE-MAGNESIUM TRISILICATE CHEW TAB 80-14.2 MG,$1.00
ALUMINUM SULFATE & CALCIUM ACETATE POWD PACK,$4.00
ALVIMOPAN CAP 12 MG,$664.10
AMANTADINE HCL CAP 100 MG,$7.75
AMANTADINE HCL SYRUP 50 MG/5ML,$5.14
AMANTADINE HCL SYRUP 50 MG/5ML,$4.00
AMBRISENTAN TAB 10 MG,$518.28
AMBRISENTAN TAB 5 MG,"$1,036.56"
AMCINONIDE CREAM 0.1%,$604.80
AMCINONIDE CREAM 0.1%,"$1,555.20"
AMCINONIDE OINT 0.1%,"$1,555.20"
AMIFOSTINE FOR INJ 500 MG,"$2,110.00"
AMIKACIN SULFATE INJ 1 GM/4ML (250 MG/ML),$45.00
AMIKACIN SULFATE INJ 1 GM/4ML (250 MG/ML),$117.66
AMIKACIN SULFATE INJ 1 GM/4ML (250 MG/ML),$76.80
AMIKACIN SULFATE INJ 500 MG/2ML (250 MG/ML),$45.00
AMIKACIN SULFATE INJ 500 MG/2ML (250 MG/ML),$55.92
AMILORIDE & HYDROCHLOROTHIAZIDE TAB 5-50 MG,$4.00
AMILORIDE HCL TAB 5 MG,$4.33
AMILORIDE HCL TAB 5 MG,$4.00
AMINO AC 3.3%-DEXT 9.8%-LIPID 3.9%-ELECTROLYT 0.7% IV EMUL,$236.51
AMINO ACID ELECTROLYTE INFUSION 3%,$124.80
AMINO ACID ELECTROLYTE W/CAL INFUSION 4.25% IN D10W,$336.00
AMINO ACID ELECTROLYTE W/CAL INFUSION 4.25% IN D10W,$201.60
AMINO ACID ELECTROLYTE W/CAL INFUSION 4.25% IN D5W,$182.40
AMINO ACID ELECTROLYTE W/CAL INFUSION 5% IN D15W,$187.20
AMINO ACID ELECTROLYTE W/CAL INFUSION 5% IN D20W,$364.80
AMINO ACID ELECTROLYTE W/CAL INFUSION 5% IN D20W,$192.00
AMINO ACID INFUSION 10%,$240.00
AMINO ACID INFUSION 10%,$115.20
AMINO ACID INFUSION 10%,$422.40
AMINO ACID INFUSION 10%,$825.60
AMINO ACID INFUSION 10%,$228.00
AMINO ACID INFUSION 15%,$547.20
AMINO ACID INFUSION 15%,$417.60
AMINO ACID INFUSION 20%,$556.80
AMINO ACID INFUSION 4.25% IN D10W,$316.80
AMINO ACID INFUSION 4.25% IN D10W,$158.40
AMINO ACID INFUSION 4.25% IN D20W,$345.60
AMINO ACID INFUSION 4.25% IN D20W,$172.80
AMINO ACID INFUSION 4.25% IN D25W,$158.40
AMINO ACID INFUSION 4.25% IN D5W,$307.20
AMINO ACID INFUSION 4.25% IN D5W,$158.40
AMINO ACID INFUSION 4.8%,$691.20
AMINO ACID INFUSION 5% IN D15W,$336.00
AMINO ACID INFUSION 5% IN D15W,$182.40
AMINO ACID INFUSION 5% IN D20W,$345.60
AMINO ACID INFUSION 5% IN D20W,$187.20
AMINO ACID INFUSION 8.5%,$45.00
AMINO ACIDS-PROTEIN HYDROLYSATE LIQUID,$4.90
AMINO ACIDS-PROTEIN HYDROLYSATE LIQUID,$85.15
AMINOCAPROIC ACID INJ 250 MG/ML,$45.00
AMINOCAPROIC ACID ORAL SOLN 0.25 GM/ML,$206.28
AMINOCAPROIC ACID TAB 500 MG,$90.65
AMINOHIPPURATE SODIUM INJ 20%,$45.00
AMINOLEVULINIC ACID HCL FOR SOLN 20% (STICK APPLICATOR),"$1,548.74"
AMINOLEVULINIC ACID HYDROCHLORIDE 1500 MG/50 ML,"$10,347.19"
AMINOPHYLLINE INJ 25 MG/ML,$33.60
AMINOPHYLLINE INJ 25 MG/ML,$45.00
AMINOPHYLLINE INJ 25 MG/ML,$54.58
AMIODARONE HCL 200 MG PO TABS,$4.10
AMIODARONE HCL IN DEXTROSE 4.14% IV SOLN 360 MG/200ML,$221.76
AMIODARONE HCL IN DEXTROSE 4.21% IV SOLN 150 MG/100ML,$166.56
AMIODARONE HCL INJ 150 MG/3ML (50 MG/ML),$45.00
"AMIODARONE HCL INJ 150 MG/3ML (50 MG/ML),AMIODARONE HCL INJ 450 MG/9ML (50 MG/ML),AMIODARONE HCL INJ 900 MG/18ML (50 MG/ML)",$45.00
AMIODARONE HCL INJ 450 MG/9ML (50 MG/ML),$45.00
AMIODARONE HCL INJ 900 MG/18ML (50 MG/ML),$45.00
AMIODARONE HCL TAB 100 MG,$30.10
AMIODARONE HCL TAB 100 MG,$13.38
AMIODARONE HCL TAB 200 MG,$4.00
AMITRIPTYLINE HCL TAB 10 MG,$4.00
AMITRIPTYLINE HCL TAB 100 MG,$4.00
AMITRIPTYLINE HCL TAB 25 MG,$4.00
