"Hospital
Code",Hospital Description,"Chargemaster
Department
Code",Chargemaster Department Description,"Charge
Code",Charge Description,Price,Zero-Price Explanation
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6802235,AMLODIPINE 2.5MG TAB, 12.90 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6801880,AMLODIPINE 5MG TAB, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761613,AMMONIA AROMATIC 0.33ML INH NAS, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761720,AMOXICILLIN 125MG/5ML 80ML LIQ, 30.10 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761746,AMOXICILLIN 125MG/5ML LIQ, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761696,AMOXICILLIN 250MG CAP, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761753,AMOXICILLIN 250MG/5ML 100ML LIQ, 32.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761779,AMOXICILLIN 250MG/5ML LIQ, 8.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761704,AMOXICILLIN 500MG CAP, 6.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761811,AMOXIL/CLAV 125MG/5ML 75ML LIQ, 876.70 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761837,AMOXIL/CLAV 250MG/5ML 75ML LIQ, 191.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6828370,AMOXIL/CLAV 250MG/5ML LIQ, 17.30 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761860,AMOXIL/CLAV 500MG TAB, 9.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6807242,AMOXIL/CLAV 875MG TAB, 8.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762116,AMPCILLIN/SULBACT 1.5GM NS 50ML PB, 75.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762009,AMPICILLIN 250MG/5ML 100ML LIQ, 18.30 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761951,AMPICILLIN SOD 250MG INJ, 63.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761969,AMPICILLIN SOD 500MG INJ, 64.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762074,AMPICILLIN SOD 500MG NS 50ML PB, 70.00 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6850226,AMPICILLIN SOD/500MG INJ, 33.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6850234,AMPICILLIN SOD/500MG PB, 20.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762090,AMPICILLIN/SULBACT 1.5GM INJ, 65.70 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6850267,AMPICILLIN/SULBACT/1.5GM INJ, 35.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6850275,AMPICILLIN/SULBACT/1.5GM PB, 35.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6855449,APIXABAN 2.5MG TAB, 21.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6855456,APIXABAN 5MG TAB, 18.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6835326,ARFORMOTEROL 15MCG/2ML SOLN INH, 18.70 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6766208,ARTIFICIAL TEAR .5% ISOP 15ML OPH, 40.30 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762306,ARTIFICIAL TEAR PF 15ML SOLN OPH, 24.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6798730,ASCORBIC ACID 500MG TAB, 0.10 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762314,ASCORBIC ACID 500MG/1ML 1ML INJ, 5.70 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762421,ASPIRIN 300MG SUPP RECT, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762397,ASPIRIN 325MG TAB EC, 0.10 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762470,ASPIRIN 81MG TAB, 0.10 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6803688,ASPIRIN 81MG TAB EC, 0.10 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762561,ATENOLOL 25MG TAB, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762579,ATENOLOL 50MG TAB, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6808273,ATORVASTATIN 10MG TAB, 19.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6812382,ATORVASTATIN 20MG TAB, 24.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6846687,ATROPINE SULF/0.01MG INJ, 1.00 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6840318,AZACITIDINE/1MG INJ, 14.90 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762900,AZATHIOPRINE 50MG TAB, 6.90 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6807895,AZITHROMYCIN 100MG/5ML 15ML LIQ, 67.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6807507,AZITHROMYCIN 200MG/5ML 30ML LIQ, 120.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762918,AZITHROMYCIN 250MG TAB, 11.90 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6829469,AZITHROMYCIN 2MG/ML 50ML SYI, 62.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6828388,AZITHROMYCIN 40MG/ML 5ML SYQ, 23.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6818298,AZITHROMYCIN 500MG NS 250ML PB, 74.30 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6809479,AZITHROMYCIN/500MG INJ, 74.30 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762926,AZTREONAM 1GM INJ, 123.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6799316,AZTREONAM 1GM NS 50ML PB, 265.90 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6799324,AZTREONAM 2GM NS 100ML PB, 231.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762983,BACITRACIN 30GM OINT TOP, 16.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762967,BACITRACIN 50000U INJ, 77.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6762991,BACLOFEN 10MG TAB, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6793475,BACTERIOSTATIC SOD CHLOR 30ML SOLN, 40.90 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6763049,BALANCED SALT 15ML SOLN OPH, 14.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6763023,BALANCED SALT 500ML SOLN IRRG, 24.00 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6763031,BALANCED SALT PLUS 500ML SOLN IRRG, 196.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6817076,BCG 50MG INJ INSTILL, 454.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6857544,BCG 50MG TB INJ PERC, 454.00 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6823165,BECLOMETHASONE 40MCG INH ORAL, 279.90 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6859169,BENDAMUSTINE HCL TREANDA/1MG INJ, 61.00 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6763247,BENZOCAINE DERMPLAST 20% 80GM TOP, 24.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6856769,BENZOCAINE/MENTHOL LOZ 1/PKG, 5.70 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6763312,BENZONATATE 100MG CAP, 6.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6763445,BENZTROPINE 0.5MG TAB, 5.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6849830,BETAMETH ACETATE/SOD PHOS/3+3MG INJ, 20.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6763668,BETHANECHOL CL 10MG TAB, 6.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6827505,BEVACIZUMAB/10MG INJ, 267.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6763833,BISACODYL 10MG SUPP RECT, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6763841,BISACODYL 5MG TAB EC, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6824296,BISMUTH SUBSALIC KAO 240ML LIQ, 9.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6763874,BISMUTH SUBSALIC PEPTO 120ML LIQ, 28.00 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6839096,BORTEZOMIB VELCADE/0.1MG INJ, 163.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6808109,BRIMONIDINE TART 0.2% 5ML SOLN OPH, 109.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6814289,BUDESONIDE 0.25MG/2ML SOLN INH, 24.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6814271,BUDESONIDE 0.5MG/2ML SOLN INH, 25.10 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6819163,BUDESONIDE 3MG CAP TR, 64.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6764112,BUMETANIDE 0.25MG/1ML 4ML INJ, 43.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6855837,BUMETANIDE 0.25MG/1ML INJ, 4.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6764153,BUPIVACAINE 0.25% 10ML INJ, 26.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6855662,BUPIVACAINE 0.25% 2.5MG/1ML 1ML INJ, 0.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6764161,BUPIVACAINE 0.25% 30ML INJ, 39.70 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6855688,BUPIVACAINE 0.25%/EPI 2.5MG/1ML INJ, 1.20 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6764195,BUPIVACAINE 0.25%/EPI 30ML INJ, 43.00 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6764211,BUPIVACAINE 0.5% 10ML INJ, 26.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6764229,BUPIVACAINE 0.5% 30ML INJ, 39.20 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6855670,BUPIVACAINE 0.5% 5MG/1ML INJ, 0.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6764252,BUPIVACAINE 0.5%/EPI 10ML INJ, 32.70 ,
