Northeast Alabama Regional Medical Center,,
060,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,"47,191.95"
061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGEN","199,814.33"
062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGEN","118,836.98"
063,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGEN","106,314.10"
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"52,804.59"
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"39,338.06"
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"32,056.18"
067,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,"22,177.22"
068,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,"41,287.45"
069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"31,916.79"
070,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"44,887.80"
071,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"45,531.46"
072,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,"35,399.74"
073,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,"64,069.09"
074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"28,258.44"
075,VIRAL MENINGITIS W CC/MCC,"29,312.64"
076,VIRAL MENINGITIS W/O CC/MCC,"22,484.71"
077,HYPERTENSIVE ENCEPHALOPATHY W MCC,"39,498.54"
078,HYPERTENSIVE ENCEPHALOPATHY W CC,"47,760.15"
080,NONTRAUMATIC STUPOR & COMA W MCC,"5,514.94"
082,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC","274,425.09"
083,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC","39,045.01"
086,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC","32,357.40"
088,CONCUSSION W MCC,"46,515.54"
090,CONCUSSION W/O CC/MCC,"11,391.24"
091,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"55,717.59"
092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"36,226.42"
093,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"21,434.83"
094,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,"36,242.90"
095,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,"29,393.51"
096,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,"152,226.77"
097,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,"102,223.45"
099,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,"144,223.73"
100,SEIZURES W MCC,"44,902.07"
101,SEIZURES W/O MCC,"27,339.49"
102,HEADACHES W MCC,"19,653.12"
103,HEADACHES W/O MCC,"36,905.72"
122,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,"7,374.41"
123,NEUROLOGICAL EYE DISORDERS,"39,718.82"
125,OTHER DISORDERS OF THE EYE W/O MCC,"13,360.84"
131,CRANIAL/FACIAL PROCEDURES W CC/MCC,"75,622.89"
132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,"66,287.45"
133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC","39,730.31"
134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC","33,862.28"
135,SINUS & MASTOID PROCEDURES W CC/MCC,"61,193.70"
136,SINUS & MASTOID PROCEDURES W/O CC/MCC,"30,230.96"
137,MOUTH PROCEDURES W CC/MCC,"53,882.31"
146,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC","17,164.45"
147,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC","33,319.73"
149,DYSEQUILIBRIUM,"25,890.12"
150,EPISTAXIS W MCC,"106,518.09"
151,EPISTAXIS W/O MCC,"49,556.76"
152,OTITIS MEDIA & URI W MCC,"25,371.78"
153,OTITIS MEDIA & URI W/O MCC,"13,895.26"
154,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC","81,976.08"
155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC","57,595.47"
156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC","24,959.53"
157,DENTAL & ORAL DISEASES W MCC,"81,792.91"
158,DENTAL & ORAL DISEASES W CC,"21,652.03"
159,DENTAL & ORAL DISEASES W/O CC/MCC,"18,884.75"
163,MAJOR CHEST PROCEDURES W MCC,"171,501.17"
164,MAJOR CHEST PROCEDURES W CC,"117,486.09"
165,MAJOR CHEST PROCEDURES W/O CC/MCC,"81,247.28"
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"116,686.92"
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"69,976.56"
168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,"61,020.30"
175,PULMONARY EMBOLISM W MCC,"47,492.00"
176,PULMONARY EMBOLISM W/O MCC,"30,239.10"
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"68,869.90"
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"37,877.12"
179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,"36,915.59"
180,RESPIRATORY NEOPLASMS W MCC,"63,978.24"
181,RESPIRATORY NEOPLASMS W CC,"44,622.23"
183,MAJOR CHEST TRAUMA W MCC,"49,650.93"
184,MAJOR CHEST TRAUMA W CC,"43,740.71"
185,MAJOR CHEST TRAUMA W/O CC/MCC,"38,068.91"
186,PLEURAL EFFUSION W MCC,"47,314.22"
187,PLEURAL EFFUSION W CC,"23,426.83"
189,PULMONARY EDEMA & RESPIRATORY FAILURE,"41,642.29"
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"37,629.83"
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"31,630.79"
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"24,474.11"
193,SIMPLE PNEUMONIA & PLEURISY W MCC,"46,990.06"
194,SIMPLE PNEUMONIA & PLEURISY W CC,"31,854.17"
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"20,742.87"
196,INTERSTITIAL LUNG DISEASE W MCC,"45,487.88"
197,INTERSTITIAL LUNG DISEASE W CC,"50,673.38"
199,PNEUMOTHORAX W MCC,"70,253.95"
200,PNEUMOTHORAX W CC,"40,708.75"
201,PNEUMOTHORAX W/O CC/MCC,"20,158.98"
202,BRONCHITIS & ASTHMA W CC/MCC,"24,922.82"
203,BRONCHITIS & ASTHMA W/O CC/MCC,"14,512.12"
204,RESPIRATORY SIGNS & SYMPTOMS,"26,736.09"
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"57,424.80"
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"38,105.83"
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,"212,097.92"
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"92,565.47"
216,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,"503,499.32"
219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,"255,039.31"
220,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,"275,692.01"
222,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,"282,612.72"
223,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC,"240,136.58"
224,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,"208,246.23"
226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,"221,398.64"
227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,"209,667.37"
228,OTHER CARDIOTHORACIC PROCEDURES W MCC,"237,530.36"
229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,"165,422.69"
231,CORONARY BYPASS W PTCA W MCC,"399,598.61"
232,CORONARY BYPASS W PTCA W/O MCC,"216,022.24"
233,CORONARY BYPASS W CARDIAC CATH W MCC,"233,352.52"
234,CORONARY BYPASS W CARDIAC CATH W/O MCC,"219,324.62"
235,CORONARY BYPASS W/O CARDIAC CATH W MCC,"202,290.34"
236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,"172,118.27"
239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,"162,719.09"
240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,"117,814.14"
241,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC,"42,742.92"
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"187,436.40"
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"108,071.69"
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"86,887.86"
245,AICD GENERATOR PROCEDURES,"129,369.68"
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES,"151,296.53"
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"112,085.39"
248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTE,"142,984.73"
249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,"106,863.06"
250,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,"98,430.95"
251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,"62,980.50"
252,OTHER VASCULAR PROCEDURES W MCC,"140,505.86"
253,OTHER VASCULAR PROCEDURES W CC,"130,574.62"
254,OTHER VASCULAR PROCEDURES W/O CC/MCC,"95,884.04"
255,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,"46,338.62"
256,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,"65,784.33"
259,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,"345,715.02"
260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,"203,433.96"
261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,"62,592.94"
262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,"59,256.95"
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"142,559.66"
265,AICD LEAD PROCEDURES,"95,196.09"
268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,"314,448.93"
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,"152,434.09"
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,"187,138.11"
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,"138,419.66"
272,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,"137,256.52"
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","58,773.59"
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","45,963.37"
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","37,102.81"
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC","63,665.57"
284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC","33,987.80"
285,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC","28,099.36"
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","71,836.52"
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","53,002.54"
291,HEART FAILURE & SHOCK W MCC,"48,637.06"
292,HEART FAILURE & SHOCK W CC,"32,984.99"
293,HEART FAILURE & SHOCK W/O CC/MCC,"27,010.28"
296,"CARDIAC ARREST, UNEXPLAINED W MCC","52,028.60"
299,PERIPHERAL VASCULAR DISORDERS W MCC,"40,740.69"
300,PERIPHERAL VASCULAR DISORDERS W CC,"35,462.06"
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"18,492.86"
302,ATHEROSCLEROSIS W MCC,"42,364.52"
303,ATHEROSCLEROSIS W/O MCC,"17,169.78"
304,HYPERTENSION W MCC,"34,730.62"
305,HYPERTENSION W/O MCC,"29,310.79"
307,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,"32,456.50"
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"41,038.54"
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"30,687.27"
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"22,444.64"
311,ANGINA PECTORIS,"26,708.05"
312,SYNCOPE & COLLAPSE,"35,348.33"
313,CHEST PAIN,"28,098.06"
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"57,310.62"
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"29,585.07"
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"37,641.28"
326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC","181,452.47"
327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC","126,382.78"
328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC","56,489.05"
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"198,862.72"
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"110,050.29"
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"70,274.27"
332,RECTAL RESECTION W MCC,"78,916.13"
333,RECTAL RESECTION W CC,"71,306.56"
335,PERITONEAL ADHESIOLYSIS W MCC,"150,529.60"
336,PERITONEAL ADHESIOLYSIS W CC,"99,435.03"
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,"58,842.38"
338,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,"125,308.96"
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"59,122.68"
341,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,"121,462.28"
342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,"46,141.52"
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"43,183.19"
344,MINOR SMALL & LARGE BOWEL PROCEDURES W MCC,"88,226.37"
345,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,"68,993.09"
346,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"60,869.36"
348,ANAL & STOMAL PROCEDURES W CC,"52,707.43"
349,ANAL & STOMAL PROCEDURES W/O CC/MCC,
350,INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,"52,760.21"
352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,"75,521.87"
353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,"124,673.03"
354,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,"58,202.11"
355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,"49,852.15"
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,"201,888.76"
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,"89,651.37"
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"58,807.64"
369,MAJOR ESOPHAGEAL DISORDERS W CC,"64,769.48"
371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"53,706.02"
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"51,068.32"
373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,"24,195.59"
374,DIGESTIVE MALIGNANCY W MCC,"65,993.62"
375,DIGESTIVE MALIGNANCY W CC,"52,907.05"
376,DIGESTIVE MALIGNANCY W/O CC/MCC,"27,470.55"
377,G.I. HEMORRHAGE W MCC,"67,950.67"
378,G.I. HEMORRHAGE W CC,"45,841.88"
379,G.I. HEMORRHAGE W/O CC/MCC,"33,455.27"
380,COMPLICATED PEPTIC ULCER W MCC,"60,240.90"
381,COMPLICATED PEPTIC ULCER W CC,"33,852.44"
382,COMPLICATED PEPTIC ULCER W/O CC/MCC,"30,669.32"
383,UNCOMPLICATED PEPTIC ULCER W MCC,"51,106.93"
384,UNCOMPLICATED PEPTIC ULCER W/O MCC,"39,245.57"
385,INFLAMMATORY BOWEL DISEASE W MCC,"104,899.10"
386,INFLAMMATORY BOWEL DISEASE W CC,"49,532.92"
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"35,171.53"
388,G.I. OBSTRUCTION W MCC,"71,485.75"
389,G.I. OBSTRUCTION W CC,"37,301.03"
390,G.I. OBSTRUCTION W/O CC/MCC,"22,600.14"
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","49,612.12"
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","32,991.91"
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"57,083.06"
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"38,016.31"
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"43,799.51"
405,"PANCREAS, LIVER & SHUNT PROCEDURES W MCC","306,396.53"
406,"PANCREAS, LIVER & SHUNT PROCEDURES W CC","283,393.38"
407,"PANCREAS, LIVER & SHUNT PROCEDURES W/O CC/MCC","84,025.03"
408,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC,"154,265.82"
410,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC/MCC,"82,355.61"
413,CHOLECYSTECTOMY W C.D.E. W/O CC/MCC,"60,761.81"
414,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,"235,882.39"
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,"114,607.66"
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"108,418.94"
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"65,720.43"
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"57,445.45"
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,"69,176.45"
423,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC,"83,153.69"
425,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W/O CC/MCC,"77,159.78"
432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"104,919.17"
433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,"39,695.85"
434,CIRRHOSIS & ALCOHOLIC HEPATITIS W/O CC/MCC,"27,440.63"
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,"75,042.97"
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,"33,653.15"
437,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC,"19,087.06"
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"98,670.73"
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"50,720.44"
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"29,412.68"
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","64,741.29"
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","37,187.87"
443,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC","20,588.25"
444,DISORDERS OF THE BILIARY TRACT W MCC,"52,149.20"
445,DISORDERS OF THE BILIARY TRACT W CC,"45,070.16"
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"32,088.48"
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,"107,198.78"
463,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC","93,335.08"
464,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC","85,683.50"
465,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC","81,592.58"
466,REVISION OF HIP OR KNEE REPLACEMENT W MCC,"142,021.61"
467,REVISION OF HIP OR KNEE REPLACEMENT W CC,"100,946.72"
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"75,068.73"
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR,"109,683.01"
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"71,166.99"
474,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC,"310,962.60"
475,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC,"80,065.16"
476,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W/O CC/MCC,"39,010.59"
477,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC,"71,399.20"
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,"75,723.86"
480,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"95,679.74"
481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"70,178.56"
482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"53,839.10"
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"76,008.12"
486,KNEE PROCEDURES W PDX OF INFECTION W CC,"63,478.28"
487,KNEE PROCEDURES W PDX OF INFECTION W/O CC/MCC,"57,271.11"
488,KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,"48,421.65"
489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,"40,902.90"
492,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC","81,490.99"
493,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","71,305.65"
494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","48,614.51"
497,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W/O CC/MCC,"68,575.16"
498,LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W CC/MCC,"75,071.65"
500,SOFT TISSUE PROCEDURES W MCC,"68,866.32"
501,SOFT TISSUE PROCEDURES W CC,"79,074.78"
502,SOFT TISSUE PROCEDURES W/O CC/MCC,"43,324.84"
505,FOOT PROCEDURES W/O CC/MCC,"39,062.90"
510,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W MCC","54,766.22"
511,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W CC","59,885.20"
512,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W/O CC/MCC","44,245.72"
513,"HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC","30,721.88"
514,"HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC","27,520.28"
516,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,"104,621.79"
517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,"47,463.42"
533,FRACTURES OF FEMUR W MCC,"35,263.86"
534,FRACTURES OF FEMUR W/O MCC,"31,866.90"
535,FRACTURES OF HIP & PELVIS W MCC,"35,679.90"
536,FRACTURES OF HIP & PELVIS W/O MCC,"23,082.94"
539,OSTEOMYELITIS W MCC,"71,001.60"
540,OSTEOMYELITIS W CC,"31,461.80"
542,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,"112,439.41"
543,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,"55,769.75"
544,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC,"28,584.82"
545,CONNECTIVE TISSUE DISORDERS W MCC,"194,259.03"
546,CONNECTIVE TISSUE DISORDERS W CC,"25,651.55"
547,CONNECTIVE TISSUE DISORDERS W/O CC/MCC,"35,059.62"
549,SEPTIC ARTHRITIS W CC,"35,912.64"
551,MEDICAL BACK PROBLEMS W MCC,"40,526.47"
552,MEDICAL BACK PROBLEMS W/O MCC,"29,378.52"
