DRG Code,BAPTIST MEDICAL CENTER,MISSION TRAIL BAPTIST HOSPITAL,NORTH CENTRAL BAPTIST HOSPITAL,NORTHEAST BAPTIST HOSPITAL,SAINT LUKE'S HOSPITAL
099 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC," $49,979 "," $62,416 "," $14,855 ", $- ," $39,255 "
100 - SEIZURES W MCC," $71,283 "," $84,490 "," $68,748 "," $120,275 "," $65,537 "
101 - SEIZURES W/O MCC," $47,184 "," $45,006 "," $30,361 "," $34,054 "," $37,218 "
102 - HEADACHES W MCC," $44,644 ", $- ," $42,255 "," $43,891 "," $141,328 "
103 - HEADACHES W/O MCC," $42,915 "," $33,884 "," $29,519 "," $52,799 "," $55,851 "
113 - ORBITAL PROCEDURES W CC/MCC, $- , $- ," $45,663 ", $- , $- 
114 - ORBITAL PROCEDURES W/O CC/MCC, $- , $- , $- , $- , $- 
115 - EXTRAOCULAR PROCEDURES EXCEPT ORBIT, $- , $- , $- , $- , $- 
116 - INTRAOCULAR PROCEDURES W CC/MCC, $- , $- , $- , $- , $- 
117 - INTRAOCULAR PROCEDURES W/O CC/MCC, $- , $- , $- , $- , $- 
121 - ACUTE MAJOR EYE INFECTIONS W CC/MCC, $- , $- ," $24,256 ", $- , $- 
122 - ACUTE MAJOR EYE INFECTIONS W/O CC/MCC," $36,416 "," $19,228 "," $29,331 ", $- , $- 
123 - NEUROLOGICAL EYE DISORDERS," $47,044 "," $76,259 "," $33,858 "," $30,268 "," $54,748 "
124 - OTHER DISORDERS OF THE EYE W MCC," $49,282 ", $- , $- ," $33,558 "," $78,972 "
125 - OTHER DISORDERS OF THE EYE W/O MCC," $29,388 ", $- ," $32,212 ", $- ," $42,113 "
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE, $- , $- , $- , $- , $- 
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC, $- , $- , $- , $- , $- 
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC, $- , $- , $- , $- ," $109,371 "
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC, $- , $- , $- , $- ," $105,003 "
"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC", $- , $- ," $47,524 ", $- , $- 
"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC", $- , $- ," $55,623 ", $- ," $169,800 "
135 - SINUS & MASTOID PROCEDURES W CC/MCC, $- , $- , $- , $- ," $224,266 "
136 - SINUS & MASTOID PROCEDURES W/O CC/MCC, $- , $- , $- , $- ," $63,863 "
137 - MOUTH PROCEDURES W CC/MCC, $- , $- ," $162,302 ", $- , $- 
138 - MOUTH PROCEDURES W/O CC/MCC," $63,393 ", $- , $- , $- , $- 
139 - SALIVARY GLAND PROCEDURES, $- , $- , $- , $- ," $59,737 "
"146 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC", $- , $- , $- , $- , $- 
"147 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC", $- , $- ," $60,033 ", $- , $- 
"148 - EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC", $- , $- , $- , $- , $- 
149 - DYSEQUILIBRIUM," $42,290 "," $23,954 "," $36,584 "," $43,747 "," $31,533 "
150 - EPISTAXIS W MCC, $- , $- , $- , $- , $- 
151 - EPISTAXIS W/O MCC, $- , $- , $- , $- , $- 
152 - OTITIS MEDIA & URI W MCC, $- , $- , $- ," $43,117 ", $- 
153 - OTITIS MEDIA & URI W/O MCC," $29,120 "," $52,006 "," $21,091 "," $33,764 "," $61,342 "
"154 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC", $- , $- ," $63,163 ", $- , $- 
"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC"," $66,405 "," $26,966 "," $19,642 "," $32,285 ", $- 
"156 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC"," $34,113 ", $- ," $41,019 ", $- ," $29,090 "
157 - DENTAL & ORAL DISEASES W MCC, $- , $- , $- , $- , $- 
158 - DENTAL & ORAL DISEASES W CC, $- , $- ," $25,204 ", $- ," $59,485 "
159 - DENTAL & ORAL DISEASES W/O CC/MCC, $- ," $77,316 "," $36,069 ", $- , $- 
163 - MAJOR CHEST PROCEDURES W MCC," $91,661 "," $168,026 "," $165,409 "," $232,081 "," $212,887 "
164 - MAJOR CHEST PROCEDURES W CC," $208,845 "," $122,447 "," $180,404 "," $164,946 "," $97,047 "
165 - MAJOR CHEST PROCEDURES W/O CC/MCC," $138,916 "," $100,022 "," $94,911 "," $120,360 "," $95,529 "
166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC," $129,577 "," $248,747 "," $115,344 "," $266,096 "," $161,065 "
167 - OTHER RESP SYSTEM O.R. PROCEDURES W CC," $120,049 ", $- ," $143,037 "," $90,128 "," $53,615 "
168 - OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC, $- , $- ," $80,441 ", $- ," $67,471 "
175 - PULMONARY EMBOLISM W MCC," $92,287 "," $148,735 "," $61,269 "," $90,318 "," $91,484 "
176 - PULMONARY EMBOLISM W/O MCC," $68,748 "," $54,707 "," $50,345 "," $54,011 "," $33,278 "
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC," $87,559 "," $63,720 "," $73,248 "," $93,356 "," $118,904 "
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC," $51,139 "," $52,901 "," $82,191 "," $61,125 "," $26,802 "
179 - RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC," $55,258 "," $46,769 "," $8,753 ", $- ," $44,350 "
180 - RESPIRATORY NEOPLASMS W MCC," $136,913 "," $154,814 "," $67,444 "," $75,647 "," $52,988 "
181 - RESPIRATORY NEOPLASMS W CC," $81,843 "," $60,336 "," $71,675 "," $71,395 "," $53,963 "
182 - RESPIRATORY NEOPLASMS W/O CC/MCC, $- , $- , $- , $- ," $71,517 "
183 - MAJOR CHEST TRAUMA W MCC, $- , $- ," $63,412 ", $- ," $51,060 "
184 - MAJOR CHEST TRAUMA W CC, $- ," $6,947 "," $42,930 ", $- , $- 
185 - MAJOR CHEST TRAUMA W/O CC/MCC," $30,271 "," $40,214 "," $52,919 ", $- ," $3,763 "
186 - PLEURAL EFFUSION W MCC," $129,513 "," $78,699 "," $35,600 "," $59,743 "," $152,494 "
187 - PLEURAL EFFUSION W CC," $37,558 ", $- ," $37,587 "," $37,867 "," $26,753 "
188 - PLEURAL EFFUSION W/O CC/MCC," $23,361 ", $- , $- ," $38,684 "," $32,001 "
189 - PULMONARY EDEMA & RESPIRATORY FAILURE," $56,200 "," $61,640 "," $50,798 "," $38,750 "," $47,289 "
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC," $52,269 "," $47,714 "," $58,673 "," $54,483 "," $55,287 "
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC," $44,670 "," $35,879 "," $37,194 "," $54,200 "," $31,459 "
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC," $32,888 "," $23,188 "," $14,503 "," $28,875 "," $37,408 "
193 - SIMPLE PNEUMONIA & PLEURISY W MCC," $71,707 "," $67,219 "," $64,867 "," $60,933 "," $74,512 "
194 - SIMPLE PNEUMONIA & PLEURISY W CC," $40,951 "," $37,178 "," $34,578 "," $44,248 "," $34,427 "
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC," $33,227 "," $37,011 "," $22,291 "," $33,708 "," $24,380 "
196 - INTERSTITIAL LUNG DISEASE W MCC," $70,705 ", $- ," $52,594 "," $80,470 "," $62,403 "
197 - INTERSTITIAL LUNG DISEASE W CC," $46,914 ", $- ," $228,055 "," $43,040 "," $98,011 "
198 - INTERSTITIAL LUNG DISEASE W/O CC/MCC, $- , $- , $- , $- , $- 
199 - PNEUMOTHORAX W MCC," $89,075 "," $40,562 "," $45,424 "," $32,586 "," $45,648 "
200 - PNEUMOTHORAX W CC," $37,210 "," $55,512 "," $66,667 "," $45,303 "," $23,483 "
201 - PNEUMOTHORAX W/O CC/MCC," $64,769 "," $92,863 "," $20,698 "," $40,154 "," $18,120 "
202 - BRONCHITIS & ASTHMA W CC/MCC," $38,610 "," $38,701 "," $32,709 "," $48,459 "," $44,003 "
203 - BRONCHITIS & ASTHMA W/O CC/MCC," $24,444 "," $19,868 "," $17,087 "," $23,851 "," $47,945 "
204 - RESPIRATORY SIGNS & SYMPTOMS," $34,427 "," $21,738 "," $31,409 "," $29,906 "," $29,155 "
205 - OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC," $121,325 ", $- ," $9,334 "," $54,621 "," $16,385 "
206 - OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC," $27,212 "," $40,809 "," $39,961 "," $31,142 "," $26,086 "
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS OR PERIPHE," $191,848 "," $177,235 "," $201,371 "," $193,009 "," $156,664 "
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS," $69,619 "," $72,855 "," $101,174 "," $83,196 "," $82,311 "
215 - OTHER HEART ASSIST SYSTEM IMPLANT," $431,353 ", $- ," $305,712 "," $408,757 "," $934,161 "
216 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC," $555,567 ", $- , $- ," $425,626 "," $361,391 "
217 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC," $316,606 ", $- , $- ," $352,976 "," $526,862 "
218 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC, $- , $- , $- , $- , $- 
219 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC," $385,752 ", $- , $- ," $325,928 "," $233,133 "
220 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC," $251,579 ", $- , $- ," $276,983 "," $209,425 "
221 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC," $185,961 ", $- , $- ," $235,295 "," $198,090 "
222 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC," $308,153 ", $- , $- ," $403,198 ", $- 
223 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC," $370,078 ", $- , $- , $- , $- 
224 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC," $386,866 ", $- ," $397,816 ", $- , $- 
225 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC," $295,713 ", $- , $- ," $410,110 "," $381,631 "
226 - CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC," $305,289 "," $129,246 ", $- ," $422,090 "," $371,865 "
227 - CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC," $235,001 "," $251,467 "," $296,407 "," $274,849 "," $422,243 "
228 - OTHER CARDIOTHORACIC PROCEDURES W MCC," $237,239 "," $365,536 ", $- ," $188,179 "," $223,123 "
229 - OTHER CARDIOTHORACIC PROCEDURES W/O MCC," $191,476 ", $- ," $131,717 "," $236,066 "," $132,095 "
231 - CORONARY BYPASS W PTCA W MCC," $576,486 ", $- , $- ," $409,635 ", $- 
232 - CORONARY BYPASS W PTCA W/O MCC," $321,714 ", $- , $- ," $437,559 ", $- 
233 - CORONARY BYPASS W CARDIAC CATH W MCC," $379,122 ", $- , $- ," $301,188 "," $260,574 "
234 - CORONARY BYPASS W CARDIAC CATH W/O MCC," $252,025 ", $- , $- ," $258,933 "," $221,820 "
235 - CORONARY BYPASS W/O CARDIAC CATH W MCC," $304,918 ", $- , $- ," $252,183 "," $193,048 "
236 - CORONARY BYPASS W/O CARDIAC CATH W/O MCC," $214,276 ", $- , $- ," $195,014 "," $157,340 "
239 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC," $191,405 "," $132,575 "," $94,064 "," $213,080 "," $176,090 "
240 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC," $109,127 "," $149,016 "," $121,762 "," $119,936 "," $122,030 "
241 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC, $- , $- , $- , $- ," $54,903 "
242 - PERMANENT CARDIAC PACEMAKER IMPLANT W MCC," $215,739 "," $126,845 "," $174,893 "," $215,726 "," $206,270 "
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC," $127,207 "," $126,555 "," $121,074 "," $139,978 "," $140,462 "
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC," $162,877 "," $90,464 "," $110,175 "," $109,725 "," $114,247 "
245 - AICD GENERATOR PROCEDURES," $(756,086)", $- , $- ," $237,767 "," $72,215 "
246 - PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4," $218,084 "," $159,140 "," $190,359 "," $183,290 "," $210,096 "
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC," $136,066 "," $132,491 "," $149,211 "," $141,627 "," $139,673 "
248 - PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC," $147,178 "," $175,880 "," $151,953 "," $104,467 ", $- 
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC," $131,420 "," $138,850 "," $121,012 "," $102,663 "," $118,790 "
250 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC," $156,835 "," $114,172 ", $- ," $104,447 ", $- 
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC," $99,838 ", $- , $- ," $98,460 "," $92,717 "
252 - OTHER VASCULAR PROCEDURES W MCC," $139,314 "," $140,555 "," $187,072 "," $150,280 "," $116,344 "
253 - OTHER VASCULAR PROCEDURES W CC," $157,001 "," $131,622 ", $- ," $144,333 "," $147,510 "
254 - OTHER VASCULAR PROCEDURES W/O CC/MCC," $108,308 "," $61,895 "," $54,050 "," $100,089 "," $102,447 "
255 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC," $100,182 "," $66,604 ", $- , $- , $- 
256 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC," $88,371 "," $59,512 ", $- , $- ," $108,286 "
257 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W/O CC/MCC, $- ," $42,589 ", $- , $- , $- 
258 - CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC, $- , $- ," $81,454 ", $- , $- 
259 - CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC, $- , $- , $- , $- ," $140,080 "
260 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC," $113,691 ", $- , $- ," $143,982 "," $128,298 "
261 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC," $72,557 "," $54,108 "," $61,457 "," $58,317 "," $37,921 "
262 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC," $79,791 "," $44,473 "," $41,730 "," $75,968 ", $- 
263 - VEIN LIGATION & STRIPPING, $- , $- , $- ," $101,363 ", $- 
264 - OTHER CIRCULATORY SYSTEM O.R. PROCEDURES," $119,847 "," $148,736 ", $- ," $179,145 "," $126,113 "
265 - AICD LEAD PROCEDURES, $- , $- , $- ," $68,253 ", $- 
266 - ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC," $471,114 ", $- , $- , $- , $- 
267 - ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC," $352,827 ", $- , $- , $- , $- 
268 - AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC," $180,401 ", $- , $- ," $115,935 ", $- 
269 - AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC," $234,972 ", $- , $- ," $226,763 "," $215,748 "
270 - OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC," $228,652 "," $308,525 "," $236,643 "," $217,710 "," $169,675 "
271 - OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC," $193,775 "," $104,791 "," $232,839 "," $158,586 "," $183,299 "
272 - OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC," $115,619 "," $81,596 ", $- ," $144,496 "," $121,660 "
273 - PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC," $246,238 ", $- , $- ," $199,961 "," $152,091 "
274 - PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC," $163,244 ", $- , $- ," $194,096 "," $116,010 "
"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC"," $83,276 "," $74,227 "," $90,055 "," $85,512 "," $60,706 "
