Location,Charge Code,Description,Fee,Charge Quantity - Pharmacy
HEALTH ALLIANCE/CLINTON,25000002,LIOTHYRONINE 10 MCG/ML INTRAVENOUS SOLUTION [10442],"2,611.63",1  x 1 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,LIOTHYRONINE 10 MCG/ML INTRAVENOUS SOLUTION [10442],"2,444.75",1  x 1 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,CARBOPROST TROMETHAMINE 250 MCG/ML INTRAMUSCULAR SOLUTION [9413],"2,250.65",1  x 1 mL AMPUL
HEALTH ALLIANCE/CLINTON,25000002,CARBOPROST TROMETHAMINE 250 MCG/ML INTRAMUSCULAR SOLUTION [9413],"2,250.65",1  x 1 mL AMPUL
HEALTH ALLIANCE/CLINTON,25000002,EPHEDRINE (PF) 50 MG/10 ML (5 MG/ML) IN 0.9 % SOD.CHLORIDE IV SYRINGE [128660],"2,222.50",1  x 10 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,CYCLOPHOSPHAMIDE 500 MG INTRAVENOUS SOLUTION [38271],"2,093.16",1 each
HEALTH ALLIANCE/CLINTON,25000002,"EPINEPHRINE 0.3 MG/0.3 ML INJECTION, AUTO-INJECTOR [124987]","1,932.34",1 each
HEALTH ALLIANCE/CLINTON,25000002,"EPINEPHRINE 0.15 MG/0.3 ML INJECTION,AUTO-INJECTOR [124985]","1,932.34",1 each
HEALTH ALLIANCE/CLINTON,25000002,SODIUM NITROPRUSSIDE 25 MG/ML INTRAVENOUS SOLUTION [18908],"1,905.00",1  x 2 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,SODIUM NITROPRUSSIDE 25 MG/ML INTRAVENOUS SOLUTION [18908],"1,905.00",1  x 2 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,SODIUM NITROPRUSSIDE 25 MG/ML INTRAVENOUS SOLUTION [18908],"1,746.25",1  x 2 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,CHONDROITIN-SOD HYALURON 3 %-4 %(0.5 ML)1 %(0.55 ML)INTRAOCULAR SYRING [28917],"1,331.92",1  x 1.05 mL KIT
HEALTH ALLIANCE/CLINTON,25000002,MEDROXYPROGESTERONE 150 MG/ML INTRAMUSCULAR SUSPENSION [19736],"1,325.57",1  x 1 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,FLUPHENAZINE 2.5 MG/ML INJECTION SOLUTION [3216],"1,161.55",1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,METHYLENE BLUE (ANTIDOTE) 5 MG/ML (0.5 %) INTRAVENOUS SOLUTION [172741],"1,136.53",1  x 10 mL AMPUL
HEALTH ALLIANCE/CLINTON,25000002,METHYLENE BLUE (ANTIDOTE) 5 MG/ML (0.5 %) INTRAVENOUS SOLUTION [172741],"1,136.53",1  x 10 mL AMPUL
HEALTH ALLIANCE/CLINTON,25000002,RIFAMPIN 600 MG INTRAVENOUS SOLUTION [11291],"1,133.86",1 each
HEALTH ALLIANCE/CLINTON,25000002,CANDIDA ALBICANS SKIN TEST FDA STANDARD INTRADERMAL [125050],"1,130.30",1  x 1 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,SUGAMMADEX 100 MG/ML INTRAVENOUS SOLUTION [163036],"1,104.90",1  x 5 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,VASOPRESSIN 20 UNIT/ML INTRAVENOUS SOLUTION [127636],966.35,1  x 1 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,VASOPRESSIN 20 UNIT/ML INTRAVENOUS SOLUTION [127636],966.35,1  x 1 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,CHONDROITIN-SOD HYALURON 4 %-3 % (40 MG-30 MG/ML) INTRAOCULAR SYRINGE [28923],958.16,1  x .5 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,"EPINEPHRINE 0.3 MG/0.3 ML INJECTION, AUTO-INJECTOR [124987]",952.50,1 each
HEALTH ALLIANCE/CLINTON,25000002,SODIUM HYALURONATE 10 MG/ML INTRAOCULAR SYRINGE [28913],906.53,1  x .85 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,SEVOFLURANE INHALATION LIQUID [15119],863.60,1  x 250 mL Bottle
HEALTH ALLIANCE/CLINTON,25000002,SEVOFLURANE INHALATION LIQUID [15119],819.15,1  x 250 mL Bottle
HEALTH ALLIANCE/CLINTON,25000002,NAFCILLIN 10 GRAM SOLUTION FOR INJECTION [5334],704.99,1 each
HEALTH ALLIANCE/CLINTON,25000002,MYCOPHENOLATE 500 MG INTRAVENOUS SOLUTION [23968],685.67,1 each
HEALTH ALLIANCE/CLINTON,25000002,MYCOPHENOLATE 500 MG INTRAVENOUS SOLUTION [23968],685.67,1 each
HEALTH ALLIANCE/CLINTON,25000002,LEVOTHYROXINE 100 MCG INTRAVENOUS SOLUTION [113060],670.44,1 each
HEALTH ALLIANCE/CLINTON,25000002,ETHANOL (ETHYL ALCOHOL) 98 % INJECTION SOLUTION [122749],655.99,1  x 5 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,SODIUM HYALURONATE 10 MG/ML INTRAOCULAR SYRINGE [28913],654.69,1  x .55 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,NICARDIPINE 20 MG/200 ML IN SODIUM CHLORIDE(ISO) INTRAVENOUS PIGGYBACK [94219],645.16,1  x 200 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,SODIUM HYALURONATE 10 MG/ML INTRAOCULAR SYRINGE [28913],629.80,1  x .4 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,SUGAMMADEX 100 MG/ML INTRAVENOUS SOLUTION [163036],603.25,1  x 2 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,ACETYLCHOLINE CHLORIDE 1 % (10 MG/ML) INTRAOCULAR KIT [76641],598.11,1 each
HEALTH ALLIANCE/CLINTON,25000002,MICROFIBRILLAR COLLAGEN HEMOSTAT TOPICAL POWDER IN PACKET [130922],596.90,1 each
HEALTH ALLIANCE/CLINTON,25000002,ASCORBIC ACID (VITAMIN C) 500 MG/ML INJECTION SOLUTION [654],574.68,1  x 50 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,DANTROLENE 20 MG INTRAVENOUS SOLUTION [9716],562.87,1 each
HEALTH ALLIANCE/CLINTON,25000002,SODIUM THIOSULFATE 12.5 GRAM/50 ML (250 MG/ML) INTRAVENOUS SOLUTION [7364],539.75,1  x 50 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,MEDROXYPROGESTERONE 150 MG/ML INTRAMUSCULAR SUSPENSION [19736],517.78,1  x 1 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,MEDROXYPROGESTERONE 150 MG/ML INTRAMUSCULAR SUSPENSION [19736],517.78,1  x 1 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,TUBERCULIN PPD 5 TUB. UNIT/0.1 ML INTRADERMAL INJECTION SOLUTION [8259],515.12,1  x 1 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,TUBERCULIN PPD 5 TUB. UNIT/0.1 ML INTRADERMAL INJECTION SOLUTION [8259],492.13,1  x 1 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,TUBERCULIN PPD 5 TUB. UNIT/0.1 ML INTRADERMAL INJECTION SOLUTION [8259],492.13,1  x 1 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,AMINO ACIDS 5 %-DEXTROSE 15 %-ELECTROLYTES INTRAVENOUS SOLUTION [27963],469.90,1  x 2000 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,AMINO ACID 5 % IN 15 % DEXTROSE INTRAVENOUS SOLUTION [27931],444.50,1  x 2000 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,AMINO ACIDS 4.25 % WITH LYTES AND CALCIUM IN D5W INTRAVENOUS SOLUTION [27947],444.50,1  x 2000 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,EPHEDRINE (PF) 50 MG/10 ML (5 MG/ML) IN 0.9 % SOD.CHLORIDE IV SYRINGE [128660],425.96,1  x 10 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,METHOHEXITAL 500 MG SOLUTION FOR INJECTION [70545],420.82,1 each
HEALTH ALLIANCE/CLINTON,25000002,REMIFENTANIL 1 MG INTRAVENOUS SOLUTION [18398],389.20,1 each
HEALTH ALLIANCE/CLINTON,25000002,REMIFENTANIL 1 MG INTRAVENOUS SOLUTION [18398],389.20,1 each
HEALTH ALLIANCE/CLINTON,25000002,REMIFENTANIL 1 MG INTRAVENOUS SOLUTION [18398],374.65,1 each
HEALTH ALLIANCE/CLINTON,25000002,REMIFENTANIL 1 MG INTRAVENOUS SOLUTION [18398],374.65,1 each
HEALTH ALLIANCE/CLINTON,25000002,AZTREONAM 2 GRAM SOLUTION FOR INJECTION [9186],368.30,1 each
HEALTH ALLIANCE/CLINTON,25000002,PRALIDOXIME-ATROPINE 600 MG/2 ML-2.1 MG/0.7 ML INTRAMUSCULAR PEN INJ. [105405],322.66,1  x 2.7 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,TRYPAN BLUE 0.06 % INTRAOCULAR SYRINGE [88317],321.00,1  x .5 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,EPHEDRINE (PF) 50 MG/10 ML (5 MG/ML) IN 0.9 % SOD.CHLORIDE IV SYRINGE [128660],309.19,1  x 10 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,SODIUM NITROPRUSSIDE 25 MG/ML INTRAVENOUS SOLUTION [18908],303.15,1  x 2 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,FENTANYL-ROPIVACAINE-NACL (PF) 2 MCG/ML-0.1% EPIDURAL SOLUTION [125809],298.45,1  x 250 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,PHENYLEPHRINE 0.4 MG/10 ML (40 MCG/ML) IN 0.9 %SOD.CHLORIDE IV SYRINGE [129789],291.47,1  x 10 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,FOLIC ACID 5 MG/ML INJECTION SOLUTION [3232],286.52,1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],279.40,1  x 5 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],279.40,1  x 5 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,EPHEDRINE SULFATE 50 MG/ML INJECTION SOLUTION [2833],279.28,1  x 1 mL AMPUL
HEALTH ALLIANCE/CLINTON,25000002,OLANZAPINE 10 MG INTRAMUSCULAR SOLUTION [38263],272.61,1 each
HEALTH ALLIANCE/CLINTON,25000002,AMINO ACIDS 4.25 % WITH LYTES AND CALCIUM IN D10W INTRAVENOUS SOLUTION [27951],266.70,1  x 1000 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,DEXMEDETOMIDINE 100 MCG/ML INTRAVENOUS SOLUTION [123049],266.70,1  x 2 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,GELATIN ABSORBABLE 100 TOPICAL SPONGE [28025],264.53,1 each
HEALTH ALLIANCE/CLINTON,25000002,FAT EMULSION 20 % INTRAVENOUS [10014],261.94,1  x 250 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,"LIDOCAINE 2 %-EPINEPHRINE BITARTRATE 1:100,000 INJECTION CARTRIDGE [128742]",253.69,1  x 1.7 mL Cartridge
HEALTH ALLIANCE/CLINTON,25000002,PHYSOSTIGMINE 1 MG/ML INJECTION SOLUTION [6270],248.57,1  x 2 mL AMPUL
HEALTH ALLIANCE/CLINTON,25000002,AMINO ACIDS 5 %-DEXTROSE 15 %-ELECTROLYTES INTRAVENOUS SOLUTION [27963],247.65,1  x 1000 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,AMINO ACID 5 % IN 15 % DEXTROSE INTRAVENOUS SOLUTION [27931],241.30,1  x 1000 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,AMINO ACIDS 4.25 % WITH LYTES AND CALCIUM IN D5W INTRAVENOUS SOLUTION [27947],241.30,1  x 1000 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,FAT EMULSION 20% BOLUS [640082],231.78,1  x 500 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,EPHEDRINE SULFATE 50 MG/ML INTRAVENOUS SOLUTION [170732],222.25,1  x 1 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,FAT EMULSION 20% BOLUS [640082],220.67,1  x 250 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,ESOMEPRAZOLE SODIUM 40 MG INTRAVENOUS SOLUTION [41174],219.08,1 each
HEALTH ALLIANCE/CLINTON,25000002,OLANZAPINE 10 MG INTRAMUSCULAR SOLUTION [38263],210.82,1 each
HEALTH ALLIANCE/CLINTON,25000002,AMINO ACID 4.25 % IN 10 % DEXTROSE INTRAVENOUS SOLUTION [27928],209.55,1  x 1000 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,OLANZAPINE 10 MG INTRAMUSCULAR SOLUTION [38263],209.55,1 each
HEALTH ALLIANCE/CLINTON,25000002,AZTREONAM 1 GRAM SOLUTION FOR INJECTION [9185],209.24,1 each
HEALTH ALLIANCE/CLINTON,25000002,VERAPAMIL 2.5 MG/ML INTRAVENOUS SOLUTION [8527],204.16,1  x 2 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,VERAPAMIL 2.5 MG/ML INTRAVENOUS SOLUTION [8527],204.16,1  x 2 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,VANCOMYCIN 2 G IVPB IN NS 500 ML (BATCH) [640302],203.20,1  x 500 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,VALPROATE SODIUM 500 MG/5 ML (100 MG/ML) INTRAVENOUS SOLUTION [20887],201.40,1  x 5 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,MAGNESIUM SULFATE IN LR 40 GRAM/500 ML INTRAVENOUS SOLUTION [125299],200.03,1  x 500 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,POTASSIUM PHOSPHATE 30 MMOL/500 ML IN 0.9 % SODIUM CHLORIDE IV SOLN [130485],200.03,1  x 500 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,"TRANEXAMIC ACID 1,000 MG/10 ML (100 MG/ML) INTRAVENOUS SOLUTION [11573]",194.95,1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,POTASSIUM PHOSPHATES-MBASIC AND DIBASIC 3 MMOL/ML INTRAVENOUS SOLUTION [127665],192.31,1  x 15 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,SODIUM PHOSPHATE 3 MMOL/ML INTRAVENOUS SOLUTION [7351],192.31,1  x 15 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,MIDAZOLAM 1 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS [34270],191.14,1  x 100 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,MAGNESIUM SULFATE IN LR 40 GRAM/500 ML INTRAVENOUS SOLUTION [125299],185.63,1  x 500 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,"TRANEXAMIC ACID 1,000 MG/10 ML (100 MG/ML) INTRAVENOUS SOLUTION [11573]",185.49,1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,"TRANEXAMIC ACID 1,000 MG/10 ML (100 MG/ML) INTRAVENOUS SOLUTION [11573]",185.49,1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,AZTREONAM 1 GRAM SOLUTION FOR INJECTION [9185],184.15,1 each
HEALTH ALLIANCE/CLINTON,25000002,VERAPAMIL 2.5 MG/ML INTRAVENOUS SOLUTION [8527],183.77,1  x 2 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,ETOMIDATE 2 MG/ML INTRAVENOUS SYRINGE [123457],180.47,1  x 20 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,VANCOMYCIN 1.75 G IVPB IN NS 500 ML (BATCH) [640303],177.80,1  x 500 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,SIROLIMUS 2 MG TABLET [35262],176.38,1 each
HEALTH ALLIANCE/CLINTON,25000002,CISATRACURIUM 2 MG/ML INTRAVENOUS SOLUTION [119149],174.63,1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,FAT EMULSION 20% BOLUS [640082],170.82,1  x 100 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,HYDROMORPHONE 30 MG/30 ML (1 MG/ML) IN 0.9 % NACL IV PCA SYRINGE [128183],170.69,1  x 30 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,VANCOMYCIN 1.5 GRAM/500 ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLN [167285],169.42,1  x 500 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,FENTANYL (PF) 20 MCG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS [122558],164.47,1  x 100 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,MIDAZOLAM 1 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS [34270],160.02,1  x 100 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,FENTANYL (PF) 50 MCG/ML INTRANASAL SOLUTION (ASAP PEDIATRIC OSM) [603037],158.75,1  x 50 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,POTASSIUM PHOSPHATE 15 MMOL/250 ML IN 0.9 % SODIUM CHLORIDE IV SOLN [130060],156.21,1  x 250 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,DOXYCYCLINE HYCLATE 100 MG INTRAVENOUS POWDER FOR SOLUTION [2622],153.42,1 each
HEALTH ALLIANCE/CLINTON,25000002,HYDROMORPHONE 6 MG/30 ML (0.2 MG/ML) IN 0.9 % NACL IV PCA SYRINGE [130349],146.88,1  x 30 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],146.05,1  x 2 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION [119135],146.05,1  x 2 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,NAFCILLIN 2 GRAM SOLUTION FOR INJECTION [5335],143.89,1 each
HEALTH ALLIANCE/CLINTON,25000002,NAFCILLIN 2 GRAM SOLUTION FOR INJECTION [5335],142.88,1 each
HEALTH ALLIANCE/CLINTON,25000002,FENTANYL (PF) 2 MCG/ML-BUPIVACAINE 0.125 %-NACL INJECTION SOLUTION [30862],141.29,1  x 250 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,NICARDIPINE 25 MG/10 ML INTRAVENOUS SOLUTION [12370],140.59,1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,NICARDIPINE 25 MG/10 ML INTRAVENOUS SOLUTION [12370],140.59,1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,CALCIUM GLUCONATE 2 GRAM/50 ML IN 0.9 % SODIUM CHLORIDE IV [130023],140.34,1  x 50 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,FAT EMULSION 20 % INTRAVENOUS [10014],139.70,1  x 500 mL Flex Cont
HEALTH ALLIANCE/CLINTON,25000002,NAFCILLIN 2 GRAM SOLUTION FOR INJECTION [5335],139.70,1 each
HEALTH ALLIANCE/CLINTON,25000002,CHLOROPROCAINE (PF) 20 MG/ML (2 %) INJECTION SOLUTION [1634],135.39,1  x 20 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,CLINDAMYCIN 900 MG/50 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK [9627],135.26,1  x 50 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,CLINDAMYCIN 900 MG/50 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK [9627],135.26,1  x 50 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,FENTANYL (PF) 5 MCG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS [122045],134.94,1  x 250 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,NITROGLYCERIN 100 MG/250 ML (400 MCG/ML) IN 5 % DEXTROSE INTRAVENOUS [10726],133.35,1  x 250 mL Bottle
HEALTH ALLIANCE/CLINTON,25000002,POTASSIUM PHOSPHATE 15 MMOL/250 ML IN 0.9 % SODIUM CHLORIDE IV SOLN [130060],131.77,1  x 250 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,NOREPINEPHRINE BITARTRATE 1 MG/ML INTRAVENOUS SOLUTION [128328],128.48,1  x 4 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,"MVI,ADULT NO.4 WITH VIT K 3300 UNIT-150 MCG/10 ML INTRAVENOUS SOLUTION [130793]",128.47,1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,NICARDIPINE 25 MG/10 ML INTRAVENOUS SOLUTION [12370],127.89,1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,VANCOMYCIN 1.5 GRAM/500 ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLN [167285],127.54,1  x 515 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,VANCOMYCIN 1.5 GRAM/500 ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLN [167285],127.00,1  x 500 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,"TRANEXAMIC ACID 1,000 MG/10 ML (100 MG/ML) INTRAVENOUS SOLUTION [11573]",127.00,1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,LIDOCAINE 4 % LARYNGOTRACHEAL SOLUTION [43717],127.00,1  x 4 mL Bottle
HEALTH ALLIANCE/CLINTON,25000002,"TRANEXAMIC ACID 1,000 MG/10 ML (100 MG/ML) INTRAVENOUS SOLUTION [11573]",126.88,1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,"TRANEXAMIC ACID 1,000 MG/10 ML (100 MG/ML) INTRAVENOUS SOLUTION [11573]",126.88,1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,NOREPINEPHRINE BITARTRATE 1 MG/ML INTRAVENOUS SOLUTION [128328],126.57,1  x 4 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,MORPHINE 30 MG/30 ML (1 MG/ML) IN 0.9 % SODIUM CHLORIDE IV PCA SYRINGE [129655],125.16,1  x 30 mL Syringe
HEALTH ALLIANCE/CLINTON,25000002,MANNITOL 20 % INTRAVENOUS SOLUTION [4749],120.65,1  x 500 mL Flex Cont
HEALTH ALLIANCE/CLINTON,25000002,MANNITOL 20 % INTRAVENOUS SOLUTION [4749],120.65,1  x 500 mL Flex Cont
HEALTH ALLIANCE/CLINTON,25000002,CALCIUM CHLORIDE 100 MG/ML (10 %) INTRAVENOUS SOLUTION [121945],117.80,1  x 10 mL Vial
HEALTH ALLIANCE/CLINTON,25000002,MIDAZOLAM 1 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS [34270],116.84,1  x 100 mL Bag
HEALTH ALLIANCE/CLINTON,25000002,BALANCED SALT SOLUTION NON-SURGICAL NO.3 EYE WASH [10780],116.21,1  x 30 mL Bottle
HEALTH ALLIANCE/CLINTON,25000002,FENTANYL (PF) 600 MCG/30 ML (20 MCG/ML) IN 0.9 % NACL IV PCA SYRINGE [131383],116.02,1  x 30 mL Syringe
