Hospital Name:  French Medical Center,,,,,,,
OSHPD Facility No: 106400480,,,,,,,
"Effective Date of Charges: July 1, 2018",,,,,,,
,,,,,,,
"CDM
Number",Billing Description (25 char), 999 Price  (Default) ,Zero Price Indicator,,,,
0063800,NEWBORN LVL II/PHTO      ," 8,500.00 ",,,,,
0063818,NEWBORN II ON NURSY      ," 8,500.00 ",,,,,
0064402,ROOM ICU GENERAL         ," 8,640.00 ",,,,,
0066100,ROOM ICU GENERAL         ," 8,640.00 ",,,,,
0071209,ROOM ICU GEN 1:1         ," 9,380.00 ",,,,,
0072504,ROOM ICU GEN 1:1         ," 9,380.00 ",,,,,
0073700,NEWBORN LEVEL I          ," 4,270.00 ",,,,,
0073809,NEWBORN LEVEL I          ," 4,270.00 ",,,,,
0074401,ROOM ICU GEN 1:1         ," 9,380.00 ",,,,,
0076109,ROOM ICU GEN 1:1         ," 9,380.00 ",,,,,
0081208,ROOM SEMI PVT OB         ," 2,640.00 ",,,,,
0082503,ROOM SEMI PVT OB         ," 2,640.00 ",,,,,
0083600,ROOM SEMI PVT OB         ," 2,640.00 ",,,,,
0083709,NEWBORN LVL II/PHTO      ," 8,500.00 ",,,,,
0083808,NEWBORN LVL II/PHTO      ," 8,500.00 ",,,,,
0084400,ROOM SEMI PVT OB         ," 2,640.00 ",,,,,
0093609,ROOM SEMI OB HI RSK      ," 3,400.00 ",,,,,
0101001,TRANSFUS BLD/BLD COMP    ," 1,496.00 ",,,,,
0101002,INSERT CATH BLADDER      , 287.00 ,,,,,
0101007,INF IV HYDRA INIT 31-60MN, 497.00 ,,,,,
0101008,INF IV HYDRAT EA ADD HR  , 150.00 ,,,,,
0101009,INF TX/DX/PRO INIT 1ST HR, 802.00 ,,,,,
0101010,INF TX/DX/PRO EA ADD HR  , 150.00 ,,,,,
0101011,INF TX/DX/PRO SEQ 1HR    , 249.00 ,,,,,
0101012,INF TX/DX CONCURRENT     , 175.00 ,,,,,
0101013,INJ TX/DX/PROPH SUBQ/IM  , 248.00 ,,,,,
0101014,INJ TX/DX/PRO IVPUSH INIT, 501.00 ,,,,,
0101015,INJ TX/DX/PRO IV PUSH SEQ, 150.00 ,,,,,
0101016,INJ TX/PRO/DX IVP SME DRG, 274.00 ,,,,,
0101017,CHEMO SQ/IM NONHORMONAL  , 194.00 ,,,,,
0101018,CHEMO SQ/IM HORMONAL     , 194.00 ,,,,,
0101019,CHEMO IV PUSH INITIAL    , 693.00 ,,,,,
0101020,CHEMO IV PUSH EA ADD     , 393.00 ,,,,,
0101021,CHEMO INF INIT 1ST HR    ," 2,470.00 ",,,,,
0101022,CHEMO INF EA ADD HR      ," 1,235.00 ",,,,,
0101023,CHEMO INF EA SEQ 1ST HR  , 393.00 ,,,,,
0101026,OBSERVATION PER HOUR     , 396.00 ,,,,,
0101027,DIRECT ADMISSION FOR OBSV, 638.00 ,,,,,
0103001,TRANSFUS BLD/BLD COMP    , 0.09 ,,,,,
0103002,INSERT CATH BLADDER      , 0.09 ,,,,,
0103007,INF IV HYDRA INIT 31-60MN, 0.09 ,,,,,
0103008,INF IV HYDRAT EA ADD HR  , 0.09 ,,,,,
0103009,INF TX/DX/PRO INIT 1ST HR, 0.09 ,,,,,
0103010,INF TX/DX/PRO EA ADD HR  , 0.09 ,,,,,
0103011,INF TX/DX/PRO SEQ 1HR    , 0.09 ,,,,,
0103012,INF TX/DX CONCURRENT     , 0.09 ,,,,,
0103013,INJ TX/DX/PROPH SUBQ/IM  , 0.09 ,,,,,
0103014,INJ TX/DX/PRO IVPUSH INIT, 0.09 ,,,,,
0103015,INJ TX/DX/PRO IV PUSH SEQ, 0.09 ,,,,,
0103016,INJ TX/PRO/DX IVP SME DRG, 0.09 ,,,,,
0103017,CHEMO SQ/IM NONHORMONAL  , 0.09 ,,,,,
0103018,CHEMO SQ/IM HORMONAL     , 0.09 ,,,,,
0103019,CHEMO IV PUSH INITIAL    , 0.09 ,,,,,
0103020,CHEMO IV PUSH EA ADD     , 0.09 ,,,,,
0103021,CHEMO INF INIT 1ST HR    , 0.09 ,,,,,
0103022,CHEMO INF EA ADD HR      , 0.09 ,,,,,
0103023,CHEMO INF EA SEQ 1ST HR  , 0.09 ,,,,,
0103026,OBSERVATION PER HOUR     , 0.09 ,,,,,
0103027,DIRECT ADMISSION FOR OBSV, 0.09 ,,,,,
0103519,NON OBV OIB HR NC        , -   ,1,,,,
0103520,NON OBV OIB HR NC        , -   ,1,,,,
0103544,CATH DRAINAGE 150X-195   , 0.09 ,,,,,
0103545,CATH DRAINAGE 254X-331   , 0.09 ,,,,,
0103546,CATH OTHER 30X-39        , 0.09 ,,,,,
0103547,INST/SUPP STERL 30X-39   , 0.09 ,,,,,
0103548,INTRO SHTH OTH 23X-30    , 0.09 ,,,,,
0200001,TRANSFUS BLD/BLD COMP    , 0.09 ,,,,,
0200002,INSERT CATH BLADDER      , 0.09 ,,,,,
0200007,AD EVOKED POTENTIALS LTD , 0.09 ,,,,,
0200008,INF IV HYDRA INIT 31-60MN, 0.09 ,,,,,
0200009,INF IV HYDRAT EA ADD HR  , 0.09 ,,,,,
0200010,INF TX/DX/PRO INIT 1ST HR, 0.09 ,,,,,
0200011,INF TX/DX/PRO EA ADD HR  , 0.09 ,,,,,
0200012,INF TX/DX/PRO SEQ 1HR    , 0.09 ,,,,,
0200013,INF TX/DX CONCURRENT     , 0.09 ,,,,,
0200014,INJ TX/DX/PROPH SUBQ/IM  , 0.09 ,,,,,
0200015,INJ TX/DX/PRO IVPUSH INIT, 0.09 ,,,,,
0200016,INJ TX/DX/PRO IV PUSH SEQ, 0.09 ,,,,,
0200017,INJ TX/PRO/DX IVP SME DRG, 0.09 ,,,,,
0200018,CHEMO SQ/IM NONHORMONAL  , 0.09 ,,,,,
0200019,CHEMO SQ/IM HORMONAL     , 0.09 ,,,,,
0200020,CHEMO IV PUSH INITIAL    , 0.09 ,,,,,
0200021,CHEMO IV PUSH EA ADD     , 0.09 ,,,,,
0200022,CHEMO INF INIT 1ST HR    , 0.09 ,,,,,
0200023,CHEMO INF EA ADD HR      , 0.09 ,,,,,
0200024,CHEMO INF EA SEQ 1ST HR  , 0.09 ,,,,,
0200027,OBSERVATION PER HOUR     , 0.09 ,,,,,
0200028,DIRECT ADMISSION FOR OBSV, 0.09 ,,,,,
0200500,INTRO SHTH OTH 39X-51    , 0.09 ,,,,,
0200501,CATH DRAINAGE 88X-115    , 0.09 ,,,,,
0200502,CATH INFUSION 67X-88     , 0.09 ,,,,,
0200503,CATH INFUSION 23X-30     , 0.09 ,,,,,
0200504,CATH INFUSION 39X-51     , 0.09 ,,,,,
0200505,CATH INFUSION 51X-67     , 0.09 ,,,,,
0200507,INST/SUPP STERL 10-13    , 0.09 ,,,,,
0200508,INST/SUPP STERL 13X-17   , 0.09 ,,,,,
0200509,INST/SUPP STERL 17X-23   , 0.09 ,,,,,
0200510,INTRO SHTH OTH 17X-23    , 0.09 ,,,,,
0200511,CATH INFUSION 150X-195   , 0.09 ,,,,,
0200512,CATH INFUSION 88X-115    , 0.09 ,,,,,
0200513,CATH INFUSION 30X-39     , 0.09 ,,,,,
0200514,CATH DRAINAGE 17X-23     , 0.09 ,,,,,
0200515,CATH DRAINAGE 10-13      , 0.09 ,,,,,
0200517,CATH INFUSION 10-13      , 0.09 ,,,,,
0315001,TRANSFUS BLD/BLD COMP    ," 1,496.00 ",,,,,
0315002,INSERT CATH BLADDER      , 287.00 ,,,,,
0315007,CHOLINESTRASE CHALLNG TST, 332.00 ,,,,,
0315008,INF IV HYDRA INIT 31-60MN, 497.00 ,,,,,
0315009,INF IV HYDRAT EA ADD HR  , 150.00 ,,,,,
0315010,INF TX/DX/PRO INIT 1ST HR, 802.00 ,,,,,
0315011,INF TX/DX/PRO EA ADD HR  , 150.00 ,,,,,
0315012,INF TX/DX/PRO SEQ 1HR    , 249.00 ,,,,,
0315013,INF TX/DX CONCURRENT     , 175.00 ,,,,,
0315014,INJ TX/DX/PROPH SUBQ/IM  , 248.00 ,,,,,
0315015,INJ TX/DX/PRO IVPUSH INIT, 501.00 ,,,,,
0315016,INJ TX/DX/PRO IV PUSH SEQ, 150.00 ,,,,,
0315017,INJ TX/PRO/DX IVP SME DRG, 274.00 ,,,,,
0315018,CHEMO SQ/IM NONHORMONAL  , 194.00 ,,,,,
0315019,CHEMO SQ/IM HORMONAL     , 194.00 ,,,,,
0315020,CHEMO IV PUSH INITIAL    , 693.00 ,,,,,
0315021,CHEMO IV PUSH EA ADD     , 393.00 ,,,,,
0315022,CHEMO INF INIT 1ST HR    ," 2,470.00 ",,,,,
0315023,CHEMO INF EA ADD HR      ," 1,235.00 ",,,,,
0315024,CHEMO INF EA SEQ 1ST HR  , 393.00 ,,,,,
0315027,OBSERVATION PER HOUR     , 396.00 ,,,,,
0315028,DIRECT ADMISSION FOR OBSV, 638.00 ,,,,,
0315508,NON OBV OIB HR NC        , -   ,1,,,,
0315511,ORTHO L0472 431X-561     ," 2,232.00 ",,,,,
0315512,ORTHO L0456 730X-949     ," 3,780.00 ",,,,,
0315513,ORTHO L1932 949X-1234    ," 4,914.00 ",,,,,
0315514,ORTHO L0631 730X-949     ," 3,780.00 ",,,,,
0315515,ORTHO L0464 949X-1234    ," 4,914.00 ",,,,,
0315516,ARTHROCEN ASP MAJOR JT WO, 838.00 ,,,,,
0315517,VENIPUNCTURE NON LAB     , 0.09 ,,,,,
0417001,TRANSFUS BLD/BLD COMP    ," 1,496.00 ",,,,,
0417002,INSERT CATH BLADDER      , 276.00 ,,,,,
0417007,INF IV HYDRA INIT 31-60MN, 469.00 ,,,,,
0417008,INF IV HYDRAT EA ADD HR  , 141.00 ,,,,,
0417009,INF TX/DX/PRO INIT 1ST HR, 756.00 ,,,,,
0417010,INF TX/DX/PRO EA ADD HR  , 141.00 ,,,,,
0417011,INF TX/DX/PRO SEQ 1HR    , 234.00 ,,,,,
0417012,INF TX/DX CONCURRENT     , 165.00 ,,,,,
0417013,INJ TX/DX/PROPH SUBQ/IM  , 234.00 ,,,,,
0417014,INJ TX/DX/PRO IVPUSH INIT, 473.00 ,,,,,
0417015,INJ TX/DX/PRO IV PUSH SEQ, 141.00 ,,,,,
0417016,INJ TX/PRO/DX IVP SME DRG, 258.00 ,,,,,
0417017,CHEMO SQ/IM NONHORMONAL  , 185.00 ,,,,,
0417018,CHEMO SQ/IM HORMONAL     , 185.00 ,,,,,
0417019,CHEMO IV PUSH INITIAL    , 660.00 ,,,,,
0417020,CHEMO IV PUSH EA ADD     , 374.00 ,,,,,
0417021,CHEMO INF INIT 1ST HR    ," 2,352.00 ",,,,,
0417022,CHEMO INF EA ADD HR      ," 1,176.00 ",,,,,
0417023,CHEMO INF EA SEQ 1ST HR  , 374.00 ,,,,,
0417026,OBSERVATION PER HOUR     , 396.00 ,,,,,
0417027,DIRECT ADMISSION FOR OBSV, 596.00 ,,,,,
0417029,CHEMO ADMIN PERIT CAV IND," 1,085.00 ",,,,,
0417032,CHEMO IV INF PUMP PROLONG, 0.09 ,,,,,
0417033,ARTHROCEN ASP INTER JT WO, 860.00 ,,,,,
0429001,TRANSFUS BLD/BLD COMP    , 0.09 ,,,,,
0429002,INSERT CATH BLADDER      , 0.09 ,,,,,
0429007,INF IV HYDRA INIT 31-60MN, 0.09 ,,,,,
0429008,INF IV HYDRAT EA ADD HR  , 0.09 ,,,,,
0429009,INF TX/DX/PRO INIT 1ST HR, 0.09 ,,,,,
0429010,INF TX/DX/PRO EA ADD HR  , 0.09 ,,,,,
0429011,INF TX/DX/PRO SEQ 1HR    , 0.09 ,,,,,
0429012,INF TX/DX CONCURRENT     , 0.09 ,,,,,
0429013,INJ TX/DX/PROPH SUBQ/IM  , 0.09 ,,,,,
0429014,INJ TX/DX/PRO IVPUSH INIT, 0.09 ,,,,,
0429015,INJ TX/DX/PRO IV PUSH SEQ, 0.09 ,,,,,
0429016,INJ TX/PRO/DX IVP SME DRG, 0.09 ,,,,,
0429017,CHEMO SQ/IM NONHORMONAL  , 0.09 ,,,,,
0429018,CHEMO SQ/IM HORMONAL     , 0.09 ,,,,,
0429019,CHEMO IV PUSH INITIAL    , 0.09 ,,,,,
0429020,CHEMO IV PUSH EA ADD     , 0.09 ,,,,,
0429021,CHEMO INF INIT 1ST HR    , 0.09 ,,,,,
0429022,CHEMO INF EA ADD HR      , 0.09 ,,,,,
0429023,CHEMO INF EA SEQ 1ST HR  , 0.09 ,,,,,
0429026,OBSERVATION PER HOUR     , 0.09 ,,,,,
0429027,DIRECT ADMISSION FOR OBSV, 0.09 ,,,,,
0429030,NON OBV OIB HR NC        , -   ,1,,,,
0429031,NON OBV OIB HR NC        , -   ,1,,,,
0429033,BLOOD COLLECTION VAD     , 0.09 ,,,,,
0429038,IRRIG IMPLANTED VEN ACCES, 0.09 ,,,,,
0429039,BLOOD COLLECTION PICC    , 0.09 ,,,,,
0429042,ORTHO L0486 1605X-2087   ," 8,307.00 ",,,,,
0429043,TRANSFUS BLD/BLD COMP    , 0.09 ,,,,,
0429044,IRRIG/LAV/INSTL BLADDER  , 689.00 ,,,,,
0429045,VENIPUNCTURE NON LAB     , 0.09 ,,,,,
0429046,VENIPUNCTURE NON LAB     , 0.09 ,,,,,
0653001,TRANSFUS BLD/BLD COMP    ," 1,496.00 ",,,,,
0653004,CIRCUMCISION             , 882.00 ,,,,,
0653009,AD EVOKED POTENTIALS LIM , 319.00 ,,,,,
0700001,VENIPUNCTURE NON LAB     , 0.09 ,,,,,
0700002,TRANSFUS BLD/BLD COMP    , 0.09 ,,,,,
0700003,CIRCUMCISION             , 0.09 ,,,,,
0700004,AMNIOCENTESIS            , 0.09 ,,,,,
0700005,FETAL NON STRESS TEST    , 0.09 ,,,,,
0700007,EXTERNAL CEPHALIC VERSION, 0.09 ,,,,,
0700008,DELIVERY OF PLACENTA     , 0.09 ,,,,,
0700009,CERCLAGE REMOVAL         , 0.09 ,,,,,
0700010,AMNIOINFUSE TRANSCERVICAL, 0.09 ,,,,,
0700011,EPIDURAL BLOOD PATCH     , 0.09 ,,,,,
0700012,UA NONAUTO W/O MICRO POC , 0.09 ,,,,,
0700013,IMMUNOASSAY STREP A QW   , 0.09 ,,,,,
0700016,INF IV HYDRA INIT 31-60MN, 0.09 ,,,,,
0700017,INF IV HYDRAT EA ADD HR  , 0.09 ,,,,,
0700018,INF TX/DX/PRO INIT 1ST HR, 0.09 ,,,,,
0700019,INF TX/DX/PRO EA ADD HR  , 0.09 ,,,,,
0700020,INF TX/DX/PRO SEQ 1HR    , 0.09 ,,,,,
0700021,INF TX/DX CONCURRENT     , 0.09 ,,,,,
0700022,INJ TX/DX/PROPH SUBQ/IM  , 0.09 ,,,,,
0700023,INJ TX/DX/PRO IVPUSH INIT, 0.09 ,,,,,
0700024,INJ TX/DX/PRO IV PUSH SEQ, 0.09 ,,,,,
0700025,MOD SEDAT ADD 15M OTH MD , 0.09 ,,,,,
0700026,FETAL DEM <23 NEW W PROC , 0.09 ,,,,,
0700027,FETAL DEMISE <23WK NEW PT, 0.09 ,,,,,
0700028,OB VISIT/FETAL MONITR EST, 0.09 ,,,,,
0700029,FETAL DEM <23 EST W PROC , 0.09 ,,,,,
0700030,FETAL DEMISE <23WK EST PT, 0.09 ,,,,,
0700031,DIRECT ADMISSION FOR OBSV, 0.09 ,,,,,
0700032,AMNIOTIC PROTEIN QL POC  , 0.09 ,,,,,
0700033,ANESTH GENERAL 1ST 30MIN , 0.09 ,,,,,
0700034,ANESTH GENERAL ADDL 15MIN, 0.09 ,,,,,
0700035,ANESTH MAC/REG 1ST 30MIN , 0.09 ,,,,,
0700036,ANESTH MAC/REG ADDL 15MIN, 0.09 ,,,,,
0700037,LOCAL ANESTHESIA         , 0.09 ,,,,,
0700038,SURGERY LEVEL 1 1ST 30MIN, 0.09 ,,,,,
0700039,SURGERY LEVEL 1 ADD 15MIN, 0.09 ,,,,,
0700040,SURGERY LEVEL 2 1ST 30MIN, 0.09 ,,,,,
0700041,SURGERY LEVEL 2 ADD 15MIN, 0.09 ,,,,,
0700042,SURGERY LEVEL 3 1ST 30MIN, 0.09 ,,,,,
0700043,SURGERY LEVEL 3 ADD 15MIN, 0.09 ,,,,,
0700044,SURGERY LEVEL 4 1ST 30MIN, 0.09 ,,,,,
0700045,SURGERY LEVEL 4 ADD 15MIN, 0.09 ,,,,,
0700046,SURGERY LEVEL 5 1ST 30MIN, 0.09 ,,,,,
0700047,SURGERY LEVEL 5 ADD 15MIN, 0.09 ,,,,,
0700048,PACU STANDARD 1ST 30MIN  , 0.09 ,,,,,
0700049,PACU STANDARD ADDL 15MIN , 0.09 ,,,,,
0700050,LABOR ROUTINE PER HR     , 0.09 ,,,,,
0700051,LABOR HIGH RISK PER HR   , 0.09 ,,,,,
0700052,DELIVERY VAGINAL ROUTINE , 0.09 ,,,,,
0700053,DELIVERY VAGINAL HIGH RSK, 0.09 ,,,,,
0700054,EPIDURAL PLACE VAG DELIV , 0.09 ,,,,,
0700055,OB OBSERV PER HOUR       , 0.09 ,,,,,
0700056,OB VISIT/FETAL MONITR NEW, 0.09 ,,,,,
0700057,DELIVERY C-SECT L&D NC   , -   ,1,,,,
0700058,DELIVERY C-SECT IN OR NC , -   ,1,,,,
0700059,OUTPATIENT PROCEDURE NC  , -   ,1,,,,
0700060,C-SECT L&D CT EA ADD BABY, -   ,1,,,,
0700061,DELIVERY VAG EA ADD BABY , 0.09 ,,,,,
0700062,C-SECT OR CT EA ADD BABY , -   ,1,,,,
0700063,INPATIENT SURG L&D OR NC , -   ,1,,,,
0700500,ADHESION BARR 115X-150   , 599.00 ,,,,,
0700501,ADHESION BARR 150X-195   , 779.00 ,,,,,
0700502,CATH INFUSION 51X-67     , 266.00 ,,,,,
0700503,CATH NONVAS DIL 195X-254 ," 1,013.00 ",,,,,
0700512,CATH OTHER 23X-30        , 122.00 ,,,,,
0700513,CATH OTHER 39X-51        , 203.00 ,,,,,
0700514,INST/SUPP STERL 10-13    , 54.00 ,,,,,
0700516,INST/SUPP STERL 23X-30   , 122.00 ,,,,,
0700517,INST/SUPP STERL 51X-67   , 266.00 ,,,,,
0700518,INST/SUPP STERL 67X-88   , 351.00 ,,,,,
0700519,INST/SUPP NONST 23X-30   , 122.00 ,,,,,
0700523,CATH NONVAS DIL 30X-39   , 158.00 ,,,,,
0700524,CATH INFUSION 30X-39     , 158.00 ,,,,,
0700525,CATH NONVAS DIL 254X-331 ," 1,319.00 ",,,,,
0700526,INST/SUPP STERL 30X-39   , 158.00 ,,,,,
0701001,COLLECT CAPILLAR BLOOD   , 62.00 ,,,,,
0701002,TRANSFUS BLD/BLD COMP    ," 1,496.00 ",,,,,
0701003,INS PICC WO PORT/PUMP>5YR," 3,597.00 ",,,,,
0701004,INSERT CATH BLADDER      , 231.00 ,,,,,
0701005,CIRCUMCISION             , 882.00 ,,,,,
0701006,AMNIOCENTESIS            ," 2,391.00 ",,,,,
0701007,FETAL NON STRESS TEST    , 664.00 ,,,,,
0701008,EXTERNAL CEPHALIC VERSION," 5,831.00 ",,,,,
0701009,DELIVERY OF PLACENTA     ," 5,831.00 ",,,,,
0701010,CERCLAGE REMOVAL         ," 5,831.00 ",,,,,
0701011,AMNIOINFUSE TRANSCERVICAL," 1,050.00 ",,,,,
0701016,AD EVOKED POTENTIALS LTD , 409.00 ,,,,,
0701017,INF IV HYDRA INIT 31-60MN, 497.00 ,,,,,
0701018,INF IV HYDRAT EA ADD HR  , 150.00 ,,,,,
0701019,INF TX/DX/PRO INIT 1ST HR, 802.00 ,,,,,
0701020,INF TX/DX/PRO EA ADD HR  , 150.00 ,,,,,
0701021,INF TX/DX/PRO SEQ 1HR    , 249.00 ,,,,,
0701022,INF TX/DX CONCURRENT     , 137.00 ,,,,,
0701023,INJ TX/DX/PROPH SUBQ/IM  , 248.00 ,,,,,
0701024,INJ TX/DX/PRO IVPUSH INIT, 501.00 ,,,,,
0701025,INJ TX/DX/PRO IV PUSH SEQ, 150.00 ,,,,,
0701026,INJ TX/PRO/DX IVP SME DRG, 144.00 ,,,,,
0701034,FETAL DEM <23 NEW W PROC ," 1,743.00 ",,,,,
0701035,FETAL DEMISE <23WK NEW PT," 1,743.00 ",,,,,
0701036,OB VISIT/FETAL MONITR EST, 251.00 ,,,,,
0701037,FETAL DEM <23 EST W PROC ," 1,743.00 ",,,,,
0701038,FETAL DEMISE <23WK EST PT," 1,743.00 ",,,,,
0701041,DIRECT ADMISSION FOR OBSV, 638.00 ,,,,,
0701042,AMNIOTIC PROTEIN QL POC  , 317.00 ,,,,,
0701043,LABOR ROUTINE PER HR     , 194.00 ,,,,,
0701044,LABOR HIGH RISK PER HR   , 320.00 ,,,,,
0701045,DELIVERY VAGINAL ROUTINE ," 2,289.00 ",,,,,
0701046,DELIVERY VAGINAL HIGH RSK," 4,577.00 ",,,,,
0701047,EPIDURAL PLACE VAG DELIV ," 1,291.00 ",,,,,
0701049,OB OBSERV PER HOUR       , 191.00 ,,,,,
0701050,OB VISIT/FETAL MONITR NEW, 330.00 ,,,,,
0701052,DELIVERY C-SECT L&D NC   , -   ,1,,,,
0701053,OUTPATIENT PROCEDURE NC  , -   ,1,,,,
0701054,C-SECT L&D CT EA ADD BABY, -   ,1,,,,
0701055,DELIVERY VAG EA ADD BABY ," 1,717.00 ",,,,,
0701517,INST/SUPP STERL 17X-23   , 90.00 ,,,,,
0701518,INST/SUPP STERL 13X-17   , 68.00 ,,,,,
0701519,CATH OTHER 13X-17        , 68.00 ,,,,,
0701522,PACU COMPLEX 1ST 30MIN   , 0.09 ,,,,,
0701523,PACU COMPLEX ADDL 15MIN  , 0.09 ,,,,,
0701524,INST/SUPP STERL 195X-254 ," 1,013.00 ",,,,,
0701531,OB VST/FTL MON NEW W/PROC, 330.00 ,,,,,
0701532,OB VST/FTL MON EST W/PROC, 251.00 ,,,,,
0701533,OB VST/FTL MON NEW W/PROC, 0.09 ,,,,,
0701534,OB VST/FTL MON EST W/PROC, 0.09 ,,,,,
0701536,AD EVOKED POTENTIALS LTD , 0.09 ,,,,,
0701537,COLLECT CAPILLAR BLOOD   , 0.09 ,,,,,
0701538,DELIVERY C-SECT IN OR NC , -   ,1,,,,
0701539,CLOSURE IMPLNT 23X-30    , 0.09 ,,,,,
0701540,CLOSURE EXTERN 17X-23    , 0.09 ,,,,,
0701541,CLOSURE IMPLNT 195X-254  , 0.09 ,,,,,
0701542,ADHESION BARR 254X-331   , 0.09 ,,,,,
0701543,CLOSURE IMPLNT 23X-30    , 122.00 ,,,,,
0701544,INST/SUPP STERL 51X-67   , 266.00 ,,,,,
0701545,INST/SUPP STERL 67X-88   , 351.00 ,,,,,
0701546,CLOSURE EXTERN 17X-23    , 90.00 ,,,,,
0701547,CLOSURE IMPLNT 195X-254  ," 1,013.00 ",,,,,
0701548,INST/SUPP STERL 195X-254 ," 1,013.00 ",,,,,
0701549,ADHESION BARR 254X-331   ," 1,319.00 ",,,,,
0701550,NON OBV OIB HR NC        , -   ,1,,,,
0701551,EPIDURAL BLOOD PATCH     ," 2,908.00 ",,,,,
0701552,CATH DRAINAGE 30X-39     , 158.00 ,,,,,
0701553,CATH OTHER 17X-23        , 90.00 ,,,,,
0701554,CATH OTHER 30X-39        , 158.00 ,,,,,
0701555,INST/SUPP NONST 10-13    , 54.00 ,,,,,
0701556,INST/SUPP STERL 30X-39   , 158.00 ,,,,,
0701557,INST/SUPP STERL 39X-51   , 203.00 ,,,,,
0701558,CATH NONVAS DIL 150X-195 , 779.00 ,,,,,
0701559,CATH OTHER 17X-23        , 90.00 ,,,,,
0701560,INST/SUPP STERL 39X-51   , 203.00 ,,,,,
0701561,FETAL NS TEST ADDL FETUS , 0.09 ,,,,,
0701562,FETAL NS TEST ADDL FETUS , 664.00 ,,,,,
0701563,ANESTH GENERAL 1ST 30MIN ," 1,579.00 ",,,,,
0701564,ANESTH GENERAL ADDL 15MIN, 552.00 ,,,,,
0701565,ANESTH MAC/REG 1ST 30MIN ," 1,215.00 ",,,,,
0701566,ANESTH MAC/REG ADDL 15MIN, 425.00 ,,,,,
0701567,LOCAL ANESTHESIA         , 529.00 ,,,,,
0701568,SURGERY LEVEL 1 1ST 30MIN," 2,044.00 ",,,,,
0701569,SURGERY LEVEL 1 ADD 15MIN, 714.00 ,,,,,
0701570,SURGERY LEVEL 2 1ST 30MIN," 2,919.00 ",,,,,
0701571,SURGERY LEVEL 2 ADD 15MIN," 1,021.00 ",,,,,
0701572,SURGERY LEVEL 3 1ST 30MIN," 4,168.00 ",,,,,
0701573,SURGERY LEVEL 3 ADD 15MIN," 1,459.00 ",,,,,
0701574,SURGERY LEVEL 4 1ST 30MIN," 5,418.00 ",,,,,
0701575,SURGERY LEVEL 4 ADD 15MIN," 1,897.00 ",,,,,
0701576,SURGERY LEVEL 5 1ST 30MIN," 7,046.00 ",,,,,
0701577,SURGERY LEVEL 5 ADD 15MIN," 2,466.00 ",,,,,
0701578,PACU STANDARD 1ST 30MIN  ," 1,553.00 ",,,,,
0701579,PACU STANDARD ADDL 15MIN , 540.00 ,,,,,
0701580,PACU COMPLEX 1ST 30MIN   ," 2,057.00 ",,,,,
0701581,PACU COMPLEX ADDL 15MIN  , 721.00 ,,,,,
0701582,CLOSURE IMPLNT 254X-331  ," 1,319.00 ",,,,,
