Bayhealth Medical Center ,,,
Kent General Hospital,,,
,,,
Charge Code,Charge Description,Charge,**Charge is variable and based on type of drug / supply and variabe cost
27800019,HC SUPPLY," $7,745.99 ",**
27800020,HC SUPPLY," $1,062.16 ",**
27800021,HC SUPPLY," $2,570.79 ",**
27800022,HC SUPPLY," $26,198.76 ",**
27800023,HC SUPPLY," $7,096.53 ",**
27800024,HC SUPPLY," $4,405.50 ",**
27800025,HC SUPPLY," $2,555.00 ",**
27800026,HC SUPPLY," $3,058.92 ",**
27800027,HC SUPPLY," $7,806.86 ",**
27800028,HC SUPPLY," $8,150.86 ",**
27800029,HC SUPPLY," $2,267.70 ",**
27800030,HC SUPPLY," $1,760.53 ",**
27800031,HC SUPPLY," $4,781.38 ",**
27800032,HC SUPPLY, $483.77 ,**
27800033,HC SUPPLY, $740.94 ,**
27800034,HC SUPPLY," $9,704.99 ",**
27800035,HC SUPPLY," $1,140.84 ",**
27800036,HC SUPPLY," $1,249.07 ",**
27800038,HC SUPPLY, $955.82 ,**
27800040,HC SUPPLY," $2,887.78 ",**
27800041,HC SUPPLY," $6,719.89 ",**
27800042,HC SUPPLY," $8,722.71 ",**
27800043,HC SUPPLY," $2,790.49 ",**
27800044,HC SUPPLY," $24,842.42 ",**
27800045,HC SUPPLY," $1,039.94 ",**
27800046,HC SUPPLY," $5,944.42 ",**
27800048,HC SUPPLY," $1,976.53 ",**
27800049,HC SUPPLY, $896.50 ,**
30000001,HC CG8 I-STAT, $122.00 ,
30000002,HC CHANT CHROMOSOME ANALYSIS HEMATOLOGIC MA, $107.00 ,
30000003,HC CHANTILLY FISH CML/ALL BCR/ALL TRANSLOCA," $1,502.00 ",
30000004,HC CHANTILLY ZAP-70, $769.00 ,
30000005,HC DAT LIPID PANEL, $37.00 ,
30000006,"HC FISH, MM ,IGH/FGFR3,T(4,14)"," $1,502.00 ",
30000007,"HC FISH, MM, IGH/MAF,T(14,16)", $572.00 ,
30000008,HC G3 I-STAT, $326.00 ,
30000009,HC NEWBORN SCREENING PANEL (HMD), $334.00 ,
30000010,HC RENAL BIOPSIES (CUMC), $266.00 ,
30000011,HC WEST NILE ANTIBODIES CSF IGG/IGM, $169.00 ,
30000012,HC VENIPUNCTURE, $22.00 ,
30000013,HC BLOOD DRAW - VAD, $186.00 ,
30000014,HC NEW COLLECTION BLOOD PICC LINE, $186.00 ,
30000015,HC ARTERIAL BLOOD GAS PUNCTURE, $185.00 ,
30000016,HC BASIC METABOLIC PANEL TOTAL CA, $65.00 ,
30000017,HC COMPREHENSIVE METABOLIC PANEL, $73.00 ,
30000018,HC RENAL FUNCTION PANEL, $70.00 ,
30000019,"HC HEPATITIS PANEL (A,B,C)", $236.00 ,
30000020,HC DRUG SCREEN EACH DRUG, $84.50 ,
30000021,HC ASSAY OF AMIKACIN, $228.00 ,
30000022,HC CYCLOSPORINE, $428.00 ,
30000023,HC ASSAY OF GENTAMICIN, $291.00 ,
30000024,HC ASSAY OF HALOPERIDOL, $330.00 ,
30000025,HC DRUG SCREEN QUAN LAMOTRIGINE, $147.00 ,
30000026,HC PHENOBARBITAL, $191.00 ,
30000027,"HC PHENYTOIN, FREE", $167.00 ,
30000028,HC ASSAY OF PRIMIDONE, $249.00 ,
30000029,HC ASSAY OF SIROLIMUS, $339.00 ,
30000030,HC ASSAY OF TACROLIMUS, $363.00 ,
30000031,HC TOPIRAMATE, $172.00 ,
30000032,HC VANCOMYCIN, $154.00 ,
30000033,HC QUANTITATIVE ASSAY DRUG, $249.00 ,
30000034,HC DRUG SCREEN CLASS LIST A, $380.00 ,
30000035,HC TRAMADOL SCREEN URINE, $139.00 ,
30000036,HC ALKALOIDS NOS, $154.00 ,
30000037,HC ANABOLIC STEROID 1 OR 2, $257.00 ,
30000038,HC BENZODIAZEPINES1-12, $250.00 ,
30000039,HC DRUG SCREENING FENTANYL, $145.00 ,
30000040,HC DRUG SCREENING METHADONE, $126.00 ,
30000041,HC OPIATES 1 OR MORE, $90.00 ,
30000042,HC OPIOIDS & OPIATE ANALOGS 1/2, $145.00 ,
30000043,HC DRUG SCREENING OXYCODONE, $164.00 ,
30000044,HC DRUG SCREENING PROPOXYPHENE, $177.00 ,
30000045,HC STEREOISOMER ANALYSIS, $182.00 ,
30000046,HC DRUG/SUBSTANCE NOS 1-3, $214.00 ,
30000047,HC URINALYSIS NONAUTO W/O SCOPE, $49.00 ,
30000048,HC URINALYSIS AUTO W/O SCOPE, $53.00 ,
30000049,HC MICROSCOPIC EXAM OF URINE, $17.00 ,
30000050,HC URINE PREGNANCY COLOR COMPARE, $158.00 ,
30000051,HC BCR/ABL1 GENE MAJOR BP, $883.00 ,
30000052,HC BRAF GENE ANALYSIS, $873.00 ,
30000053,HC CFTR GENE COM VARIANTS, $886.00 ,
30000054,HC CYTOGEN M ARRAY COPY NO&SNP," $2,205.00 ",
30000055,HC EGFR GENE COM VARIANTS," $1,163.00 ",
30000056,HC F2 GENE ANALYSIS, $322.00 ,
30000057,HC F5 GENE ANALYSIS, $374.00 ,
30000058,HC FMR1 GENE DETECTION, $267.00 ,
30000059,HC HEMOCHROMATOSIS MUTATION ANALYSIS, $465.00 ,
30000060,HC IGH GENE REARRANGE AMP METHODOLOGY, $107.00 ,
30000061,HC IGH VARI REGIONAL MUTATION," $1,342.00 ",
30000062,HC JAK2 V617F GENE ANALYSIS, $625.00 ,
30000063,HC KRAS MUTATION ANALYSIS, $641.00 ,
30000064,HC METH 4 HYDROFOLATE REDUCE MUTATION, $941.00 ,
30000065,HC MLH1 GENE KNOWN VARIANTS, $489.00 ,
30000066,HC MICROSATELLITE INSTABILITY, $368.00 ,
30000067,HC PML/RARALPHA COM BREAKPOINTS, $353.00 ,
30000068,HC SERPINA1 GENE ANALYSIS, $329.00 ,
30000069,HC HLA I TYPING 1 LOCUS LR, $228.00 ,
30000070,HC HLA B27 DNA TYPING, $306.00 ,
30000071,HC HLA B5701 TYPING, $538.00 ,
30000072,HC HLA II TYPING 1 ALLELE HR, $479.00 ,
30000073,HC MOLECULAR PATHOLOGY PROCEDURE LEVEL 1, $253.00 ,
30000074,HC MOLECULAR PATHOLOGY PROCEDURE LEVEL 2, $559.00 ,
30000075,HC MOLECULAR PATHOLOGY PROCEDURE LEVEL 3, $877.00 ,
30000076,HC MOLECULAR PATHOLOGY PROCEDURE LEVEL 4, $603.00 ,
30000077,HC MOLECULAR PATHOLOGY PROCEDURE LEVEL 5, $295.00 ,
30000078,HC MOLECULAR PATHOLOGY PROCEDURE LEVEL 7," $1,550.00 ",
30000079,HC UNLISTED MOLECULAR PATHOLOGY, $224.00 ,
30000080,HC ACETONE ASSAY, $224.00 ,
30000081,HC ACYLCARNITINES QUANT, $440.00 ,
30000082,HC ASSAY OF SERUM ALBUMIN, $82.00 ,
30000083,HC ASSAY OF URINE ALBUMIN, $72.00 ,
30000084,HC ASSAY OF ALDOLASE, $146.00 ,
30000085,HC ASSAY OF ALDOSTERONE, $420.00 ,
30000086,HC ALPHA 1 ANTITRYPSIN TOTAL, $191.00 ,
30000087,HC ALPHA-1-ANTITRYPSIN PHENOTYPE, $224.00 ,
30000088,HC ALPHA FETOPROTEIN SERUM, $224.00 ,
30000089,HC ASSAY OF ALUMINUM, $204.00 ,
30000090,HC AMINOLEVULINIC ACID, $236.00 ,
30000091,HC AMINO ACID QUAN 6 OR MORE, $215.00 ,
30000092,HC ASSAY OF ANGIOTENSIN II, $216.00 ,
30000093,HC ANGIOTENSIN I ENZYME TEST, $213.00 ,
30000094,HC ASSAY OF APOLIPOPROTEIN, $103.00 ,
30000095,HC VITAMIN C, $176.00 ,
30000096,HC ATOMIC ABSORPTION, $224.00 ,
30000097,HC ASSAY OF BETA-2 PROTEIN, $233.00 ,
30000098,HC BILE ACIDS TOTAL, $150.00 ,
30000099,HC BILIRUBIN TOTAL, $98.00 ,
30000100,HC BILIRUBIN DIRECT, $98.00 ,
30000101,HC OCCULT BLOOD OTHER SOURCES, $48.00 ,
30000102,HC CADMIUM, $250.00 ,
30000103,HC VITAMIN D 25-HYDROXY, $202.00 ,
30000104,HC CALCITONIN, $328.00 ,
30000105,HC IONIZED CALCIUM, $99.00 ,
30000106,HC X-RAY ASSAY CALCULUS, $176.00 ,
30000107,HC CARBOXYHEMOGLOBIN QUANTITATIVE, $235.00 ,
30000108,HC CARCINOEMBRYONIC ANTIGEN, $216.00 ,
30000109,HC ASSAY OF CARNITINE, $366.00 ,
30000110,HC ASSAY OF CAROTENE, $176.00 ,
30000111,HC CATECHOLAMINES - TOTAL URINE, $224.00 ,
30000112,HC ASSAY THREE CATECHOLAMINES, $311.00 ,
30000113,HC CERULOPLASMIN, $150.00 ,
30000114,HC CHEMILUMINESCENT ASSAY, $278.00 ,
30000115,HC ASSAY OTHER FLUID CHLORIDES, $43.00 ,
30000116,HC ASSAY SERUM CHOLINESTERASE, $150.00 ,
30000117,HC ASSAY RBC CHOLINESTERASE, $94.00 ,
30000118,HC CHROMOTOGRAPHY QUANT SING, $216.00 ,
30000119,HC CHROMOTOGRAPHY QUANT MULT, $315.00 ,
30000120,HC ASSAY OF CHROMIUM, $264.00 ,
30000121,HC ASSAY OF CITRATE, $424.00 ,
30000122,HC COLLAGEN CROSSLINKS, $254.00 ,
30000123,HC ASSAY OF COPPER, $121.00 ,
30000124,HC CORTISOL FREE, $177.00 ,
30000125,HC CORTISOL TOTAL, $151.50 ,
30000126,HC COLUMN CHROMOTOGRAPHY QUAL, $121.00 ,
30000127,HC COLUMN CHROMOTOGRAPHY QUANT, $181.00 ,
30000128,HC COLUMN CHROMOTOGRAPH/ISOTOPE, $493.00 ,
30000129,HC ASSAY OF CK (PK), $92.00 ,
30000130,HC ASSAY OF CK IN BLOOD, $111.00 ,
30000131,HC ASSAY OF CREATININE, $52.00 ,
30000132,HC ASSAY OF URINE CREATININE, $85.00 ,
30000133,HC ASSAY OF DIBUCAINE NUMBER, $108.00 ,
30000134,HC PANCREATIC ELASTASE FECAL, $415.00 ,
30000135,HC ERYTHROPOIETIN, $280.00 ,
30000136,HC ASSAY OF ESTRADIOL, $259.00 ,
30000137,"HC ESTROGEN, TOTAL", $273.00 ,
30000138,HC ASSAY OF ESTRIOL, $149.00 ,
30000139,HC ETHYLENE GLYCOL, $138.00 ,
30000140,HC FETAL FIBRONECTIN, $766.00 ,
30000141,HC ASSAY IGA/IGD/IGG/IGM EACH, $160.00 ,
30000142,HC IMMUNOGLOBULIN E, $116.00 ,
30000143,HC PH BLOOD, $60.00 ,
30000144,HC ARTERIAL BLOOD GAS ANALYSIS, $236.00 ,
30000145,HC BLOOD GASES O2 SAT ONLY, $40.00 ,
30000146,HC ASSAY GLUCOSE BLOOD QUANT, $32.00 ,
30000147,HC GLUCOSE 6 PHOSPHATE DEHYDROGENASE QT, $194.00 ,
30000148,HC POC GLUCOSE, $10.00 ,
30000149,HC ASSAY OF GLYCATED PROTEIN, $128.00 ,
30000150,HC ASSAY OF HAPTOGLOBIN QUANT, $144.00 ,
30000151,HC H PYLORI BREATH TEST, $531.00 ,
30000152,HC QUANTITATIVE SCREEN METALS, $209.00 ,
30000153,HC HEMOGLOBIN CHROMOTOGRAPHY, $189.00 ,
30000154,HC BLOOD METHEMOGLOBIN ASSAY, $59.00 ,
30000155,HC ASSAY OF HEMOSIDERIN QUAL, $129.00 ,
30000156,HC ASSAY OF HISTAMINE, $399.00 ,
30000157,HC ASSAY OF HOMOCYSTEINE, $311.00 ,
30000158,HC HOMOVANILLIC ACID, $268.00 ,
30000159,HC ASSAY OF CORTICOSTEROIDS 17, $258.00 ,
30000160,"HC HYDROXYINDOLEACETIC ACID, 5-(HIAA)", $185.00 ,
30000161,HC IMMUNOASSAY NONANTIBODY, $229.00 ,
30000162,HC RIA NONANTIBODY, $516.00 ,
30000163,HC IMMUNOASSAY QUANT NOS NONAB, $162.00 ,
30000164,HC ASSAY OF INSULIN TOTAL, $155.00 ,
30000165,HC INSULIN FREE, $220.00 ,
30000166,HC ASSAY OF IRON, $199.00 ,
30000167,HC ASSAY OF LEAD, $170.00 ,
30000168,HC LIPASE, $182.00 ,
30000169,HC LIPOPROTEIN A, $241.00 ,
30000170,HC LIPOPROTEIN BLD HR FRACTION, $115.00 ,
30000171,HC LIPOPROTEIN BLD BY NMR, $325.00 ,
30000172,HC VLDL CHOLESTEROL, $94.00 ,
30000173,"HC LIPOPROTEIN, DIRECT LDL", $48.00 ,
30000174,HC MAGNESIUM, $147.00 ,
30000175,HC MANGANESE, $331.00 ,
30000176,HC MASS SPECTROMETRY QUAL, $303.00 ,
30000177,HC MASS SPECTROMETRY QUANITATIVE, $578.00 ,
30000178,HC ASSAY OF MERCURY, $259.00 ,
30000179,HC ASSAY OF METANEPHRINES, $494.00 ,
30000180,HC ASSAY OF NATRIURETIC PEPTIDE, $282.00 ,
30000181,HC ASSAY NEPHELOMETRY NOT SPEC, $239.00 ,
30000182,HC 5-NUCLEOTIDASE, $155.00 ,
30000183,HC ORGANIC ACIDS TOTAL QUANT, $798.00 ,
30000184,HC ORGANIC ACIDS QUAL EACH, $269.00 ,
30000185,HC ORGANIC ACID SINGLE QUANT, $380.00 ,
30000186,HC OSTEOCALCIN, $298.00 ,
30000187,HC ASSAY OF PARATHORMONE, $203.00 ,
30000188,HC ASSAY PH BODY FLUID NOS, $49.00 ,
30000189,HC CALPROTECTIN STOOL, $300.00 ,
30000190,HC PROSTATIC ACID PHOSPATASE, $150.00 ,
30000191,HC ASSAY ALKALINE PHOSPHATASE, $92.00 ,
30000192,HC ASSAY ALKALINE PHOSPHATASES; ISOENZYMES, $85.00 ,
30000193,HC PHOSPHORUS URINE, $32.00 ,
30000194,HC PORPHOBILINOGEN URINE, $155.00 ,
30000195,HC RUPTURED MEMBRANES TEST- AMNISURE, $514.00 ,
30000196,"HC PORPHYRINS,URINE", $295.00 ,
30000197,HC PORPHYRINS; FECES, $383.00 ,
30000198,HC POTASSIUM, $30.00 ,
30000199,HC PREGNENOLONE, $236.00 ,
30000200,HC 17 OH HYDROXYPREGNENOLONE, $240.00 ,
30000201,HC PROGESTERONE, $215.00 ,
30000202,HC PROCALCITONIN (PCT), $121.00 ,
30000203,HC ASSAY OF PSA TOTAL, $101.00 ,
30000204,HC ASSAY OF PSA FREE, $115.50 ,
30000205,HC PROTEIN URINE, $83.50 ,
30000206,HC PROTEIN BODY FLUID, $61.00 ,
30000207,HC PROTEIN ELECTROPHORESIS SERUM, $164.00 ,
30000208,HC PROTEIN E-PHORESIS/URINE/CSF, $93.00 ,
30000209,HC PROTEIN WESTERN BLOT TEST, $258.00 ,
30000210,HC PROINSULIN, $498.00 ,
30000211,HC ASSAY OF ENDOCRINE HORMONE, $269.00 ,
30000212,HC ASSAY NONENDOCRINE RECEPTOR, $440.00 ,
30000213,HC RENIN, $258.00 ,
30000214,HC VITAMIN B2, $339.00 ,
30000215,HC ASSAY OF SELENIUM, $219.00 ,
30000216,HC SEROTONIN, $555.00 ,
30000217,HC SEX HORMONE BINDING GLOBULIN, $185.00 ,
30000218,HC ASSAY OF SWEAT SODIUM, $56.00 ,
30000219,HC SOMATOMEDIN, $420.00 ,
30000220,HC SOMATOSTATIN, $300.00 ,
30000221,HC SPECTROPHOTOMETRY, $34.00 ,
30000222,HC SUGARS SINGLE QUANT, $145.00 ,
30000223,"HC TESTOSTERONE,FREE", $208.00 ,
30000224,HC TESTOSTERONE TOTAL, $208.00 ,
30000225,HC VITAMIN B1 THIAMINE (LC/MS/MS), $350.00 ,
30000226,HC THYROXINE TOTAL, $65.00 ,
30000227,HC THYROXINE FREE, $183.00 ,
30000228,HC ASSAY THYROID STIM HORMONE, $166.00 ,
30000229,HC VITAMIN E, $215.00 ,
30000230,HC TRIGLYCERIDES, $48.00 ,
30000231,"HC T3, FREE", $311.00 ,
30000232,HC T3 REVERSE, $420.00 ,
30000233,HC TROPONIN, $228.00 ,
30000234,HC UREA NITROGEN, $49.00 ,
30000235,HC UREA NITROGEN ; URINE, $64.00 ,
30000236,HC URIC ACID; URINE, $54.00 ,
30000237,HC VANILLYMANDELIC ACID, $215.00 ,
30000238,HC VASOACTIVE INTESTINAL PEPTIDE, $450.00 ,
30000239,HC ARGININE VASOPRESSIN (ADH), $430.00 ,
30000240,HC VITAMIN A, $253.00 ,
30000241,HC ASSAY OF NOS VITAMIN, $91.00 ,
30000242,HC ASSAY OF VOLATILES, $186.00 ,
30000243,HC ZINC, $158.00 ,
30000244,HC C-PEPTIDE, $279.00 ,
30000245,"HC GONADOTROPIN, CHORIONIC HCG QUANT", $153.00 ,
30000246,HC CLINICAL CHEMISTRY TEST," $4,803.00 ",
30000247,HC HEMATOCRIT, $26.00 ,
30000248,HC RBC COUNT AUTOMATED, $9.00 ,
30000249,HC BONE MARROW INTERPRETATION," $1,652.00 ",
30000250,HC BLOOD CLOT LYSIS TIME, $29.00 ,
30000251,HC CLOT FACTOR II PROTHROM SPEC, $318.00 ,
30000252,HC BLOOD CLOT FACTOR V TEST, $337.00 ,
30000253,HC CLOT FACTOR VII PROCONVERTIN, $337.00 ,
30000254,HC CLOT FACTOR VIII AHG 1 STAGE, $219.00 ,
30000255,HC CLOT FACTOR VIII VW RISTOCTN, $291.00 ,
30000256,HC CLOT FACTOR VIII VW ANTIGEN, $285.00 ,
30000257,HC CLOT FACTOR VIII MULTIMETRIC, $233.00 ,
30000258,HC CLOT FACTOR IX PTC/CHRSTMAS, $318.00 ,
30000259,HC CLOT FACTOR X STUART-POWER, $318.00 ,
30000260,HC CLOT FACTOR XI PTA, $337.00 ,
30000261,HC CLOT FACTOR XIII FIBRIN STAB, $272.00 ,
30000262,HC ANTITHROMBIN III ACT., $317.00 ,
30000263,HC ANTITHROMBIN III ANTIGEN, $317.00 ,
30000264,HC CLOT INHIBIT PROTEIN C ANTIGEN, $338.00 ,
30000265,HC CLOT INHIBIT PROT S TOTAL, $351.00 ,
30000266,HC CLOT INHIBIT PROT S FREE, $283.00 ,
30000267,HC ASSAY ACTIVATED PROTEIN C, $171.00 ,
30000268,HC COAGULATION TIME ACTIVATED, $22.00 ,
30000269,HC EUGLOBULIN CLOT LYSIS TIME, $197.00 ,
30000270,HC FIBRINOGEN ACTIVITY, $121.00 ,
30000271,HC FIBRINOLYSINS SCREEN I&R, $33.00 ,
30000272,HC CLOTTING FUNCT ACTIVITY, $286.00 ,
30000273,HC FIBRINOLYTIC ANTIPLASMIN, $190.00 ,
30000274,HC HEMOGLOBIN FETAL; ROSETTE, $28.00 ,
30000275,HC HEPARIN ASSAY, $300.00 ,
30000276,HC MURAMIDASE, $206.00 ,
30000277,HC PLATELET AGGREGATIN EA AGENT, $123.00 ,
30000278,HC PHOSPHOLIPID PLTLT NEUTRALIZATI, $111.00 ,
30000279,HC PROTHROMBIN TIME, $29.50 ,
30000280,HC PROTHROMBIN TEST, $55.00 ,
30000281,HC RUSSELL VIPER VENOM DILUTED, $77.00 ,
30000282,HC REPTILASE CLOTTING TEST, $186.00 ,
30000283,HC THROMBIN TIME PLASMA, $73.00 ,
30000284,HC THROMBOPLASTIN TIME PARTIAL, $133.00 ,
30000285,HC THROMBOPLASTIN TIME PARTIAL PLASMA, $55.00 ,
30000286,HC VISCOSITY, $169.00 ,
30000287,HC HEMATOLOGY PROCEDURE, $97.00 ,
30000288,HC AGGLUTININS FEBRILE ANTIGEN, $196.00 ,
30000289,HC ALLERGEN SPECIFIC IGE, $100.00 ,
30000290,HC WBC ANTIBODY IDENTIFICATION, $282.00 ,
30000291,HC PLATELET ANTIBODIES, $280.00 ,
30000292,HC ANTINUCLEAR ANTIBODIES, $155.00 ,
30000293,HC ANTISTREPTOLYSIN O SCREEN, $87.00 ,
30000294,HC C-REACTIVE PROTEIN HS, $92.00 ,
30000295,HC BETA-2 GLYCOPROTEIN ANTIBODY, $134.00 ,
30000296,HC CARDIOLIPIN ANTIBODY IG, $124.00 ,
30000297,HC ANTI-PHOSPHATIDYLSERINE ANTIBODY, $137.00 ,
30000298,HC COLD AGGLUTININS, $116.00 ,
30000299,HC COMPLEMENT ANTIGEN, $111.00 ,
30000300,HC COMPLEMENT TOTAL, $278.00 ,
30000301,HC CYCLIC CITRULLINATED PEPTIDE, $202.00 ,
30000302,HC DEOXYRIBONUCLEASE ANTIBODY, $241.00 ,
30000303,HC DNA ANTIBODY NATIVE, $190.00 ,
30000304,HC NUCLEAR ANTIGEN ANTIBODY, $198.00 ,
30000305,HC FLUORESCENT ANTIBODY SCREEN, $168.00 ,
30000306,HC FLUORESCENT ANTIBODY TITTER, $251.00 ,
30000307,HC IMMUNOASSAY TUMOR CA 15-3, $254.00 ,
