Description ,  Charge $   , Department 
PSYCHOTHERAPY 45 MIN W E/M,$93 ,Counseling
PSYCHOTHERAPY 60 MINUTES W PT,$149 ,Counseling
PSYCHOTHERAPY 60 MIN W E/M,$132 ,Counseling
PROLONGED SERVICES 31 MIN,$167 ,Counseling
PREVENTATIVE MED COUNSEL 15MIN,$63 ,Counseling
PREVENTATIVE MED COUNSEL 30MIN,$109 ,Counseling
PREVENTATIVE MED COUNSEL 45MIN,$153 ,Counseling
PREVENTATIVE MED COUNSEL 60MIN,$205 ,Counseling
PSYCHIATRIC DIAG EVALUATION,$209 ,Counseling
GLUCOSE MONITER PT OWN DEV TRN,$78 ,Diabetic Self Mgmt Education
GLUCOSE MONITORING UP TO 72 HR,$234 ,Diabetic Self Mgmt Education
DIABETES IND ED PER 30 MINUTES,$94 ,Diabetic Self Mgmt Education
DIABETES GROUP ED PER 30 MIN,$25 ,Diabetic Self Mgmt Education
DIETARY ASSESSMENT PER 15 MIN,$41 ,Dietary 
DIETARY RE-ASSESS PER 15 MIN,$40 ,Dietary 
GROUP MNT NUT THERP 30 MIN,$52 ,Dietary 
DIETARY COUNSELING NON DM VIS,$41 ,Dietary 
REASSESS INTERVENT EACH 15 MIN,$40 ,Dietary 
GRP MNT REASSESS PER 15 MIN,$22 ,Dietary 
ECG/EKG  INTREGRAL/READ,$183 ,EKG 
ECG INTERGRAL  CVH,$174 ,EKG 
ECG NO READ CVH,$183 ,EKG 
ECG/EKG PORTAMEDIC,$115 ,EKG 
TRAUMA CENTER LEVEL 1,$335 ,Emergency Room 
TRAUMA CENTER LEVEL 2,$265 ,Emergency Room 
TRAUMA CENTER LEVEL 3,$245 ,Emergency Room 
NAIL ASPIRATION,$186 ,Emergency Room 
AMPUTATION OF DIGIT,$870 ,Emergency Room 
EAR IRRIGATION / FB REMOVAL,$130 ,Emergency Room 
PICC LINE INSERTION,"$1,276 ",Emergency Room 
THORACENTESIS PUNCTURE,$312 ,Emergency Room 
INTUBATION,$420 ,Emergency Room 
RESUSCITATION,"$1,142 ",Emergency Room 
BLOOD ADMINISTRATION 1 HOUR ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 2 HRS ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 3 HRS ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 4 HRS ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 5 HRS ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 6 HRS ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 7 HRS ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 8 HRS ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 9 HRS ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 10 HR ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 11 HR ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 12 HR ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 13 HR ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 14 HR ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 15 HR ER,"$1,441 ",Emergency Room 
BLOOD ADMINISTRATION 16 HR ER,"$1,441 ",Emergency Room 
INCISION & DRAINAGE,$431 ,Emergency Room 
WOUND/ULCER DEBRIDE,$230 ,Emergency Room 
BIOPSY / EXCISION,$411 ,Emergency Room 
NAILBED REPAIR,$245 ,Emergency Room 
LACERATION REPAIR SIMPLE ER,$293 ,Emergency Room 
LACERATION INTERMEDIATE,$439 ,Emergency Room 
LACERATION COMPLEX,$567 ,Emergency Room 
BURN TREATMENT SIMPLE,$143 ,Emergency Room 
BURN TREATMENT INTERMEDIATE,$230 ,Emergency Room 
BURN TREATMENT COMPLEX,$326 ,Emergency Room 
TRIGGER PT 1 OR 2 GRP,$596 ,Emergency Room 
ASPIRATION/INJECT OF JNT BY DR,$383 ,Emergency Room 
FX/DISLOCATION 2 CLOSED REDUCT,$279 ,Emergency Room 
FX/DISLOCATION 3 OPEN/MULTIPLE,$326 ,Emergency Room 
AMPUTATION OF DIGIT,$820 ,Emergency Room 
IMMOBILIZATION PROCEDURE,$185 ,Emergency Room 
NOSE FB REMOVAL,$132 ,Emergency Room 
NOSE BLEED CONTROL SIMPLE,$146 ,Emergency Room 
NOSE BLEED CONTROL COMPLEX,$232 ,Emergency Room 
THORACENTESIS PUNCTURE,$305 ,Emergency Room 
PICC LINE INSERTION,"$1,276 ",Emergency Room 
INTRA OSSEOUS LINE PLACEMENT,$122 ,Emergency Room 
NAIL ASPIRATION,$181 ,Emergency Room 
EYE FB REMOVAL-MECHANICAL,$272 ,Emergency Room 
EAR IRRIGATION / FB REMOVAL,$127 ,Emergency Room 
ER EMTALA MEDICAL SCREEN EXAM,$149 ,Emergency Room 
"NURSE VISIT, INFLUENZA",$35 ,Emergency Room 
VACCINE ADMIN INITIAL ER,$55 ,Emergency Room 
VACCINE ADMIN SUBSEQUENT ER,$23 ,Emergency Room 
GASTRIC INTUBATION /LAVAGE,$141 ,Emergency Room 
CARDIVERSION,$483 ,Emergency Room 
CARDIAC PACING,$274 ,Emergency Room 
IV HYDRATION FIRST HOUR ER,$350 ,Emergency Room 
IV HYDRATION EACH ADD HOUR ER,$182 ,Emergency Room 
IV THERAP INFUSION 1ST HR ER,$500 ,Emergency Room 
IV THER INFUSION EA ADD HR ER,$95 ,Emergency Room 
IV THERAP SEQ INFUSIONS ER,$207 ,Emergency Room 
IV THERAP CONCUR INFUSIONS ER,$209 ,Emergency Room 
THERAP/DX INJ SQ/IM ER,$87 ,Emergency Room 
IV PUSH SINGLE/INITIAL ER,$108 ,Emergency Room 
EA ADD SEQ IVPUSH NEW DRUG ER,$76 ,Emergency Room 
EA ADD IVPUSH SUBSEQUENT ER,$62 ,Emergency Room 
CHEMO INJ SQ/IM ER,$118 ,Emergency Room 
EMERGENCY ROOM LEVEL 1,$149 ,Emergency Room 
EMERGENCY ROOM LEVEL 2,$375 ,Emergency Room 
EMERGENCY ROOM LEVEL 3,$732 ,Emergency Room 
EMERGENCY ROOM LEVEL 4,"$1,008 ",Emergency Room 
EMERGENCY ROOM LEVEL 5,"$1,447 ",Emergency Room 
CRITICAL CARE ER 30-74 MIN,"$2,020 ",Emergency Room 
CRITICAL CARE -ER- Q.ADD.1/2HR,$813 ,Emergency Room 
PICC LINE INSERTION,"$1,276 ",Emergency Room 
FLU ADMIN ER,$24 ,Emergency Room 
PNEMO ADMIN ER MEDICARE,$24 ,Emergency Room 
TELEHEALTH ORIGINATING SITE ER,$36 ,Emergency Room 
CRYOTHERAPY LEVEL ONE,$144 ,Endoscopy 
CRYOTHERAPY LEVEL TWO,$226 ,Endoscopy 
CRYOTHERAPY LEVEL THREE,$412 ,Endoscopy 
BRONSCHOSCOPY,"$1,560 ",Endoscopy 
EGD,"$1,400 ",Endoscopy 
EGD UNSCHEDULED,"$1,609 ",Endoscopy 
EGD WITH BIOPSY,"$1,781 ",Endoscopy 
EGD/ESOPHAGEAL DILATION,"$1,835 ",Endoscopy 
EGD/BIOPSY/ESOPHAGEAL DILATION,"$2,218 ",Endoscopy 
EGD/ESOPHAGEAL DILATION/FB RE,"$2,218 ",Endoscopy 
EGD/POLYPECTOMY/ESOPH.DILATION,"$2,522 ",Endoscopy 
EGD W REM FOREIGN BODY UNSHCED,"$1,979 ",Endoscopy 
EGD WITH REMOVAL FOREIGN BODY,"$1,781 ",Endoscopy 
ESOPHAGEAL DILATION,$873 ,Endoscopy 
ILEOSCOPY,"$1,004 ",Endoscopy 
PROCTOSIGMOIDOSCOPY,$294 ,Endoscopy 
COLONOSCOPY,"$1,400 ",Endoscopy 
COLONSCOPE INCOMPLETE,$817 ,Endoscopy 
SIGMOIDOSCOPY,"$1,261 ",Endoscopy 
COLONOSCOPY WITH BIOPSY,"$1,781 ",Endoscopy 
COLONSCOPY WITH POLYPECTOMY,"$2,162 ",Endoscopy 
COLONSCOPY/EGD,"$2,100 ",Endoscopy 
COLONOSCOPY/EGD WITH BIOPSY,"$2,290 ",Endoscopy 
COLONSCOPY/EGD/REMOVAL FB,"$2,223 ",Endoscopy 
COLONSCOPY/EGD/POLYPECTOMY,"$2,480 ",Endoscopy 
COLONOSCOPY/HEMORRHOID BANDING,"$1,550 ",Endoscopy 
COLONOSCOPY/EXCISION,"$1,532 ",Endoscopy 
NASOPHARYNGOSCOPY,$399 ,Endoscopy 
"ANCHOR/SCREW, BONE",$482 ,Implantable Device
MESH PATCH KUGEL LARGE OVAL,"$1,619 ",Implantable Device
MESH PATCH KUGEL MED OVAL,"$1,275 ",Implantable Device
MESH PATCH KUGEL SMALL OVAL,$865 ,Implantable Device
"MESH PROCEED 4""X6"" OVAL",$640 ,Implantable Device
MESH PATCH KUGEL LARGE CIRCLE,$983 ,Implantable Device
MESH PATCH KUGEL HERNIA LRG CI,$496 ,Implantable Device
MESH PATCH KUGEL SMALL CIRCLE,$695 ,Implantable Device
MESH PATCH KUGEL HERNIA SM CIR,$434 ,Implantable Device
"MESH V-PATCH 1.7"" X 1.7""",$640 ,Implantable Device
MESH C-QUR XL OBLONG/OVAL,"$1,754 ",Implantable Device
MESH V-PATCH MEDIUM,$773 ,Implantable Device
MESH V-PATCH LARGE,$956 ,Implantable Device
"MESH, VENTRALEX ST SMALL PATCH",$640 ,Implantable Device
"MESH,VENTRALEX ST MED PATCH",$676 ,Implantable Device
"MESH, VENTRALEX ST LG PATCH",$864 ,Implantable Device
MESH PLUG/PATCH HERNIA SM OVAL,$371 ,Implantable Device
MESH PLUG/PATCH HERNIA MED OVA,$460 ,Implantable Device
"MESH, PLUG ROUND 10 CM (4"")",$640 ,Implantable Device
MESH PLUG/PATCH HERNIA LGE OVA,$566 ,Implantable Device
MESH PATCH MED CIRCLE W/STRAP,$656 ,Implantable Device
MESH PATCH HERNIA LG CIR/STRAP,$902 ,Implantable Device
MESH PATCH HERNAI SM CIR/STRAP,$549 ,Implantable Device
MESH PLUG GORTEX HERNIA OVAL/K,$410 ,Implantable Device
MESH PLUG PERFIX MEDIUM,$210 ,Implantable Device
MESH PLUG PERFIX SMALL,$210 ,Implantable Device
"MESH COMPOSIX 4"" X 8""",$501 ,Implantable Device
"MESH COMPOSIX 8"" X 10""","$2,037 ",Implantable Device
"MESH COMPOSIX 10"" X 14""","$2,709 ",Implantable Device
"MESH COMPOSIX L/P 4.2"" X 6.2""",$640 ,Implantable Device
MESH PROLITE SMALL,$317 ,Implantable Device
"MESH, PROLITE MEDIUM",$317 ,Implantable Device
"MESH, PROLITE SQUARE/ROUND 6X6",$81 ,Implantable Device
"MESH, PROLITE RND/RECTANLE 3X6",$81 ,Implantable Device
"MESH,PROLITE 10X14",$214 ,Implantable Device
"MESH, MARLEX KEYHOLE 10X4.5CM",$120 ,Implantable Device
"MESH,MARLEX 13.7 X 6CM",$126 ,Implantable Device
"MESH,GORTEX 20XCMX30CM DUEL","$2,273 ",Implantable Device
"MESH 6""X6"" POLYPROPYLENE BARD",$126 ,Implantable Device
MESH SURGIMESH HERNIA 11X15 CM,$640 ,Implantable Device
MESH SURGIMESH HERNIA 5X10 CM,$460 ,Implantable Device
MESH SUG/NON-WOVEN/HERN/10CM C,"$1,193 ",Implantable Device
MESH SURG/NON-WOVEN/HERN/SM RE,"$2,183 ",Implantable Device
"MESH 3""X6"" POLYPROPYLENE BARD",$118 ,Implantable Device
"MESH 2""X4"" POLYPROPYLENE",$103 ,Implantable Device
"MESH 10""X14"" POLYPROPYLENE BAR",$223 ,Implantable Device
EPIFIX PER SQ CM,$628 ,Implantable Device
EPIFIX PER SQ CM,$647 ,Implantable Device
VAGINAL DELIVERY LEVEL 1,"$2,197 ",Labor and Delivery 
VAGINAL DELIVERY LEVEL 2,"$2,575 ",Labor and Delivery 
ANTE/POST PARTUM HIGH RISK,$52 ,Labor and Delivery 
VAGINAL DELIVERY-SMH ONLY,"$1,369 ",Labor and Delivery 
INDUCTION IV PER HOUR,$98 ,Labor and Delivery 
LABOR 0-4 HRS LEVEL 1,$445 ,Labor and Delivery 
LABOR 0-4 HRS LEVEL 2,$890 ,Labor and Delivery 
LABOR 5-8 HRS LEVEL 1,$890 ,Labor and Delivery 
LABOR 5-8 HRS LEVEL 2,"$1,112 ",Labor and Delivery 
LABOR > 8 HRS LEVEL 1,"$1,112 ",Labor and Delivery 
LABOR > 8 HRS LEVEL 2,"$1,557 ",Labor and Delivery 
FETAL CONTRACT STRESS TEST OB,$534 ,Labor and Delivery 
FETAL NON-STRESS TEST LABOR RM,$157 ,Labor and Delivery 
LEVEL ONE  OUTPATIENT OB,$67 ,Labor and Delivery 
LEVEL TWO OUTPATIENT OB,$116 ,Labor and Delivery 
LEVEL THREE OUTPATIENT OB,$234 ,Labor and Delivery 
LEVEL FOUR OUTPATIENT OB,$335 ,Labor and Delivery 
LEVEL FIVE OUTPATIENT OB,$443 ,Labor and Delivery 
FETAL NON-STRESS TEST OB,$162 ,Labor and Delivery 
IV HYDRATION FIRST HOUR OB,$350 ,Labor and Delivery 
IV HYDRATION FIRST HOUR OB OBS,$239 ,Labor and Delivery 
IV HYDRATION EACH ADD HOUR OB,$182 ,Labor and Delivery 
IV HYDRATION EA ADD HR OB OBSV,$117 ,Labor and Delivery 
IV THERAP INFUSION 1ST HR OB,$500 ,Labor and Delivery 
IV THERAP INFUS 1ST HR OB OBSV,$344 ,Labor and Delivery 
IV THER INFUSION EA ADD HR OB,$152 ,Labor and Delivery 
IV THER INFUS EA ADD HR OB OBS,$152 ,Labor and Delivery 
IV THERAP SEQ INFUSIONS OB,$142 ,Labor and Delivery 
IV THERAP CONCUR INFUSION OB,$184 ,Labor and Delivery 
IV THERP CONCUR INFUS OB OBSV,$184 ,Labor and Delivery 
THERAP/DX INJ SQ/IM OB,$87 ,Labor and Delivery 
THERAP/DX INJ SQ/IM OB OBSV,$52 ,Labor and Delivery 
IV PUSH SINGLE/INITIAL OB,$108 ,Labor and Delivery 
IV PUSH SINGLE/INITIAL OB OBSV,$108 ,Labor and Delivery 
EA ADD SEQ IVPUSH NEW DRUG OB,$118 ,Labor and Delivery 
EA ADD SEQ IVPUS NEW DG OB OBS,$76 ,Labor and Delivery 
EA ADD IVPUSH SUBSEQUENT OB,$51 ,Labor and Delivery 
EA ADD IVPUSH SUBSQNT OB OBSV,$51 ,Labor and Delivery 
LACOSAMIDE (VIMPAT) LC/MS/MS,$112 ,Laboratory
JUNE GRASS (KENTUCKY BLUE) IGE,$25 ,Laboratory
ZAP 70+/CD 19+,"$1,541 ",Laboratory
ANTIGEN SCREEN UNIT #13,$85 ,Laboratory
"ANTIBODY SCREEN, 33RD UNIT",$85 ,Laboratory
CML/ALL bcr/abl INTERPRETATN,$85 ,Laboratory
VENIPUNCTURE,$23 ,Laboratory
CAPILLARY PUNCTURE,$23 ,Laboratory
ARTERIAL COLLECTION,$80 ,Laboratory
WELLNESS PANEL USFS,$36 ,Laboratory
BASIC METABOLIC PANEL,$48 ,Laboratory
HEALTH PANEL,$297 ,Laboratory
ELECTROLYTES PANEL,$142 ,Laboratory
METABOLIC PANEL COMPREHENSIVE,$59 ,Laboratory
PRENATAL PANEL,$371 ,Laboratory
LIPID PANEL/CARDIAC RISK,$64 ,Laboratory
RENAL FUNCTION PANEL,$103 ,Laboratory
HEPATITIS PANEL,$268 ,Laboratory
HEPATIC FUNCTION PANEL LIVER,$46 ,Laboratory
AMIKACIN,$184 ,Laboratory
CAFFEINE,$27 ,Laboratory
TEGRETOL CARBAMAZEPINE,$82 ,Laboratory
CYCLOSPORINE,$323 ,Laboratory
CLORZARIL,$47 ,Laboratory
DIGOXIN,$155 ,Laboratory
VALPROIC ACID,$119 ,Laboratory
ETHOSUXIMIDE,$92 ,Laboratory
GENTAMICIN,$178 ,Laboratory
GABAPENTIN (NEURONTIN),$77 ,Laboratory
HALOPERIDOL,$64 ,Laboratory
IMIPRAMINE,$151 ,Laboratory
LAMICTAL,$90 ,Laboratory
LIDOCAINE,$175 ,Laboratory
LEV/KEPPRA,$58 ,Laboratory
LITHIUM,$76 ,Laboratory
MYCOPHENOLIC ACID,$266 ,Laboratory
10-HYDROXYCARBAZEPINE-TRILEPTL,$110 ,Laboratory
PHENOBARBITAL,$64 ,Laboratory
DILANTIN,$254 ,Laboratory
"DILANTIN,FREE",$91 ,Laboratory
PRIMIDONE,$127 ,Laboratory
PROCAINAMIDE-METABOLITE,$140 ,Laboratory
QUINIDINE,$88 ,Laboratory
SIROLIMUS (RAPAMYCIN),$185 ,Laboratory
TACROLIMUS,$111 ,Laboratory
AMINOPHYLLINE(THEOPHYLLINE),$81 ,Laboratory
TOBRAMYCIN,$155 ,Laboratory
TOPAMAX (TOPIRAMATE),$40 ,Laboratory
VANCOMYCIN,$152 ,Laboratory
ZONISAMIDE (ZONEGRAN),$88 ,Laboratory
QUANTITATION OF DRUG NOT S,$135 ,Laboratory
ETOH,$137 ,Laboratory
NICOTINE URINE LC/MS/MS,$133 ,Laboratory
UA AMPHETAMINE/METHAMPHT QUANT,$132 ,Laboratory
DIHYDROSTESTOSTERONE,$216 ,Laboratory
SALICYLATE,$102 ,Laboratory
NORTRIPTYLINE,$87 ,Laboratory
ZIPRASIDONE,$275 ,Laboratory
URINE BARBITURATES QUANT,$75 ,Laboratory
UA ROHYPNOL (FLUNITRAZEPAM),$330 ,Laboratory
URINE BUPRENORPHINE QUANT,$171 ,Laboratory
"CANNABINOIDS,CONFIRMED",$181 ,Laboratory
"HEXOSAMINIDASE A (MUGS), SERIU",$299 ,Laboratory
6-ACETYL MORPHINE,$43 ,Laboratory
METHADONE,$263 ,Laboratory
"MORPHINE, PAIN MANAGEMENT",$116 ,Laboratory
"OXYCODONE, PAIN MANAGEMENT",$64 ,Laboratory
ZOLPIDEM QUANT URINE,$117 ,Laboratory
BACLOFEN,$156 ,Laboratory
TRAMADOL UA PAIN MANAGEMENT,$126 ,Laboratory
AMPHETAMINES CONFIRM VALENCIA,$126 ,Laboratory
IMURAN (THIOPURINE/AZATHIOPURN,$435 ,Laboratory
UA,$18 ,Laboratory
URINALYSIS - DIP STICK ONLY,$25 ,Laboratory
UA QUAL,$13 ,Laboratory
INDICAN (URINE),$12 ,Laboratory
URINALYSIS MICROSCOPIC ONLY,$18 ,Laboratory
URINE PREG TEST,$36 ,Laboratory
URIN VOLUME COLLECTION,$11 ,Laboratory
BCR ABL1/ABL1%,$177 ,Laboratory
BCR ABL1/ABL1% (IS),$177 ,Laboratory
CYSTIC FIBROSIS SCREEN,$303 ,Laboratory
PROTHROMBN GENE FACTOR II MUTA,$220 ,Laboratory
FACTOR V LEIDEN MUTATION,$224 ,Laboratory
FRAGILE X PCR,$435 ,Laboratory
FRAGILE X SOUTHERN BLOT,$111 ,Laboratory
HER. HEMOCHROMATOSIS DNA,$160 ,Laboratory
ALPHA-GLOBIN COMMON MUTATION,$690 ,Laboratory
B-CELL GENE REARRANGMT PCR,$306 ,Laboratory
"JAK2 V617F MUTATION,QUANT",$413 ,Laboratory
MTHFR DNA MUTATION,$447 ,Laboratory
ALPHA 1 ANTITRYSPIN GENOTYPE,$405 ,Laboratory
HLA-B *5701 TYPING,$507 ,Laboratory
HLA CLASS II TYPING,$73 ,Laboratory
SMOOTH MUSCLE ATROPHY PANL-SMA,"$1,260 ",Laboratory
MEN TYPE1 INTERPRETATION,$450 ,Laboratory
MEN TYPE1 SPECIMEN,$450 ,Laboratory
METAVIR,$57 ,Laboratory
"ACETONE, KETONE,SERUM QUANTITI",$46 ,Laboratory
ACYLCARNITINE PROFILE,$279 ,Laboratory
ACTH,$217 ,Laboratory
CYCLIC AMP,$405 ,Laboratory
ALBUMIN,$28 ,Laboratory
PROTEIN-OTHER SOURCE,$67 ,Laboratory
MICROALBUMIN URIN QUANTIVATIVE,$35 ,Laboratory
MICROALBUMIN SEMIQUANTITATIVE,$15 ,Laboratory
ALCOHOL BREATH,$55 ,Laboratory
ALDOLASE,$229 ,Laboratory
ALDOSTERONE,$229 ,Laboratory
ALPHA 1 ANTITRYPSIN,$89 ,Laboratory
ALPHA 1 ANTITRYPSIN PHENOTYPE,$82 ,Laboratory
ALPHA-FETOPROTEIN (AFP),$94 ,Laboratory
AFP-L3& AFP FOR CARCINOMA RISK,$113 ,Laboratory
ALUMINUM,$177 ,Laboratory
AMINO ACID SCREEN-UR/QUAL,$105 ,Laboratory
HOMO SERUM,$210 ,Laboratory
AMINOLEVALINIC ACID,$152 ,Laboratory
AMMONIA,$82 ,Laboratory
AMYLASE,$75 ,Laboratory
ANDROSTENEDIONE,$165 ,Laboratory
ANGIOTENSIN 1 - CONV ENZ,$82 ,Laboratory
APOLIPOPROTEIN (LIPUPROTEIN A),$204 ,Laboratory
24HR URINE ARSENIC,$107 ,Laboratory
VITAMIN C,$119 ,Laboratory
BETA 2 MICROGLOBULIN,$111 ,Laboratory
"BILE ACIDS, TOTAL",$95 ,Laboratory
BILIRUBIN TOTAL,$60 ,Laboratory
BILIRUBIN DIRECT,$28 ,Laboratory
HEMOCCULT OTHER THAN SCREEN,$18 ,Laboratory
FIT OCCULT NEOPLASM SCRN,$89 ,Laboratory
CADMIUM,$219 ,Laboratory
"VITAMIN D,25 HYDROXY PANEL",$79 ,Laboratory
CALCITONEN,$259 ,Laboratory
CALCIUM-SERUM,$29 ,Laboratory
CALCIUM IONIZED,$77 ,Laboratory
CALCIUM URINE,$144 ,Laboratory
STONE ANALYSIS,$100 ,Laboratory
STONE ANALYSIS KIDNEY,$72 ,Laboratory
CARBON DIOXIDE (BICARBONATE),$35 ,Laboratory
CARBON MONOXIDE,$69 ,Laboratory
CEA,$107 ,Laboratory
CARNITINE,$582 ,Laboratory
CAROTENE,$63 ,Laboratory
CATECHOLAMINE FRACTIONATED,$142 ,Laboratory
CERULOPLASMIN,$71 ,Laboratory
CHEMILUMINESCENT ASSAY,$77 ,Laboratory
"MICROALBUMIN,URINE",$22 ,Laboratory
CHLORIDE-SERUM,$52 ,Laboratory
CHLORIDE-URINE,$27 ,Laboratory
"CHLORIDE, FECES",$88 ,Laboratory
CHOLESTEROL,$79 ,Laboratory
CHOLINESTERASE SERUM,$70 ,Laboratory
CHOLINESTERASE RBC,$124 ,Laboratory
CHROMIUM,$123 ,Laboratory
CITRATE-URINE,$297 ,Laboratory
COLLAGEN CROSS LINKS,$140 ,Laboratory
COPPER,$70 ,Laboratory
URINE CORTISOL FREE,$180 ,Laboratory
CORTISOL TOTAL,$82 ,Laboratory
KETAMINE AND METABOLIES,$147 ,Laboratory
CANNABINOIDS GCMS--EMP,$176 ,Laboratory
CREATINE KINASE CK/C (CPK),$75 ,Laboratory
CPK ISOENZYMES,$211 ,Laboratory
CK MB (ENZYME ASSAY),$156 ,Laboratory
CREATININE BLOOD,$57 ,Laboratory
CREATININE URINE,$29 ,Laboratory
CREATININE CLEARANCE,$99 ,Laboratory
CRYOFIBRINOGEN,$90 ,Laboratory
CRYOGLOBULINS,$36 ,Laboratory
CYANIDE,$114 ,Laboratory
VITAMIN B-12,$85 ,Laboratory
CYSTATIN C,$167 ,Laboratory
CYSTINE URINE,$80 ,Laboratory
DHEA LC/MS/MS,$142 ,Laboratory
DHEA-S,$103 ,Laboratory
DEOXYCORTISOL 11 LEVEL,$94 ,Laboratory
DIBUCAINE NUMBER,$64 ,Laboratory
"VITAMIN D,1,25",$216 ,Laboratory
PANCREATIC ELASTASE 1,$336 ,Laboratory
ALA DEHYDRATASE,$274 ,Laboratory
AMYLASE ISOENZYMES,$104 ,Laboratory
ERYTHROPPIETIN,$107 ,Laboratory
ESTRADIOL,$157 ,Laboratory
ESTROGENS TOTAL,$156 ,Laboratory
ESTRIOL,$136 ,Laboratory
ESTRONE,$140 ,Laboratory
ETHYLENE GLYCOL,$84 ,Laboratory
LDL PATTERN,$45 ,Laboratory
FECAL FAT (QUALITATIVE),$29 ,Laboratory
FAT FECES 24 HOURS,$261 ,Laboratory
