CDM NAME,HOSPITAL,TECHNICAL DESCRIPTION,TOTAL CHARGE
SFH,Saint Francis Hospital,DFIB INSYNC SENTRY 7299,"$145,927.72"
SFH,Saint Francis Hospital,DFIB LUMAX 540 HF-T,"$81,403.26"
SFH,Saint Francis Hospital,DFIB LUMAX 540 VR-T,"$58,788.46"
SFH,Saint Francis Hospital,DFIB LUMAX 540 DR-T,"$63,312.39"
SFH,Saint Francis Hospital,DFIB KRONOS LVT 347406,"$116,020.29"
SFH,Saint Francis Hospital,DFIB LUMAX 340 HF-T,"$121,176.71"
SFH,Saint Francis Hospital,DFIB LUMAX 340 DR-T,"$97,972.67"
SFH,Saint Francis Hospital,DFIB LUMAX 340 VR-T,"$62,181.43"
SFH,Saint Francis Hospital,DFIB PROMOTE RF 3207-36,"$116,020.29"
SFH,Saint Francis Hospital,DFIB RENEWAL 3 CONTK HE,"$127,622.28"
SFH,Saint Francis Hospital,DFIB RENEWAL 3 RF HE,"$135,356.99"
SFH,Saint Francis Hospital,DFIB RENEWAL 3 RF,"$130,200.53"
SFH,Saint Francis Hospital,DFIB RENEWAL 3 RF H215,"$130,200.53"
SFH,Saint Francis Hospital,DFIB RENEWL 3 RF HE H219,"$135,356.99"
SFH,Saint Francis Hospital,DFIB SC ATLAS II VR V168,"$94,208.46"
SFH,Saint Francis Hospital,DFIB SC ATLAS+ VR V193,"$104,366.70"
SFH,Saint Francis Hospital,DFIB SC ENTRUST,"$97,457.03"
SFH,Saint Francis Hospital,DFIB SC LUMOS VR-T,"$97,972.67"
SFH,Saint Francis Hospital,DFIB SC PRIZM,"$101,066.55"
SFH,Saint Francis Hospital,DFIB SC VITALTY 2 T175,"$97,972.67"
SFH,Saint Francis Hospital,DFIB SC VITALTY VR T135,"$92,816.22"
SFH,Saint Francis Hospital,DFIB SC VIRTUOSO D154VW,"$98,488.33"
SFH,Saint Francis Hospital,DFIB SECURA DR D224DRG,"$99,691.49"
SFH,Saint Francis Hospital,DFIB SECURA VR D224VRC,"$86,432.02"
SFH,Saint Francis Hospital,DFIB TELIGEN VR HE E102,"$95,222.57"
SFH,Saint Francis Hospital,DFIB TELIGEN DR HE E110,"$107,548.95"
SFH,Saint Francis Hospital,DFIB UNIFY CRT-D SJ4 CON,"$95,762.75"
SFH,Saint Francis Hospital,DFIB UNIFY CRT-D DF1/IS1,"$95,762.75"
SFH,Saint Francis Hospital,DFB UNIFY QUADRA CRT-D,"$90,851.86"
SFH,Saint Francis Hospital,IMP RCRD CRD REVEAL LINQ,"$20,600.17"
SFH,Saint Francis Hospital,IMP RECRDR CARD CONFIRM,"$22,295.55"
SFH,Saint Francis Hospital,LD ATTAIN UNIPLR 4195,"$10,804.01"
SFH,Saint Francis Hospital,LD ATTAIN ABILITY 4196,"$10,804.01"
SFH,Saint Francis Hospital,LD ATTAIN PERFORMA 4298,"$10,022.19"
SFH,Saint Francis Hospital,LD DFIB ACUITY 4555,"$8,775.80"
SFH,Saint Francis Hospital,LD DFIB DURATA 7120,"$21,657.11"
SFH,Saint Francis Hospital,LD DFIB DURATA 7122,"$21,657.11"
SFH,Saint Francis Hospital,LD PM CAPSURE SENSE 4574,"$2,578.23"
SFH,Saint Francis Hospital,LD PM CAPSURE SP NOV5594,"$2,578.23"
SFH,Saint Francis Hospital,LD PM DEXTRUS 4136,"$2,526.87"
SFH,Saint Francis Hospital,LD PM DEXTRUS 4137,"$2,526.87"
SFH,Saint Francis Hospital,LD PM DEXTRUS 4135,"$3,125.11"
SFH,Saint Francis Hospital,PM ALTRUA DDDR S603,"$31,817.29"
SFH,Saint Francis Hospital,PM ADVANTIO DR K063,"$15,938.02"
SFH,Saint Francis Hospital,PM ADVANTIO SR K062,"$20,486.32"
SFH,Saint Francis Hospital,PM ADVANTIO DR EL K064,"$15,604.26"
SFH,Saint Francis Hospital,PM ASSURITY DR-RF PM2240,"$20,387.57"
SFH,Saint Francis Hospital,PM ASSURITY SR-RF PM1240,"$17,972.53"
SFH,Saint Francis Hospital,PM ADVISA SR MRI A3SR01,"$24,783.65"
SFH,Saint Francis Hospital,PM ASSURITY MRI PM1272,"$30,834.00"
SFH,Saint Francis Hospital,PM ASSURITY MRI PM2272,"$35,002.07"
SFH,Saint Francis Hospital,PM AZURE XT DR MRI W1DR01,"$29,327.02"
SFH,Saint Francis Hospital,PM CONSULTA CRT-P C4TR01,"$41,374.44"
SFH,Saint Francis Hospital,PM CONTAK RENEWAL H120,"$51,306.75"
SFH,Saint Francis Hospital,PM CONTAK RENEWAL H125,"$51,306.75"
SFH,Saint Francis Hospital,PM DC ACCENT DR PM2210,"$40,917.25"
SFH,Saint Francis Hospital,PM DC ALTRUA 60 S606,"$34,621.91"
SFH,Saint Francis Hospital,PM ALLURE QUADRA 3242,"$31,591.18"
SFH,Saint Francis Hospital,PM ENDURITY DR PM2160,"$16,135.74"
SFH,Saint Francis Hospital,PM DC ENPULSE 2 DR06,"$31,454.39"
SFH,Saint Francis Hospital,PM DC EVIA DR-T 359529,"$23,049.41"
SFH,Saint Francis Hospital,PM DC RR ADAPTA ADDRL101,"$18,146.85"
SFH,Saint Francis Hospital,PM DC RR ADAPTA ADDRS1,"$30,938.74"
SFH,Saint Francis Hospital,PM DC RR ADAPTA ADDR01,"$30,938.74"
SFH,Saint Francis Hospital,PM DC RR ADAPTA 0101ID,"$30,938.74"
SFH,Saint Francis Hospital,PM DC RR ADAPTA DR0301,"$18,146.85"
SFH,Saint Francis Hospital,PM DC RR ADAPTA ADDR06,"$23,105.83"
SFH,Saint Francis Hospital,PM DC RR ATR/VNT BI,"$32,459.91"
SFH,Saint Francis Hospital,PM DC RR ATR/VNT BI/UNI,"$34,512.17"
SFH,Saint Francis Hospital,PM DC RR CYLOS DRT,"$35,579.56"
SFH,Saint Francis Hospital,PM DC RR ENRYTHM P1501,"$31,970.02"
SFH,Saint Francis Hospital,PM DC RR ENPULSE 2 DR21,"$30,165.27"
SFH,Saint Francis Hospital,PM DC RR ENPULSE 2,"$31,454.39"
SFH,Saint Francis Hospital,PM DC RR ENPULSE E1DR21,"$31,454.39"
SFH,Saint Francis Hospital,PM DC RR IDENTITY ADX,"$34,512.17"
SFH,Saint Francis Hospital,PM DC RR INSIGN ULTR DR,"$34,806.10"
SFH,Saint Francis Hospital,PM DC RR INSIGNA ULTRA,"$34,806.10"
SFH,Saint Francis Hospital,PM DC RR INSIGNA PLUS,"$32,227.85"
SFH,Saint Francis Hospital,PM DC RR TALENT DR,"$31,454.39"
SFH,Saint Francis Hospital,PM DC RR VERSA VEDR01ID,"$19,294.96"
SFH,Saint Francis Hospital,PM DC RR VICTORY DR,"$37,090.42"
SFH,Saint Francis Hospital,PM DC RR VICTORY XLDR,"$37,090.42"
SFH,Saint Francis Hospital,PM DC RR ZEPHYR 5826,"$39,668.62"
SFH,Saint Francis Hospital,PM DC RR ZEPHYR 5820,"$37,090.42"
SFH,Saint Francis Hospital,PM INGENIO SR IS-1 K172,"$13,987.06"
SFH,Saint Francis Hospital,PM INGENIO DR IS-1 K173,"$15,604.26"
SFH,Saint Francis Hospital,PM INSYNC III 8042,"$50,159.84"
SFH,Saint Francis Hospital,PM REVO MRI SRSCN RVDR01,"$31,920.92"
SFH,Saint Francis Hospital,PM SC EVIA SR 359531,"$14,286.19"
SFH,Saint Francis Hospital,PM SC RR ADAPTA ADSR01,"$25,524.46"
SFH,Saint Francis Hospital,PM SC RR ADAPTA SR01ID,"$26,297.93"
SFH,Saint Francis Hospital,PM SC RR CYLOS VR,"$26,813.57"
SFH,Saint Francis Hospital,PM SC RR ENPULSE,"$27,071.40"
SFH,Saint Francis Hospital,PM SC RR IDENTITY ADX,"$25,436.81"
SFH,Saint Francis Hospital,PM SC RR INSIGNA,"$29,649.61"
SFH,Saint Francis Hospital,PM SC RR INSIGNA ENTR,"$27,071.40"
SFH,Saint Francis Hospital,PM SC RR INSIGNIA ULTRA,"$32,227.85"
SFH,Saint Francis Hospital,PM SC RR KAPPA,"$25,266.63"
SFH,Saint Francis Hospital,PM SC RR KAPPA KSR901,"$25,266.63"
SFH,Saint Francis Hospital,PM SC RR SENSIA SESR01,"$23,719.68"
SFH,Saint Francis Hospital,PM SC RR VICTORY,"$25,704.94"
SFH,Saint Francis Hospital,PM SC RR ZEPHYR SR 5620,"$30,593.27"
SFH,Saint Francis Hospital,PM SC RR ZEPHYR XL 5626,"$30,593.27"
SFH,Saint Francis Hospital,PM SC ACCENT SR PM1210,"$31,176.38"
SFH,Saint Francis Hospital,RCRDR LOOP REVEAL,"$18,053.07"
SFH,Saint Francis Hospital,PM ACCOLADE DR MRI L311,"$31,425.70"
SFH,Saint Francis Hospital,PM ACCOLADE DR L301,"$13,416.93"
SFH,Saint Francis Hospital,PM ACCOLADE MRI SR L310,"$28,006.54"
SFH,Saint Francis Hospital,PM ADVISA DR MRI A2DR01,"$18,708.11"
SFH,Saint Francis Hospital,PM ADVISA DR A4DR01,"$18,326.49"
SFH,Saint Francis Hospital,PM ALTRUA SSIR SC S601,"$29,956.56"
SFH,Saint Francis Hospital,PM ALLURE RF PM3222,"$25,213.41"
SFH,Saint Francis Hospital,PM ANTHEM RF DC PM3210,"$38,149.97"
SFH,Saint Francis Hospital,PM QUADRA ALLURE MP 3262,"$61,426.96"
SFH,Saint Francis Hospital,PM SERENA QUAD MRI W4TR02,"$54,661.23"
SFH,Saint Francis Hospital,PM STRATOS LV 338200,"$38,108.67"
SFH,Saint Francis Hospital,PM SYNCRA CRT-P C2TR01,"$38,918.97"
SFH,Saint Francis Hospital,EPIFIX PER SQ CM,$900.78
SFH,Saint Francis Hospital,DFB DYNAGEN EL VR D151,"$94,581.57"
SFH,Saint Francis Hospital,DFB DYNAGEN EL DR D152,"$175,862.28"
SFH,Saint Francis Hospital,DFB DYNAGEN EL VR D150,"$162,879.88"
SFH,Saint Francis Hospital,DFB DYNAGEN X4 CRTD G158,"$205,113.11"
SFH,Saint Francis Hospital,DFIB CURRENT PLUS VR,"$106,392.78"
SFH,Saint Francis Hospital,DFIB CURRENT+ DR CD2211,"$112,216.14"
SFH,Saint Francis Hospital,DFIB CURRENT PLUS VR SJ4,"$73,565.45"
SFH,Saint Francis Hospital,DFIB CURRENT PLUS DR SJ4,"$78,820.13"
SFH,Saint Francis Hospital,DFIB ENERGEN DR DF4 E142,"$66,989.73"
SFH,Saint Francis Hospital,DFB INCEPTA VR DF4 E160,"$67,795.14"
SFH,Saint Francis Hospital,DFB INCEPTA CRTD LV1N164,"$86,864.17"
SFH,Saint Francis Hospital,DFB INCEPTA DR DF1 E163,"$64,149.44"
SFH,Saint Francis Hospital,DFB FORTFY ASSURA VR DF4,"$62,502.06"
SFH,Saint Francis Hospital,DFB FORTFY ASR DR DF4IS1,"$66,966.50"
SFH,Saint Francis Hospital,DFB FORTFY AS VR 135740Q,"$55,954.23"
SFH,Saint Francis Hospital,DFB FORTFY ASR DR235740Q,"$59,950.97"
SFH,Saint Francis Hospital,DFIB EVERA S DR DDBC3D4,"$65,576.16"
SFH,Saint Francis Hospital,DFIB EVERA S VR DVBC3D4,"$72,999.86"
SFH,Saint Francis Hospital,DFIB EVERA XT VR DVBB1D4,"$59,100.59"
SFH,Saint Francis Hospital,DFIB EVERA S DR DDBC3D1,"$68,854.97"
SFH,Saint Francis Hospital,DFIB EVERA XT DR DDBB1D4,"$67,604.28"
