Department - Charge Category,Item Number - Charge ID,Description,Price
Other,10606,PREDNISOLONE SOD PHOSPHATE (ORAPRED 15MG/5ML (237ML)) 15 MG = 5 ML (Dosage Form = SOLUTION),232.45
Other,2678,Programmer,0
Other,2947,EPOETIN ALFA (PROCRIT) 40000 UNITS = 1 ML (Dosage Form = VIAL),1150.1
Other,5223,Lead Temp Perv 6FR,723
Other,3190,PROTAMINE SULFATE (PROTAMINE SULFATE INJ) 250 MG = 25 ML (Dosage Form = VIAL),72.55
Other,3492,Low Osmolar Contrast Per ML (320 Visipaque and Optiray),3
Other,1291,Tolerance Test Each A,27
Other,791,Extremity Bilateral S&I,3730
Other,12237,Lead Kit Octrode 60cm 92276712*,5159
Other,9542,Atherectomy Renal Artery includes S&I,12005
Other,3272,Fentanyl per 0.1mg inj,
Other,8600,First Blk Frzn Section Multi Specimen,200
Other,713,Abdominal Aortography S&I,3639
Other,4160,CELECOXIB (CELEBREX CAPSULE) 200 MG = 1 CAP (Dosage Form = CAP),28.8
Other,9928,SJ Aortic Valsalve Valved Graft Valve (P) 92252006*,16718
Other,6902,ZINC OXIDE (ZINC OXIDE OINTMENT (480GM)) 1 APP = 1 APP (Dosage Form = OINT),22.75
Other,10392,ICD Implant Single or Dual,85324
Other,8831,Replace G or J Tube Perc w/ Fluoro,874
Other,6018,PTA Right Subclavian Artery,
Other,11537,Kit Pro Axis *,405
Other,3618,AMITRIPTYLINE HCL (ELAVIL TAB (GEN EQUIV)) 75 MG = 1 TAB (Dosage Form = TAB),2.85
Other,11594,Plate TI Cranial Square Small 92238807*,545
Other,3430,OXALIPLATIN (ELOXATIN(OXALIPLATIN) INJ) 100 MG = 20 ML (Dosage Form = INJ),1018.35
Other,13128,Perciva  DR ICD Pacemaker,15542
Other,11675,HIV-1 Antibody,59
Other,8528,Anaerobic Isolate Definitive 5,54
Other,12814,Valve Aortic Intuity (All Sizes),15849
Other,12304,Hip XRay Unilateral 2-3 Views LT,279
Other,11953,INSULIN DETEMIR (LEVEMIR FLEXTOUCH) 100 UNITS = 1 ML (Dosage Form = INSULN PEN),129.55
Other,13070,CLINIMIX PLAIN 5%-20% SOLUTION 2000 ML (Dosage Form = IV),266.65
Other,13183,ISOPROTERENOL 0.2 MG/ML 1 ML IV VIAL,2494.8
Other,10438,Giardia,79
Other,6563,Transthoracic Pace Needle,
Other,4186,ACTIVATED CHARCOAL (ACTIDOSE (120ML)) 25 GM = 120 ML (Dosage Form = LIQUID),52.15
Other,10707,Tips CUSA 92221001*,1959
Other,452,Chest Complete Minimum 4 View,277
Other,8703,Stylet Locking Liberator,1915
Other,8423,Impella Catheter 92270867*,43515
Other,5401,Visceral PTA  and Stent,
Other,2599,Connect Tissue Non-Human,0
Other,5243,LEVETIRACETAM (KEPPRA SOLN (4 OZ.)) 12000 MG = 120 ML (Dosage Form = SOLN),207.75
Other,1875,Cyt Fluid/Conc./Smr Multi,107
Other,4838,FUROSEMIDE (LASIX TAB) 20 MG = 1 TAB (Dosage Form = TAB),1
Other,9208,DOXORUBICIN HCL (ADRIAMYCIN/DOXORUBICIN) 50 MG = 2 ML (Dosage Form = VIAL),553
Other,12122,Plate Burr Hole 1.5 / 13mm,867
Other,11876,Dril Bit Skyline Any size,1027
Other,3703,ASPIRIN (ASPIRIN SUPPOSITORY) 300 MG = 1 SUPP (Dosage Form = SUPP),4.6
Other,1122,Topiramate - R,100
Other,9733,Exam/Retrieval/Molecular Analysis,33
Other,8466,RIVASTIGMINE (EXELON PATCH) 9.5 MG = 1 PATCH (Dosage Form = PATCH),23.1
Other,997,"Spleen Scan,W/Wo Vasc Flow",1066
Other,5409,METFORMIN HCL (GLUCOPHAGE XR 750 MG SR TAB) 750 MG = 1 TAB (Dosage Form = TAB SR),3.75
Other,8809,Dilution multiantimicrobial (MIC) 13,222
Other,12238,Lead Kit Octrode 90cm 92276713*,5159
Other,9755,HYDROCODONE BIT/HOMATROPINE (HYDROMET (U/D 5ML CUP)) 5 ML = 5 ML (Dosage Form = SYRUP),11.7
Other,6003,PANTOPROZOLE (PROTONIX 20MG) TAB Dose Form = ECTAB,1
Other,671,MRI Tib Fib W ContrastRT,3220
Other,10847,LEMS Antibody Test - R,499
Other,2538,Diagnostic EP Duo-Decapolar Catheter,2259
Other,9860,CLINIMIX E 5%-15% SOLUTION (CLINIMIX E 5%-15% SOLUTION) 2000 ML = 2000 ML (Dosage Form = BOTTLE),335.15
Other,707,MRI Hand Wo Contrast Right,4512
Other,13218,FLU VAC QV180 MCG 0.5 ML IM  2018-2019 (FLUBLOK QUAD) SYRG,128
Other,4913,HALOPERIDOL (HALDOL TAB) 5 MG = 1 TAB (Dosage Form = TAB),2.7
Other,8182,Ear Irrigation (Ear Wax) Impacted Requiring Instrumentation,236
Other,3567,Airloss Therapy Mc3,0
Other,6369,SULFAMETHOXAZOLE/TRIMETHOPRIM (SEPTRA/SULFAMETHOXAZOLE/TRIMET) 320 MG = 20 ML (Dosage Form = VIAL),59.95
Other,4087,Cath Malecot 22FR,95
Other,4229,ESTRADIOL (CLIMARA PATCH) 0.05 MG = 1 PATCH (Dosage Form = PAT TDW),76.75
Other,5371,Marking Guide Stereo Loc 20,52
Other,5004,IMIPRAMINE HCL (TOFRANIL TAB (GEN EQUIV)) 25 MG = 1 TAB (Dosage Form = TAB),1
Other,11072,Bone Mill Stryker Fine 70110*,1417
Other,5592,"CYCLOSPORINE, MODIFIED (NEORAL SOLN (50ML)) 100 MG = 1 ML (Dosage Form = SOLN)",629.1
Other,10541,"C - Telopeptide, Serum - R",165
Other,2168,Calorimetry,78
Other,4026,DILTIAZEM HCL (CARDIZEM TAB) 90 MG = 1 TAB (Dosage Form = TAB),2.7
Other,7899,NATALIZUMAB (TYSABRI/NATALIZUMAB) 300 MG = 15 ML (Dosage Form = VIAL),12963.35
Other,8452,Endomysial Antibody IgA - R,175
Other,66,Aspirate or Inject Large Joint,301
Other,11651,Artiss Syringe 2ml 92274688*,799
Other,1840,Cult. Resp. Viral (Shell Vial),131
Other,4106,Cath Thermodilution 7.0,516
Other,3932,BUSPIRONE HCL (BUSPAR TAB) 5 MG = 1 TAB (Dosage Form = TAB),2.75
Other,10327,BCR/ABL Major Breakpoint - R,369
Other,12377,Wellness Hgb (A1c),5
Other,8714,CLINDAMYCIN 900MG/100ML D5W (CLEOCIN/CLINDA 900MG/100ML D5W) 900 MG = 100 ML (Dosage Form = VIAL),39.95
Other,6358,SUCRALFATE (CARAFATE SUSP U/D (10ML)) 1 GM = 10 ML (Dosage Form = SUSP),20.1
Other,11911,Baha Dressing Allevyn 92275702*,26
Other,11476,Spacer Capstone Peek 8x22 92262278*,7816
Other,8641,Muscle Testing Manual No Hands PT,135
Other,8827,NALTREXONE HCL (REVIA) 50 MG = 1 TAB (Dosage Form = TAB),27.9
Other,8735,Enzyme Detection  1,20
Other,9703,Hero 1002 Arterial Graft Component (P) 92242841*,2774
Other,90,Inject Sacroiliac Joint RT w Imaging,1279
Other,9686,Lead Introducer Pain (P),337
Other,2336,New Outpt E/M Visit Lvl 4,339
Other,8962,TACROLIMUS ANHYDROUS (PROGRAF) 0.5 MG = 1 CAP (Dosage Form = CAP),7.45
Other,8513,FONDAPARINUX SODIUM (ARIXTRA) 10 MG = 0.8 ML (Dosage Form = SYRING),285.55
Other,1032,NM Brain Spect,1435
Other,12110,Setrox S 60 Lead,551
Other,2267,Ultrasound OT Ea 15 Min,57
Other,6312,Stent Neuroform 2,11022
Other,9950,C. Difficile Toxin B - PCR,100
Other,4638,FENTANYL (DURAGESIC 50 MCG/HR PATCH) 50 MCG = 1 PATCH (Dosage Form = PAT 12H),60
Other,815,Hepatic Venography w/o Hemodynamic Monitoring S&I,3730
Other,5915,PREDNISONE (PREDNISONE SOLUTION U/D (5ML)) 5 MG = 5 ML (Dosage Form = SOLN),2.9
Other,12031,MYCOPHENOLATE ACID AS M.SODIUM (MYFORTIC (DELAYED RELEASE)) 360 MG = 1 TAB (Dosage Form = TABLET DR),31.65
Other,1308,Hemoglobinopathy Profile - R,45
Other,325,Discography Ea Level Cerv/Thor,176
Other,12694,Physical Therapy Evaluation High Complexity,152
Other,11754,LIPASE/PROTEASE/AMYLASE (VIOKACE 20880 UNITS) 1 TAB = 1 TAB (Dosage Form = TAB),17.95
Other,1310,Hemoglobin A1C,64
Other,1575,Anti-dsDNA Antibodies - R,97
Other,1305,Growth Hormone (HGH) - R,43
Other,8649,Impella Catheter Insertion,580
Other,291,Spinal Puncture,507
Other,11840,SERI 10cm x 25cm 92275416*,6618
Other,3245,DIAZEPAM (VALIUM INJ (GEN EQUIV)) 10 MG = 2 ML (Dosage Form = VIAL),59
Other,906,CT Guided Stereotactic,2629
Other,8903,Francisella Tularensis Ab - R,220
Other,2057,"Echo-2D-Mode,Complete",714
Other,12228,PuraPly AM  per sqcm 5 x 5 92276705*,270
Other,12205,Probe Pedicle Screw 175mm 92276593*,544
Other,9718,Burr Fast Cutting 62144983*,447
Other,10719,CEFDINIR (OMNICEF 125MG/5ML-SUSP 100ML) 125 MG = 5 ML (Dosage Form = SUSP RECON),252.05
Other,12363,Stylet Axiem 23cm*,1911
Other,4678,EMPTY LIFECARE FLEX 1000ML-ADD (EMPTY LIFECARE FLEX 1000ML-ADD) 1 EACH = 1 EACH (Dosage Form = ),55.5
Other,526,Discography (Lumbar),4025
Other,268,Biliary Dilation w/o Stent,3833
Other,11661,Rod Straight Depuy 3.5 x 120 *,1370
Other,392,Neuroplasty Open Lumbar Plexus,2172
Other,6515,DORZOLAMIDE HCL/TIMOLOL MALEAT (COSOPT 10ML EYE DROPS) 1 DROPS = 1 DROPS (Dosage Form = DROPS),262.1
Other,13214,Single Drug Screen Class SMMM- R,187
Other,10582,CODEINE PHOSPHATE/APAP (TYLENOL-COD ELIXIR(GEN EQ)30ML) 72 MG = 30 ML (Dosage Form = ELIXIR),3.55
Other,1034,Pet Brain Perfus Eval,8572
Other,9372,Lymphedema Therapeutic Exercise - PT,68
Other,12496,Group A Strep (DNA),95
Other,1133,Urine Acetone/Ketone,22
Other,140,IABP Insertion,2149
Other,12410,HIV ( 1/0/2) Ant./AB (4th Generation) - R,104
Other,2672,Mesh Marlex 10X14 92270878*,1242
Other,6635,Tube Deaver T 16FR,111
Other,7861,In Situ Hybrid Manual Probe 2 - R,631
Other,9269,T-SPOT TB Test - R,304
Other,11634,LEUPROLIDE ACETATE (LUPRON DEPOT KIT) 30 MG = 1 EACH (Dosage Form = KIT),1047.55
Other,6060,NABUMETONE (RELAFEN TAB) 500 MG = 1 TAB (Dosage Form = TAB),3.8
Other,1050,PET CT Limited Susequent,8572
Other,388,Radiofreq Ablation Cerv/Thor Single,2105
Other,1284,Glucose CSF Fld Quant,27
Other,4957,HYDROCHLOROTHIAZIDE (HYDRODIURIL) 25 MG = 1 TAB (Dosage Form = TAB),1
Other,8550,CLOBETASOL PROPIONATE (TEMOVATE 0.05% OINT (60GM)) 1 APP = 1 APP (Dosage Form = OINT),981.9
Other,4607,Drain Penrose 1X12,
Other,10947,CT Coronary Calcium Scoring Stat,78
Other,13123,Tibial Base Journey CR/XR,2920
Other,397,XR-Mastoids <3 Views-Side,279
Other,6653,Tube Levin 16FR,
Other,12212,Piston Eclipse Titanium 92276595,928
Other,4351,"Css Sof Roll 4"" Sterile",
Other,11522,Screw Atl SD VAR Size 4.0 92246289*,1324
Other,2987,ERTAPENEM SODIUM (INVANZ/ERTAPENEM) 1000 MG = 1 VIAL (Dosage Form = VIAL),175.1
Other,314,Colpotomy W/Drain Pelvic Absc,8433
Other,7734,Fresh Frzn Plasma Each 1,298
Other,1100,Gentamycin Tr,108
Other,22,Rem Skin Lesion Benign <.5Cm,1938
Other,8949,"Fatty Acids, Free - R",34
Other,11902,Fluoroquin - resist Enterbactor,44
Other,2838,Op Visits Resp Rehab,88
Other,3925,BUPROPION HCL (WELLBUTRIN SR TAB) 150 MG = 1 TAB (Dosage Form = SR TAB),4.8
Other,1834,Herpes Simplex Type 2 - R,79
Other,6293,CARISOPRODOL (SOMA TAB (GEN EQUIV)) 350 MG = 1 TAB (Dosage Form = TAB),1.9
Other,11572,Cage Pyramesh 17x22x90 92246156*,16618
Other,12064,Perforator Cranial 14mm Codman 92276226*,1086
Other,1008,Schilling Test W/ I.F. Part 2,746
Other,11539,Drain Fluid  Collection Percutaneous by Catheter  w Image,762
Other,5268,LIDOCAINE HCL (XYLOCAINE 2% VISCOUS(15ML) (G)) 300 MG = 15 ML (Dosage Form = SOLN),3
Other,6792,VARENICLINE TARTRATE (CHANTIX TAB) 1 MG = 1 TAB (Dosage Form = TAB),6.25
Other,12434,Surgicel Snow 2 x 4,368
Other,11959,Midas Rex Tool 10OV40L 92276044*,587
Other,8299,Select Debridement First 20 SQCM,506
Other,10337,Molecular Path Proc Level 7 - R,955
Other,5489,MORPHINE SULFATE (AVINZA CAP SA) 60 MG = 1 CAP (Dosage Form = SACAP),16.3
Other,8700,Sheath Femoral Curved,731
Other,2335,DEXTROSE 50%-WATER (DEXTROSE 50% ABBOJECT (50ML)) 25 GM = 50 ML (Dosage Form = SYRING),71.4
Other,5281,Line Arterial,53
Other,5212,DIGOXIN (LANOXIN TAB) 0.125 MG = 1 TAB (Dosage Form = TAB),7.2
Other,11803,Medtronic Centerpiece 19 X 19 mm,15680
Other,5131,TRIAMCINOLONE ACETONIDE (5ML) (KENALOG-10 (5ML)/TRIAMCINOLONE) 10 MG = 1 ML (Dosage Form = VIAL),26.1
Other,9974,GPS III Autograft Single Kit (P)*,2712
Other,10314,"Multilayer Venous Compression Upper Arm, Forearm, Hand, Fingers",270
Other,1424,Protein Urine,25
Other,6703,Tube Trach Cuff 6.5,
Other,1758,Incubation W/Enzymes Each - R,603
Other,8690,Methylmalonic Acid Ur - R,119
Other,4525,DIPHENOXYLATE HCL/ATROP SULF (LOMOTIL LIQ (GEN EQUIV) (2OZ)) 30 MG = 60 ML (Dosage Form = LIQUID),18.75
Other,5699,FLURBIPROFEN SODIUM (OCUFEN 0.03% OPTH DROPS-2.5ML) 1 DROPS = 1 DROPS (Dosage Form = DROPS),55.85
Other,5127,KCL 20MEQ -- NS 1000 ML (PMIX) (KCL 20MEQ -- NS 1000 ML (P-MIX) 20 MEQ = 1000 ML (Dosage Form = INJ),16.05
Other,9146,Rubeola Virus Ab IgM - R,85
Other,6006,Protorque Device,67
Other,8258,Vac Versafoam Dressing 48561*,254
Other,10578,Ingenio DR Dual Pacemaker,6215
Other,8061,Room IMCU Private ICU,2179
Other,12126,Plate Cranial 1.5 Med Str 2 Hole,251
Other,12019,Myelography 2 or more regions Inj includes S&I,4215
Other,11951,Cath Vent w/ Bactiseal 15cm,1891
Other,11086,Harmonic Scalpel CS23C 92213958*,1200
Other,2285,Group Therapy Pt,45
Other,6939,Late Rm.Semi.Cardiac Stepdown,
Other,6402,FLUOCINOLONE ACETONIDE (SYNALAR 0.01% SOLUTION(60ML)) 1 APP = 1 APP (Dosage Form = SOLN),280.8
Other,1255,Ferritin,92
Other,3867,Blade Acrom 4.0 7205668,439
Other,4821,FOLIC ACID (FOLIC ACID INJ) 50 MG = 10 ML (Dosage Form = VIAL),41.5
Other,11957,Midas Rex Tool 14MH30,566
Other,10299,Ligasure Impact (P)*,2395
Other,12461,SARGRAMOSTIM (LEUKINE/SARGRAMOSTIM) 250 MCG = 1 VIAL (Dosage Form = VIAL),561.35
Other,10071,Basket Helical Gemini (P) 92268747*,854
Other,6160,Saw Gigli Wire,163
Other,11471,Spacer Capstone Peek 14x22 92262419*,7816
Other,6027,PHENAZOPYRIDINE HCL (PYRIDIUM TAB) 200 MG = 1 TAB (Dosage Form = TAB),7.5
Other,10962,Guidewire Wall Stent Superstiff 92104538*,425
Other,4617,Dressing Aquacel 2X2,272
Other,9865,SELENIUM (SELENIUM) 40 MCG = 1 ML (Dosage Form = VIAL),8.4
Other,4104,Cath Suction 17-19FR,
Other,12409,Mobicath Guiding Sheath Introducer,3061
Other,11216,Lang Comp Current Status,1
Other,5327,CLOTRIMAZOLE/BETAMET DIPROP (LOTRISONE CR (GEN EQUIV) 15GM) 1 APP = 1 APP (Dosage Form = CREAM),73.5
Other,4633,ALBUTEROL SULFATE/IPRATROPIUM (DUONEB INH SOLN) 3 ML = 3 ML (Dosage Form = SOLN),6.5
Other,9801,Endograft MT Advantage Abd Bifuricated,17140
Other,3940,Bx Adrenal Gland Perq Ndle,9320
Other,11566,Cage Pyramesh 13x70 92245802*,12949
Other,10757,"Mesh Ventralight 10-12"" 92272161*",5343
Other,10604,LIDOCAINE HCL (XYLOCAINE 2% INJ  (50ML)) 1000 MG = 50 ML (Dosage Form = VIAL),9.75
Other,9712,ASPIRIN/DIPYRIDAMOLE (AGGRENOX CR CAPSULE) 1 CAP = 1 CAP (Dosage Form = CAP MP),21.65
Other,8059,Chest Tube Insertion Bilateral Placement,3196
Other,6534,TOBRAMYCIN FORT OPTH SOL (TOBRAMYCIN FORT 14MG/ML OPTSOL) 70 MG = 5 ML (Dosage Form = DROPS),91.9
Other,1858,Lyme Disease By PCR - R,360
Other,9640,Reload Echelon 60mm (P) 92191907*,1371
Other,12028,Intua IS-1 DR Dual DF4 Bi-V Pacemaker,8654
Other,61,Inj Tendon/Ligament/Cyst,303
Other,11909,Baha Healing Cap w/Plug 92275700*,88
Other,5627,NIACIN (NIASPAN ER TAB) 500 MG = 1 TAB (Dosage Form = ERTAB),10.1
Other,11198,Swallow goal status,1
Other,9024,BENDAMUSTINE HCL (TREANDA/BENDAMUSTINE) 100 MG = 20 ML (Dosage Form = VIAL),4082.4
Other,1238,Creatinine UR 24 Hr.,33
Other,9025,BENZYL ALCOHOL (ULESFIA 5% LOTION (8OZ.)) 1 APP = 1 APP (Dosage Form = LOTION),128
Other,5086,ISOSORBIDE DINITRATE (ISORDIL TAB (GEN EQUIV)) 20 MG = 1 TAB (Dosage Form = TAB),1
Other,2509,BS Cath Balloon Mav Quant,2888
Other,308,Dilation Urethral Stricture,393
Other,4369,Cutter Endopath Ez45B,1705
Other,2117,Tcd Microbubble Emboli,442
Other,4768,F8 Humate Per I.U.,0
Other,11868,Plate Skyline 1 Level,3295
Other,3435,PENTOSTATIN (NIPENT INJ) 10 MG = 5 ML (Dosage Form = VIAL),3848.55
Other,1283,Glucose/Accucheck,15
Other,12554,FLUCONAZOLE-DEXT 400MG/200ML (DIFLUCAN/FLUCON.) IV Dosage Form = PIGGYBACK,50.4
Other,4023,DILTIAZEM HCL (CARDIZEM SR 12-HR CAP) 90 MG = 1 CAP (Dosage Form = C SR 12),3.3
Other,2250,Refill & Maint Portable Pump,345
Other,2127,US Lower Extrem Complete Bil,1367
Other,5420,METHYLENE BLUE (METHYLENE BLUE 1% INJ) 100 MG = 10 ML (Dosage Form = VIAL),275.7
Other,9409,VANCOMYCIN HCL (VANCOCIN/VANCOMYCIN) 5 MG = 0.5 ML (Dosage Form = VIAL),64.4
Other,1440,Sodium,31
Other,3589,NITAZOXANIDE (ALINIA 100MG/5ML SUSP (60ML)) 100 MG = 5 ML (Dosage Form = SUSPENS),187.2
Other,4810,FLUOCINOLONE ACETONIDE (DERMA-SMOOTHE/FS OIL) 1 APP = 1 APP (Dosage Form = OIL),590.15
Other,3144,OCTREOTIDE ACETATE (SANDOSTATIN LAR KIT 1 EACH) 10 MG = 1 EACH (Dosage Form = KIT),3566.5
Other,564,MRI Humerus Wo Cont Right,3128
Other,8004,VALSARTAN (DIOVAN TAB) 160 MG = 1 TAB (Dosage Form = TAB),7.25
Other,10584,POTASSIUM CHLORIDE (POTASSIUM CL. ORAL SOLN.(30ML)) 40 MEQ = 30 ML (Dosage Form = LIQUID),2.1
Other,3154,ONDANSETRON HCL (ZOFRAN/ONDANSETRON) 2 MG = 1 ML (Dosage Form = VIAL),38.15
Other,4812,FLUORESCEIN SODIUM (FLUORETS 1 MG STRIP) 1 MG = 1 APP (Dosage Form = STRIP),1
Other,11300,NIMODIPINE (NYMALIZE DS (240ML)) 720 MG = 240 ML (Dosage Form = SOLN),1610.3
Other,11759,HEXTEND 6% LACT E-LYTE-500ML (HEXTEND 6% LACT E-LYTE-500ML) 500 ML = 500 ML (Dosage Form = PLAST. BAG),176.95
Other,3128,MORPHINE SULFATE (DURAMORPH-PF/MORPHINE SULFATE) 10 MG = 10 ML (Dosage Form = INJ),0
Other,4383,DULOXETINE (CYMBALTA CAP) 30 MG = 1 CAP (Dosage Form = CAP),11.15
Other,10183,Surgical Procedure 500 SURG,26971
Other,8892,Trichinella spiralis Ab - R,232
Other,9817,Endograft Cook Thor Distal Component,13583
Other,6810,VERAPAMIL HCL (CALAN SR TAB) 240 MG = 1 TAB (Dosage Form = SRTAB),4.85
Other,8103,ER L3 Visit w/o Procedure,447
Other,4491,DIBUCAINE (NUPERCAINAL 1% OINT 30GM (G)) 1 APP = 1 APP (Dosage Form = OINT),10.5
Other,12389,Room BEH Psy Private,1437
Other,12088,PALIPERIDONE PALMITATE (INVEGA SUSTENNA) 39 MG = 0.25 ML (Dosage Form = SYRINGE),731.05
Other,12149,Fibula Segment 70mm,
Other,4854,"GELATIN SPONGE,ABSORBABLE (GELFOAM STER SPONGE SIZE 100) 1 EACH = 1 EACH (Dosage Form = SPONGE)",111.6
Other,1198,Bicarbonate HCO3,32
Other,1590,"Striational Muscle Ab, IgG - R",175
Other,4159,CELECOXIB (CELEBREX CAPSULE) 100 MG = 1 CAP (Dosage Form = CAP),4.5
Other,458,Ribs Uni W Chest 3 ViewLT,279
Other,8772,Headset Large Pedicatric 91938977*,245
Other,6460,CARBAMAZEPINE CHEWABLE TAB (TEGRETOL CHEWABLE TAB) 100 MG = 1 TAB (Dosage Form = CHWTAB),1
Other,8854,Babesia Microti PCR - R,440
Other,637,Arthrogram AnkleLT,731
Other,2142,Ventilator 1St Day,1025
Other,686,MRI Knee W/O Cont. Left,3220
Other,10364,Skin Sub Graft > 100 SQCM each addl 25 SQCM,719
Other,11829,Vitalio DR Dual Pacemaker,5444
Other,8292,ES L4 Visit w/o Procedure,653
Other,9260,Quick Combo w/Redi PAK Electrode 42208*,180
Other,8330,Cath Laser Turbo Booster,1575
Other,8848,MORPHINE SULFATE (MORPHINE SULFATE INJ) 5 MG = 1 ML (Dosage Form = VIAL),2.45
Other,63,Inj Pain Block  1or 2 Muscles,332
Other,8956,AMYLASE/LIPASE/PROTEASE (CREON 6000 DELAY REL CAP) 1 CAP = 1 CAP (Dosage Form = ECCAP),2.85
Other,12154,LEVETIRACETAM IN NACL (ISO-OS) (KEPPRA/LEVETIRACEM 500MG/100ML) 500 MG = 100 ML (Dosage Form = PIGGYBACK),102.45
Other,12406,ARIPIPRAZOLE (ABILIFY MAINTENA) 300 MG = 1 SYRINGE (Dosage Form = SUSER SYR),2909.5
Other,11041,PREDNISOLONE (ORAPRED 15MG/5ML ORAL SYR-20ML) 60 MG = 20 ML (Dosage Form = SYRUP),32.2
Other,9545,Atherectomy Brachiocephalic Trunk and Brancehs includes S&I each Vessel,12005
Other,6890,RANITIDINE HCL (ZANTAC SYRUP   (120ML)) 150 MG = 10 ML (Dosage Form = SYRUP),156.15
Other,9369,Lymphedema Orthotic Fit/Train - OT,56
Other,1806,Cult Type IF Each Sera,37
Other,11511,Conc. for Infectious agents,45
Other,4496,DIDANOSINE (VIDEX EC CAP) 250 MG = 1 CAP (Dosage Form = CAP EC),24.05
Other,3996,Cath Malecot 30FR,95
Other,12020,TEFLARO/CEFTARO. 400MG/NS100MB (TEFLARO/CEFTARO. 400MG/NS100MB) 400 MG = 100 ML (Dosage Form = MINIBAG),349.75
Other,10641,Evicel Fibrin Sealant 92272030*,903
Other,4628,Dressing Xeroform,
Other,6531,TOBRAMYCIN SULFATE/DEXAMETH (TOBRADEX OPTH OINT (3.5GM)) 1 APP = 1 APP (Dosage Form = OINT),391.35
Other,454,Chest Pa Decub,277
Other,12094,CHLORHEXIDINE GLUCONATE (PERIDEX MOUTHWASH 15ML) 15 ML = 15 ML (Dosage Form = MOUTHWASH),3.35
Other,9252,Felbamate (Felbatol) - R,188
Other,4573,DOFETILIDE (TIKOSYN CAP) 500 MCG = 1 CAP (Dosage Form = CAP),7.35
Other,2048,Coronary Stent Placement,22637
Other,174,Catheter Venous Organ Blood Sampling,775
Other,1146,Albumin Serum,55
Other,3680,PANTHENOL/MIN OIL/PET HY-PHL (AQUAPHOR OINT 1.75 OZ) 52.5GM,14.05
Other,9751,DABIGATRAN ETEXILATE MESYLATE (PRADAXA) 75 MG = 1 CAP (Dosage Form = CAP),12.65
Other,4009,CARBAMAZEPINE (TEGRETOL TAB) 200 MG = 1 TAB (Dosage Form = TAB),4.3
Other,6458,CARBAMAZEPINE (TEGRETOL XR TAB) 100 MG = 1 TAB (Dosage Form = T SR 12),1
Other,3206,ROPIVACAINE HCL (NAROPIN 0.2% INJ) 40 MG = 20 ML (Dosage Form = VIAL),22
Other,11670,Connector Cable Assembly Depuy *,2197
Other,6505,THROMBIN (THROMBIN-JMI SPRAY KIT 1 EACH) 20000 UNITS = 1 EACH (Dosage Form = KIT),249.95
Other,1200,Co2 Arterial,32
Other,11478,TREPROSTINIL SODIUM (REMODULIN/TREPROSTINIL(10MG/ML) 10 MG = 1 ML (Dosage Form = VIAL),1392.75
Other,11380,Grip Trochanteric STD 195 92252766*,14210
Other,6545,TOPIRAMATE (TOPAMAX TAB) 25 MG = 1 TAB (Dosage Form = TAB),3.95
Other,2967,DIGOXIN (LANOXIN PEDIATRIC INJ) 0.1 MG = 1 ML (Dosage Form = INJ),224.3
