ITEM #,ITEM DESCRIPTION,ITEM PRICE
26070068,XYLOCAINE (LIDOCAINE VIAL 2%) INJ:50ML,12.08 
26070069,XYLOCAINE (LIDOCAINE 0.5%)INJ :50ML,19.85 
26070070,XYLO W/EPI(LIDOCAINE/EPINEPH)INJ:1% 10ML,12.08 
26070073,ZYLOPRIM (ALLOPURINOL)TAB:100MG,3.83 
26070077,ZAROXOLYN (METOLAZONE)  TAB:5MG,6.67 
26070079,BACITRACIN (BACITRACIN OPH*)OINT: 3.5GM,16.91 
26070080,Z-BEC (B/COMPLEX/C/E + ZN) TAB,3.83 
26070081,BACITRACIN (BACITRACIN) OINT:30GM,12.13 
26070082,ZYLOPRIM (ALLOPURINOL)TAB:300MG,6.35 
26070083,ZOVIRAX (ACYCLOVIR)CREAM: 15GM,299.99 
26070084,ZANTAC (RANITIDINE HCL )TAB:150MG,4.78 
26070085,VANCOCIN ADV (VANCOMYCIN ADDV*)INJ:500MG,37.75 
26070088,BACTRIM 200-40 (TRIMET/SULF)LIQ:5ML DOSE,4.41 
26070089,BACTRIM (TRIMETHOPRIM/SULFA)TAB:400/80MG,5.41 
26070091,BACTRIM DS (TRIMET/SULFA)TAB:800/160,7.35 
26070095,BENADRYL AMP (DEPHENHYD HCL):50MG/ML,12.08 
26070096,BECONASE (BECLOMETHASONE DIP) INH: 6.7GM,72.50 
26070097,BELLERGAL-S (ERGOTAMINE/PB/BELLA)TAB,3.83 
26070100,AMPICILLIN INJ:2GM,18.11 
26070104,BENADRYL (DIPHENH)CAP:25MG,3.83 
26070105,DILAUDID PCA (10MG/50ML):0.2MG/ML,53.24 
26070106,BENEMID (PROBENECID) TAB:500MG,6.98 
26070107,BENTYL (DICYCLOMINE HCL) TAB:10MG,3.83 
26070108,BENTYL (DICYCLOMINE) INJ:20MG/2ML VIAL,70.40 
26070109,BENADRYL (DIPHENH)ELIX:12.5/5,3.83 
26070110,BENADRYL (DIPHENHYDRAMINE HCL)CAP:50MG,3.83 
26070111,BENTYL (DICYCLOMINE HCL) TAB:20MG,3.83 
26070112,IVPB ADMIXTURE,14.65 
26070114,UNASYN 1.5GR / NS 50ML,32.03 
26070115,UNASYN 3GR/ NS 100ML,58.80 
26070119,BICILLIN L-A(PENIC G BENZATH)INJ:2400MU,414.75 
26070120,K-LOR (POTASSIUM CHLORIDE) POWDER:20MEQ,7.35 
26070122,BICIL L-A (PENICIL G BENZ*I) INJ:1.2MMU,133.97 
26070123,VANCOMYCIN 1 GM DOSE / NACL 250ML,51.50 
26070124,VANCOMYCIN 500MG/ NS 100ML,16.60 
26070125,VANCOMYCIN 1GM / D5% 250ML,46.83 
26070126,CIPRO 400MG / D5W 200ML,93.08 
26070127,CIPRO 400MG / NS 250ML,93.08 
26070128,BICIL C-R (PENIC GPROC &BEN) INJ:1.2MMU,67.88 
26070130,BRETHINE (TERBUTALINE SO4)TAB:2.5MG,4.15 
26070131,CIPRO 200MG / NS 100ML,9.99 
26070132,CIPRO 200MG / D5W 100ML,9.99 
26070133,AMIKACIN 500MG / D5W 100ML,19.99 
26070134,BRETHINE (TERBUTALINE)INJ:1MG/ML,71.66 
26070135,BICIL C-R (PENIC G PROC&BEN)INJ:900/300,76.34 
26070143,BUMEX (BUMETANIDE) TAB:1MG,4.15 
26070147,BUMEX (BUMETANIDE) INJ:0.5MG/2ML,12.08 
26070150,AMIKACIN 500MG / NS 100ML,19.99 
26070152,AMPICILLIN (AMPICILLIN) INJ: 250MG,12.08 
26070160,HEPATAMINE (AMINO ACID) 8% INJ:500ML,166.37 
26070161,BESIVANCE(BESIFLOXACIN)OPTH DROP:5ML,220.99 
26070162,K-LYTE (POTASSIUM BICARB) PWD:25MEQ,6.67 
26070168,K-PHOS (POTASSIUM PO4 MONOBAS) TABS,3.83 
26070169,protONix (PANTOPRAZOLE)TAB:40MG,14.02 
26070170,EXELON (RIVASTIGMINE)CAP:1.5MG,9.87 
26070173,K-TAB  (POTASSIUM CHLORIDE) TAB:10MEQ,4.15 
26070176,CLAFORAN ADV (CEFOTAXIME)INJ:1GM,40.69 
26070181,ANCEF 1GM/NS 50ML,41.98 
26070182,AVC VAG CRM(SULFANILAMIDE)15%:120GM,141.17 
26070184,AYR SPRAY (.65% SOD CL):50ML,9.71 
26070185,ANCEF 1GM/D5W 100ML,41.98 
26070187,ATROPINE SUL(ATROPINE SO4)INJ:.4MG/ML,12.08 
26070188,DALMANE (FLURAZEPAM HCL) CAP:15MG,3.83 
26070189,ANCEF 2GM/D5W 100ML,28.82 
26070190,MEFOXIN 1GM/NS 50ML,34.59 
26070191,AZULFIDINE (SULFASALAZINE) TAB:500MG,3.83 
26070193,AURALGAN G (ANTIPYRINE OTIC SOL):10ML,11.87 
26070194,MEFOXIN 1GM/D5W 50ML,34.99 
26070195,DALMANE (FLURAZEPAM HCL) CAP:30MG,3.83 
26070197,ATROPINE (ATROPINE SUL)INJ: 1MG/10ML SYR,42.47 
26070200,DECADRON TAB:4MG,5.41 
26070201,MEFOXIN 2GM/NS 100ML,68.99 
26070202,MEFOXIN 2GM/D5W 100ML,68.99 
26070203,ROCEPHIN 1GM/NACL  50ML IVPB,104.98 
26070204,DECADRON INJ:4MG/ML 30ML I/P,12.08 
26070205,AMPICILLIN (AMPICILLIN)INJ:1GM,18.85 
26070206,DECADRON OPTH DRP:.1% 5ML,56.12 
26070208,DECADRON-LA INJ:8MG/ML,18.38 
26070209,DECADRON ELIX:.5MG/5ML DOSE,4.46 
26070210,LEVAQUIN(LEVOFLOXACIN)INJ:500MG/100ML,100.85 
26070212,EES (ERYTHROMYCIN)OPTH OINT: 1GM NB,18.59 
26070213,BENZOIN COMPOUND TINCTURE:60ML,20.32 
26070310,ZITHROMAX (AZITHROMY)SUSP:100MG/5ML 15ML,91.61 
26070312,ZITHROMAX (AZITHROMY)SUSP:200MG/5ML 15ML,91.61 
26070313,SINGULAIR (MONTELUKAST)TAB: 4MG,11.71 
26070320,PULMICORT RESPULES: .25MG/2ML,15.70 
26070321,AMOXIL SUSP(AMOXICILLIN)125MG/5ML 100ML,20.95 
26070322,AMOXIL SUSP (AMOXICILLIN):250MG/5ML 80ML,28.82 
26070323,AMPICILLIN SUSP:125MG/5ML 100ML,10.19 
26070324,AMPICILLIN SUSP:250MG/5ML UD,3.83 
26070325,AMPICILLIN SUSP:250MG/5ML 100ML,15.28 
26070326,AMPICILLIN SUSP:250MG/5ML 100ML,15.28 
26070327,AUGMENTIN SUSP:250ME/5ML 75ML,125.42 
26070328,AUGMENTIN SUSP:125ME/5ML UD,7.35 
26070329,KEFLEX SUSP (CEPHALEXIN):250MG/5ML 100ML,53.50 
26070330,KEFLEX SUSP (CEPHALEXIN):125MG/5ML UD,4.04 
26070331,KEFLEX SUSP (CEPHALEXIN):125MG/5ML 100ML,36.17 
26070332,CECLOR (CEFACLOR):250MG/5ML 75ML,71.30 
26070333,CECLOR (CEFACLOR):250MG/5ML UD,8.93 
26070334,CLAFORAN ADV (CEFOTAXIME ADDV)INJ:2GM,67.99 
26070335,ATIVAN (LORAZEPAM) INJ:4MG/ML 1ML,36.54 
26070336,MEFOXIN ADV(CEFOXITIN):1GM,43.52 
26070340,HUMULIN 50/50(INSULIN-HUMUN):1ML,12.08 
26070343,ANCEF/KEFZOL (CEFAZOLIN NA)INJ:1GM,26.30 
26070345,VIRACEPT (NELFINAVIR ME) TAB:250MG,10.08 
26070346,LORABID SUSP(LORACARBEF):100MG/5ML 100ML,104.79 
26070347,OMNIPEN (AMPICILLIN) TAB:250MG,3.83 
26070348,VANTIN SUSP(CEFPODOXIME):100MG/5ML 50ML,136.24 
26070349,DECADRON TAB:0.5MG,3.83 
26070352,OMNICEF SUSP(CEFDINIR):125MG/5ML 60ML,99.33 
26070353,AMOXIL SUSP(AMOXICILLIN)125MG/5ML UD,3.83 
26070354,MVI 10ML (MULTIPLE VIT INJ):10ML,37.33 
26070355,OMNICEF SUSP(CEFDINIR):125MG/5ML UD,14.65 
26070356,ALDOMET (METHLDOPA) TAB:250MG,3.83 
26070359,K-DUR(POTASSIUM CHLORIDE)ER TAB:20MEQ,3.83 
26070362,DARVON (PROPOXYPHENE HCL)TAB:65MG,4.20 
26070363,CLEOCIN (CLINDAMYCIN) 600MG/D5% 50ML,70.67 
26070369,HUMALOG VL {SS},161.96 
26070371,HUMULIN-R VL (SS},76.70 
26070373,AMOXIL (AMOXICILLIN)CAP:500MG,4.78 
26070382,AMERICAINE (BENZOCAINE)AEROSOL: 60ML,18.53 
26070383,ASPIRIN (ASPIRIN)SUPP:300MG,3.83 
26070384,AMOXIL SUSP (AMOXICILLIN):250MG/5ML UD,3.83 
26070385,ATIVAN (LORAZEPAM) TAB:1MG,6.35 
26070387,ASPIRIN (ASPIRIN SUP):600MG,3.83 
26070390,ANAPROX (NAPROXEN NA) TAB:275MG,5.41 
26070393,ARISTOCORT (TRIAMCINOLONE LP)CR:.O25%,6.67 
26070395,ANUSOL-HC (BALSAM/BEN BENZ/B)SUPP,5.78 
26070396,ANTIVERT (MECLIZINE) TAB:25MG,3.83 
26070401,ANUSOL-HC (BALSAM/BEN BENZ/B) CRE,72.19 
26070403,ANASPAZ(HYOSCYAMINE SO4) TAB:.125MG,3.83 
26070405,ATARAX (HYDROXYZINE HCL) TAB:25MG,5.78 
26070410,LITHIUM CITRATE SYRUP:300MG/5ML,4.73 
26070411,AMOXIL (AMOXICILLIN) CAP:250MG,4.15 
26070414,ANUSOL (BALSAM/BEN BENZ/B) SUP,1.26 
26070415,ATIVAN (LORAZEPAM) TAB:2MG,7.35 
26070416,APRESOLINE  (HYDRAL)INJ:20MG/ML,71.61 
26070420,ANTIVERT (MECLIZINE) TAB:12.5MG,3.83 
26070423,KANTREX (KANAMYCIN SO4) INJ:1GM/3ML,30.87 
26070431,ATARAX (HYDROXYZINE HCL) TAB:10MG,4.41 
26070433,CENOLATE (ASCORB ACID) INJ:500MG/ML 2ML,12.08 
26070435,ANTILIRIUM (PHYSOST SALICYL)INJ:1MG/ML,49.56 
26070438,ATARAX (HYDROXY HCL)LIQ: 2MG/ML 5ML,3.83 
26070440,ATARAX (HYDROXYZINE HCL) TAB:50MG,3.83 
26070442,DARVOCET-N 100(PROPOX/N/APAP):100/650MG,4.67 
26070444,ANTIVENIN (ANTIVENIN BLK WIDOW A)INJ,78.70 
26070451,APRESOLINE (HYDRALAZINE HCL) TAB:10MG,3.83 
26070452,AQUA-MEPHYTON(PHYTONADION)INJ:1MG/0.5ML,12.08 
26070454,ARTANE (TRIHEXYPHENIDYL HCL) TAB:2MG,3.83 
26070456,ANUSOL G (ANUSOL)OINT:30GM,17.64 
26070459,NEBCIN ADV (TOBRAMYCIN ADDV):80MG,17.01 
26070460,AQUA-MEPHYTO (PHYTONAD)AMP:10MG/ML 1ML,19.95 
26070462,VITAMIN C (ASCORBIC ACID)TAB:500MG,3.83 
26070463,ASPIRIN (ASPIRIN) TAB:325MG,0.63 
26070465,APRESOLINE (HYDRALAZINE HCL)TAB:25MG,3.83 
26070467,ASPIRIN BABY (ASPIRIN CHEWABLE)TAB:81MG,0.63 
26070468,ATIVAN (LORAZEPAM) TAB:0.5MG TABLET,5.41 
26070469,ARTANE (TRIHEXYPHENIDYL HCL) TAB:5MG,4.15 
26070473,ARISTOCORT .1% (TRIAMCINOLONE ACE)CRE,42.05 
26070475,CROFAB:1GM VIAL(ANTIVENIN CROT) INJ,"6,800.00 "
26070478,AFRIN NASAL SPY(OXYMETAZOL):15ML,17.85 
26070487,ACTIFED (TRIPROLIDINE/PSEUDO)TAB:2.5-60,0.37 
26070489,EPINEPHRINE HCL INJ:1/1000 1ML,12.08 
26070492,EPINEPHRINE INJ 1/1000:30ML MDV,41.21 
26070493,TYLENOL SUPP:120MG,4.04 
26070494,TYLENOL SUPP:650MG,4.15 
26070495,A&D OINTMENT (VITAMINS A/D) OINT:60GM,8.03 
26070497,TYLENOL (ACETAMINOPHEN PED) SUPP:325MG,1.47 
26070501,ALTERNAGEL (ALUM HYDR 600MG/5ML)LIQ:10ML,3.83 
26070511,TAGAMET (CIMETIDINE HCL) INJ:300MG,7.35 
26070513,ALDACTONE (SPIRONOLACTONE B) TAB:25MG,6.77 
26070515,ALUPENT (METAPROTERENOL SU)INHALER:10ML,73.66 
26070517,ALDOMET (METHYLDOPATE HCL)INJ:250MG/5ML,47.78 
26070520,VIGAMOX (MOXIFLOXACIN HCL)OPTH: .5%,84.07 
26070522,UNIPEN (NAFCILLIN SOD) INJ:1GM,12.08 
26070524,AMICAR (AMINOCAPROIC ACID) TAB: 500MG,9.14 
26070525,VIBRAMYCIN(DOXYCYCLINE)INJ:100MG,56.33 
26070541,AMINOPHYLLIN (AMINOPHYLLINE)INJ:500MG,12.08 
26070543,ELAVIL (AMITRIPTYLINE HCL)TAB:25MG,4.41 
26070544,ELAVIL (AMITRIPTYLINE HCL)TAB:10MG,3.83 
26070545,ELAVIL (AMITRIPTYLINE HCL)TAB:50MG,3.83 
26070553,AMMONIA (AMMONIA INHALANT)INH,4.46 
26070563,GENTAMICIN INJ:20MG/2ML VIAL,12.08 
26070565,KCL 10% ELX (POTAS CHL)LIQ:40MEQ/30ML,3.83 
26070566,KCL INJ (POTASSIUM CHL):2MEQ/ML 10ML,12.08 
26070567,KCL INJ (POTASSIUM CHL):2MEQ/ML 20ML,12.08 
26070568,KEFLEX (CEPHALEXIN) CAP:250MG,5.51 
26070569,KEFLEX (CEPHALEXIN) CAP:500MG,7.35 
26070571,KEFLEX SUSP (CEPHALEXIN):250MG/5ML UD,5.72 
26070573,KENALOG (TCN)CR:.1% 80GM,22.52 
26070574,KENALOG (TCN)CR 0.5%:15GM,18.74 
26070576,KENALOG DEN (ORABASE) .1% :5GM,31.19 
26070582,KWELL (LINDANE) 1% LOTION : 60ML,195.16 
26070584,LACRI-LUBE (MINERAL OIL/LANOLIN) : 3.5GM,17.17 
26070585,LACTINEX (ACIDOPH/BULGARICU) PWD : 1GM,5.72 
26070586,LANOXIN (DIGOXIN) INJ:.25MG/ML-2ML,12.08 
26070587,LANOXIN (DIGOXIN) TAB:.125MG,3.83 
26070588,LANOXIN (DIGOXIN) TAB:.25MG,3.83 
26070593,LASIX  AMP(FUROSEMIDE):20MG 2ML,13.23 
26070594,LASIX (FUROSEMIDE) INJ:100MG AMP,12.08 
26070595,LASIX (FUROSEMIDE) TAB:20MG,3.83 
26070596,LASIX (FUROSEMIDE) TAB:40MG,3.83 
26070599,LEVOPHED AMP (NOREP BITAR)INJ:1MG/ML 4ML,51.56 
26070600,LIBRAX (CLINDIN/CHLORDIAZE)CAP:2.5MG/5MG,3.83 
26070601,ABILIFY(ARIPIP)TAB: 10MG,34.91 
26070602,GEODON (ZIPRASIDONE HCL)CAP: 20MG,16.54 
26070603,NIASPAN (NIACIN)TAB: 500MG,5.51 
26070605,EXELON (RIVASTIGMINE)CAP:3MG,9.87 
26070606,FORTOVASE (SAQUINAVIR)CAP: 200MG,6.35 
26070607,LIBRIUM (CDP)CAP:25MG,3.83 
26070608,LIDEX (FLUOCINONIDE) CREAM:.05% 30GM,80.27 
26070609,AUGMENTIN XR(AMOX/CLAV)TAB:1000/62.5,11.03 
26070610,LIDOCAINE HC SYRINGE (LIDOCAINE):100MG,69.35 
26070612,LANTISEPTIC OINT:70 GRAM JAR,14.33 
26070613,ZYPREXA ZYDIS (OLANZAPINE)TAB: 5MG,29.03 
26070614,REMERON SOLTAB (MIRTAZAPINE) TAB: 15MG,9.98 
26070615,PREDNISONE (PREDNISONE) TAB: 1MG,3.52 
26070616,ZINC(CHELATED ZINC)TAB:50MG,3.68 
26070617,LINCOCIN (LINCOMYICIN): 600MG/DOSE,40.01 
26070618,LIORESAL (BACLOFEN) TAB:10MG,4.46 
26070619,LOMOTIL (ATRO/DIPHENOXYLAT) TAB,5.72 
26070620,LOMOTIL (ATRO/DIPHENOX 2.5/.025) 5ML,4.46 
26070621,LONITEN (MINOXIDIL) TAB:2.5MG,5.09 
26070622,LONITEN (MINOXIDIL) TAB:10MG,7.35 
26070624,LOPRESSOR (METOPROLOL)INJ:1MG/ML-5ML,32.55 
26070625,LOPRESSOR (METOPROLOL)TAB:50MG,5.09 
26070629,LOTRIMIN (CLOTRIMAZOLE 15GM)CREAM:1%,35.02 
26070630,MAG-GEL (MAGNESIUM OXIDE)CAP: 600MG,3.31 
26070631,ARIXTRA (FONDAPARINUX NA)INJ: 2.5MG,95.92 
26070632,LOZOL (INDAPAMIDE) TAB:2.5MG,7.56 
26070635,LUGOLS (LUGOLS 15ML)SOLUTION:15CC,37.22 
26070637,QUESTRAN (CHOLESTYRAMINE) POWDER:4GM PK,7.40 
26070641,QUINAGLUTE (QUINIDINE GLUC CR)TAB:324MG,6.62 
26070642,QUINAMM (QUININE) TAB:260MG,3.83 
26070643,QUINIDEX (QUINIDINE EXTENTAB) TAB:300MG,6.35 
26070644,QUINIDINE (QUINIDIN SO4) TAB:200MG,3.83 
26070650,REGITINE (PHENTOL MESYLATE)INJ:5MG/ML,93.14 
26070651,REGLAN (METOCLOPRAMIDE)INJ:10MG,12.08 
26070653,REGLAN (METOCLOPRAMIDE)LIQ: 1MG/ML 10ML,4.15 
26070654,REGLAN (METOCLOPRAMIDE HCL) TAB:10MG,3.83 
26070657,RESTORIL (TEMAZEPAM) CAPSULE:15MG,5.25 
26070659,RIFADIN (RIFAMPIN) CAPSULE:300MG,9.40 
26070662,RITALIN (METHYLPHENIDATE HCL) TAB:5MG,4.15 
26070665,ROBAXIN (METHOCARBAMOL) TAB:500MG,3.83 
26070666,ROBAXIN (METHOCARBAMOL) TAB:750MG,3.83 
26070667,ROBAXIN (METHOCARBAMOL)INJ:100MG/ML 10ML,60.22 
26070670,ROBINUL INJ(GLYCOPYRROLATE)0.2MG/ML: 1ML,10.50 
26070672,ROBITUSSIN (GUAIFEN 100MG/5ML): 10ML,3.83 
26070674,ROBITUSSIN AC (GUIAFEN/COD)SYR:5 ML,3.83 
26070675,ROBITUSS DM (GUAIFEN/DM) SYRUP:10ML,4.62 
26070676,CARDEC (CARBINIX/PSEUD E)SYR:60-4MG/5ML,3.83 
26070677,RONDEC-DM (PSEUDO/CABINOX/D)SYR:5ML,3.83 
26070686,SENOKOT (SENNA) TABLET,3.83 
26070687,SENOKOT-S (SENNA/DSS) TABLET,4.15 
26070688,SEPTRA (SUFAMETH/TRIMETH) TAB:400/80MG,6.35 
26070691,SERAX (OXAZEPAM) CAPSULE:10MG,5.72 
26070692,SERAX (OXAZEPAM) CAPSULE:15MG,6.67 
26070694,SILVADENE1%(SILVA SULF CR):50GM,31.87 
26070695,SILVADENE (SILVER SULFADIA)CR:1% 400GM,77.33 
26070696,SINEMET (CARBIDOPA/LEVODOP) TAB:10/100,5.09 
26070697,SINEMET (CARBIDOPA/LEVODOPA) TAB:25/100,6.04 
26070698,SINEMET (CARBIDOPA/LEVODOP) TAB:25/250,6.35 
26070699,SINEQUAN (DOXEPIN HCL) CAPSULE:10MG,3.83 
26070700,SINEQUAN (DOXEPIN HCL) CAP:25MG,4.04 
26070701,SINEQUAN (DOXEPIN HCL) CAP:50MG,4.15 
26070704,SLOW-K 8MEQ (POTASSIUM CL 600MG)CAP,3.83 
26070705,SODIUM BICAR (SODIUM BICARB) TAB:650MG,3.83 
26070706,SODIUM BICAR (SOD BICARB 4.2%)SYRIN:5MG,47.72 
26070707,SODIUM BICAR (SOD BICAR 8.4%PED)SYR:10MG,35.23 
26070708,SOD BICAR (SOD BICARB 8.4% ADUL)SYR:,43.94 
26070709,SOD SULAMYD (SOD SULF OPTH)OINT: 3.5GM,30.98 
26070710,SOD SULAMYD (SODIUM SULF OPTH)DROPS:10%,28.14 
26070712,SOLU-CORTEF (HYDROCORT NASUCC)INJ:100MG,12.08 
26070717,SOMA (CARISOPRODOL) TAB:350MG,5.30 
26070727,STADOL (BUTORPHANOL)INJ: 2MG/ML 1ML,35.60 
26070735,PRENAVITE (PRENATAL VIT/MINERALS) TAB,3.83 
26070736,SUBLIMAZE (FENTANYL CIT 2ML)INJ:.05MG/ML,12.08 
26070737,SUDAFED (PSEUDOEPHEDRINE HCL) TAB:30MG,3.83 
26070743,SURFAK (DOCUSATE CALCIUM) CAP:240MG,3.83 
26070747,SYNALAR (FLUOCINOLONE ACETONID)CR:.025%,18.74 
26070752,SYNTHROID TAB:50MCG,3.83 
26070754,SUBLIMAZE (FENTANYL CIT)INJ:.05MG/ML 5ML,17.85 
26070756,EES (ERYTHRO ETHYL)SUSP:200MG/5ML 100ML,32.16 
26070759,ECOTRIN (ASPIRIN EC 5GR) TAB:325MG,0.63 
26070768,ELDERTONIC (MULTI-VIT)LIQ:30ML DOSE,4.78 
26070780,ENTEX-LA (PP/GG) TAB:75-400MG,3.83 
26070781,EPHEDRINESU (EPHEDRINE SO4) INJ: 50MG/ML,12.08 
26070782,EPIFOAM (HC/ACET/PRAM) AER:10GM,74.39 
26070783,EPINEPHRINE SYRINGE:1MG/ML  10ML SYRINGE,29.93 
26070784,EPINEPH (EPINEPH HCL 3.5 )INJ:1MG/ML10ML,40.74 
26070791,ERYC (ERYTHROMYCIN) CAP:250MG,3.83 
26070793,ERYTHROMYCIN (ERYTHROMYCIN) TAB:250MG,3.83 
26070794,ERYTHROMYCIN (ERYTHROMYCIN) TAB:500MG,4.46 
26070795,ERYTHROCIN (ERYTHROMYCIN ADV)INJ:500MG,31.82 
26070799,ESTRATEST (ESTROGENS ESTER/M-TES) TAB,7.35 
26070800,EPOGEN(EPOITIN ALFA)INJ(1000UN) 40000 UN,54.15 
26070801,ZELNORM (TEGASEROD)TAB: 6MG,9.87 
26070802,TAMIFLU(OSELTAMIVIR)SUSP:12MG/ML 2.5ML,12.83 
26070803,MYCOBUTIN(RIFABUTIN) CAP:150MG,25.36 
26070805,PROCAINAMIDE(PROCAINAMIDE)TAB:250MG,3.83 
26070806,ZOSYN (PIPERACILLIN/TAZO) IVPB : 2.25GM,35.75 
26070807,ALOCRIL (NEDOCROMIL NA)OPTH: 2%,105.84 
26070808,FELDENE (PIROXICAM) CAP:20MG,11.18 
26070809,FEOSOL (FERROUS SO4) ELIX:5ML DOSE,3.83 
26070810,LUPRON (LEUPROLIDE ACET)INJ: 11.25MG,"2,759.03 "
26070811,SURMONTIL (TRIMIPRAMINE MAL)CAP:50MG,6.62 
26070812,FER-IN-SOL (FERR SO4 50ML)DRPS:75MG/.6ML,19.27 
26070813,ZYVOX  (LINEZOLID)INJ:600MG,200.00 
26070815,FERROUS SULF (FERROUS SO4) TAB:325MG,3.83 
26070816,PROVIGIL (MODAFINIL) TAB: 100MG,23.05 
26070818,BUTISOL (BUTABARBITAL)TA: 50MG,6.62 
26070819,BENICAR (OLMESARTAN)TAB: 40MG,6.35 
26070821,ZETIA (EZETIMIBE)TAB: 10MG,9.29 
26070822,DILANTIN AMP(PHENYTOIN):100MG/2ML,16.28 
26070823,DILANTIN (PHENYTOIN CHEWABLE)TAB:50MG,3.83 
26070824,DILANTIN (PHENYTOIN EXT) CAP:100MG,3.83 
26070825,DILANTIN (PHENYTOIN) SUSP:125MG/5ML 5ML,5.09 
26070828,DILAUDID (HYDROMORPHONE) TAB:2MG,5.41 
26070830,LOVENOX (ENOXAPARIN)INJ: 40MG,60.06 
26070831,CODEINE TAB: 15MG,3.57 
26070833,MELATONIN TAB: 200MCG,3.31 
26070835,"FOLTX(FA,B12,B6) TAB",4.94 
26070837,TOPROL XL (METOPROLOL) TAB:25MG,6.35 
26070840,TETANUS/DIPH (TET-DIPTHERIA)INJ:.5ML,44.68 
26070842,DISALCID (SALSALATE) TAB:500MG,3.83 
26070844,DITROPAN (OXYBUTYNIN CHLORIDE)TAB:5MG,4.41 
26070849,DIURIL (CHLOROTHIAZIDE) TAB:250MG,3.83 
26070850,OXANDRINE (OXANDROLONE)TAB:2.5MG,17.54 
26070851,DOBUTREX (DOBUTAMINE)INJ:12.5MG/ML 20ML,18.74 
26070852,COLACE (DOCUSATE NA) CAP:100MG,3.83 
26070853,TARKA(TRANDOL/VERAP)TAB:4\240,8.82 
26070860,DIASTAT(DIAZEPAM)RECTAL GEL:2.5MG,178.50 
26070861,DONNATAL (PB/ATRO/BELLA DOSE) 5ML,3.83 
26070862,DONNATAL (PHENOBARB/BELLADONNA) TAB,3.83 
26070863,ACCUNEB(ALBUTEROL)AMP:0.63MG-RESPIRATORY,6.62 
26070864,DOPAMINE (DOPAMINE HCL) INJ:400MG VIAL,55.07 
26070866,DOXIDAN (DOC NA/CASANTHROL) CAP,6.93 
26070867,DOXYCYCLINE (DOXYCYC HYCLATE)CAP:100MG,3.83 
26070868,CARRINGTON MOISTURE BARRIER:  TUBE,19.79 
26070872,ELIDEL (PIMECROLIMUS)CREAM: 1% 15GM,60.32 
26070874,DURICEF (CEFADROXIL) CAP:500MG,13.65 
26070875,ANALPRAM-HC(HCT/PRAM)CR:1% 1OZ PK,86.57 
26070876,RECOMBIVAX HB INJ: 5MCG,63.47 
26070877,DYNAPEN (DICLOXACILLIN NA) CAP:250MG,4.46 
26070880,TYLENOL SUSPENS 160MG/5ML:BOTTLE,15.38 
26070881,OXYTROL (OXYBUTYNIN)PATCH:3.9MG,33.86 
26070882,CRESTOR (ROSUVASTATIN)TAB: 10MG,10.13 
26070883,CIPRO XR TAB:500MG,33.44 
26070884,GARAMYCIN (GENTAMYCIN)CREAM: 0.1% 30GM,21.84 
26070885,GARAMYCIN OPTH(GENTAMICIN .3%)OINT:3.5GM,65.05 
26070886,GARAMYCIN OP (GENTAM SULF)SOL: .3% 5ML,36.80 
26070887,ROCEPHIN (CEFTRIAXONE)INJ: 500MG VIAL,65.89 
26070888,VENOFER INJ 100MG (IRON SUCROSE 1MG),2.26 
26070889,ANBESOL MAX STR (BENZOCAINE 20%:9ML,23.15 
26070892,LODRANE 12 D(BROM/PSE)TAB:6MG/45MG,5.51 
26070893,GEVRABON (GEVRABON 480ML) LIQ:15ML,3.83 
26070894,GLUCAGON (GLUCAGON) INJ:1MG,142.07 
26070895,PAXIL(PAROXETINE)SUSP:2MG/ML,5.23 
26070896,GLYCERIN (GLYCERIN 480ML) LIQUID:30ML,3.83 
26070897,GLYCERIN (GLYCERIN PED SUPP),3.83 
26070898,GRANULEX  SPRAY (TRYPS/CAST OI/BA): 60GM,57.38 
26070899,SPECTRACEF (CEFDITOREN PIV)TAB:200MG,6.95 
26070900,GLUCOTROL (GLIPIZIDE) TAB:5MG,4.62 
26070901,FROVA (FROVATRIPTAN)TAB: 2.5MG,51.50 
26070902,RISPERDAL CONSTA(RISPERIDONE)INJ: 25MG,419.74 
26070903,WELLBUTRIN XL(BUPROPRION HCL)TAB:150MG,11.25 
26070904,BIDEX (GUAIFENISIN)TAB: 400MG,3.15 
26070905,REQUIP (ROPINIROLE HCL) TAB: .5MG,6.04 
26070906,MOTRIN (IBUPROFEN) SUSP: BOTTLE 100/5ML,25.01 
26070907,GYNE/LOTRIM (CLOTRIMAZOLE TOP)CR:45GM,45.83 
26070908,HALCION (TRIAZOLAM) TAB:.25MG,5.41 
26070910,HALDOL (HALOPERIDOL LACTATE) INJ:5MG,38.22 
26070911,HALDOL CONC (HALOPERIDOL LACT)LIQ:2MG/ML,12.08 
26070912,AVODART(DUTASTERIDE)CAP:0.5MG,10.49 
26070913,HALDOL (HALOPERIDOL) TAB:1MG,13.18 
26070914,"ABBOKINASE(UROKINASE)INJ:50,000U/ML",850.15 
26070915,HALDOL (HALOPERIDOL) TAB:5MG,6.35 
26070917,HEP FLUSH PF (HEPARIN FLUSH 1ML)10U,12.08 
26070918,HEPARIN SOD (HEPARIN) INJ:1000U/ML,12.08 
26070919,HEPARIN (HEPARIN) INJ:5000U/ML,12.08 
