PROCEDURE,DESCRIPTION,DEPARTMENT,CHG CAT,STD AMOUNT,CPT,HCPC
11691577,DRAIN PENROSE,28314537331,270, $36.00 ,,
11691604,SAW BLADES,28314537331,270, $233.00 ,,
11691606,SODIUM CHORIDE 3000C,28314537331,270, $72.00 ,,
11691610,GENERAL SUTURE,28314537331,270, $216.00 ,,
11691613,ARTHROSCOPY KNEEPACK,28314537331,270, $213.00 ,,
11691615,BASIC PACK,28314537331,270, $166.00 ,,
11691617,BOVIE PAD,28314537331,270, $64.00 ,,
11691619,MAJOR  PACK,28314537331,270, $293.00 ,,
11691621,CAUTERY NEEDLE / TEF,28314537331,270, $8.00 ,,
11691633,BITE BLOCK,28314537331,270, $11.00 ,,
11691635,CONTAMINATED CASE,28314537331,270, $265.00 ,,
11691649,ORAL AIRWAY,28314537331,270, $26.00 ,,
11691655,LMA,28314537331,270, $399.00 ,,
11691657,TUBING,28314537331,270, $45.00 ,,
11691669,ASH CATHETER,28314537331,270, $894.00 ,,
11691670,SEQUENTL STOCKG MACH,28314537331,270, $200.00 ,,
11691671,BETADINE GEL,28314537331,270, $13.00 ,,
11691672,BETADINE SWAB,28314537331,270, $8.00 ,,
11691674,IOBAN DRAPE,28314537331,270, $41.00 ,,
11691686,LINEAR CUTR 75 TLC75,28314537331,270, $505.00 ,,
11691696,FOAM HEADREST,28314537331,270, $9.00 ,,
11691698,SEQUENTL STOCKING,28314537331,270, $120.00 ,,
11691714,BIOPSY FORCEPS,28314537331,270, $44.00 ,,
11691715,CLEANING BRUSH GI,28314537331,270, $11.00 ,,
11691716,BAIR HUGGER BLANKET,28314537331,270, $77.00 ,,
11698360,3.2MM PEDIGUARD REF# P1-AU412,28314537116,278, $-   ,,
33100123,CATH ANGIOPLASTY 24G 3/4IN,28314537331,270, $46.50 ,,
33100150,CATH ADP DRAINAGE 24-507,28314537331,270, $15.50 ,,
33100250,SPLINT ELBOW THERAPLUS,28314537331,270, $344.50 ,,
33100297,KNEE SEPARATOR,28314537331,270, $69.50 ,,
33100325,NEEDLE SPINAL DISP  20,28314537331,270, $8.00 ,,
33100326,NEEDLE SPINAL DISP  22,28314537331,270, $8.00 ,,
33100334,CATH COUDE 30CC,28314537331,270, $28.50 ,,
33100342,GOLD PROBE,28314537331,270, $689.00 ,,
33100386,SOLN NACL .9% 500ML IRRIG.,28314537331,258, $10.00 ,,
33100487,SUT SILK 0 LABYRINTH A186H,28314537331,272, $8.00 ,,
33100642,SUTURE 2-0,28314537331,270, $8.00 ,,
33100644,SUTURE 3-0,28314537331,270, $26.00 ,,
33100653,INTRODUCER PERCUTANEOUS TRACH,28314537331,270, $89.50 ,,
33100731,SUT VICRYL 2-0 CT-2,28314537331,272, $8.00 ,,
33100742,TRAY TRACHEOTOMY,28314537331,270," $1,302.50 ",,
33100745,AFO,28314537331,274, $132.00 ,,
33100765,BOOT 3D ROM SH WALKER MD,28314537331,270, $186.00 ,,
33100767,BOOT 3D ROM SH WALKER LG,28314537331,270, $407.00 ,,
33100817,"POUCID UROSTOMY 1-3/4""",28314537331,270, $8.00 ,,
33100819,TUBE JEJUNAL,28314537331,270, $242.00 ,,
33100821,AIRWAY NASOPHARYNGEAL,28314537331,272, $8.00 ,,
33100861,LEG LIFTER,28314537331,270, $29.50 ,,
33100862,SLING HEMI,28314537331,270, $150.00 ,,
33100872,GAUZE XEROFORM CURAD 4X4,28314537331,270, $8.00 ,,
33100873,GAUZE XEROFORM CURAD 2X2,28314537331,270, $8.00 ,,
33100874,GAUZE XEROFORM CURAD 1X8,28314537331,270, $8.00 ,,
33100875,GAUZE XEROFORM CURAD 5X9,28314537331,270, $8.00 ,,
33100881,DRSG ALGINATE 4/4 COMFEEL SEAS,28314537331,270, $8.00 ,,
33100886,SUTURE 3-0 MONOCRYL UNDYE 27IN,28314537331,270, $17.50 ,,
33100888,DRSG MEPILEX HEEL 5X8,28314537331,272, $23.00 ,,
33100889,TUBE FEED JEJUN 9FR&DECOM 16FR,28314537331,270, $242.00 ,,
33100890,ORTHOSIS ELBOW COMFY ADULT SML,28314537331,270, $424.00 ,,
33100898,POUCH DRAIN CTF W/FILT 3X2.5IN,28314537331,270, $8.00 ,,
33100899,CERVICAL COLLAR REPL PAD,28314537331,270, $123.00 ,,
33100903,COLLAR CERVICAL TOT ADULT,28314537331,270, $132.00 ,,
33100913,LIFTER LEG RIGID 41IN,28314537331,270, $8.00 ,,
33100917,NEEDLE HUBER W/Y-INJ 20GX1IN,28314537331,270, $26.00 ,,
33100937,KIT CATH DIALYSIS/APHER 13.5FR,28314537331,270," $1,416.00 ",,
33100941,CUTTER LINEAR VASCULAR 55MM,28314537331,270, $319.50 ,,
33100943,CAT FOLEY 2WAY 10FR-3CC SILIC,28314537331,270, $10.00 ,,
33100946,SPLINT HAND DYNAPRO FLEX LEFT,28314537331,270, $261.00 ,,
33100948,SPLINT HAND DYNAPRO FLEX RIGHT,28314537331,270, $261.00 ,,
33100949,BOOT CONTRACTURE 8-9IN LGTH,28314537331,270, $257.50 ,,
33100951,NEEDLE HUBER W/Y-INJ 19GX.75IN,28314537331,270, $26.00 ,,
33100954,POUCH DRNBLE 2PC W/FILT 2.25IN,28314537331,270, $8.00 ,,
33100956,DRSNG ULCER PLUS ST1.5X2.5 STD,28314537331,270, $8.00 ,,
33100960,DRSNG TRANSPARENT THUMB 4X4.75,28314537331,270, $8.00 ,,
33100963,DEVICE URIN MALE W/MASTI&CATHG,28314537331,270, $81.00 ,,
33100965,SUTURE VICRYL UND BRD3-0 54IN,28314537331,270, $8.00 ,,
33100966,SUTUR PDS II SH-1 MONO3-0 27IN,28314537331,270, $9.50 ,,
33100967,BARRIER SKIN LK CTF FLAT2.25IN,28314537331,270, $8.00 ,,
33100968,POUCH DRNBL W/FILTER 2.25IN,28314537331,270, $8.00 ,,
33100969,COLLAR CERVIC ADJ WIR FRAM SML,28314537331,270, $216.50 ,,
33100970,REPLACMNT F/CERVIC COLLAR SML,28314537331,270, $68.50 ,,
33100972,SUPPORT BACK M-SPINE LSO LARGE,28314537331,270," $1,009.50 ",,
33100973,AIRWAY BERMAN GREEN 80MM SIZ 3,28314537331,270, $8.00 ,,
33100975,AIRWAY BERMAN YELLO 90MM SIZ 4,28314537331,270, $8.00 ,,
33100985,BOOT WAFFLE FOOT TAN MEDIUM,28314537331,270, $119.50 ,,
33100988,SPLINT FINGER PLASTAL A-2 58MM,28314537331,270, $8.00 ,,
33101006,DRSNG TEGADERM IV 3.5X4.5 STD,28314537331,270, $8.00 ,,
33101008,DRSNG TEGADERM IV 2.75X3.25STD,28314537331,270, $8.00 ,,
33101009,DRSNG TEGADERM 3.5X4.5 STD,28314537331,270, $8.00 ,,
33101014,KIT CVC TRIPLE-LUMEN+ 7FRX16CM,28314537331,270, $203.50 ,,
33101016,POUCH SENSUR MIO 1-PIECE DRNBL,28314537331,270, $8.00 ,,
33101017,POUCH SENSUR CLK 2-PIECE DRNBL,28314537331,270, $8.00 ,,
33101021,BELT BRAVA 43.33IN,28314537331,270, $8.00 ,,
33101039,ANKLE FOOT ORTHOSIS,28314537331,270, $89.50 ,,
33101053,BIPAP HEADSTRAP MED,28314537331,270, $12.50 ,,
33101083,CATH INTROCAN SAFETY FEP 18G,28314537331,270, $8.00 ,,
33101084,SYS COMP ROSIDAL SHORT STRETCH,28314537331,270, $193.50 ,,
33101087,LIFT HEEL D CAMBION .125IN SML,28314537331,270, $15.00 ,,
33101089,LIFT HEEL D CAMBION .125IN LG,28314537331,270, $19.00 ,,
33101091,LIFT HEEL D CAMBION .25IN SML,28314537331,270, $19.00 ,,
33101095,LIFT HEEL D CAMBION .25IN LG,28314537331,270, $19.00 ,,
33101097,HUMIDIFIER BUBBLE DRY HI 350CC,28314537331,270, $10.00 ,,
33101098,SUT GUT CHROMIC 0CT NDL 36IN,28314537331,270, $11.50 ,,
33101101,POUCH UROSTOMY W/CONVEX,28314537331,270, $10.00 ,,
33101108,CAST BOOT LG,28314537331,270, $79.00 ,,
33101109,CAST BOOT MD,28314537331,274, $13.00 ,,
33101110,POUCH KARAYA SEAL 1.5IN,28314537331,270, $8.00 ,,
33101118,CATH ALL PURPOSE 14FR,28314537331,270, $8.00 ,,
33101119,CATH MALECOT 32FR,28314537331,270, $83.50 ,,
33101126,BIVONA HYPERFLEX ADJUST TRACH,28314537331,270, $342.00 ,,
33101128,"TRAY, MAHUKKAR CATH",28314537331,270, $320.00 ,,
33101130,CATH FOGARTY EMBOLECTOMY 4F-80,28314537331,272, $102.00 ,,
33101133,FILLER WOUND POLYWIC SILV 3X3,28314537331,270, $23.00 ,,
33101136,CATH FOLEY 2WAY 14FR 5CC,28314537331,270, $23.00 ,,
33101138,CATH FOLEY 2WAY 18FR 5CC,28314537331,270, $23.00 ,,
33101139,CATH FOLEY 2WAY 20FR 5CC,28314537331,270, $23.50 ,,
33101140,CATH FOLEY 2WAY 22FR 5CC,28314537331,270, $23.00 ,,
33101154,KIT ROSIDAL LYMPHSET DBL LEG,28314537331,270, $614.50 ,,
33101158,CATH ALL PURPOSE 10FR,28314537331,270, $8.00 ,,
33101162,TUBE TRACH SHILEY PED 4.5X6.50,28314537331,270, $116.00 ,,
33101167,KIT CATH PLEURX PLEURAL W/4BTL,28314537331,270," $2,544.00 ",,
33101169,NEEDLE GRIPPER NON Y 20GX.75IN,28314537331,270, $22.50 ,,
33101174,SUT CTD VIC PLUS UR-6 SZ0 VI,28314537331,270, $8.00 ,,
33101175,POWDER TOPICAL BIOSEAL CVC,28314537331,270, $105.00 ,,
33101180,SPLINT THUMB CMC CROSS-X LT LG,28314537331,270, $82.50 ,,
33101181,SPLINT THUMB CMC CROSS-X RT LG,28314537331,270, $82.50 ,,
33101188,CATH FOLEY 3WAY 24FR 5CC,28314537331,270, $23.00 ,,
33101195,BARR SKIN CERAPLUS 2.75IN FLNG,28314537331,270, $8.00 ,,
33101197,BARR SKIN DURAHES 2.25IN ACCRD,28314537331,270, $8.00 ,,
33101198,"POUCH UROS NATURA TRANS 2.25""",28314537331,270, $8.00 ,,
33101199,BOOT ANK CONTRACT FOAM SOLE SM,28314537331,270, $144.00 ,,
33101206,CATH ALL PURPOSE 16FR,28314537331,270, $21.00 ,,
33101208,ORTHOSIS FT ANK RT SIZE 3-6,28314537331,270, $89.50 ,,
33101209,TRAY CVC TRIPLE LUMEN CS15703,28314537331,272, $88.50 ,,
33101212,ORTHOSIS FT ANK RT SIZE 7-9,28314537331,270, $89.50 ,,
33101218,TRAY CVC DUAL LUMEN,28314537331,270, $222.00 ,,
33101238,CLIP RANEY 658505,28314537331,272, $8.00 ,,
33101239,ADAPTOR SUR-FIT NATURA LOW PRS,28314537331,270, $8.00 ,,
33101240,BARRIER SKIN FLEX WEAR PRE-SIZ,28314537331,270, $8.00 ,,
33101241,BRACE WRIST MINI RT MED,28314537331,270, $31.50 ,,
33101242,CATH EXT MAKE LF SLF-ADH MED,28314537331,270, $8.00 ,,
33101243,CATHETER EXT MALE SM 25MM,28314537331,270, $8.00 ,,
33101246,DRESSING MESALT 2X2 UNFOLD 4X4,28314537331,270, $8.00 ,,
33101247,GUIDEWIRE W/HOLDER .032X60 CM,28314537331,270, $47.00 ,,
33101248,KIT TRACH PERCUT W/CONN 7X15MM,28314537331,270, $878.00 ,,
33101249,KIT TRACH PERCUT W/CONN 8X15MM,28314537331,270, $878.00 ,,
33101250,KIT TRACH PERCUT W/CONN 9X15MM,28314537331,270, $878.00 ,,
33101251,KIT TRIPLE LUME POL CVC 12FRX6,28314537331,270, $197.50 ,,
33101252,NEEDLE SPINAL QUINCKE 25GX3IN,28314537331,270, $8.00 ,,
33101253,ORTH WRIST ALIGNRITE LNG RT LG,28314537331,270, $46.00 ,,
33101255,PORT ACCESS STER UNIVERSAL,28314537331,270, $22.00 ,,
33101256,POUCH DRAIN 64MM W/PANEL 2.5,28314537331,270, $8.00 ,,
33101257,POUCH DTRAIN ONE PIECE 64MM,28314537331,270, $8.00 ,,
33101259,PUCH OSTOMY 2 PC FLEXTEND FLN,28314537331,270, $8.00 ,,
33101260,POUCH OSTOMY 2 PC W/DRAIN FLN,28314537331,270, $8.00 ,,
33101261,POUCH OSTOMY DRAIN CTF 2.75 IN,28314537331,270, $20.50 ,,
33101262,POUCH WND DRAIN W/SKIN BARRIER,28314537331,270, $19.50 ,,
33101263,STUURE 0 60 PDS PL VIO MON TPI,28314537331,270, $20.00 ,,
33101264,SUTURE ETHILON 1 BLK MONO CTX,28314537331,270, $8.00 ,,
33101265,SYS OST CENT PT LOCK 2 PC 2.25,28314537331,270, $8.00 ,,
33101266,TRAY CATH POWER-TRIAL CVD TRI,28314537331,270, $676.00 ,,
33101267,TUBE TRACH AIR-LON 5 9M OD X7M,28314537331,270, $101.50 ,,
33101268,TUBE TRACH TAPERGUARD EVAC 6.0,28314537331,270, $52.50 ,,
33101269,TUBE TRACH TAPERGUARD EVAC 6.5,28314537331,270, $52.50 ,,
33101270,TUBE TRACH TAPERGUARD EVAC 7.0,28314537331,270, $52.50 ,,
33101271,TUBE TRACH TAPERGUARD EVAC 7.5,28314537331,270, $52.50 ,,
33101272,TUBE TRACH TAPERGUARD EVAC 8.0,28314537331,270, $52.50 ,,
33101273,TUBE TRACH TAPERGUARD EVAC 8.5,28314537331,270, $52.50 ,,
33101274,TUBE TRACH TAPERGUARD EVAC 9.0,28314537331,270, $52.50 ,,
33101275,ORTHOSIS FT ANK RT SIZE 8-10,28314537331,270, $89.50 ,,
33101277,CLIP ENDO CLIP APPLIER 1756-35,28314537331,272, $287.00 ,,
33101289,GLOVE COMPRESS FIT OPEN FNG MD,28314537331,270, $66.00 ,,
33101292,HEMOSTATIC MATRIX FLOSEAL 10ML,28314537331,270," $1,095.00 ",,
33101299,"POUCH NATURA TRANS 1.75"" FLNG",28314537331,270, $11.50 ,,
33101303,"POUCH URO 2PC ULT-CL 2.75""FLNG",28314537331,270, $8.00 ,,
33101304,DRSG SILVERLON 4X4,28314537331,272, $25.00 ,,
33101318,TRAY SPINAL QUINCKE NDL22Gx3.5,28314537331,270, $35.50 ,,
33101319,"POUCH SURFIT MINI OPQ1.75""FLNG",28314537331,270, $8.00 ,,
33101349,DRSG DUODERM 8X8 1876-20,28314537331,272, $18.00 ,,
33101359,CAUTERY HOT TIP,28314537331,272, $15.50 ,,
33101369,ENDO CLIP APPLIER ER320,28314537331,272," $1,560.00 ",,
33101375,ENDO SHEARS 174501,28314537331,272, $624.00 ,,
33101450,STAPLER RELOAD TR SERIES,28314537331,272, $426.50 ,,
33101451,STAPLER GIA MULTI 030811,28314537331,272," $2,010.00 ",,
33101468,PCH DRN SENSUR MIO FLEX MAXI,28314537331,270, $8.00 ,,
33101534,STOCKING ANTI EM SM SHT,28314537331,270, $8.00 ,,
33101564,PCH DRN 1-PC CTF TRANS 10-54MM,28314537331,270, $8.00 ,,
33101602,BARRIER FLEX SENSUR MIO10-68MM,28314537331,270, $8.00 ,,
33101645,BRACE KNEE HINGE WRAPROUND 3XL,28314537331,270, $97.00 ,,
33101664,CATH HEMODIAL DF STD 16FR 50CM,28314537331,270, $755.50 ,,
33101666,BAG COLL FECAL MGMT FLXSL,28314537331,270, $11.00 ,,
33101671,TUBE TRACH VENT BIV 10 36 MM,28314537331,270, $242.50 ,,
33101673,SUPP WRIST W/PALMER CLIP REG 3,28314537331,270, $96.50 ,,
33101674,DRESSING XEROFORM 5X9,28314537331,270, $8.00 ,,
33101676,SUTURE 6-0 PROLENE TAPER BV-1,28314537331,270, $41.50 ,,
33101677,SUTURE 4-0 MONO REV CUT PS-1,28314537331,270, $16.00 ,,
33101678,KIT POS AIR PRESSURE EZPAP,28314537331,270, $537.00 ,,
33101682,"BARRIER SKN CNV TAPE2.25"" FLNG",28314537331,270, $10.50 ,,
33101684,TRAY FOLEY URINE METER 18FR,28314537331,270, $49.50 ,,
33101688,PCH URO SENSURA 1PC CTF MAXI,28314537331,270, $9.00 ,,
33101702,SUPPORT KNEE STRAP MUELLER MAX,28314537331,270, $58.50 ,,
33101707,ORTHOSIS ELBOW TERRYCOVER ADLT,28314537331,270, $403.50 ,,
33101708,PILLOW GEO-MATT (SGL PT USE),28314537331,270, $67.50 ,,
33101715,PACK MINOR OR,28314537331,272, $103.35 ,,
33101732,CATH DIAL TRIALYSIS 13FRX30CM,28314537331,270, $495.00 ,,
33101739,CATH EXT MALE INVIEW SML 25MM,28314537331,270, $8.00 ,,
33101759,TRAY CURITY PRECIS 400 UR 16FR,28314537331,270, $50.50 ,,
33101760,TRAY PL LUM 7FR W/INTLK CHLRP,28314537331,272, $264.50 ,,
33101761,TRAY CATH URETERAL,28314537331,270, $8.00 ,,
33101763,TUBE FEED MIC-KEY 5.0CM 18FR,28314537331,270, $280.50 ,,
33101764,BARRIER SKIN 29MM TAPE57MMFLNG,28314537331,270, $8.00 ,,
33101765,PCH DRN LOCKROLL FLTR57MMGLNG,28314537331,270, $8.00 ,,
33101767,BARR SKIN FLEXFLTFLNGTAPE35MM,28314537331,270, $8.00 ,,
33101769,STOCKING THIGH 20-30MMHG MED,28314537331,270, $189.00 ,,
33101770,STOCKING THIGH 30-40MMHG LARGE,28314537331,270, $204.00 ,,
33101771,STOCKING THIGH OPEN20-30MMHGLG,28314537331,270, $189.00 ,,
33101772,SOCK JOBST 20-30MMHG BLK-GRYXL,28314537331,270, $210.50 ,,
33101773,KIT MICINTRO COAX 45CMSS TIP4F,28314537331,270, $75.00 ,,
33101774,SKIN BARRIER FLAT W/FLNG2.25IN,28314537331,270, $8.00 ,,
33101778,SLING ARM UNIVERSAL,28314537331,270, $25.50 ,,
33101780,SUPPORT ELBOW KNIT W/GEL SMALL,28314537331,270, $44.50 ,,
33101782,SUPPORT ELBOW KNIT W/GEL MED,28314537331,270, $44.50 ,,
33101801,COLLAR ASPEN W/PADS,28314537331,270, $315.00 ,,
33101812,KIT SAFETY SHARPS PEG 24FR,28314537331,270, $526.50 ,,
33101817,SPLINT DORS CARPL TUNNEL LT LG,28314537331,270, $143.00 ,,
33101819,INSERTER SUPPOSITORY RYL GRIP,28314537331,270, $177.00 ,,
33101822,NEEDEL GRIP Y-SITE 20GX.625IN,28314537331,270, $13.00 ,,
33101824,TRAY FOL CATH-IC COMP BAG 14FR,28314537331,270, $35.00 ,,
33101825,SLEEVE GAUNTLET SML 15-20MMHG,28314537331,270, $134.50 ,,
33101837,KIT CATH SUCT GRAD-CHIM VLV5FR,28314537331,270, $8.00 ,,
33101840,BOOT FTHLD WAFL SPLT SEC MD,28314537331,270, $276.00 ,,
33101843,PROTECTOR HEELMEDIX,28314537331,270, $129.50 ,,
33101844,SLING ABDUCTION MED,28314537331,270, $104.00 ,,
33101846,FOOT PILLOW,28314537331,270, $42.00 ,,
33101853,CLIP LIG CARTR 6-CLIP BLUE MED,28314537331,270, $15.00 ,,
33101862,TRAY IRR PISTON SYR STER 60ML,28314537331,270, $8.00 ,,
33101863,ADAMPER MASK INTERFACE STANDRD,28314537331,270, $55.50 ,,
33101864,SPLINT THUMB CMC RSTR LEFT SML,28314537331,270, $71.50 ,,
33101865,SPLINT THUMB CMC RSTR RT SML,28314537331,270, $71.50 ,,
33101866,PILLOW CONTOUR TWIST BLUE,28314537331,270, $52.50 ,,
33101951,PURSESTRIN 65,28314537331,270, $594.50 ,,
33101968,WAFER OSTOMY 4 INCH,28314537331,270, $9.50 ,,
33101988,SUPPORT ELBOW KNIT W/GEL LARGE,28314537331,270, $44.50 ,,
33101989,SUPPORT ELBOW KNIT W/GEL XL,28314537331,270, $44.50 ,,
33101990,BOOT PODUS WIDE-TRNSFR PAD XL,28314537331,270, $244.50 ,,
33101991,TRAY PORTACATH TITAN 6FR INTR,28314537331,270," $1,077.00 ",,
33101992,COLLAR CERVICAL WIRE-FRAME SML,28314537331,270, $243.00 ,,
33101994,COLLAR CERVICAL WIRE-FRAME MED,28314537331,270, $243.00 ,,
33101995,BAG DRAIN URINE SAFEFLW 2000ML,28314537331,270, $8.50 ,,
33101996,"SUT CTDVIC ETHGD UNDBRD2-0 27""",28314537331,270, $8.00 ,,
33101998,BRACE HNG KNEE WRAP 4.8MM XSML,28314537331,270, $208.50 ,,
33101999,CUSHION SOFT FOAM GELPAD 18IN,28314537331,270, $227.00 ,,
33102002,BRACE KNEE REACTION WEB XL/XXL,28314537331,270, $278.00 ,,
33102007,SPLINT FINGER DIGIWRAP BLACK,28314537331,270, $15.00 ,,
33102009,ORTHOSIS ELBOW MULTI USE MED,28314537331,270, $429.00 ,,
33102015,BARRIER SENSURA EXT CTF10-48MM,28314537331,270, $8.00 ,,
33102016,PILLOW CONTOUR CLOUD,28314537331,270, $64.50 ,,
33102017,BANDAGE COMP COMPRILAN 6CMX5M,28314537331,270, $17.00 ,,
33102018,BRACE KNEE OA LT MED/RT LAT MD,28314537331,270, $656.00 ,,
33102019,WRAP FARROW FOOT LONG MEDIUM,28314537331,270, $248.50 ,,
33102020,WRAP FARROW LEG PIECE TALL SML,28314537331,270, $410.50 ,,
33102021,SPLINT WRIST CRPL NP RT MD/LG,28314537331,270, $99.50 ,,
33102022,SUPPORT BACK ULTRALIGN TLSO XL,28314537331,270," $1,053.00 ",,
33102027,SUT VICRYLPLUS SH UND 2-0 27IN,28314537331,270, $8.00 ,,
33102028,"SUT MONOPLUS SHB VIOLT 3-0 27""",28314537331,270, $9.00 ,,
33102029,CATH URETHCOUDE OLIVE TIP 18FR,28314537331,270, $8.00 ,,
33102030,SPLINT SPICA THUMBRIGID RT MED,28314537331,270, $52.50 ,,
33102031,SYSTEM DRAIN ASEPT STRL 1000ML,28314537331,270, $59.00 ,,
33102032,BAG DRAIN 600NL W/20IN TUBING,28314537331,270, $40.00 ,,
33102038,"TRAY SPNL WHITACRE NDL25Gx3.5""",28314537331,270, $39.50 ,,
33102039,SUPPORT WRIST CARPALGRD LT SML,28314537331,270, $51.00 ,,
33102041,SUPPORT WRIST CARPALGRD RT LG,28314537331,270, $51.00 ,,
33102042,SUPPORT WRIST CARPALGRD LT LG,28314537331,270, $51.00 ,,
33102043,"BRACE KNEE MUELR SM/MD 12-16""",28314537331,270, $63.00 ,,
33102044,BAG DRN URIN 2000ML ANTIREFLX,28314537331,270, $8.00 ,,
33102046,KIT CATH PALINDROME 28CM IMPL,28314537331,270," $1,545.00 ",,
33102047,KIT CATH PALINDROME 23CM IMPL,28314537331,270," $1,646.50 ",,
33102048,"COLLAR CERVICAL COMFRT 20x2.5""",28314537331,270, $58.50 ,,
33102049,BRACE KNEE HINGED XXL,28314537331,270, $264.00 ,,
33102050,ORTHOSIS AIRHAND ROLL WO FINGR,28314537331,270, $135.00 ,,
33102066,SPLINT SPICA WRIST THUMB RT LG,28314537331,270, $75.50 ,,
33102075,PCH 2PC WIDE OUTLET DRN10-48ML,28314537331,270, $8.00 ,,
33102082,ORTHOSIS AIRHAND ROLL W FINGR,28314537331,270, $151.50 ,,
33102083,SUPPORT WRIST CARPALMATE,28314537331,270, $49.50 ,,
33102106,SPLINT KYDEX SML LT,28314537331,270, $108.50 ,,
33102122,REACHER LONG 32IN,28314537331,270, $12.00 ,,
33102123,DRSG HYALOMATRIX 5x5 PER SQ CM,28314537331,270, $827.00 ,,Q4117
33102137,BOOT AIR INFLATED W/PUMP,28314537331,270, $112.00 ,,
33102138,SUPPORT LUMBOSAC MED/LRG 8IN,28314537331,270, $202.50 ,,
33102139,BRACE KNEE HYPEREX RT SML,28314537331,270, $270.00 ,,
33102141,TRAY PNEUMOTH CUTRTY 1400 WAYN,28314537331,270, $635.50 ,,
33102142,TUBE TRACH H-FLEX MID-R 8.00MM,28314537331,270, $540.00 ,,
33102143,PROTECTOR PALM RIGHT PK/3,28314537331,270, $13.00 ,,
33102144,PROTECTOR PALM LEFT PK/3,28314537331,270, $13.00 ,,
33102145,WRAP FARROW CLASSIC LEG REG SM,28314537331,270, $410.50 ,,
33102146,WRAP FARROW CLASSIC FT REG SM,28314537331,270, $248.50 ,,
33102147,SPLINT PLANTAR FASCITIS DLX SM,28314537331,270, $196.00 ,,
33102148,SPLINT PLANTAR FASCITIS DLX MD,28314537331,270, $196.00 ,,
33102149,SPLINT PLANTAR FASCITIS DLX LG,28314537331,270, $196.00 ,,
33102150,TUBE TRACH BL LN ULT CUF 9.0MM,28314537331,270, $171.00 ,,
33102153,"BAG LEG FLIP ELAS 18""TUBE32OZ",28314537331,270, $8.00 ,,
33102154,SUT 2-0 27 PDS PLUSCP-1VILCP-1,28314537331,270, $9.00 ,,
33102155,SUT 2-0 27 PDS PLUSVP-2VILCP-2,28314537331,270, $9.50 ,,
33102156,PCH DRAIN SURFIT NAT OPAQ12IN,28314537331,270, $8.00 ,,
33102157,TRAY FOLEY SURESTEP IC DRN16FR,28314537331,270, $48.00 ,,
