EAP,Billing Desc,Rev Code,Current Inpatient Price ,Current Outpatient Price 
17000222,PT WHIRLPOOL 15,420, 143.00 , 143.00 
17000227,PT PROC THER GP 120,420," 1,136.00 "," 1,136.00 "
17000228,PT PROC THER GP 15,420, 142.00 , 142.00 
17000229,PT PROC THER GP 30,420, 284.00 , 284.00 
17000230,PT PROC THER GP 45,420, 426.00 , 426.00 
17000231,PT PROC THER GP 60,420, 568.00 , 568.00 
17000234,PT DEBRIDE NON-SELECT 15,420, 149.00 , 149.00 
17000270,PT E-STIM SUPERVISED 15,420, 105.00 , 105.00 
17000271,PT E-STIM SUPERVISED 30,420, 210.00 , 210.00 
17000292,PT MCAL SINGLE MODAL INIT 30,420, 326.00 , 326.00 
17000317,PT STRAP ELBOW/WRIST,420, 327.00 , 327.00 
17000318,PT WORK COND INIT 120,420, 960.00 , 960.00 
17000320,PT V WORK HARDENING,0, 145.00 , 145.00 
17000321,PT STRAP HAND/FINGER,420, 306.00 , 306.00 
17000568,PT EVAL LOW COMPLEXITY,424, 321.00 , 321.00 
17000569,PT EVAL MOD COMPLEXITY,424, 386.00 , 386.00 
17000570,PT EVAL HIGH COMPLEXITY,424, 504.00 , 504.00 
17000571,PT RE-EVAL ESTABLISHED PLAN CARE,424, 244.00 , 244.00 
17000572,OT EVAL LOW COMPLEXITY,434, 350.00 , 350.00 
17000573,OT EVAL MOD COMPLEXITY,434, 469.00 , 469.00 
17000574,OT EVAL HIGH COMPLEXITY,434, 596.00 , 596.00 
17000575,OT RE-EVAL ESTABLISHED PLAN CARE,434, 287.00 , 287.00 
17200005,PRE-DRIVING EVALUATION,0, 586.00 , 586.00 
17200062,OT MCAL EVALUATION INITIAL 30 MIN,430, 401.00 , 401.00 
17200065,OT MCAL EVALUATION ADDITIONAL 15 MIN,430, 201.00 , 201.00 
17200067,OT MCAL CASE CONFERENCE AND REPORT INITIAL 30 MIN,430, 237.00 , 237.00 
17200073,OT MCAL CASE CONSULT AND REPORT,430, 210.00 , 210.00 
17200074,OT APPLICATION SPLINT LONG ARM,430, 547.00 , 547.00 
17200079,OT STRAP SHOULDER,430, 417.00 , 417.00 
17200080,OT STRAP ELBOW/WRIST,430, 327.00 , 327.00 
17200081,OT STRAP HAND/FINGER,430, 306.00 , 306.00 
17200082,OT STRAP HIP,430, 91.00 , 91.00 
17200084,OT TX SWALL/ORAL FNX 15,430, 159.00 , 159.00 
17200085,OT EVALUATION SWALLOWING FUNCTION 15,434, 164.00 , 164.00 
17200100,OT ELECTRICAL STIMULATION ATTENDED EA 15 MIN,430, 148.00 , 148.00 
17200101,OT IONTOPHORESIS EA 15 MIN,430, 141.00 , 141.00 
17200102,OT CONTRAST BATHS EA 15 MIN,430, 100.00 , 100.00 
17200103,OT ULTRASOUND EA 15 MIN,430, 128.00 , 125.00 
17200104,OT THERAPEUTIC EXERCISE EA 15 MIN,430, 176.00 , 176.00 
17200105,OT NEUROMUSCULAR REEDUCATION EA 15 MIN,430, 170.00 , 170.00 
17200106,OT AQUATIC THERAPY EA 15 MIN,430, 156.00 , 156.00 
17200107,OT THERAPEUTIC MASSAGE EA 15 MIN,430, 120.00 , 120.00 
17200108,OT MANUAL THERAPY EA 15 MIN,430, 162.00 , 162.00 
17200109,OT GROUP THERAPY 105,430, 826.00 , 826.00 
17200110,OT THERAPEUTIC ACTIVITY EA 15 MIN,430, 161.00 , 161.00 
17200112,OT SENSORY INTEGRATION EA 15 MIN,430, 135.00 , 135.00 
17200113,OT ADL TRAINING EA 15 MIN,430, 172.00 , 172.00 
17200114,OT COMMUNITY REINTEGRATION EA 15 MIN,430, 149.00 , 149.00 
17200115,OT WHEELCHAIR TRAINING EA 15 MIN,430, 148.00 , 148.00 
17200116,OT WORK CONDITIONING INITIAL 120 MIN,430, 960.00 , 960.00 
17200117,OT WORK CONDITIONING ADD 60 MIN,430, 276.00 , 276.00 
17200121,OT PHYSICAL PERFORMANCE TEST EA 15 MIN,430, 183.00 , 183.00 
17200122,OT ASSISTIVE TECHNOLOGIES ASSESSMENT EA 15 MIN,430, 160.00 , 160.00 
17200123,OT ORTHOTIC TRAINING INITIAL EA 15 MIN,430, 148.00 , 148.00 
17200124,OT PROSTHETIC TRAINING INITIAL EA 15 MIN,430, 156.00 , 156.00 
17200126,OT SERVICES PER SESSION PARTIAL HOSPITALIZATION,430, 546.00 , 546.00 
17200139,OT MCAL TX ADTL 15 MIN,430, 176.00 , 176.00 
17200159,OT TX SP/LNG/COM IND 30,440, 164.00 , 164.00 
17200160,OT TX SP/LNG/COM IND 45,440, 246.00 , 246.00 
17200165,OT TX SWALL/ORAL FNX 120,430," 1,272.00 "," 1,272.00 "
17200167,OT TX SWALL/ORAL FNX 30,430, 318.00 , 318.00 
17200168,OT TX SWALL/ORAL FNX 45,430, 477.00 , 477.00 
17200169,OT TX SWALL/ORAL FNX 60,430, 636.00 , 636.00 
17200170,OT TX SWALL/ORAL FNX 75,430, 795.00 , 795.00 
17200171,OT TX SWALL/ORAL FNX 90,430, 954.00 , 954.00 
17200172,OT EVAL FNX SWALL 105,434," 1,148.00 "," 1,148.00 "
17200175,OT EVAL FNX SWALL 30,434, 328.00 , 328.00 
17200176,OT EVAL FNX SWALL 45,434, 492.00 , 492.00 
17200177,OT EVAL FNX SWALL 60,434, 656.00 , 656.00 
17200178,OT EVAL FNX SWALL 75,434, 820.00 , 820.00 
17200179,OT EVAL FNX SWALL 90,434, 984.00 , 984.00 
17200192,OT MMT HAND 15,430, 170.00 , 170.00 
17200193,OT MMT HAND 30,430, 340.00 , 340.00 
17200207,OT ROM HAND 15,430, 170.00 , 170.00 
17200208,OT ROM HAND 30,430, 340.00 , 340.00 
17200232,OT PARAFFIN BATH 15,430, 77.00 , 77.00 
17200233,OT PARAFFIN BATH 30,430, 154.00 , 154.00 
17200234,OT WHIRLPOOL 15,430, 81.00 , 81.00 
17200236,OT INFRARED MODALITY 15,430, 79.00 , 79.00 
17200239,OT PROC THER GP 120,430, 944.00 , 944.00 
17200240,OT PROC THER GP 15,430, 118.00 , 118.00 
17200241,OT PROC THER GP 30,430, 236.00 , 236.00 
17200242,OT PROC THER GP 45,430, 354.00 , 354.00 
17200243,OT PROC THER GP 60,430, 472.00 , 472.00 
17200244,OT PROC THER GP 75,430, 590.00 , 590.00 
17200245,OT PROC THER GP 90,430, 708.00 , 708.00 
17200281,OT GAIT TRAIN EA 15,430, 152.00 , 152.00 
17200284,OT MCAL TREAT INIT 30,430, 359.00 , 359.00 
17200296,OT MCAL COMBO MODAL ADD 15,430, 191.00 , 191.00 
17200310,OT MCAL COMBO MODAL INIT 30,430, 377.00 , 377.00 
17200330,OT COGNTVE TEST BY HC PRO,430, 550.00 , 550.00 
17400006,SP MCAL THERAPY SPEECH-LANGUAGE INDIVIDUAL EA 30 MIN,440, 345.00 , 345.00 
17400010,SP TX SP/LANG/COM IND 105,440, 931.00 , 931.00 
17400014,SP EVAL SWALL FUNCT 105,444," 1,148.00 "," 1,148.00 "
17400015,SP EVAL MTN FLUOR SWA 105,444," 1,176.00 "," 1,176.00 "
17400016,SP EVAL APHASIA HR,440, 582.00 , 582.00 
17400041,SP TX SP/LANG/COM IND 120,440," 1,064.00 "," 1,064.00 "
17400042,SP TX SP/LANG/COM IND 15,440, 133.00 , 133.00 
17400043,SP TX SP/LANG/COM IND 30,440, 266.00 , 266.00 
17400044,SP TX SP/LANG/COM IND 45,440, 399.00 , 399.00 
17400045,SP TX SP/LANG/COM IND 60,440, 532.00 , 532.00 
17400046,SP TX SP/LANG/COM IND 75,440, 665.00 , 665.00 
17400047,SP TX SP/LANG/COM IND 90,440, 798.00 , 798.00 
17400050,SP TX SP/LANG/COM GP 15,440, 118.00 , 118.00 
17400051,SP TX SP/LANG/COM GP 30,440, 236.00 , 236.00 
17400052,SP TX SP/LANG/COM GP 45,440, 354.00 , 354.00 
17400053,SP TX SP/LANG/COM GP 60,440, 472.00 , 472.00 
17400056,SP TX SWALL/ORAL FNX 105,440," 1,113.00 "," 1,113.00 "
17400057,SP TX SWALL/ORAL FNX 120,440," 1,272.00 "," 1,272.00 "
17400058,SP TX SWALL/ORAL FNX 15,440, 159.00 , 159.00 
17400059,SP TX SWALL/ORAL FNX 30,440, 318.00 , 318.00 
17400060,SP TX SWALL/ORAL FNX 45,440, 477.00 , 477.00 
17400061,SP TX SWALL/ORAL FNX 60,440, 636.00 , 636.00 
17400062,SP TX SWALL/ORAL FNX 75,440, 795.00 , 795.00 
17400063,SP TX SWALL/ORAL FNX 90,440, 954.00 , 954.00 
17400065,SP EVAL FNX SWALL 120,444," 1,312.00 "," 1,312.00 "
17400066,SP EVAL FNX SWALL 15,444, 164.00 , 164.00 
17400067,SP EVAL FNX SWALL 30,444, 328.00 , 328.00 
17400068,SP EVAL FNX SWALL 45,444, 492.00 , 492.00 
17400069,SP EVAL FNX SWALL 60,444, 656.00 , 656.00 
17400070,SP EVAL FNX SWALL 75,444, 820.00 , 820.00 
17400071,SP EVAL FNX SWALL 90,444, 984.00 , 984.00 
17400073,SP EVAL MTN FLUOR SWA 120,444," 1,344.00 "," 1,344.00 "
17400074,SP EVAL MTN FLUOR SWAL 15,444, 168.00 , 168.00 
17400075,SP EVAL MTN FLUOR SWAL 30,444, 336.00 , 336.00 
17400076,SP EVAL MTN FLUOR SWAL 45,444, 504.00 , 504.00 
17400077,SP EVAL MTN FLUOR SWAL 60,444, 672.00 , 672.00 
17400078,SP EVAL MTN FLUOR SWAL 75,444, 840.00 , 840.00 
17400079,SP EVAL MTN FLUOR SWAL 90,444," 1,008.00 "," 1,008.00 "
17400080,SP ENDOSCOPY SWALLOW (FEES) VID 30,444, 412.00 , 412.00 
17400081,SP ENDOSCOPY SWALLOW (FEES) VID 45,444, 618.00 , 618.00 
17400082,SP ENDOSCOPY SWALLOW (FEES) VID 60,444, 824.00 , 824.00 
17400083,SP ENDOSCOPY SWALLOW (FEES) VID 75,444," 1,030.00 "," 1,030.00 "
17400084,SP ENDOSCOPY SWALLOW (FEES) VID 90,444," 1,236.00 "," 1,236.00 "
17400105,SP MCAL EVAL LANG 15,440, 139.00 , 139.00 
17400106,SP MCAL EVAL LANG 30,440, 278.00 , 278.00 
17400107,SP MCAL EVAL LANG 45,440, 417.00 , 417.00 
17400108,SP MCAL EVAL LANG 60,440, 556.00 , 556.00 
17400109,SP MCAL EVAL LANG 75,440, 695.00 , 695.00 
17400110,SP MCAL EVAL LANG 90,440, 834.00 , 834.00 
17400113,SP MCAL EVAL 15,440, 151.00 , 151.00 
17400114,SP MCAL EVAL 30,440, 302.00 , 302.00 
17400115,SP MCAL EVAL 45,440, 453.00 , 453.00 
17400116,SP MCAL EVAL 60,440, 604.00 , 604.00 
17400118,SP MCAL EVAL 90,440, 906.00 , 906.00 
17400135,SP EVAL SP/COM DVC ADL 30,444, 100.00 , 100.00 
17400137,SP EVAL SP/COM DVC 1ST HR,444, 728.00 , 728.00 
17400138,SP THER SVC SP DEVICE,440, 338.00 , 338.00 
17400139,SP COGNTVE TEST BY HC PRO,440, 518.00 , 518.00 
17400140,SP ENDOSCOPY SWALLOW (FEES) VID 15,444, 206.00 , 206.00 
17400333,EVALUATION OF SPEECH FLUENCY 15,444, 154.00 , 154.00 
17400334,EVALUATION OF SPEECH FLUENCY 30,444, 308.00 , 308.00 
17400335,EVALUATION OF SPEECH FLUENCY 45,444, 462.00 , 462.00 
17400336,EVALUATION OF SPEECH FLUENCY 60,444, 616.00 , 616.00 
17400337,EVALUATION OF SPEECH FLUENCY 75,444, 770.00 , 770.00 
17400345,EVALUATE SPEECH PRODUCTION 15,444, 153.00 , 153.00 
17400346,EVALUATE SPEECH PRODUCTION 30,444, 306.00 , 306.00 
17400347,EVALUATE SPEECH PRODUCTION 45,444, 459.00 , 459.00 
17400348,EVALUATE SPEECH PRODUCTION 60,444, 612.00 , 612.00 
17400349,EVALUATE SPEECH PRODUCTION 75,444, 765.00 , 765.00 
17400350,EVALUATE SPEECH PRODUCTION 90,444, 918.00 , 918.00 
17400352,EVALUATE SPEECH PRODUCTION 120,444," 1,224.00 "," 1,224.00 "
17400357,EVAL SPEECH SOUND LANG COMPREHEN 15,444, 173.00 , 173.00 
17400358,EVAL SPEECH SOUND LANG COMPREHEN 30,444, 346.00 , 346.00 
17400359,EVAL SPEECH SOUND LANG COMPREHEN 45,444, 519.00 , 519.00 
17400360,EVAL SPEECH SOUND LANG COMPREHEN 60,444, 692.00 , 692.00 
17400361,EVAL SPEECH SOUND LANG COMPREHEN 75,444, 865.00 , 865.00 
17400362,EVAL SPEECH SOUND LANG COMPREHEN 90,444," 1,038.00 "," 1,038.00 "
17400363,EVAL SPEECH SOUND LANG COMPREHEN 105,444," 1,211.00 "," 1,211.00 "
17400364,EVAL SPEECH SOUND LANG COMPREHEN 120,444," 1,384.00 "," 1,384.00 "
17400369,BEHAVRAL QUALIT ANALYS VOICE 15,440, 143.00 , 143.00 
17400370,BEHAVRAL QUALIT ANALYS VOICE 30,440, 286.00 , 286.00 
17400371,BEHAVRAL QUALIT ANALYS VOICE 45,440, 429.00 , 429.00 
17400372,BEHAVRAL QUALIT ANALYS VOICE 60,440, 572.00 , 572.00 
17400373,BEHAVRAL QUALIT ANALYS VOICE 75,440, 715.00 , 715.00 
17400374,BEHAVRAL QUALIT ANALYS VOICE 90,440, 858.00 , 858.00 
17400389,SP SENSORY INTEGRATION EA 15 MIN,440, 149.00 , 149.00 
17500003,AD EVALUATION HEARING AID MONAURAL,471, 324.00 , 324.00 
17500004,AD EVALUATION HEARING AID BINAURAL,471, 473.00 , 473.00 
17500005,AD MCAL AUDIOMETRY COMPLETE AGES 7 TO ADULT,471, 889.00 , 889.00 
17500010,AD TEST ELECTROACOUSTIC MONAURAL,471, 161.00 , 161.00 
17500012,AD MCAL DIAGNOSTIC EVALUATION FOR HANDICAPPED PERSON OVER 7 YEARS,471, 930.00 , 930.00 
17500016,AD HEARING AID FITTING/CHECKING,470, 464.00 , 464.00 
17500017,AD PURE TONE AIR,471, 145.00 , 145.00 
17500018,AD PURE TONE AIR/BONE,471, 423.00 , 423.00 
17500020,AD AUDIOMETRY COMPLETE,471, 428.00 , 403.00 
17500021,AD TEST TONE DECAY,471, 317.00 , 317.00 
17500022,AD TYMPANOMETRY,471, 135.00 , 112.00 
17500028,AD CONDITIONING PLAY AUDIOMETRY,471, 432.00 , 432.00 
17500029,AD EVALUATION ABR COMPLETE,471," 1,420.00 "," 1,420.00 "
17500030,AD ABR SCREEN INITIAL OP,470, 487.00 , 487.00 
17500031,AD ABR SCREEN INITIAL IP,470, 487.00 , 487.00 
17500034,AD EVALUATION OAE,471, 437.00 , 437.00 
17500035,AD HEARING AID CHECK MONAURAL,471, 486.00 , 486.00 
17500036,AD HEARING AID CHECK BINAURAL,471, 324.00 , 324.00 
17500037,AD CENTRAL AUDITORY FUNCTION 60 MIN,471, 432.00 , 432.00 
17500038,AD TINNITUS ASSESSMENT UNILATERAL,471, 324.00 , 324.00 
17500039,AD REPAIR OR MODIFICATION HEARING AID,479, 506.00 , 506.00 
17500040,AD FUNCTIONAL AADL 15 MIN,471, 306.00 , 306.00 
17500058,AD TX SP/LANG/COM IND 30,440, 282.00 , 282.00 
17500072,AD OTOACOUSTIC SCREEN ,470, 324.00 , 324.00 
17500073,AD OTOACOUSTC SCR INIT OP,470, 324.00 , 324.00 
17500086,CALORIC VSTBLR TEST REC BITHERM 4 IRRIGATIONS,470, 222.00 , 222.00 
17500087,CALORIC VSTBLR TEST REC BITHERM 3 IRRIGATIONS,470, 222.00 , 222.00 
17500088,CALORIC VSTBLR TEST REC MONOTHERM 2 IRRIGATIONS,470, 116.00 , 116.00 
17500089,CALORIC VSTBLR TEST REC MONOTHERM 1 IRRIGATION,470, 116.00 , 116.00 
17500090,AD EVAL AUD REHAB STATUS 1ST HOUR,470, 448.00 , 448.00 
17500091,AD EVAL AUD REHAB STATUS EA ADDL 15 MIN,470, 112.00 , 112.00 
20000003,ABORTED/DISCONTIUNUED CASE OR,360," 2,186.00 "," 2,186.00 "
20000005,SURG LVL 1 ADDL 15 MIN,360," 1,333.00 "," 1,333.00 "
20000006,SURG LVL 1 FIRST 30 MIN,360," 3,957.00 "," 3,957.00 "
20000007,SURG LVL 2 ADDL 15 MIN,360," 1,727.00 "," 1,727.00 "
20000008,SURG LVL 2 FIRST 30 MIN,360," 5,049.00 "," 5,049.00 "
20000009,SURG LVL 3 ADDL 15 MIN,360," 2,275.00 "," 2,275.00 "
20000010,SURG LVL 3 FIRST 30 MIN,360," 6,121.00 "," 6,121.00 "
20000011,SURG LVL 4 ADDL 15 MIN,360," 2,437.00 "," 2,437.00 "
20000012,SURG LVL 4 FIRST 30 MIN,360," 7,487.00 "," 7,487.00 "
20000013,SURG LVL 5 ADDL 15 MIN,360," 3,051.00 "," 3,051.00 "
20000014,SURG LVL 5 FIRST 30 MIN,360," 8,874.00 "," 8,874.00 "
20000044,INJ SINUS TRACT TX,361, 696.00 , 696.00 
20000048,BX SALIVARY GLAND NDL,361," 2,476.00 "," 2,476.00 "
20000050,ERCP W/SPHINC/PAPIL,361," 6,284.00 "," 6,284.00 "
20000051,ERCP RMVL CALC DEBRIS FROM DUCT,361," 5,170.00 "," 5,170.00 "
20000081,SURG LVL 1 1ST 30M NONOR,360," 3,207.00 "," 3,207.00 "
20000082,SURG LVL 1 ADD 15M NONOR,360," 1,369.00 "," 1,369.00 "
20000083,SURG LVL 2 1ST 30M NONOR,360," 4,039.00 "," 4,039.00 "
20000084,SURG LVL 2 ADD 15M NONOR,360," 1,622.00 "," 1,622.00 "
20000085,SURG LVL 3 1ST 30M NONOR,360," 4,417.00 "," 4,417.00 "
20000086,SURG LVL 3 ADD 15M NONOR,360," 1,837.00 "," 1,837.00 "
20000087,SURG LVL 4 1ST 30M NONOR,360," 4,784.00 "," 4,784.00 "
20000088,SURG LVL 4 ADD 15M NONOR,360," 4,359.00 "," 4,359.00 "
20000089,SURG LVL 5 1ST 30M NONOR,360," 3,750.00 "," 3,750.00 "
20000090,SURG LVL 5 ADD 15M NONOR,360," 4,877.00 "," 4,877.00 "
20000091,SURG LVL 1 MCAL 1ST HR NONOR,360," 5,945.00 "," 5,945.00 "
20000092,SURG LVL 1 MCAL1ST SUBSEQ HALF NONOR,360," 2,738.00 "," 2,738.00 "
20000093,SURG LVL 1 MCAL 2ND+ EA SUBSEQ 1/2HR NONOR,360," 2,738.00 "," 2,738.00 "
20000094,SURG LVL 2 MCAL 1ST HR NONOR,360," 7,283.00 "," 7,283.00 "
20000095,SURG LVL 2 MCAL 1ST SUBSEQ 1/2HR NONOR,360," 3,244.00 "," 3,244.00 "
20000096,SURG LVL 2 MCAL 2ND+ EA SUBSEQ 1/2HR NONOR,360," 3,244.00 "," 3,244.00 "
20000097,SURG LVL 3 MCAL 1ST HR NONOR,360," 8,091.00 "," 8,091.00 "
20000098,SURG LVL 3 MCAL 1ST SUBSEQ 1/2HR NONOR,360," 3,674.00 "," 3,674.00 "
20000099,SURG LVL 3 MCAL 2ND+ EA SUBSEQ 1/2HR NONOR,360," 3,674.00 "," 3,674.00 "
20000100,SURG LVL 4 MCAL 1ST HR NONOR,360," 13,502.00 "," 13,502.00 "
20000101,SURG LVL 4 MCAL 1ST SUBSEQ 1/2HR NONOR,360," 8,718.00 "," 8,718.00 "
20000102,SURG LVL 4 MCAL 2ND+ EA SUBSEQ 1/2HR NONOR,360," 8,718.00 "," 8,718.00 "
20000103,SURG LVL 5 MCAL 1ST HR NONOR,360," 13,504.00 "," 13,504.00 "
20000104,SURG LVL 5 MCAL 1ST SUBSEQ 1/2HR NONOR,360," 9,754.00 "," 9,754.00 "
20000105,SURG LVL 5 MCAL 2ND+ EA SUBSEQ 1/2HR NONOR,360," 9,754.00 "," 9,754.00 "
20000111,SURG LVL 1 MCAL 1ST HR,360," 6,623.00 "," 6,623.00 "
20000112,SURG LVL 1 MCAL1ST SUBSEQ HALF,360," 2,666.00 "," 2,666.00 "
20000113,SURG LVL 1 MCAL 2ND+ EA SUBSEQ 1/2HR,360," 2,666.00 "," 2,666.00 "
20000211,SURG LVL 2 MCAL 1ST HR,360," 8,503.00 "," 8,503.00 "
20000212,SURG LVL 2 MCAL 1ST SUBSEQ 1/2HR,360," 3,454.00 "," 3,454.00 "
20000213,SURG LVL 2 MCAL 2ND+ EA SUBSEQ 1/2HR,360," 3,454.00 "," 3,454.00 "
20000311,SURG LVL 3 MCAL 1ST HR,360," 10,671.00 "," 10,671.00 "
20000312,SURG LVL 3 MCAL 1ST SUBSEQ 1/2HR,360," 4,550.00 "," 4,550.00 "
20000313,SURG LVL 3 MCAL 2ND+ EA SUBSEQ 1/2HR,360," 4,550.00 "," 4,550.00 "
20000411,SURG LVL 4 MCAL 1ST HR,360," 12,361.00 "," 12,361.00 "
20000412,SURG LVL 4 MCAL 1ST SUBSEQ 1/2HR,360," 4,874.00 "," 4,874.00 "
20000413,SURG LVL 4 MCAL 2ND+ EA SUBSEQ 1/2HR,360," 4,874.00 "," 4,874.00 "
