Arrowhead Regional Medical Center,,,, Effective on 01/01/2019 ,,
10000728,270,1.447,1.3MM ADJ DRILL BIT,"$3,384.00 ",,Z7610
10000729,270,1.447,1.33MM ADJ DRILL BIT LONG,"$3,384.00 ",,Z7610
10000735,278,1.447,PLATE BUR HOLE LARGE,"$1,428.00 ",,Z7610
10000999,270,1.447,HIGH TORQUE DRIVER W/ BATTERY,"$1,140.00 ",,Z7610
10001001,270,1.447,IQ DRIVER BLADE,"$1,800.00 ",,Z7610
10001002,270,1.447,POWER DRIVER BATTERY,$528.00 ,,Z7610
10001011,278,1.447,SCREW 1.8M,$374.40 ,,Z7610
10001012,278,1.447,SCREW 1.5M,$374.40 ,,Z7610
10001013,278,1.447,SCREW 1.5X4.0M HT SELF DRILL,$374.40 ,,Z7610
10001014,278,1.447,SCREW EMERG,$354.00 ,,Z7610
10001016,278,1.447,NUT LOCKING THREADED CORALS,"$1,338.00 ",,Z7610
10001036,278,1.447,8 HOLE STRAIGHT IMPLANT PLATE,"$3,867.00 ",,Z7610
10001037,278,1.447,12 HOLE PRE-CONTOURED PLATE,"$5,073.00 ",,Z7610
10001038,278,1.447,16 HOLE PRE-CONTOURED PLATE,"$7,191.00 ",,Z7610
10001039,278,1.447,24 HOLE PRE-CONTOURED PLATE,"$6,358.00 ",,Z7610
10001040,278,1.447,8 HOLE PLATE TEMPLATE,$558.00 ,,Z7610
10001041,278,1.447,12 HOLE PLATE TEMPLATE,$558.00 ,,Z7610
10001042,278,1.447,16 HOLE PLATE TEMPLATE,$558.00 ,,Z7610
10001043,278,1.447,24 HOLE PLATE TEMPLATE,$558.00 ,,Z7610
10001105,278,1.447,FILLER BONE MIMIX QS 5 GRAMS,"$5,148.00 ",,Z7610
10001220,278,1.447,IMPLANT MIDFOOT FUSION BOLT,"$3,242.00 ",,Z7610
10001386,278,1.447,SCREW CORT 1.3 X 3,$390.00 ,,Z7610
10001394,278,1.447,IMPLANT PLATE MESH,"$5,538.00 ",,Z7610
10001402,278,1.447,SCREW 1.3X5,$433.00 ,,Z7610
10001485,278,1.447,PLATE 24 HOLE,"$3,698.00 ",,Z7610
10001493,278,1.447,IMPLANT PLATE 9 HLE ORBIT,"$1,884.00 ",,Z7610
10001592,272,1.447,DRILL BIT 3X1 STRY,"$1,012.00 ",,
10001600,272,1.447,DRILL BIT 5X1 STRY,"$1,224.00 ",,
10001618,272,1.447,DRILL BIT 8X1,"$1,248.00 ",,Z7610
10001797,278,1.447,IMPLANT SCREW POLY EXPENDIUM,"$4,665.00 ",,Z7610
10001798,278,1.447,IMPLANT SCREW EXPENDIUM,"$1,650.00 ",,Z7610
10001883,278,1.447,IMPLANT SCREW SPINE,"$3,498.00 ",,Z7610
10001884,278,1.447,IMPLANT SCREW,"$1,026.48 ",,Z7610
10001885,278,1.447,IMPLANT ROD,"$5,115.00 ",,Z7610
10001886,278,1.447,ROD SPINE MOUNTAINEER,"$2,880.00 ",,Z7610
10001887,278,1.447,SCREW POLY SPINE,"$4,320.00 ",,Z7610
10001888,272,1.447,DRILL BIT SPINE,"$1,470.00 ",,Z7610
10001889,278,1.447,SCREW SPINE POLY RENOVO,"$8,710.00 ",,Z7610
10001890,278,1.447,SCREW SPINE SET RENOVO,"$1,384.24 ",,Z7610
10001891,278,1.447,ROD SPINE RENOVO,"$1,955.20 ",,Z7610
10001952,278,1.447,IMPLANT PLATE,"$2,556.00 ",,Z7610
10002076,270,1.4421,2.9MM NAVIGATED DRILL BIT,"$4,552.00 ",,Z7610
10002102,278,1.447,SCREW 1.2MM,$525.20 ,,Z7610
10002103,272,1.447,DRILL BIT 1.2M,$587.00 ,,
10002105,278,1.447,SCREW 1.7MM,$450.32 ,,Z7610
10002107,278,1.447,SCREW 1.7MM CROSS PIN SELF DRI,$404.00 ,,Z7610
10002111,278,1.447,SCREW 2.0 LOCKING CROSS PIN,$768.56 ,,Z7610
10002112,278,1.4421,SCREW BONE MP 2.0MM,$523.00 ,,Z7610
10002113,278,1.4421,SCREW 2.0M C-PIN MP SELF DRILL,$616.00 ,,Z7610
10002114,278,1.447,SCREW 2.3M CROSS PIN BONE,$486.72 ,,Z7610
10002115,278,1.447,SCREW 2.3M CROSS PIN LOCKING,$710.00 ,,Z7610
10002116,278,1.447,SCREW 2.3M,$606.32 ,,Z7610
10002126,278,1.447,PLATE 8 HOLE,"$1,075.00 ",,Z7610
10002131,278,1.447,IMPLANT PLATE 100D,"$1,203.00 ",,Z7610
10002132,278,1.447,PLATE 100D,"$1,278.00 ",,Z7610
10002133,278,1.447,"PLATE, 6HL 8MM 100d","$1,140.00 ",,Z7610
10002149,272,1.447,DRILL STRYK END,"$1,000.00 ",,
10002151,278,1.4421,DRILL 8MM SCREW 1.54MM,"$1,161.00 ",,Z7610
10002153,278,1.447,"PLATE, FRACTURE 4 HOLE","$1,927.00 ",,Z7610
10002154,278,1.4421,PLATE PRIMARY HEMI MAND RT-LT,"$6,428.00 ",,Z7610
10002156,279,1.447,DRILL 1.6 90d WRK DTL,$522.00 ,,Z7610
10002157,279,1.447,DRILL 1.9MM 90d WRK DTL,$522.00 ,,Z7610
10002168,278,1.447,"PLATE, ORB FLOOR COM LARGE","$5,357.00 ",,Z7610
10002174,278,1.447,"PLATE, 6X2 HL UPPER FC MALBL","$2,648.00 ",,Z7610
10002195,278,1.447,"PLATE, 8HL UPPER FACE 1.2MM","$1,373.00 ",,Z7610
10002196,278,1.447,"PLATE, 24HL STRT UPPERFACE","$2,508.00 ",,Z7610
10002197,278,1.447,"PLATE, 2X2 HOLE 3D UPPERFACE","$1,167.00 ",,Z7610
10002198,278,1.447,"PLATE, 6X2HL 3D UPPERFACE","$2,096.00 ",,Z7610
10002203,278,1.447,"PLATE, CRD 10HL UPPERFACE","$1,431.00 ",,Z7610
10002204,278,1.447,"PLATE, 4HL ORBITAL UPPERFACE",$591.00 ,,Z7610
10002207,278,1.447,"PLATE, 4HL STRT W/BAR MDFC",$737.00 ,,Z7610
10002208,278,1.447,"PLATE, 6 HOLE MIDFACE","$1,588.00 ",,Z7610
10002209,278,1.447,"PLATE, 24HL STRT MEDFACE","$3,118.00 ",,Z7610
10002214,278,1.4421,"PLATE, 4HL CRD W/BAR MDFC","$1,060.00 ",,Z7610
10002215,278,1.447,PLATE-T 5HL MEDFACE,"$1,002.00 ",,Z7610
10002216,278,1.4421,"BONEPLATE, 4HL MED BAR","$1,826.00 ",,Z7610
10002223,278,1.447,"PLATE, 75MM 12-LOCH STEINH GEB","$1,215.00 ",,Z7610
10002227,278,1.447,"PLATE, 4HL ST LNG MAND LOCK",$837.00 ,,Z7610
10002228,278,1.447,"PLATE, MINI 4 HOLE",$486.00 ,,Z7610
10002229,278,1.447,"PLATE, MINI 6 HOLE",$737.00 ,,Z7610
10002230,278,1.447,"PLATE, 5HL STRT W/VAR LK COND","$1,425.00 ",,Z7610
10002236,278,1.447,"PLATE, FRACTURE 4HL BAR","$2,370.00 ",,Z7610
10002246,272,1.447,"DRILL, 5MM SCREWS 1.35X50MM","$1,213.00 ",,
10002251,278,1.447,PLATE ST 4HLS LONG,$560.00 ,,Z7610
10002257,272,1.447,"DRILL, TWIST 1.6X58MM 26M","$1,364.00 ",,
10002259,272,1.447,"DRILL, 20MM SCREWS 1.9X58MM","$1,620.00 ",,
10002260,272,1.447,DRILL 1.6MM TWIST 7MM STRYK,"$1,062.00 ",,
10002261,279,1.447,DRILL 1.6 TWIST 7MM STOP,$605.00 ,,Z7610
10002262,272,1.447,DRILL TWIST 1.6 35MM STRYK,"$1,228.00 ",,
10002264,279,1.447,DRILL 1.9MM 35MM STRYKER,$892.00 ,,Z7610
10002265,279,1.447,DRILL 1.9MM TWIST 35MM WORK,$790.00 ,,Z7610
10002267,279,1.447,DRILL 1.9X85M 26MM WRK LENG,$590.00 ,,Z7610
10002270,278,1.447,"MESH,DYNAMIC 1.7MM 90X90X3M/6M","$3,504.00 ",,Z7610
10002318,270,1.447,NEEDLE COLORADO STRT TIP,$525.00 ,,Z7610
10002350,278,1.447,SCREW TIT S.0X12MM,$215.00 ,,Z7610
10002520,276,1.447,POSTERIOR CHAMBER IOL 20.0,$990.00 ,,V2632
10003100,278,1.447,SCREW CORTICAL/CANCELL 3.5MM,$516.00 ,,Z7610
10003102,278,1.447,IMPLANT SCREW NON TOGGLING,$420.00 ,,Z7610
10003103,278,1.447,IMPLANT SCREW CORTICAL,$606.00 ,,Z7610
10003200,278,1.447,PLATE OLECRAN/CLAVCLE/EPIC,"$8,237.84 ",,Z7610
10003201,278,1.447,PLATE EPIC/OLECRAN X-LONG,"$9,336.08 ",,Z7610
10003210,278,1.447,IMPLANT PLATE DISTAL RADIUS,"$3,570.00 ",,Z7610
10003215,278,1.4421,IMPLANT PLATE HUMERAL,"$4,182.00 ",,Z7610
10003233,278,1.4421,IMPLANT SCREW 3.5MM,$863.00 ,,Z7610
10003235,278,1.4421,IMPLANT SCREW 3.5MM LOCKING,$863.00 ,,Z7610
10003236,278,1.4421,IMPLANT SCREW 3.5MM LOCKING,$863.00 ,,Z7610
10003256,278,1.4421,IMPLANT SCREW 3.5 MM LOCKNG,$513.00 ,,Z7610
10003258,278,1.4421,IMPLANT SCREW 3.5MM NON LOCKNG,$513.00 ,,Z7610
10003259,278,1.4421,IMPLANT SCREW 3.5MM NONLOCKING,$513.00 ,,Z7610
10003883,272,1.447,DRILL BIT SPINE,"$1,438.00 ",,
10004012,270,1.4421,OSTEO INTRODUCER SYSTEM,"$4,202.00 ",,Z7610
10004014,270,1.447,SYRINGE INFLATOR,$780.00 ,,Z7610
10004015,278,1.4421,BONE TAMP INFLATABLE EXPANDER,"$4,536.00 ",,Z7610
10004033,278,1.447,IMPLANT SCREW SPINE 4MM,"$1,272.00 ",,Z7610
10004043,278,1.447,SCREW SPINE VAIABLE RESCUE,"$2,574.00 ",,Z7610
10004055,278,1.447,IMPLANT CROSS LINK SPINE,"$3,577.00 ",,Z7610
10004061,278,1.447,SCREW LOCKING SPINE,$646.00 ,,Z7610
10004174,278,1.447,SCREW CORTEX 2.4X8MM,$670.80 ,,Z7610
10004190,278,1.447,SCREW CORTEX 2.4X12MM,$500.00 ,,Z7610
10004208,278,1.447,IMPLANT SCREW CORTEX 2.4X14MM,$483.00 ,,Z7610
10004216,278,1.447,IMPLANT SCREW CORTEX 2.4X16,$758.16 ,,Z7610
10004299,278,1.447,IMPLANT SCREW CORTEX 2.4X32MM,$511.00 ,,Z7610
10004307,278,1.447,IMPLANT SCREW CORTEX 2.4X34MM,$569.00 ,,Z7610
10004315,278,1.447,IMPLANT PLATE 4 HOLE 2.0,"$1,122.00 ",,Z7610
10004356,278,1.447,IMPLANT SCREW EMERG 2.7X8,$503.36 ,,Z7610
10004471,278,1.447,IMPLANT PLATE DCP 5 HOLE,"$3,124.00 ",,Z7610
10004497,278,1.447,PLATE DCP 4HOLE CRESC,"$3,056.00 ",,Z7610
10004513,278,1.447,PLATE FX 2.4MM 8 HOLE,"$3,124.00 ",,Z7610
10004600,272,1.447,DRILL BIT 1.8MMX110M W/DEPTH,"$1,225.00 ",,
10004604,270,1.447,DRILL BIT STR. END,$861.00 ,,Z7610
10004612,272,1.447,DRILL BIT STR.100,"$1,224.00 ",,
10004620,278,1.447,PANGEA LOCKING CAP TITANIUM,"$1,639.00 ",,Z7610
10004638,272,1.447,DRILL BIT STR. 2.4L,"$1,224.00 ",,
10004703,278,1.4421,SCREW TIT.45X6MM,"$5,615.00 ",,Z7610
10004989,278,1.447,TRANSCONNECTOR SPINE,"$14,508.00 ",,Z7610
10005013,278,1.447,SABER CFRP CAGE 9X12X25,"$6,590.00 ",,Z7610
10005122,278,1.447,ROD HARD 6.0X200MM,"$1,299.00 ",,Z7610
10005189,278,1.447,CABLE CERCL1.7MM CABLE W/CRIMP,$978.00 ,,Z7610
10005205,278,1.447,ROD SOFT 6.0X75MM,"$1,126.00 ",,Z7610
10005270,278,1.447,ROD TRANS-CON 3.5MM,$761.00 ,,Z7610
10005271,278,1.447,IMPLANT ROD TITANIUM 3.5X120M,"$1,317.00 ",,Z7610
10005338,276,1.447,IMPLANT LENS 12.0,$996.00 ,,Z7610
10005379,276,1.447,IMPLANT LENS 28.0,$996.00 ,,Z7610
10005734,272,1.447,WIRE GUIDE 3.0,$528.00 ,,Z7610
10006039,278,1.447,IMPLANT SCREW,$630.00 ,,Z7610
10006112,278,1.447,IMPLANT HOOK LAM WD BL,"$3,510.00 ",,Z7610
10006120,278,1.447,IMPLANT HOOK LAM SUPRA,"$3,435.00 ",,Z7610
10006203,278,1.447,IMPLANT ROD 5X30,"$2,490.00 ",,Z7610
10006642,278,1.447,IMPLANT TIBIAL INSERT,"$3,174.00 ",,Z7610
10006647,278,1.447,MEDIUM DISTAL TIBIA IMPLANT,"$9,396.00 ",,Z7610
10006651,278,1.4421,IMPLANT PINS HEADLESS,"$4,429.00 ",,Z7610
10007000,278,1.447,IMPLANT SCREW SPINE SUM LOC,"$2,010.00 ",,Z7610
10007001,278,1.447,IMPLANT PLATE SPINE SUM LOC,"$4,020.00 ",,Z7610
10007012,279,1.447,IRRIGATON SUNUFLOW,$415.00 ,,
10007013,272,1.447,BLADE 4.0M,$809.00 ,,
10007014,272,1.447,BLADE 4.0M AGGRESSIVE SERRATED,"$1,734.00 ",,
10007015,272,1.447,BLADE 4.0M 40 DEGREE ANGLE,"$1,734.00 ",,
10007016,279,1.447,TUBING IRRIGATION MICRODEBRIDE,$381.00 ,,
10007025,279,1.4421,SET TUBING INSUFFLAT HIGH FLOW,$83.00 ,,Z7610
10007026,279,1.4421,SET TUBING INSUFFLATION HEATED,$345.00 ,,Z7610
10007046,270,1.447,SCREWDRIVER BLADE,"$1,416.00 ",,Z7610
10007047,270,1.447,SCREWDRIVE BLADE LONG,"$1,416.00 ",,Z7610
10007048,270,1.447,CONTRA-ANGLE SCREWDRIVER BLADE,"$1,752.00 ",,Z7610
10007306,278,1.447,2.7/3.5MM VA LCP IMPLANT PLATE,"$3,414.00 ",,Z7610
10007540,278,1.447,IMPLANT SCREW LEGACY,"$1,695.20 ",,Z7610
10007544,278,1.447,SPINE SCREW,"$13,945.36 ",,Z7610
10007581,278,1.447,IMPLANT PLATE 1.7MM,$632.00 ,,Z7610
10007649,270,1.447,"NEEDLE COLORADO 4""",$535.60 ,,Z7610
10007953,279,1.447,DRILL BIT TWIST 1.0X45,$525.00 ,,Z7610
10008005,270,1.447,MARKER PASSIVE,$179.92 ,,Z7610
10008281,278,1.447,IMPLANT SET SCREW,"$1,324.96 ",,Z7610
10008400,270,1.4421,"SCOPE-MURPHY DISOPABLE, CRD","$5,744.00 ",,Z7610
10008690,278,1.4421,IMPLANT ROD CPT 5.5,"$3,440.00 ",,Z7610
10008720,278,1.447,IMPLANT ROD HORIZON TIT 6.35,"$6,318.00 ",,Z7610
10008753,279,1.4421,DRILL BIT DRILL CANN 6.35,"$3,643.00 ",,
10008803,278,1.447,IMPLANT CABLE DBLE W/INT CRIMP,"$6,543.00 ",,Z7610
10009003,278,1.447,PLATE DISTAL VOLAR LT EXTENDED,"$7,560.00 ",,Z7610
10009005,278,1.447,PEG SMOOTH 2.0M X 14M LONG,$810.00 ,,Z7610
10009013,278,1.447,PEG THREADED 2.5M X 14M LONG,$810.00 ,,Z7610
10009026,278,1.447,IMPLANT CORTICAL SCREW 3.5X16M,$810.00 ,,Z7610
10009029,272,1.447,DRILL BIT 2.0MM,$900.00 ,,
10009032,278,1.447,DRILL BIT 2.5M / 2.8M,$900.00 ,,Z7610
10009090,270,1.4421,INSTRUMENT MESH HAMMER,"$3,747.00 ",,Z7610
10009103,278,1.447,IMPLANT PLATE DISTAL,"$6,856.00 ",,Z7610
10009105,278,1.447,IMPLANT SCREW CORTEX,$609.44 ,,Z7610
10009110,278,1.447,"PLATE DISTAL ANGLES ""L"" LONG","$3,743.00 ",,Z7610
10009120,278,1.447,IMPLANT SCREW DISTAL,$912.08 ,,Z7610
10009121,278,1.447,SCREW 2.7 CORTEX TI STAR RECES,$464.00 ,,Z7610
10009165,276,1.447,IMPLANT LENS 10.0,"$1,745.12 ",,Z7610
10009223,278,1.447,IMPLANT PLANT AMBL 3.2,$106.00 ,,Z7610
10009786,278,1.447,WRIST FXTR ROD LW PROFILE 200,"$11,045.52 ",,Z7610
10009914,278,1.447,IMPLANT PLATE TIBIA LCP 4HLE,"$11,277.00 ",,Z7610
10009915,278,1.447,PLATE TIBIA LCP 3.5,"$11,418.00 ",,Z7610
10009981,278,1.447,IMPLANT FEMORAL STEM,"$5,940.00 ",,Z7610
10010122,278,1.447,"IMPLANT PLATE ""L"" 2.0MM",$808.00 ,,Z7610
10010145,276,1.4421,IMPLANT LENS 14.5,"$1,163.00 ",,Z7610
10010189,278,1.4421,IMPLANT SCREW 2.0X5MM,$603.00 ,,Z7610
10010551,278,1.447,IMPLANT CABLE 1.8MM,"$1,378.00 ",,Z7610
10010668,279,1.4421,DEVICE ZIMMER GTR,"$8,052.00 ",,
10010718,278,1.447,IMPLANT ROD SPINE 3.5MM,"$3,330.00 ",,Z7610
10011012,278,1.447,IMPLANT SCREW POLY AXIAL,"$3,387.00 ",,Z7610
10011138,278,1.447,IMPLANT PLATE STR 10 HOLE,"$1,500.00 ",,Z7610
10011187,278,1.447,IMPLANT SCREW 1.6X4MM,$510.00 ,,Z7610
10011195,278,1.447,IMPLANT SCREW 1.6X5MM,$510.00 ,,Z7610
10011203,278,1.447,IMPLANT SCREW 1.6X6MM,$510.00 ,,Z7610
10011211,278,1.447,IMPLANT SCREW SAFETY 1.9X4,$270.00 ,,Z7610
10011286,279,1.447,BATTERY OR FAST FLAP,$796.00 ,,
10011351,278,1.447,IMPLANT MESH,"$9,245.60 ",,Z7610
10011377,276,1.447,IMPLANT LENS 20.5,"$1,695.20 ",,Z7610
10011385,276,1.4421,IMPLANT LENS 21.5,"$1,163.00 ",,Z7610
10011387,276,1.447,IMPLANT LENS 29.5,$996.00 ,,Z7610
10011436,278,1.4421,IMPLANT SCREW 1.3X3M,$478.00 ,,Z7610
10011492,278,1.447,IMPLANT ROD CARBON,$998.00 ,,Z7610
10011534,276,1.447,IMPLANT LENS 20.0,"$1,695.20 ",,Z7610
10011535,278,1.4421,SCREW POLY AXIAL CORAL SYSTEM,"$6,115.00 ",,Z7610
10011542,276,1.447,IMPLANT LENS 22.0,"$1,695.20 ",,Z7610
10011559,276,1.447,IMPLANT LENS 22.5,"$1,695.20 ",,Z7610
10011575,276,1.447,IMPLANT LENS 23.5,"$1,695.20 ",,Z7610
10011591,276,1.447,IMPLANT LENS 21.0,"$1,695.20 ",,Z7610
10011609,276,1.447,IMPLANT LENS 23.0,"$1,695.20 ",,Z7610
10011641,276,1.447,IMPLANT LENS 24.5,"$1,745.12 ",,Z7610
10011660,276,1.447,IMPLANT LENS 16.5,"$1,745.12 ",,Z7610
10011674,276,1.447,IMPLANT LENS 24.0,"$1,695.20 ",,Z7610
10011732,276,1.447,IMPLANT LENS 19.5,"$1,695.20 ",,Z7610
10011742,278,1.447,BONE FILLER,"$10,982.40 ",,Z7610
10011746,278,1.447,VITOSS FOAM PACK 10CC,"$8,793.00 ",,Z7610
10011757,276,1.447,IMPLANT LENS 19.0,"$1,745.12 ",,Z7610
10011765,276,1.447,ACRYSOF INTRAOCULAR LENS 18.5,"$1,026.00 ",,V2632
10011807,276,1.447,IMPLANT LENS 18.0,"$1,695.20 ",,Z7610
10011872,270,1.447,BIT CABLE TENSIONING,$915.20 ,,Z7610
10011898,276,1.447,IMPLANT LENS 17.5,"$1,695.20 ",,Z7610
10011906,278,1.447,IMPLANT MESH SMALL TIT,"$3,450.00 ",,Z7610
10011922,278,1.447,IMPLANT SCREW BONE,$738.00 ,,Z7610
10011950,276,1.447,IMPLANT LENS 16.0,"$1,695.20 ",,Z7610
10011967,276,1.4421,IMPLANT LENS 10.5,"$1,163.00 ",,Z7610
10012144,278,1.447,IMPLANT COMPONENT FEMORAL,"$5,205.00 ",,Z7610
10012300,278,1.4421,IMPLANT ROD PLATE TIT OCCIP,"$3,787.00 ",,Z7610
10012318,278,1.4421,2.3MMX18MM NON TOGGLING SCREW,$625.00 ,,Z7610
10013261,278,1.4421,IMPLANT SCREW 3.5MM NONLOCKING,$513.00 ,,Z7610
10014322,278,1.447,IMPLANT BALL HIP TRILOGY,"$4,746.00 ",,Z7610
10014349,278,1.447,FEMORAL BODY ZMR HIP SYSTEM,"$7,632.00 ",,Z7610
10014350,278,1.447,FEMORAL STEM AMR HIP SYSTEM,"$5,310.00 ",,Z7610
10014355,278,1.447,IMPLANT SCREW TRILOGY,$409.76 ,,Z7610
10014363,278,1.447,IMPLANT SCREW TRILOGY,$409.76 ,,Z7610
10014371,278,1.447,IMPLANT SCREW TRILOGY,$409.76 ,,Z7610
10016269,278,1.447,IMPLANT MESH LARGE TIT,"$5,532.00 ",,Z7610
10019125,276,1.447,IMPLANT LENS SN6AD1 20.5D,"$5,370.00 ",,Z7610
10019905,278,1.447,PLATE LCP,"$9,839.44 ",,Z7610
10019940,278,1.447,SCREW 4.0M CONICAL CANN LOCKIN,"$1,668.16 ",,Z7610
10019941,278,1.447,SCREW 5.0M LOCKING,"$1,214.00 ",,Z7610
10019942,278,1.447,SCREW 7.3M CONICAL CANN LOCKNG,"$1,209.00 ",,Z7610
10019943,272,1.447,DRILL 4.3/5.0 LOCKING,"$2,211.00 ",,
10019944,272,1.447,GUIDEWIRE 2.5M,$404.00 ,,Z7610
10019945,278,1.447,IMPLANT PLATE FEMORAL,"$12,445.00 ",,Z7610
10019963,278,1.447,PLATE FEMORAL 12HLE LCP CONDYR,"$12,753.52 ",,Z7610
10020216,278,1.4421,SCREW FIX 4.0X16MM,"$1,855.00 ",,Z7610
10020545,278,1.4421,SCREW 4.5MM PANGEA SYSTEM,"$6,115.00 ",,Z7610
10029216,278,1.4421,FEMORAL & TIBAL STEM CEMENTED,"$5,647.00 ",,Z7610
10029573,278,1.4421,REVISION KNEE FEMUR,"$4,218.00 ",,Z7610
10030010,278,1.4421,IMPLANT SCREW ACU-LOC 2 VDR,"$1,192.00 ",,Z7610
10032314,278,1.4421,2.3MM X 14MM LKG VARIABLE SCRW,$905.00 ,,Z7610
10032316,278,1.4421,2.3MM X 16MM LKG VARIABLE SCRW,$905.00 ,,Z7610
10032322,278,1.4421,2.3MM X 22MM LKG VARIABLE SCRW,$905.00 ,,Z7610
10040136,278,1.4421,CLAVICLE SCREW 3.0X80MM,"$3,509.00 ",,C1713
10040215,276,1.447,SUPER VIEW LENS PACK OPTION 15,$430.00 ,,Z7610
10040240,279,1.447,MARKER PEDICLE I CORAL,"$1,500.00 ",,Z7610
10050020,270,1.4421,NEEDLE SPNL PEDICLE ACCESS KIT,"$5,253.00 ",,Z7610
