HSP,MNEMONIC,BILLING DESCRIPTION,CHARGE
EMC,409290228,SYNVISC OR SYNVISC-ONE,$35.82
EMC,409290231,DRAIN/INJECT JOINT/BURSA,$419.22
EMC,409290232,APPL SHORT ARM SPLINT STATIC,"$1,045.52"
EMC,409290234,METHYLPREDNISOLONE 40 MG INJ,$23.37
EMC,409290235,APPL OF SHORT LEG SPLINT,$263.12
EMC,409290236,OFFICE UA DIP W/O MICROSCOPY,$30.00
EMC,409290237,CEFTRIAXONE PER 250MG IJ,$188.89
EMC,409290238,LIDOCAINE 1% INJECTION,$188.89
EMC,414300001,"PET IMAGE W/CT, LMTD","$9,209.91"
EMC,414300002,"PET IMAGE W/CT, FULL BODY","$9,209.91"
EMC,414300003,"PET IMAGE W/CT, SKULLTHIGH","$7,969.81"
EMC,414300100,F-18 FDG DOSE UPTO 45MCI,"$1,526.20"
EMC,419500100,LITHOTRIPSY; ESWL,"$23,943.74"
EMC,423300100,OB ER ROOM LEVEL I,"$1,122.86"
EMC,423300101,OB ER ROOM LEVEL II,"$2,210.34"
EMC,423300102,OB ER ROOM LEVEL III,"$4,292.85"
EMC,423300103,OB ER ROOM LEVEL IV,"$6,918.12"
EMC,423300104,OB ER ROOM LEVEL V,"$10,009.43"
EMC,423300105,OB ER SURGICAL LEVEL I,"$2,884.84"
EMC,423300106,OB ER SURGICAL LEVEL II,"$4,609.45"
EMC,423300107,OB ER SURGICAL LEVEL III,"$10,729.17"
EMC,423300108,SONOGRAM-LIMITED POSITION,"$3,199.47"
EMC,423300109,OB ER UA AUTO NO MICRO,$332.34
EMC,423300110,EVAL AMNIOTIC FLUID PROTEIN,$112.90
EMC,423300111,OB ER IV INFUS; HYDRATION 1HR,"$1,992.84"
EMC,423300112,OB ER IV INF;HYDRATION ADDL HR,"$1,001.73"
EMC,423300113,OB ER IV INFUSION 1HR,"$1,992.84"
EMC,423300114,OB ER IV INFUSION EA ADDL HR,"$1,001.73"
EMC,423300115,OB ER IV INF ADD SEQ < = 1 HR,"$1,014.10"
EMC,423300116,OB ER IV INF CONCURRENT,$991.11
EMC,423300117,OB ER INJECTION SUBQ OR IM,$435.38
EMC,423300118,OB ER INJECTION INTRAVENOUS,$599.98
EMC,423300119,OB ER IV INJECTION; ADD-ON,$599.98
EMC,423300120,OB ER INJECTN SAME DRUG;ADD-ON,$599.98
EMC,423300121,NON STRESS TEST,"$1,465.17"
EMC,423300122,IMMUNIZATION ADMIN; SINGLE,$268.23
EMC,423300123,IMMUNIZATION ADMIN; EA ADD'L,$125.47
EMC,423300124,ADMINISTRATION OF INFLUENZA,$149.97
EMC,423300125,ADMIN PNEUMOCOCCAL VACCINE,$109.60
EMC,423300126,ADMIN HEPATITIS B VACCINE,$599.92
EMC,426800000,PICC INSERTION 5 YRS OR OLDER,"$3,217.75"
EMC,426800001,PICC REPLACEMENT,"$7,940.49"
EMC,426800002,COLLECT BLOOD FROM PICC,$413.51
EMC,426800003,DECLOT VASC ACCESS DEVICE/CATH,"$2,560.73"
EMC,426800004,TRANSF BLOOD OR BLD COMP,"$3,264.26"
EMC,426800005,IV INFUS; HYDRATION EA ADDL HR,$866.85
EMC,426800006,IV HYDRATION INIT 31 MIN-1 HR,"$1,133.46"
EMC,426800007,CHEMO IV INFUSION UP TO 1HR,"$2,593.40"
EMC,426800008,CHEMO IV INFUSION 1-8HR; ADD,"$1,293.30"
EMC,426800009,CHEMO IV INFUSION 8+ HR,"$1,945.05"
EMC,426800010,IV INFUSION 1HR,"$1,724.51"
EMC,426800011,IV INFUSION ADD HR,$866.85
EMC,426800012,INJECTION; IV ADD-ON,$519.19
EMC,426800013,INJECTION IM OF ANTIBIOTICS,$376.76
EMC,426800014,INJECTION INTRAVENOUS,$519.19
EMC,426800015,INJECTION SAME DRUG; ADD-ON,$519.19
EMC,426800016,INJECTION SUBQ OR IM,$376.76
EMC,426800017,PLATELETS; EACH UNIT,$232.20
EMC,426800018,PLATELETS; IRRADIATED,$302.40
EMC,426800019,PLATELET PHERES LUEKOREDUCED,$450.96
EMC,426800020,PLATELET PHERESIS IRADDIATED,$642.60
EMC,426800021,ACTIVE WOUND CARE 20CM OR LESS,$325.71
EMC,426800022,TRY CATH PWRPICC NRS 3LMN FUL,"$2,138.75"
EMC,426800023,US GUIDE VASCULAR ACCESS,$881.65
EMC,426800024,IV INF ADD SEQ < = 1 HR,$877.56
EMC,426800025,IV INF CONCURRENT,$857.66
EMC,426800026,IMMUNIZATION ADMIN; SINGLE,$250.68
EMC,426800027,IMMUNIZATION ADMIN; EA ADD'L,$117.26
EMC,426800028,TRY CATH PWRPICC NRS 3LM FULL,"$1,198.35"
EMC,440000005,AMNIOCENTESIS; DIAGNOSTIC,"$1,231.55"
EMC,440000015,FETAL NON-STRESS TEST,"$1,573.70"
EMC,440000020,EXTERNAL CEPHALIC VERSION,"$2,691.76"
EMC,440000025,US PREG UTERUS LIMITED,"$2,768.67"
EMC,440000030,OB CHECK/OB ASSESSMENT,"$1,149.36"
EMC,440000035,AMNIOINFUSION,$409.31
EMC,440000040,INDUCTION/AUGMENTATION,$744.63
EMC,440000045,GYN C-SECTION MAJOR 1 HR,"$16,190.97"
EMC,440000050,GYN C-SECTION MAJOR 1/4 HR,"$4,023.03"
EMC,440000060,INJECTION; SC/IM,$467.63
EMC,440000065,ROUTINE LABOR/DELIVERY,"$4,351.44"
EMC,440000070,HIGH RISK LABOR/DELIVERY,"$3,803.35"
EMC,440000075,RECOVERY ROOM; 1 HOUR,"$2,427.48"
EMC,440000080,RECOVERY ROOM; ADD 1/4 HR,$644.78
EMC,440000085,HIGH RISK TRANSPORT FEE,$315.60
EMC,440000095,INJECTION; IV,$644.42
EMC,440001000,IV INFUSION 1HR,"$1,724.51"
EMC,440001001,IV INFUSION ADD HR,"$1,075.94"
EMC,440001002,IV INFUSION 1HR,"$1,724.51"
EMC,440001003,IV INFUSION ADD HR,$866.85
EMC,440001004,IV INFUSION DIFF DRUG;ADD-ON,$877.56
EMC,440001005,IV INFUSION CONCURRENT INF,$857.66
EMC,440001010,INJECTION; IV ADD-ON,$644.42
EMC,440001011,INJECTION SAME DRUG; ADD-ON,$519.19
EMC,440001012,CERCLAGE OF CERVIX VAGINAL,"$6,902.38"
EMC,440001015,TIBAL LIG POSTPART MAJ 1ST HR,"$18,325.36"
EMC,440001016,TUBAL LIG POSTPART MAJ ADD 15,"$4,547.30"
EMC,440001018,"CURETTAGE, POSTPARTUM","$6,869.63"
EMC,440001019,EVAL AMNIOTIC FLUID PROTEIN,$121.25
EMC,440001920,INJ EPI BLOOD PATCH,"$2,591.87"
EMC,442100000,ECG TRACING ONLY,$485.98
EMC,442100020,ORTHO SURG MAJOR 1 HR,"$20,188.09"
EMC,442100025,ORTHO SURG MAJOR ADD 1/4 HR,"$5,018.48"
EMC,442100030,ORTHO SURG MINOR 1 HR,"$13,449.54"
EMC,442100035,ORTHO SURG MINOR ADD 1/4 HR,"$2,679.77"
EMC,442100040,URO SURG MAJOR 1 HR,"$16,110.71"
EMC,442100045,URO SURG MAJOR ADD 1/4 HR,"$3,993.87"
EMC,442100060,CV SURG MAJOR 1 HR,"$16,190.97"
EMC,442100065,CV SURG MAJOR ADD 1/4 HR,"$4,023.03"
EMC,442100070,CV SURG MINOR 1 HR,"$11,283.79"
EMC,442100075,CV SURG MINOR ADD 1/4 HR,"$2,412.47"
EMC,442100080,ENT SURG MAJOR 1 HR,"$12,175.80"
EMC,442100085,ENT SURG MAJOR ADD 1/4 HR,"$3,020.08"
EMC,442100090,ENT SURG MINOR 1 HR,"$6,819.61"
EMC,442100095,ENT SURG MINOR ADD 1/4 HR,"$1,676.83"
EMC,442100100,OPTH SURG MAJOR 1 HR,"$14,730.91"
EMC,442100105,OPTH SURG MAJOR ADD 1/4 HR,"$4,223.31"
EMC,442100110,OPTH SURG MINOR 1 HR,"$8,811.33"
EMC,442100120,GYN SURG MAJOR 1 HR,"$16,176.67"
EMC,442100125,GYN SURG MAJOR ADD 1/4 HR,"$4,013.83"
EMC,442100130,GYN SURG MINOR 1 HR,"$9,877.13"
EMC,442100135,GYN SURG MINOR ADD 1/4 HR,"$2,441.94"
EMC,442100140,POD SURG MAJOR 1 HR,"$15,442.99"
EMC,442100145,POD SURG MAJOR ADD 1/4 HR,"$3,826.59"
EMC,442100150,POD SURG MINOR 1 HR,"$8,692.99"
EMC,442100155,POD SURG MINOR ADD 1/4 HR,"$2,147.41"
EMC,442100160,GYN C-SECTION MAJOR 1 HR,"$18,710.29"
EMC,442100165,GYN C-SECTION MAJOR ADD 1/4 HR,"$4,649.01"
EMC,442100170,GENERAL SURG MAJOR 1 HR,"$16,774.27"
EMC,442100175,GENERAL SURG MAJOR ADD 1/4 HR,"$3,588.41"
EMC,442100180,GENERAL SURG MINOR 1 HR,"$8,728.27"
EMC,442100185,GENERAL SURG MINOR ADD 1/4 HR,"$2,153.52"
EMC,442100250,TRANSF BLOOD OR BLD COMP,"$3,264.26"
EMC,442300020,OPEN HEART SURG 1 HR,"$47,566.59"
EMC,442300025,OPEN HEART SURG ADD 1/4 HR,"$3,802.90"
EMC,442700005,RECOVERY ROOM; 1 HOUR,"$2,727.27"
EMC,442700010,RECOVERY ROOM; ADD 1/4 HR,$689.91
EMC,442700020,BLOOD TRANSFUSION SERVICE,"$3,264.26"
EMC,442700025,BLOOD PATCH,"$3,175.65"
EMC,443000015,BLOOD TRANSFUSION,"$2,881.78"
EMC,443000040,SPINAL PUNCTURE LUMBAR,"$1,893.98"
EMC,443000045,INJ EPI OF BLOOD/CLOT PATCH,"$2,242.88"
EMC,443000048,IV INFUSION 1HR,"$1,724.51"
EMC,443000049,IV INFUSION ADD HR,$866.85
EMC,443000050,IV INFUSION 1HR,"$2,140.46"
EMC,443000055,IV INFUSION ADD HR,"$1,075.94"
EMC,443000056,IV INF DIFF DRUG 1HR ADD ON,$877.56
EMC,443000060,INJECTION; SC/IM,$467.63
EMC,443000065,INJECTION; ANTIBIOTICS IM,$376.76
EMC,443000066,IV THER/PROPH/DX INJ PUSH INIT,$509.58
EMC,443000067,IV THER/PROPH/DX INJ ADD ON,$644.42
EMC,443000070,THERAPEUTIC PHLEBOTOMY,"$1,781.98"
EMC,443000075,CRYOTHERAPY,"$2,433.82"
EMC,443000107,CHEMO IV INF 1ST HOUR,"$3,218.92"
EMC,443000108,CHEMO IV INF ADDL HOUR,"$1,605.25"
EMC,443000110,IRRIG DRUG DELIVERY DEVICE,"$1,566.31"
EMC,445000005,PICC INSERTION 5 YRS OR OLDER,"$3,993.87"
EMC,445000015,INJ ANES AGT LUMBAR/THORACIC,"$2,244.05"
EMC,445000025,CATH PICC 5 FR,"$1,339.94"
EMC,445000030,CATH PICC 4 FR,"$1,155.12"
EMC,445000033,CATH PICC POWER KIT,"$3,507.93"
EMC,445000035,ANES GEN-EACH HR,"$2,990.53"
EMC,445000040,ANES GEN-ADD 1/4 HR,$706.30
EMC,445000045,ANES LOCAL MAJOR 1 HR,"$1,727.56"
EMC,445000050,ANES LOCAL MAJOR ADD 1/4 HR,$532.26
EMC,445000055,ANES LOCAL MINOR 1 HR,$869.00
EMC,445000060,ANES LOCAL MINOR ADD 1/4 HR,$260.17
EMC,445000075,ANES CAUD-EPDRL SPNL 1 HR,"$2,635.09"
EMC,445000080,ANES CAUD-EPDRL SPNL 1/4 HR,$686.63
EMC,445000090,ANES NEUROAXIAL LABOR,"$1,484.05"
EMC,445000095,DECLOT VASC ACCESS DEVICE/CATH,"$2,560.73"
EMC,445000097,DECLOT VASC ACCESS DEVICE/CATH,"$2,959.18"
EMC,445000105,PICC REPLACEMENT,"$9,855.74"
EMC,445000900,US GUIDED IV STARTS,$0.00
EMC,445000905,US GUIDED PICC,$0.00
EMC,447000014,PLT T 4H HEAD/4H SHFT 3.5X56MM,"$3,082.23"
EMC,447000016,EXPNDR TISS STY 133 TAB 400CC,"$12,809.92"
EMC,447000017,IMP BRST NATRELL GEL RND 450CC,"$7,809.92"
EMC,447000018,SYS SPEEDBRDG BIOSWVL TP PNCH,"$13,223.14"
EMC,447000019,PRB ABL SERFAS HOOK XL BND 3.5,"$2,539.36"
EMC,447000021,CATH HEMODIALYSIS SHORT TERM,"$5,477.06"
EMC,447000080,CS CATH DUAL TESIO 10FR R&L,"$5,191.01"
EMC,447000132,TISSUE LOCALIZATION/EXCISION,"$3,030.83"
EMC,447000133,TISSUE LOCALIZATION/EXCISION,"$2,597.84"
EMC,447000134,TISSUE LOCALIZATION/EXCISION,"$4,196.45"
EMC,447000145,CS FLOSEAL HEMOSTATIC SEALANT,"$2,142.39"
EMC,447000265,CS CATH HICKMAN DIALYSIS,"$3,438.16"
EMC,447000385,CS BIO CORKSCREWS,"$3,296.63"
EMC,447000390,CS BIO-SUTURE TAK ANCHORS,"$3,337.63"
EMC,447000405,CS BONE CHIP CANCELLOUS IMPLNT,"$15,687.07"
EMC,447000447,ESSURE PERMANENT BIRTH CONTROL,"$16,359.51"
EMC,447000550,CS GRAFT GELSEAL STR/DBL,"$8,536.43"
EMC,447000625,CS INTERCEED ABSORBABLE,"$3,278.87"
EMC,447000630,CS K WIRES/THREADED OR PL,$43.60
EMC,447000663,MAMMOSITE CAVITY EVAL DEVICE,"$1,412.61"
EMC,447000665,CS MANISCUS ARROW 1.1,"$2,213.15"
EMC,447000670,CS MARLEX MESH 6X6,"$1,948.38"
EMC,447000675,CS MARLEX MESH 1X4,"$1,619.47"
EMC,447000680,CS MARLEX MESH 2X4,"$1,397.38"
EMC,447000685,CS MARLEX MESH 10X14,"$3,264.43"
EMC,447000691,MESH IMPLANTABLE,"$2,664.97"
EMC,447000692,MESH IMPLANTABLE,"$2,692.39"
EMC,447000693,MESH IMPLANTABLE,"$2,529.43"
EMC,447000694,MESH IMPLANTABLE,"$2,529.43"
EMC,447000695,CS MESH BARD COMPOSIX 3X6,"$4,701.98"
EMC,447000700,CS MESH BARD COMPOSIX 6X8,"$10,296.55"
EMC,447000715,CS MESH KUGEL MED OVAL,"$10,296.55"
EMC,447000720,CS MESH MARLEX PERFIX PLUG LG,"$2,898.61"
EMC,447000725,CS MESH MARLEX PERFIX PLUG XL,"$3,649.13"
EMC,447000730,CS MESH MARLEX PREFIX PLUG MED,"$2,871.21"
EMC,447000735,CS MESH PRESHAPED #011271,"$1,699.60"
EMC,447000737,MESH IMPLANTABLE,"$1,148.61"
EMC,447000742,CS MINI MIIG 5CC,"$16,691.30"
EMC,447000796,CS NOVASURE ELECTRODE,"$12,367.38"
EMC,447000815,CS PACEMAKER LEAD INTRO,$742.91
EMC,447001155,CS PLATE TUBULAR ALL SIZE HOLE,$565.36
EMC,447001225,CS PORT HICKMAN SUBCLAVIN,"$4,944.93"
EMC,447001260,CS RUSH ROD,"$1,080.35"
EMC,447001280,SCREW 4.5MM CORTEX SELF TAP,$708.64
EMC,447001321,CS SCREW CANCELLOUS 4.0MM,$126.15
EMC,447001329,CS SCREW CANN 7.0 30MM-130MM,"$2,730.75"
EMC,447001435,CS SCREW INTERF TITANIUM,"$1,705.42"
EMC,447001525,CS SPOON BOBBIN VENT TUBES,"$1,124.50"
EMC,447001530,CS STEINMAN PIN PL EACH,$565.31
EMC,447001535,CS STEINMAN PIN THREADED EA,$174.44
EMC,447001605,CS T-TUBE MODIFIED,$342.65
EMC,447001610,CS TUBE SHECHY TYPE (COLLAR B,$948.90
EMC,447001622,PORT; INDWELLING; IMP,"$8,364.14"
EMC,447001650,DIALYSIS QUINTON CATH,$618.57
EMC,447001710,TISSEEL FIBRIN SEALANT 2ML,"$2,233.39"
EMC,447001745,STAPLER LINEAR 30MM PROXIMATE,"$1,211.31"
EMC,447001746,STAPLER LINEAR 60MM PROXIMATE,"$1,088.15"
EMC,447001747,STAPLER LINEAR 90MM PROXIMATE,"$1,238.02"
EMC,447001748,STAPLER CIRCULAR EEA CDH25,"$2,772.64"
EMC,447001749,STAPLER CIRCULAR CDH33,"$4,029.03"
EMC,447001750,STAPLER LINEAR RELOAD 30M,$780.02
EMC,447001751,"STAPLER, RELOAD CONTOUR CURV","$4,034.14"
EMC,447001752,STAPLER CONTOUR CURVED 3.5MM,"$7,169.82"
EMC,447001753,STAPLER RLD CONTOUR CURV 3.5,"$2,541.35"
EMC,447001754,STAPLER ROTICULATOR 30-4.8,"$8,030.82"
EMC,447001756,STAPLER ROTICULATOR 55,"$5,273.83"
EMC,447001757,STAPLER LINEAR CUTTER TLC75,"$1,660.82"
EMC,447001758,STAPLER LINEAR CUTTR RLD TCR75,$885.61
EMC,447001759,STAPLER LINEAR CUTTR RLD TRT75,"$1,149.64"
EMC,447001760,STAPLER PROXIMATE CUTTER 75MM,$651.96
EMC,447001761,STAPLER PROXIMATE CUTTER 55MM,$557.19
EMC,447001762,"STAPLER, RELOAD ECHELON 35","$2,126.62"
EMC,447001763,"STAPLER, ECHELON 35","$4,390.47"
EMC,447001764,STAPLER MULTI PURSE,"$2,919.90"
EMC,447001765,DVC LAP GELPORT W RETR,"$7,861.56"
EMC,447001766,"KIT, QUAD TRANSDUCER W/ VAMP",$876.61
EMC,447003002,CAPIO SUTURE,$442.18
EMC,447003003,CAPSULAR TENSION RING CTR,"$2,922.82"
EMC,447003004,ENDO STITCH 2-0 7,"$1,192.94"
EMC,447003008,GOODE T-TUBE RICHARD,$309.94
EMC,447003036,HICKMAN SINGLE LUMEN CV 9 6FR,"$2,005.95"
EMC,447003043,"MESH COMPOSIX 4.5 X 11.4""","$8,304.38"
EMC,447003044,"MESH COMPOSIX 8.2 X 10.2""","$13,803.76"
EMC,447003045,MESH COMPOSIX KUGEL SMALL OVL,"$7,917.09"
EMC,447003049,MESH KUGEL LG OVAL 14CMX18CM,"$10,906.54"
EMC,447003050,MESH KUGEL SM CIRCLE 8CMX8CM,"$6,359.63"
EMC,447003056,MESH VKM-L VICRYL,"$7,464.28"
EMC,447003119,PLATE MINI RIGHT,$387.80
EMC,447003143,REAMER CORING,"$2,942.04"
EMC,447003145,SCREW ACUFEX 7MM-9MM,"$1,625.98"
EMC,447003146,SCREW BIO-INTERF RND HD,"$2,107.24"
EMC,447003150,SCREW CANNULATED 3.5 10MM-50MM,"$2,241.18"
EMC,447003151,SCREW CANNULATED 16,"$3,382.82"
EMC,447003152,SCREW CANNULATED 32MM,"$2,839.25"
EMC,447003153,SCREW CANN 16 50MM-95MM,"$2,730.22"
EMC,447003154,SCREW CANN 16 100MM-130MM,"$2,839.25"
EMC,447003161,SCREW DELTA,"$2,879.74"
EMC,447003167,STENT CONTOUR 6x22-30,$968.13
EMC,447003168,STENT PERCUFLEX PLUS 4.8 22-24,"$1,638.76"
EMC,447003169,STENT SINGLE J 7FR X 80CM,"$3,236.40"
EMC,447003172,TRANSTIBIAL ACL KIT W/SAW BLA,"$3,179.25"
EMC,447003174,TUBE VENT DONALDSON,$169.76
EMC,447003181,VITRECTOMY KIT INFINITI,"$2,710.56"
EMC,447003190,SCREW CANCELLOUS 4.0MM THRD,$232.05
EMC,447003193,AQUAMANTYS 6.0 BIPOLAR SEA,"$9,326.09"
EMC,447003196,CATH; DUAL TESIO 10FR. LEF,"$5,268.87"
EMC,447003197,CATH; SPLIT ASH 16FR,"$4,878.59"
EMC,447003198,CEMENT RESTRICTORS STRYKER,"$2,375.13"
EMC,447003207,LAP BAND LARGE LOW PROFILE,"$23,022.38"
EMC,447003208,LAP BAND LARGE SIZE,"$23,022.38"
EMC,447003210,LAP BAND STANDARD SIZE,"$23,022.38"
EMC,447003212,MESH; COMPOSIX L/P 10.2 X,"$13,553.03"
EMC,447003214,MESH; VENTRALEX LARGE CS/2,"$9,461.57"
EMC,447003215,MESH; VENTRALEX MEDIUM CS/,"$7,139.39"
EMC,447003216,MESH; VENTRALEX SMALL CS/2,"$5,511.68"
EMC,447003222,PERIPHERAL GRAFT HEPRIN TH,"$13,484.49"
EMC,447003223,PERIPHERAL GRAFTS HEPRIN T,"$21,013.26"
EMC,447003225,PERIPHERAL GRAFTS HEPRIN T,"$21,237.52"
EMC,447003235,QUINTON MAHURKAR 3-LUMEN 1,"$1,879.85"
EMC,447003287,SLING; MINI ARC,"$23,354.33"
EMC,447003288,T-TUBE MODIFIED RICHARDS,$364.44
EMC,447003290,VASCULAR PATCH 0.8CM X 8,"$1,799.73"
