MNEMONIC,DESCRIPTION, STD.CHARGE 
301399211,URO EXAM EST PT MINIMAL (5), $125.00 
301399212,URO EXAM EST PT MINOR (10), $156.00 
301399213,URO EXAM EST PT LOW (15), $188.00 
301399214,URO EXAM EST PT MODERATE (25), $221.00 
301399215,URO EXAM EST PT HIGH (40), $280.00 
301500230,BLOOD ADMIN 0-3 HRS," $1,046.00 "
301500240,BLOOD ADMIN >6 HRS," $1,737.00 "
301500258,CHEMO IV PUSH ADDL, $141.00 
301500302,CONSCIOUS SEDATION INITAL 30M, $671.00 
301500306,ADDL SEQUENTIAL IV PB, $239.00 
301500307,INFUSION THERAPY 1ST HOUR, $679.00 
301500308,HYDRATION IV 1ST HR, $275.00 
301500309,INFUSION THERAPY ADD'L HRS, $455.00 
301500310,HYDRATION EA ADDL HR, $138.00 
301501140,NTSICU CRITICAL CARE ROOM," $17,368.00 "
301501330,NTSICU-TCU BOARDER," $12,933.00 "
301501410,NTSICU-M/S BOARDER," $4,652.00 "
301507100,BEDSIDE PROCEDURE OTPT ONLY," $1,801.00 "
301580090,TRAUMA OBSERVATION / HR, $677.00 
301590782,IM/SQ INJECTION, $65.00 
301590784,INITIAL IVP INJECTION, $212.00 
301590785,IV INJECTION ADD'L SEQUENTIAL, $55.00 
301596368,CONCURRENT IVP MED INFUSION, $75.00 
301596375,ADDL PUSH NEW IVP MED, $55.00 
301596376,ADDL PUSH SAME IVP MED, $62.00 
303000230,BLOOD ADMIN 0-3 HR," $1,625.00 "
303000235,BLOOD ADMIN 3-6 HR," $1,521.00 "
303000240,BLOOD ADMIN >6 HR," $2,349.00 "
303000306,SEQUENTIAL IV PB, $239.00 
303000307,INFUSION THERAPY 1ST HOUR, $679.00 
303000308,HYDRATION IV 1ST HR, $275.00 
303000309,INFUSION THERAPY EA ADDL HR, $455.00 
303000310,HYDRATION IV EA ADDL HR, $138.00 
303002130,CVU ROOM," $12,933.00 "
303002410,CVU MED SURG BOARDER," $4,652.00 "
303010055,TELEMETRY, $65.00 
303080050,CVU OBSERVATION PER HR, $504.00 
303090782,IM INJECTION, $86.00 
303090784,IV INJECTION, $212.00 
303090785,IV INJECTION ADDL SEQUENTIAL, $55.00 
303090788,INJ SC/IM TX-DX-PROPH, $65.00 
303096368,CONCURRENT IVP MED INFUSION, $75.00 
303096375,ADDL PUSH NEW IVP MED, $55.00 
303096376,ADDL PUSH SAME IVP MED, $62.00 
304000230,BLOOD ADMIN 0-3 HR," $1,625.00 "
304000235,BLOOD ADMIN 3-6 HR," $1,521.00 "
304000240,BLOOD ADMIN >6 HR," $2,349.00 "
304000306,SEQUENTIAL IV PB, $239.00 
304000307,INFUSION THERAPY 1ST HOUR, $679.00 
304000308,HYDRATION IV 1ST HR, $275.00 
304000309,INFUSION THERAPY EA ADDL HR, $455.00 
304000310,HYDRATION IV EA ADDL HR, $138.00 
304002130,TCU ROOM," $12,933.00 "
304002410,TCU MED SURG BOARDER," $4,652.00 "
304010055,TELEMETRY, $65.00 
304080050,TCU OBSERVATION PR HR, $504.00 
304090782,IM INJECTION, $65.00 
304090784,IV INJECTION, $212.00 
304090785,IV INJECTION ADDL SEQUENTIAL, $55.00 
304090788,INJ SC/IM TX-DX-PROPH, $65.00 
304096368,CONCURRENT IVP MED INFUSION, $75.00 
304096375,ADDL PUSH NEW IVP MED, $55.00 
304096376,ADDL PUSH SAME IVP MED, $62.00 
307000020,AABR HEARING SCREEN, $308.00 
307000306,SEQUENTIAL IV PB, $239.00 
307000308,HYDRATION IV 1ST HR, $275.00 
307000310,HYDRATION ADDL HR, $138.00 
307007100,MINOR SURGERY," $2,283.00 "
307030225,HABERMAN FEEDER, $66.00 
307046000,SPECIAL CARE NURSERY," $5,642.00 "
307047000,NEWBORN LIC NURSERY NIC 4," $9,127.00 "
307048000,NORMAL NEWBORN," $2,589.00 "
307080010,NICU OBSERVATION / HR, $356.00 
307090785,IV INJECTION ADD'L SEQUENTIAL, $55.00 
317100035,INJECTION PNEUMONIA VACC, $56.00 
317100230,BLOOD ADMIN 0-3 HRS," $1,145.00 "
317100235,BLOOD ADMIN 3-6 HR," $2,058.00 "
317100240,BLOOD ADMIN >6 HR," $2,055.00 "
317100255,CHEMOTHERAPY-SIMPLE, $478.00 
317100257,CHEMO CHEMO IV PUSH, $205.00 
317100258,CHEMO CHEMO IV PUSH ADD'L, $141.00 
317100260,CHEMOTHERAPY-SIMPLE-CX, $945.00 
317100265,CHEMOTHERAPY-INFUSION 0-1 HR, $589.00 
317100266,CHEMOTHERAPY ADD'L HRS, $648.00 
317100267,CHEMOTHERAPY ADD'L SEQUNTIAL, $327.00 
317100306,SEQUENTIAL IV PB, $239.00 
317100307,INFUSION THERAPY 1ST HOUR, $679.00 
317100308,HYDRATION IV 1ST HR, $275.00 
317100309,INF THERAPY ADD'L HRS, $455.00 
317100310,HYDRATION IV EA ADDL HR, $138.00 
317100390,RECOVERY, $276.00 
317107100,MINOR SURGERY," $1,994.00 "
317111000,3RD MED SURG ACUTE ROOM," $4,652.00 "
317119050,3RD MED/SURG LEVEL 2 ROOM," $4,652.00 "
317154000,3RD PEDIATRIC ROOM," $4,802.00 "
317180000,3RD FL OBSERVATION / HR, $182.00 
317190782,IM INJECTION, $65.00 
317190784,INITAL IVP INJECTION, $212.00 
317190785,IV INJECTION ADD'L SEQUENTIAL, $55.00 
317196368,CONCURRENT IVP MED INFUSION, $75.00 
317196375,ADDL PUSH NEW IVP MED, $55.00 
317196376,ADDL PUSH SAME IVP MED, $62.00 
317300230,BLOOD ADMIN 0-3 HRS," $1,625.00 "
317300235,BLOOD ADMIN 3-6 HR," $2,058.00 "
317300240,BLOOD ADMIN >6 HR," $2,574.00 "
317300255,CHEMO IM/SQ NON HOR/ANTI NEO, $591.00 
317300257,CHEMO CHEMO IV PUSH, $205.00 
317300258,CHEMO CHEMO IV PUSH ADD'L, $141.00 
317300260,CHEMOTHERAPY-SIMPLE-CX, $945.00 
317300265,CHEMO INFUSION 1ST HR, $872.00 
317300266,CHEMOTHERAPY ADD'L HRS, $961.00 
317300267,CHEMOTHERAPY ADD'L SEQUNTIAL, $327.00 
317300285,CHEMOTHERAPY-INFUSION 0-1 HR-C," $1,171.00 "
317300286,CHEMOTHERAPY ADD'L HRS - CX, $957.00 
317300306,SEQUENTIAL IV PB, $239.00 
317300307,INFUSION THERAPY 1ST HOUR, $679.00 
317300308,HYDRATION IV 1ST HR, $275.00 
317300309,INFUSION THERAPY ADD'L HRS, $455.00 
317300310,HYDRATION IV EA ADDL HR, $138.00 
317300390,RECOVERY, $302.00 
317307100,BEDSIDE PROCEDURE OTPT ONLY," $1,644.00 "
317313000,4TH M/S ACUTE ROOM," $4,652.00 "
317336569,PICC LINE INSERTION," $3,500.00 "
317354000,4TH PEDIATRIC ROOM," $4,802.00 "
317380020,M/S ONCOLOGY OBSERVATION / HR, $182.00 
317390782,IM INJECTION, $65.00 
317390784,INITIAL/SINGLE IVP INJECTION, $212.00 
317390785,IV INJECTION ADDL SEQUENTIAL, $55.00 
317390786,IV INJ EA ADDL SEQ SAME RX, $62.00 
317396375,ADDL PUSH NEW IVP MED, $55.00 
317396376,ADDL PUSH SAME IVP MED, $62.00 
317500121,SOUTH WING MED SURG," $4,652.00 "
317580010,STH WING OBSERVATION / HR, $182.00 
317800230,BLOOD ADMIN 0-3 HR," $1,625.00 "
317800235,BLOOD ADMIN 3-6 HR," $2,058.00 "
317800240,BLOOD ADMIN >6 HRS," $2,574.00 "
317800306,SEQUENTIAL IV PB, $239.00 
317800307,INFUSION THERAPY 1ST HR, $679.00 
317800308,HYDRATION IV 1ST HR, $275.00 
317800309,INFUSION THERAPY EA ADDL HR, $455.00 
317800310,HYDRATION IV EA ADDL HR, $138.00 
317812000,MED/SURG OVERFLOW ROOM," $4,652.00 "
317880010,OBSERVATION M/S OVRFLW PER HR, $182.00 
317890782,IM/SQ INJECTION, $65.00 
317890784,IV INJECTION, $212.00 
317890785,ADDL IVP NEW MED, $55.00 
317896368,CONCURRENT IVP MED INFUSION, $75.00 
317896375,ADDL PUSH NEW IVP MED, $55.00 
317896376,ADDL PUSH SAME IVP MED, $62.00 
317900230,BLOOD ADMIN 0-3 HR," $1,625.00 "
317900235,BLOOD ADMIN 3-6 HR," $2,058.00 "
317900240,BLOOD ADMIN >6 HR," $2,574.00 "
317900257,CHEMO CHEMO IV PUSH, $205.00 
317900258,CHEMO CHEMO IV PUSH ADD'L, $141.00 
317900265,CHEMO INUFSION 1ST HR, $589.00 
317900267,CHEMO ADDL SEQUENTIAL NEW MED, $327.00 
317900306,SEQUENTIAL IV PB, $239.00 
317900307,INFUSION THERAPY 1ST HOUR, $679.00 
317900308,HYDRATION IV 1ST HR, $275.00 
317900309,INFUSION THERAPY EA ADDL HR, $455.00 
317900310,HYDRATION IV EA ADDL HR, $138.00 
317900390,RECOVERY, $227.00 
317902410,DCU FIRST FLOOR," $12,933.00 "
317907100,BEDSIDE PROCEDURE OTPT ONLY, $828.00 
317912000,MED NEURO ACUTE ROOM," $4,652.00 "
317969000,AMB SERV MED NEURO LVL 1," $4,652.00 "
317980010,MEDICAL EAST OBSERVATION / HR, $182.00 
317990782,IM/SQ INJECTION, $65.00 
317990784,IV INJECTION, $212.00 
317990785,ADDL IVP NEW MEDD, $55.00 
317996368,CONCURRENT IVP MED INFUSION, $75.00 
317996375,ADDL PUSH NEW IVP MED, $55.00 
317996376,ADDL PUSH SAME IVP MED, $62.00 
317999218,OBSERVATION PER HR, $182.00 
329016000,PEDIATRIC ROOM (4TH)," $4,802.00 "
329051000,PED MED/SURG ACUTE ROOM," $4,652.00 "
329052000,OBSTETRICS ROOM (4TH FLOOR)," $4,652.00 "
329080030,4TH FLOOR OBSERVATION EA HR, $182.00 
334070500,BEHAVIORAL HEALTH ROOM," $5,501.00 "
334570500,BEHAVIORAL HEALTH ROOM-PSYCHNE," $5,501.00 "
338000306,SEQUENTIAL IV PB, $239.00 
338000307,INFUSION THERAPY 1ST HOUR, $679.00 
338000308,HYDRATION IV 1ST HR, $275.00 
338000309,INFUSION THERAPY ADD'L HRS, $455.00 
338000370,RECOVERY PHASE II," $1,085.00 "
338000380,RECOVERY PHASE III / HR, $148.00 
338007100,MINOR SURGERY," $1,614.00 "
338052000,OBSTETRICS ROOM," $4,652.00 "
338052010,OBSTETRICS ROOM - ACTIVE LDR," $4,652.00 "
338053000,OB MED/SURG ACUTE ROOM," $4,652.00 "
338057000,OB PEDIATRIC ROOM," $4,802.00 "
338080040,OB OBSERVATION / HR, $182.00 
338090782,IM INJECTION, $65.00 
338090784,IV INJECTION, $212.00 
338090785,IV INJECTION ADD'L SEQUENTIAL, $55.00 
344030500,REHAB ACUTE ROOM," $5,200.00 "
344030800,MED SURG OVERFLOW BED," $4,652.00 "
353000005,CIRCUMCISION NB OUTPT ONLY, $488.00 
353000011,TREATMENT ROOM, $154.00 
353000020,AABR HEARING SCREEN, $333.00 
353000030,HUMAN MILK CUSTOM ORDER PER OZ, $6.50 
353007100,MINOR SURGERY," $1,946.00 "
353010010,CIRC ROOM PER 1/2 HR, $488.00 
353022000,NORMAL NEWBORN," $2,589.00 "
353041010,FRENOTOMY, $75.00 
353057000,NURSERY PEDIATRICS," $4,802.00 "
353065000,CONTINUING CARE NRSY - C," $4,137.00 "
353080080,NEWBORN OBSERVATION / HR, $182.00 
353099212,NB CLINIC VISIT LVL 2, $99.00 
390599221,INITIAL HOSP CARE LOW COMPLX, $137.00 
390599222,INITIAL HOSP CARE MOD COMPLX, $185.00 
390599223,INITIAL HOSP CARE HIGH COMPLX, $273.00 
390599231,SUBSQ HOSP CARE LOW COMPLX, $53.00 
390599232,SUBSQ HOSP CARE MOD COMPLX, $98.00 
390599233,SUBSQ HOSP CARE HIGH COMPLX, $141.00 
390599251,INPT CONSULT PROBLEM FOCUSED, $65.00 
390599252,INPT CONSULT EXPANDED, $101.00 
390599253,INPT CONSULT LOW COMPLX, $154.00 
390599254,INPT CONSULT MOD COMPLX, $222.00 
390599255,INPT CONSULT HIGH COMPLX, $299.00 
390599356,PROLONGED SVC 1ST HR, $125.00 
390599357,PROLONGED SVC EA ADD 30 MIN, $124.00 
401000085,LEGAL BLOOD DRAW, $237.00 
401000220,IMMUNIZATION ADMINISTRATION, $107.00 
401000230,INFUSION THERAPY ER 1ST HR," $1,200.00 "
401000231,INFUSION THERAPY ER EA ADDL HR, $469.00 
401000240,BLOOD ADMIN 1-2 HRS ER," $1,787.00 "
401000260,BLOOD ADMIN 2-4 HRS," $1,943.00 "
401000263,HYDRATION IV EA ADDL HR, $408.00 
401000270,IV PUSH TX-DX-PRO INITIAL - ED, $212.00 
401000271,IV PUSH ADDL SEQNTL NEW RX ER, $55.00 
401000278,IM INJECTION - ANTIBIOTIC, $65.00 
401000280,ED TETANUS VACCINE-IM, $91.00 
401000290,ED IM/SQ INJECTION, $65.00 
401000300,OBSERVATION, $182.00 
401000310,M/S ACUTE ROOM," $4,652.00 "
401000320,DCU ROOM," $12,933.00 "
401000330,ICU/CCU CRITICAL CARE ROOM," $17,368.00 "
401000340,OBSTETRICS ROOM," $4,652.00 "
401000350,PEDIATRIC  ROOM," $4,802.00 "
401000360,PSYCHIATRIC ROOM," $5,501.00 "
401000400,SPLINT APPLICATION MINOR, $328.00 
401000405,SPLINT APPLICATION MODERATE, $531.00 
401000410,SPLINT APPLICATION COMPLEX, $727.00 
401001100,ER EXAM LEVEL 1 CARE, $538.00 
401002000,ER EXAM LEVEL 2 CARE, $897.00 
401002100,ER EXAM LEVEL 3 CARE," $2,219.00 "
401003100,ER EXAM LEVEL 4 CARE," $3,785.00 "
401004100,ER EXAM LEVEL 5 CARE," $5,244.00 "
401006100,ER TRAUMA CARE," $14,711.00 "
401006200,ER CRITICAL CARE," $10,286.00 "
401007410,ER PROCEDURE LEVEL 1, $162.00 
401007420,ER PROCEDURE LEVEL 2, $355.00 
401007430,ER PROCEDURE LEVEL 3, $574.00 
401007440,ER PROCEDURE LEVEL 4, $786.00 
401007450,ER PROCEDURE LEVEL 5," $1,177.00 "
401007460,ER PROCEDURE LEVEL 6," $1,755.00 "
401007470,ER PROCEDURE LEVEL 7," $2,488.00 "
401007480,ER PROCEDURE LEVEL 8," $4,344.00 "
401007490,ER PROCEDURE LEVEL 9," $7,897.00 "
401007510,ER CARDIOVERSION," $2,042.00 "
401009612,CATH SPECIMEN COLLECTION, $43.00 
401010059,ER I&D ABSC/CYST, $786.00 
401010060,ER I&D ABSC/SYST SMPL, $414.00 
401010061,ER I&D ABSC/CYST CMPLX, $786.00 
401010080,ER I&D PIL/CYST SMPL, $414.00 
401010081,ER I&D PIL/CYST CMPLX," $2,796.00 "
401010120,ER REMOVAL FB SQ, $786.00 
401010121,ER I&D FB SQ CX," $2,488.00 "
401010140,ER I&D HEMATOMA," $2,796.00 "
401010160,ER PUNCTURE ABSC, $786.00 
401010180,ER I&D POSTOP WOUND," $4,379.00 "
401011000,ER DEBRIDE UP TO, $574.00 
401011001,ER DEBRIDE EA ADDL, $574.00 
401011010,ER DEBRIDE SKIN AT FX SITE," $1,200.00 "
401011042,ER DEBRIDE SQ, $786.00 
401011055,ER PAR/CUR 1 LESION, $355.00 
401011056,ER PAR/CUR 24 BENIGN LESION, $574.00 
401011057,ER PAR/SUR 5+ BENIGN, $786.00 
401011200,ER REMOVAL OF SKIN TAGS, $574.00 
401011306,ER SHAVE LESION 0.6-1.0 CM, $418.00 
401011400,ER EXCISE B9 LESN TAL <0.5," $1,886.00 "
401011402,ER EXC B9 LESION TAL 1.1-2 CM," $1,886.00 "
401011420,ER EXCISE B9 LESN SNHFG <.5," $1,500.00 "
401011730,ER AVULSION NAIL PLATE, $355.00 
401011732,ER AVULSE NAIL PLATE EA ADDL, $355.00 
401011740,ER EVAC SUBUNGUAL HEMATOMA, $355.00 
401011750,ER EXCISION NAIL PERMANENT, $943.00 
401011760,ER REPAIR NAIL BED," $1,013.00 "
401011765,ER WEDGE EXCISN INGRWN NL, $261.00 
401012001,ER WOUND REPAIR <=2.5, $574.00 
401012002,ER WOUND REPAIR 2.6-7.5, $574.00 
401012004,ER WOUND REPAIR 7.6-12.5, $574.00 
401012005,ER WOUND REPAIR 12.5-20.0, $574.00 
401012006,ER WOUND REPAIR 20.1-30.0, $574.00 
401012007,ER WOUND REPAIR >30.0, $798.00 
401012011,ER WOUND REPAIR FACE <=2.5, $574.00 
401012013,ER WOUND REPAIR FACE 5.1-7.5, $574.00 
401012014,WOUND REPAIR FACE 5.1-7.5, $574.00 
401012015,ER WOUND REPAIR FACE 7.6-12.5, $574.00 
401012016,ER WOUND REPAIR FACE 12.6-20.0, $574.00 
401012017,ER WOUND REPAIR FACE 20.1-30.0, $574.00 
401012018,ER WOUND REPAIR FACE >30.0, $574.00 
401012020,ER WOUND DEHISCENCE SIMPLE, $574.00 
401012021,ER WOUND DEHISCENCE W/PACK, $574.00 
401012031,ER SUT DBL S/A/T/E 2, $667.00 
401012032,ER SUT DBL S/A/T/E 2.6-7.5, $667.00 
401012034,ER SUT DBL S/A/T/E 7.6-12.5, $667.00 
401012035,ER STUB DBL S/A/T/E 12.6-20.0, $786.00 
401012036,ER SUT DBL S/A/T/E 20.0-30, $786.00 
401012037,ER SUTURE >30CM INTERMED," $1,700.00 "
401012041,ER SUT DBL N/HN/FT GYN 2.5, $574.00 
401012042,ER SUT DBL NHFG 2.6-7.5, $667.00 
401012044,ER SUT DBL NHFC 7.6-12.5, $667.00 
401012045,ER SUT DBL NHFG 12.6-20.0, $667.00 
401012046,ER STU DBL NHFG 20.1-30.0, $667.00 
401012047,ER SUT INTRMD >30CM," $1,266.00 "
401012051,ER SUT DBL FACE 2.5, $667.00 
401012052,ER SUT DBL FACE 2.6-5.0, $667.00 
401012053,ER SUT DBL FACE 5.1-7.5, $667.00 
401012054,ER SUT DBL FACE 7.6-12.5, $574.00 
401012055,ER SUT DBL FACE 12.5-20.0, $667.00 
401012056,ER SUT 20.1-30.0 REP INTERMED, $574.00 
401012057,ER SUTURE >30 REPAIR INTERMED, $667.00 
401013100,ER S.A.R.T. EXAM #," $1,167.00 "
401013101,ER SUT C/TRNK 2.6-7.5," $1,265.00 "
401013102,ER SUT C/TRNK ADD  5CM, $786.00 
401013120,ER SUT C/SCP/ARM/LG 1.12," $1,265.00 "
401013121,ER SUT C/SCP/ARM/LG 2.67," $1,265.00 "
401013122,ER SUT C/SCP/ARM/LG ADD 5CM, $786.00 
401013131,ER SUT C/NHFG 1.12," $1,265.00 "
401013132,ER SUT C/NHFG 2.6-7.5," $1,265.00 "
401013133,ED RPR CMPX EA ADDL 5CM, $975.00 
401013151,ER SUT C/EYE/NOSE/EAR," $1,265.00 "
401013152,ER SUT 2.5-7.6 C/EYE/NOSE/EAR," $1,265.00 "
401013160,ER SECOND CLOSE DEHI EXTCOMP," $6,310.00 "
401016000,ER BURN INITIAL TX 1ST DEGREE, $574.00 
401016020,ER BURN DRG/DEB SMALL, $355.00 
401016025,ER BURN DRG//DE MEDIUM, $630.00 
401016030,ER BURN LARGE, $786.00 
401017110,ER DRESTRUCT B9 LESN 1-14, $536.00 
401019000,ER PUNC/ASP BREAST CYST," $1,053.00 "
401020005,ER I&D SOFT TISS ABSCESS C," $4,344.00 "
401020100,ER PENETRATING WOUND EXPLORE," $4,344.00 "
401020101,ER PEN WOUND EXP CHEST," $4,344.00 "
401020102,ER PEN WOUND EXP ABD/FLAN/BACK," $4,344.00 "
401020103,ER PEN WOUND EXP EXTREMITY," $4,344.00 "
401020520,ER REM FB/MUSCLE SIMPLE," $1,200.00 "
401020525,ER REM FB/MUSCLE COMPLEX," $2,720.00 "
401020550,ER TRIGGER PT, $786.00 
401020551,ER INJ SINGLE TENDON, $786.00 
401020552,ER TRIGGER PNT INJ 1-2 MSCL, $591.00 
401020600,ER AS/INJ JNT SM JOINT, $786.00 
401020605,ER AS/INJ JNT INTER JOINT, $786.00 
401020610,ER ASP/INJ MAJOR JOINT, $786.00 
401021310,ER FX NOSE, $355.00 
401021315,ER NASAL BONE FX CARE W/STA," $1,986.00 "
401021320,ER FX NOSE CLSD STABLZD*," $4,108.00 "
401021337,ER NASAL SEPTAL FX CARE," $3,906.00 "
401021400,ER FX ORBIT CLSD W/O M," $1,706.00 "
401021480,ER MANDIBLE REDUCTION, $786.00 
401021820,ER STERNUM FX CARE, $574.00 
401022305,ER VERT PROC FX CARE, $531.00 
401022310,ER FX TX CLSD VERT BDY W CAST, $588.00 
401023075,ER EXCISION SOFT TISS SHLDR," $3,745.00 "
401023500,ER FX CARE CLAVICLE, $574.00 
401023505,ER FX CARE CLAVICLE W/M," $2,354.00 "
401023520,ER RED STERNOCLAV DIS W/O," $3,237.00 "
401023525,ER RED STERNOCLAV DIS W/MA, $786.00 
401023540,ER RED A/C DIS W/O MAN, $786.00 
401023545,ER RED A/C DIS W/MAN, $786.00 
401023570,ER SCAP FX CARE W/O MAN, $786.00 
401023575,ER SCAP FX CARE W/MAN," $3,237.00 "
401023600,ER FX CARE HUMERUS, $531.00 
401023605,ER HUM FX CARE W/MAN," $2,354.00 "
401023620,ER FX HUMERUS CLSD, $842.00 
401023625,ER FX HUMERUS CLSD W/MANIP," $2,590.00 "
401023650,ER REDUC SHLDR, $786.00 
401023655,ER RED SHLDR DISLOC W/ANES," $3,235.00 "
401023665,ED CLSD SHLDR DIS/FX W/MAN," $3,237.00 "
401023675,ER TX SHLDR DISLOC W/MANIP," $3,237.00 "
401023931,ER DRNG ARM/ELBOW BURSA," $2,341.00 "
401024500,ER HUM SHAFT FX CARE W/O M, $574.00 
401024505,ER HUM SHAFT FX CARE W/MAN," $3,237.00 "
401024530,ER FX S/T CON HUMERAL CLSD, $545.00 
401024535,ER FX HUMERAL CLSD W MAN," $3,237.00 "
401024560,ER FX HUMERAL EPI WO MAN, $643.00 
401024576,ER FX HUMERAL CLSD, $703.00 
401024577,ER FX HUMERAL/COND W/MANIP," $3,237.00 "
401024600,ER RED DISL ELB, $786.00 
401024605,ER RED ELBOW DISLOC W/ANESTH," $3,235.00 "
401024640,ER/REDUC/RAD/S, $786.00 
401024650,ER FX CARE RADIAL HEAD, $786.00 
401024655,ER PROX RADIUS FX CARE W/M," $3,237.00 "
401024670,ER PROX ULNA FX CARE W/O M, $574.00 
401024675,ER FX OLECRON CLSDW/MANIP," $3,237.00 "
401025260,ER RPR TENDN/MSCL FOREARM/WRST," $7,263.00 "
401025500,ER RAD SHAFT FX CARE W/O MAN, $574.00 
401025505,ER RAD SHAFT FX CARE W/MAN," $3,237.00 "
401025530,ER ULN SHAFT FX CARE W/O MAN, $574.00 
401025535,ER ULN SHAFT FX CARE W/MAN, $574.00 
401025560,ER FX CARE RAD, $574.00 
401025565,ER FX CARE RAD/U," $3,237.00 "
401025600,ER FX CARE DISTAL RAD, $703.00 
401025605,ER DIST RAD FX CARE W/MAN," $3,237.00 "
401025622,ER FX CLSD CARPAL SCAPHOID, $588.00 
401025624,ER NAVICULAR FX CARE W/MAN," $3,237.00 "
401025630,ER FX CARPAL BONE, $545.00 
401025650,ER FX CARE ULNAR/STYLE, $574.00 
401025660,ER RED RADIOCARPAL DISL, $786.00 
401025675,ER RED RADIOULNAR DISL, $786.00 
401025690,ER DISLOC WRIST W/MAN," $3,625.00 "
401026010,ER I&D FING ABSC SIMPLE, $675.00 
401026011,ER I&D FINGER ABSC COMPLEX," $2,780.00 "
401026320,ER FX HUMERUS CLSD, $842.00 
401026410,ER EXT TEND RE," $4,344.00 "
401026418,RPR FINGER TENDON EA TC," $4,298.00 "
401026600,ER FX METACARPAL CLSD, $510.00 
401026605,ER BOXER'S FX REDUCTION, $703.00 
401026641,ER RED THUMB DISL, $703.00 
401026670,ER RED CAR/METCAR DIS W/O A, $786.00 
401026675,ER RED CAR/METCAR DISL W/AN," $3,237.00 "
401026700,ER RED METCAR/PHA DIS W/O AN, $786.00 
401026705,ER RED METCAR/PHAL DISL W/A," $3,237.00 "
401026720,ER FX CARE PHAL/PROX, $574.00 
401026725,ER FX CARE PHAL WITH MANIP, $574.00 
401026742,ER TREAT FINGER FX EA," $3,237.00 "
401026750,ER FX CARE PHAL/DISTA, $574.00 
401026755,ER DIS PHAL FX CAR W/MAN E, $574.00 
401026770,ER REDUC/INTERPHAL/W/M, $574.00 
401026775,ER RED IP DISL FING W/ANES," $1,913.00 "
401026951,ER AMP FINGER W DIRECT CLOSE," $4,074.00 "
401027193,ER FX PELVIC RING CLSD, $588.00 
401027200,ER FX COCCYXGEAL CLSD, $368.00 
