CDM Number,GENL-DESC,Price-1
80012,"IV PUSH EACH ADD,SAME >30 MIN",113.00
80013,"CHEMO ADMIN, SC/IM, NON-HOR",117.00
80014,"CHEMO ADMIN. SC/IM, HORMONAL",94.00
80015,"CHEMO ADMN, IV PUSH, SING/INIT",179.00
80016,"CHEMO ADMIN, IV PUSH, EA ADD",133.00
80017,"CHEMO, IV INFUS, UPTO 1 HR INI",286.00
80018,"CHEMO,IV INFUS, EA ADD HR",181.00
80019,"CHEMO IV INFUSN,> 8HR,PUMP",364.00
80020,CHEMO EA ADDL SEQ UP TO 1 HR,121.00
80021,CHEMO IA INFUSION >8 HR,286.00
80022,CHEMO CNS,286.00
80023,IRRIGATION OF VENOUS ACCESS DE,110.00
80024,PHLEBOTOMY THERAPEUTIC,99.00
80025,OT GROUP TX PROCEDURES,110.00
80026,"PSYCHOTX, 45 MIN INDIVID",282.00
80027,PSYCH TEST&REPORT PER HR,338.00
80028,PSYCH DIAGNOSTIC EVAL NON-MD,286.00
80029,NEUROPSYCH TEST & RPT PER HR,463.00
80030,GROUP PYSCHOTX NON-MULTI,135.00
80032,INFLUENZA VACCINE ADMIN,46.00
80033,ADMIN PNEUMOCOCCAL,54.00
80034,ADMIN HEPTATITIS B VACCINES,63.00
80037,COLLECTION BLOOD VAD,110.00
80038,COLLECTION BLOOD CVL/PICC,110.00
80039,DECLOTTING BY THROMB AGENT,262.00
80040,"CHEMO ADMIN INTRALESION,UP TO7",77.00
80041,TRANSFUSE BLOOD/COMP 0-2HR,509.00
80042,TRANSFUSE BLOOD/COMP 3-4HR,"1,018.00"
80043,TRANSFUSE BLOOD/COMP 5-6HR,"1,527.00"
80044,TRANSFUSE BLOOD/COMP 7-8HR,"2,036.00"
80045,TRANSFUSE BLOOD/COMP 9-10HR,"2,291.00"
80046,TRANSFUSE BLOOD/COMP 11+HR,"2,545.00"
80047,DIRECT REF OBSERVATION CARE,481.00
80048,MALE GENITAL SYSTEM UNLSTD,"1,854.00"
80049,BX RENAL NEEDLE PERC,"2,092.00"
80050,EYE EXAM W/FUNDUS PHOTO,148.00
80051,INTUBATION ENDOTRACHEAL,880.00
80052,INSERT GASTRO TUBE FLUORO,"2,117.00"
80053,CHANGE GASTROSTOMY TUBE,588.00
80054,BONE MARROW BIOPSY(IES); DIAG,"1,415.00"
80055,INSERT TEMP BLADDER CATH,157.00
80056,ABD PARACENTESIS WITH IMAGING,714.00
80057,THORACENTESIS W/IMAGING GUID,"1,208.00"
80058,"BRONCHOSCOPY, DIAGNOSTIC","2,386.00"
80059,BRONCHOSCOPY TRANSBRONCHIAL BX,"3,833.00"
80062,BRONCHOSCOPY/NEEDLE BIOPSY,"2,553.00"
80063,BRONCHOSCOPY DILATION,"3,212.00"
80064,"BRONCHOSCOPY, DILATE W/STNT","3,212.00"
80065,"BRONCHOSCOPY/LUNG BX, ADD'L",868.00
80066,NEG PRESS WOUND TX &LT;/=50 CM,223.00
80067,NEG PRESS WOUND TX >50 CM,426.00
80068,"SPINAL PUNCTURE, LUMBAR, DIAG","1,229.00"
90022,"URINE DIPSTICK,NON-AUTO,WO MIC",34.00
90023,URINE PREG TEST BY VISUAL COMP,64.00
90024,OCCULT BLOOD FECAL,53.00
90025,"BLOOD OCCULT,SNGL,DIGITAL EXAM",21.00
90026,NEBULIZER TX REPEAT,165.00
90027,NEBULIZER TX,165.00
90028,NEBULIZER/MDI TEACHING,201.00
90029,PULSE OXIMETRY SINGLE,90.00
90030,PULSE OXIMETRY MULTIPLE,219.00
90031,IV HYDRTN INIT 31-90MIN,291.00
90033,IV INFUSN INIT 16-90MIN,263.00
90034,"IV INFUSN, EA ADDL HR",172.00
90036,"IV INFUSN, CONCURRENT",126.00
90038,INJECTION IV SINGLE/INITIAL,229.00
90039,"INJECTION IV,NEW DRUG, EA A",216.00
90041,REPROGRAM SHUNT CSF,357.00
210011,ACTIVATED COAGULATION TIME,134.00
210033,ANESTHESIA EA MIN,29.00
210041,TEGCOAGULATION TIME ACTIVATED,134.00
210042,TEG FIBRINOGEN ACTIVITY,231.00
210043,TEG PLATLET AGGREGAT EA AGENT,255.00
210051,ECMO VENO-VENOUS INITIAL DAY,"4,519.00"
210052,ECMO VENO-ARTERIAL INITIAL DAY,"4,519.00"
210053,ECMO VENO-VENOUS  EA ADD'L DAY,"3,664.00"
210054,ECMO VENO-ARTERIAL EA ADDL DAY,"3,664.00"
210151,ASSISTED NERVE LOCATION SUPPLI,"1,425.00"
213333,BLOOD GAS ANALYSIS,327.00
214000,OPEN HEART PUMP SUPPORT,"7,918.00"
230100,REC RM/HR UP TO 4 HRS,604.00
230200,REC RM/HR  5-10 HRS,352.00
230300,REC RM/HR OR FRACT 11-16,240.00
230400,REC RM/HR 17-24 HRS,208.00
240006,P.T. EVALUATION,296.00
240007,P.T. RE-EVAL.,156.00
240011,THER ACT-DYN ACT EA 15 MIN.,197.00
240012,"EX. FOR STREN, END, EA 15 MIN.",185.00
240015,THER PROC-GAIT TRNG EA 15 MIN,188.00
240053,MD SERV OP CARD REHAB W/O EKG,187.00
240054,MD SERV OP CARD REHAB WITH EKG,254.00
240055,PULM REHAB W/EXER PER HOUR,56.00
240056,RESP STRENGTH/ENDURANCE 15 MIN,251.00
240057,RESP FUNCTION 15 MIN,62.00
240058,RESP FUNCTION GROUP,36.00
260002,2% XYLO INJ,107.00
260003,SILVER NITRATE,4.60
260008,APPLY MULTILAYER COMP BIL,153.00
260009,AVULSION OF NAIL PLATE,196.00
260010,AVULSN NAIL PLATE:EACH ADD NAI,84.00
260011,CHEM CAUTERIZATION GRANULATION,245.00
260013,DEBRID BONE 1ST 20 SQ CM,"1,483.00"
260018,UNNA BOOT APPLICATION BIL,256.00
260021,DEBRID SUBCU TISSUE 1ST 20CMSQ,738.00
260022,PREP WND TRK/AR/LG 1ST100CM CH,"1,412.00"
260025,HYDRGEL,58.00
260026,APLIGRAF PRODUCT PER SQ. CM.,78.00
260034,GLUCOSE BY MONITORING DEVICE,41.00
260035,DEBRID SHRP SLCT SKN 1ST20CMSQ,285.00
260036,DEBRIDE OPEN WOUND ADD>20SQ CM,510.00
260037,DEBRID NON-SEL WO ANES PER SES,279.00
260038,NEG PRSSURE WC THERAPY<=50CM,223.04
260039,NEG PRESURE WC THERAPY>50CM,426.23
260057,OASIS PROD WND MATRX PER 1SQCM,32.00
260064,DERMAGR.PROD.APPL PER 1 SQCM,117.00
260066,DEBRID MUSC/FACIA 1ST 20 SQCM,873.00
260071,DOPPLER ARTERIAL EXT LTD,333.00
260072,DOPPLER ARTERIAL EXT CMPL,659.00
260073,I&D ABSCESS SINGLE OR SIMPLE,172.00
260074,I&D ABSCESS MULTI OR COMPLICAT,453.00
260075,I&D HEMATOMA/SEROMA,"1,235.00"
260076,PUNCTURE ASPIRATION ABSCESS,338.00
260077,I&D POSTOP COMPLEX,"1,916.00"
260078,PARING BENIGN LESION 1,124.00
260079,PARING BENIGN LESION 2-4,184.00
260080,PARING BENIGN LESION >4,226.00
260081,BIOPSY SKIN 1 LESION,226.00
260082,BIOPSY SKIN EACH ADD LESION,125.00
260083,TRIM NONDYSTROPHIC NAILS,81.00
260084,DEBRIDE NAIL 1-5,135.00
260085,DEBRIDE NAIL >6,69.00
260086,EXCISION OF NAIL PART/COMPLETE,379.00
260087,ABRASION- SINGLE LESION,118.00
260101,DEBRID SUBCUTAN EA ADL 20 SQCM,262.00
260102,DEBRD MUSC/FACIA EA ADL 20SQCM,262.00
260103,DEBRID BONE EA ADD'L 20 SQ CM,813.00
260104,APPLY SKIN SUB LEG 1ST 25 SQCM,"1,647.00"
260105,APPLY SKIN SUB LEG ADL 25-100,102.00
260106,APPLY SKN SUB LEG 1ST 100 SQCM,"2,714.00"
260107,APPLY SKIN SUB LEG EA>100 SQCM,277.00
260108,APPLY SKIN SUB FEET 1ST 25SQCM,"1,647.00"
260109,APPLY SKIN SUB FEET ADL 25SQCM,102.00
260110,APPLY SKIN SUB FEET>1ST100SQCM,"2,138.00"
260111,APPLY SKIN SUB FEET>ADL100SQCM,277.00
260112,BIOPSY BONE TROCAR/NEEDLE,942.00
260113,BIOPSY BONE OPEN SUPERFICIAL,"2,183.00"
260114,DSG AND/OR DEBR PART BURN SML,512.00
260115,DSG AND/OR DEBR PART BURN MED,226.00
260116,DSG AND/OR DEBR PART BURN LG,"1,122.00"
260117,UNNA BOOT APPLICATION UNI LT,128.00
260118,UNNA BOOT APPLICATION UNI RT,128.00
260119,APPLY MULTILAYER COMP LT,153.00
260120,APPLY MULTILAYER COMP RT,153.00
260121,LCSKUB T/A/L<=100CM 1ST/25SQCM,492.00
260122,LCSKUB T/A/L<=100CM AD 25 SQCM,164.00
260123,LCSKUB T/A/L>=100CM 1ST 100SQ,"2,138.00"
260124,LCSKUB T/A/L>=100CM ADL 100SQ,549.00
260125,LCSKUB F/S/F<=100CM 1ST/25SQCM,492.00
260126,LCSKUB F/S/F<=100CM AD 25 SQCM,164.00
260127,LCSKUB F/S/F>=100CM 1ST 100SQ,"1,412.00"
260128,LCSKUB F/S/F>=100CM ADDL 100SQ,164.00
260130,PURAPLY ANTIMIC PER SQ CM,162.00
310001,ANTIGLOBULIN CROSSMATCH,169.00
310003,"PLATELETS, PHERESIS,LR UNIT",983.00
310004,Leukopheresis,"3,693.00"
310005,LVL1 PLSMA PHRES (THERAPEUTIC),"4,267.00"
310007,ALLOGENEIC PBSC COLLECTION,"3,608.00"
310008,BLOOD BANK DIFFCLT XMATCH/RPRT,43.00
310009,ANTIBODY SCREEN EACH TECHNIQUE,113.00
310010,ABO TITER,184.00
310012,LVL2 PLSMA PHRES(THERAPU)+INFU,"4,434.00"
310014,ANTBODY TITER,184.00
310015,POOLED CRYO 5,297.39
310016,POOLED CRYO 10,497.74
310017,POOLED LIQUID PLASMA,190.00
310018,POOLED FRESH FROZEN PLASMA,107.79
310019,FROZEN BLOOD (DEGLYCEROLIZED),"1,054.00"
310020,"COMPATABILITY, IS",185.00
310021,IRRADIATED LIQUID PLASMA,190.00
310022,INFECTIOUS DISEA MARKER 1/12,22.75
310023,PLATELET CROSSMATCH,276.00
310024,INFECTIOUS DISEA MARKER 2/12,22.75
310025,ANTIGLOBULIN CROSSMATCH-ADDITI,169.00
310026,CRYOCRIT,26.00
310027,DONATH-LANDSTEINER TEST,110.00
310028,EXTENDED ANTIBODY ID,273.00
310029,INFECTIOUS DISEA MARKER 3/12,22.75
310030,TRANSFUSION REACTION WORKUP,269.00
310031,INFECTIOUS DISEA MARKER 4/12,22.75
310032,INFECTIOUS DISEAS MARKERS 1/7,51.00
310033,INFECTIOUS DISEAS MARKERS 2/7,28.00
310034,INFECTIOUS DISEA MARKER 5/12,22.75
310035,INFECTIOUS DISEAS MARKERS 3/7,25.00
310036,INFECTIOUS DISEAS MARKERS 4/7,24.00
310037,INFECTIOUS DISEAS MARKERS 5/7,153.00
310038,INFECTIOUS DISEAS MARKERS 6/7,40.00
310040,INFECTIOUS DISEAS MARKERS 7/7,164.00
310041,INFECTIOUS DISEA MARKER 6/12,22.75
310042,INFECTIOUS DISEA MARKER 7/12,22.75
310043,INFECTIOUS DISEA MARKER 8/12,22.75
310044,INFECTIOUS DISEA MARKER 9/12,22.75
310045,INFECTIOUS DISEA MARKER 10/12,22.75
310046,INFECTIOUS DISEA MARKER 11/12,22.75
310047,INFECTIOUS DISEA MARKER 12/12,22.75
310048,THERAPEUTIC PHLEBOTOMY HOSP,99.00
310049,APHERESIS EXTRACORP SELECT,"5,317.00"
310100,PLATELETS IRRADIATED EA UNIT,360.00
310101,PLATELETS LEUKOREDUCED IRRADIA,301.00
310102,PLATELETPHERESIS LEUKOPOOR IRR,"1,116.00"
310103,RED CELLS IRRADIATED,510.00
310104,RED CELLS LEUKOPOOR IRRADIATED,637.00
310105,ABO,90.00
310106,RH,90.00
310201,WHOLE BLOOD,319.00
310202,RD BLD CELLS,414.00
310203,RANDOM DONOR PLATELET CON,252.00
310204,SINGLE DONOR PLASMA,174.00
310205,POOLED LEUKOREDUCED PLT CONC,791.00
310208,WASHED CELLS,510.00
310210,ANTIGEN TYPING,140.00
310215,RH TYPE,90.00
310217,AUTOLOGOUS COLLECTION,297.00
310301,PEDI-PACK/QUAD-ALI,467.00
310302,FRESH FROZEN PLASMA,174.00
310305,CRYO,180.00
310308,"GLOBULIN, RH IMMUNE",117.00
310313,ABO & RH TYPE,90.00
310315,DIR ANTIGLOB TEST(COOMBS),148.00
310316,"MONOSPECIFIC COOMBS,IGG,C3D",148.00
310317,AB IDENT ELUATE,258.00
310318,AB IDENT SERUM,273.00
310323,ACID ELUTION (KLEIHAUER),88.00
310325,RH PHENOTYPE,85.00
310326,ACID SERUM TEST,110.00
310327,COLD AGGLUT TITER,90.00
310338,GRANULOCYTE CONCENTRATE,"3,325.00"
310340,RH IMMUNE GLOBULIN ROSETTE,48.00
310350,ANTIBODY SCREEN,113.00
310360,PLATELET ANTIBODY,276.00
310370,HLA MATCH PLATELET PHERESIS LR,"1,238.00"
310373,HLA TYPING-ABC,584.00
310374,HLA DR/DQ TYPING MULT AGS,"1,172.00"
310379,LYMPHOCYTO. ANTIBDY SCRN (DR/D,339.00
310380,LYMPHOCYTOTOXIC CROSSMATCH ARC,199.00
310384,CRYO POOR PLASMA,190.00
310385,LEUKOPOOR RED CELLS,431.00
310402,AUTOLOGOUS PBSC COLLECTION,"5,676.00"
313854,RED CELL EXCHANGE,"3,153.00"
313855,PLATELET DEPLETION,"4,489.00"
313999,IRRADIATION,133.00
314007,VARICELLA ZOSTER IMMUNE GLOB-6,908.00
314008,VERICELLA ZOSTER IMMUNE GLOB-1,908.00
314011,AG TYPE PATIENT,148.00
314012,FFP THAW,210.00
314013,CRYO THAW,229.00
314014,POOLING,202.00
314015,SPLIT BLOOD PRODUCT EA,184.00
314016,ELECTRONIC CROSSMATCH,129.00
314017,ENZYME TREATMENT ANTIBODY ID,64.00
314018,ENZYME INCUBATION-ADSORPTION,250.00
314022,IMMIDIATE SPIN,185.00
314023,COOMBS TEST,148.00
320001,STEM CELL PRODUCT BUFFY COAT,"1,048.00"
320010,BM CRYOPRESERVATION,"5,015.00"
320011,APBSC PROC/CRYO/STORAGE - AUTO,528.00
320012,APBSC PROC/CRYO/L-TSTORE,"5,015.00"
320013,APBSC PROC/FICOL/CRYO/STOR,"5,015.00"
320022,PBSC PROC/CRYO/STORAGE,"5,015.00"
320023,PBSC/BM CONCENTRATION,528.00
320024,PBSC/BM CRYOPRESERVATION/STORA,528.00
320027,STERILITY TESTING,341.00
320028,WBC COUNT,87.00
320029,WBC DIFF/BUFFY COAT,33.00
320030,SPUN HEMATOCRIT,40.00
320031,BM PROC/FICOL/CRYO/STORAGE,"5,015.00"
320033,BM/CRYO/L-TSTORE,"5,015.00"
320034,BONE MARROW-FICOL,"5,015.00"
320041,THAW ABM/APBSC,368.00
320055,BM PROC/CRYO/STORAGE,"5,015.00"
320060,ALLO BM PROC/MISMATCH,"1,760.00"
320150,RED CELL DEPLETION - TRANSPLAN,385.00
340001,RHC CO O2SAT,"16,008.00"
340002,"LHC, LV","16,008.00"
340003,"R/LHC, LV, CORONARY ANGIOS","16,008.00"
340005,LA/LV ANGIO,"2,299.00"
340006,PA ANGIO,"1,816.00"
340007,TEMP TRANS Q PACING,620.00
340008,PERC TRANSLUM COR THRMBECTOMY,"3,517.00"
340009,CARDIOVERSION,"2,083.00"
340011,PERICARDIOCENTESIS,879.00
340012,BARD 5 FR LD  PM TRANS VEN,152.00
340014,OXIMETRIC SERIES,22.00
340015,FLUOROSCOPY,"1,123.00"
340016,IMPELLA 2.5PUMP KIT CATH ACCES,"48,125.00"
340018,VALVULOPLASTY MITRAL VALVE,"13,053.00"
340020,CORONARY ATHERECTOMY EA ADDL,"8,793.00"
340021,PULMON ART RPR PERC,"11,585.00"
340022,PULMON ART RPR PERC EA ADDL,"4,745.00"
340023,THERM DILU CAR OUT PRO,656.00
340025,RENAL ATHERE ROTO DIREC-LASER,"9,628.00"
340026,EP COMPREHENSIVE W/O ARRHYTHMI,"12,604.00"
340027,PROGRAMMABLE STIMULATION,"6,049.00"
340028,MAPPING STUDY CCL,"5,897.00"
340029,ERGONOVINE DRUG STUDY,391.00
340032,EP FU PACING/REC INDUC ARRY,"6,936.00"
340034,RA/RV ANGIO,"2,139.00"
340036,ABD AO ATHERE ROTO DIREC-LASER,"9,628.00"
340038,BRACHIO BRANCH ROTO DIRECT LSR,"9,628.00"
340039,TEMP.PACE.INSERT-SECON,"9,690.00"
340040,ILIAC ART ATHE ROTO DIRCT-LSR,"17,418.00"
340042,"COR., IM, BYPASS GRAFT ANGIOS","16,008.00"
340044,RHC W/CORONARY ANGIOS,"16,008.00"
340045,PLCMT OCCL DEVICE VEIN ART,774.00
340046,RHC W/BYPASS GRAFT ANGIOS,"4,081.00"
340047,"LHC, LV, CORONARY ANGIOS","16,008.00"
340048,ANGIO SUBCLAVIAN/LEAD FLUORO,571.00
340049,FLUOR GUIDE NEEDLE,"1,078.00"
340050,DRUG ELUTING STENT PLACE SING,"19,878.00"
340051,DRUG ELUTING STENT PLACE ADDL,"14,661.00"
340055,LHC LV GRAFTS CORONARIES IM,"16,008.00"
340056,R/LHC COR LV GRAFT IM ANGIOS,"16,008.00"
340057,DRUG STUDY,283.00
340060,EXERCISE STUDY,283.00
340075,GOOSE NECK SNARE .035X120CM,508.00
340093,"ILIAC, UNI PTA ADDTL","6,421.00"
340097,"ILIAC, UNI. PTA/STENT ADDTL","6,421.00"
340101,TIBIAL UNI PTA/STENT,"21,979.00"
340102,TIBIAL UNI ADDTL PTA/STENT,"6,421.00"
340103,FEM/POP UNI PTA/ARTH/STENT,"23,609.00"
340104,TIBIAL UNI PTA/ARTH/STENT ADD,"6,421.00"
340105,TIBIAL UNI PTA/ARTH/STENT,"23,609.00"
340106,TIBIAL UNI PTA/ARTH ADDTL,"13,633.00"
340108,MOMA ULTRA CEREB PROTECT DEV,"2,966.00"
340109,DEFRIB DUAL CHAMBER TIER 2,"22,510.00"
340110,DEFRIB DUAL CHAMBER TIER 3,"20,913.00"
340112,DEFIB BIVENT TIER 2,"30,188.00"
340113,DEFIB BIVENT TIER 3,"28,875.00"
340116,DEFIB SINGLE CHAMBER TIER 2,"22,094.00"
340117,DEFIB SINGLE CHAMBER TIER 3,"20,009.00"
340120,PACER DUAL RR T2,"6,358.00"
340121,POLARES BIG TIP 4MM MANSFIELD,"1,176.00"
340122,PACER SINGLE RR T2,"5,600.00"
340123,PACER SINGLE RR T3,"4,550.00"
340126,ION MR STENT,"2,704.00"
340136,COOK PEDI PTVA BALLOON,718.00
340140,CATH ACUNAV US 8F-90C REPRO,"2,188.00"
340158,REMOVE & REPLACE PM DUAL CH,"11,064.00"
340164,ANGIOSCORE BALLOON,"1,531.00"
340167,FLEX EXCHANGE GW,684.00
340168,PROMUS ELEMENT PLUS,"2,931.00"
340169,PTA BALL 16 MM TO 18MM,569.00
340170,PTA BALLOON 20 MM,613.00
340174,PTA BALL 22MM - 26MM,744.00
340175,SFA SELF EXP STENT 6MM - 7MM,"1,663.00"
340176,SELF EXP STENT 8MM,"1,663.00"
340178,BALL EXP BILIARY STENT 6MM-7MM,"1,488.00"
340179,CATHETER GUIDELINER 6F,828.00
340184,PTA BALLOON 12MM - 14MM,516.00
340185,CROSS PRTR DELIV GW 3G - 12G,"1,094.00"
340186,CATHETER CROSS SUPPORT,"1,269.00"
340187,COIL PUSHER,557.00
340190,LIFESTENT SOLO VASC STENT,"4,025.00"
340191,FLAIRED ENDO VASC STNT GRFT,"3,850.00"
340192,VENA CAVA FILTER FEMORAL,"1,838.00"
340193,VENA CAVA FILTER JUGULAR,"1,838.00"
340195,FLUENCY STENT GRAFT,"3,491.00"
340197,LIFE SFA EXP VASC STNT 100,"2,013.00"
340198,LIFE SFA EXP VASC STNT 120,"2,363.00"
340199,LIFE SFA EXP VASC STNT 150,"2,713.00"
340200,LIFE SFA EXP VASC STNT 170,"3,413.00"
340204,ELUMINEXX 6FVB STENT 80-120,"1,566.00"
340205,EMBOLIZATION COIL MWCE 38-8-5,243.00
340209,0.18 COIL(2-20)(3-305-50)TAR,225.00
340210,VASCUTRAK PTA CATHETER,"1,050.00"
340211,P-308 STENT 8-12 MMS,"1,830.00"
340213,STENT-COVERED 10MMX38MMX120CM,"4,506.00"
340214,P-204 M STENT 4-9 MMS,"1,900.00"
340215,CROSS CTO CATHETERS,"3,456.00"
340217,EXPRESS SD STENT,"1,663.00"
340220,ELUMINEXX 6F VB STENT 20 - 80,"1,400.00"
340222,STENT PLACEMENT,"15,246.00"
340225,8F OTW 20 MH2 110CM,"1,988.00"
340227,CORONARY IVUS/OCT INITIAL,"4,033.00"
340230,STERLING OTW BALLOON X80-100,534.00
340231,STERLING SL OTW X150,614.00
340236,STENT SENTINOL BIL,"1,496.00"
340240,EPIC ILIAC STENT,"1,496.00"
340243,EPIC ILIAC STENT II,"1,829.00"
340244,LIFE SFA EXP VASC STNT,"1,663.00"
340245,PRIMARY PERC THROMBEC ART INIT,"6,189.00"
340246,PRIMARY PERC THROMBEC ART ADDN,"6,189.00"
340247,PERC MECH THROMBEC VEIN INITL,"6,208.00"
340250,THROMBECTO VEIN RPT TX SUB DAY,"6,479.00"
340254,CATH BAL SCORING ANGIOSCULPT,"1,531.00"
340255,STENT ENDOPROSTHESIS UNI+HALO,"1,847.00"
340256,STENT ENDOPROSTH BARE UNI+HALO,"2,021.00"
340257,SU 400 MICROSNARE,"1,135.00"
340258,STENT ENDOPROSTHESIS UNI PLUS,"2,021.00"
340260,POLARCATH,"1,706.00"
340268,ECHO TRANSTHO W/ CONT 2D W/WO,"1,309.00"
340269,TEE W/WO CONT FOL W/CONT 2D RE,"2,583.00"
340270,STRESS TEST CMPL W/PF,223.00
340271,ASD DEVICES ALL SIZES,"3,603.00"
340272,STRESS TEST W/PHARMACOLOGIC,"1,228.00"
340274,RESOLUTE CORONARY STENT RX,"2,450.00"
340279,CATHETER EPS 5F DECA  P-CURVE,550.00
340282,CATHETER EPS LASSO D-CURVE,"3,150.00"
340284,ROTOBLATOR PROCEDURE,"9,628.00"
340288,"CATHETER, ACUNAV","4,765.00"
340291,FBF 3.0-6.0 FORCEPS BIOPSY,857.00
340299,MARINR CS CATHETER,"1,067.00"
340300,RF PERFRMR CATH 5F RF MARINR,"1,526.00"
340312,CATHETER-PENTARAY NAV D-CURVE,"3,316.00"
340313,CATHETER-PENTARAY NAV F-CURVE,"3,316.00"
340314,CATH INFUSION US 50 CM,"4,191.00"
340315,CATH INFUSION US 12 CM,"4,191.00"
340316,CATH INFUSION US 40 CM,"4,191.00"
340317,CATH INFUSION US 24CM,"4,191.00"
340320,ABLAT EXTREM RADIOFREQ 1ST,"4,211.00"
340321,ENDOVENOUS RF ADDL VEINS,"2,727.00"
340322,DUPLEX VENOUS EXT UNILAT/LMTD,"1,237.00"
340323,RF CONDUCTOR ABLATIVE CATH,"1,526.00"
340324,DUPLEX VENOUS EXTREMITY BILAT,"1,324.00"
340325,NEVERTOUCH-FRS KIT,875.00
340326,AGILIS NXT CURL SHEATH,"1,663.00"
340327,RF PERFORMR ABLATN CATH,"1,526.00"
340328,"STABLE MAPPER, CATH ELECTRD","2,757.00"
340330,PE PLUS STENT,"2,704.00"
340331,EPS EVAL W/ SVT ABLATION,"29,262.00"
340332,ABLATE ARRHYTHMIA ADDNL,"3,874.00"
340333,AFIB ABLATION ADDNL,"3,874.00"
340334,TEE PLACEMENT AND STUDY,"3,108.00"
340337,INJECTION(S) SPIDER VEINS,200.00
340338,INJECTION THERAPY SINGLE VEIN,379.00
340339,INJECTION THERAPY MULTI VEINS,334.00
340340,ENDOVENOUS LASER 1ST VEIN,"2,909.00"
340341,ENDOVENOUS LASER ADDL VEINS,"2,597.00"
340342,ANGIOSCULPT RX BALLOON 10-20MM,"1,531.00"
340343,ANGIOSCULPT OTW BALLOON 20MM,"1,663.00"
340344,ANGIOSCULPT RX BALLOON 40MM,"1,741.00"
340345,ANGIOSCULPT OTW BALLOON 40MM,"1,741.00"
340346,ANGIOSCULPT OTW BALLOON 100MM,"2,056.00"
340347,EPICARDIAL ACCESS KIT,"1,846.00"
340368,CATH ARTHTMY SLVHK PERIPH MS-M,"5,591.00"
340371,STENT COR NC W/DS VIS 4X28MM,"1,706.00"
340372,STENT COR NC W/DS MVIS2.5X15MM,"1,050.00"
340374,STENT COR NC W/DS ULT 4.5X38MM,"1,531.00"
340375,STENT COR NC W/DS ULT 5X28MM,"1,531.00"
340376,STENT COR NC W/DS ULT 5X38MM,"1,531.00"
340378,REPOSITION PERC VD SEP SESSION,"6,271.00"
340379,REMOVE VAD DIFF SESSION,"5,140.00"
340380,INSERT VAD ART & VEIN ACCESS,"9,519.00"
340381,STENT COR ULTRA RXDS NC,750.00
340382,STENT COR MULTLK RX DS VISN NC,750.00
340383,STENTCOR RX DS DES XPED,"1,844.00"
340392,"MUSCLE BIOPSY, NEEDLE PERC","1,338.00"
340393,"LIVER BIOPSY, NEEDLE PERCUT","1,110.00"
340394,OPEN/PERQ PLACE STENT 1ST,"18,999.00"
