OUTPATIENT SERVICES,Average Charge for each Outpatient Service
MOD SED <5Y SAME MD 1ST 15 MIN,$366.00
MOD SED 5Y> SAME MD 1ST 15 MIN,$366.00
MOD SED SAME MD EA ADDL 15 MIN,$163.00
MOD SED <5Y DIFF MD 1ST 15 MIN,$333.00
MOD SED 5Y> DIFF MD 1ST 15 MIN,$366.00
MOD SED DIFF MD EA ADDL 15 MIN,$163.00
REM TUNNELED CVAD W PORT/PUMP,"$1,072.00"
CANTHOTOMY,"$2,913.50"
INJ ANESTH GREAT OCCIP NERVE,$393.50
FEMORAL NERVE BLOCK,$874.00
CERUMEN REM BY IRRIGATION,$90.00
INJ. ANESTH; TRIGEMINAL NRV,$393.00
OBSERVATION HOURLY,$46.00
INJECTION SQ/IM,$127.00
PULSE OXIMETRY,$76.50
IV INFUSION PRIM LINE 1ST,$355.25
"IV INF HYD;INIT,EA ADDL HR",$108.00
"THER/PROPH/DX IV INF,INT UP1H",$356.25
"THER IV INF,INIT EA ADDL HR",$89.25
THER IV INF SEQUENT UP TO 1HR,$119.75
THER/DX CONCURRENT INFUSION,$119.75
"THER/PROPH/DX INJ, IV PUSH",$173.25
THER/PROPH/DX INJ NEW DRUG,$173.25
TX/PRO/DX INJ SAME DRUG ADD ON,$126.25
PRENATAL STUDY,$317.25
ACUTE HEPATITIS PANEL,$317.75
"SUGARS, SINGLE, QUALITATIVE",$34.75
"HEPARIN PF4 ANTIBODY HIT,SERUM",$325.25
ANA SCREEN,$73.00
ANA TITER/PATTERN,$132.00
ASO SCREEN,$65.00
CRYPTOCOCCAL ANTIGEN,$84.50
RA LATEX QUAL,$64.75
RPR,$86.00
RPR TITER,$89.50
LYME SCREEN,$130.00
HIV 1/2 RAPID TEST,$126.00
HEPATITIS B CORE AB-IGM,$109.75
HEPATITIS B SURFACE ANTIBODY,$124.00
HEPATITIS A ANTIBODY IGM,$118.75
RUBELLA,$127.75
SYPHILIS IGG,$80.25
HEPATITIS C ANTIBODY,$85.75
SPECIMEN CONCENTRATION,$71.75
CONCENTRATION-INF. AGENT,$71.75
"CULTURE, BLOOD",$163.00
"STOOL,AEROBIC SCREENING",$143.25
"STOOL,AEROBIC,ADDL PATH, 2ND",$104.75
"STOOL, AEROBIC,ADDL PATHOGEN",$104.75
"STOOL,AEROBIC,ADDL PATH, 2ND",$104.75
"CULTURE, MISC",$140.50
"CULTURE, EYE",$140.50
"CULTURE, BONE",$140.50
"CULTURE, IVD",$140.50
"CULTURE, EAR",$140.50
"CULTURE, WOUND",$140.50
"CULTURE, TISSUE",$140.50
"CULTURE, UROGENITA",$140.50
"CULTURE, FLUID",$140.50
"CULTURE, RESP",$140.50
"CULTURE, ANAEROBIC BACTERIA",$150.25
"IDENTIFICATION, ANAEROBE",$326.25
"CULTURE, MICRO ID",$116.75
CULTURE SCREEN V.R.E,$78.00
"CULTURE, GROUP A",$85.25
CULTURE SCREEN M.R.S.A,$85.25
"CULTURE, GROUP B",$85.25
"CULTURE, GC",$85.25
"CULTURE, URINE",$89.75
CULTURE URINE ID,$84.00
"CULTURE, FUNGUS",$121.25
BLOOD FUNGUS CULTURE,$103.50
"CULTURE, AFB",$205.00
DNA/RNA AMPLIFIED PROBE,$48.25
DNA/RNA AMPLIFIED PROBE,$48.25
"HOMOGENIZATION, TISSUE CX",$76.25
BETA LACTAMASE3,$61.50
"MICRO, SENS MIC",$102.00
"STAIN, PRIMARY SOURCE W/INTERP",$62.00
AFB STAIN,$69.50
SMEAR FLUORESCENT,$75.25
KOH SMEAR,$52.25
WET MOUNT-TRICHOMONAS,$52.25
"C DIFF TOXIN, EIA",$65.50
"CRYPTOSPORIDIUM ANTIGEN,FECES",$69.50
"GIARDIA ANTIGEN, FECES",$87.75
HEPATITIS B SURFACE ANTIGEN,$61.75
HBSAG NEUTRALIZATION,$51.25
HIV-1 AG W/HIV-1 & HIV-2 AB,$69.25
ROTAVIRUS-FECES,$98.00
INFECTIOUS AGT ANTIGEN BY EIA,$82.75
CANDIDA NA DIRECT PROBE,$47.00
CHLAMYDIA P AMPLIF NA PROBE,$65.00
CHLAM PROBE AMP,$148.25
C DIFFICILE PCR,$567.50
"ENTEROVIRUS, CSF PCR",$504.75
GARDNERELLA DIR NA PROBE,$47.00
MYCOPLASMA AMPLIF NA PROBE,$65.00
GC PROBE AMP,$155.75
RESP VIRUS 3-5 TARGETS,$363.75
RESP VIRUS 6-11 TARGETS,$395.25
STAPH A DNA AMP PROBE,$71.75
MRSA SCREEN BY PCR,$217.75
TRICHOMONAS VAGIN DIR PROBE,$47.00
INF AGT DET BY NUC ACID AMP PR,$110.25
INFLUENZA AB,$82.25
INFLUENZA AB 2ND,$82.25
"RSV ANTIGEN, EIA",$82.25
AGENT NOS ASSAY W/OPTIC,$62.50
AGENT NOS ASSAY W/OPTIC,$62.50
FECAL WBC,$46.50
SEMEN EXAM,$197.50
SEMEN SMEAR,$74.50
SCOTCH TAPE/PINWORM,$51.50
BLEEDING TIME,$54.50
PTT,$101.50
FIBRINOGEN ACTIVITY,$149.00
PT/INR,$101.50
PLATELET COUNT AUTOMATED,$58.50
"CALCIUM, 24HR URINE",$62.75
FDP,$175.00
CARBAMAZEPINE TOTAL,$136.50
MAGNESIUM,$147.75
CBC W/ AUTO DIFF,$72.00
WBC & DIFF,$51.50
W B C,$35.50
RETICULOCYTE COUNT,$108.00
ALK PHOS,$86.25
AMYLASE SERUM,$124.75
BILIRUBIN TOTAL,$89.25
CALCIUM TOTAL SERUM,$43.25
CHOLESTEROL,$54.75
"CPK, TOTAL",$92.00
CREATINE SERUM,$45.25
SODIUM BLOOD,$45.50
POTASSIUM SERUM,$58.00
CHLORIDE SERUM,$29.75
CO2,$61.25
GLUCOSE BLOOD,$71.75
AST (SGOT),$60.00
ALT (SGPT),$67.25
GGT,$111.75
LDH,$60.75
LIPASE,$55.50
PHOSPHORUS SERUM,$62.00
PROTEIN TOTAL BLOOD,$48.00
"ALBUMIN, SERUM",$51.25
TRIGLYCERIDES,$89.25
BUN,$43.25
URIC ACID,$37.00
ELECTROLYTE PANEL,$68.50
LIPID PANEL,$112.00
ANALGES ASSAY OF ACETAMINOPHEN,$171.00
ASSAY OF GENTAMICIN,$272.00
"CULTURE, MICRO ID",$116.75
POTASSIUM URINE,$64.75
URINE PREGNANCY TEST,$98.00
PROTEIN CSF,$66.75
SODIUM URINE,$58.00
GLU TOL 2 HR,$119.50
ASO SCREEN,$65.00
GLU MONITOR,$33.00
SEMEN SMEAR,$74.50
SCOTCH TAPE/PINWORM,$51.50
SEMEN EXAM,$197.50
"CULTURE, WOUND",$140.50
CREAT. CLEARANCE,$121.00
GLUCOSE CSF,$58.00
GTT-ADDED SAMPLES,$146.25
IRON SERUM,$53.75
OCC BLOOD FECES 1-3 SPEC,$49.50
"GLU, 24HR URINE",$58.00
DIGOXIN LEVEL,$163.00
"CELL COUNT/DIFF, CSF",$128.25
"CELL COUNT/DIFF, FLUID",$128.25
PRENATAL STUDY,$317.25
ACETONE/KETONES QUAL,$74.75
DRUG SCREEN CLASS LIST A,$146.75
AMYLASE URINE,$32.75
ASSAY OF LITHIUM,$71.25
CHLORIDE URINE,$58.00
"EOSIN COUNT, NASAL SMEAR",$48.00
HEMATOCRIT,$51.00
HEMOGLOBIN,$51.00
MALARIA SMEAR,$129.75
T3 UPTAKE,$62.50
T4 THYROXINE TOTAL,$67.00
TSH,$181.00
"CULTURE, BLOOD",$163.00
"CULTURE, FLUID",$140.50
"CULTURE, MISC",$140.50
"CULTURE, URINE",$89.75
SICKLE SCREEN,$66.75
"CULTURE, FUNGUS",$121.25
"STAIN, PRIMARY SOURCE W/INTERP",$62.00
"CULTURE, AFB",$205.00
"CULTURE, RESP",$140.50
"CULTURE, GROUP A",$85.25
COOMBS DIRECT POLY,$75.25
ANTIBODY SCREEN,$103.50
ANTIBODY IDENT RBC,$186.00
MONO SCREEN,$92.00
RPR,$86.00
"PROTEIN, 24 HR URINE",$58.75
RA LATEX QUAL,$64.75
ANALGES ASSAY OF SALICYLATE,$146.75
ASSAY OF THEOPHYLLINE,$220.00
"ASSAY OF PHENYTOIN, TOTAL",$134.50
ASSAY OF PHENOBARBITAL,$132.75
RBC BY ELUTION,$340.00
RUBELLA,$127.75
ROUTINE VENIPUNCTURE,$17.50
PREG TEST QUANT HCG,$230.50
STREP SCREEN GROUP A,$69.25
"CORTISOL, TOTAL",$169.50
CEA,$134.25
HGB GLYCATED,$132.75
THERAPEUTIC PHLEBOTOMY,$162.25
B 12,$96.75
"FOLATE, SERUM",$96.75
"CHLORIDE, 24HR URINE",$58.00
"CREAT, 24HR URINE",$71.75
"POTASSIUM, 24HR URINE",$64.75
"SODIUM, 24HR URINE",$58.00
"URIC ACID, 24 HR URINE",$96.75
CREAT URINE,$71.75
"UREA NITROGEN, 24HR URINE",$72.50
LIPOPROTEIN HDL,$61.75
"GLUCOSE,P1 HR GLUC",$44.00
ANA SCREEN,$73.00
"MICRO, SENS MIC",$102.00
FERRITIN,$119.25
STAT VENIPUNCTURE,$17.50
PSA TOTAL (DX),$116.75
CK-MB/IMM,$101.25
OCC BLOOD GASTRIC OTHER,$95.00
PH FLUID,$66.50
