Item #,Item Description,Price
 1400014,BLADDER SCAN  POST VOID RESID,161.00
 1400015,BLOOD DRAW FROM PICC OR CVC,160.00
 1400016,BLOOD DRAW FROM VAD,160.00
 1400017,CATH INSERTION OF TEMP (FOLEY),161.00
 1400018,DECLOT VAD BY THROMBOLYTIC,558.00
 1400019,LUMBAR TAP,942.50
 1400020,VENOUS ACCESS,92.50
 1400021,OBSERVATION  PER HOUR,165.50
 1400022,OBSERVATION  DIRECT REFERRAL,1262.50
 1400023,IV HYDRATION  INITIAL 1ST HR W/ XU,242.00
 1400024,IV HYDRATION  EACH ADDL HR W/ XU,88.50
 1400025,IV INFUSION  INITIAL 1ST HR W/ XU,474.50
 1400026,IV INFUSION  EACH ADDL HR W/ XU,88.50
 1400027,IV INFUSION  SEQUENTIAL 1ST HR W/ XU,116.00
 1400028,IV INFUSION  CONCURRENT W/ XU,25.00
 1400029,IV PUSH  INITIAL W/ XU,127.00
 1400030,IV PUSH  EACH NEW DRUG W/ XU,127.00
 1400031,IV PUSH  EACH SAME DRUG W/ XU,25.00
 1400032,INJECTION IM/SQ W/ XU,127.00
 1400033,ADMIN FLU VACCINE,66.50
 1400034,ADMIN PNEUMO VACCINE,106.00
 1500000,CATH FOR SPECIMEN COLLECTION,24.00
 1500001,BLOOD TRANSFUSION,796.50
 1500002,ADMIN VACCINE INFLUENZA,66.50
 1500003,ADMINISTRATION VACCINE PNEUMOVAX,106.00
 1500004,VACCINE HEP B,33.50
 1500005,IRR OF IMP VENOUS ACCESS DEVIC,172.50
 1500006,AMPUTATION FINGER/THUMB,4104.00
 1500007,ANOSCOPY DIAGNOSTIC,288.00
 1500008,ASP/INJ JOINT/BURSA W/O US,681.00
 1500009,ASP/INJ MAJOR JOINT,726.50
 1500010,AVULSION OF NAIL PLATE,512.00
 1500011,BLOOD PATCH,2244.00
 1500012,BURN TREATMENT  MEDIUM,275.50
 1500013,BURN TREATMENT  SMALL,193.50
 1500014,BURN  TX FIRST DEGREE INITIAL,329.50
 1500015,CARDIOVERSION EXTERNAL,1475.00
 1500016,CHANGE CYSTOSTOMY TUBE  SIMPLE,358.00
 1500017,CHEST TUBE INSERTION,1634.00
 1500018,CONTROL OF NOSEBLEED,313.50
 1500019,CONTROL OF NOSEBLEED BILAT,438.50
 1500020,CPR CARDIOPULMONARY RESU,729.00
 1500021,CRICOTHYROIDOTOMY,1367.00
 1500022,CRITICAL CARE  EA ADDNL 30 MIN,658.50
 1500023,CRITICAL CARE  EA ADDNL 30 MIN,738.00
 1500024,CRITICAL CARE 1ST 30-74 MIN,2927.00
 1500026,APPLY MULTLAY COMPRS LOWER EXT,383.00
 1500027,CRYOTHERAPY OF SKIN,172.50
 1500028,CULDOCENTISIS,382.00
 1500029,CX REPAIR EYELID/EAR 1/1-2.5CM,1152.50
 1500030,CX REPAIR EYELID/EAR 2.5-7.5CM,1455.00
 1500031,CX REPAIR FACE/HAND 1.1-2.5CM,910.00
 1500032,CX REPAIR FACE/HAND 2.5-7.5CM,1092.50
 1500033,CX REPAIR FACE/HAND EA ADD 5CM,677.00
 1500034,CX REPAIR TRUNK 1.1-2.5CM,720.00
 1500035,CX RPR SCALP ARM LEG 2.6-7.5CM,1479.50
 1500036,CX RPR SCALP ARM LEG ADD 5CM,471.50
 1500037,DEB SKIN BONE AT FX SITE,2843.50
 1500038,DEBRIDEMENT SHARP 1ST 20 SQ CM,475.50
 1500039,DEBRIDEMENT NAILS 5.0,114.50
 1500040,DEBRIDEMENT NAILS EACH,81.50
 1500041,DECLOTTING BY THROMBOLYTIC IM,469.00
 1500042,DELIVERY PLACENTA,530.00
 1500043,DESTRUCTION OF FACE LESION,183.50
 1500044,DESTRUCTION OF WARTS UP,166.00
 1500045,DESTRUCTION OTHER SKIN LESION,157.00
 1500046,DIAGNOSTIC LARYNGOSCOPY,794.50
 1500047,DILATE URETHRA STRUCTURE,125.00
 1500048,DILATION OF CERCIAL CAN,226.50
 1500049,DIRECTION OF EMT,100.50
 1500050,DISLOCATION AC NO MANIPULATION,425.50
 1500051,DISLOCATION ANKLE,668.00
 1500052,TX HUMERAL SHAFT FX,612.50
 1500053,DISLOCATION INTERPHALANGEL JNT,313.50
 1500054,DISLOCATION KNEE,850.00
 1500055,DISLOCATION PATELLA,548.00
 1500056,DISLOCATION SHOULDER W/MANIP,584.00
 1500057,DISLOCATION TEMPEROMANDIBULAR,292.50
 1500058,TX RADIUS FX/EPIPHY SEP/ULNA,788.50
 1500059,DRAIN ABSCESS SALIVARY GLAND,441.50
 1500060,DRAIN EXTERNAL EAR ABSCESS,556.00
 1500061,DRAIN NASAL ABSCESS OF H,342.00
 1500062,DRAIN NECK/CHEST LESION,607.50
 1500063,DRAIN OUTER EAR CANAL ABSCESS,321.00
 1500064,DRAINAGE ABSCESS OF PALA,311.50
 1500065,DRAINAGE BREAST CYST EACH,119.50
 1500066,DRAINAGE BREAST CYST PUN,213.50
 1500067,DRAINAGE OF GUM ABSCESS,313.50
 1500068,DRAINAGE OF HEMATOMA COMPLEX,316.50
 1500069,DRAINAGE OF SKENES ABSCESS,528.00
 1500070,DRAINAGE SCROTUM ABSCESS,2891.50
 1500071,TX CARPAL SCAPHOID FX,612.50
 1500072,ER EKG 12 LEAD,167.00
 1500073,TX CARPAL BONE FX,612.50
 1500074,ELECTROCAUTERY OF SKIN,89.50
 1500075,ENDOTRACHEAL INTUBATION,605.50
 1500076,EPIDURAL OR SUBARACHNOID INJ,652.00
 1500077,EPISIOTOMY OR VAGINAL REPAIR,582.50
 1500079,TX TIBIA FX DISTAL,2927.00
 1500080,NERVE BLOCK INJ FACILA,808.00
 1500081,TX FINGER FX EACH W/MANIP,612.50
 1500082,NERVE BLOCK INJ PLANTAR DIGIT,707.50
 1500085,ER NO CHARGE,0.00
 1500086,ESCHAROTOMY INCISION OF,607.50
 1500087,ESOPHAGOSCOPY FOR REMOVAL,1212.00
 1500088,ESOPHAGOSCOPY RIGID FIBE,752.50
 1500089,EVACUATION SUBUNGUAL HEMATOMA,176.50
 1500090,EXC OF BENIGN LESION 3.1-4.0CM,3202.00
 1500091,EXCISE/REPAIR MOUTH LESION,4255.50
 1500092,EXCISION COCCYGEAL PRESS,425.50
 1500093,EXCISION OF NAIL FOLD,204.00
 1500094,EXPLOR REMOVE FB FOREARM,729.00
 1500095,EXPLORE WOUND EXTREMITY,2974.50
 1500096,EXTENSOR TENDON DORSOM,850.00
 1500097,EXTENSOR TENDON DORSUM,850.00
 1500098,EXTENSOR TENDON FOOT SUT,910.00
 1500099,EXTENSOR TENDON MALLET,850.00
 1500100,EXTRAORAL I&D ABSCESS CYST,779.50
 1500101,FETAL MONITOR IN EMERGENCY,365.50
 1500102,FIBERSCOPIC LARYNGOSCOPY,425.50
 1500103,FIBERSCOPIC LARYNGOSCOPY,970.00
 1500104,FRACTURE CLAVICLE,364.00
 1500105,FRACTURE COCCYX,449.00
 1500106,FRACTURE DISTAL PHALANX/THUMB,365.50
 1500107,FRACTURE GREAT TOE,334.00
 1500108,FRACTURE METACARPAL,425.50
 1500109,FRACTURE METATARSAL,365.50
 1500110,FRACTURE NASAL OPEN/CLOSED,274.50
 1500111,FRACTURE PATELLA,449.00
 1500112,FRACTURE PHALANX/PHALANGES,331.50
 1500113,FRACTURE RADIAL HEAD,449.00
 1500114,FRACTURE STERNUM,305.00
 1500115,GASTRIC INTUBATION LAVAGE,152.00
 1500116,GASTROSTOMY TUBE CHANGE,652.00
 1500117,I&D ABSCESS COMP/MULTI,940.50
 1500118,FNA W/O IMAGE,747.00
 1500119,I&D ABSCESS IN MOUTH SIMPLE,321.00
 1500120,I&D ABSCESS MOUTH COMPLICATED,720.00
 1500121,I&D ABSCESS RETRO/PARAPH,441.50
 1500122,I&D EXTERNAL EAR ABSCESS SIMPL,296.50
 1500123,I&D FINGER ABSCESS COMPLICATED,652.00
 1500124,I&D FINGER ABSCESS SIMPLE,337.50
 1500125,I&D FOREARM & OR WRIST,729.00
 1500126,I&D INFECTED BURSA,543.50
 1500127,I&D PERIANAL ABSCESS SUP,309.50
 1500128,I&D PERIRECTAL ABSCESS,485.50
 1500129,I&D PERITONSILLAR ABSCESS,705.00
 1500130,I&D PILONIDAL CYST SIMPLE,364.00
 1500131,I&D THIGH/KNEE DEEP,850.00
 1500132,I&D THYROGLOSSAL CYST,400.00
 1500133,I&D UPPER ARM OR ELBOW,414.50
 1500134,I&D UPPER ARM OR ELBOW,607.50
 1500135,I&D VULVA ABSCESS,377.00
 1500136,I&D VULVA/PERINEUM ABSCESS,792.50
 1500137,INCISE RMVL FB SQ TISS COMPLEX,625.50
 1500138,INCISE RMVL FB SQ TISS SIMPLE,285.50
 1500139,INCISION SOFT TISS ABSCESS,460.50
 1500140,INCISION THROMBOSED EXT HEMORR,343.00
 1500141,INJECTION CORPORA CAVERNOSA,217.50
 1500142,INJECTION FOR BLADDER,188.00
 1500143,INJECTION IM OR SQ EACH,92.50
 1500144,INJECTION INTERCOSTAL,365.50
 1500145,INJECTION INTO SKIN LESION,160.00
 1500146,INJECTION PARACERVICAL,365.50
 1500147,INJECTION PUDENDAL FOR,365.50
 1500148,INJECTION TEND SHEATH,264.00
 1500149,INSERT ABDOMINAL DRAIN,667.00
 1500150,INSERT NON-TUNNELED CVC,2944.50
 1500151,INSERT SWAN-GANZ CATHETER,857.00
 1500152,INSERT URINARY CATHETER,211.50
 1500153,INSERTION OF PESSARY,199.00
 1500154,INSERTION PICC W/O PORT OR PUM,1496.50
 1500155,INT ANESTHETIC AGENT;TRIGEMINA,645.00
 1500156,INT REP 2 LAYER > 30 CM,1092.50
 1500157,INT REP 2 LAYER 12.6-20CM,919.50
 1500158,INT REP 2 LAYER 2.5CM OR LESS,480.50
 1500159,INT REP 2 LAYER 2.6-7.5CM,593.50
 1500160,INT REP 2 LAYER 20.1-30CM,971.00
 1500161,INT REP 2 LAYER 7.6-12.5CM,744.50
 1500162,INT REP 2 LAYER FACE > 30 CM,1335.50
 1500163,INT REP 2 LAYER FACE 0-2.5CM,587.00
 1500164,INT REP 2 LAYER FACE 12.6-20CM,1213.00
 1500165,INT REP 2 LAYER FACE 2.6-5.0CM,720.00
 1500166,INT REP 2 LAYER FACE 20.1-30CM,1335.50
 1500167,INT REP 2 LAYER FACE 5.1-7.5CM,829.00
 1500168,INT REP 2 LAYER FACE 7.6-12.5C,1042.00
 1500169,INT REP 2 LAYER HAND > 30 CM,1213.00
 1500170,INT REP 2 LAYER HAND 0-2.5CM,538.00
 1500171,INT REP 2 LAYER HAND 12.6-20CM,990.00
 1500172,INT REP 2 LAYER HAND 2.6-7.5CM,662.00
 1500173,INT REP 2 LAYER HAND 20.1-30CM,1213.00
 1500174,INT REP 2 LAYER HAND 7.6-12.5C,810.00
 1500175,TX HIP DISLOCATION TRAUMATIC,612.50
 1500176,INTERMEDIATE EYE EXAM,254.00
 1500177,INTRAORAL I&D ABSCESS CYST,318.50
 1500178,INTRAORAL I&D ABSCESS CYST,348.50
 1500179,INTRAOSSEOUS NEEDLE PLAC,345.50
 1500180,INTRO OF NEEDLE,118.50
 1500181,IPECAC EMESIS W/OBS,100.50
 1500182,IRRIGATION OF BLADDER,335.50
 1500183,IV HYDRATION EACH HR NONCONCUR,57.50
 1500184,IV HYDRATION INITIAL (1ST HR),242.00
 1500185,IV INFUSION CONCURRENT (ONCE,22.00
 1500186,IV INFUSION EACH ADDL HR,81.50
 1500187,IV INFUSION INITIAL (UPTO1HR),290.00
 1500188,IV INFUSION SEQUENTIAL (UP TO,81.50
 1500189,IV PUSH EACH PUSH OF DIF DRUG,92.50
 1500190,IV PUSH INITIAL OR INFUSION<16,92.50
 1500191,IV PUSH SAME DRUG AT INTERVALS,25.00
 1500192,LAC FLOOR MOUTH ANTERIOR,502.00
 1500193,LAC FLOOR MOUTH POSTERIOR,748.50
 1500194,LAC FLOOR MOUTH TONGUE,919.50
 1500195,LAC REPAIR PALATE OVER 2CM,910.00
 1500196,LAC REPAIR PALATE TO 2CM,668.00
 1500197,LAC REPAIR VESTIBULE MOUTH,409.00
 1500198,LAC REPAIR VESTIBULE MOUTH,759.50
 1500199,LARYNGOSCOPY DIAGNOSTIC,268.50
 1500200,LARYNGOSCOPY FOR ASPIRATION,509.00
 1500201,LARYNGOSCOPY FOREIGN BODY,729.00
 1500202,LARYNGOSCOPY WITH FB REMOVAL,535.00
 1500204,LIGATION OF HEMORRHOIDS,364.00
 1500205,LIMITED DOPPLER STUDY,69.50
 1500206,TX FEMORAL PROXIMAL FX,612.50
 1500207,LUMBAR TAP,685.00
 1500208,MANIPULATIVE TX OF NOSE,571.00
 1500209,MD EVAL OF BLOOD OXYGEN,27.00
 1500210,MD EVAL OF BREATHING TRE,50.50
 1500212,METACARPOPHALANGEAL W/MANIP,485.50
 1500213,MOD SED OTH QHP < 5YRS 1ST 15,419.50
 1500214,MOD SED OTH QHP >=5YRS 1ST 15,318.50
 1500215,MOD SED OTH QHP EA ADDL 15MIN,188.00
 1500216,MOD SED SAME QHP <5YRS 1ST 15,419.50
 1500217,MOD SED SAME QHP >=5YRS 1ST 15,318.50
 1500218,MOD SED SAME QHP EA ADDL 15MIN,188.00
 1500219,MYRINGOTOMY INCISION OF,54.50
 1500220,NASAL ENDOSCOPY DIAGNOSIS,435.00
 1500221,NASAL HEMORR ANTERIOR COMPLEX,365.50
 1500222,NASAL HEMORR POSTERIOR W/PACK,362.50
 1500223,NEEDLE ASPIRATION ABS HEMATOMA,301.50
 1500224,NEEDLE BIOPSY OF BREAST,336.50
 1500225,NERVE BLOCK FEMORAL,1848.50
 1500226,NERVE BLOCK OCCIPITAL,1245.00
 1500227,NERVE BLOCK PERIPHERAL,1245.00
 1500228,OBSTETRICAL CARE,2227.00
 1500229,OPHALMOSCOPY/FLORESCEINE,190.50
 1500230,OSTEOPATHIC MANIPULATIVE TMNT,119.50
 1500231,PAPILLECTOMY REMOVAL OF,379.50
 1500232,PARACENTESIS ABD,1683.00
 1500233,PARACENTESIS ABD W/ IMAGING,1562.00
 1500234,PERCUT ARTERIAL CATH,325.00
 1500235,PERICARDIOCENTESIS,652.00
 1500236,PERICARDIOCENTESIS REPEAT,575.50
 1500237,PERICARDIOTOMY REMOVAL,3634.50
 1500238,PERIPHERAL IV < AGE 3,129.00
 1500239,PHLEBOTOMY  THERAPEUTIC,288.00
 1500240,PROCTOSIGMOIDOSCOPY,611.50
 1500241,TX MEDIAL MALLEOLUS FX,612.50
 1500242,PUSH BLOOD TRANSFUSION A,339.00
 1500243,RADIAL HEAD SUBLUX CHILD W/MAN,341.00
 1500244,RECONSTRUCT OF NAIL B COMPLEX,668.00
 1500245,RECONSTRUCT OF NAIL BED,425.50
 1500246,REDUCTION OF KNEE DISLO W/ANES,981.50
 1500247,REMOVAL CONJUNCT FB EMBEDDED,275.50
 1500248,REMOVAL CONJUNCT FB SUPERFICIA,229.00
 1500249,TX ULNAR FX PROXIMAL END,612.50
 1500250,REMOVAL EMBEDDED FOREIGN BODY,307.00
 1500251,REMOVAL EXTERNAL HEMORRHOID,575.50
 1500252,REMOVAL EYELID FOREIGN BODY,307.00
 1500253,REMOVAL FB EXT AUDITORY CANAL,204.00
 1500254,REMOVAL FB EXT EYE CORNEAL W/O,249.50
 1500255,REMOVAL FB FOOT COMPLICATED,2760.00
 1500256,REMOVAL FB FOOT DEEP,4478.00
 1500257,REMOVAL FB FOOT SUBCUTANEOUS,2760.00
 1500258,REMOVAL FB MUSCLE/TENDON COMPL,971.00
 1500259,REMOVAL FB MUSCLE/TENDON SIMPL,430.00
 1500260,REMOVAL FB SHOULDER SUBCUTANEO,404.00
 1500261,REMOVAL FB UPPER ARM/ELBOW,2842.50
 1500262,REMOVAL FB UPPER ARM/ELBOW SQ,354.50
 1500263,REMOVAL FOREIGN BODY CORN,292.50
 1500264,REMOVAL FOREIGN BODY GU,352.50
 1500265,REMOVAL FOREIGN BODY MO,904.00
 1500266,REMOVAL IMPACTED CERUMEN,145.00
 1500267,REMOVAL IMPACTED CERUMEN IRRIG,176.50
 1500268,REMOVAL IMPLANTABEL CONTRACEPT,184.50
 1500269,REMOVAL INTRANASAL FOREIGN BOD,250.50
 1500270,REMOVAL INTRAUTERINE DEVICE,226.50
 1500271,REMOVAL OF ADDEDE SKIN TA,74.00
 1500272,REMOVAL OF CORNEAL EPITHELIUM,1150.50
 1500273,REMOVAL OF FOREIGN BODY,430.00
 1500274,REMOVAL OF HEMORRHOID CL,399.00
 1500275,REMOVAL OF NAIL BED PART,656.50
 1500276,REMOVAL OF SKIN TAGS UP,312.50
 1500277,REMOVAL PHARYNX FOREIGN BODY,441.50
 1500278,REMOVAL REVISION OF CAST,208.50
 1500279,REMOVAL REVISION OF CAST,250.50
 1500280,REMOVAL SKIN LESION 0.5CM OR<,243.50
 1500281,REMOVAL SKIN LESION 0.5CM OR<,265.00
 1500282,REMOVAL SKIN LESION 0.5CM OR<,307.00
 1500283,REMOVAL SKIN LESION 0.6 T,334.00
 1500284,REMOVAL SKIN LESION 0.6-1.0 CM,377.00
 1500285,REMOVAL SKIN LESION 0.6-1.0 CM,416.00
 1500286,REMOVAL SKIN LESION 1.1 T,424.50
 1500287,REMOVAL SKIN LESION 1.1-2.0 CM,457.50
 1500288,REMOVAL SKIN LESION 1.1-2.0 CM,505.00
 1500289,REMOVAL SKIN LESION 2.1 T,525.50
 1500290,REMOVAL SKIN LESION 2.1-3.0 CM,594.50
 1500291,REMOVAL SKIN LESION 2.1-3.0 CM,671.00
 1500292,REPAIR EYELID WOUND INCL,816.50
 1500293,REPAIR EYELID WOUND INCL,1213.00
 1500294,REPAIR LIP FULL THICK OV,1335.50
 1500295,REPAIR LIP FULL THICKNESS,932.00
 1500296,REPAIR LIP FULL THICKNESS,1176.50
 1500297,REPAIR OF BODY CAST SPIC,160.00
 1500298,REPAIR OF HEART WOUND,3634.50
 1500299,REPAIR VENOUS SHUNT,425.50
 1500300,REPEAT CONTROL OF NOSEBLEED,629.50
 1500301,REVISION EYELID EXCISION,296.50
 1500302,SERIAL TONOMETRY EXAM(S),114.50
 1500303,TX FIBULAR FX DISTAL LAT MAL,612.50
 1500304,TX TIBIAL FX PROXIMAL,612.50
 1500306,SIGMOIDOSCOPY,399.00
 1500307,SIMPLE REPAIR > 30 CM,1007.00
 1500308,SIMPLE REPAIR 12.6-20CM,574.50
 1500309,SIMPLE REPAIR 2.5 CM OR LESS,379.50
 1500310,SIMPLE REPAIR 2.6-7.C CM,442.50
 1500311,SIMPLE REPAIR 20.1-30 CM,930.00
 1500312,SIMPLE REPAIR 7.6-12.5 CM,569.00
 1500313,SIMPLE REPAIR FACE > 30 CM,1213.00
 1500314,SIMPLE REPAIR FACE 0-2.5 CM,418.00
 1500315,SIMPLE REPAIR FACE 12.6-20 CM,1052.50
 1500316,SIMPLE REPAIR FACE 2.6-5.0 CM,508.00
 1500317,SIMPLE REPAIR FACE 20.1-30 CM,1092.50
 1500318,SIMPLE REPAIR FACE 5.1-7.5 CM,614.50
 1500319,SIMPLE REPAIR FACE 7.6-12.5 CM,812.00
 1500320,IV PUSH INITIAL OR INFUSION<16 W/ XU,92.50
 1500321,SIMPLE TX WOUND DEHISCENCE,656.50
 1500322,SIMPLE TX WOUND DEHISCENCE W/P,419.50
 1500323,SKIN PINCH GRAFT PROCEDURE,729.00
 1500324,SMALL BOWEL ENDOSCOPY,215.00
 1500325,SPLINT FINGER,226.50
 1500326,SPLINT FINGER DYNAMIC,175.50
 1500327,SPLINT GRAFT/TRUNK/SCALP/ARMS,729.00
 1500328,SPLINT LONG ARM,276.50
 1500329,SPLINT LONG LEG,278.50
 1500330,SPLINT SHORT ARM,253.00
 1500331,SPLINT SHORT ARM DYNAMIC,175.50
 1500332,SPLINT SHORT LEG,261.50
 1500333,STRAPPING OF ANKLE,142.00
 1500334,STRAPPING OF ELBOW OR WRIST,138.00
 1500335,STRAPPING OF HAND OR FINGER,126.00
 1500336,STRAPPING OF HIP,162.00
 1500337,STRAPPING OF LOW BACK,179.00
 1500338,STRAPPING OF SHOULDER VELPEAU,169.00
 1500339,STRAPPING OF TOES,131.00
 1500340,SUPRAPUBIC CATH INSERTION,3637.50
 1500341,TEMPORARY EXTERNAL PACING,622.50
 1500342,TEMPORARY PACEMAKER INSERTION,1200.50
 1500343,THORACENTESIS,1683.00
 1500344,THORACENTESIS W/O IMAGING,2159.00
 1500345,THORACOTOMY & CARDIAC MASSAGE,3634.50
 1500346,THORACOTOMY MAJOR CONTROL,3634.50
 1500347,THROMBOLYSIS CEREBRAL BY IV IN,811.00
 1500348,THROMBOLYSIS CORONARY BY IV IN,939.50
 1500349,TOE METATARSOPHALANGEAL,463.50
 1500350,TRACHECTOMY TUBE CHANGE,202.50
 1500351,TRACHEOSTOMY,892.00
 1500352,TREAT EYE ORBIT FRACTURE,455.00
 1500353,TREAT FINGER DISLOCATION,582.50
 1500354,TREAT FINGER FRACTURE,365.50
 1500355,TREAT FINGER FX  EACH,582.50
 1500356,TREAT FRACTURE RADIUS AND ULNA,736.50
 1500357,TREAT FRACTURE RADIUS ULNA,2452.50
 1500358,TREAT FRACTURE RADIUS W/ MANIP,2452.50
 1500359,TREAT FRACTURE RADIUS/DISLOCAT,3462.50
 1500360,TREAT HAND DISLOCATION,485.50
 1500361,TREAT HIP DISLOCATION S/P SURG,736.50
 1500362,TREAT SESAMOIKD BONE FRACTURE,350.00
 1500363,TREAT VAGINAL BLEEDING,366.50
 1500364,TREATMENT CLSD ELBOW DISLOC,655.00
 1500365,TRIGGER POINT INJ 1-2 MUSCLES,444.50
 1500366,TRIM SKIN LESION,198.00
 1500367,TUBE PERICARDIOSTOMY,1455.00
 1500368,TX BIG TOE FX W/O MANIPULAITON,452.00
 1500369,TX BIMALLEOLAR ANKLE FRACTURE,2453.00
 1500370,TX CARPOMETACARPAL DIS W/MANIP,750.50
 1500371,TX CLAVICLE DISLOCATION,591.50
 1500372,TX DISLOCAT SHOUL FX W/MANIP,2381.50
 1500373,TX DISLOCATION AC W/ MANIP,544.50
 1500374,TX DISTAL FIBULAR FX W/ MANIP,750.50
 1500375,TX DISTAL TIBIA FX W/ MANIP,4381.00
 1500376,TX FINGER FX W/ MANIP,631.00
 1500377,TX HUMERUS EPICOND FX W/ MANIP,3567.00
 1500378,TX LUNATE WRIST DISLOC W/MANIP,971.00
 1500379,TX METACARPAL FX W/ MANIP,736.50
 1500380,TX PROX TIBIOFIBULAR JOINT,729.00
 1500381,TX PROXIMAL HUMERUS W/ MANIP,3842.00
 1500382,TX TARSAL FX W/ MANIPULATION,3567.00
 1500383,TX TIBIA FRACTURE W/ MANIP,4512.50
 1500384,TX TRIMALLEOLAR ANKLE FRACTURE,2381.50
 1500385,TX ULNAR FX W/ MANIP,3463.00
 1500386,TX HUMERAL CONDYLAR FX,612.50
 1500387,UMBILICAL ATRERY CATHETER,293.50
 1500388,UMBILICAL VEIN CATHETER,241.00
 1500389,VACCINE ADMINISTRATION,68.50
 1500390,VACCINE IM/SQ (EA ADDL),34.50
 1500391,VENIPUNCTURE < 3 SCALP VEIN,110.50
 1500392,VENIPUNCTURE CUTDOWN OVER 1 YR,142.00
 1500393,VENIPUNCTURE CUTDOWN UNDER 1YR,264.00
 1500394,VENIPUNCTURE NONROUTINE >3/ADU,50.50
 1500395,VITAL CAPACITY SCREENING,71.50
 1500396,WEDGING OF CAST,257.00
 1500397,WINDOWING OF CAST,176.00
 1500398,PEAK FLOW,239.00
 1500399,TX PROXIMAL HUMERUS FX,612.50
 1500400,CHEMICAL CAUTERY TISSUE,469.00
 1500401,"CRITICAL CARE,1ST 30-74 MIN",2927.00
 1500402,ER LEVEL I,225.50
 1500403,ER LEVEL I,225.50
 1500404,ER LEVEL II,366.50
 1500405,ER LEVEL II,366.50
 1500406,ER LEVEL III,648.00
 1500407,ER LEVEL III WITH MOD 25,648.00
 1500408,ER LEVEL IV,1154.00
 1500409,ER LEVEL IV WITH MOD 25,1154.00
 1500410,ER LEVEL V,1998.00
 1500411,ER LEVEL V WITH MOD 25,1998.00
 1500412,IV PUSH EACH PUSH OF DIF DRUG W/ XU,92.50
 1500413,IV INFUSION INITIAL (UPTO1HR) W/ XU,290.00
 1500414,IV HYDRATION EACH HR NONCONCUR W/ XU,57.50
 1500415,INJECTION IM OR SQ EACH W/ XU,92.50
 1500416,TRIGGER POINT INJ >3 MUSCLES,707.50
 1500417,CX REPAIR TRUNK 2.6-7.5CM,925.00
 1500418,CX REPAIR TRUNK EA ADDL 5CM,925.00
 1500419,CX RPR SCALP ARM LEG 1.1-2.5CM,1479.50
 1500420,CX REPAIR EYELID/EAR EA ADDL 5CM,1152.50
 1500422,IV HYDRATION INITIAL (1ST HR) W/ XU,242.00
 1500423,IV INFUSION EACH ADDL HR W/ XU,81.50
 1500424,IV INFUSION SEQUENTIAL W/ XU,81.50
 1500425,IV INFUSION CONCURRENT W/ XU,22.00
