Washington Hospital Healthcare System - 106010987,,"Price 1 = Inpatient, Emergency and Surgery patients",,
992041,PR OFFICE OUTPATIENT NEW 45 MINUTES, 479.00 , 479.00 ,
992051,PR OFFICE OUTPATIENT NEW 60 MINUTES, 617.00 , 617.00 ,
992111,PR OFFICE OUTPATIENT VISIT 5 MINUTES, 35.00 , 35.00 ,
992121,PR OFFICE OUTPATIENT VISIT 10 MINUTES, 96.00 , 96.00 ,
992131,PR OFFICE OUTPATIENT VISIT 15 MINUTES, 188.00 , 188.00 ,
992141,PR OFFICE OUTPATIENT VISIT 25 MINUTES, 290.00 , 290.00 ,
992151,PR OFFICE OUTPATIENT VISIT 40 MINUTES, 410.00 , 410.00 ,
992311,PR SBSQ HOSPITAL CARE/DAY 15 MINUTES, 149.00 , 149.00 ,
992321,PR SBSQ HOSPITAL CARE/DAY 25 MINUTES, 199.00 , 199.00 ,
992331,PR SBSQ HOSPITAL CARE/DAY 35 MINUTES, 284.00 , 284.00 ,
992511,PR INITL INPATIENT CONSULT NEW/ESTAB PT 20 MIN, 154.00 , 154.00 ,
992521,PR INITL INPATIENT CONSULT NEW/ESTAB PT 40 MIN, 240.00 , 240.00 ,
992531,PR INITL INPATIENT CONSULT NEW/ESTAB PT 55 MIN, 321.00 , 321.00 ,
992541,PR INITL INPATIENT CONSULT NEW/ESTAB PT 80 MIN, 442.00 , 442.00 ,
992551,PR INITIAL INPATIENT CONSULT NEW/ESTAB PT 110 MIN, 598.00 , 598.00 ,
258000221,HC SOD CHLORIDE 0.45% 1000ML BAG, 216.85 , 216.85 ,
258000231,HC SOD CHLORIDE 0.9% 50ML BAG, 116.31 , 116.31 ,
258000241,HC DEXT 5% 50ML BAG, 116.31 , 116.31 ,
258000251,HC DEXT 5% 100ML BAG, 116.31 , 116.31 ,
258000261,HC DEXT 5%/NACL 0.33% 500ML BAG, 216.85 , 216.85 ,
258000271,HC DEXT 5% 250ML BAG, 216.85 , 216.85 ,
258000281,HC DEXT 5%/NACL 0.2% 1000ML BAG, 216.85 , 216.85 ,
258000291,HC SOD CHLORIDE 0.9% 100ML BAG, 116.31 , 116.31 ,
258000301,HC SOD CHLORIDE 0.45% 1000ML BAG, 216.85 , 216.85 ,
258000311,HC DEXT 5% 50ML BAG, 116.31 , 116.31 ,
258000321,HC DEXT 5% 100ML BAG, 116.31 , 116.31 ,
258000331,HC DEXT 5%/NACL 0.2% 1000ML BAG, 216.85 , 216.85 ,
260000011,HC IV HYDRATION INITIAL 31-60 MIN, 681.44 , 681.44 ,
260000012,HC IV HYDRATION INITIAL 31-60 MIN, 611.62 , 611.62 ,
260000021,HC IV HYDRATION EA ADDL HR, 749.09 , 749.09 ,
260000022,HC IV HYDRATION EA ADDL HR, 660.19 , 660.19 ,
260000023,HC IV HYDRATION EA ADDL HR, 495.00 , 495.00 ,
260000031,HC IV THERAPEUTIC INITIAL 16-60 MIN, 784.62 , 784.62 ,
260000032,HC IV THERAPEUTIC INITIAL 16-60 MIN, 760.66 , 760.66 ,
260000033,HC IV THERAPEUTIC INITIAL 16-60 MIN, 162.56 , 162.56 ,
260000041,HC IV THERAPEUTIC EA ADDL HR, 550.70 , 550.70 ,
260000042,HC IV THERAPEUTIC EA ADDL HR, 118.48 , 118.48 ,
260000051,HC IV THERAPEUTIC SEQUENTIAL DIFF RX, 550.70 , 550.70 ,
260000052,HC IV THERAPEUTIC SEQUENTIAL DIFF RX, 107.85 , 107.85 ,
260000061,HC IV THERAPEUTIC CONCURRENT, 688.37 , 688.37 ,
260000062,HC IV THERAPEUTIC CONCURRENT, 107.85 , 107.85 ,
260000071,HC IV PUSH INITIAL, 325.00 , 325.00 ,
260000072,HC IV PUSH INITIAL, 256.22 , 256.22 ,
260000073,HC IV PUSH INITIAL, 248.40 , 248.40 ,
260000074,HC IV PUSH INITIAL, 236.97 , 236.97 ,
260000081,HC IV PUSH EA ADDL NEW DRUG, 688.37 , 688.37 ,
260000082,HC IV PUSH EA ADDL NEW DRUG, 325.00 , 325.00 ,
260000083,HC IV PUSH EA ADDL NEW DRUG, 236.97 , 236.97 ,
260000091,HC IV PUSH SUBSEQUENT SAME SUB, 550.70 , 550.70 ,
260000092,HC IV PUSH SUBSEQUENT SAME SUB, 325.00 , 325.00 ,
260000093,HC IV PUSH SUBSEQUENT SAME SUB, 236.97 , 236.97 ,
260000101,HC IV THERAPEUTIC >8HRS W/PUMP," 2,167.15 "," 2,167.15 ",
260000111,HC IM INJECTION," 3,684.62 "," 3,684.62 ",
270000011,HC DISP SURG TRAY PELVIC/2, 369.53 , 369.53 ,
270000021,HC CATH THORACIC STRAIGHT 36FR 20 IN, 295.50 , 295.50 ,
270000061,HC BED BARIATRIC BIG TURN," 3,144.63 "," 3,144.63 ",
270000081,HC BED BARIATRIC MIGHTY AIR," 3,144.63 "," 3,144.63 ",
270000091,HC AIR MATTRESS OVERLAY W/PUMP, 483.31 , 483.31 ,
270000101,HC AIR MATTRESS REPLACEMENT, 483.31 , 483.31 ,
270000111,HC IAB CATHETER EXTENDER-24 IN, 539.37 , 539.37 ,
270000121,HC IABP BALLOON 8FR 34CC," 9,009.02 "," 9,009.02 ",
270000131,HC IABP BALLOON 8FR 40CC," 9,009.02 "," 9,009.02 ",
270000141,HC TRANSDUCER ART LINE SINGLE, 803.87 , 803.87 ,
270000151,HC KIT TRANSDUCER 049964-400, 705.06 , 705.06 ,
270000161,HC NAMIC 64000090 SPIKE-CHMBR, 119.32 , 119.32 ,
270000171,HC IAB CATH EXTENDER 72 INCH, 231.26 , 231.26 ,
270000181,HC STERI DRAPE 1020, 407.73 , 407.73 ,
270000191,HC KIT GASTRO 14FR," 2,799.60 "," 2,799.60 ",
270000201,HC TUBE GASTRO REPLACEMENT 20FR, 858.88 , 858.88 ,
270000211,HC NEEDLE SCLEROTHERAPY NM5L-AE," 1,076.41 "," 1,076.41 ",
270000221,HC PAPILLOTOME NEEDLE KNIFE HPC 2," 1,944.09 "," 1,944.09 ",
270000231,HC GEENEN REPLACEMENT CATH 6-200, 705.96 , 705.96 ,
270000241,HC KIT GASTRO 20FR," 1,739.52 "," 1,739.52 ",
270000251,HC TUBE FEEDING INFANT 5FR 15 IN, 56.91 , 56.91 ,
270000261,HC FEED SET BAG W/FLUSH, 183.93 , 183.93 ,
270000271,HC FEED TUBE SPIKE W/FLUSH, 164.05 , 164.05 ,
270000281,HC SALEM SUMP TUBE 8FR, 200.17 , 200.17 ,
270000291,HC SALEM SUMP TUBE 14FR, 124.22 , 124.22 ,
270000301,HC TUBE GASTRO REPLACEMENT 24FR, 317.82 , 317.82 ,
270000311,HC TUBE GASTRO REPLACEMENT 20FR/1, 317.82 , 317.82 ,
270000321,HC TUBE GASTRO REPLACEMENT 18FR, 317.82 , 317.82 ,
270000331,HC TUBE GASTRO REPLACEMENT 16FR, 317.82 , 317.82 ,
270000341,HC SALEM SUMP TUBE 16FR, 87.95 , 87.95 ,
270000351,HC TUBE LEVINE 16FR RUBBER, 296.03 , 296.03 ,
270000361,HC TUBE LEVINE 18FR  RUBBER, 296.03 , 296.03 ,
270000371,HC SALEM SUMP TUBE 18FR, 87.95 , 87.95 ,
270000381,HC SALEM SUMP TUBE 10FR, 84.24 , 84.24 ,
270000391,HC SALEM SUMP TUBE 12FR, 84.24 , 84.24 ,
270000401,HC KIT LAVAGE GASTRIC-EDLICH, 300.40 , 300.40 ,
270000411,HC TUBE GASTRO REPLACEMENT 14FR, 317.82 , 317.82 ,
270000421,HC KIT GASTRIC LAVAGE SYS W/BAG, 532.18 , 532.18 ,
270000431,HC TUBE FEEDING INFANT 8FR 15 IN, 57.31 , 57.31 ,
270000441,HC FEED TUBE CLOG ZAPPER, 486.27 , 486.27 ,
270000451,HC TUBE FEEDING 12FR 45 IN STYLET, 180.51 , 180.51 ,
270000461,HC FEED TUBE FLEXIFLOW 12FR 36 IN, 231.58 , 231.58 ,
270000471,HC FEED TUBE CORPACK 10FR DUODENAL, 552.21 , 552.21 ,
270000481,HC TUBE FEEDING JEJUNAL 8FR," 1,049.64 "," 1,049.64 ",
270000491,HC VALVE ANTI-REFLUX KEITH, 179.65 , 179.65 ,
270000501,HC FEED TUBE 10FR 43, 733.74 , 733.74 ,
270000511,HC FEED TUBE 10FR 55, 750.19 , 750.19 ,
270000531,HC DOUCHE TRAY, 211.48 , 211.48 ,
270000541,HC TILT TABLE MODULE, 554.75 , 554.75 ,
270000551,HC EMERGENCY EPISTAXIS TRAY," 2,417.01 "," 2,417.01 ",
270000571,HC TRAY LP SPINAL ADULT 18X3 1/2, 466.02 , 466.02 ,
270000581,HC TRAY LP SPINAL PEDIATRIC 22X1 1/2, 423.05 , 423.05 ,
270000591,HC THORACENTESIS TRAY DISPOSABLE, 696.94 , 696.94 ,
270000601,HC TRACHEOSTOMY TRAY, 121.69 , 121.69 ,
270000621,HC TRAY ARTHROGRAM, 423.05 , 423.05 ,
270000631,HC TRAY OB LOCAL DISPOSABLE, 264.42 , 264.42 ,
270000651,HC TRAY MYELOGRAM," 1,258.50 "," 1,258.50 ",
270000661,HC TRAY LP SPINAL ADULT 22X3 1/2, 466.02 , 466.02 ,
270000671,HC ACTIVASE MODULE, 670.74 , 670.74 ,
270000681,HC TRAY AMNIOCENTESIS P, 455.43 , 455.43 ,
270000691,HC TRAY UNIVERSAL BLOCK, 493.97 , 493.97 ,
270000701,HC TRAY PERITONEAL LAVAGE, 659.54 , 659.54 ,
270000711,HC PACING TRAY, 201.01 , 201.01 ,
270000721,HC PCMKR/OR SKIN TRAY," 2,415.14 "," 2,415.14 ",
270000731,HC KIT PERCUTANEOUS TRACHEOSTOMY," 1,581.99 "," 1,581.99 ",
270000751,HC STAPLE EXTRACTOR, 158.60 , 158.60 ,
270000761,HC SET SUTURE REMOVAL LARGE, 359.51 , 359.51 ,
270000771,HC SET SUTURE REMOVAL SMALL, 178.28 , 178.28 ,
270000791,HC SET SUTURE INST DISP, 427.80 , 427.80 ,
270000801,HC PELVIC TRAY, 204.66 , 204.66 ,
270000831,HC ANASCOPE, 29.14 , 29.14 ,
270000841,HC WIRE CUTTING SCISSOR, 126.61 , 126.61 ,
270000851,HC TRANSTRACHEAL PROCEDURE TRAY," 3,375.65 "," 3,375.65 ",
270000861,HC SCISSORS 4 1/2 INCH, 51.89 , 51.89 ,
270000871,HC PREMIE PROBE II, 353.30 , 353.30 ,
270000881,HC DISP SURG BURRETTE, 130.00 , 130.00 ,
270000891,HC DISP SURG TUBING STND MINI-MED P, 212.32 , 212.32 ,
270000901,HC DISP SURG TUBING BLOOD W FILTER, 82.41 , 82.41 ,
270000911,HC DISP SURG TUBING BLOOD Y W/PUMP, 93.82 , 93.82 ,
270000921,HC DISP SURG TUBING BLOOD W Y, 126.27 , 126.27 ,
270000931,HC DISP SURG TUBING CONTROL-A-FLO, 187.87 , 187.87 ,
270000941,HC DISP SURG TUBING MICROBORE 5IN, 27.53 , 27.53 ,
270000951,HC DISP SURG TUBING BLOOD MINI-MED, 279.27 , 279.27 ,
270000961,HC DISP SURG TUBING PORTLESS MINIMED, 121.47 , 121.47 ,
270000971,HC DISP SURG NDL BUTTERFLY 19GA, 57.10 , 57.10 ,
270000981,HC DISP SURG NDL BUTTERFLY 21GA, 57.10 , 57.10 ,
270000991,HC DISP SURG NDL BUTTERFLY 23GA, 57.10 , 57.10 ,
270001001,HC DISP SURG TUBING BLOOD DONOR, 65.60 , 65.60 ,
270001011,HC DISP SURG TUBING ADD-A-LINE, 69.25 , 69.25 ,
270001021,HC DISP SURG NDL BUTTERFLY 25GA, 57.10 , 57.10 ,
270001031,HC DISP SURG KIT INTRAVENOUS START, 63.32 , 63.32 ,
270001041,HC DISP SURG TUBING PEDIATRIC, 72.45 , 72.45 ,
270001051,HC DISP SURG TUBING EXT DIAL-A-FLOW, 187.22 , 187.22 ,
270001061,HC DISP SURG TUBING ADULT, 56.99 , 56.99 ,
270001071,HC DISP SURG TUBING VENTED, 29.38 , 29.38 ,
270001081,HC DISP SURG TUBING MICROBORE 60IN, 91.64 , 91.64 ,
270001091,HC DISP SURG TUBING CHEMO-LINE, 47.59 , 47.59 ,
270001101,HC IV CATH L-CATH 24GA, 691.83 , 691.83 ,
270001111,HC DISP SURG SLEEVE SKIN PAD EA, 190.01 , 190.01 ,
270001121,HC DISP SURG TUBING PCA Y SET, 163.42 , 163.42 ,
270001131,HC DISP SURG TUBING PCA EXT SET, 169.20 , 169.20 ,
270001151,HC COVERED YANKAUER FOR ORAL SUCTION, 161.08 , 161.08 ,
270001161,HC OMNICUP KIWI, 506.14 , 506.14 ,
270001171,HC MAMMO BIOPSY SITE IDENTIFIER 8GA," 1,496.50 "," 1,496.50 ",
270001181,HC MAMMO BIOPSY SITE IDENTIFIER 11GA," 1,496.50 "," 1,496.50 ",
270001191,HC MAMMO II BIOPSY SITE IDENTIF 11GA," 1,496.50 "," 1,496.50 ",
270001201,HC DISP SURG SPIROMETER, 232.60 , 232.60 ,
270001211,HC MAMMO II MR BIOP SITE IDENTI 8GA," 1,461.19 "," 1,461.19 ",
270001221,HC MAMMO PROBE 8 GA," 4,021.96 "," 4,021.96 ",
270001231,HC MAMMO PROBE BLADED 11GA," 3,990.20 "," 3,990.20 ",
270001241,HC DISP SURG KIT ORAL BRUSH SUCTION, 257.92 , 257.92 ,
270001251,HC DISP SURG SUCTION TIP YANKAUER, 63.32 , 63.32 ,
270001261,HC PROBE GUIDE 8GA, 241.63 , 241.63 ,
270001271,HC PROBE GUIDE 11GA, 241.63 , 241.63 ,
270001281,HC MAMMO PROBE 8GA," 3,998.16 "," 3,998.16 ",
270001291,HC MAMMO PROBE 11GA," 3,974.32 "," 3,974.32 ",
270001301,HC CORMARK BIOPSY SITE IDENTIF 14GA," 1,496.50 "," 1,496.50 ",
270001311,HC BBG NASAL ASPIRATOR, 44.99 , 44.99 ,
270001321,HC MAMMO VARIABLE APERATURE SLEEVE 8, 364.85 , 364.85 ,
270001331,HC MAMMO VARIABLE APERAT SLEEVE 11GA, 364.85 , 364.85 ,
270001341,HC MAMMO VACUUM SET, 399.07 , 399.07 ,
270001351,HC MAMMO VACUUM CANNISTER, 205.82 , 205.82 ,
270001361,HC VENAFLOW CALF CUFF MEDIUM, 466.57 , 466.57 ,
270001371,HC VENAFLOW CALF CUFF XL, 466.57 , 466.57 ,
270001381,HC VENAFLOW CALF CUFF BARIATRIC, 501.85 , 501.85 ,
270001391,HC VENAFLOW THIGH CUFF UNIVERSAL, 739.50 , 739.50 ,
270001401,HC KIT SUCTION CATH 10FR, 416.64 , 416.64 ,
270001411,HC CELERO-12 IDENTIFIER BIOPSY SITE," 1,258.27 "," 1,258.27 ",
270001421,HC CELERO-12 BIOPSY VACUUM-ASSISTED," 3,864.21 "," 3,864.21 ",
270001431,HC ORAL CLEANSING SYSTEM @THUMB PORT, 428.63 , 428.63 ,
270001441,HC STOCKING THIGH SHORT EXTRA LRG, 160.85 , 160.85 ,
270001451,HC TRAY LP SPINAL ADULT 20X3 1/2, 466.02 , 466.02 ,
270001461,HC TUBING SUCTION CONN 3/16 IN 12 FT, 53.86 , 53.86 ,
270001471,HC SAGE ORAL CARE KITS 4 HOUR, 421.03 , 421.03 ,
270001481,HC SAGE ORAL CARE KITS 8 HOUR, 234.44 , 234.44 ,
270001491,HC DISP SURG BONE BIOPSY SYS," 1,724.41 "," 1,724.41 ",
270001501,HC DISP INSTRU PROBE ANT COOL TIP," 24,070.92 "," 24,070.92 ",
270001511,HC KIT SUCTION CATH 18FR, 416.64 , 416.64 ,
270001521,HC DISP SURG GZ 6X6.75 EA, 15.99 , 15.99 ,
270001531,HC TRAY URINE COUDE CATH 16FR, 311.47 , 311.47 ,
270001541,HC BAG RESERVOIR EPIDURAL, 217.23 , 217.23 ,
270001551,HC COVER HYPERTHERMIA, 743.56 , 743.56 ,
270001561,HC BILE BAG DISPOSABLE, 198.75 , 198.75 ,
270001571,HC DISP SURG TUBING EPIDURAL, 217.23 , 217.23 ,
270001581,HC DISP SURG ADAPTER EPIDUR VENTED, 63.86 , 63.86 ,
270001591,HC MEDICUT 16GA, 89.98 , 89.98 ,
270001601,HC MEDICUT 18GA, 89.98 , 89.98 ,
270001611,HC MEDICUT 20GA, 89.98 , 89.98 ,
270001621,HC VENOUS PRESS SET, 380.74 , 380.74 ,
270001631,HC MEDICUT 14GA, 89.98 , 89.98 ,
270001641,HC MEDICUT 22GA, 89.98 , 89.98 ,
270001651,HC TRAY INFUSOR, 89.98 , 89.98 ,
270001661,HC STOPCOCK 3-WAY MX 511, 46.44 , 46.44 ,
270001671,HC STOPCOCK 3-WAY K-69, 76.66 , 76.66 ,
270001681,HC PANTY PERINEURAL STRETCH, 28.20 , 28.20 ,
270001691,HC WOUND VAC DRESSING LARGE WHITE, 204.66 , 204.66 ,
270001701,HC WOUND VAC DRAPE, 64.21 , 64.21 ,
270001711,HC OSTOMY LOOP SET, 405.82 , 405.82 ,
270001721,HC STERI STRIP 1/2 IN MEDICATED, 55.33 , 55.33 ,
270001731,HC RECTAL TUBE, 35.85 , 35.85 ,
270001741,HC DISP SURG TUBING EXT K52L, 74.05 , 74.05 ,
270001751,HC DISP SURG TUBING PRESSURE P206, 99.35 , 99.35 ,
270001761,HC TUBING SUCTION CONN 7/32 IN 6 FT, 38.10 , 38.10 ,
270001771,HC DISP SURG TUBING PRESS M/F 60IN, 613.37 , 613.37 ,
270001781,HC TUBE CONNECTOR W/T 4612-04, 195.72 , 195.72 ,
270001791,HC SUCTION TUBE ATTACHMENT DEVICE, 113.63 , 113.63 ,
270001801,HC TUBING SUCTION CONN 3/16 IN 20 FT, 97.60 , 97.60 ,
270001811,HC NASAL HEMOSTAT, 201.01 , 201.01 ,
270001821,HC SUCTION CATH REGU VAC 14FR, 44.36 , 44.36 ,
270001831,HC KIT SUCTION CATH 12FR, 24.24 , 24.24 ,
270001841,HC CATH ARTERIAL LINE, 319.65 , 319.65 ,
270001851,HC PLUG LUER-LOCK, 29.91 , 29.91 ,
270001861,HC SPECBOARD, 352.43 , 352.43 ,
270001871,HC TRAY THORACIC VENT    TV11-13," 4,067.46 "," 4,067.46 ",
270001881,HC RESTRAINT LIMB INFANT, 100.74 , 100.74 ,
270001891,HC WRISTLET PAIR, 200.05 , 200.05 ,
270001901,HC FREEDOM SPLINT, 233.60 , 233.60 ,
270001911,HC DISP SURG TUBING BLOOD SET WARM, 370.05 , 370.05 ,
270001921,HC BOOT HEEL LIFT SUSPENSION, 623.56 , 623.56 ,
270001931,HC K-PAD REPLACEMENT 12X17, 438.31 , 438.31 ,
270001941,HC K-PAD REPLACEMENT 18X24, 391.34 , 391.34 ,
270001951,HC MITT FINGER CONTROL PAIR, 425.55 , 425.55 ,
270001961,HC ROTATOR FEMALE/MALE LL MX 497, 91.45 , 91.45 ,
270001971,HC OXYSENSOR NEONATAL, 637.98 , 637.98 ,
270001981,HC OXYSENSOR INFANT, 637.98 , 637.98 ,
270001991,HC COVER HYPERTHERMIA PROBE DISP, 444.18 , 444.18 ,
270002001,HC SITZ BATH DISPOSABLE, 124.74 , 124.74 ,
270002011,HC COVER KNEE," 1,247.15 "," 1,247.15 ",
270002021,HC KIT ENEMA DISPOSABLE, 51.82 , 51.82 ,
270002031,HC CRRT EFFLUENT BAG 5L PRISMA, 136.49 , 136.49 ,
270002041,HC DISP SURG SET FILTER CRRT," 3,412.05 "," 3,412.05 ",
270002051,HC DISP SURG SET FILTER PRISMAFLEX," 3,749.44 "," 3,749.44 ",
270002061,HC DISP SURG CONNECTOR Y DIALYSIS, 231.00 , 231.00 ,
270002071,HC CRRT SPIKE ADAPTOR PRISMA, 96.34 , 96.34 ,
270002081,HC DELETED/25," 2,694.13 "," 2,694.13 ",
270002091,HC WOUND VAC CANISTER W/ISOLYZER, 483.29 , 483.29 ,
270002101,HC SUCTION CANNISTER, 138.95 , 138.95 ,
270002111,HC DISP SURG SYS SUCTION DRAIN 300ML, 477.09 , 477.09 ,
270002121,HC RESTRAINT VEST X LARGE, 268.59 , 268.59 ,
270002131,HC MECONIUM SUCTION DEVICE KURTIS, 200.62 , 200.62 ,
270002141,HC TRANSDUCER INTRAUTERINE, 707.48 , 707.48 ,
270002151,HC AE HOSE THIGH EXTRA LARGE/LONG, 139.80 , 139.80 ,
270002161,HC AE HOSE THIGH EXTRA LARGE/REG, 139.80 , 139.80 ,
270002171,HC CONNECTOR CATH CLC2000, 50.48 , 50.48 ,
270002181,HC STATLOCK PICC PLUS VENTEC, 122.23 , 122.23 ,
270002191,HC COMFORT GEL PAIR, 246.27 , 246.27 ,
270002201,HC HEIMLICH CHEST VALVE, 331.10 , 331.10 ,
270002211,HC RINGS FOAM, 412.43 , 412.43 ,
270002221,HC SHEEPSKIN," 1,369.61 "," 1,369.61 ",
270002231,HC AE HOSE KNEE X LARGE/REGULAR, 167.70 , 167.70 ,
270002241,HC AE HOSE THIGH LARGE/LONG, 291.56 , 291.56 ,
270002251,HC AIRWAY NASOPHARYNGEAL 6MM 26 FR, 243.90 , 243.90 ,
270002261,HC CO2 DETECTOR EASY CAP ADULT, 389.93 , 389.93 ,
270002271,HC MITYVAC EXTRACTION CUP 007-M, 11.59 , 11.59 ,
270002281,HC VALVE LOPEZ, 76.90 , 76.90 ,
270002291,HC BREAST PUMP, 524.21 , 524.21 ,
270002301,HC DISP SURG TUBING EXT LUER NL, 85.42 , 85.42 ,
270002311,HC DISP SURG TUBING EXT LUER Y NL, 126.05 , 126.05 ,
270002321,HC PLUG CATH URINARY, 11.90 , 11.90 ,
270002331,HC OXYSENSOR ADULT NASAL, 578.40 , 578.40 ,
270002341,HC SUCTION FRAZIER 10FR, 85.22 , 85.22 ,
270002351,HC ISOLATION CONTACT, 105.62 , 105.62 ,
270002361,HC ISOLATION STRICT, 105.62 , 105.62 ,
270002371,HC ISOLATION DRAIN/SECRETE, 105.62 , 105.62 ,
270002381,HC ISOLATION RESPIRATORY, 105.62 , 105.62 ,
270002391,HC ISOLATION ENTERIC, 105.62 , 105.62 ,
270002401,HC NURSE-DRI BREAST SHIELD, 227.49 , 227.49 ,
270002411,HC RESTRAINT VEST SMALL, 315.54 , 315.54 ,
270002421,HC RESTRAINT VEST LARGE, 315.54 , 315.54 ,
270002431,HC RESTRAINT VEST MEDIUM, 315.54 , 315.54 ,
270002441,HC HICKMAN INJECTION CAP, 61.17 , 61.17 ,
270002451,HC AE HOSE KNEE LARGE/REGULAR, 167.70 , 167.70 ,
270002461,HC DISP STOCKING THIGH REG XL, 160.85 , 160.85 ,
270002471,HC DISP STOCKING THIGH REG 2XL, 160.85 , 160.85 ,
270002481,HC DISP STOCKING THIGH SHORT 2XL, 160.85 , 160.85 ,
270002491,HC DISP STOCKING KNEE LONG XXL, 229.60 , 229.60 ,
270002501,HC DISP STOCKING KNEE REG XXXL, 229.60 , 229.60 ,
270002511,HC AE HOSE KNEE LARGE/LONG, 167.70 , 167.70 ,
270002521,HC AE HOSE KNEE MEDIUM/REGULAR, 167.70 , 167.70 ,
270002531,HC AE HOSE KNEE MEDIUM/LONG, 167.70 , 167.70 ,
270002541,HC AE HOSE KNEE SMALL/REGULAR, 167.70 , 167.70 ,
270002551,HC AE HOSE KNEE SMALL/X LONG, 167.70 , 167.70 ,
270002561,HC AE HOSE THIGH LARGE/SHORT, 291.56 , 291.56 ,
270002571,HC AE HOSE THIGH LARGE/REGULAR, 291.56 , 291.56 ,
270002581,HC AE HOSE THIGH MEDIUM/REGULAR, 291.56 , 291.56 ,
270002591,HC AE HOSE THIGH MEDIUM/LONG, 291.56 , 291.56 ,
270002601,HC COMPRESSION FEM STOP 0175500," 1,449.59 "," 1,449.59 ",
270002611,HC AE HOSE THIGH MEDIUM/SHORT, 291.56 , 291.56 ,
270002621,HC AE HOSE THIGH SMALL/LONG, 291.56 , 291.56 ,
270002631,HC AE HOSE THIGH SMALL/SHORT, 291.56 , 291.56 ,
270002641,HC AE HOSE THIGH SMALL/REGULAR, 291.56 , 291.56 ,
270002651,HC OXYSENSOR OXYTIP ADULT, 520.03 , 520.03 ,
270002661,HC AIRWAY NASAL 30FR, 306.75 , 306.75 ,
270002671,HC SUCTION FRAZIER 16FR, 85.22 , 85.22 ,
270002681,HC SUCTION FRAZIER 8FR, 85.22 , 85.22 ,
