BATON ROUGE GENERAL HOSPITAL CHARGES,,
"Federal reporting rules require hospitals to maintain a catalog of thousands of procedure codes, code descriptions and list prices in a complex accounting tool, known as the hospital chargemaster. The prices listed on the chargemaster do not reflect what patients will ultimately pay as insurance companies negotiate discounts on the list prices. In addition, co-pays, co-insurance and deductibles can also bring additional discounts before a final charge is determined.                                                                                                                                                                                               ",,
"To get an accurate estimate of what your out of pocket expenses will be, contact us at (225) 381-6276, Monday through Friday, from 8 a.m. – 4:30 p.m.",,
,,
Chg Code,Description,Chg Amt
23500226,SMPL RPR S/N/AX/GEN/TR 7.6CM - 12.5CM,$490.55
23500234,SMPL RPR S/N/AX/GEN/TR 12.6CM - 20.0CM,$513.55
23500242,SMPL RPR S/N/AX/GEN/TR 20.1CM - 30.0CM,$557.45
23500259,SMPL RPR S/N/AX/GEN/TR >30.0CM,$640.20
23500267,SMPL RPR F/E/E/N/L/MM 2.5CM OR LESS,$447.90
23500275,SMPL RPR F/E/E/N/L/MM 2.6CM - 5.0CM,$459.50
23500283,SMPL RPR F/E/E/N/L/MM 5.1CM - 7.5CM,$471.10
23500291,SMPL RPR F/E/E/N/L/MM 7.6CM - 12.5CM,$490.55
23500309,SMPL RPR F/E/E/N/L/MM 12.6CM - 20.0CM,$513.55
23500317,SMPL RPR F/E/E/N/L/MM 20.1CM - 30.0CM,$708.00
23500325,SMPL RPR F/E/E/N/L/MM >30.0CM,$944.40
23500333,INTMD RPR S/AX/TR/EX 2.5CM OR LESS,$525.60
23500341,INTMD RPR S/AX/TR/EX  2.6CM - 7.5CM,$542.70
23500358,INTMD RPR S/AX/TR/EX  7.6CM - 12.5CM,$556.70
23500366,INTMD RPR S/AX/TR/EX 12.6CM - 20.0CM,$600.85
23500374,INTMD RPR S/AX/TR/EX 20.1CM - 30.0CM,$665.90
23500382,INTMD RPR S/AX/TR/EX >30.0CM,$748.65
23500390,INTMD RPR N/H/FT/EXT/GEN 2.5CM OR LESS,$525.60
23500408,INTMD RPR N/H/FT/EXT/GEN 2.6CM - 7.5CM,$542.70
23500416,INTMD RPR N/H/FT/EXT/GEN 7.6CM - 12.5CM,$556.70
23500424,INTMD RPR N/H/FT/EXT/GEN 12.6CM - 20.0CM,$600.85
23500432,INTMD RPR N/H/FT/EXT/GEN 20.1CM - 30.0CM,$665.90
23500440,INTMD RPR N/H/FT/EXT/GEN >30.0CM,$748.65
23500457,INTMD RPR F AND/OR MM 2.5CM OR LESS,$525.60
23500465,INTMD RPR F AND/OR MM 2.6CM - 5.0CM,$534.15
23500473,INTMD RPR F AND/OR MM 5.1CM - 7.5CM,$542.70
23500481,INTMD RPR F AND/OR MM 7.6CM - 12.5CM,$556.70
23500499,INTMD RPR F AND/OR MM 12.6CM - 20.0CM,$600.85
23500507,INTMD RPR F AND/OR MM  20.1CM - 30.0CM,$888.00
23500515,INTMD RPR F AND/OR MM >30.0CM,"$1,016.40"
23500523,MED SRVC EVE/WKEND/HLD,$23.40
23500531,TX OF BURN SMALL,$192.00
23500549,TX OF BURN MEDIUM,$272.00
23500556,TX OF BURN LARGE,$408.00
23500564,"EXPLORE WOUND, EXTREMITY","$1,450.00"
23500572,ASP/INJ INTERMEDIATE JOINT,$326.35
23500580,ASP/INJ MAJOR JT,$368.90
23500598,TREAT ELBOW DISLC CHILD CLSD,$526.45
23500606,REDUCE RADIUS/ULNA FX,"$1,353.00"
23500614,DNG FINGER ABS; SIMPLE,$600.00
23500622,DNG FINGER ABS; COMPLEX,"$1,111.00"
23500630,REDUCE FINGER DISLOCATION,$556.00
23500648,APPLY LONG ARM SPLINT,$242.00
23500655,APPLY FOREARM SPLINT,$232.00
23500663,APPLY LONG LEG SPLINT,$237.95
23500671,APPLY LOWER LEG SPLINT,$231.95
23500689,REMOVE NASAL FOREIGN BODY,$415.00
23500697,"CONTROL NOSEBLD, ANT. SIMPLE",$467.00
23500705,REMOVE VAGINAL FOREIGN BODY,"$4,875.19"
23500713,NURSE BLD DRAW (NO HL/IV INS),$19.30
23500721,COLLECT BLD SPCMN-IMPL VEN DEV,$60.00
23500739,COLLECT BLD CENTRL/PERIPH CATH,$48.50
23500747,DRAINAGE OF GUM LESION,$468.50
23500754,INS NONINDWEL URINARY RETENTN,$168.00
23500762,INSERT INDWELLING URINARY SMPL,$212.05
23500770,I&D BARTHOLIN'S GLAND ABSCESS,$540.50
23500788,I&D VULVA/PERINEUM,$297.00
23500796,NERVE BLOCK INJ FACIAL,$544.65
23500804,NERVE BLOCK INJ PERIPHERAL,$615.05
23500812,REM. FB EXT EYE; SUPERFICIAL,$226.85
23500820,I&D EXT. EAR; SIMPLE,$329.00
23500838,REM. FB EXT. EAR,$248.35
23500846,REMOVE IMPACTED EAR WAX,$80.00
23500853,ED HAND HELD NEB INITIAL,$55.00
23500861,ED HAND HELD NEB REPT SAME DAY,$55.00
23500879,IMMUNIZATION ADMIN,$90.15
23500887,IMMUNIZATION ADMIN MOD-59,$90.15
23500895,"IMMUNIZATION ADMIN, EA ADDTL",$90.15
23500903,"HYDRATION IV INFUS, 1ST HR",$277.65
23500911,"HYDRATION IV INFUS, 1ST HR 59",$277.65
23500929,"HYDRATION IV INFUS, ADDL HR",$136.75
23500937,"TX IV INFUS, INITL DRUG 1ST HR",$347.35
23500945,"TX IV INFUS, INITL D 1ST HR 59",$347.35
23500952,"TX IV INFUS, ADDL HR INITL/SEQ",$173.70
23500960,"TX IV INFUS, ADDL SEQ 1ST HR",$260.50
23500978,"TX IV INFUS, CONCUR, 1X ONLY",$173.70
23500986,TX INJ SC/IM,$90.15
23500994,TX INJ SC/IM MOD-59,$90.15
23501000,TX INJ IM ANTIBIOTIC,$90.15
23501018,TX INJ IM ANTIBIOTIC MOD-59,$90.15
23501026,"TX IV INJ, PUSH INITL DRUG",$173.05
23501034,"TX IV INJ, PUSH INITL DRUG 59",$140.05
23501042,"TX IV INJ, PUSH SUBS DRUG",$173.05
23501059,"TX IV INJ, PUSH SUBS DRUG 59",$140.05
23501067,"TX IN INJ, PUSH SAME DRUG",$173.05
23501075,"TX IN INJ, PUSH SAME DRUG - 59",$140.05
23501083,CPR,"$1,098.10"
23501091,EXPRESS CARE STAT VISIT,$0.00
23501109,MISC. PROC. I,$0.00
23501117,MISC. PROC. II,$0.00
23501125,MISC. PROC. III,$0.00
23501133,MISC. PROC. IV,$0.00
23501141,MISC. PROC. V,$0.00
23501158,MISC. PROC. VI,$0.00
23501166,ROCHE ACCUCHEK INFORM II,$16.00
23501174,I-STAT HCT,$32.75
23501182,SIEMENS CLINITEK U/A,$40.00
23501190,BINAXNOW INFLUENZA  A&B,$46.50
23501209,QUIDEL QUICKVUE IN-LINE STREP A,$44.50
23501216,URINE PREG TEST (UPT),$73.80
23501224,"NECK, SOFT TISSUE",$0.00
23501232,X SHOULDER RT,$0.00
23501240,X HUMERUS RIGHT,$0.00
23501257,X ELBOW 2 VIEWS RIGHT,$0.00
23501265,X FOREARM BIL,$0.00
23501273,X WRIST 2 VIEWS RIGHT,$0.00
23501281,X WRIST MIN 3 VIEWS BIL,$0.00
23501299,X SHOULDER LT,$0.00
23501307,X SHOULDER BILATERAL,$0.00
23501315,X HUMERUS LEFT,$0.00
23501323,X HUMERUS BIL,$0.00
23501331,X ELBOW 2 VIEWS LEFT,$0.00
23501349,X ELBOW 2 VIEWS BIL,$0.00
23501356,X HAND 2 VIEWS RIGHT,$0.00
23501364,X HAND MIN 3 VIEWS BIL,$0.00
23501372,X FINGERS BIL,$0.00
23501380,X CHEST 1 VIEW AP/PA,$0.00
23501398,I-STAT BMP,$220.50
23501422,X KUB ABDOMEN SINGLE VIEW,$0.00
23501430,X ABD FLAT/ERECT AND/OR DECU,$0.00
23501448,C-SPINE (2 VIEWS),$0.00
23501463,T-SPINE (2 VIEWS),$0.00
23501471,L-SPINE (2 VIEWS),$0.00
23501497,X PELVIS,$0.00
23501505,X HIP UNI 1 VIEW INCL PELVIS RT,$0.00
23501513,X HIP UNI 2-3 VIEWS INCL PELVIS RT,$0.00
23501521,X HIPS BILAT 2 VIEWS INCL PELVIS,$0.00
23501539,X FEMUR 1 VIEW RIGHT,$0.00
23501547,X KNEE LIMITED LEFT AP/LAT,$0.00
23501554,X KNEE  3 VIEWS BILATERAL,$0.00
23501562,X KNEE LIMITED RIGHT AP/LAT,$0.00
23501570,X ANKLE 2 VIEWS RT,$0.00
23501588,X ANKLE MIN 3 VIEWS BIL,$0.00
23501596,X FOOT LEFT AP/LAT,$0.00
23501604,X FOOT COMPLETE MIN 3 VIEWS BIL,$0.00
23501612,X TOE(S) BILATERAL,$0.00
23501620,X FOREARM RIGHT,$0.00
23501638,X FOREARM LEFT,$0.00
23501646,X WRIST 2 VIEWS LEFT,$0.00
23501653,X WRIST 2 VIEWS BIL,$0.00
23501661,X WRIST MIN 3 VIEWS RT,$0.00
23501679,X WRIST MIN 3 VIEWS LT,$0.00
23501687,X HAND 2 VIEWS LEFT,$0.00
23501695,X HAND 2 VIEWS BIL,$0.00
23501703,X HAND MIN 3 VIEWS RIGHT,$0.00
23501711,X HAND MIN 3 VIEWS LEFT,$0.00
23501729,X FINGER(S) LEFT,$0.00
23501737,X FINGER(S) RIGHT,$0.00
23501745,X LEFT FINGER THUMB,$0.00
23501752,X LEFT FINGER 2ND DIGIT INDEX,$0.00
23501760,X LEFT FINGER 3RD DIGIT MDLE,$0.00
23501778,X LEFT FINGER 4TH DIGIT,$0.00
23501786,X LEFT FINGER 5TH DIGIT LTLE,$0.00
23501794,X RIGHT FINGER THUMB,$0.00
23501802,X RIGHT FINGER 2ND DIGIT IND,$0.00
23501810,X RIGHT FINGER 3RD DIGIT MDLE,$0.00
23501828,X RIGHT FINGER 4TH DIGIT,$0.00
23501836,X RIGHT FINGER 5TH DIGIT LTLE,$0.00
23501844,X KNEE LIMITED BIL,$0.00
23501851,X KNEE LEFT 3 VIEWS,$0.00
23501869,X KNEE RIGHT 3 VIEWS,$0.00
23501877,X ANKLE 2 VIEWS LT,$0.00
23501885,X ANKLE 2 VIEWS BIL,$0.00
23501893,X ANKLE MIN 3 VIEWS RIGHT,$0.00
23501901,X ANKLE MIN 3 VIEWS LEFT,$0.00
23501919,X FOOT RIGHT AP/LAT,$0.00
23501927,X FOOT AP/LAT BIL,$0.00
23501935,X FOOT MIN 3 VIEWS LEFT,$0.00
23501943,X FOOT MIN 3 VIEWS RIGHT,$0.00
23501950,X TOE (S) LEFT,$0.00
23501968,X TOE(S) RIGHT,$0.00
23501976,X HIP UNI 1 VIEW INCL PELVIS LT,$0.00
23501984,X HIP UNI 2-3 VIEWS INCL PELVIS LT,$0.00
23501992,X FEMUR 1 VIEW LEFT,$0.00
23502008,X FEMUR 2 VIEWS RIGHT,$0.00
23502016,X FEMUR 2 VIEWS LEFT,$0.00
23502024,X NASAL BONES CMPT MIN 3 VIEWS,$0.00
23502032,EKG,$117.35
23502040,EKG MODIFIED,$117.35
23502057,MONONUCLEOSIS TEST KIT,$57.20
23502065,MISC SUPPLY,$0.00
23502073,OCCULT BLD; IMMUNOASSAY,$65.15
23502081,KIT RSV CARD (FOR CLINIC USE),$149.35
23502099,X RIBS UNI 3 VIEWS W/CHEST LT,$0.00
23502107,X RIBS UNI 3 VIEWS W/CHEST RT,$0.00
23502115,X RIBS UNI NO CHEST 2 VIEWS RT,$0.00
23502123,X RIBS UNI NO CHEST 2 VIEWS LT,$0.00
23502131,X RIBS BIL NO CHEST 3 VIEWS,$0.00
23502149,X RIBS BIL 4 VIEWS W/CHEST,$0.00
23502156,X CLAVICLE LEFT,$0.00
23502164,X CLAVICLE RT,$0.00
23502172,X THORACO-LUMBAR SPINE,$0.00
23502180,X MANDIBLE COMPLETE MIN 4 VIEW,$0.00
23502198,X SINUSES COMPLETE MIN 3 VIEWS,$0.00
23502206,X SKULL COMPLETE MIN 4 VIEWS,$0.00
23502222,X STERNUM,$0.00
23502230,X ELBOW LEFT,$0.00
23502248,X ELBOW RIGHT,$0.00
23502255,X HEEL LEFT,$0.00
23502263,X HEEL RIGHT,$0.00
23502271,X KNEE COMPLETE LEFT,$0.00
23502289,X KNEE COMPLETE RIGHT,$0.00
23502297,X TIBIA/FIBULA 2 VIEWS LEFT,$0.00
23502305,X TIBIA/FIBULA 2 VIEWS RIGHT,$0.00
23502313,X CERVICAL SPINE 4 OR 5 VIEWS,$0.00
23502321,X LUMBOSACRAL MIN OF 4 VIEWS,$0.00
23502339,X THORACIC SPINE 3 VIEWS,$0.00
23502347,X FACIAL BONES CMPT MIN 3 VIEWS,$0.00
23502354,X FACIAL BONES LTD <3 VIEWS,$0.00
23502362,NEBULIZER COMPRESSOR,$50.00
23502370,KNEE IMMOBILIZER OR CRUTCHES,$35.00
23502388,SPLINTS/SLINGS,$10.00
23502396,OP VISIT NEW LEVEL 1 10 MIN MOD 25,$117.65
23502404,OP VISIT NEW LEVEL II 20 MIN MOD 25,$138.60
23502412,OP VISIT NEW LEVEL III 30 MIN MOD 25,$171.20
23502420,OP VISIT NEW LEVEL IV 45 MIN MOD 25,$206.80
23502438,OP VISIT NEW LEVEL V 60 MIN MOD 25,$235.30
23502446,OP VISIT EST PT LEVEL I 5 MIN MOD 25,$99.00
23502453,OP VISIT EST PT LEVEL II 10 MIN MOD 25,$129.40
23502461,OP VISIT EST PT LEVEL III 15 MIN MOD 25,$151.20
23502479,OP VISIT EST PT LEVEL IV 25 MIN MOD 25,$171.35
23502487,OP VISIT EST PT LEVEL V 40 MIN MOD 25,$206.80
23502495,REMOVE IMPACTED CERUMEN IRRIGATION UNI,$321.90
24000994,TRIGGER ASSESSMENT ST,$0.00
24010019,EVAL ORAL PHARYNG SWALLOW FUNC,$259.45
24010027,EVAL SPEECH AUG COM 1ST HR,$281.40
24010035,SPEECH TREATMENT INDIVIDUAL,$195.00
24010043,SWALLOWING TREATMENT,$198.20
24010100,DEVELOPMENTAL TEST EXTD HOUR,$316.45
24010126,SPEECH TREATMENT GROUP,$116.10
24010167,SUPPLIES ST,$0.00
24010183,APHASIA ASSMNT PER 1 HOUR,$281.35
24010241,EVAL SPEECH AUG COM EA ADD 30 MIN,$105.55
24010258,PURE TONE SCREENING STAT,$0.00
24010266,SPEECH TREATMENT 15 MIN,$65.00
24010316,DEV OF COGNITIVE SKLS PR 15MIN,$57.00
24010324,EVAL FOR VOICE AMPLIFIER,$249.00
24010357,HEARING SCREENING AIR ONLY,$73.00
24010522,SWALLOW EVALUATION,$249.00
24010555,ST SWALLOW CURRENT 0%,$0.01
24010563,ST SWALLOW CURRENT 1-20%,$0.01
24010571,ST SWALLOW CURRENT 20-40%,$0.01
24010589,ST SWALLOW CURRENT 40-60%,$0.01
24010597,ST SWALLOW CURRENT 60-80%,$0.01
24010605,ST SWALLOW CURRENT 80-100%,$0.01
24010613,ST SWALLOW CURRENT 100%,$0.01
24010621,ST SWALLOW GOAL 0%,$0.01
24010639,ST SWALLOW GOAL 1-20%,$0.01
24010647,ST SWALLOW GOAL 20-40%,$0.01
24010654,ST SWALLOW GOAL 40-60%,$0.01
24010662,ST SWALLOW GOAL 60-80%,$0.01
24010670,ST SWALLOW GOAL 80-100%,$0.01
24010688,ST SWALLOW GOAL 100%,$0.01
24010696,ST SWALLOW D/C 0%,$0.01
24010704,ST SWALLOW D/C 1-20%,$0.01
24010712,ST SWALLOW D/C 20-40%,$0.01
24010720,ST SWALLOW D/C 40-60%,$0.01
24010738,ST SWALLOW D/C 60-80%,$0.01
24010746,ST SWALLOW D/C 80-100%,$0.01
24010753,ST SWALLOW D/C 100%,$0.01
24010761,ST MOTOR SPEECH CURR 0%,$0.01
24010779,ST MOTOR SPEECH CURR 1-20%,$0.01
24010787,ST MOTOR SPEECH CURR 20-40%,$0.01
24010795,ST MOTOR SPEECH CURR 40-60%,$0.01
24010803,ST MOTOR SPEECH CURR 60-80%,$0.01
24010811,ST MOTOR SPEECH CURR 80-100%,$0.01
24010829,ST MOTOR SPEECH CURR 100%,$0.01
24010837,ST MOTOR SPEECH GOAL 0%,$0.01
24010845,ST MOTOR SPEECH GOAL 1-20%,$0.01
24010852,ST MOTOR SPEECH GOAL 20-40%,$0.01
24010860,ST MOTOR SPEECH GOAL 40-60%,$0.01
24010878,ST MOTOR SPEECH GOAL 60-80%,$0.01
24010886,ST MOTOR SPEECH GOAL 80-100%,$0.01
24010894,ST MOTOR SPEECH GOAL 100%,$0.01
24010902,ST MOTOR SPEECH D/C 0%,$0.01
24010910,ST MOTOR SPEECH D/C 1-20%,$0.01
24010928,ST MOTOR SPEECH D/C 20-40%,$0.01
24010936,ST MOTOR SPEECH D/C 40-60%,$0.01
24010944,ST MOTOR SPEECH D/C 60-80%,$0.01
24010951,ST MOTOR SPEECH D/C 80-100%,$0.01
24010969,ST MOTOR SPEECH D/C 100%,$0.01
24010977,ST COMPREHENSION CURR 0%,$0.01
24010985,ST COMPREHENSION CURR 1-20%,$0.01
24010993,ST COMPREHENSION CURR 20-40%,$0.01
24011009,ST COMPREHENSION CURR 40-60%,$0.01
24011017,ST COMPREHENSION CURR 60-80%,$0.01
24011025,ST COMPREHENSION CURR 80-100%,$0.01
24011033,ST COMPREHENSION CURR 100%,$0.01
24011041,ST COMPREHENSION GOAL 0%,$0.01
24011058,ST COMPREHENSION GOAL 20-40%,$0.01
24011066,ST COMPREHENSION GOAL 40-60%,$0.01
24011074,ST COMPREHENSION GOAL 60-80%,$0.01
24011082,ST COMPREHENSION GOAL 80-100%,$0.01
24011090,ST COMPREHENSION GOAL 100%,$0.01
24011108,ST COMPREHENSION D/C 0%,$0.01
24011116,ST COMPREHENSION D/C 1-20%,$0.01
24011124,ST COMPREHENSION D/C 20-40%,$0.01
24011132,ST COMPREHENSION D/C 40-60%,$0.01
24011140,ST COMPREHENSION D/C 60-80%,$0.01
24011157,ST COMPREHENSION D/C 80-100%,$0.01
24011165,ST COMPREHENSION D/C 100%,$0.01
24011173,ST EXPRESSION CURRENT 0%,$0.01
24011181,ST EXPRESSION CURRENT 1-20%,$0.01
24011199,ST EXPRESSION CURRENT 20-40%,$0.01
24011207,ST EXPRESSION CURRENT 40-60%,$0.01
24011215,ST EXPRESSION CURRENT 60-80%,$0.01
24011223,ST EXPRESSION CURRENT 80-100%,$0.01
24011231,ST EXPRESSION CURRENT 100%,$0.01
24011249,ST EXPRESSION GOAL 0%,$0.01
24011256,ST EXPRESSION GOAL 1-20%,$0.01
24011264,ST EXPRESSION GOAL 20-40%,$0.01
24011272,ST EXPRESSION GOAL 40-60%,$0.01
24011280,ST EXPRESSION GOAL 60-80%,$0.01
24011298,ST EXPRESSION GOAL 80-100%,$0.01
24011306,ST EXPRESSION GOAL 100%,$0.01
24011314,ST EXPRESSION D/C 0%,$0.01
24011322,ST EXPRESSION D/C 1-20%,$0.01
24011330,ST EXPRESSION D/C 20-40%,$0.01
24011348,ST EXPRESSION D/C 40-60%,$0.01
24011355,ST EXPRESSION D/C 60-80%,$0.01
24011363,ST EXPRESSION D/C 80-100%,$0.01
24011371,ST EXPRESSION D/C 100%,$0.01
24011389,ST ATTENTION CURRENT 0%,$0.01
24011397,ST ATTENTION CURRENT 1-20%,$0.01
24011405,ST ATTENTION CURRENT 20-40%,$0.01
24011413,ST ATTENTION CURRENT 40-60%,$0.01
24011421,ST ATTENTION CURRENT 60-80%,$0.01
24011439,ST ATTENTION CURRENT 80-100%,$0.01
24011447,ST ATTENTION CURRENT 100%,$0.01
24011454,ST ATTENTION GOAL 0%,$0.01
24011462,ST ATTENTION GOAL 1-20%,$0.01
24011470,ST ATTENTION GOAL 20-40%,$0.01
24011488,ST ATTENTION GOAL 40-60%,$0.01
24011496,ST ATTENTION GOAL 60-80%,$0.01
24011504,ST ATTENTION GOAL 80-100%,$0.01
24011512,ST ATTENTION GOAL 100%,$0.01
24011520,ST ATTENTION D/C 0%,$0.01
24011538,ST ATTENTION D/C 1-20%,$0.01
24011546,ST ATTENTION D/C 40-60%,$0.01
24011553,ST ATTENTION D/C 60-80%,$0.01
24011561,ST ATTENTION D/C 80-100%,$0.01
24011579,ST ATTENTION D/C 100%,$0.01
24011587,ST MEMORY CURRENT 0%,$0.01
24011595,ST MEMORY CURRENT 1-20%,$0.01
24011603,ST MEMORY CURRENT 20-40%,$0.01
24011611,ST MEMORY CURRENT 40-60%,$0.01
24011629,ST MEMORY CURRENT 60-80%,$0.01
24011637,ST MEMORY CURRENT 80-100%,$0.01
24011645,ST MEMORY CURRENT 100%,$0.01
24011652,ST MEMORY GOAL 0%,$0.01
24011660,ST MEMORY GOAL 1-20%,$0.01
24011678,ST MEMORY GOAL 20-40%,$0.01
24011686,ST MEMORY GOAL 40-60%,$0.01
24011694,ST MEMORY GOAL 60-80%,$0.01
24011702,ST MEMORY GOAL 80-100%,$0.01
24011710,ST MEMORY GOAL 100%,$0.01
24011728,ST MEMORY D/C 0%,$0.01
24011736,ST MEMORY D/C 1-20%,$0.01
24011744,ST MEMORY D/C 20-40%,$0.01
24011751,ST MEMORY D/C 40-60%,$0.01
24011769,ST MEMORY D/C 60-80%,$0.01
24011777,ST MEMORY D/C 80-100%,$0.01
24011785,ST MEMORY D/C 100%,$0.01
24011793,ST VOICE CURRENT 0%,$0.01
24011801,ST VOICE CURRENT 1-20%,$0.01
24011819,ST VOICE CURRENT 20-40%,$0.01
24011827,ST VOICE CURRENT 40-60%,$0.01
24011835,ST VOICE CURRENT 60-80%,$0.01
24011843,ST VOICE CURRENT 80-100%,$0.01
24011850,ST VOICE CURRENT 100%,$0.01
24011868,ST VOICE GOAL 0%,$0.01
24011876,ST VOICE GOAL 1-20%,$0.01
24011884,ST VOICE GOAL 20-40%,$0.01
24011892,ST VOICE GOAL 40-60%,$0.01
24011900,ST VOICE GOAL 60-80%,$0.01
24011918,ST VOICE GOAL 80-100%,$0.01
24011926,ST VOICE GOAL 100%,$0.01
24011934,ST VOICE D/C 0%,$0.01
24011942,ST VOICE D/C 1-20%,$0.01
24011959,ST VOICE D/C 20-40%,$0.01
24011967,ST VOICE D/C 40-60%,$0.01
24011975,ST VOICE D/C 60-80%,$0.01
24011983,ST VOICE D/C 80-100%,$0.01
24011991,ST VOICE D/C 100%,$0.01
24012007,ST SPEECH LANG CURRENT 0%,$0.01
24012015,ST SPEECH LANG CURRENT 1-20%,$0.01
24012023,ST SPEECH LANG CURRENT 20-40%,$0.01
24012031,ST SPEECH LANG CURRENT 60-80%,$0.01
24012049,ST SPEECH LANG CURRENT 80-100%,$0.01
24012056,ST SPEECH LANG CURRENT 100%,$0.01
24012064,ST SPEECH LANG GOAL 0%,$0.01
24012072,ST SPEECH LANG GOAL 1-20%,$0.01
24012080,ST SPEECH LANG GOAL 20-40%,$0.01
24012098,ST SPEECH LANG GOAL 40-60%,$0.01
24012106,ST SPEECH LANG GOAL 60-80%,$0.01
24012114,ST SPEECH LANG GOAL 80-100%,$0.01
24012122,ST SPEECH LANG GOAL 100%,$0.01
24012130,ST SPEECH LANG D/C 0%,$0.01
24012148,ST SPEECH LANG D/C 1-20%,$0.01
24012155,ST SPEECH LANG D/C 20-40%,$0.01
24012163,ST SPEECH LANG D/C 40-60%,$0.01
24012171,ST SPEECH LANG D/C 60-80%,$0.01
24012189,ST SPEECH LANG D/C 80-100%,$0.01
24012197,ST SPEECH LANG D/C 100%,$0.01
24012205,ST COMPREHENSION GOAL 1-20%,$0.01
24012213,ST ATTENTION D/C 20-40%,$0.01
24012221,ST SPEECH LANG CURRENT 40-60%,$0.01
24012239,EVALUATION SPEECH FLUENCY,$157.00
24012247,EVALUATE SOUND PRODUCTION,$130.65
24012254,EVALUATION SPEECH LANGUAGE,$255.00
24012262,EVALUATION VOICE,$135.45
24012270,EVALUATION COGNITIVE,$378.75
24012304,THER SP-GENRATI DEV PRGRM&MODIFICATION,$297.90
24012338,THER INTVNT W/FOCUS ON COGNITIVE FUNCT,$228.00
24099384,PHARYNGOGRAM,$262.50
24099418,KIT INDWELL PROSTH REPL,$546.00
24099426,PROSTH VOICE LOW PRESSURE,$234.75
24099442,DEVICE VOICE PROSTH SIZING,$397.10
26030015,WHEELCHAIR MANAGEMENT 15 MIN,$68.05
26030023,MASSAGE 15 MIN,$62.70
26030031,WHIRLPOOL SUPERVISED PER SES,$103.90
26030098,TRIGGER PER 15 MIN STATS,$0.00
26030106,HOT/COLD PACK PR SESS 1/MORE,$76.00
26030114,ULTRASOUND PER 15 MIN,$73.75
26030122,E STIM ATTENDED PER 15 MIN,$85.30
26030130,E STIM UNATTD WOUND PER 15 MIN,$58.60
26030148,IONTOPHORESIS /15MIN,$103.50
26030155,TENS PER SESS,$117.05
26030171,BIOFEEDBACK V/A PER SESS,$205.00
26030189,VASOPNEUMATIC SESSION,$84.00
26030197,TRACTION MECHANICAL,$94.00
26030205,TRACTION MAN PER 15 MIN,$94.00
26030213,THERAPEUTIC PROCEDURE/15 MIN,$95.45
26030221,NEUROMUSCULAR RE-ED/15 MIN,$75.00
26030239,GAIT TRAIN PER 15 MIN,$69.10
26030247,SOFT TISSUE MFR 1/MORE/15MIN,$94.00
26030270,HUBBARD TANK PER 15 MIN,$89.50
26030288,GROUP 2 OR MORE PER SESSION,$62.80
26030312,ORTHOTIC FIT/CHECK PER 15 MIN,$82.80
26030320,ORTHOTIC FIT/TRAIN PER 15 MIN,$104.05
26030338,PROSTHETIC TRAINING PER 15 MIN,$72.65
26030353,JOINT MOBILITY 1/MORE PR 15MIN,$94.00
26030437,SUPPLIES PT,$0.00
26030593,E STIM UNATTD NONWOUND/15 MIN,$83.90
26030643,APPLY LOWER LEG SPLINT,$231.95
26030742,SUP T-BAND PER 3FT,$7.85
26030775,SUP TETRAGRIP G PER FOOT,$3.40
