Standard Charge Description,Charge Description Master,Charge as of 1.1.19
DETECTION TEST FOR CLOSTRIDIUM DIFFICILE,41306284,91.00
DETECTION TEST FOR CRYPTOSPORIDIUM (PARASITE),41306619,64.85
DETECTION TEST FOR CYTOMEGALOVIRUS (CMV),41306304,139.43
"DETECTION TEST FOR CYTOMEGALOVIRUS, QUANTIFICATION",41306328,158.05
DETECTION TEST FOR ENTEROVIRUS (INTESTINAL VIRUS),41306301,155.03
DETECTION TEST FOR GARDNERELLA VAGINALIS (BACTERIA),41306813,78.00
DETECTION TEST FOR GIARDIA (INTESTINAL PARASITE),41306614,64.85
DETECTION TEST FOR HEPATITIS B SURFACE ANTIGEN,41306233,143.60
DETECTION TEST FOR HEPATITIS B VIRUS,41303293,858.85
DETECTION TEST FOR HEPATITIS BE SURFACE ANTIGEN,41306551,57.55
DETECTION TEST FOR HEPATITIS C VIRUS,41306309,268.13
DETECTION TEST FOR HERPES SIMPLEX VIRUS,41306584,89.21
DETECTION TEST FOR HISTOPLASMA CAPSULATUM (PARASITE),41306453,297.38
DETECTION TEST FOR HIV-1 VIRUS,41306327,816.82
DETECTION TEST FOR IDENTIFICATION OF ORGANISM,41306520,347.40
"DETECTION TEST FOR INFLUENZA VIRUS, A OR B",41306273,36.95
DETECTION TEST FOR LEGIONELLA PNEUMOPHILA (WATER BORNE BACTERIA),41306455,51.35
DETECTION TEST FOR MULTIPLE ORGANISMS,41306911,406.25
DETECTION TEST FOR MULTIPLE TYPES INFLUENZA VIRUS,41306587,160.23
DETECTION TEST FOR MULTIPLE TYPES OF RESPIRATORY VIRUS,41306905,130.64
DETECTION TEST FOR MYCOBACTERIA TUBERCULOSIS (TB BACTERIA),41306306,429.00
DETECTION TEST FOR MYCOPLASMA PNEUMONIAE (BACTERIA),41306596,43.10
DETECTION TEST FOR NEISSERIA GONORRHOEAE (GONORRHOEAE BACTERIA),41306679,114.65
DETECTION TEST FOR ORGANISM,41306713,907.40
DETECTION TEST FOR RESPIRATORY SYNCYTIAL VIRUS (RSV),41306517,101.60
DETECTION TEST FOR STAPHYLOCOCCUS AUREUS (BACTERIA),41306592,43.10
"DETECTION TEST FOR STAPHYLOCOCCUS AUREUS, METHICILLIN RESISTANT (MRSA BACTERIA)",41306591,43.10
"DETECTION TEST FOR STREP (STREPTOCOCCUS, GROUP A)",41306907,73.78
DETECTION TEST FOR TRICHOMONAS VAGINALIS (GENITAL PARASITE),41306901,111.00
DIGOXIN LEVEL,41302210,164.85
"DIHYDROXYVITAMIN D, 1, 25 LEVEL",41302895,342.25
DRUGS OR SUBSTANCES MEASUREMENT,41303507,546.00
ERYTHROPOIETIN (PROTEIN) LEVEL,41303283,110.40
ESTRADIOL (HORMONE) LEVEL,41302920,128.85
ESTRIOL (HORMONE) LEVEL,41302116,36.08
ESTROGEN ANALYSIS,41302950,131.65
ETHYLENE GLYCOL (ANTIFREEZE) MEASUREMENT,41302780,136.80
"EVALUATION OF ANTIMICROBIAL DRUG (ANTIBIOTIC, ANTIFUNGAL, ANTIVIRAL)",41306805,309.92
FERRITIN (BLOOD PROTEIN) LEVEL,41302425,120.25
FETAL FIBRONECTIN (PROTEIN) ANALYSIS,41304008,653.90
FETAL HEMOGLOBIN OR RED BLOOD CELLS MEASUREMENT FOR ASSESSMENT OF FETAL-MATERNAL CIRCULATION,41301610,414.85
FETAL HEMOGLOBIN OR RED BLOOD CELLS MEASUREMENT FOR ASSESSMENT OF FETAL-MATERNAL CIRCULATION,41301520,25.80
FIBRINOGEN (FACTOR 1) ACTIVITY MEASUREMENT,41304755,165.30
FLOW CYTOMETRY TECHNIQUE FOR DNA OR CELL ANALYSIS,41304828,155.19
FOLIC ACID LEVEL,41302930,77.60
FOLIC ACID LEVEL,41302970,59.70
"FRESH FROZEN PLASMA (SINGLE DONOR), FROZEN WITHIN 8 HOURS OF COLLECTION, EACH UNIT",41301636,209.40
FUNGAL BLOOD CULTURE (MOLD OR YEAST),41306111,13.00
"FUNGAL CULTURE, YEAST",41306045,158.05
G6PD (ENZYME) LEVEL,41303015,107.75
GAMMAGLOBULIN (IMMUNE SYSTEM PROTEIN) MEASUREMENT,41303297,567.25
GASTRIN (GI TRACT HORMONE) LEVEL,41303010,136.25
"GENE ANALYSIS (5, 10-METHYLENETETRAHYDROFOLATE REDUCTASE) COMMON VARIANTS",41302046,228.48
GENE ANALYSIS (COAGULATION FACTOR V) LEIDEN VARIANT,41304834,112.13
GENE ANALYSIS (HEMOCHROMATOSIS) COMMON VARIANTS,41303433,420.88
"GENE ANALYSIS (PROTHROMBIN, COAGULATION FACTOR II) A VARIANT",41304840,110.50
GENE ANALYSIS (THIOPURINE S-METHYLTRANSFERASE) FOR COMMON VARIANT,41302692,962.81
GENTAMICIN (ANTIBIOTIC) LEVEL,41302207,113.75
GLUCOSE (SUGAR) LEVEL ON BODY FLUID,41302230,85.80
GLUTAMYLTRANSFERASE (LIVER ENZYME) LEVEL,41302265,138.55
GONADOTROPIN (REPRODUCTIVE HORMONE) ANALYSIS,41304470,190.45
"GONADOTROPIN, CHORIONIC (REPRODUCTIVE HORMONE) LEVEL",41303503,50.00
"GONADOTROPIN, FOLLICLE STIMULATING (REPRODUCTIVE HORMONE) LEVEL",41302980,52.65
"GONADOTROPIN, LUTEINIZING (REPRODUCTIVE HORMONE) LEVEL",41303085,57.85
HAPTOGLOBIN (SERUM PROTEIN) LEVEL,41302560,72.00
HDL CHOLESTEROL LEVEL,41302270,75.60
HEMOGLOBIN A1C LEVEL,41303025,91.10
HEMOGLOBIN ANALYSIS AND MEASUREMENT,41302585,256.35
HEMOGLOBIN MEASUREMENT,41304045,45.10
HEPARIN ASSAY,41304769,325.00
HEPATITIS B CORE ANTIBODY (IGM) MEASUREMENT,41302037,104.65
HEPATITIS B CORE ANTIBODY MEASUREMENT,41306236,159.45
HEPATITIS B SURFACE ANTIBODY MEASUREMENT,41306239,128.45
HEPATITIS BE ANTIBODY MEASUREMENT,41306552,57.55
HEPATITIS C ANTIBODY MEASUREMENT,41306422,130.50
"HIV ANTIGEN/ANTIBODY, COMBINATION ASSAY, SCREENING",41306424,73.20
HLA CLASS I TYPING HIGH RESOLUTION ONE ALLELE OR ALLELE GROUP,41303359,599.62
HLA CLASS II TYPING HIGH RESOLUTION ONE ALLELE OR ALLELE GROUP,41306900,311.92
HLA CLASS II TYPING LOW RESOLUTION ONE LOCUS,41306903,314.17
HOMOCYSTEINE (AMINO ACID) LEVEL,41303291,76.35
HUMAN GROWTH HORMONE LEVEL,41303020,115.40
HYDROXYINDOLACETIC ACID (PRODUCT OF METABOLISM) LEVEL,41302645,108.50
"HYDROXYPROGESTERONE, 17-D (SYNTHETIC HORMONE) LEVEL",41303055,105.04
IDENTIFICATION OF RED BLOOD CELL ANTIBODIES,41301505,193.15
IGE (IMMUNE SYSTEM PROTEIN) LEVEL,41303060,47.45
IMMUNOLOGIC ANALYSIS FOR AUTOIMMUNE DISEASE,41303030,125.75
IMMUNOLOGIC ANALYSIS FOR DETECTION OF ORGANISM,41306325,502.13
IMMUNOLOGIC ANALYSIS FOR DETECTION OF TUMOR ANTIGEN,41302730,49.73
IMMUNOLOGIC ANALYSIS TECHNIQUE ON BODY FLUID,41302595,180.35
IMMUNOLOGIC ANALYSIS TECHNIQUE ON SERUM,41302590,155.50
INFRARED ANALYSIS OF STONE,41303165,24.93
INHIBIN A (REPRODUCTIVE ORGAN HORMONE) MEASUREMENT,41302117,36.08
"INJECTION, RHO D IMMUNE GLOBULIN, HUMAN, FULL DOSE, 300 MICROGRAMS (1500 I.U.)",41301740,232.80
INSERTION OF NEEDLE INTO VEIN FOR COLLECTION OF BLOOD SAMPLE,41301000,9.75
INSULIN ANTIBODY MEASUREMENT,41303070,66.95
INSULIN MEASUREMENT,41303065,53.62
INTRINSIC FACTOR (STOMACH PROTEIN) ANTIBODY MEASUREMENT,41303341,83.85
IRON BINDING CAPACITY,41302495,80.35
ISLET CELL (PANCREAS) ANTIBODY MEASUREMENT,41302775,55.25
KETONE BODIES ANALYSIS,41303552,59.28
LACTATE DEHYDROGENASE (ENZYME) LEVEL,41302280,73.65
LACTIC ACID LEVEL,41302295,162.35
LAMOTRIGINE LEVEL,41303079,60.30
LDL CHOLESTEROL LEVEL,41303994,75.60
LEAD LEVEL,41303080,37.38
LEVETIRACETAM LEVEL,41303036,185.20
LIPASE (FAT ENZYME) LEVEL,41302310,128.10
LIPOPROTEIN LEVEL,41302292,87.75
LITHIUM LEVEL,41303090,83.00
"LIVER ENZYME (SGOT), LEVEL",41302410,90.10
"LIVER ENZYME (SGPT), LEVEL",41302415,120.10
LIVER FUNCTION BLOOD TEST PANEL,41302271,276.10
MAGNESIUM LEVEL,41302320,87.90
MANUAL URINALYSIS TEST WITH EXAMINATION USING MICROSCOPE,41304415,88.70
MASS SPECTROMETRY (LABORATORY TESTING METHOD),41302051,243.75
MEASUREMENT C-REACTIVE PROTEIN FOR DETECTION OF INFECTION OR INFLAMMATION,41306209,95.00
MEASUREMENT C-REACTIVE PROTEIN FOR DETECTION OF INFECTION OR INFLAMMATION,41302793,98.00
MEASUREMENT FOR STREP ANTIBODY (STREP THROAT),41306203,154.75
MEASUREMENT OF ANTIBODY (IGE) TO ALLERGIC SUBSTANCE,41302458,16.25
MEASUREMENT OF ANTIBODY (IGG) TO ALLERGIC SUBSTANCE,41306533,9.41
MEASUREMENT OF ANTIBODY FOR ASSESSMENT OF AUTOIMMUNE DISORDER,41306201,217.95
MEASUREMENT OF ANTIBODY FOR ASSESSMENT OF AUTOIMMUNE DISORDER,41303350,43.88
MEASUREMENT OF ANTIBODY FOR RHEUMATOID ARTHRITIS ASSESSMENT,41303219,22.43
MEASUREMENT OF ANTIBODY TO NONINFECTIOUS AGENT,41302076,96.89
MEASUREMENT OF BLOOD COAGULATION AND FIBRINOLYSIS (CLOT DISSOLVING) FUNCTION,41304712,533.00
MEASUREMENT OF COLD AGGLUTININ (PROTEIN) TO DETECT INFECTION OR DISEASE,41306218,48.98
MEASUREMENT OF COMPLEMENT (IMMUNE SYSTEM PROTEINS),41302850,50.70
MEASUREMENT OF COMPLEMENT FUNCTION (IMMUNE SYSTEM PROTEINS),41302031,49.73
MEASUREMENT OF DNA ANTIBODY,41302528,82.00
MEASUREMENT OF HEPATITIS A ANTIBODY,41303034,114.30
MEASUREMENT OF HEPATITIS A ANTIBODY (IGM),41302039,195.95
MEASUREMENT OF IMMUNE SUBSTANCE (OLIGOCLONAL BANDS),41302615,206.55
MEASUREMENT OF SUBSTANCE USING IMMUNOASSAY TECHNIQUE,41303323,557.90
MERCURY LEVEL,41302577,77.50
METANEPHRINES LEVEL,41303303,180.45
METHEMOGLOBIN (HEMOGLOBIN) ANALYSIS,41303250,42.25
MICROSCOPIC EXAMINATION FOR WHITE BLOOD CELLS WITH MANUAL CELL COUNT,41304025,53.25
MICROSCOPIC GENETIC ANALYSIS OF TUMOR,41305542,310.00
MICROSCOPIC GENETIC EXAMINATION MANUAL,41305970,215.00
MICROSOMAL ANTIBODIES (AUTOANTIBODY) MEASUREMENT,41303343,105.95
MOLECULAR PATHOLOGY PROCEDURE,41302057,98.84
MYCOPHENOLATE (MYCOPHENOLIC ACID) LEVEL,41303432,102.38
"MYELIN BASIC PROTEIN (NERVE PROTEIN) LEVEL, SPINAL FLUID",41303050,287.50
MYOGLOBIN (MUSCLE PROTEIN) LEVEL,41302172,84.10
NATRIURETIC PEPTIDE (HEART AND BLOOD VESSEL PROTEIN) LEVEL,41302714,164.50
"NEPHELOMETRY, TEST METHOD USING LIGHT",41303183,295.93
ORGANIC ACIDS LEVEL,41302666,343.90
OXCARBAZEPINE LEVEL,41303353,94.20
PANCREATIC ELASTASE (ENZYME) MEASUREMENT,41302724,243.75
PARATHORMONE (PARATHYROID HORMONE) LEVEL,41302910,44.53
PATHOLOGY EXAMINATION OF SPECIMEN DURING SURGERY,41305955,90.65
PATHOLOGY EXAMINATION OF TISSUE DURING SURGERY,41305000,231.30
PATHOLOGY EXAMINATION OF TISSUE USING A MICROSCOPE,41305035,243.45
"PATHOLOGY EXAMINATION OF TISSUE USING A MICROSCOPE, HIGH COMPLEXITY",41305015,882.30
"PATHOLOGY EXAMINATION OF TISSUE USING A MICROSCOPE, INTERMEDIATE COMPLEXITY",41305025,357.00
"PATHOLOGY EXAMINATION OF TISSUE USING A MICROSCOPE, LIMITED EXAMINATION",41305005,72.25
"PATHOLOGY EXAMINATION OF TISSUE USING A MICROSCOPE, MODERATELY HIGH COMPLEXITY",41305010,588.70
"PATHOLOGY EXAMINATION OF TISSUE USING A MICROSCOPE, MODERATELY LOW COMPLEXITY",41305030,244.05
PHENYTOIN LEVEL,41302195,108.90
PHOSPHATASE (ENZYME) LEVEL,41302035,92.40
PHOSPHATASE (ENZYME) MEASUREMENT,41302517,22.02
PHOSPHATE LEVEL,41302340,73.70
PHOSPHOLIPID TEST,41304147,16.50
"PLATELET COUNT, AUTOMATED TEST",41304100,60.65
PLATELET FUNCTION TEST,41304790,162.24
"PLATELETS, PHERESIS, LEUKOCYTES REDUCED, EACH UNIT",41301730,"2,397.25"
PREALBUMIN (PROTEIN) LEVEL,41303140,131.95
PREPARATION OF TISSUE FOR EXAMINATION BY REMOVING ANY CALCIUM PRESENT,41305991,42.95
PRIMIDONE LEVEL,41302315,222.60
PROCALCITONIN (HORMONE) LEVEL,41302456,585.00
PROGESTERONE (REPRODUCTIVE HORMONE) LEVEL,41303235,196.70
PROINSULIN (PANCREATIC HORMONE) LEVEL,41303553,83.20
PROLACTIN (MILK PRODUCING HORMONE) LEVEL,41303145,46.55
PROSTATE CANCER SCREENING; PROSTATE SPECIFIC ANTIGEN TEST (PSA),41302391,264.55
PROTEIN C ANTIGEN (CLOTTING INHIBITOR) MEASUREMENT,41304805,300.15
"PROTEIN MEASUREMENT, BODY FLUID",41302630,108.15
"PROTEIN MEASUREMENT, SERUM",41302625,108.15
PROTEIN S (CLOTTING INHIBITOR) LEVEL,41302069,98.15
PROTEIN S (CLOTTING INHIBITOR) MEASUREMENT,41302103,172.90
PSA (PROSTATE SPECIFIC ANTIGEN) MEASUREMENT,41302390,264.55
PSA (PROSTATE SPECIFIC ANTIGEN) MEASUREMENT,41303314,76.70
"QUALITATIVE OR SEMIQUANTITATIVE DETECTION TEST FOR HELICOBACTER PYLORI IN STOOL, MULTIPLE-STEP METHOD",41306559,99.60
QUANTITATION OF THERAPEUTIC DRUG,41302658,343.07
RED BLOOD CELL ANTIBODY DETECTION TEST,41301595,108.00
RED BLOOD CELL CONCENTRATION MEASUREMENT,41304040,40.50
"RED BLOOD CELL SEDIMENTATION RATE, TO DETECT INFLAMMATION",41304110,86.00
RED BLOOD CELL SICKLING MEASUREMENT,41304115,94.00
"RED BLOOD CELLS, EACH UNIT",41301950,292.10
"RED BLOOD CELLS, LEUKOCYTES REDUCED, EACH UNIT",41301501,448.80
"RED BLOOD CELLS, LEUKOCYTES REDUCED, IRRADIATED, EACH UNIT",41301727,586.25
