Charge Code Description,"Rev
Code","Proc
 Code","Rate 
Exception",,,,,,,,,
11103T,TANGENTIAL BX SKIN-EA SEP/ADDL LESION,FMC,A,960,11103,,,,,66,N,N
11104F,"PUNCH BX SKIN, SINGLE LESION FAC",FMC,A,510,11104,,,,,238,N,N
11104FL,"PUNCH BX OF SKIN, SINGLE LESION FAC",HCGS,A,510,11104,,,,,238,N,N
11104P,"PUNCH BX SKIN, SINGLE LESION PRO",FMC,A,960,11104,,,,,159,N,Y
11104PL,"PUNCH BX OF SKIN, SINGLE LESION PROF",HCGS,A,960,11104,,,,,159,N,N
11104R,PUNCH BX OF SKIN - SINGLE LESION,RWC,A,960,11104,,,,,209,N,Y
11104T,"PUNCH BX OF SKIN, SINGLE LESION",FMC,A,960,11104,,,,,397,N,N
11104TL,"PUNCH BX OF SKIN, SINGLE LESION",HCGS,A,960,11104,,,,,397,N,N
11105F,PUNCH BX SKIN EA SEP/ADDL MCFAC,FMC,A,510,11105,,,,,38,N,N
11105FL,PUNCH BX OF SKIN-EA SEPARATE /ADDL LESN,HCGS,A,510,11105,,,,,38,N,N
11105P,PUNCH BX SKIN EA SEP/ADDL MCPRO,FMC,A,960,11105,,,,,25,N,Y
11105R,PUNCH BX OF SKIN-EA SEPARATE/ADD LESION,RWC,A,960,11105,,,,,103,N,Y
11105T,PUNCH BX SKIN EA SEP/ADDL FMC,FMC,A,960,11105,,,,,63,N,N
11106F,"INCISIONAL BX SKIN, SINGLE LESION FAC",FMC,A,510,11106,,,,,394,N,N
11106FL,INCISIONAL BX OF SKIN SINGLE LESION -FAC,HCGS,A,510,11106,,,,,394,N,N
11106P,"INCISIONAL BX SKIN, SINGLE LESION PRO",FMC,A,960,11106,,,,,263,N,Y
11106PL,"INCISIONAL BX OF SKIN, SINGLE LESION PRO",HCGS,A,960,11106,,,,,263,N,N
11106R,INCISIONAL BX OF SKIN - SINGLE LESION,RWC,A,960,11106,,,,,253,N,Y
11106T,"INCISIONAL BX OF SKIN, SINGLE LESION",FMC,A,960,11106,,,,,657,N,N
11106TL,"INCISIONAL BX OF SKIN, SINGLE LESION",HCGS,A,960,11106,,,,,657,N,N
11107F,INCISIONAL BX SKIN EA SEP/ADDL MCFAC,FMC,A,510,11107,,,,,56,N,N
11107FL,INCISIONAL BX SKIN-EA SEP/ADDL LESION,HCGS,A,510,11107,,,,,56,N,N
11107P,INCISONAL BX SKIN-EA SEP/ADDL MCPRO,FMC,A,960,11107,,,,,37,N,Y
11107R,INCISIONAL BX OF SKIN-EA ADD LESION,RWC,A,960,11107,,,,,122,N,Y
11107T,INCISONAL BX SKIN EA SEP/ADDL,FMC,A,960,11107,,,,,93,N,N
11200F,SKIN TAB1>15 LESIONS REMO (MC FACIL)-FMC,FMC,A,510,11200,,,,,209,N,N
11200FL,SKIN TAG1>15 LESIONS REMO (MC FACIL)-GS,HCGS,A,510,11200,,,,,209,N,N
11200IF,"REM SKIN TAGS, UP TO & INC 15 LESION FAC",HCIM,A,510,11200,,,,,309,N,N
11200IP,"REM SKIN TAGS, UP TO & INC 15 LESION PRO",HCIM,A,960,11200,,,,,127,N,Y
11200IT,"REM SKIN TAGS, UP TO AND INC 15 LESIONS",HCIM,A,960,11200,,,,,436,N,N
11200P,SKIN TAB1>15 LESIONS REMO (MC PRO)-FMC,FMC,A,960,11200,,,,,139,N,Y
11200PL,SKIN TAG1>15 LESIONS REMO (MC PRO)-GS,HCGS,A,960,11200,,,,,139,N,Y
11200R,SKIN TAB 1>15 LESIONS REMOVAL - RWC,RWC,A,960,11200,,,,,147,N,Y
11200T,SKIN TAG 1>15 LESIONS REM-FMC,FMC,A,960,11200,,,,,348,N,N
11200TL,SKIN TAG 1>15 LESIONS REM-GS,HCGS,A,960,11200,,,,,348,N,N
11201F,"SKIN TAG,EA ADD 10 LES, R (MC FACIL)-FMC",FMC,A,510,11201,,,,,113,N,N
11201FL,"SKIN TAG,EA ADD 10 LES, R (MC FACIL)-GS",HCGS,A,510,11201,,,,,113,N,N
11201P,"SKIN TAG,EA ADD 10 LES, R (MC PRO)-FMC",FMC,A,960,11201,,,,,39,N,Y
11201PL,"SKIN TAG,EA ADD 10 LES, R (MC PRO)-GS",HCGS,A,960,11201,,,,,39,N,Y
11201T,"SKIN TAG,EA ADD 10 LES,RE-FMC",FMC,A,960,11201,,,,,152,N,N
11201TL,"SKIN TAG,EA ADD 10 LES,RE-GS",HCGS,A,960,11201,,,,,152,N,N
11300F,SHAV 1 LES TRNK ARM/LEB;0 (MC FACIL)-FMC,FMC,A,510,11300,,,,,175,N,N
11300FL,SHAV 1 LES TRNK ARM/LEB;0 (MC FACIL)-GS,HCGS,A,510,11300,,,,,175,N,N
11300P,SHAV 1 LES TRNK ARM/LEB;0 (MC PRO)-FMC,FMC,A,960,11300,,,,,116,N,Y
11300PL,SHAV 1 LES TRNK ARM/LEB;0 (MC PRO)-GS,HCGS,A,960,11300,,,,,116,N,Y
11300T,SHAV 1  LES TRNK ARM/LEG;-FMC,FMC,A,960,11300,,,,,291,N,N
11300TL,SHAV 1  LES TRNK ARM/LEG;-GS,HCGS,A,960,11300,,,,,291,N,N
11301F,SHAV 1 LES TRNK ARM/LEB;0 (MC FACIL)-FMC,FMC,A,510,11301,,,,,193,N,N
11301FL,SHAV 1 LES TRNK ARM/LEB;0 (MC FACIL)-GS,HCGS,A,510,11301,,,,,193,N,N
11301P,SHAV 1 LES TRNK ARM/LEB;0 (MC PRO)-FMC,FMC,A,960,11301,,,,,128,N,Y
11301PL,SHAV 1 LES TRNK ARM/LEB;0 (MC PRO)-GS,HCGS,A,960,11301,,,,,128,N,Y
11301T,SHAV 1 LES TRNK ARM/LEG;0-FMC,FMC,A,960,11301,,,,,320,N,N
11301TL,SHAV 1 LES TRNK ARM/LEG;0-GS,HCGS,A,960,11301,,,,,321,N,N
11302F,SHAV 1 LES TRNK ARM/LEB;1 (MC FACIL)-FMC,FMC,A,510,11302,,,,,201,N,N
11302FL,SHAV 1 LES TRNK ARM/LEB;1 (MC FACIL)-GS,HCGS,A,510,11302,,,,,201,N,N
11302P,SHAV 1 LES TRNK ARM/LEB;1 (MC PRO)-FMC,FMC,A,960,11302,,,,,134,N,Y
11302PL,SHAV 1 LES TRNK ARM/LEB;1 (MC PRO)-GS,HCGS,A,960,11302,,,,,134,N,Y
11302T,SHAV 1 LES TRNK ARM/LEG;-FMC,FMC,A,960,11302,,,,,335,N,N
11302TL,SHAV 1 LES TRNK ARM/LEG;-GS,HCGS,A,960,11302,,,,,335,N,N
11303F,SHAV 1 LES TRNK ARM/LEB;O (MC FACIL)-FMC,FMC,A,510,11303,,,,,341,N,N
11303FL,SHAV 1 LES TRNK ARM/LEB;O (MC FACIL)-GS,HCGS,A,510,11303,,,,,341,N,N
11303P,SHAV 1 LES TRNK ARM/LEB;O (MC PRO)-FMC,FMC,A,960,11303,,,,,227,N,Y
11303PL,SHAV 1 LES TRNK ARM/LEB;O (MC PRO)-GS,HCGS,A,960,11303,,,,,227,N,Y
11303T,SHAV 1 LES TRNK ARM/LEG;-FMC,FMC,A,960,11303,,,,,568,N,N
11303TL,SHAV 1 LES TRNK ARM/LEG;-GS,HCGS,A,960,11303,,,,,568,N,N
11305F,SHAV 1 LES SCALP HND FT;0 (MC FACIL)-FMC,FMC,A,510,11305,,,,,178,N,N
11305FL,SHAV 1 LES SCALP HND FT;0 (MC FACIL)-GS,HCGS,A,510,11305,,,,,178,N,N
11305IF,SHAVE LES S/N/H/F/G;0.5CM OR LESS FAC,HCIM,A,510,11305,,,,,296,N,N
11305IP,SHAVE LES S/N/H/F/G;0.5CM OR LESS PROF,HCIM,A,960,11305,,,,,70,N,N
11305IT,SHAVE LES S/N/H/F/G;0.5CM OR LESS,HCIM,A,960,11305,,,,,366,N,N
11305P,SHAV 1 LES SCALP HND FT;0 (MC PRO)-FMC,FMC,A,960,11305,,,,,119,N,Y
11305PL,SHAV 1 LES SCALP HND FT;0 (MC PRO)-GS,HCGS,A,960,11305,,,,,119,N,Y
11305T,SHAV 1 LES SCALP HND FT; 0.5CM/<-FMC,FMC,A,960,11305,,,,,297,N,N
11305TL,SHAV 1 LES SCALP HND FT; 0.5CM/<-GS,HCGS,A,960,11305,,,,,297,N,N
11306F,SHAV 1 LES SCALP HND FT;0 (MC FACIL)-FMC,FMC,A,510,11306,,,,,191,N,N
11306FL,SHAV 1 LES SCALP HND FT;0 (MC FACIL)-GS,HCGS,A,510,11306,,,,,191,N,N
11306P,SHAV 1 LES SCALP HND FT;0 (MC PRO)-FMC,FMC,A,960,11306,,,,,128,N,Y
11306PL,SHAV 1 LES SCALP HND FT;0 (MC PRO)-GS,HCGS,A,960,11306,,,,,128,N,Y
11306T,SHAV 1 LES SCALP HND FT;-FMC,FMC,A,960,11306,,,,,319,N,N
11306TL,SHAV 1 LES SCALP HND FT;-GS,HCGS,A,960,11306,,,,,319,N,N
11307F,SHAV 1 LES SCALP HND FT;1 (MC FACIL)-FMC,FMC,A,510,11307,,,,,205,N,N
11307FL,SHAV 1 LES SCALP HND FT;1 (MC FACIL)-GS,HCGS,A,510,11307,,,,,205,N,N
11307P,SHAV 1 LES SCALP HND FT;1 (MC PRO)-FMC,FMC,A,960,11307,,,,,136,N,Y
11307PL,SHAV 1 LES SCALP HND FT;1 (MC PRO)-GS,HCGS,A,960,11307,,,,,136,N,Y
11307T,SHAV 1 LES SCALP HND FT;-FMC,FMC,A,960,11307,,,,,341,N,N
11307TL,SHAV 1 LES SCALP HND FT;-GS,HCGS,A,960,11307,,,,,341,N,N
11308F,SHAV 1 LES SCALP HND FT;O (MC FACIL)-FMC,FMC,A,510,11308,,,,,341,N,N
11308FL,SHAV 1 LES SCALP HND FT;O (MC FACIL)-GS,HCGS,A,510,11308,,,,,341,N,N
11308P,SHAV 1 LES SCALP HND FT;O (MC PRO)-FMC,FMC,A,960,11308,,,,,227,N,Y
11308PL,SHAV 1 LES SCALP HND FT;O (MC PRO)-GS,HCGS,A,960,11308,,,,,227,N,Y
11308T,SHAV 1 LES SCALP HND FT;-FMC,FMC,A,960,11308,,,,,568,N,N
11308TL,SHAV 1 LES SCALP HND FT;-GS,HCGS,A,960,11308,,,,,568,N,N
11310F,SHAV 1 LES FACE EAR LIP;0 (MC FACIL)-FMC,FMC,A,510,11310,,,,,186,N,N
11310FL,SHAV 1 LES FACE EAR LIP;0 (MC FACIL)-GS,HCGS,A,510,11310,,,,,186,N,N
11310P,SHAV 1 LES FACE EAR LIP;0 (MC PRO)-FMC,FMC,A,960,11310,,,,,124,N,Y
11310PL,SHAV 1 LES FACE EAR LIP;0 (MC PRO)-GS,HCGS,A,960,11310,,,,,139,N,Y
11310T,SHAV 1 LES FACE EAR LIP;0-FMC,FMC,A,960,11310,,,,,310,N,N
11310TL,SHAV 1 LES FACE EAR LIP;0-GS,HCGS,A,960,11310,,,,,325,N,N
11311F,SHAV 1 LES FACE EAR LIP;0 (MC FACIL)-FMC,FMC,A,510,11311,,,,,203,N,N
11311FL,SHAV 1 LES FACE EAR LIP;0 (MC FACIL)-GS,HCGS,A,510,11311,,,,,203,N,N
11311P,SHAV 1 LES FACE EAR LIP;0 (MC PRO)-FMC,FMC,A,960,11311,,,,,136,N,Y
11311PL,SHAV 1 LES FACE EAR LIP;0 (MC PRO)-GS,HCGS,A,960,11311,,,,,136,N,Y
11311T,SHAV 1 LES FACE EAR LIP;-FMC,FMC,A,960,11311,,,,,339,N,N
11311TL,SHAV 1 LES FACE EAR LIP;-GS,HCGS,A,960,11311,,,,,339,N,N
11312F,SHAV 1 LES FACE EAR LIP;1 (MC FACIL)-FMC,FMC,A,510,11312,,,,,344,N,N
11312FL,SHAV 1 LES FACE EAR LIP;1 (MC FACIL)-GS,HCGS,A,510,11312,,,,,344,N,N
11312P,SHAV 1 LES FACE EAR LIP;1 (MC PRO)-FMC,FMC,A,960,11312,,,,,230,N,Y
11312PL,SHAV 1 LES FACE EAR LIP;1 (MC PRO)-GS,HCGS,A,960,11312,,,,,230,N,Y
11312T,SHAV 1 LES FACE EAR LIP;-FMC,FMC,A,960,11312,,,,,574,N,N
11312TL,SHAV 1 LES FACE EAR LIP;-GS,HCGS,A,960,11312,,,,,574,N,N
11313F,SHAV 1 LES FACE EAR LIP; (MC FACIL)-FMC,FMC,A,510,11313,,,,,383,N,N
11313FL,SHAV 1 LES FACE EAR LIP; (MC FACIL)-GS,HCGS,A,510,11313,,,,,366,N,N
11313P,SHAV 1 LES FACE EAR LIP; (MC PRO)-FMC,FMC,A,960,11313,,,,,256,N,Y
11313PL,SHAV 1 LES FACE EAR LIP; (MC PRO)-GS,HCGS,A,960,11313,,,,,243,N,Y
11313T,SHAV 1 LES FACE EAR LIP;-FMC,FMC,A,960,11313,,,,,639,N,N
11313TL,SHAV 1 LES FACE EAR LIP;-GS,HCGS,A,960,11313,,,,,609,N,N
11400F,EXC BEN LES TRNK/ARM/LEG; (MC FACIL)-FMC,FMC,A,510,11400,,,,,591,N,N
11400FL,EXC BEN LES TRNK/ARM/LEG; (MC FACIL)-GS,HCGS,A,510,11400,,,,,591,N,N
11400P,EXC BEN LES TRNK/ARM/LEG; (MC PRO)-FMC,FMC,A,960,11400,,,,,394,N,Y
11400PL,EXC BEN LES TRNK/ARM/LEG; (MC PRO)-GS,HCGS,A,960,11400,,,,,394,N,Y
11400R,EXC BEN LES TRNK/ARM/LEG; - RWC,RWC,A,960,11400,,,,,325,N,Y
11400T,EXC BEN LES TRNK/ARM/LEG;-FMC,FMC,A,960,11400,,,,,985,N,N
11400TL,EXC BEN LES TRNK/ARM/LEG;-GS,HCGS,A,960,11400,,,,,985,N,N
11400WF,EXCISION BENIGN LESION .5 CM FAC,WND,A,761,11400,,,,,694,N,N
11400WP,EXCISION BENIGN LESION .5 CM PROF,WND,A,960,11400,,,,,462,N,Y
11400WT,EXCISION BENIGN LESION .5 CM TOT,WND,A,960,11400,,,,,"1,156.00",N,N
11401F,EXC BEN LES TRNK/ARM/LEG; (MC FACIL)-FMC,FMC,A,510,11401,,,,,367,N,N
11401FL,EXC BEN LES TRNK/ARM/LEG; (MC FACIL)-GS,HCGS,A,510,11401,,,,,367,N,N
11401P,EXC BEN LES TRNK/ARM/LEG; (MC PRO)-FMC,FMC,A,960,11401,,,,,244,N,Y
11401PL,EXC BEN LES TRNK/ARM/LEG; (MC PRO)-GS,HCGS,A,960,11401,,,,,244,N,Y
11401T,EXC BEN LES TRNK/ARM/LEG;-FMC,FMC,A,960,11401,,,,,611,N,N
11401TL,EXC BEN LES TRNK/ARM/LEG;-GS,HCGS,A,960,11401,,,,,611,N,N
11401WF,EXCISION BENIGN LESION 0.6-1 CM FAC,WND,A,761,11401,,,,,444,N,N
11401WP,EXCISION BENIGN LESION 0.6-1 CM PROF,WND,A,960,11401,,,,,297,N,Y
11401WT,EXCISION BENIGN LESION 0.6-1 CM TOT,WND,A,960,11401,,,,,741,N,N
11402F,EXC BEN LES TRNK/ARM/LEB; (MC FACIL)-FMC,FMC,A,510,11402,,,,,605,N,N
