Hospital Name: Earl & Lorraine Miller Children's Hospital,,
OSHPD Facility ID#: 106196168,,
,,
OSHPD Year: 06/01/17- 05/31/18,,
,,
Charge Code,Description,Price
HC12200168,INF CNTR-NEW PT EVAL MODERATE,$240.00
HC12200176,INF CNTR-NEW PT EVAL HI/MOD,$315.00
HC12200184,INF CNTR-NEW PT EVAL COMPLEX,$425.00
HC12200192,INF CNTR-ESTBD PT EVAL MINOR,$204.00
HC12200200,INF CNTR-ESTB'D PT EVAL MOD/HI,$313.00
HC12200218,INF CNTR-ESTBL'D PT EVAL BRIEF,$139.00
HC12200226,INF CNTR-ESTBLD PT EVAL LOWMOD,$238.00
HC12200234,INF CNTR-ESTBL'D PT EVAL-CMPLX,$412.00
HC12200242,DRAW BLOOD VEN PICC/PERIPH CATH,$219.00
HC12200259,INITIATE PROLONG THERA INFUSION VIA PUMP,"$1,131.00"
HC12200267,SC INFUSION THERAPY INITIAL UP TO 1HR,"$1,110.00"
HC12200275,SC INFUSION THERAPY EA ADDL HOUR,$630.00
HC12200283,SC INFUSION THERAPY; ADD'L SET UP NEW SITE,$265.00
HC12200291,APPLY ON-BODY INJECTOR FOR TIMED SQ INJ,$182.00
HC12400008,CHEMO ADMIN IV INITIAL HR,"$1,316.00"
HC12400016,CHEMO ADMIN IV ADD'L HR,$632.00
HC12400024,CHEMO INF SEQ/NEW RX 1ST HR,$644.00
HC12400032,CHEMO ADMIN IVP SNGL/INIT'LINJ,$905.00
HC12400040,CHEMO ADMIN IVP SNGL/ADD'L INJ,$686.00
HC12400057,INITIATE PROLONG CHEMO INFUSION VIA PUMP,"$1,481.00"
HC12400065,CHEMO ADMIN CNS W/SPINAL PUNCTURE,"$1,381.00"
HC12400073,CHEMO HORMON ANTINEOPL SQ/IM,$551.00
HC12400081,CHEMO NONHRMNL ANTINEOPL SQ/IM,$666.00
HC12400099,ADMIN CHEMO INTRA ARTERIAL INJ,"$1,002.00"
HC12400107,INTRAPERITONEAL CHEMO THERAPY,"$1,120.00"
HC12400115,INITIATE PROLONG CHEMO INFUSION PORTBL PUMP &F/U VISIT,"$1,585.00"
HC12400123,CHEMO ADMIN PLEURAL CAV W/THORACENTESIS,"$2,500.00"
HC12400131,CHEMO INJECT(S) SUBARACHNOID/INTRAVENT VIA RESEVOIR,"$1,275.00"
HC12600003,IMMUNIZATION ADMIN SINGLE,$136.00
HC12600011,IMMUNIZATION ADMIN ADD'L,$116.00
HC12600029,ADMIN VACCINE INFLUENZA,$127.00
HC12600037,ADMIN VACCINE PNEUMOCOCCAL,$127.00
HC12600052,ADMIN VACCINE HEPATITIS B,$127.00
HC12800009,PHLEBOTOMY THERAPEUTIC,$468.00
HC12800017,THER APHER W/EXTRACORP IMMUNO/ADSORP/FILTRATION,"$5,084.00"
HC12800025,THER APHERESIS PLASMA CX/DC'D,"$1,475.00"
HC12800041,THERAPEUTIC APHERESIS PLASMA,"$4,086.00"
HC12800058,THERAPEUTIC APHERESIS PLATELET,"$4,085.00"
HC12800066,THERAPEUTIC APHERESIS RBC'S,"$4,078.00"
HC12800074,THERAPEUTIC APHERESIS WBC'S,"$3,225.00"
HC12800082,TRANSFUSION BLOOD &/OR COMPNTS,"$1,511.00"
HC13500012,GENETIC CNSL RISK REDCTN 15MIN,$105.00
HC13500020,GENETIC CNSL RISK REDCTN 30MIN,$210.00
HC13500038,GENETIC CNSL RISK REDCTN 45MIN,$315.00
HC13500046,GENETIC CNSL RISK REDCTN 60MIN,$428.00
HC13500053,GENETIC COUNSEL 15MIN  CMRCL/C,$156.00
HC13500061,GENETIC COUNSELING EA 30MIN/P,$225.00
HC14500045,PREGNANCY DIAB MGT 15MIN,$109.00
HC14500052,PREGNANCY DIAB MGT 30MIN,$170.00
HC14500060,PREGNANCY DIAB MGT 1HR,$232.00
HC14500078,SS-NUTRIT-POST PARTUM EA 15MIN,$139.00
HC14500086,PREGNANCY DIAB MGT 2HR,$264.00
HC14500094,DIABETIC SELF MGMT TRN GRP 30M,$136.00
HC14500102,DIABETIC SELF MGMT TRNG EA 30M,$199.00
HC14500136,DM HEMOGLOBIN GLYCOSYLATED(A1C,$119.00
HC21000005,ABRASION; EA ADDL LESION 4OR<,$320.00
HC21000013,ABRASION; SNGL LESION,$302.00
HC21000153,ASPIRATION OF ABCESS/CYST,"$1,053.00"
HC21000161,ASPIRATION OF ABCESS/CYST-ADDL,$945.00
HC21000179,"AVULSION OF NAIL, SIMPLE:1",$400.00
HC21000187,"AVULSION OF NAIL, EA ADDL'",$270.00
HC21000195,BX BONE OPEN; SUPERFICIAL,"$5,635.00"
HC21000203,CAUTERIZE W/CHEM; GRAN TISSUE,$588.00
HC21000211,DEBRID SKIN EXT EA ADDL 10%BSA,$500.00
HC21000229,DEBRID/REMVL OPEN FX SKIN/SBQ,"$1,312.00"
HC21000237,DEBRID/REMVL OPEN FX MUSCLE,"$1,320.00"
HC21000245,DEBRID/REMVL OPEN FX &BONE,"$2,510.00"
HC21000252,DEBRIDE OF NAILS: 1-5,$281.00
HC21000260,DEBRIDE OF NAILS: 6 OR >,$323.00
HC21000278,DEBRIDE P-THICK BURN SM<5%BSA,$636.00
HC21000286,DEBRIDE P-THICK BURN 5-10% BSA,$809.00
HC21000294,DEBRIDE P-THICK BURN LG>10%BSA,$905.00
HC21000302,DEBRIDE SKIN EXT UP TO 10% BSA,"$1,084.00"
HC21000336,DEBRID SKIN&SUBQ UP TO 20 SQCM,"$1,379.00"
HC21000344,DBRD SKIN MUSCL UP TO 20 SQCM,"$1,661.00"
HC21000351,DBRD SKIN MUSL/BONE TO 20SQCM,"$3,052.00"
HC21000369,DESTRUCT PREMALG LESION 1ST,$280.00
HC21000377,DESTRUCT PREMALG LESIONS 2-14,$120.00
HC21000385,I&D HEMATOMA OR FLUID COLL,"$2,570.00"
HC21000393,ESCHAROTOMY; FULL THICK BURN,"$1,033.00"
HC21000401,EXCISION OF NAIL/MATRIX PERM,$995.00
HC21000450,GRAFTING SNGL/MULT UP TO 2CM,"$1,995.00"
HC21000468,I&D ABSCESS SIMPLE SNGL,$902.00
HC21000476,I&D ABSCESS COMPLICATED MULT,"$1,100.00"
HC21000484,I&D POLINIDAL CYST: SIMPLE,$700.00
HC21000492,I&D POST OP WOUND INF COMP',"$4,162.00"
HC21000500,I&D POLINIDAL CYST: COMPLICATE,"$1,845.00"
HC21000518,PAIRING BENIGN LESION: 1,$237.00
HC21000526,PAIRING BENIGN LESIONS: 2-4,$346.00
HC21000534,PAIRING BENIGN LESIONS: >4,$513.00
HC21000542,PREP SITE TRUNK/EXT<100SQCM,"$2,265.00"
HC21000559,PREP TRUNK/EXT EA ADDL 100SQCM,"$1,946.00"
HC21000567,PREP SITE/SCR F/N/HF/G<100SQCM,"$1,890.00"
HC21000575,PREP SITE F/N/HF/G EA +100SQCM,"$1,750.00"
HC21000583,TRIM NONDYSTROPHIC NAILS,$250.00
HC21000591,DEBRIDE OPN WND 1ST 20SQCM OR<,$762.00
HC21000609,DEBRID OPN WOUND EA ADD 20CM/<,$460.00
HC21000617,WOUND NON-SEL DEBRID PER SESSN,$445.00
HC21000625,WOUND VAC W/ DME <50 SQ CM PER SESSION,$426.00
HC21000633,WOUND VAC W/ DME >50 SQ CM PER SESSION,$529.00
HC21000658,WOUND ULTRASOUND PER DAY,$430.00
HC21000666,REMOV IMPACTD EAR WAX(INSTRUMENT) BI           (NO MOD50),$320.00
HC21000674,APPLY MULTILAY COMPRS BK RT,$435.00
HC21000682,APPLY MULTILAY COMPRS BK LT,$435.00
HC21000690,APPLY MULTILAY COMPRS BK BIL,$895.00
HC21000708,DBRD SKIN&SUBQ EA ADD 20SQCM/<,"$1,116.00"
HC21000716,DBRD SKN MUSCL EA ADD 20SQCM/<,"$1,168.00"
HC21000724,DBRD SKN MUSL/BON EA ADD20CM/<,"$2,652.00"
HC21000732,LAC REPAIR TO 2.5 CM(SMALL),$333.00
HC21000740,LAC REPAIR 2.6-7 5CM,$339.00
HC21000757,LAC REPAIR 7.6-12 5CM(MEDIUM),$380.00
HC21000765,COMPARTM'L PRESSURE MEASURM'NT,$792.00
HC21000773,"APPY SKIN SUB T,A,L 1ST 25SQ~HC","$1,680.00"
HC21000781,"APPY SKIN SUB T,A,L EA +25SQ~HC","$1,187.00"
HC21000799,"APPY SKIN SUB T,A,L 1ST 100SQ~HC","$2,471.00"
HC21000807,"APPY SKIN SUB T,A,L EA+ 100SQ~HC","$1,442.00"
HC21000815,APPY SKIN SUB HEAD/HND/FT 1ST25SQ~HC,"$1,696.00"
HC21000823,APPY SKIN SUB HEAD/HND/FT EA+25SQ~HC,$958.00
HC21000831,APPY SKIN SUB HED/HND/FT 1ST100SQ~HC,"$2,471.00"
HC21000849,APPY SKIN SUB HED/HND/FT EA+100SQ~HC,"$1,398.00"
HC21000914,APPLY MULTILAY COMPRS UPREX B,$896.00
HC21000922,APPLY MULTILAY COMPRS UPREX LT,$449.00
HC21000930,APPLY MULTILAY COMPRS UPREX RT,$449.00
HC21000948,"APPY SKIN SUB T,A,L 1ST 25SQ~LC","$1,435.00"
HC21000955,"APPY SKIN SUB T,A,L EA +25SQ~LC","$1,080.00"
HC21000963,"APPY SKIN SUB T,A,L 1ST 100SQ~LC","$2,471.00"
HC21000971,"APPY SKIN SUB T,A,L EA+ 100SQ~LC","$1,442.00"
HC21000989,APPY SKIN SUB HEAD/HND/FT 1ST25SQ~LC,"$1,526.00"
HC21000997,APPY SKIN SUB HEAD/HND/FT EA+25SQ~LC,$895.00
HC21001003,APPY SKIN SUB HED/HND/FT 1ST100SQ~LC,"$2,174.00"
HC21001011,APPY SKIN SUB HED/HND/FT EA+100SQ~LC,"$1,398.00"
HC21001029,REMOV IMPACTD EAR WAX(INSTRUMENT) LT,$160.00
HC21001037,REMOV IMPACTD EAR WAX(INSTRUMENT) RT,$160.00
HC21001045,REMOV IMPACTD EAR WAX IRRIG/LAVG BI,$215.00
HC21001052,REMOV IMPACTD EAR WAX IRRIG/LAVG LT,$125.00
HC21001060,REMOV IMPACTD EAR WAX IRRIG/LAVG RT,$125.00
HC21001078,WOUND VAC TX W/ DISP ASST/INSTR <50SQ CM SESSION,$655.00
HC21001086,WOUND VAC TX W/ DISP ASST/INSTR >50SQ CM SESSION,$755.00
HC21500004,CRYO PROPHYLAXIS RETNL DET-BIL,"$3,125.00"
HC21500012,CRYO PROPHYLAXIS RETNL DET-LT,"$1,555.00"
HC21500020,CRYO PROPHYLAXIS RETNL DET-RT,"$1,555.00"
HC21500038,CRYOTHERAPY CILARY BODY-BIL,"$6,050.00"
HC21500046,CRYOTHERAPY CILARY BODY-LT,"$3,025.00"
HC21500053,CRYOTHERAPY CILARY BODY-RT,"$3,025.00"
HC21500061,CRYOTHERAPY RETINAL REPAIR-BI,"$7,000.00"
HC21500079,CRYOTHERAPY RETINAL REPAIR-LT,"$3,500.00"
HC21500087,CRYOTHERAPY RETINAL REPAIR-RT,"$3,500.00"
HC21500095,IRIDOTOMY LASER ARGON BIL,"$4,500.00"
HC21500103,IRIDOTOMY LASER ARGON LT,"$2,125.00"
HC21500111,IRIDOTOMY LASER ARGON RT,"$2,125.00"
HC21500129,LYSIS ADHESIONS ANTER LASER-BI,"$5,025.00"
HC21500137,LYSIS ADHESIONS ANTER LASER-LT,"$2,555.00"
HC21500145,LYSIS ADHESIONS ANTER LASER-RT,"$2,555.00"
HC21500152,PHOTOCOAG LOCAL LESION RET-BIL,"$4,685.00"
HC21500160,PHOTOCOAG LOCAL LESION RET-LT,"$2,466.00"
HC21500178,PHOTOCOAG LOCAL LESION RET-RT,"$2,466.00"
HC21500186,PHOTOCOAG PROPHYL RET DET-BIL,"$3,580.00"
HC21500194,PHOTOCOAG PROPHYL RET DET-LT,"$1,885.00"
HC21500202,PHOTOCOAG PROPHYL RET DET-RT,"$1,885.00"
HC21500210,PHOTOCOAGULATION RETINOPATHY-BI,"$6,600.00"
HC21500228,PHOTOCOAGULATION RETINOPATHY-LT,"$3,385.00"
HC21500236,PHOTOCOAGULATION RETINOPATHY-RT,"$3,385.00"
HC21500244,PHOTOCOAGULATION RETINAL REPAIR-BI,"$4,555.00"
HC21500251,PHOTOCOAGULATION RETINAL REPAIR-LT,"$2,265.00"
HC21500269,PHOTOCOAGULATION RETINAL REPAIR-RT,"$2,265.00"
HC21500277,REVISION LENS CAPSULE LASER-BIL,"$4,200.00"
HC21500285,REVISION LENS CAPSULE LASER-LT,"$2,075.00"
HC21500293,REVISION LENS CAPSULE LASER-RT,"$2,075.00"
HC21500301,TRABECULOPLASTY LASER BI,"$3,115.00"
HC21500319,TRABECULOPLASTY LASER LT,"$1,675.00"
HC21500327,TRABECULOPLASTY LASER RT,"$1,675.00"
HC21500335,IRIDOTOMY LASER YAG BIL,"$4,750.00"
HC21500343,IRIDOTOMY LASER YAG LT,"$2,275.00"
HC21500350,IRIDOTOMY LASER YAG RT,"$2,275.00"
HC21500467,"VISUAL FIELDS, EXTENDED",$458.00
HC21500475,COLOR VISION TESTING,$148.00
HC21500483,VISUAL ACUITY TEST,$170.00
HC22000004,OST NEW PT EVAL LVL1-(10MIN),$124.00
HC22000012,OST NEW PT EVAL LVL2-(20MIN),$151.00
HC22000020,OST NEW PT EVAL LVL3-(30MIN),$241.00
HC22000038,OST NEW PT EVAL LVL4- (45MIN),$359.00
HC22000046,OST NEW PT EVAL LVL5-(60MIN),$528.00
HC22000053,OST EST PT EVAL LVL1-(5MIN),$139.00
HC22000061,OST EST PT EVAL LVL2-(10MIN),$167.00
HC22000079,OST EST PT EVAL LVL 3-(15MIN),$263.00
HC22000087,OST EST PT EVAL LVL4-(25MIN),$292.00
HC22000095,OST EST PT EVAL LVL5-(40 MIN),$426.00
HC23000003,ANALYSIS IMPLANTED PUMP W/PROG,$955.00
HC23000029,ASP & INJ GANGLION CYST,$650.00
HC23000037,ASP/INJ JOINT SM W/O UTZ GUIDE-BILAT,"$1,239.00"
HC23000045,ASP/INJ JOINT SM W/O UTZ GUIDE-LT,$657.00
HC23000052,ASP/INJ JOINT SM W/O UTZ GUIDE-RT,$657.00
HC23000060,ASP/INJ JOINT MED W/O UTZ GUIDE-BILAT,"$2,000.00"
HC23000078,ASP/INJ JOINT MED W/O UTZ GUIDE-LT,$889.00
HC23000086,ASP/INJ JOINT MED W/O UTZ GUIDE-RT,$889.00
HC23000094,ASP/INJ JOINT LRG W/O UTZ GUIDE-BILAT,"$2,043.00"
HC23000102,ASP/INJ JOINT LRG W/O UTZ GUIDE-LT,"$1,061.00"
HC23000110,ASP/INJ JOINT LRG W/O UTZ GUIDE-RT,"$1,061.00"
HC23000250,DESTRUCT OTHER PERIPH SNGL BI,"$5,000.00"
HC23000268,DESTRUCT OTHER PERIPH SNGL LT,"$2,500.00"
HC23000276,DESTRUCT OTHER PERIPH SNGL RT,"$2,500.00"
HC23000292,DESTRUCT CELIAC PLEXUS,"$2,555.00"
HC23000300,DESTRUCT INTERCOSTAL NERVE,"$2,350.00"
HC23000318,EPIDUROLYSIS PROCEDURE,"$2,852.00"
HC23000326,IMPLNT/REV/REPOS TUN EPI CATH,"$6,604.00"
HC23000334,INJ ANES AGENT-OCCIP NERVE GRT,$757.00
HC23000367,INJ ANESTH AXILLARY NERVE -BIL,"$1,450.00"
HC23000375,INJ ANESTH AXILLARY NERVE- LT,$835.00
HC23000383,INJ ANESTH AXILLARY NERVE RT,$835.00
HC23000391,INJ ANESTH BRACHIAL PLEXUS,"$1,115.00"
HC23000425,INJ ANESTH SCIATIC NERVE BIL,"$2,250.00"
HC23000433,INJ ANESTH SCIATIC NERVE LT,"$1,225.00"
HC23000441,INJ ANESTH SCIATIC NERVE RT,"$1,225.00"
HC23000458,INJ ANESTH SUPRASCAP NERVE BIL,"$1,625.00"
HC23000466,INJ ANESTH SUPRASCAP NERVE LT,$866.00
HC23000474,INJ ANESTH SUPRASCAP NERVE RT,$866.00
HC23000482,INJ ANESTHETIC VAGUS NERVE,$985.00
HC23000516,INJ CELIAC PLEXUS,"$2,495.00"
HC23000557,INJ CERVICAL PLEXUS BLOCK,"$1,075.00"
HC23000615,INJ FACIAL NERVE BLOCK,$587.00
HC23000623,INJ FACIAL NERVE BLOCK-LT,$587.00
HC23000631,INJ FACIAL NERVE BLOCK-RT,$587.00
HC23000649,INJ FEMORAL NERVE BLK BIL,"$1,775.00"
HC23000656,INJ FEMORAL NERVE BLK LT,$900.00
HC23000664,INJ FEMORAL NERVE BLK RT,$900.00
HC23000672,INJ FORAMN EPI C/T INTLW/S&I-BI,"$5,034.00"
HC23000680,INJ FORAMN EPI C/T INTL W/S&I-L,"$3,171.00"
HC23000698,INJ FORAMN EPI C/T INTL W/S&I-R,"$3,171.00"
HC23000706,INJ FORAMN EPI C/T ADD+W/S&I-BI,"$3,120.00"
HC23000714,INJ FORAMN EPI C/T ADD+ W/S&I-L,"$1,975.00"
HC23000722,INJ FORAMN EPI C/T ADD+ W/S&I-R,"$1,975.00"
HC23000730,INJ FORAMN EPI LMBR INTLW/S&I-B,"$4,634.00"
HC23000748,INJ FORAMN EPI LMBR INTLW/S&I-L,"$3,151.00"
HC23000755,INJ FORAMN EPI LMBR INTLW/S&I-R,"$3,151.00"
HC23000763,INJ FORAMN EPI LMBR ADD+S&I-BI,"$3,293.00"
HC23000771,INJ FORAMN EPI LMBR ADDLWS&I+L,"$2,029.00"
HC23000789,INJ FORAMN EPI LMBR ADDLWS&I+R,"$2,029.00"
HC23000797,INJ ILIOING ILIOHYPO NERVE,$855.00
HC23000821,INJ INTERCOSTAL NERVE SNGL,"$1,805.00"
HC23000839,INJ INTERCOSTAL NERVE MULTI,"$2,525.00"
HC23000904,INJ ANESTH OTHER PERIP NERVE BIL,"$1,925.00"
HC23000912,INJ ANESTH OTHER PERIP NERVE LT,"$1,070.00"
HC23000920,INJ ANESTH OTHER PERIP NERVE RT,"$1,070.00"
HC23000938,INJ PARAVERT SYMPATH NERVE,"$2,250.00"
HC23000946,INJ ANESTH PUDENDAL NERVE BIL,"$2,962.00"
HC23000953,INJ ANESTH PUDENDAL NERVE LT,"$1,559.00"
HC23000961,INJ ANESTH PUDENDAL NERVE RT,"$1,559.00"
HC23000979,INJ DX/THER CERVICAL/THORACIC W/O IMAG,"$2,586.00"
HC23000987,INJ DX/THER LUMBAR/SACRAL W/O IMAG,"$2,436.00"
HC23000995,INJ STELLATE GANGLION,"$2,575.00"
HC23001001,INJ SUPERIOR HYPOGASTRIC PLEXS,"$3,370.00"
HC23001019,INJ(S);SNGL TNDON ORIGN/INSERT,$533.00
HC23001027,INJ(S);SINGLE TENDON/SHEATH,$570.00
HC23001035,INJ TRIGEMINAL NERVE BRANCH,$595.00
HC23001043,INJ(S);TRIGGER POINT 1-2MUSCLES,$860.00
HC23001050,INJ(S);TRIGGER POINT 3/>MUSCLES,$924.00
HC23001068,INJ W/CATH PLCMT EPI CERV/THOR W/O IMAG,"$2,395.00"
HC23001076,INJ W/CATH PLCMT EPI LUMBAR W/O IMAG,"$2,512.00"
HC23001084,INJ/INF NEUROLYTIC AGNT SUBARACH,"$2,211.00"
HC23001092,INJ/INF NEUROLYTIC CERV/THOR,"$2,553.00"
HC23001100,INJ/INF NEUROLYTIC LUMB/SACRAL,"$2,555.00"
HC23001118,PERC IMPLANT'N NEUROSTIM ELEC,"$8,554.00"
HC23001126,REMOVE EPIDURAL/INTRATH CATH,"$2,955.00"
HC23001134,DESTR C/T FAC JOINT SNGL W/IMG-B,"$6,605.00"
HC23001142,DESTR C/T FAC JOINT +LVL W/IMG-B,"$5,895.00"
HC23001159,DESTR L/S FAC JOINT SNGL W/IMG-B,"$6,558.00"
HC23001167,DESTR L/S FAC JOINT ADDL W/IMG-B,"$6,590.00"
HC23001175,INJ S-I JOINT ANESTH W/IMAG LT,"$2,051.00"
HC23001183,INJ S-I JOINT ANESTH W/IMAG RT,"$2,051.00"
HC23001225,DESTR C/T FAC JOINT SINGL W/IMG-L,"$3,475.00"
HC23001233,DESTR C/T FAC JOINT SNGL W/IMG-R,"$3,475.00"
HC23001241,DESTR C/T FAC JOINT +LVL W/IMG-L,"$3,105.00"
HC23001258,DESTR C/T FAC JOINT +LVL W/IMG-R,"$3,105.00"
HC23001266,DESTR L/S FAC JOINT SINGL W/IMG-L,"$3,910.00"
HC23001274,DESTR L/S FAC JOINT SNGL W/IMG-R,"$3,910.00"
HC23001282,DESTR L/S FAC JOINT ADDL W/IMG-L,"$3,467.00"
HC23001290,DESTR L/S FAC JOINT ADDL W/IMG-R,"$3,467.00"
HC23001308,INJ S-I JOINT ANESTH W/IMAG BI,"$3,692.00"
HC23001332,INJ CER/THOR F/IMAGE SNG LVLRT,"$2,937.00"
HC23001340,INJ CER/THOR F/IMAGE SNG LVLLT,"$2,937.00"
HC23001357,INJ CER/THOR F/IMAGE SNG LVLBI,"$5,613.00"
HC23001365,INJ CER/THOR F/IMAGE 2ND LVLRT,"$1,454.00"
HC23001373,INJ CER/THOR F/IMAGE 2ND LVLLT,"$1,454.00"
HC23001381,INJ CER/THOR F/IMAGE 2ND LVLBI,"$2,546.00"
HC23001399,INJ CER/THR F/IMAGE 3RD+&LVLRT RT,"$1,138.00"
HC23001407,INJ CER/THR F/IMAGE 3RD+&LVLLT LT,"$1,138.00"
HC23001415,INJ CER/THR F/IMAGE 3RD+&LVLBI,"$2,165.00"
HC23001423,INJ  L/S F W/IMAGE 1ST LVL RT,"$3,377.00"
HC23001431,INJ  L/S F W/IMAGE 1ST LVL LT,"$3,377.00"
HC23001449,INJ  L/S F W/IMAGE 1ST LVL BIL,"$6,753.00"
HC23001456,INJ  L/S F W/IMAGE 2ND LVL RT,"$1,481.00"
HC23001464,INJ  L/S F W/IMAGE 2ND LVL LT,"$1,481.00"
HC23001472,INJ  L/S F W/IMAGE 2ND LVL BIL,"$2,957.00"
HC23001480,INJ  L/S F /IMAGE 3RD+& LVL RT,"$1,441.00"
HC23001498,INJ  L/S F /IMAGE 3RD+& LVL LT,"$1,441.00"
HC23001506,INJ  L/S F /IMAGE 3RD+& LVL BI,"$2,700.00"
HC23001514,INJ TRIGEMINAL NERVE BRANCH RT,$595.00
HC23001522,INJ TRIGEMINAL NERVE BRANCH LT,$595.00
HC23001530,INJ TRIGEMINAL NERVE BRANCH BI,"$1,185.00"
