CULLMAN REGIONAL CDM,,
ID,Charge Description, Charge Amount 
54,IV INFUSION THER UP TO 1 HR,$702.66 
55,IV INFUSION THER ADD HR,$193.00 
56,CHEST TUBE INSERTION,"$1,174.30 "
57,US BLADDER SCAN,$216.87 
58,IV INJECT PUSH THERAPY INITIAL,$193.00 
59,IV INJECT < 16MIN OR SUBSEQ PUSH,$193.00 
60,IV INJECT OF SAME DRUG REPEAT 30 MIN,$200.00 
61,IV HYDRATION INITIAL HOUR,$403.29 
62,IV HYDRATION ADDL HOUR,$137.66 
63,IM/SQ INJECTION,$214.42 
64,PROCEDURE MINOR,$257.76 
65,FINGERTIP PULSE OXIMETER,$45.15 
66,BILI VEST,$4.43 
67,"ARMBOARD,BENDABLE SMALL",$11.79 
68,"ARMBOARD,BENDABLE MEDIUM",$12.97 
69,I & D PROCEDURE,$454.61 
70,US BLADDER SCAN,$216.87 
71,KIT PED CVC KIT TWO LUMEN CDC-22502-X1A,$505.68 
72,PEDIATRIC ELECTRODES,$1.26 
73,CUFF NEO#5 BP DISPOSABLE L/F,$12.06 
74,"VACCINE ADMIN, EA ADDL",$137.77 
75,LUMBAR PUNCTURE,"$1,153.77 "
76,IV INFUSION THER ADD HR,$193.00 
77,IV INFUSION THER UP TO 1 HR,$702.66 
78,PHOTOTHERAPY PER DAY,$279.17 
79,BED TC BARIATRIC PLUS W AIR & PULM,$347.17 
80,IV INJECT PUSH THERAPY INITIAL,$193.00 
81,IV INJECT < 16 MIN OR SUBSEQ PUSH,$193.00 
82,IV INJECT OF SAME DRUG REPEAT 30 MIN,$200.00 
83,IV HYDRATION INITIAL HOUR,$403.29 
84,IV HYDRATION ADDL HOUR,$137.66 
85,ADMINISTRATION HEPATITIS B VACCINE,$216.15 
86,IV SEQUENTIAL INF NON CHEMO,$193.00 
87,CONCURRENT INFUSION,$117.59 
88,IM/SQ INJECTION,$214.42 
89,RABIES ADMINISTRATION,$216.15 
90,OTHER VACCINE IM/SQ,$216.15 
91,EMERGENT INTUBATION,$437.66 
92,"SENSOR,NEOPRE OXIMETRY DISP",$150.53 
93,STRAP CIRCUMCISION DISP 50/CS,$3.15 
94,CLAMP 1.1 PLASTIBELL CIRCUMCISION,$22.50 
95,CLAMP 1.2 PLASTIBELL CIRCUMCISION,$21.87 
96,PLASTICBELL 1.4 CIRCUMCISION,$19.49 
97,PLASTICBELL 1.5  CIRCUMCISION,$19.49 
98,CREAM 1 PURELAN LANOLIN BREAST CREAM,$8.23 
99,CLAMP 1.3 PLASTIBELL CIRCUMCISION,$23.90 
100,OXYGEN W/TEMP PORT INF LG HOOD,$60.98 
101,BILI BLANKET VEST,$7.43 
102,CIRCUMCISION TRAY  YNDF1036,$50.95 
103,CAP MALE/FEMALE STERILE,$1.17 
104,MICRO VOLUME EXTESION W/SLIDE SET,$3.96 
105,SET MICRON IV FILTER W/LUER LOCK,$9.36 
106,SOLUTION BETADINE 1/2 OZ.--52868015005,$5.17 
107,GENERAL PROCEDURE CATH TRAYS,$132.00 
108,8 FR. SUCTION CATHETER,$1.04 
109,6 FR. SUCTION CATHETER,$2.34 
110,NEONATAL ARMBOARD,$4.91 
111,CORD CLAMP CLIPPER MEDICHOICE,$5.57 
112,UMBILICAL VESSEL CATHETER 3.5FR.,$48.52 
113,UMBILICAL VESSEL CATHETER 5.0,$46.13 
114,CATHETER UMBILICAL ARTERY 3.5 FR,$50.27 
115,MASK PREEMIE SIZE 00,$6.84 
116,ET TUBE HOLDER - VARIOUS,$46.62 
117,INSYTE 24GA YELLOW,$10.13 
118,TENDER GRIP NEWBORN,$13.05 
119,"UN-NUMBERED, UN-STERILE TAMPERED CLAMP",$1.53 
120,NIPPLE SHIELD  20mm,$19.62 
121,BLADE MILLER-00 #720NUEA,$18.18 
122,"HARNESS, PAVLIK-XSMALL",$283.50 
123,PROCEDURE PHOTOTHERAPY P/DAY,$279.17 
124,"HARNESS, PAVLIK-SM-51968",$283.50 
125,UMBILICAL CATHETER PLACEMENT,"$1,265.65 "
126,PROCEDURE CIRCUMISION NURSERY,$144.46 
127,PROCEDURE NEWBORN HEARING TEST,$72.72 
128,"LANCET,NENT NICK HEEL-1030085",$7.02 
129,"PROBE, SINGLE TEMP -6600-0628-700",$121.91 
130,MASK NEONATAL ANESTHESIA,$5.83 
131,STRAPS CIRCUMCISION DISPOSABLE,$4.50 
132,TREE TIPS 3.5MM,$4.77 
133,HALO EAR MUFFIN W/ TAB ELECTRODES,$58.86 
134,EPI-SPINAL NEEDLE KIT,$55.53 
135,SUTURE PLAIN GUT 0 #L104G,$11.39 
136,SUTURE CTD VICRYL 3-0,$8.28 
137,SUT VICRYL  VR945,$9.68 
138,SUTURE VICRYL 4-0 J662H,$7.16 
139,SUTURE VICRYL 2-0 J345H,$5.80 
140,SUTURE 1 POLYSB26 GS-25VIOLET0566^OCL905,$11.48 
141,SPONGE 18 X 181 4-PLY LAPAROTOMY,$6.30 
142,SUTURE 0 PLAIN CUT(DISCONTINUED),$9.00 
143,SUTURE CIVRYL 3-0 J980H,$5.94 
144,SUTURE 2-0 POLYSORB 36 GS-21 VIOLT CL923,$7.65 
145,SUTURE VICRYL 0 #J358H,$5.90 
146,36  3-0 RAPIDE LG NEEDLE,$9.68 
147,SPONGE FORCEPS 9 1/2,$38.86 
148,CABLE FETAL ELECTRODE LIFE TRACE,$203.56 
149,MYSTIC MITYSOFT BELL CUP,$55.17 
150,KELLY CLAMPS  #107-191,$26.35 
151,SURGICEL,$214.00 
152,IP CESAREAN SECTION,"$2,956.79 "
153,IP CESAREAN SECTION/FAILED LA,"$3,480.68 "
154,IP RECOVERY,$809.69 
155,IP TUBAL LIGATION POSTPARTUM,"$1,523.33 "
156,IP FETAL NON STRESS TEST,$323.67 
157,IP FETAL CONTRACTION STRESS T,$607.55 
158,IP CERVICAL RIPENING PROCEDUR,$290.28 
159,SUTURE VICRYL 3-0 #J344H,$5.91 
160,SUTURE CTD VICRYL 0,$7.34 
161,OP INSERTION FOLEY CATH,$216.87 
162,SEQUENTIAL INFUSION UP TO 1 HOUR,$193.00 
163,CONCURRENT INFUSION,$117.59 
164,EACH IV PUSH OF SAME DRUG,$200.00 
165,SEPRAFILM ADHESIVE 2X3X5 SMALL,$771.00 
166,SUTURE CHROMIC 2 #CG811,$9.50 
167,SUTURE CHROMIC 1 #CG905,$10.94 
168,SUTURE CHROMIC 3-0 #CG882H,$21.06 
169,SUTURE GUT 0 - CHROMIC 812H,$9.95 
170,SUTURE VICRYL 3-0 J994H,$5.81 
171,OP ADMINISTRATION OF HEPATITIS B VACCINE,$216.15 
172,SUTURE VICRYL J442H,$7.79 
173,TRAY PUDENDAL 20CC CONTROL SYRINGE,$46.00 
174,MOBIUS RETRACTOR X-LARGE,$312.00 
175,SUTURE CG873 PLAIN GUT 3 0,$9.27 
176,SUTURE VICRYL 3-0 #J944H,$5.81 
177,SUTURE VICRYL 4-0 #J662H,$7.16 
178,SUTURE POLYSORB 0 #CL250M,$112.05 
179,DELIVERY ROOM TWIN,$365.61 
180,LABOR/DEL/RECOV/POST PARTUM,"$2,886.20 "
181,BLOOD PATCH,"$1,291.34 "
182,CAUTERY,$92.67 
183,VAG PACKING,$18.36 
184,VACUUM EXTRACTOR,$200.94 
185,TRAY PRECIP,$73.90 
186,C SECTION INSTRUMENTS,$143.11 
187,DELIVERY INSTRUMENTS,$45.75 
188,BLANKET STERILIZATION SECTION,$8.21 
189,BLANKET STERILIZATION 2 BABY,$10.56 
190,OP THERAPEUTIC INFUSION 1HR,$702.66 
191,OP THERAPEUTIC INFUSION ADD H,$193.00 
192,OP FETAL NON STRESS TEST,$431.11 
193,OP THERAPEUTIC INJ IM/SUB Q,$214.42 
194,OP THERAPEUTIC INJ IM/ANTIBIO,$214.42 
195,OP THERAPEUTIC INJECTION IV,$193.00 
196,OP FETAL CONTRACTION STRESS,$864.10 
197,OP IV INFUSION FOR HYDRATION ADDL HR,$137.66 
198,IV PUSH EA ADDL SEQUENTIAL NEW DRUG,$193.00 
199,OP INITIAL HYDRATION UP TO 1 HOUR,$403.29 
200,CHEST TUBE INSERTION,"$1,129.15 "
201,LUMBAR PUNCTURE,"$1,181.10 "
202,PARACENTESIS,"$2,601.50 "
203,SUBQ IM INJECTION,$214.42 
204,VACCINE ADMIN,$216.15 
205,PEG PLACEMENT W/O EGD,$481.22 
206,IV INFUSION THER UP TO 1 HR,$702.66 
207,IV INFUSION THERAPY ADD HR,$193.00 
208,IV INJECT PUSH THERAPY,$193.00 
209,LEVEL 1 OUTPT VISIT W/O PROC,$502.12 
210,IV INFUSION HYDRATION UP TO 1 HR,$403.29 
211,IV INFUSION HYDRATION ADDL HR,$137.66 
212,INSERTION OF STRAIGHT CATH,$144.74 
213,INSERTION OF FOLEY CATH,$216.87 
214,FLUSH PORT A CATH,$235.66 
215,OUTPT VISIT,$502.12 
216,IV THERAPY/THERAPEUTIC ADD SEQ INFUSION,$193.00 
217,IV 15 MIN OR <LESS SUBSEQ OR ADD PUSH,$193.00 
218,DECLOTING PROCEDURE,$794.92 
219,DRAW BLOOD OFF VENOUS DEVICE,$241.46 
220,COLLECT BLOOD FROM PICC,$241.46 
221,IV INJECT OF SAME DRUG REPEAT 30 MIN,$200.00 
222,CONCURRENT INFUSION,$117.59 
223,REPAIR CVA CATHETER,"$2,393.56 "
224,CLEAN CATCH URINE,$5.71 
225,URINE COLLECT ST/CATH,$16.48 
226,FLUSH INTERNAL DEVICE,$235.66 
227,NASAL ALAR SP02 ADLT/PED SENSOR,$85.50 
228,SUTURE PERMA 3-0 #C013D,$26.15 
229,QUICKFLASH ATERIAL 20GA CATH SET,$20.63 
230,CXZ HEAD WRAP,$810.00 
231,CXZ MAXI-THERM PATIENT VEST,$493.16 
232,CANNULA #6 SHILEY,$19.17 
233,TRACH TUBE 6.0 CUFF SHILEY,$237.56 
234,CVC KIT 3-LUMEN 20CM,$360.09 
235,CARDIOVERSION,"$1,759.91 "
236,CODE BLUE,"$1,448.28 "
237,TELEMETRY MONITORING,$659.00 
238,INTRO CATH VENA CAVA,$604.59 
239,EXTERNAL PACER,"$2,060.20 "
240,IV INJECT PUSH THERAPY INITIAL,$193.00 
241,IV INJECT < 16 MIN OR SUBSEQ PUSH,$193.00 
242,IV INJECT OF SAME DRUG REPEAT 30 MIN,$200.00 
243,INSERTION TEMP PACEMAKER SINGLE CHAMBER,"$12,542.69 "
244,THORACENTESIS,"$1,748.14 "
245,CENTRAL LINE PLACEMENT,"$1,593.98 "
246,INSERTION OF CANNULA DIALYSIS,"$5,960.36 "
247,LUMBAR PUNCTURE,"$1,153.77 "
248,PARACENTESIS,"$2,258.84 "
249,CHEST TUBE INSERTION,"$1,748.14 "
250,PA CATHETER SV02,"$6,394.68 "
251,CONCURRENT INFUSION,$117.59 
252,IM/SQ INJECTION,$214.42 
253,INSYTHE IV 14 GA,$8.32 
254,I/P HEMODIALYSIS,"$1,042.59 "
255,O/P HEMODIALYSIS NOT CERTIFIED,"$2,528.53 "
256,I/P CRRT,"$1,735.62 "
257,STEM  FEMORAL POROUS 12X144 MM,"$9,562.50 "
258,DRILL BIT #310.141,$203.76 
259,DIABETES SERVICE 30 MIN,$196.80 
260,GROUP SERVICE OP PER 30 MIN,$27.99 
261,MEDICAL NUTRITIONAL THERAPY,$84.82 
262,MEDICAL NUTRITIONAL RE-ASSESSMENT,$73.41 
263,SCREW #204.818,$109.26 
264,SUTURE POLYSORB 8-0 #L2800,$49.64 
265,KIT TRANSFER FILL #350-8400,$202.50 
266,PLATE #241.351,$759.38 
267,PLATE RIGHT #241.031 SYNTHES,"$1,821.37 "
268,CLOUD 9 FLOOR PAD *DO NOT USE*,$50.34 
269,SUTURE SILK 3-0 #GS832,$5.08 
270,SCREW #204.834,$109.26 
271,SUTURE SILK 4-0 #S193,$6.48 
272,SURGICLIP APPLIER LARGE MCL20,$192.55 
273,SCREW #202.720,$894.38 
274,SCREW (222.648 old) new 02.207.490,"$1,150.20 "
275,SCREW #02.207.480,"$1,267.65 "
276,CATHETER REDDICK #E2401-53,$693.00 
277,TWINFIX 3.5 #72200752,$842.58 
278,TWINFIX 6.5 #72200758,$842.58 
279,BLADE #8065921502,$17.28 
280,CANNULA VISCOAT 27GA,$15.40 
281,BLADE #456.306S,"$2,905.07 "
282,SCREW #204.014,$68.31 
283,DRILL BIT #310.65,"$1,964.25 "
284,TUBING STANDARD LIPO 24-5102-02,$56.25 
285,SCREW 7.3 CANN P/T   #02.207.470,"$1,171.13 "
286,SCREW NEW # 02.207.465,"$1,171.13 "
287,SCREW #202.016,$135.81 
288,SCREW #202.014,$135.81 
289,SURGICLIP APPLIER MSM20,$190.44 
290,SUTURE PERMA 2-0 #A305H,$7.92 
291,DRAPE C-ARM LARGE #E9100AG,$54.00 
292,SUTURE ETHIBOND 3-0 X872H,$6.93 
293,SUTURE CAPROSYN 2-0 #GC123,$15.39 
294,SCREW #204.824,$95.31 
295,SCREW #204.826,$95.31 
296,SCREW #212.109,$563.63 
297,PLATE #223.581,"$1,535.63 "
298,NEEDLE EDGE INSULATED COATED,$14.94 
299,SCREW #202.016,$135.81 
300,SCREW #204.832,$95.31 
301,SCREW 5.0 CANN LOCKING 75MM SYNTHES,$884.25 
302,WOUND RETRACTOR  MEDIUM #C8302,$189.00 
303,ANCHOR MINI QUICK #212033,"$2,119.50 "
304,ANCHOR #212034 DEPUY G2 QUICK,"$2,290.50 "
305,INSERT TIBIAL #96-2121,"$5,400.00 "
306,TRAY MBT TIBIAL SZ. 2.5,"$5,400.00 "
307,BLADE #KM3-103,$39.38 
308,PLATE #222.656,"$6,932.25 "
309,SCREW #212.122,$563.63 
310,TURNOVER KIT CULLMAN,$25.52 
311,SCREW #204.850,$95.31 
312,SCREW #204.845,$127.58 
313,CATHETER EMBOLECTOMY 4F #A4405,$157.50 
314,SHAVER 4.5 #7205315,$166.50 
315,NAIL #456.419S,"$8,008.88 "
316,GUIDEWIRE 3.2 x 400mm  #357.399,$494.95 
317,SURGICEL #1951,$371.30 
318,DRAPE SHEET U #DYNJP2499,$6.95 
319,CATHETER THORACIC 32FR #8032,$16.56 
320,SUTURE VICRYL  2 #J880T,$10.44 
321,JURGAN BALL PIN #W062GN,$33.30 
322,SCREW #209.905,"$1,161.00 "
323,PLATE #243.15,$334.44 
324,SCREW #214.546,$904.50 
325,SCREW 7.3 X 115  #209.915,"$1,161.00 "
326,NEEDLE 25GA 5/8 305122,$0.14 
327,APLIGRAF #9978-0001-99,"$5,827.50 "
328,STAPLER HEMORRHOID #PPH03,"$1,493.10 "
329,SCREW 3.5 X 16  #CO3160,$400.50 
330,SCREW #COT-2328,$315.00 
331,GUIDEWIRE .045   #WS1106ST,$67.50 
332,GUIDEWIRE .054  #WS1406ST SOUTH ORTHO,$63.00 
333,ARTHROWAND #ASC-4250-01,$810.00 
334,TWINFIX #7210710,"$1,091.03 "
335,TWINFIX #7210427,$486.00 
336,SHIELD EYE REPLACEMENT #23-501,$3.30 
337,DRAPE TOP 102X52 #DYNJP4002,$12.38 
338,CATHETER TENCKHOFF #8810889003,$144.41 
339,BLADE #81010-1,"$1,080.00 "
340,MESH HERNIA LL #0115311,$675.00 
341,MESH HERNIA RL #0115321,$675.00 
342,SUCTION ARGYLE  #501007,$2.07 
343,DRAIN WOUND FLAT HUBLESS #0070360,$24.35 
344,SUTURE POLYSORB 4-0 #GL321,$7.38 
345,SUTURE VICRYL 1 #J371H,$6.03 
346,SCREW #458.938S,"$1,029.38 "
347,TRACH #4DCT,$137.12 
348,SPEAR BLADE/HANDLE-14-11000,$42.35 
349,TRAY MBT SZ 4-1294-33-140 DEPUY,"$4,950.00 "
350,ANCHOR ACCU-PASS #72200419,$486.00 
351,ANCHOR BIORAPTOR #72200774,"$1,135.12 "
352,SPLINT ONE STEP 3X12 #76312A,$24.68 
353,SUTURE VICRYL 2-0 J762D,$49.41 
354,CATHETER FOGARTY 4FR #120804F,$134.57 
355,IMPLANT BREAST #350-3330,"$3,258.00 "
356,NAIL #04.004.443S,"$6,547.50 "
357,SCREW #04.005.522S,"$1,089.86 "
358,SCREW #04.005.526S,"$1,158.30 "
359,PLATE #70-0171,"$5,845.50 "
360,PLATE #70-0169,"$5,845.50 "
361,PLATE #70-0147,"$5,845.50 "
362,LEAD MEDTRONIC 5076-58CM,"$2,250.00 "
363,SLING LYNX,"$4,392.63 "
364,DRILL BIT #310.16,$376.65 
365,WOUND VAC 7 DAY KIT,"$2,932.20 "
366,ENDSCOPIC CANNULATED DRILL BIT 4.5 S&N E,$401.04 
367,RESEVOIR LARGE  -0043650,$27.58 
368,SCREW #AT2-530-S,"$2,322.00 "
369,K-WIRE WS1607ST,$63.00 
370,KWIRE TITANIUM .035,$184.50 
371,SCREW #458.946S,"$1,029.38 "
372,BLADE #532.041S,$324.00 
373,MESH HERNIA RM #0115320,$634.50 
374,KIT WILSON FRAME #5322 MIZUHO/OSI,$97.11 
375,SCREW #280.270s,"$1,758.38 "
376,GELFILM ABSORABLE 1X2 #029703,$783.75 
377,DRAIN 10 FLAT ENT #0071440,$38.03 
378,BLADE #1884004,$830.48 
379,MESH 2X4 #0112650,$193.50 
380,SUTURE POLYSORB 3-0 #UL204,$8.94 
381,SUTURE VICRYL 2-0 J710T,$23.54 
382,SUTURE PDS #Z317H,$15.12 
383,SCREW #212.216,$658.13 
384,SCREW #212.219,$658.13 
385,SUTURE CHROMIC 3-0 #636H,$20.06 
386,CURRETTE CURVED 10MM-21553,$20.58 
387,BLADE #5301-25-43,$56.75 
388,PUMP PAIN ON-Q #PM012A,$416.70 
389,SUTURE ULTRABRAIDED #7210915,$93.15 
390,SUTURE PERMA 6-0 #639G,$11.97 
391,SUTURE VICRYL PLUS CT-1 0 #VCP346H,$6.25 
392,SUCTION LINER W/LID-20-5154-00,$36.90 
393,KIT BASKET ESCAPE #390-201,"$1,410.75 "
394,CAROTID SHUNT #NL75227S02,"$3,222.00 "
395,SCREW #202.230,$575.91 
396,CATHETER EMBOLECTOMY #120805F,$144.18 
397,SCREW #280.295S,"$1,899.05 "
398,KIT PREP #121010,$212.40 
399,KIT PERCUTANEOUS TRACH--C-PTS-100,"$1,884.42 "
400,TRAY DRY PRE--DYND70661 DO NOT USE,$9.79 
401,SOLUTION BETADINE-MDS093944,$2.50 
402,BETADINE SCRUB-MDS093945,$2.34 
403,DRILL BIT #310.510,$612.00 
404,DRILL BIT#323.062,$671.63 
405,BURR #2296-101-221,$24.08 
406,KIT ACL DISP #232300,"$2,925.00 "
407,KIT CROSSPIN #210127,"$2,412.00 "
408,SCREW #207.634,$884.25 
409,SUCKER SHORT SUPER-5300-10-500,$250.15 
410,SUTURE PDS #Z880G,$28.62 
411,BURR #5820-010-160 ROUND SOFT TOUCH,$475.96 
412,NAIL 11MM/130* 360MM/LT  #456.417S,"$8,008.88 "
413,GRAFT VASCULAR HEMASHIELD #095220,"$1,943.15 "
414,SYRINGE TOOMEY 60CC-358381560265,$1.18 
415,NAIL #456.423S,"$8,008.88 "
416,SCREW #458.950S,"$1,179.40 "
417,SCREW #209.870,"$1,330.24 "
418,WASHER 13.0MM  #219.99,$144.99 
419,DERMACARRIER #00-2195012-00,$94.41 
420,TOPAZ MICRODEBRIDER #ACH4041-01,"$2,479.50 "
421,IRIS RETRACTOR FLEXIBLE #611.74,$297.00 
422,SCREW #280.280S,"$1,758.38 "
423,K-WIRE #KM172-24-45,$10.89 
424,PROBE SAPHIRE #7210111,$682.83 
425,IMPLANT BREAST #350-1685,"$1,570.50 "
426,PLATE #242.41,$275.04 
427,CHISEL THERMA--7209647,$967.50 
428,BRA COMPRESSION 42 22-400/42,$140.81 
429,BRA COMPRESSION 44,$152.96 
430,PLATE #110.234,"$6,120.00 "
431,SUTURE MONOSOF 2-0 #SN664,$13.73 
432,DRAPE PROBE  #098004,$205.25 
433,SCREW #201.764,$253.13 
434,DRILL BIT #310.509,$769.54 
435,SCREW #212.822,$530.55 
436,SCREW #201.762,$253.13 
437,GRAFTJACKET 5X5 #8600-5X05,"$13,792.50 "
438,ANCHOR #22298,"$1,278.00 "
439,BURR #5120020447SI,"$1,215.00 "
440,NAIL #456.422S,"$9,282.60 "
441,BIOMET TIBIAL  BEARING #189060,"$4,050.00 "
442,BIOMET TIBIAL PLATE #141233,"$4,725.00 "
443,BIOMET PATELLA #184762 BIOMET,"$2,025.00 "
444,BIOMET FEMUR 65MM  #183028,"$9,112.50 "
445,DURAGEN #ID-1101,"$1,421.55 "
446,STAPLER MULTIFIRE GIA #059037,$78.75 
447,TROCAR VERSAPORT PLUS #179102P,$165.11 
448,TROCAR VERSAPORT #179101,$138.65 
449,DRILL BIT #310.19,$394.42 
450,DRILL BIT #310.44,$373.14 
451,SUTURE CHROMIC GUT 0 #CG812,$9.00 
452,TIP FILIFORM STRAIGHT--021804,$126.59 
453,DRAPE UNDER BUTTOCK #DYNJP6002,$8.15 
454,FEMORAL CR LT CEMENTED,"$9,112.50 "
455,BIOMET TIBIAL PLATE #141235,"$4,765.50 "
456,BIOMET BEARING #189100,"$4,050.00 "
457,CEMENT BIOMET new # 600-15-000 A2243,$260.59 
458,BIOMET FEMUR #183052,"$10,912.50 "
459,BIOMET BEARING #189082,"$4,050.00 "
460,PEG ANCHOR GLENOID--113642025,"$6,075.00 "
461,DRILL BIT #2274-25-500,"$1,012.50 "
462,SCREW #458.840S,"$1,029.38 "
463,SCREW #458.828S DISCONTINUED,"$1,029.38 "
464,SUTURE VICRYL 1 #J196H,$5.98 
465,SUTURE MONOSOF #SN1955,$17.15 
466,CUP BIOMET #11-165232,"$2,925.00 "
467,BIOMET HEAD #163662,"$2,925.00 "
468,MESH #C-PHR-7X10 U,"$4,472.28 "
469,BLADE #5301-30-62,$56.57 
470,SUCTION SHORT CAUTERY--E2505-10F,$27.81 
471,TUBE EAR #10-28145,$60.02 
472,SCREW #209.895,"$1,161.00 "
473,DRESSING OWENS #358386834000,$7.99 
474,SCREW #209.900,"$1,263.60 "
475,TRACH #6FEN,$188.37 
476,STEM 18X140MM,"$5,233.50 "
477,BLADE DERMATOME #00-8800-000-10,$124.67 
478,JURGAN BALL PIN #W045YL,$33.30 
479,MANIPUJECTOR KRONNER-6003,$153.00 
480,SUTURE CHROMIC GUT #GG322,$8.87 
481,SUTURE SURGIPRO 2 #CP825,$11.61 
482,CATHETER BERENSTEIN #10722704,$102.60 
483,KNIFE TUIP #880-207,$346.28 
484,SCREW #207.646,"$1,013.17 "
485,GRAFTJACKET 4X7 #86UM-4X07,"$19,170.00 "
486,TROCAR VERSAPORT #179103P,$165.11 
487,CANNULA CRYSTAL  5.75 #AR6560,$112.50 
488,FIBER LASER #550,"$2,121.39 "
489,SUTURE VICRYL 2-0 VCP478H,$6.39 
490,BIOMET FEMUR #183008,"$9,112.50 "
491,BIOMET BEARING #189062,"$4,050.00 "
492,BLADE #KM-97,$46.00 
493,DRAIN STRYKER #225-426,$648.22 
494,CLEAR-TRAK SYSTEM #72200905,$117.18 
495,CANNULA CLEAR 8.5 OLD # USE 72200903,$117.18 
496,MEROCEL KENNEDY PACK #470530,$84.26 
497,BLADE #KM3-125,$39.38 
498,KYPHON MIXER  #C01B,$569.43 
499,PLATE #241.041,"$1,927.80 "
500,SHAVER ABRADER 5.5 #7205325,$166.50 
501,SUTURE #RS20,$224.95 
502,SCREW #222.562,$765.45 
503,STAPLER TA 60 #TA6048S,$422.19 
504,TRACH #8FEN,$170.33 
505,MASTISOL ADHESIVE 2/3CC VIAL 0523-48,$7.02 
506,K-WIRE #KM172-29-62,$10.89 
507,SUTURE POLYSORB 5-0 #SL5636G,$15.62 
508,DRILL BIT #2274-30-500,$945.00 
509,BURR #1608-2-9,$168.48 
510,SHEARS HARMONIC #HAR36E,"$1,656.77 "
511,BLADE #456.307S,"$2,909.25 "
512,TAPE MEDIPORE 6  #4509002866,$44.10 
513,HEAD #1365-53-000,"$2,250.00 "
514,SCREW #204.855,$95.31 
515,BIOMET FEMUR #183030,"$9,112.50 "
516,BIOMET PATELLA STD   #184764,"$2,025.00 "
517,BLADE 11 DEGREE #11-2217,$5.31 
518,BURR #5300-10-718,$76.50 
519,CONDOM COVERS UA0023,$3.60 
520,SUTURE SURGIPRO 4-0 #VP881,$10.22 
521,SCREW #02.205.030,$884.25 
522,PLATE #222.657,"$7,942.77 "
523,SCREW #02.207.080,"$1,312.88 "
524,GRAFTJACKET 5X10 #8600-5X10,"$14,152.50 "
525,BIOMET FEMUR #183026,"$9,112.50 "
526,SUTURE MONOSOF 4-0 #SN671,$5.22 
527,CHLORAPREP 10.5ML ONE-STEP #260700,$15.30 
528,SCREW #209.890,"$1,161.00 "
529,CATHETER EMBOLECTOMY 6F #120806F,$144.00 
530,BONE PUTTY 2.5CC #038025 MTF,"$1,480.50 "
