Saint Louise Regional Hospital #106434138,,,,,
SLRH Dept#,Charge Number,Description, 06/01/18 Default Price , 06/01/18 Outpatient Price , 06/01/18 ER price 
74202,1809219,ABSORBATACK (251-500)," $1,347.00 "," $1,347.00 "," $1,347.00 "
77100,9454588,ACETAMINOPHEN 10MG/ML 100ML INJ, $317.00 , $317.00 , $317.00 
77100,9420373,ACETAZOLAMIDE 250MG TAB, $14.00 , $14.00 , $14.00 
77100,9402041,ACETAZOLAMIDE 500MG INJECTION, $368.00 , $368.00 , $368.00 
77100,9419128,ACETIC ACID 0.25% IRRIG 1L, $195.00 , $195.00 , $195.00 
77100,9420464,ACETYLCYSTEINE 10% SOL 4ML, $48.00 , $48.00 , $48.00 
77100,9420472,ACETYLCYSTEINE 20% SOL 10ML, $68.00 , $68.00 , $68.00 
77100,9420480,ACETYLCYSTEINE 20% SOL 30ML, $57.00 , $57.00 , $57.00 
77100,9420498,ACETYLCYSTEINE 20% SOL 4ML, $56.00 , $56.00 , $56.00 
77100,9400094,ACETYLCYSTEINE 6G/30ML INJ," $1,659.00 "," $1,659.00 "," $1,659.00 "
77100,9425133,ACTIV CHARCOAL-SORBITOL 50G, $176.00 , $176.00 , $176.00 
76500,0700229,ACUTE GASTROINTEST BLOOD LOSS IMG," $2,727.00 "," $2,727.00 "," $2,727.00 "
75000,0118406,ACUTE HEPATITIS PANEL, $325.00 , $325.00 , $325.00 
75008,0104562,ACUTE HEPATITIS PANEL [AP, $41.79 , $41.79 , $41.79 
77100,9400102,ACYCLOVIR 1000MG INJECTION, $254.00 , $254.00 , $254.00 
77100,9420514,ACYCLOVIR 200MG CAPSULE, $18.00 , $18.00 , $18.00 
77100,9420530,ACYCLOVIR 200MG/5ML SUSP, $21.00 , $21.00 , $21.00 
77100,9420563,ACYCLOVIR 5% OINTMENT 15G," $2,800.00 "," $2,800.00 "," $2,800.00 "
77100,9454638,ACYCLOVIR 5% OINTMENT 30G," $2,819.00 "," $2,819.00 "," $2,819.00 "
77100,9447095,ACYCLOVIR 500MG INJECTION, $145.00 , $145.00 , $145.00 
77100,9420571,ACYCLOVIR 800MG TAB, $40.00 , $40.00 , $40.00 
74202,1821677,ADAPT/EXT PACE/NEURO LEAD (1501-2K)," $6,275.00 "," $6,275.00 "," $6,275.00 "
74202,1822535,ADAPT/EXT PACE/NEURO LEAD (751-1K)," $3,139.00 "," $3,139.00 "," $3,139.00 "
74202,1813385,ADAPTER HARMONIC HAND SWITCH, $139.00 , $139.00 , $139.00 
74700,0400051,"ADAPTER LUER LOK MALE 1/8""", $240.00 , $240.00 , $107.25 
74700,0400119,ADAPTER PLUG MALE LUER LOK, $94.00 , $94.00 , $35.00 
74700,0400127,ADAPTER SPIKE VENTED, $66.00 , $66.00 , $24.38 
77100,9400151,ADENOSINE 6MG/2ML INJECTION, $70.00 , $70.00 , $70.00 
74202,1816834,ADHESIVE SKIN CLOSURE (51-100), $272.00 , $272.00 , $272.00 
70105,1201854,ADMIN OF HEPATITIS B VACCINE, $116.00 , $116.00 , $116.00 
70105,1201862,ADMIN OF INFLUENZA VIRUS VACCINE, $116.00 , $116.00 , $116.00 
70105,1201870,ADMIN OF PNEUMOCOCCAL VACCINE, $116.00 , $116.00 , $116.00 
74700,0420281,ADULT INTRODUCER BOUGIE, $24.00 , $24.00 , $24.00 
77100,9408774,ADVAIR 100-50MCG 14S DISKUS, $682.00 , $682.00 , $682.00 
77100,9408790,ADVAIR 250-50MCG 14S DISKUS, $682.00 , $682.00 , $682.00 
77100,9408816,ADVAIR 500-50MCG 14S DISKUS," $1,106.00 "," $1,106.00 "," $1,106.00 "
77202,2900231,AEROCHAMBER, $30.00 , $30.00 , $30.00 
74202,1816495,AICD DUAL CHAMBER (16001-18K)," $54,403.00 "," $54,403.00 "," $54,403.00 "
74202,1821099,AICD DUAL CHAMBER (20001-22K)," $94,842.00 "," $94,842.00 "," $94,842.00 "
74202,1821107,AICD DUAL CHAMBER (22001-24K)," $73,603.00 "," $73,603.00 "," $73,603.00 "
74202,1823558,AICD NON SINGLE OR DUAL (20-22K)," $67,203.00 "," $67,203.00 "," $67,203.00 "
74202,1822600,AICD NON SINGLE OR DUAL (22-24K)," $73,603.00 "," $73,603.00 "," $73,603.00 "
74202,1823764,AICD SINGLE CHAMBER (14001-16000)," $48,003.00 "," $48,003.00 "," $48,003.00 "
70105,1200823,AIRWAY INHALATION TREATMENT INITIAL, $404.00 , $404.00 , $404.00 
77200,2900355,AIRWAY INHALATION TREATMENT INITIAL, $404.00 , $404.00 , $404.00 
77200,2900876,AIRWAY INHALATION TREATMENT INITIAL, $404.00 , $404.00 , $404.00 
70835,5500111,AIRWAY INHALATION TREATMENT INITIAL, $404.00 , $404.00 , $404.00 
70105,1200831,AIRWAY INHALATION TX SUBSEQUENT, $404.00 , $404.00 , $404.00 
77200,2900520,AIRWAY INHALATION TX SUBSEQUENT, $404.00 , $404.00 , $404.00 
77200,2900637,AIRWAY INHALATION TX SUBSEQUENT, $404.00 , $404.00 , $404.00 
77200,2900736,AIRWAY INHALATION TX SUBSEQUENT, $404.00 , $404.00 , $404.00 
77200,2900744,AIRWAY INHALATION TX SUBSEQUENT, $404.00 , $404.00 , $404.00 
70835,5500921,AIRWAY INHALATION TX SUBSEQUENT, $404.00 , $404.00 , $404.00 
74700,0400242,AIRWAY NASO (11-50), $263.00 , $263.00 , $50.00 
74700,0400267,AIRWAY NASOPHARYNGEAL, $170.00 , $170.00 , $76.00 
77100,9418799,ALBUMIN HUMAN  5% INJ 500ML," $1,607.00 "," $1,607.00 "," $1,607.00 "
77100,9418807,ALBUMIN HUMAN 25% INJ 100ML," $1,544.00 "," $1,544.00 "," $1,544.00 "
77100,9418815,ALBUMIN HUMAN 25% INJ 50ML, $853.00 , $853.00 , $853.00 
77100,9418781,ALBUMIN HUMAN 5% INJ 250ML, $943.00 , $943.00 , $943.00 
77100,9418773,ALBUMIN HUMAN 5% INJ 50ML, $227.00 , $227.00 , $227.00 
75000,0110296,ALBUMIN OTHER SOURCE QUAN EACH SPM, $131.00 , $131.00 , $131.00 
75008,0101535,ALBUMIN SERUM PLASMA/WHLE BLOOD [AP, $4.02 , $4.02 , $4.02 
75000,0118307,ALBUMIN URINE MICROALBUMIN QUAN, $113.00 , $113.00 , $113.00 
75008,0106211,ALBUMIN URINE MICROALBUMIN QUAN [AP, $5.11 , $5.11 , $5.11 
75008,0107920,ALBUMIN URINE MICROALBUMIN QUAN [AP, $5.11 , $5.11 , $5.11 
77100,9420662,ALBUTEROL 2.5MG/0.5ML INH SOL, $14.00 , $14.00 , $14.00 
77100,9420647,ALBUTEROL 2.5MG/3ML INH SOL, $16.00 , $16.00 , $16.00 
77100,9420746,ALBUTEROL HFA 18G INHALER, $388.00 , $388.00 , $388.00 
77100,9420738,ALBUTEROL HFA 8G INHALER, $110.00 , $110.00 , $110.00 
70832,5501267,ALBUTEROL INH SOLN 2.5MG/3ML, $6.00 , $6.00 , $6.00 
77100,9420761,ALENDRONATE 10MG TABLET, $31.00 , $31.00 , $31.00 
77100,9420803,ALENDRONATE 70MG TABLET, $154.00 , $154.00 , $154.00 
74202,1802461,ALLOGRAFT (1501-2000)," $6,275.00 "," $6,275.00 "," $6,275.00 "
74202,1816537,ALLOGRAFT (2501-3500)," $10,755.00 "," $10,755.00 "," $10,755.00 "
77100,9420878,ALLOPURINOL 100MG TABLET, $12.00 , $12.00 , $12.00 
77100,9420886,ALLOPURINOL 300MG TABLET, $15.00 , $15.00 , $15.00 
77100,9457391,AL-MAG-SIMET200-200-20MG/5ML30ML, $16.00 , $16.00 , $16.00 
75008,0106245,ALPHA-1 ANTITRYPSIN TOTAL [AP, $14.63 , $14.63 , $14.63 
77100,9400318,ALPHA-1 PROTEIN INHIB 1G INJ," $2,049.00 "," $2,049.00 "," $2,049.00 "
75008,0111260,ALPHA-1-ANTITRYPSIN PHENOTYPE [AP, $15.74 , $15.74 , $15.74 
75000,0117440,ALPHA-FETOPROTEIN (AFP) SERUM, $209.00 , $209.00 , $209.00 
77100,9420910,ALPRAZOLAM 0.25MG TABLET, $21.00 , $21.00 , $21.00 
77100,9420928,ALPRAZOLAM 0.5MG TABLET, $22.00 , $22.00 , $22.00 
77100,9404179,ALTEPLASE 100MG INJECTION," $21,762.00 "," $21,762.00 "," $21,762.00 "
77100,9404195,ALTEPLASE 2MG INJECTION, $763.00 , $763.00 , $763.00 
77100,9404161,ALTEPLASE 50MG INJECTION," $12,106.00 "," $12,106.00 "," $12,106.00 "
77100,9421041,AMANTADINE 100MG CAPSULE, $11.00 , $11.00 , $11.00 
77100,9421132,AMERICAINE RECTAL OINTMENT 30G, $41.00 , $41.00 , $41.00 
77100,9400342,AMIKACIN 500MG/2ML INJECTION, $52.00 , $52.00 , $52.00 
77100,9421215,AMINO ACIDS 8.5% 500ML, $133.00 , $133.00 , $133.00 
75008,0107979,AMINO ACIDS SINGLE QUAN EA SPMN [AP, $18.36 , $18.36 , $18.36 
77100,9400367,AMINOPHYLLINE 500MG/20ML INJ, $34.00 , $34.00 , $34.00 
77100,9457078,AMIODARONE 150MG/100ML INJ PREMIX, $307.00 , $307.00 , $307.00 
77100,9400375,AMIODARONE 150MG/3ML INJECTION, $37.00 , $37.00 , $37.00 
77100,9421371,AMIODARONE 200MG TABLET, $34.00 , $34.00 , $34.00 
77100,9400383,AMIODARONE 450MG/9ML INJECTION, $145.00 , $145.00 , $145.00 
77100,9421454,AMITRIPTYLINE 10MG TABLET, $12.00 , $12.00 , $12.00 
77100,9421470,AMITRIPTYLINE 25MG TABLET, $14.00 , $14.00 , $14.00 
77100,9421488,AMITRIPTYLINE 50MG TABLET, $15.00 , $15.00 , $15.00 
77100,9421504,AMLODIPINE  10MG TABLET, $27.00 , $27.00 , $27.00 
77100,9421512,AMLODIPINE 2.5MG TABLET, $13.00 , $13.00 , $13.00 
77100,9421520,AMLODIPINE 5MG TABLET, $23.00 , $23.00 , $23.00 
74700,0400317,AMNIHOOK, $63.00 , $63.00 , $23.54 
74000,1300169,AMNIOINFUSION, $403.00 , $403.00 , $403.00 
74202,1825116,AMNIOTIC MEMBRANE (1001-1500)," $4,483.00 "," $4,483.00 "," $4,483.00 "
74202,1825462,AMNIOTIC MEMBRANE (751-1000)," $3,139.00 "," $3,139.00 "," $3,139.00 "
77100,9421728,AMOX-CLAV 250MG-62.5MG/5ML SUSP, $41.00 , $41.00 , $41.00 
77100,9457409,AMOX-CLAV 400MG-57MG/5ML 50ML SUSP, $254.00 , $254.00 , $254.00 
77100,9457417,AMOX-CLAV 400MG-57MG/5ML SUSP, $35.00 , $35.00 , $35.00 
70832,5501283,AMOXICILLIN 250MG CAP, $1.00 , $1.00 , $1.00 
77100,9421645,AMOXICILLIN 250MG CAPSULE, $12.00 , $12.00 , $12.00 
70832,5502588,AMOXICILLIN 400 MG/5ML SUSP, $1.00 , $1.00 , $1.00 
77100,9421694,AMOXICILLIN 400 MG/5ML SUSP, $14.00 , $14.00 , $14.00 
70832,5501291,AMOXICILLIN 500MG CAP, $1.00 , $1.00 , $1.00 
77100,9421702,AMOXICILLIN 500MG CAPSULE, $14.00 , $14.00 , $14.00 
77100,9422650,AMOXICILLIN-CLAVULANATE 250-125MG T, $52.00 , $52.00 , $52.00 
77100,9400441,AMPHOTERICIN B LIPID 100MG INJ," $1,699.00 "," $1,699.00 "," $1,699.00 "
77100,9400458,AMPHOTERICIN B LIPO 50MG INJ," $1,393.00 "," $1,393.00 "," $1,393.00 "
77100,9400474,AMPICILLIN 1000MG INJECTION, $69.00 , $69.00 , $69.00 
77100,9400466,AMPICILLIN 125MG INJECTION, $56.00 , $56.00 , $56.00 
77100,9400508,AMPICILLIN 2000MG INJECTION, $86.00 , $86.00 , $86.00 
77100,9400482,AMPICILLIN 250MG INJECTION, $41.00 , $41.00 , $41.00 
77100,9447210,AMPICILLIN 500MG INJECTION, $52.00 , $52.00 , $52.00 
77100,9400581,AMPICILLIN/SULBACTAM 1.5G INJ, $76.00 , $76.00 , $76.00 
77100,9400599,AMPICILLIN/SULBACTAM 3G INJ, $73.00 , $73.00 , $73.00 
77100,9421850,ANASTROZOLE 1MG TABLET, $53.00 , $53.00 , $53.00 
77202,2901361,ANCHOR FAST (11-50), $263.00 , $263.00 , $263.00 
74500,6000137,ANESTHESIA PER MINUTE, $52.00 , $52.00 , $52.00 
75008,0106294,ANGIOTENSIN I-CONV ENZYME (ACE) [AP, $15.90 , $15.90 , $15.90 
74202,1824036,ANOSPEC DISPOSABLE DEVICE, $20.00 , $20.00 , $20.00 
74202,1813435,ANTENNA MEDTRONIC, $224.00 , $224.00 , $224.00 
74202,1808682,ANTERIOR CHMBR IOL (51-100), $272.00 , $272.00 , $272.00 
75008,0108894,ANTIBODY  HELICOBACTER PYLORI [AP, $16.04 , $16.04 , $16.04 
75008,0108902,ANTIBODY  HELICOBACTER PYLORI [AP, $16.04 , $16.04 , $16.04 
75008,0107441,ANTIBODY ASPERGILLUS [AP, $16.39 , $16.39 , $16.39 
75008,0105361,ANTIBODY BARTONELLA [AP, $11.08 , $11.08 , $11.08 
75008,0105379,ANTIBODY BARTONELLA [AP, $11.08 , $11.08 , $11.08 
75008,0105536,ANTIBODY BORDETELLA [AP, $14.36 , $14.36 , $14.36 
75008,0105544,ANTIBODY BORDETELLA [AP, $14.36 , $14.36 , $14.36 
75008,0107466,ANTIBODY BORRELIA BURGORFERI [AP, $18.54 , $18.54 , $18.54 
75008,0107524,ANTIBODY CHLAMYDIA [AP, $12.87 , $12.87 , $12.87 
75008,0107540,ANTIBODY CHLAMYDIA [AP, $12.87 , $12.87 , $12.87 
75008,0107565,ANTIBODY CHLAMYDIA [AP, $12.87 , $12.87 , $12.87 
75008,0107532,ANTIBODY CHLAMYDIA IGM [AP, $13.82 , $13.82 , $13.82 
75008,0107557,ANTIBODY CHLAMYDIA IGM [AP, $13.82 , $13.82 , $13.82 
75008,0107573,ANTIBODY CHLAMYDIA IGM [AP, $13.82 , $13.82 , $13.82 
75008,0107490,ANTIBODY COCCIDIOIDES [AP, $10.64 , $10.64 , $10.64 
75008,0104414,ANTIBODY CRYPTOCOCCUS [AP, $75.80 , $75.80 , $75.80 
75008,0108977,ANTIBODY CYTOMEGALOVIRUS CMV [AP, $12.97 , $12.97 , $12.97 
75008,0108985,ANTIBODY CYTOMEGALOVIRUS IGM [AP, $15.07 , $15.07 , $15.07 
75008,0106112,ANTIBODY GIARDIA LAMBLIA [AP, $63.00 , $63.00 , $63.00 
75008,0107730,ANTIBODY HERPES SIMPLEX TYPE 1 [AP, $11.86 , $11.86 , $11.86 
75008,0105098,ANTIBODY HERPES SIMPLEX TYPE 2 [AP, $17.27 , $17.27 , $17.27 
75008,0107748,ANTIBODY HERPES SIMPLEX TYPE 2 [AP, $17.27 , $17.27 , $17.27 
75000,0111617,ANTIBODY HIV-1 & HIV-2 1 RESULT, $166.00 , $36.00 , $166.00 
75008,0107714,ANTIBODY LEGIONELLA [AP, $16.66 , $16.66 , $16.66 
75008,0104539,ANTIBODY MUMPS, $83.00 , $83.00 , $83.00 
75008,0105700,ANTIBODY MYCOPLASMA [AP, $14.42 , $14.42 , $14.42 
75008,0105718,ANTIBODY MYCOPLASMA [AP, $14.42 , $14.42 , $14.42 
75008,0107789,ANTIBODY PARVOVIRUS [AP, $16.37 , $16.37 , $16.37 
75008,0107797,ANTIBODY PARVOVIRUS [AP, $16.37 , $16.37 , $16.37 
75000,0111658,ANTIBODY RUBELLA, $95.00 , $95.00 , $95.00 
75000,0118232,ANTIBODY RUBELLA, $95.00 , $95.00 , $95.00 
75008,0107805,ANTIBODY RUBELLA [AP, $12.93 , $12.93 , $12.93 
75000,0111161,ANTIBODY RUBEOLA, $160.00 , $160.00 , $160.00 
75008,0105742,ANTIBODY RUBEOLA [AP, $14.02 , $14.02 , $14.02 
75000,0104067,ANTIBODY SCREEN RBC EACH SERUM TECH, $300.00 , $300.00 , $300.00 
75008,0107839,ANTIBODY TOXOPLASMA [AP, $12.81 , $12.81 , $12.81 
75008,0107847,ANTIBODY TOXOPLASMA IGM [AP, $12.83 , $12.83 , $12.83 
75000,0117457,ANTIBODY TREPONEMA PALLIDUM, $80.00 , $80.00 , $80.00 
75000,0111666,ANTIBODY VARICELLA-ZOSTER, $69.00 , $69.00 , $69.00 
75008,0105346,ANTIBODY WEST NILE VIRUS [AP, $15.66 , $15.66 , $15.66 
75008,0105353,ANTIBODY WEST NILE VIRUS IGM [AP, $18.34 , $18.34 , $18.34 
75008,0100925,ANTINUCLEAR AB ANA TITER [AP, $10.35 , $10.35 , $10.35 
75008,0105494,ANTINUCLEAR ANTIBODIES ANA [AP, $10.88 , $10.88 , $10.88 
75008,0107292,ANTISTREPTOLYSIN O TITER [AP, $6.58 , $6.58 , $6.58 
75008,0109066,ANTITHROMBIN III ANTIGEN ASSAY [AP, $11.77 , $11.77 , $11.77 
77100,9419276,ANTIVENIN CROTALIDAE 10ML INJ," $11,318.00 "," $11,318.00 "," $11,318.00 "
70832,5503578,APAP 650MG/20.3ML SOLN, $4.00 , $4.00 , $4.00 
77100,9422015,APAP-CODEINE 120-12MG/5 ML, $22.00 , $22.00 , $22.00 
77100,9422031,APAP-CODEINE 300-30MG TABLET, $19.00 , $19.00 , $19.00 
77100,9462466,APAP-HYDROCOD 325-10MG/15ML, $59.00 , $59.00 , $59.00 
77100,9422072,APAP-HYDROCODONE 325-10MG TAB, $24.00 , $24.00 , $24.00 
77100,9422080,APAP-HYDROCODONE 325-5MG TAB, $20.00 , $20.00 , $20.00 
77100,9422098,APAP-HYDROCODONE 325-7.5MG TAB, $21.00 , $21.00 , $21.00 
77100,9420357,APAP-OXYCODONE 325-10MG TAB, $29.00 , $29.00 , $29.00 
77100,9422130,APAP-OXYCODONE 325-5 MG TAB, $19.00 , $19.00 , $19.00 
77100,9459934,APIXABAN 2.5MG TABLET, $48.00 , $48.00 , $48.00 
77100,9459546,APIXABAN 5MG TABLET, $46.00 , $46.00 , $46.00 
70805,5404017,APPLICATION SHORT LEG SPLINT, $469.00 , $469.00 , $469.00 
74202,1807858,APPLIER CLIP LAPAROSCOPIC, $302.00 , $302.00 , $302.00 
74202,1819176,APPLIER ENDO CLIP," $1,098.00 "," $1,098.00 "," $1,098.00 "
74202,1807999,APPLIER ENDOSCOPY RES CLIP, $478.00 , $478.00 , $478.00 
74202,1807569,APPLIER LIGACLIP, $189.00 , $189.00 , $189.00 
74202,1809227,APPLIER PROTACK CLIP HERNIA, $655.00 , $655.00 , $655.00 
70805,5400023,APPLY MULTI LAYER COMP LOWER LEG, $523.00 , $523.00 , $523.00 
70805,5400684,APPLY MULTI LAYER COMP LOWER LEG BI, $785.00 , $785.00 , $785.00 
70805,5400304,APPLY RIGID TOTAL CONTACT LEG CAST," $1,334.00 "," $1,334.00 "," $1,334.00 "
77100,9422171,APRACLONIDINE 1% OPH SOL 0.1ML, $120.00 , $120.00 , $120.00 
77100,9419292,ARFORMOTEROL 15 MCG/2ML INHAL, $64.00 , $64.00 , $64.00 
77100,9422254,ARIPIPRAZOLE 5MG TABLET, $171.00 , $171.00 , $171.00 
77100,9422304,AROMATIC AMMONIA INH 0.33ML, $13.00 , $13.00 , $13.00 
77200,2901023,ARTERIAL PUNCTURE WITHDRAW BLOOD, $243.00 , $243.00 , $243.00 
77100,9447293,ARTIFICIAL TEARS 15 ML, $32.00 , $32.00 , $32.00 
77100,9422338,ASCORBIC ACID 500MG TABLET, $11.00 , $11.00 , $11.00 
75008,0106203,ASSAY ADRENOCORT HORMONE [AP, $42.05 , $42.05 , $42.05 
75000,0101675,ASSAY CARBON DIOXIDE BICARBONATE, $150.00 , $150.00 , $150.00 
75000,0101717,ASSAY CHOLESTEROL BLOOD/SERUM TOTAL, $237.00 , $119.00 , $237.00 
75000,0101915,ASSAY GLUTAMYLTRANSFERASE GAMMA, $279.00 , $279.00 , $279.00 
75008,0106575,ASSAY IGA/IGD/IGG/IGM EACH [AP, $6.08 , $6.08 , $6.08 
75008,0108217,ASSAY IGA/IGD/IGG/IGM EACH [AP, $6.08 , $6.08 , $6.08 
75008,0108225,ASSAY IGA/IGD/IGG/IGM EACH [AP, $6.08 , $6.08 , $6.08 
75008,0111294,ASSAY IGA/IGD/IGG/IGM EACH [AP, $6.08 , $6.08 , $6.08 
75008,0111302,ASSAY IGA/IGD/IGG/IGM EACH [AP, $6.08 , $6.08 , $6.08 
75000,0102038,ASSAY LIPOPROTEIN (HDL CHOLESTEROL), $188.00 , $98.00 , $188.00 
75008,0106229,ASSAY OF ALDOLASE [AP, $8.73 , $8.73 , $8.73 
75008,0106237,ASSAY OF ALDOSTERONE [AP, $44.37 , $44.37 , $44.37 
75000,0101568,ASSAY OF AMMONIA," $1,420.00 ", $242.00 ," $1,420.00 "
75000,0101576,ASSAY OF AMYLASE, $393.00 , $393.00 , $393.00 
75000,0101592,ASSAY OF AMYLASE," $1,073.00 ", $182.00 ," $1,073.00 "
75008,0106302,ASSAY OF ARSENIC [AP, $20.66 , $20.66 , $20.66 
75008,0109082,ASSAY OF BETA-2 MICROGLOBULIN [AP, $14.70 , $14.70 , $14.70 
75008,0110254,ASSAY OF BIOTINIDASE EA SPMN [AL, $18.25 , $18.25 , $18.25 
75000,0118315,ASSAY OF CALCIUM IONIZED, $68.00 , $68.00 , $68.00 
75008,0106351,ASSAY OF CALCIUM IONIZED [AP, $12.24 , $12.24 , $12.24 
75000,0101659,ASSAY OF CALCIUM TOTAL, $194.00 , $194.00 , $194.00 
75008,0106864,ASSAY OF CALCIUM TOTAL [AP, $4.10 , $4.10 , $4.10 
75008,0106393,ASSAY OF CERULOPLASMIN [AP, $11.70 , $11.70 , $11.70 
75000,0101691,ASSAY OF CHLORIDE BLOOD, $205.00 , $205.00 , $205.00 
75008,0106419,ASSAY OF COPPER [AP, $13.51 , $13.51 , $13.51 
75000,0118265,ASSAY OF C-PEPTIDE, $84.00 , $84.00 , $84.00 
75008,0107151,ASSAY OF C-PEPTIDE [AP, $18.15 , $18.15 , $18.15 
75008,0106484,ASSAY OF ERYTHROPOIETIN [AP, $20.46 , $20.46 , $20.46 
75000,0118208,ASSAY OF ESTRADIOL, $113.00 , $113.00 , $113.00 
75008,0104836,ASSAY OF ESTRADIOL [AP, $24.88 , $24.88 , $24.88 
75000,0101816,ASSAY OF FERRITIN, $209.00 , $209.00 , $209.00 
75008,0111708,ASSAY OF FOLIC ACID RBC [AP, $11.49 , $11.49 , $11.49 
75000,0101824,ASSAY OF FOLIC ACID SERUM, $210.00 , $210.00 , $210.00 
75008,0106609,ASSAY OF GASTRIN [AP, $19.20 , $19.20 , $19.20 
75008,0103135,ASSAY OF GLYCATED PROTEIN [AP, $16.66 , $16.66 , $16.66 
75008,0106633,ASSAY OF HAPTOGLOBIN QUANT [AP, $10.99 , $10.99 , $10.99 
75000,0118570,ASSAY OF HOMOCYSTINE, $69.00 , $69.00 , $69.00 
75008,0106682,ASSAY OF INSULIN TOTAL [AP, $10.29 , $10.29 , $10.29 
75000,0101964,ASSAY OF IRON, $187.00 , $187.00 , $187.00 
75000,0101493,ASSAY OF LACTATE ACID, $281.00 , $281.00 , $281.00 
77200,2901205,ASSAY OF LACTATE ACID, $281.00 , $281.00 , $281.00 
75008,0106716,ASSAY OF LEAD [AP, $10.75 , $10.75 , $10.75 
75008,0104992,ASSAY OF LEVETIRACETAM [AP, $14.43 , $14.43 , $14.43 
75000,0101246,ASSAY OF LIPASE, $355.00 , $355.00 , $355.00 
75000,0102046,ASSAY OF MAGNESIUM, $241.00 , $241.00 , $241.00 
75008,0106765,ASSAY OF MERCURY QUANTITATIVE [AP, $14.12 , $14.12 , $14.12 
75000,0102087,ASSAY OF MYOGLOBIN, $322.00 , $322.00 , $322.00 
75000,0117903,ASSAY OF OSMOLALITY BLOOD, $265.00 , $265.00 , $265.00 
75000,0117911,ASSAY OF OSMOLALITY URINE, $203.00 , $203.00 , $203.00 
75000,0118299,ASSAY OF PARATHORMONE, $140.00 , $140.00 , $140.00 
75000,0102137,ASSAY OF PHOSPHORUS INORGANIC, $219.00 , $219.00 , $219.00 
75000,0102160,ASSAY OF POTASSIUM URINE, $268.00 , $268.00 , $268.00 
75008,0109058,ASSAY OF PREALBUMIN [AP, $12.47 , $12.47 , $12.47 
75000,0118240,ASSAY OF PROGESTERONE, $84.00 , $84.00 , $84.00 
