Procedure Name,  Price   
OB ER LEVEL I,$290.15 
SURGERY 1 HOUR MAJOR,"$10,000.00 "
SURGERY MAJOR ADD 15 MIN,"$2,500.00 "
SURGERY 1 HOUR MINOR,"$4,020.00 "
SURGERY MINOR ADD 15 MIN,$67.00 
LASER O/S SVC PER MIN,$925.00 
RECOVERY ADD 15 MIN,"$1,250.00 "
RECOVERY RM 1 HOUR,"$5,000.00 "
SURGERY/OH/NEURO/VASC 1ST HOUR,"$21,000.00 "
SURGERY/OH/NEUR/VSC ADD 15 MIN,"$5,250.00 "
HRT/LUNG PERFUSN 1ST HR,$410.00 
HRT/LUNG PERFUSN ADD MIN,$7.00 
ANESTHESIA 1 HOUR,"$3,000.00 "
ANESTHESIA - EA ADDL 15 MIN,$750.00 
ELECTROLYTE PANEL,$495.00 
VANCOMYCIN,$275.00 
DRUG TEST DEF 1-7 CLASSES (O),$572.15 
DRUG TEST DEF 8-14 CLASSES (O),$782.95 
DRUG TEST DEF 22+ CLASSES (O),"$1,234.75 "
LIPID PANEL,$130.00 
RENAL FUNCTION PANEL,$557.00 
HEPATIC FUNCTION PANEL,$137.00 
COMP METABOLIC PANEL,$273.00 
URINE DRUG SCRN,$99.75 
BASIC METABOLIC PANEL,$137.00 
UA AUTO W/MICRO,$170.00 
URINE SP GR AUTO,$17.00 
URINE W/O MICRO AUTO,$58.00 
URINE PREG TEST QUAL,$37.90 
ACETAMNOPHN  QUANT,$139.10 
KETONES SERUM QUANT,$203.00 
SALICYLATE,$243.75 
ALBUMIN SERUM,$161.00 
DRUG TEST DEF 15-21 CLASSES,$993.70 
AMIKACIN,$549.00 
THEOPHYLLINE,$394.00 
AMMONIA,$396.00 
AMYLASE,$244.00 
BILIRUBIN TOTAL,$116.00 
BILIRUBIN DIRECT,$116.00 
OCCULT BLD STL 1-3,$22.40 
OCCULT BLD OTHR SOURCE,$66.00 
CALCIUM,$225.00 
CALCIUM IONIZED,$208.00 
CALCIUM URINE QUAN,$62.00 
CARBAMAZAPINE,$100.10 
CHLORIDE URINE,$170.00 
CHLORIDE OTHER SOURCE,$141.00 
CHLORIDE,$170.00 
CHOLESTEROL TOTAL,$170.00 
LDL CHOLESTOROL,$598.00 
CHOLESTEROL HDL,$233.00 
CORTISOL TOTAL,$473.00 
CREATINE KINASE TOTAL,$308.00 
CK MB FRACTION,$244.00 
CREATININE BLOOD,$208.00 
CREATININE URINE,$155.00 
CREATININE CLEARANCE,$346.00 
CYANOCOBLMN(VIT B12),$473.00 
DIGOXIN,$365.00 
PHENYTOIN TOTAL,$394.00 
FERRITIN,$486.00 
FOLIC ACID,$473.00 
GLUCOSE BODY FLUID,$161.00 
GLUCOSE QUANT,$332.00 
GLUCOSE POST DOSE,$190.00 
GLUCOSE TOLERANCE 3SPEC,$412.00 
GLUCOSE QUANT URINE,$161.00 
GLUCOSE CSF,$190.00 
GLUCOSE (POC),$108.00 
GGT,$308.00 
HEMOGLOBIN GLYCATED,$233.00 
GENTAMYCIN,$549.00 
FUNG DEFINIT ID YEAST,$92.00 
HAPTOGLOBIN,$337.00 
GONADTOPN CHRONC(HCG)QL,$51.65 
GONADTOPN CHORNC(HCG)QNT,$549.00 
"HIV-1 AND HIV-2, SINGLE ASSAY",$183.00 
SICKLING OF RBC,$278.00 
GROUP A RAPID STREP,$106.00 
B-TYP NATRIURETC PEPTIDE,$125.00 
THYROXINE FREE,$442.00 
TRIIODTHYRNIN TOTAL T3,$120.00 
IRON,$201.00 
IRON BINDING CAPCTY,$396.00 
LACTATE(LACTIC ACID),$332.00 
LDH-LACTIC DEHYDROGENASE,$244.00 
LIPASE,$254.00 
MAGNESIUM,$190.00 
MAGNESIUM URINE,$170.00 
OSMOLALITY BLOOD,$170.00 
OSMOLALITY URINE,$190.00 
PHENOBARBITAL,$394.00 
PHOSPHATASE ALKALINE,$360.00 
PHOSPHORUS,$161.00 
PHOSPHORUS URINE 24 HR,$161.00 
POTASSIUM SERUM,$170.00 
POTASSIUM URINE,$170.00 
POTASSIUM 24HR URINE,$170.00 
PROTEIN OTHER SOURCES,$161.00 
PROTEIN TOTAL,$161.00 
PROTEIN URINE RANDOM,$85.00 
PRE-ALBUMIN,$281.00 
PROTEIN URINE QUAN 24 HR,$190.00 
PROTEIN SPINAL FLUID,$141.00 
C-REATIVE PROTEIN,$37.80 
C-REACTIVE PROTEIN HIGH SENS,$94.55 
PROTHROMBIN TIME SUBST,$285.00 
SODIUM BLOOD,$170.00 
SODIUM URINE,$170.00 
SP-GR EXCEPT URINE,$116.00 
TSH,$473.00 
TRANSTERASE AST(SGOT),$244.00 
TRANSAMINASE-SGPT (ALT),$244.00 
TOBRAMYCIN,$549.00 
TRIGLYCERIDES,$225.00 
BLD UREA NITROGEN QUAN,$190.00 
UREA NITROGEN URINE,$293.00 
UREA NITROGEN 24HR URINE,$293.00 
URIC ACID BLOOD,$190.00 
URIC ACID URINE,$190.00 
VALPROIC ACID,$275.00 
HEMATOCRIT AUTOMATED,$116.00 
BLOOD HEMOGLBN,$116.00 
BLOOD SMEAR MANUAL DIFF,$23.45 
CBC WITH NO DIFF,$44.15 
CBC WITH AUTO DIFF,$53.05 
RETICULOCYTE COUNT MAN,$170.00 
STOOL FOR WBC S,$124.00 
COAGULATION TIME ACTIVATED,$29.25 
D-DIMER FDP,$154.00 
FIBRINOGEN ACTIVITY,$169.00 
PLATELET COUNT (AUTO),$225.00 
PROTHROMBIN TIME,$207.00 
SEDIMENTN RATE-NON-AUTO,$124.00 
PTT,$244.00 
PTT SUB EA FRACTION,$285.00 
HETEROPHILE AB SCREEN,$225.00 
RBC ANTIBODIES SCREEN,$225.00 
ANTIBDY IDENT RBC EA PNL,$412.00 
HELICOBACT PYLORI AB QL,$109.00 
BLD TYPE ABO ONLY,$116.00 
RHO(DU),$116.00 
CARCINO-EMBRYONIC AG,$134.35 
COMP TST EA UT SPIN TECH,$346.00 
HBS ANTIGEN,$332.00 
HEPATITIS B SURF AB,$76.05 
HEPATITIS C ANTIBODY,$101.10 
PSA TOTAL,$278.00 
RSV ANTIGEN BY EIA,$185.00 
RHEUMATOID FACTOR QUAL,$141.00 
VDRL/RPR QUAL,$74.00 
VDRL/RPR QUAN,$219.00 
TRANSFUSN REACTION STUDY,$376.00 
CULTURE BACTERIAL SCREEN,$243.00 
CULT BLOOD AERO/ANAERO,$396.00 
CULTURE STOOL,$346.00 
SHIGA 1 IMMUNOASSAY,$52.00 
SHIGA 2 IMMUMOASSAY,$52.00 
CONCENTR INFECT ORGANISM,$37.00 
"CULTURE,FLUID EX CSF",$346.00 
"CULTURE,ANAEROBIC,ISOL",$278.00 
"CULTURE,URINE,COLONY CT",$299.00 
ANAEROB DEFINITIVE ID,$92.00 
"CULTURE,WOUND/ABCESS",$346.00 
GC CULTURE,$281.00 
"SENSITVTY,MIC",$281.00 
"SMEAR,MALARIA",$186.00 
GRAM STAIN,$124.00 
WET MOUNT W/SMPL STAIN,$105.00 
INDIA INK PREP,$116.00 
TROPONIN - I,$324.00 
CSF CULTURE,$281.00 
CATHETER TIP CULTURE,$281.00 
EAR CULTURE,$281.00 
EYE CULTURE,$281.00 
GENITAL CULTURE,$281.00 
SPUTUM CULTURE,$281.00 
THROAT CULTURE,$243.00 
INFLUENZA A AG,$63.15 
INFLUENZA B AG,$63.15 
DRUG TEST PRSMV CHEM ANLYZR(O),$359.15 
AEROB BACT DEFINITIVE ID,$92.00 
C. DIFFICLE PCR,$246.95 
"CELL COUNT,MISC BODY FLD",$186.00 
"CRYST ID,BODY FLD,EX URN",$85.00 
"COOMBS,DIRECT",$154.00 
COOMBS INDIRCT TITER,$48.00 
FETAL FIBRONECTIN,$250.00 
HPT HEPARIN ASSAY,$90.00 
BLOOD PRODUCT IRRADIATED,$58.00 
VENIPUNCTURE OUTPT,$40.00 
VENIPUCTURE,$40.00 
PERIPH BLD SMR W/REPORT,$113.00 
"BONE MARROW,ASPIR ONLY","$4,044.09 "
"BONE MARROW SMEAR,INTRP",$318.13 
"BONE M,BIOPSY NDL TROCAR","$4,044.09 "
CYTOPATH WASH/BRUSH/SM,$82.00 
CYTOPATH SMEARS/CYTOSPIN,$82.00 
FNA: QUICK STAIN,$123.00 
FNA: INTRP/REPRT,$123.00 
GROSS EXAM ONLY,$50.00 
GROSS & MICRO: LVL II,$98.00 
GROSS & MICRO COMPREHNSV,$393.00 
DECALCIFICATION,$136.78 
SPEC STAINS GROUP I,$54.00 
SPEC STAINS GROUP II,$29.00 
CONSULT SURGERY,$77.00 
CONSULT/FROZEN SEC,$117.00 
CONSULT/FROZEN ADD,$59.00 
GROSS & MICRO EXAM III,$129.00 
LVL IV SURG PATH GROSS,$191.00 
GROSS & MICRO EXAM V,$261.00 
Blood Processing/Storage,$747.00 
BLOOD RC LEUKOCYTE POOR,$551.31 
BLD PLATELETPHERESIS,"$1,263.60 "
BLOOD CRYOPRECIPITATE,$132.03 
FR FROZEN PLASMA,$217.23 
ELECTROLYTES,$50.25 
HEPATITIS ACUTE PANEL,$19.04 
"METHOTREXATE (MTX), SERUM LC",$17.71 
"ETHANOL, URINE LC",$21.28 
"CALCULI,URINARY, WITH PHOTO LC",$13.14 
CHOLINESTERASE,$7.25 
CYANIDE EXPOSURE,$36.51 
CYSTATIN C LC,$153.50 
"FECAL FAT, QUALITATIVE LC",$8.32 
"5-HIAA,QUANT.,24 HR URINE LC",$8.33 
17-OH PROGESTERONE LCMS LC,$18.40 
THYROID CASCADE PROFILE,$5.53 
VON WILLEBRAND FACT(VWF) AG LC,$65.71 
HR - ACT,$29.25 
PLATELET FUNCTION COLLAGEN EPI,$151.15 
PLATELET FUNTION COLLAGEN ADP,$151.15 
ANA Ab DIRECT,$4.16 
Anticardiolipin Ab IGG,$10.82 
Anticardiolipin Ab IGM,$10.82 
Anticardiolipin Ab IGA,$10.82 
HISTONE ABS,$16.72 
"HISTOPLASMA ABS, QN, DID LC",$14.15 
HEPATITIS B CORE IGM ANTIBODY,$83.35 
HEP BE AB LC,$6.65 
HEPATITIS A IGM ANTIBODY,$79.75 
MYCOPLASMA PNEUMONIAE CULTURE,$3.66 
HEP BE AG LC,$5.83 
CAMPYLOBACTER AG,$63.15 
"CHLAMYDIA TRACHOMATIS, NAA LC",$17.00 
INFLUENZA A/B RT PCR,$225.00 
HCV PCR QUAL,$340.25 
PERICARDIOCENTESIS INTL,"$2,948.91 "
INS NEW/REPL PPM-ATRIAL,"$29,243.97 "
INS NEW/REPL PPM-VENTRICLE,"$29,243.97 "
INS NEW/REPL PPM A/V,"$29,243.97 "
INS/REPL ELECT CARDAC SGL,"$22,112.97 "
INS PPM GEN ONLY TO DUAL LEADS,"$29,243.97 "
REPOSITION PACEMKR RT SIDE,"$7,478.22 "
INS ELECT TRANVENOUS SGL CHMB,"$22,112.97 "
INS ELECT TRANVENOUS DUAL CHMB,"$22,112.97 "
RELOCATE SKIN PCKT FOR PPM,"$4,705.29 "
INS LV LEAD TO EXIST PPM/ICD,"$29,243.97 "
INS LV LEAD AT INS PPM/ICD,"$14,353.02 "
REPOSITION LV LEAD,"$7,478.22 "
REM W/REPL PPM SGL LEAD,"$36,844.50 "
REM W/REPL PPM DUAL LEADS,"$40,410.70 "
REM W/REPL PPM MULTI LEADS,"$52,756.62 "
REM PPM GEN ONLY,"$22,112.97 "
REM LEAD TRANSVENOUS SGL,"$8,603.85 "
REM LEAD TRANSVENOUS DUAL,"$8,603.85 "
REM ICD GEN ONLY,"$8,603.85 "
INS/REPL ICD W/LEADS SGL/DUAL,"$92,886.39 "
REM W/REPL ICD GEN-MULTI LEADS,"$133,573.55 "
REM RECORDS CARDIAC EVENT,"$1,718.55 "
INS BALLN INTRA-AORTIC PERC,"$12,117.55 "
VAD INSERT PERC W/S&I ARTERIAL,"$19,144.00 "
EXPOSE ARTERY FEM OPEN UNI,"$1,888.15 "
PLCMNT PROX/DIST EXT PROS INIT,"$4,018.05 "
INTRO NDL /CATH ART CAR/VER,"$1,438.00 "
INTRO NDL/CATH AV SHUNT 1ST AC,"$2,146.51 "
INTRO CATH AORTA,"$1,622.24 "
PLACE CATH THOR/BRAC 1ST ORDER,"$1,261.33 "
PLACE CATH THOR/BRAC 3RD ORDER,"$1,839.88 "
CATH PLC C-CAR EXTC UNI w/S&I,"$10,095.04 "
CATH PLC C-CAR INTC UNI w/S&I,"$12,794.88 "
CATH PLC INT-CAROTID UNI w/S&I,"$12,794.88 "
CATH PLC EXT-CAROTID UNI w/S&I,"$2,500.00 "
CATH PLC I-CARO/VERT UNI w/S&I,"$2,500.00 "
PLACE CATH ABD/PEL 1ST ORDER,"$1,420.30 "
PLACE CATH ABD/PEL 2ND ORDER,"$1,723.93 "
PLACE CATH ABD/PEL 3RD ORDER,"$2,027.55 "
PF CATHETER PLACE ABD/PEL EA,"$2,027.55 "
RENAL ANGIO W/S&I-1ST ORD UNI,"$11,622.05 "
RENAL ANGIO W/S&I-1ST ORD BIL,"$11,622.05 "
CATH/CANN ARTERY PERC,"$5,500.00 "
PRIM PERC THROMB INITIAL VESS,"$15,255.00 "
THROMBECT VEN MECH,"$15,255.00 "
INSERTION IVC FILTER W/S&I,"$17,294.55 "
THROMBOLYSIS VEN w/S&I,"$7,478.22 "
PL STENT TRNSCATH CAROT ART W/,"$6,124.30 "
PTA ILIAC ARTERY,"$20,964.90 "
PTA & STNT ILIAC INIT VESS,"$31,531.38 "
PTA & STNT ILIAC ADDL VESS,"$44,975.10 "
PTA FEMORAL POPLITEAL ARTERY,"$20,964.90 "
ATHERECTOMY FEM/POP PERC,"$44,975.10 "
PTA & STNT FEMORAL POPLITEAL,"$44,975.10 "
PTA STNT ATHERCTOMY FEM POP,"$77,891.30 "
PTA TIBIO TRUNK OR BRANC EA VE,"$31,531.38 "
PTA & ATHEREC TIBIAL/PERONEAL,"$48,061.17 "
PTA & STNT TIBIAL/PERONEAL,"$48,061.17 "
ATHERECT TIBIOPERONEAL PERC,"$77,891.15 "
ADDL VES PTA TIBIAL/PERONEAL,"$21,184.90 "
ADDL VES STNT TIBIAL/PERONEAL,"$21,184.90 "
EMBOLIZATION VEN W/S&I,"$31,531.38 "
IVUS W/S&I NONCORONARY INIT,"$3,500.00 "
"XR VENOGRAM, EXTREMITY;UNILAT","$2,628.70 "
XR VENOGRAM EXTREMITY BIL,"$3,849.45 "
S&I EXT PROST DIST DELAYD AFTE,"$2,904.00 "
CINE/VIDEO RADIOGRAPHY,$525.78 
CORONARY ARTERY ANGIO S&I,"$15,281.80 "
CORONARY ARTERY/GRAFT ANGIO,"$15,281.80 "
RT HRT CORONARY ARTERY ANGIO,"$15,281.80 "
LT HRT ART/VENTRICLE ANGIO,"$15,281.80 "
LT HRT ARTERY/GRAFT ANGIO,"$15,281.80 "
RT<HRT ART/VENTRICLE ANGIO,"$15,281.80 "
INJ SUPRAVALVULAR AORTOGRAPHY,$263.35 
PTCA;INIT,"$21,187.90 "
PTCA; ADD'L,"$21,187.90 "
ATHEREC W/PTCA INIT,"$31,531.38 "
STENT w/PTCA INIT,"$31,531.38 "
STENT w/PTCA ADD'L,"$12,465.51 "
ATHEREC w/STENT  w/PTCA INIT,"$48,061.17 "
PCI THROUGH BYPASS GRAFT INIT,"$31,531.38 "
PCI ACUTE T-OCCLUSION INIT,"$27,788.32 "
PCI CHRONIC T-OCCLUSION INIT,"$31,531.38 "
CARDIOVERSION ELECTV EXTERNAL,"$1,801.95 "
PTC TRANSLUM CORONARY THROMB,"$5,407.00 "
US INTRAVASCULAR INTL VESSEL,"$9,422.15 "
ECHO 2D W/SPEC/COLOR COMP L,"$2,354.85 "
ECHO TEE CMPL W/PF,"$1,945.35 "
INTRAVASC DOPP COLOR FLOW 1ST,"$3,340.20 "
DOPP DLW/PR MSMNT ADDL,"$3,304.49 "
BUNDLE OF HIS RECORDING,"$15,942.96 "
INTRCRD EP 3DMAP,"$6,367.78 "
EP COMPREHENSIVE W/ARRYTHMIA,"$26,571.60 "
EP COMPREHENSIVE W/LT ATRIUM,"$7,100.50 "
COMP EP EVAL/LV RECORD,"$8,567.46 "
EP IV DRUG INFUSION PACING,"$5,999.43 "
EP FOLLOWUP,"$15,942.96 "
"EP EVAL CARDDEFIB, INIT","$2,644.91 "
EP EVAL CARDIO/DEFIB GENERATOR,"$3,149.20 "
ABLATION ATRIOVENTRICULAR FNCT,"$15,942.96 "
EPS/ABLATION  TRANSSEPTAL,"$55,548.39 "
EP INTRACARDIAC ECHO INTERVENT,"$4,721.00 "
CATH RIGHT HEART,"$15,281.80 "
ARC CALL IN FEE HOURLY RATE,$80.00 
SEROTONIN RELEASE ASSAY,$314.85 
PL-7 ANTIBODIES,$26.16 
LACOSAMIDE,$186.75 
AFP WITH AFP-L3%,$162.38 
HEPATITIS C VIRUS (HCV)FIBROSU,$138.34 
IBUPROFEN LEVEL,$76.25 
URINE FREE CORTISOL,$11.39 
CREATININE; OTHER SOURCE,$4.00 
DEHYDROEPIANDROSTERONE,$9.38 
17-ALPHA-HYDROXYPROGESTERONE,$86.50 
ANTIRIBOSOMAL P ABS,$35.00 
INSULIN LIKE GROWTH FACTOR II,$75.75 
HYALURONIC ACID,$157.50 
ANTIMULLERIAN HORMONE,$77.00 
OVARIAN CANCER MONITOR,$372.25 
LDH,$4.25 
LDH; ISOENZYMES,$4.25 
OSTEOCAL CIN SERUM,$21.90 
PROCALCITONIN,$182.25 
VITAMIN B2 WB,$31.36 
THYROGLOBULIN COMPREHENSIVE,$169.00 
ZINC WHOLE BLOOD,$90.50 
ALLERGENS REGION 13,$663.25 
LUPUS PANEL,$64.20 
SJOGRENS ABS SSA & SSB,$15.46 
CANCER ANTIGEN - G1 FLUID,$27.00 
RESPIRATORY INFECTION PROFLE A,$52.54 
ASPERGILLUS NIGER AB lgG,$72.25 
H PYLORI ABS IGG IGM IGA,$28.30 
STRONGYLOIDES IGG,$34.10 
THYROGLOBULIN QNT PROFILE,$8.11 
ARC ANTIBODY SCRN EA TECH,$23.50 
ARC ELUTION PREPARATION,$58.00 
ARC ANTIBODY ID 6-8 SELECT CEL,$29.00 
ARC DAT DE ANTISERA,$9.00 
ARC ABO TYPE,$17.25 
ARC RH TYPE,$8.50 
"RBC AG, OTHER THAN ABO OR D,EA",$14.00 
ARC RH PHENOTYPE COMPLETE,$23.50 
ARC PRE-RX W/CHEM/DRUG,$29.00 
ARC ENZYME PRETREATMENT,$17.25 
 HIV 4G SCREEN LC,$6.95 
CYTOMEGALOVIRUS (CMV) QUANT,$126.10 
B PARAPERTUSSIS DNA PCR,$52.09 
B PERTUSSIS RT DNA PCR,$52.09 
STREPTOCOCCUS B,$7.65 
HAEMOPHILUS INFLUENZA B AG,$7.66 
NEISSERIA MENINGITIDIS AG,$7.66 
STREPTO PNEUMONIAE AG,$7.66 
STREPTOCOCCUS PNEUMONIAE ANTIG,$31.04 
PRGRMG EVAL IMPLANTABLE DFB,$382.78 
EKG TRACE ONLY,$373.40 
CARDIO STRESS TRACE ONLY,$753.00 
CARD ST W/MEDS,"$1,334.00 "
ECHOCARDIOGRAM M MODE+2D,"$1,460.07 "
EKG MNTR 24HRS,$700.00 
EKG MNTR SCAN W REPORT,"$1,308.00 "
ECHOCARDIOGRAM/MMODE/LTD,$696.93 
TEE CONGTL CARD ANOMALIE,"$1,460.07 "
DOPPLER ECHO PULSE/CONT,"$1,278.00 "
CARDIAC DOPPLER FU/LTD,$768.00 
DOPPLER ECHO COLOR FLW,$775.60 
ECHOCARDIOGRAM EX STRESS,"$2,326.80 "
TRANSESOPHAGEAL ECHO,"$2,659.20 "
ECHO TRANSTHOR COMP,"$1,460.07 "
ECHO TRANSTHOR LTD,"$1,460.07 "
INDICATOR DILUTION STUDY,$134.00 
ART STUDY SNGL LVL UE/LE,$954.00 
PERQ VERT THOR AUG W/IMG GUID,"$20,364.00 "
GUIDE CATH FLUID DRAIN,"$5,078.50 "
SIM REPAIR OF SUPERFICIAL WOOD,$506.85 
TEM NON TUNEL DYS CATH REM L V,"$2,150.22 "
INSERT TUNNELED CV CATH W/PORT,"$13,114.90 "
PICC LINE REMOVAL LEFT VS RIGH,"$2,150.22 "
PORT SUBCUTAN CATH REMOV L V R,"$2,150.22 "
TUNNEL DSYS CATH REMOV LT V RT,"$2,150.22 "
INTRO CATH DIALYSIS CIRCUIT,"$4,312.55 "
INTRO CATH DIALYSIS CIRCUIT,"$25,425.00 "
INTRO CATH DIALYSIS CIRCUIT,"$45,921.50 "
THRMBC/NFS DIALYSIS CIRCUIT,"$25,425.00 "
THRMBC/NFS DIALYSIS CIRCUIT,"$52,552.30 "
THRMBC/NFS DIALYSIS CIRCUIT,"$48,061.17 "
BALO ANGIOP CTR DIALYSIS SEG,"$22,696.10 "
TRLUML BALO ANGIOP 1ST VEIN,"$25,425.00 "
INJECT CHOLANGIOGRAM EXISTING,"$8,733.48 "
INJECT CHOLANGIOGRAM NEW ACCES,"$12,852.80 "
PLMT BIILARY DRAINAGE CATH EXT,"$12,852.80 "
PLMT BIILARY DRAINAGE CATH INT,"$12,852.80 "
EXCHANGE BIL DRG CATH,"$12,852.80 "
REMOVAL BIL DRG CATH,"$2,850.45 "
INJ NEPHROS A/O URTER EXISTING,"$3,096.30 "
PLMT NEPHRO CATH INC NEPH URET,"$8,893.30 "
EXCHAN NEPHRO CATH INC NEP A/,"$5,087.04 "
PLMT URETERAL STENT PRE EXISTI,"$13,244.65 "
VENOUS DUPLX IMAGE EXTR,"$1,249.80 "
CAROTID DOPPLER BILAT,"$1,679.70 "
CAROTID DOPPLER UNILAT,$831.00 
SPINAL FLUID TAP DIAGNOSTIC,"$2,186.10 "
ART EXT DOPPLER,$836.50 
EXTREMITY VEINS LTD/FU,$550.00 
"HIP, UNI 1 VIEW",$502.23 
"HIP,UNI  2-3 VIEWS",$502.53 
"HIP, UNI MIN 4 VWS",$832.23 
"HIP, BI, 2VWS W/PELVIS",$832.23 
"HIP, BI, 3-4 VWS W/PELVIS",$832.23 
"HIP, BI, MIN 5 VWS W/PELVIS","$1,586.62 "
FEMUR 1 VIEW,$502.53 
FEMUR MIN 2 VWS,$502.53 
PICC LINE INSERTION-LT VS. RT,"$4,200.70 "
PORT-SUB CATH INSERTION LT V R,"$2,150.22 "
NON TUN CEN INSERTION LT VS RT,"$4,200.70 "
TUNNEL DSYS CATH LT V RT,$752.33 
TEMP NON TUN DSYS CATH LT V RT,$752.33 
TUNNEL DSYS CATH EXCHGE LT V R,$752.33 
XR BONE DENSITY AXIAL,$559.37 
MOD SED SAME PHYS >5YR 1ST 15M,$511.00 
MOD SED SAME PHYS EA ADD'L 15M,$511.00 
THYROID UPTAKE SING/MULTI W/IM,"$1,059.32 "
GASTRIC EMPTYING,"$2,749.39 "
FINE NEEDLE ASPIRATION,"$1,718.55 "
US DRAIN/ASP/INJ JOINT MAJOR,"$1,238.65 "
NEEDLE BIOPSY OF LYMPH NODES,"$5,561.05 "
EACH ADD GEST<14WKS,"$3,717.00 "
EXCHGE OF PRE PLACED DRAIN CAT,"$4,282.17 "
CTA ABD/PEL W/WO CONTRAST,"$4,541.32 "
CT HEART W/CONTRAST,"$1,874.00 "
CBT EACH ADDL HOUR,$258.46 
LUNG VOL DETER BY NITROGEN W/O,$408.96 
"OT EVAL MOD COMPLEXITY, 45 MIN",$215.00 
OT EVAL HIGH COMPLEXITY 60 MIN,$215.00 
"OT RE-EVAL, 30 MIN",$107.50 
"PT EVAL LOW COMPLEXITY, 20 MIN",$288.10 
"PT EVAL MOD COMPLEXITY, 30 MIN",$288.10 
"PT EVAL HIGH COMPLEXITY, 45 MI",$288.10 
"PT RE-EVAL, 20 MIN",$114.10 
"OT EVAL LOW COMPLEXITY, 30 MIN",$215.00 
EEG/SLEEP,"$1,286.00 "
EEG AWAKE/DROWSY,$805.00 
EEG  AWAKE/SLEEP,$835.00 
EEG CEREBRAL DEATH EVAL,"$1,333.17 "
"MANDIBLE,LTD/3VW MAX",$474.00 
MCNDIBLE 4VW MIN,$935.00 
"FACIAL BONES,2VW MAX",$892.00 
"FACIAL BONES,3VW MIN","$1,019.00 "
ORBITS 4VW MIN,$468.00 
"NASAL BONES, 3VW MIN",$714.00 
"SINUSES,2VW MAX",$439.00 
"SINUSES,3VW MIN",$828.00 
SKULL < 4 VIEWS,$696.00 
"SKULL,4VW MIN","$1,217.00 "
NECK FOR SOFT TISSUES,$572.00 
"CHEST,SINGLE VIEW",$451.00 
"CHEST,TWO VIEWS",$656.00 
CHEST W/LORDOTIC,$787.00 
CHEST OBLIQUE 2 VWS,$787.00 
CHEST DECUBITUS VIEWS,$656.00 
XR RIBS 2V UNI,$347.76 
UNI RIBS WITH PA CHEST,$742.00 
XR RIBS 3V BILAT,$347.76 
BIL RIBS WITH PA CHEST,$802.00 
STERNUM 2VW MIN,$656.00 
STERNCLAVR JNTS 3VW MIN,$714.00 
"SPINE,ENTIRE(AP/LAT)","$1,111.00 "
"SPINE, CERVICAL 3VW",$575.00 
"SPINE,CERVICAL 4VW MIN","$1,117.00 "
"SPINE,CERV,FLEX&EXTEN",$949.00 
SPINE THORACIC 2VWS,$343.38 
"SPINE, 3 VIEW T",$742.00 
"SPINE,THORACO-LUMBAR JCT",$656.00 
