Procedure Description,CPT(R)/HCPCS Code, Unit Price 
HC INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMPL (PRO FEE),10121," 1,348.00 "
HC I&D HEMATOMA SEROMA/FLUID COLLECTION,10140," 1,917.00 "
HC PUNCTURE ASPIRATION ABSCESS HEMATOMA BULLA/CYST,10160, 623.00 
HC PUNCTURE ASPIRATION ABSCESS HEMATOMA BULLA/CYST (PRO FEE),10160, 337.00 
HC INCISION & DRAINAGE COMPLEX PO WOUND INFECTION,10180," 2,604.00 "
HC DBRDMT EXTENSV ECZEMA/INFECT SKN UP 10% BDY SURF,11000, 488.00 
HC DBRDMT EXTNSVE ECZEMA/INFECT SKN EA 10% BDY SURF,11001, 174.00 
HC DEBRIDEMENT SUBCUTANEOUS TISSUE 20 SQ CM/<,11042, 637.00 
HC DEBRIDEMENT MUSCLE & FASCIA 20 SQ CM/<,11043, 488.00 
HC DEBRIDEMENT BONE MUSCLE &/FASCIA 20 SQ CM/<,11044," 1,940.00 "
HC PARING/CUTTING BENIGN HYPERKERATOTIC LESION 1,11055, 169.00 
HC PARING/CUTTING BENIGN HYPERKERATOTIC LESION 2-4,11056, 171.00 
HC PARING/CUTTING BENIGN HYPERKERATOTIC LESION >4,11057, 245.00 
HC BX SKIN SUBCUTANEOUS&/MUCOUS MEMBRANE 1 LESION,11100, 311.00 
HC BIOPSY SKIN SUBQ&/MUCOUS MEMBRANE EA ADDL LESN,11101, 174.00 
HC TANGENTIAL BIOPSY OF SKIN; SINGLE LESION,11102, 441.13 
HC TANGENTIAL BIOPSY OF SKIN; SINGLE LESION,11102, 441.13 
HC TANGENTIAL BIOPSY OF SKIN; EACH SEP/ADDL LESION,11103, 441.13 
HC PUNCH BIOPSY OF SKIN;SINGLE LESION,11104, 441.13 
HC PUNCH BIOPSY OF SKIN;SINGLE LESION,11104, 441.13 
HC PUNCH BIOPSY OF SKIN EACH SEPARATE/ADDITIONAL LESION,11105, 441.13 
HC INCISIONAL BIOPSY OF SKIN;SINGLE LESION,11106, 785.20 
HC INCISIONAL BIOPSY OF SKIN; SINGLE LESION,11106, 785.20 
HC INCISIONAL BIOPSY OF SKIN;EACH SEPARATE/ADDITIONAL LESION,11107, 785.20 
HC REMOVAL SKN TAGS MLT FIBRQ TAGS ANY AREA UPW/15,11200, 174.00 
HC REMOVAL SK TGS MLT FIBRQ TAGS ANY AREA EA 10,11201, 174.00 
HC SHAVING SKIN LESION 1 TRUNK/ARM/LEG DIAM 0.5CM/<,11300, 169.00 
HC SHVG SKIN LESION 1 TRUNK/ARM/LEG DIAM 0.6-1.0 CM,11301, 190.00 
HC SHVG SKN LESION 1 TRUNK/ARM/LEG DIAM 1.1-2.0 CM,11302, 226.00 
HC SHVG SKIN LESION 1 TRUNK/ARM/LEG DIAM >2.0 CM,11303, 311.00 
HC SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.5 CM/<,11305, 169.00 
HC SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.6-1.0 CM,11306, 174.00 
HC SHAVING SKIN LESION 1 S/N/H/F/G DIAM 1.1-2.0 CM,11307, 170.00 
HC SHAVING SKIN LESION 1 S/N/H/F/G DIAM >2.0 CM,11308, 311.00 
HC SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM 0.5 CM/<,11310, 174.00 
HC SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 0.6-1.0 CM,11311, 170.00 
HC SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 1.1-2.0 CM,11312, 311.00 
HC SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM >2.0 CM,11313, 311.00 
HC EXC B9 LESION MRGN XCP SK TG T/A/L 0.5 CM/<,11400, 573.00 
HC EXC B9 LESION MRGN XCP SK TG T/A/L 0.6-1.0 CM,11401, 578.00 
HC EXC B9 LESION MRGN XCP SK TG T/A/L 1.1-2.0 CM,11402, 601.00 
HC EXC B9 LESION MRGN XCP SK TG T/A/L 2.1-3.0 CM,11403," 1,112.00 "
HC EXC B9 LESION MRGN XCP SK TG T/A/L 3.1-4.0 CM,11404," 2,480.00 "
HC EXC B9 LESION MRGN XCP SK TG T/A/L >4.0 CM,11406," 3,093.00 "
HC EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 0.5 CM/<,11420," 1,348.00 "
HC EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 0.6-1.0CM,11421," 1,225.00 "
HC EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 0.6-1.0CM (PRO FEE),11421," 1,309.00 "
HC EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 1.1-2.0CM,11422," 1,464.00 "
HC EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 2.1-3.0CM,11423," 2,170.00 "
HC EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 3.1-4.0CM,11424," 2,629.00 "
HC EXC B9 LESION MRGN XCP SK TG S/N/H/F/G > 4.0CM,11426," 3,488.00 "
HC EXC B9 LESION MRGN XCP SK TG F/E/E/N/L/M 0.5CM/<,11440, 749.00 
HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 0.6-1.0CM,11441, 905.00 
HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 1.1-2.0CM,11442," 1,464.00 "
HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 2.1-3.0CM,11443," 1,692.00 "
HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 3.1-4.0CM,11444," 2,041.00 "
HC EXC B9 LESION MRGN XCP SK TG F/E/E/N/L/M > 4.0CM,11446," 3,291.00 "
HC EXCISION MAL LESION TRUNK/ARM/LEG 0.5 CM/<,11600," 1,064.00 "
HC EXCISION MAL LESION TRUNK/ARM/LEG 0.6-1.0 CM,11601, 576.00 
HC EXCISION MAL LESION TRUNK/ARM/LEG 1.1-2.0 CM,11602, 588.00 
HC EXCISION MAL LESION TRUNK/ARM/LEG 2.1-3.0 CM,11603," 1,064.00 "
HC EXCISION MAL LESION TRUNK/ARM/LEG 3.1-4.0 CM,11604," 1,243.00 "
HC EXCISION MALIGNANT LESION TRUNK/ARM/LEG > 4.0 CM,11606," 3,100.00 "
HC EXCISION MALIGNANT LESION S/N/H/F/G 0.5 CM/<,11620," 1,348.00 "
HC EXCISION MALIGNANT LESION S/N/H/F/G 0.6-1.0 CM,11621," 1,149.00 "
HC EXCISION MALIGNANT LESION S/N/H/F/G 1.1-2.0 CM,11622," 1,244.00 "
HC EXCISION MALIGNANT LESION S/N/H/F/G 2.1-3.0 CM,11623," 2,480.00 "
HC EXCISION MALIGNANT LESION S/N/H/F/G 3.1-4.0 CM,11624," 2,629.00 "
HC EXCISION MALIGNANT LESION S/N/H/F/G >4.0 CM,11626," 3,291.00 "
HC EXCISION MALIGNANT LESION F/E/E/N/L 0.5 CM/<,11640," 1,064.00 "
HC EXCISION MALIGNANT LESION F/E/E/N/L 0.6-1.0 CM,11641," 1,064.00 "
HC EXCISION MALIGNANT LESION F/E/E/N/L 1.1-2.0 CM,11642," 1,064.00 "
HC EXCISION MALIGNANT LESION F/E/E/N/L 2.1-3.0 CM,11643," 1,464.00 "
HC EXCISION MALIGNANT LESION F/E/E/N/L 3.1-4.0 CM,11644," 2,480.00 "
HC EXCISION MALIGNANT LESION F/E/E/N/L >4.0 CM,11646," 3,201.00 "
HC TRIMMING NONDYSTROPHIC NAILS ANY NUMBER,11719, 103.00 
HC TRIMMING NONDYSTROPHIC NAILS ANY NUMBER (PRO FEE),11719, 56.00 
HC DEBRIDEMENT NAIL ANY METHOD 1-5,11720, 131.00 
HC DEBRIDEMENT NAIL ANY METHOD 6/>,11721, 154.00 
HC AVULSION NAIL PLATE PARTIAL/COMPLETE SIMPLE 1,11730, 281.00 
HC AVULSION NAIL PLATE PARTIAL/COMPLETE SIMPLE 1 (PRO FEE),11730, 169.00 
HC AVULSION NAIL PLATE PARTIAL/COMP SIMPLE EA ADDL,11732, 165.00 
HC AVULSION NAIL PLATE PARTIAL/COMP SIMPLE EA ADDL (PRO FEE),11732, 132.00 
HC EVACUATION SUBUNGUAL HEMATOMA,11740, 126.00 
HC EVACUATION SUBUNGUAL HEMATOMA (PRO FEE),11740, 141.00 
HC EXCISION NAIL MATRIX PERMANENT REMOVAL,11750, 749.00 
HC EXCISION NAIL MATRIX PERMANENT REMOVAL (PRO FEE),11750, 604.00 
HC BIOPSY NAIL UNIT SEPARATE PROCEDURE,11755, 749.00 
HC REPAIR NAIL BED,11760, 601.00 
HC REPAIR NAIL BED (PRO FEE),11760, 488.00 
HC WEDGE EXCISION SKIN NAIL FOLD,11765, 311.00 
HC WEDGE EXCISION SKIN NAIL FOLD (PRO FEE),11765, 311.00 
HC INJECTION INTRALESIONAL UP TO & INCLUD 7 LESIONS,11900, 174.00 
HC INJECTION INTRALESIONAL >7 LESIONS,11901, 200.00 
HC INSJ NON-BIODEGRADABLE DRUG DELIVERY IMPLANT,11981, 336.00 
HC SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.5CM/<,12001, 437.00 
HC SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.5CM/< (PRO FEE),12001, 237.00 
HC SMPL REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.6-7.5CM,12002, 545.00 
HC SMPL REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.6-7.5CM (PRO FEE),12002, 298.00 
HC SIMPLE RPR SCALP/NECK/AX/GENIT/TRUNK 7.6-12.5CM,12004, 647.00 
HC SIMPLE RPR SCALP/NECK/AX/GENIT/TRUNK 7.6-12.5CM (PRO FEE),12004, 378.00 
HC SMPL RPR SCALP/NECK/AX/GENIT/TRUNK 12.6-20.0CM,12005, 723.00 
HC SMPL RPR SCALP/NECK/AX/GENIT/TRUNK 12.6-20.0CM (PRO FEE),12005, 520.00 
HC SMPL RPR SCALP/NECK/AX/GENIT/TRUNK 20.1-30.0CM,12006, 786.00 
HC SMPL RPR SCALP/NECK/AX/GENIT/TRUNK 20.1-30.0CM (PRO FEE),12006, 746.00 
HC SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK >30.0CM,12007, 916.00 
HC SIMPLE REPAIR F/E/E/N/L/M 2.5CM/<,12011, 544.00 
HC SIMPLE REPAIR F/E/E/N/L/M 2.5CM/< (PRO FEE),12011, 292.00 
HC SIMPLE EAR REPAIR,12011, 500.00 
HC SIMPLE REPAIR F/E/E/N/L/M 2.6CM-5.0 CM,12013, 612.00 
HC SIMPLE REPAIR F/E/E/N/L/M 2.6CM-5.0 CM (PRO FEE),12013, 321.00 
HC SIMPLE REPAIR F/E/E/N/L/M 5.1CM-7.5 CM,12014, 763.00 
HC SIMPLE REPAIR F/E/E/N/L/M 5.1CM-7.5 CM (PRO FEE),12014, 484.00 
HC SIMPLE REPAIR F/E/E/N/L/M 7.6CM-12.5 CM,12015, 875.00 
HC SIMPLE REPAIR F/E/E/N/L/M 7.6CM-12.5 CM (PRO FEE),12015, 679.00 
HC SIMPLE REPAIR F/E/E/N/L/M 12.6CM-20.0 CM,12016, 970.00 
HC SIMPLE REPAIR F/E/E/N/L/M 12.6CM-20.0 CM (PRO FEE),12016, 685.00 
HC SIMPLE REPAIR F/E/E/N/L/M 20.1CM-30.0 CM,12017," 1,069.00 "
HC SIMPLE REPAIR F/E/E/N/L/M 20.1CM-30.0 CM (PRO FEE),12017, 763.00 
HC SIMPLE REPAIR F/E/E/N/L/M >30.0 CM,12018," 1,169.00 "
HC TX SUPERFICIAL WOUND DEHISCENCE SIMPLE CLOSURE,12020, 680.00 
HC TX SUPERFICIAL WOUND DEHISCENCE SIMPLE CLOSURE (PRO FEE),12020, 660.00 
HC TX SUPERFICIAL WOUND DEHISCENCE W/PACKING,12021, 437.00 
HC REPAIR INTERMEDIATE S/A/T/E 2.5 CM/<,12031, 397.00 
HC REPAIR INTERMEDIATE S/A/T/E 2.5 CM/< (PRO FEE),12031, 511.00 
HC REPAIR INTERMEDIATE S/A/T/E 2.6-7.5 CM,12032, 565.00 
HC REPAIR INTERMEDIATE S/A/T/E 2.6-7.5 CM (PRO FEE),12032, 511.00 
HC REPAIR INTERMEDIATE S/A/T/E 7.6-12.5 CM,12034, 635.00 
HC REPAIR INTERMEDIATE S/A/T/E 7.6-12.5 CM (PRO FEE),12034, 664.00 
HC REPAIR INTERMEDIATE S/A/T/E 12.6-20.0CM,12035, 704.00 
HC REPAIR INTERMEDIATE S/A/T/E 12.6-20.0CM (PRO FEE),12035, 805.00 
HC REPAIR INTERMEDIATE S/A/T/E 20.1-30.0 CM,12036, 769.00 
HC REPAIR INTERMEDIATE S/A/T/E 20.1-30.0 CM (PRO FEE),12036, 888.00 
HC REPAIR INTERMEDIATE S/A/T/E >30.0 CM,12037," 1,568.00 "
HC REPAIR INTERMEDIATE S/A/T/E >30.0 CM (PRO FEE),12037," 1,568.00 "
HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.5CM/<,12041, 332.00 
HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.5CM/< (PRO FEE),12041, 544.00 
HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.6-7.5 CM,12042, 397.00 
HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.6-7.5 CM (PRO FEE),12042, 642.00 
HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 7.6-12.5CM,12044, 488.00 
HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 7.6-12.5CM (PRO FEE),12044, 697.00 
HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 12.6-20 CM,12045, 660.00 
HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 12.6-20 CM (PRO FEE),12045, 793.00 
HC RPR INTERMEDIATE N/H/F/XTRNL GENT 20.1-30.0 CM,12046, 777.00 
HC RPR INTERMEDIATE N/H/F/XTRNL GENT 20.1-30.0 CM (PRO FEE),12046, 930.00 
HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT >30.0 CM,12047," 1,568.00 "
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.5 CM/<,12051, 545.00 
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.5 CM/< (PRO FEE),12051, 597.00 
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.6-5.0 CM,12052, 641.00 
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.6-5.0 CM (PRO FEE),12052, 683.00 
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 5.1-7.5 CM,12053, 706.00 
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 5.1-7.5 CM (PRO FEE),12053, 701.00 
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 7.6-12.5 CM,12054, 756.00 
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 7.6-12.5 CM (PRO FEE),12054, 752.00 
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 12.6-20.0CM,12055, 823.00 
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 12.6-20.0CM (PRO FEE),12055, 879.00 
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 20.1-30.0CM,12056, 895.00 
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 20.1-30.0CM (PRO FEE),12056," 1,094.00 "
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC >30.0 CM,12057, 952.00 
HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC >30.0 CM (PRO FEE),12057, 960.00 
HC REPAIR COMPLEX TRUNK 1.1-2.5 CM,13100, 680.00 
HC REPAIR COMPLEX TRUNK 1.1-2.5 CM (PRO FEE),13100," 1,178.00 "
HC REPAIR COMPLEX TRUNK 2.6-7.5 CM,13101, 688.00 
HC REPAIR COMPLEX TRUNK 2.6-7.5 CM (PRO FEE),13101, 564.00 
HC REPAIR COMPLEX TRUNK EACH ADDITIONAL 5 CM/<,13102, 631.00 
HC REPAIR COMPLEX TRUNK EACH ADDITIONAL 5 CM/< (PRO FEE),13102, 301.00 
HC REPAIR COMPLEX SCALP/ARM/LEG 1.1-2.5 CM,13120, 488.00 
HC REPAIR COMPLEX SCALP/ARM/LEG 1.1-2.5 CM (PRO FEE),13120, 501.00 
HC REPAIR COMPLEX SCALP/ARM/LEG 2.6-7.5 CM,13121, 680.00 
HC REPAIR COMPLEX SCALP/ARM/LEG 2.6-7.5 CM (PRO FEE),13121, 645.00 
HC REPAIR COMPLEX SCALP/ARM/LEG EA ADDL 5 CM/<,13122, 437.00 
HC REPAIR COMPLEX SCALP/ARM/LEG EA ADDL 5 CM/< (PRO FEE),13122, 359.00 
HC REPAIR COMPLEX F/C/C/M/N/AX/G/H/F 1.1-2.5 CM (PRO FEE),13131, 580.00 
HC REPAIR COMPLEX F/C/C/M/N/AX/G/H/F 1.1-2.5 CM,13131, 463.00 
HC REPAIR COMPLEX F/C/C/M/N/AX/G/H/F 2.6-7.5 CM,13132, 680.00 
HC REPAIR COMPLEX F/C/C/M/N/AX/G/H/F 2.6-7.5 CM (PRO FEE),13132, 828.00 
HC REPAIR COMPLEX F/C/C/M/N/AX/G/H/F EA ADDL 5 CM/<,13133, 437.00 
HC REPAIR COMPLEX EYELID/NOSE/EAR/LIP 1.1-2.5 CM,13151, 680.00 
HC REPAIR COMPLEX EYELID/NOSE/EAR/LIP 1.1-2.5 CM (PRO FEE),13151, 685.00 
HC REPAIR COMPLEX EYELID/NOSE/EAR/LIP 2.6-7.5 CM,13152, 727.00 
HC REPAIR COMPLX EYELID/NOSE/EAR/LIP EA ADDL 5 CM/<,13153, 437.00 
HC SECONDARY CLOSURE SURG WOUND/DEHSN EXTSV/COMPLIC,13160," 3,064.00 "
HC ADJACENT TISSUE TRANSFER/REARGMT TRUNK 10 SQCM/<,14000," 2,518.00 "
HC ADJNT TIS TRANSFR/REARRANGE TRUNK 10.1-30.0 SQCM,14001," 2,374.00 "
HC ADJT TIS TRNSFR/REARGMT SCALP/ARM/LEG 10 SQ CM/<,14020," 2,518.00 "
HC ADJT/REARRGMT SCALP/ARM/LEG 10.1-30.0 SQ CM,14021," 2,518.00 "
HC ADJT TIS TRNS/REARGMT F/C/C/M/N/A/G/H/F 10SQCM/<,14040," 2,968.00 "
HC ADJT/REARGMT F/C/C/M/N/AX/G/H/F 10.1-30.0 SQ CM,14041," 2,518.00 "
HC ADJT TIS TRNSFR/REARRGMT E/N/E/L DFCT 10 SQ CM/<,14060," 2,968.00 "
HC ADJT TIS REARGMT EYE/NOSE/EAR/LIP 10.1-30.0 SQCM,14061," 2,518.00 "
HC ADJNT TIS TRNSFR/REARGMT ANY AREA 30.1-60 SQ CM,14301," 3,752.00 "
HC ADJT TIS TRNSFR/REARGMT DEFEC EA ADDL 30 SQCM,14302," 3,201.00 "
HC FILLETED FINGER/TOE FLAP W/PREPJ RECIPIENT SITE,14350," 5,569.00 "
HC PREP SITE TRUNK/ARM/LEG 1ST 100 SQ CM/1PCT,15002," 1,568.00 "
HC PREP SITE F/S/N/H/F/G/M/D GT 1ST 100 SQ CM/1PCT,15004, 680.00 
HC PINCH GRAFT 1/MLT SM ULCER TIP/OTH AREA 2CM,15050, 680.00 
HC SPLIT AGRFT T/A/L 1ST 100 CM/&/1% BDY INFT/CHLD,15100," 3,752.00 "
HC SPLIT AGRFT F/S/N/H/F/G/M/D GT 1ST 100 CM/</1 %,15120," 3,752.00 "
HC SPLIT AGRFT F/S/N/H/F/G/M/D GT EA 100 CM/EA 1 %,15121," 3,064.00 "
HC FTH/GFT FREE W/DIRECT CLOSURE S/A/L 20 CM/<,15220," 2,518.00 "
HC FTH/GFT FR W/DIR CLSR S/A/L EA ADDL 20 CM/<,15221, 631.00 
HC FTH/GFT FR W/DIR CLSR F/C/C/M/N/AX/G/H/F 20 CM/<,15240," 2,099.00 "
HC FTH/GT FR W/DIR CLSR F/C/C/M/N/AX/G/H/F EA20CM/<,15241, 631.00 
HC FTH/GFT FREE W/DIRECT CLOSURE N/E/E/L 20 SQ CM/<,15260," 2,588.00 "
HC FTH/GFT FREE W/DIR CLSR N/E/E/L EA 20 SQ CM/<,15261," 2,374.00 "
HC APP SKN SUB GRFT T/A/L AREA/100SQ CM /<1ST 25,15271," 2,275.00 "
HC APP SKN SUBGRFT T/A/L AREA/100SQ CM 1ST 100SQ CM,15273," 3,752.00 "
HC SUB GRFT F/S/N/H/F/G/M/D <100SQ CM 1ST 25 SQ CM,15275," 2,275.00 "
HC SUB GRFT F/S/N/H/F/G/M/D >/= 100SCM 1ST 100SQ CM,15277," 2,275.00 "
HC FRMJ DIR/TUBE PEDCL W/WOTR FH/CH/CH/M/N/AX/G/H/F,15574," 3,064.00 "
HC FRMJ DIRECT/TUBED PEDICLE W/WOTR E/N/E/L/NTRORAL,15576," 3,064.00 "
HC DELAY FLAP/SECTIONING FLAP F/C/C/N/AX/G/H/F,15620," 3,064.00 "
HC DELAY FLAP/SCTJ FLAP EYELIDS NOSE EARS/LIPS,15630," 3,064.00 "
HC FOREHEAD FLAP W/PRESERVATION VASCULAR PEDICLE,15731," 3,752.00 "
HC MUSCLE-SKIN GRAFT HEAD/NECK,15733," 3,010.00 "
HC FLAP ISLAND PEDICLE ANATOMIC NAMED AXIAL ARTERY,15740," 2,518.00 "
HC GRAFT COMPOSITE W/PRIMARY CLOSURE DONOR AREA,15760," 3,064.00 "
HC PUNCH GRAFT HAIR TRANSPLANT 1-15 PUNCH GRAFTS,15775, 332.00 
HC PUNCH GRAFT HAIR TRANSPLANT >15 PUNCH GRAFTS,15776, 332.00 
HC DERMABRASION TOTAL FACE,15780," 3,291.00 "
HC DERMABRASION SEGMENTAL FACE,15781," 1,064.00 "
HC DERMABRASION REGIONAL OTHER THAN FACE,15782," 1,348.00 "
HC DERMABRASION SUPERFICIAL ANY SITE,15783, 456.00 
HC CHEMICAL PEEL FACIAL EPIDERMAL,15788, 255.00 
HC CHEMICAL PEEL FACIAL DERMAL,15789, 488.00 
HC CHEMICAL PEEL NONFACIAL EPIDERMAL,15792, 405.00 
HC CHEMICAL PEEL NONFACIAL DERMAL,15793, 311.00 
HC SUCTION ASSISTED LIPECTOMY HEAD & NECK,15876," 3,752.00 "
HC SUCTION ASSISTED LIPECTOMY TRUNK,15877," 3,752.00 "
HC SUCTION ASSISTED LIPECTOMY UPPER EXTREMITY,15878," 3,752.00 "
HC SUCTION ASSISTED LIPECTOMY LOWER EXTREMITY,15879," 3,752.00 "
HC INITIAL TX 1ST DEGREE BURN LOCAL TX,16000, 184.00 
HC DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ SMALL,16020, 245.00 
HC DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ SMALL (PRO FEE),16020, 228.00 
HC DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ MEDIUM,16025, 345.00 
HC DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ MEDIUM (PRO FEE),16025, 465.00 
HC DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ LARGE,16030, 445.00 
HC DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ LARGE (PRO FEE),16030, 538.00 
HC ESCHAROTOMY FIRST INCISION,16035, 706.00 
HC ESCHAROTOMY FIRST INCISION,16035, 748.00 
HC ESCHAROTOMY FIRST INCISION (PRO FEE),16035, 685.00 
"HC JAK2 EXONS 12 AND 13 MUTATIONS,QL,LEUMETA(R)",16536, 194.00 
HC DESTRUCTION PREMALIGNANT LESION 1ST,17000, 169.00 
