Highland Hospital,,,,
Charge Description Master: June 2018,,,,
CDM Code,Description,Price,,
11307,SHAVING LESION S/N/H/F/G; 1.1-2.0CM, $202 ,,
11310,SHAVE LES FC/EAR/EYLD/NS/LIP/MM 0.5CM/ <, $231 ,,
11311,SHAVING LESION F/E/N/L; 0.6-1.0CM, $202 ,,
11312,SHAVING LESION F/E/N/L; 1.1-2.0CM, $355 ,,
11400,EXC BEN LES TRNK/ARM/LEG 0.5CM/ <," $1,001 ",,
11401,EXC BEN LES TRNK/ARM/LEG 0.6 - 1.0CM, $823 ,,
11402,EXC BEN LES TRNK/ARM/LEG 1.1 - 2.0CM, $823 ,,
11403,EXC BEN LES TRNK/ARM/LEG 2.1 - 3.0CM," $1,539 ",,
11404,LES TRNK EXTRM 3.1-4.0CM," $1,793 ",,
11406,EXC LSN TRNK/ARM/LEG >4CM," $2,658 ",,
11420,EXC BEN LES SCLP/NK/HND/FT/GEN 0.5CM/ <," $1,784 ",,
11421,EXC BEN LES SCLP/NK/HND/FT/GEN 0.6-1.0CM," $1,539 ",,
11422,EXC BEN LES SCLP/NK/HND/FT/GEN 1.1-2.0CM," $1,784 ",,
11423,EXCIS LESN NCK/HND/FT/GN 2.1 TO 3.0 CM," $2,021 ",,
11424,EXCIS LESN NCK/HND/FT/GN  3.1 - 4.0CM," $2,889 ",,
11426,EXCIS LESN NCK/HND/FT/GN OVER 4.0 CM," $3,035 ",,
11440,EXCIS LESN FACE/EARS TO 0.5CM OR <," $1,031 ",,
11441,EXC BEN LES FC/EAR/EYLD/NS/LP/MM 0.6-1CM, $859 ,,
11442,EXC BEN LES FC/EAR/EYLD/NS/LP/MM 1.1-2CM," $1,539 ",,
11443,EXCIS LESN FACE/EARS 2.1-," $2,021 ",,
11444,EXCIS LESN FACE/EARS 3.1-," $2,021 ",,
11446,EXCIS LESN FACE/EARS >4.0," $3,035 ",,
11450,EXC HIRADENITIS AXILLARY SIMPLE," $3,035 ",,
11451,EXC HIRADENITIS AXILLARY COMPLEX," $3,035 ",,
11462,EXC HIDRADEN/ING W/RPR; SIMP/INTERMED," $2,779 ",,
11470,EXC HIDRAD UMBIL," $2,845 ",,
11471,"EXC HIDRADENITIS, UMBILICAL, COMPLX RPR"," $3,013 ",,
11600,EXC LES TRUNK ARM/LEG 0.5CM <," $2,021 ",,
11601,EXC MAL LESIONT/A/L 0.6-1 CM, $803 ,,
11602,EXC LESN TRUNK/ARM/LEG 1-, $859 ,,
11603,EXC MALG TRNK/ARMS/LEGS 2," $2,021 ",,
11604,EXC MALG TRNK/ARMS/LEGS 3," $2,021 ",,
11606,EXC MALIG LESION TRUNK >4," $3,035 ",,
11620,"EXCISION, MAL LES S/NK/H/F/GEN < 0.5 CM"," $1,759 ",,
11621,"EXC, MAL LES S/NK/H/F/GEN 0.6 - 1.0 CM"," $1,819 ",,
11622,EXC MAG LES; S/N/H/F/GEN 1.1 TO 2.0CM," $1,864 ",,
11623,EXCIS MALG NCK/HND/FT/GN 2.1 - 3.0 CM," $2,021 ",,
11624,EXCIS MALG NCK/HND/FT/GN 3.1 - 4.0 CM," $3,035 ",,
11626,EXCIS MALG NCK/HND/FT/GN OVER 4.0 CM," $3,035 ",,
11640,EXC MAL LES FC/EAR/EYLD/NS/LIP 0.5CM/ <," $1,539 ",,
11641,EXC MALIG FACE/EARS 0.6-1, $859 ,,
11642,EXC MAL LES FC/EAR/EYLD/NS/LIP 1.1-2.0CM," $1,719 ",,
11643,EXC MALIG FACE/EARS 2.1-3," $2,021 ",,
11644,EXC MALIG FACE/EARS 3.1-4," $2,021 ",,
11646,EXC MALIG LES FACE >4CM," $3,035 ",,
11719,"TRIM NONDYSTROPHIC NAILS, ANY NUMBER", $108 ,,
11720,"DEBRIDEMENT NAIL, 1 TO 5", $415 ,,
11721,"DEBRIDEMENT NAIL, 6 OR MORE", $759 ,,
11730,"Avulsion Nail Plate, Single", $654 ,,
11732,"Avulsion Nail Plate, Each Additional", $133 ,,
11740,EVACUATION OF SUBUNGUAL HEMATOMA, $685 ,,
11750,Removal Of Nail Bed, $822 ,,
11752,EXCISION OF NAIL MATRIX," $3,035 ",,
11755,BIOPSY OF NAIL UNIT, $959 ,,
11760,NAILBED REPAIR, $481 ,,
11765,Wedge Excision," $1,166 ",,
11770,EXCIS PILONIDAL CYST SIMP," $3,035 ",,
11771,EXCIS PILONIDAL CYST EXTE," $3,035 ",,
11772,EXCIS PILONIDAL CYST COMP," $2,529 ",,
11900,INJ INTO SKIN UP TO & INCLUDE 7 LESIONS, $221 ,,
11901,"INJECTION, INTRALESIONAL, > 7 LESIONS", $202 ,,
11950,FILLING MATERIAL 1CC < SU, $484 ,,
11951,SUBCUTANEOUS INJECT OF FILLING MATERIAL 1.1 TO 5.0CC, $809 ,,
11952,"SUBQ INJ, FILLING MATERIAL 5.1 - 10 CC", $866 ,,
11954,SUBQ INJECTION FILLING MATERIAL > 10CC, $346 ,,
11971,REM TE WO INS PERM PROSTH," $3,035 ",,
11976,"REMOVAL, IMPLANTABLE CONTRACEPTIVE CAPSULES", $805 ,,
11980,SUBCUTANEOUS HORMONE PELLET IMPLANTATION, $300 ,,
11981,INSERT DRUG IMPLANT, $323 ,,
11982,REMOVAL DRUG DELIVERY IMPLANT, $236 ,,
11983,REMOVAL W/REINSERT DRUG DELIVERY IMPLANT, $323 ,,
12001,Smpl Rpr Sclp/Nk/Ax/Gen/Tr/Ext 2.5Cm/<, $656 ,,
12002,Smpl Rpr Sclp/Nk/Ax/Gen/Tr/Ext 2.6-7.5cm, $661 ,,
12004,Smpl Rpr Sclp/Nk/Ax/Gen/Tr/Ext7.6-12.5Cm, $711 ,,
12005,Smpl Rpr Sclp/Nk/Ax/Gen/Trk/Ext12.6-20cm, $654 ,,
12006,Smpl Rpr Sclp/Nk/Ax/Gen/Trk/Ext20.1-30cm, $221 ,,
12007,Smpl Rpr Sclp/Nk/Ax/Gen/Trk/Ext 30cm >, $221 ,,
12011,Smpl Rpr Fc/Ear/Eyld/Ns/Lip/MM 2.5Cm/<, $657 ,,
12013,Smpl Rpr Fc/Ear/Eyld/Ns/Lip/MM 2.6-5.0Cm, $693 ,,
12014,Smpl Rpr Fc/Ear/Eyld/Ns/Lip/MM 5.1-7.5Cm, $654 ,,
12015,Smpl Rpr Fc/Ear/Eyld/Ns/Lip/MM7.6-12.5cm, $654 ,,
12016,Smpl Rpr Fc/Ear/Eyld/Ns/Lip/MM12.6-20cm, $221 ,,
12017,Smpl Rpr Fc/Ear/Eyld/Ns/Lip/MM20.1-30cm, $519 ,,
12018,Smpl Rpr Fc/Ear/Eyld/Ns/Lip/MM >30cm, $519 ,,
12020,Tx Superficial Wnd Dehisnce;Smpl Closur," $1,353 ",,
12021,Tx Superficial Wnd Dehiscnce w/ Packing," $1,353 ",,
12031,Intrmd Wnd Rpr Sclp/Ax/Tr/Ext 2.5Cm Or <," $1,999 ",,
12032,Intrmd Wnd Rpr Sclp/Ax/Tr/Ext 2.6-7.5Cm," $1,063 ",,
12034,Intrmd Wnd Rpr Sclp/Ax/Tr/Ext 7.6-12.5Cm, $858 ,,
12035,Intrmd Wnd Rpr Sclp/Ax/Tr/Ext 12.6-20Cm," $1,241 ",,
12036,Intrmd Wnd Rpr Sclp/Ax/Tr/Ext 20.1-30Cm," $1,023 ",,
12037,Intrmd Wnd Rpr Sclp/Ax/Tr/Ext  > 30cm," $3,613 ",,
12041,Intrmd Wnd Rpr Nk/Hnd/Ft/Gen 2.5Cm Or <," $1,241 ",,
12042,Intrmd Wnd Rpr Nk/Hnd/Ft/Gen 2.6-7.5Cm, $487 ,,
12044,Intrmd Wnd Rpr Nk/Hnd/Ft/Gen 7.6-12.5Cm," $1,006 ",,
12045,Intrmd Wnd Rpr Nk/Hnd/Ft/Gen 12.6-20Cm," $1,006 ",,
12046,Intrmd Wnd Rpr Nk/Hnd/Ft/Gen 20.1-30cm, $953 ,,
12047,Intrmd Wnd Rpr Nk/Hnd/Ft/Gen > 30cm," $2,059 ",,
12051,Intrmd Wnd Rpr Fc/Er/El/Ns/Lip/MM2.5Cm/<," $1,063 ",,
12052,Intrmd Wnd Rpr Fc/Er/El/Ns/Lip/MM2.6-5Cm," $1,063 ",,
12053,Intrmd Wnd Rpr Fc/Er/El/N/L/MM 5.1-7.5Cm," $1,152 ",,
12054,Intrmd Wnd Rpr Fc/Er/El/N/L/MM7.6-12.5Cm," $1,241 ",,
12055,Intrmd Wnd Rpr Fc/Er/El/N/L/MM12.6-20cm, $953 ,,
12056,Intrmd Wnd Rpr Fc/Er/El/N/L/MM20.1-30cm, $953 ,,
12057,Intrmd Wnd Rpr Fc/Er/El/N/L/MM > 30cm," $1,143 ",,
13100,"Repair, complex, trunk; 1.1 cm to 2.5 cm"," $1,034 ",,
13101,Complx Repair Trunk 2.6cm to 7.5cm," $1,522 ",,
13102,"Repair Complex Trunk, Each Addl 5cm or <"," $1,078 ",,
13120,Complx Repair Sclp/Arms/Legs 1.1-2.5Cm, $970 ,,
13121,Complx Repair Sclp/Arms/Legs 2.6 - 7.5cm, $747 ,,
13122,"Complx Repair Sclp/Arm/Leg,Ea Addl 5cm<", $654 ,,
13131,Cmplx Rpr Fh/Ck/Ch/M/N/Ax/G/H/F1.1-2.5cm," $1,281 ",,
13132,Cmplx Rpr Fh/Ck/Ch/M/N/Ax/G/H/F2.6-7.5Cm, $739 ,,
13133,"Cmplx Rpr Face//Nk/Ax/G/H/F,Ea addl 5cm<"," $1,510 ",,
13151,Complx Rpr  Eyld/Nose/Ear/Lips 1.1-2.5Cm," $1,281 ",,
13152,Complx Rpr Eyld/Nose/Ear/Lips 2.6-7.5Cm," $1,571 ",,
13153,"Cmplx Rpr Eyld/Ns/Ear/Lp, Ea Addl 5cm <", $654 ,,
13160,"2ndary Close Surg Wnd/Dehis, Ext/Cmplx"," $3,644 ",,
14000,ZWVY-PLASTY TRUNK <10 CM2," $3,028 ",,
14001,ZWVY-PLASTY TRUNK 10.1-30," $2,523 ",,
14020,ADJ TISSUE TRANSFER S/A/L 10SQ CM OR <," $3,330 ",,
14021,ZWVY-PLASTY SCLP/ARM/LG10," $2,523 ",,
14040,ZWVY-PLASTY FACE/NK/H&F/G 10 SQ CM OR <," $2,523 ",,
14041,ZWVY-PLASTY FACE/NK/H&F10," $2,523 ",,
14060,ZWVY-PLASTYLID/NOSE/EAR/L 10 SQ CM OR <," $2,523 ",,
14301,SKIN TISSUE REARRANGEMNT - 30.1SQ CM TO 60.0 SQ CM," $4,567 ",,
15002,WND PRP CH/INF TRK/ARM/LG," $3,028 ",,
15003,WOUND PREP EACH ADDL 100 SQ CM, $130 ,,
15004,WND PREP CH/INF F/N/HF/G," $1,339 ",,
15005,WND PRP F/N/GEN/HD/FT ADDL 100SQ CM 1%BA, $211 ,,
15100,SKN GRFTSPLT TRNK/ARM/LEG," $4,676 ",,
15101,"SKIN SPLIT GRAFT T/A/L, EA ADDL 100SQ CM OR 1% BA", $324 ,,
15115,EPI AUTOGRAPH F/NK/E/H/FT/GEN<100 SQ CM," $3,517 ",,
15120,SKN GRFTSPLT FC/H&F/GEN 100 SQ CM OR <," $4,587 ",,
15121,SKN GRFTSPLT FC/H&F/GEN EA ADD 100 SQ CM, $642 ,,
15155,SKIN AUTOGRAFT F/S/N/GEN/H/F  < 25 SQ CM," $3,346 ",,
15200,"FULL SKIN GRAFT, TRUNK < 20 SQ CM"," $4,642 ",,
15201,"SKIN FULL GRAFT, TRUNK EA ADD'L 20 SQ CM", $260 ,,
15220,SKN GRFT FULL SCLP/A&LEG 20 SQ CM OR <," $2,523 ",,
15221,SKIN FULL GRAFT ADD ON, $420 ,,
15240,SKN GRFT FULL FACE/H&F/GN 20 SQ CM OR <," $2,523 ",,
15260,SKN GRFT LID/NOSE/EAR/LIP 20 SQ CM OR <," $2,523 ",,
15271,APLY SKN SUBST PER 25SQCM," $3,309 ",,
15272,SKIN SUB T/A/L EA ADD 25SQ CM, $46 ,,
15273,SKIN SUB GRAFT T/A/L CHILD 1ST 100 SQ CM," $3,718 ",,
15274,SKN SUB GRFT T/A/L CH EA ADD'L 100 SQ CM, $121 ,,
15275,APLIGRAF - FIRST 25SQ CM," $3,264 ",,
15276,"APLIGRAF, EA ADDL 25SQ CM"," $1,655 ",,
15570,PEDICLE FLAP; TRUNK,   ,,
15574,PEDICLE FLAP; FH/CK/CN/M/NK/AXI/GENIT/H/FT," $3,691 ",,
15576,SKN PEDICL FORMTN NOSE/LI," $2,523 ",,
15630,SKN FLAP DELAY/SECT LID/E," $3,028 ",,
15731,FOREHEAD FLAP W/VASCULAR PEDICLE," $4,622 ",,
15732,MUSCL/MYOCUT/FASC FLAP HE," $3,822 ",,
15734,SKN/MUSCLE FLAP TRUNK," $3,822 ",,
15736,"MUSCLE FLAP, UPPER EXTREMITY"," $3,759 ",,
15738,SKN/MUSCLE FLAP LOWER EXT," $3,822 ",,
15740,SKN FLAP ISLAND PEDICLE," $2,523 ",,
15760,"GRAFT COMPOSITE; PRIMARY CLOSURE, DONOR AREA"," $4,687 ",,
15770,GRAFT DERMA-FAT-FASCIA," $4,587 ",,
15777,ACELLUAR DERMAL MATRIX IMPLANT, $348 ,,
15780,"DERMABRASION, TOTAL FACE"," $3,599 ",,
15783,"DERMABRASION, SUPERFICIAL, ANY SITE"," $1,464 ",,
15786,"ABRASION; SINGLE LESION (eg, KERATOSIS,SCAR)", $506 ,,
15820,BLEPHPLSTY LO LID EXTEN U," $3,028 ",,
15822,"BLEPHAROPLASTY, UPPER EYELID"," $2,904 ",,
15830,"EXCISION, EXCESSIVE SKIN, ABDOMEN"," $6,914 ",,
15850,"REMOVAL SUTURES W/ANESTHESIA, SAME SURG"," $2,120 ",,
15851,REMOVE SUTURES UNDER ANESTHESIA - OTHER SURGEON, $820 ,,
15852,DRESSG CHNG W/ANES NNBRN, $213 ,,
15877,SUCTION LIPECTOMY TRUNK," $3,347 ",,
15937,"EXC SACRAL PRSSRE ULCER, PREP FLAP/GRAFT"," $4,472 ",,
15946,EXC ISCH ULCR+OSTEC W/MYO," $3,063 ",,
16000,BURN TXMT INITIAL 1 DEG, $211 ,,
16020,"Dressing/Debridemnt P-Thick Burn, Small", $329 ,,
16025,"Dressing/Debridemnt P-Thick Burn, Medium", $825 ,,
17000,DESTRUCT PREMALG LESION - 1ST LESION, $221 ,,
17003,"DESTRUCT PREMALG LESION, 2 - 14 LESNS", $127 ,,
17004,"DESTRUCTION LESIONS, 15 OR MORE", $662 ,,
17106,DESTRUCT CUTANEOUS VAS LESIONS <10 SQ CM," $1,237 ",,
17110,"DESTRUCT BENIGN LESION, UP TO 14 LESIONS", $221 ,,
17111,"DESTRUCT BENIGN LESION, 15 OR > LESIONS", $180 ,,
17250,SILVER NITRATE TREATMENT, $331 ,,
17260,DESTRUCT MAL LESION T/A/L 0.5 CM OR LESS, $355 ,,
17261,DESTRUCT MAL LESION T/A/L 0.6 - 1.0 CM, $431 ,,
17262,DESTRUCT MAL LESION T/A/L 1.1 -2.0 CM, $355 ,,
17270,DESTRUCT MAL LESION S/N/H/F/G  <  0.5 CM, $355 ,,
17271,DESTRUCT MAL LES S/N/H/F/G  0.6 - 1 CM, $355 ,,
17280,DESTRUCTION OF MAL LESION 0.5 CM OR LESS, $355 ,,
17281,DESTRUCTION OF MAL LESION 0.6 - 1 CM, $662 ,,
17340,ACNE CRYOTHERAPY, $133 ,,
17999,UNLISTED PROC SKIN MM & SQ TISS, $359 ,,
19000,"Puncture Aspiration Breast Cyst, Initial", $939 ,,
19001,PUNCTURE ASPIRATION CYST BREAST EA ADDTL, $83 ,,
19020,MASTOTOMY EXPLORATION/DRA," $3,035 ",,
19081,STEREOTACTIC BREAST BIOPSY 1ST LESION," $4,060 ",,
19082,STEREOTACTIC BREAST BIOPSY EA ADDL LESION," $1,338 ",,
19083,Breast Biopsy Perc w/US Guid 1st Les," $2,450 ",,
19084,BREAST NDL LOC WIRE PLC EA ADD'L, $705 ,,
19085,BX BREAST 1ST LESION MRI IMAG," $2,675 ",,
19086,BX BREAST EA ADD'L LESION MRI IMAG," $1,338 ",,
19100,BREAST BIOPSY PERCUTANEOUS W/O IMAGE, $840 ,,
19101,BREAST BIOPSY OPEN INCISI," $4,695 ",,
19120,REMOVAL OF BREAST LESION 1 OR > LESIONS," $3,424 ",,
19125,SINGLE BREAST LESN EXCIS LOC BY RAD MKR," $4,695 ",,
19126,"EXCISION BREAST LESION, EA ADDITIONAL", $255 ,,
19281,MAMMOGRAM NDL LOC BREAST 1ST LES," $3,042 ",,
19282,PLACE BREAST LOC DEV MAMMO GUIDE EA ADD, $307 ,,
19285,"PLCMNT BREAST DEVICE US IMAG, 1ST LESION"," $1,686 ",,
19300,REMOVAL OF BREAST TISSUE," $4,695 ",,
19301,MASTECTOMY PARTIAL," $4,695 ",,
19302,P-MASTECTOMY W/LN REMOVAL," $5,739 ",,
19303,MASTECTOMY SIMPLE CMPLETE," $5,739 ",,
19304,"MASTECTOMY, SUBCUTANEOUS"," $4,238 ",,
19307,MASTECTOMY MODIFD RADICAL," $5,739 ",,
19316,MASTOPEXY," $6,767 ",,
19318,MAMMAPLASTY REDUCTION," $5,739 ",,
19325,MAMMAPLSTY AUG W/PROSTH I," $11,892 ",,
19328,RMVL INTACT MAMMO IMPLANT," $4,695 ",,
19330,REM MAMMARY IMPL MATERIAL," $4,695 ",,
19340,IMMEDIATE INSERTION BREAST PROSTHESIS," $6,721 ",,
19342,INS BREAST PROSTH S/P MASTECTOMY," $11,892 ",,
19350,NIPPLE/AREOLA RECONSTRUCTION," $4,695 ",,
19357,BREAST RECONST W TISS EXP," $11,892 ",,
19361,BREAST RECON WFLAP W/WO P," $4,911 ",,
19364,BREAST RECONSTR W FREE FLAP," $3,368 ",,
19367,BREAST RECONSTRUCTION," $5,584 ",,
19370,OP BREAST CAPSULOTOMY," $5,739 ",,
19380,REVISION RECONTRUCTED BREAST," $6,789 ",,
20005,Abscess Drn Soft Tissue Deep," $13,982 ",,
20100,EXPLR PENETRATNG WD NECK," $1,357 ",,
20101,"EXPLORATION WOUND, CHEST"," $3,225 ",,
20102,EXPLOR PENETRAT WOUND; ABD/FLANK/BK," $3,029 ",,
20103,Explor Penetrat Wound Ext, $778 ,,
20205,BIOPSY MUSCLE DEEP," $3,035 ",,
20206,Ndl Biopsy Muscle/Tissue," $2,897 ",,
20220,Ndl Biopsy Bone Superficial," $1,784 ",,
20225,Ndl Biopsy Bone Deep Trocar," $5,533 ",,
20240,BIOPSY BONE EXCIS SUPERFI," $3,035 ",,
20245,BIOPSY BONE EXCIS DEEP," $3,035 ",,
20501,Injection Sinogram/Fistulogram Dx," $1,077 ",,
20520,"REMOVAL FOREIGN BODY, MUSCLE, SIMPLE"," $2,020 ",,
20525,"REMOVAL FOREIGN BODY, MUSCLE, COMPL"," $4,459 ",,
20526,"Injection, Carpal Tunnel", $509 ,,
20550,"Inj, Single Tendon Sheath Or Ligament", $487 ,,
20551,"INJ, SINGLE TENDON ORIGIN/INSERTION", $374 ,,
20552,"Injection Trigger Pt, 1 Or 2 Muscles", $457 ,,
20553,"Injection Trigger Pt, 3 Or More Muscles", $374 ,,
20600,"Arthrocentesis, Asp/Inj, Sm Jnt/Bursa", $333 ,,
20604,DRAIN/INJ SMALL JOINT/BURSA W/US, $654 ,,
20605,"Arthrocentesis, Asp/Inj,Interm Jnt/Bursa", $501 ,,
20606,"ASP/INJ, INTERMED JOINT/BURSA W/US GUIDE", $732 ,,
20610,"Arthrocentesis, Asp/Inj, Major Jnt/Bursa", $419 ,,
20611,"ASP/INJ, MAJOR JOINT/BURSA W/US GUIDANCE", $449 ,,
20612,ASPIRATION/INJECTION GANGLION CYST - ANY LOCATION, $516 ,,
20650,Insert Wire/Pin W/Skeltal Tract," $4,756 ",,
20661,APPLICATION OF HALO TRACT," $1,586 ",,
20670,"REMOVAL OF SUPPORT IMPLANT, WIRE/PIN/ROD"," $2,124 ",,
20680,"REMOVAL OF IMPLANT, DEEP"," $4,190 ",,
20690,APPLIC UNIPLANE EXT FIXA," $7,819 ",,
20692,EXT FIXATN AAPLIC MLTIPLN," $11,990 ",,
20693,ADJUST BONE FIXATION DEVICE," $6,217 ",,
20694,REMOVE BONE FIXATION DEVI," $3,123 ",,
20696,MULTIPLANE EXTERNAL FIXATION," $17,304 ",,
20816,"REPLANT MCP JOINT, COMPL AMPUTATION",   ,,
20900,"BONE, MINOR/SMALL GRAFT ("," $3,770 ",,
20902,"BONE, MAJOR OR LARGE"," $11,082 ",,
20912,CARTILAGE GRAFT - NASAL SEPTUM," $4,033 ",,
20920,"FASCIA LATA GRAFT, BY STRIPPER"," $2,793 ",,
20924,DISTANCE TENDON GRAFT," $4,457 ",,
20926,TISS GFT OTHER," $4,587 ",,
20930,SP BONE ALGRFT MORSEL ADD, $437 ,,
20931,SP BONE ALGRFT STRUCT ADD, $355 ,,
20936,SPINAL BONE AUTOGRAFT AD/," $1,202 ",,
20937,SPINAL BONE AUTOGRAFT ADD ON, $515 ,,
20938,AUTOGRAFT FOR SPINE SURGERY ONLY, $293 ,,
20950,MONITORING OF INTERSTITIAL FLUID, $778 ,,
21011,EXC FACE LES SC < 2 CM," $2,676 ",,
21012,"EXCISION TUMOR, FACE/SCALP SUBQ 2CM >"," $2,676 ",,
21013,EXC TUMOR FACE/SCALP < 2CM," $2,318 ",,
21014,EXC TUMOR FACE/SCALP 2CM OR >," $3,005 ",,
21025,EXCISION BONE MANDIBLE," $7,509 ",,
21026,EXCISION OF FACIAL BONES," $3,533 ",,
21030,Excision Maxilla/Zygoma Ben Tumor/Cyst," $5,959 ",,
21031,Excision Of Torus Mandibularis," $3,135 ",,
21032,Excision Of Maxillary Torus Palatinus," $3,135 ",,
21040,Excision Of Ben Tumor/Cyst Mandible," $3,135 ",,
21046,EXC LESN MANDIBL INTRAORL," $6,225 ",,
21050,"CONDYLECTOMY, TMJ"," $6,225 ",,
21060,"MENISECTOMY, TMG"," $6,225 ",,
21070,CORNOIDECTOMY," $6,225 ",,
21073,MANIPJ OF TMJ W/ANESTH," $1,498 ",,
21110,APPLY INTERDENTAL FIXATION DEVICE," $1,498 ",,
21141,"RECONST LEFORT I, SINGLE, W/O BONE GRAFT"," $1,672 ",,
21172,RECONST SUP-LAT ORBITAL RIM & LWR FOREHD," $8,249 ",,
21181,"RECONSTRUCT. CRANIAL BONES, BENIGNTUMOR"," $7,196 ",,
21194,OSTEOTOMY MANDIBLE W/BONE GRAFT," $4,485 ",,
21195,RECONSTR M RAMI WO INT FIXION," $6,225 ",,
21196,RECONSTR M RAMI W INT FIXATION," $4,659 ",,
21209,OSTEOPLASTY FACIAL BONES REDUCTION," $6,225 ",,
21210,GRAFT BONE NASAL/MAXIL/MA," $9,066 ",,
21215,GRAFT BONE MANDIBLE," $11,601 ",,
21235,EAR CARTILAG GRFT NSE/EAR," $3,469 ",,
21240,ARTHROPLASTY TMJ," $6,225 ",,
21242,"ARTHOPLASTY, TMJ WITH ALLOGRAFT"," $7,229 ",,
21243,"ARTHROPLASTY, TMJ W/PROSTHETIC JT RPLCMT"," $17,951 ",,
21244,REC MANDIBL W TT BONE PLM," $6,225 ",,
21245,"MANDIBLE/MAXILLA RECONSTRUCTION, PARTIAL"," $7,367 ",,
21247,RECNSTR MANDIB W AUTOGRFT," $1,924 ",,
21248,"RECONSTRUCT OF MANDIBLE/MAXILLA, PARTIAL"," $7,372 ",,
21256,"RECONSTN ORBIT W/OSTEOTOMIES, BONE GRAFT"," $7,464 ",,
21282,LATERAL CANTHOPEXY," $3,096 ",,
21295,REDUCTION MASSETER M&B; EXTRAORAL," $1,375 ",,
21299,UNLISTED CRANIOFACIAL & MAXILLOFACIAL PROCEDURE,   ,,
21315,Nasal Fx Closed W/O Stabi," $2,694 ",,
21320,"Closed Txmt, Nasal Fx W/Stablization"," $3,135 ",,
21325,"OPEN TX NASAL FRACTURE, UNCOMPLICATED"," $3,469 ",,
21330,NASAL FX OPEN TX+INT/EXT," $3,469 ",,
21335,OPEN TX NASAL FX W/OPEN TX FX SEPTUM," $3,693 ",,
21336,OPEN TREATMENT NASAL SEPTAL FRACTURE," $4,738 ",,
21337,CLO TX SEPTAL FX," $3,469 ",,
21338,OPEN TX NASOETHMOID FX W/O  EXT FIXATION," $7,223 ",,
21343,OPEN TX DEPRESSED FRONTAL SINUS FRACTURE," $1,533 ",,
21344,OPEN TX COMPLICATED FRONTAL SINUS FX," $1,731 ",,
21345,CLSD TX NASOMAXILLARY COMPLEX FRACTURE," $2,458 ",,
21347,LEFORT II FX OPEN TX MULT," $1,446 ",,
21355,MALAR FRAC SIMPLE CLOSED," $1,013 ",,
21356,OPEN FX ZYGOMATIC ARCH," $3,469 ",,
