"SVCCD","Description","PRICE1","As of Date"
"1061538","S-REM ENDO VENA CAVA",9668.92,"7/2/2019"
"1061540","S-REM-REP PM GEN SNG",53974.57,"7/2/2019"
"1061541","S-REM-REP PM GEN DUL",62276.70,"7/2/2019"
"1061542","S-REM-REP PM GEN MLT",62276.70,"7/2/2019"
"1061546","S-REM-REP CVD DUAL  ",99999.99,"7/2/2019"
"1061547","S-REM-REP CVD MULT  ",99999.99,"7/2/2019"
"1061554","IC-PRQ CRD STN W-ANG",27820.11,"7/2/2019"
"1061555","IC-PRQ STNT W-ANG EA",27820.11,"7/2/2019"
"1061560","IC-PRQ CARD REV 1 VS",32636.30,"7/2/2019"
"1061564","IC-PRQ DE COR STNT  ",33723.43,"7/2/2019"
"1061565","IC-PRQ DE COR STNT B",33723.43,"7/2/2019"
"1061566","IC-PRQ DE CR STNT AR",31225.40,"7/2/2019"
"1061568","IC-PRQ DE CR REV CAB",33723.43,"7/2/2019"
"1061569","IC-PR DE CR RV CAB B",33723.43,"7/2/2019"
"1061570","IC-PRQ DE CR REV AMI",33723.43,"7/2/2019"
"1061571","IC-PRQ DE COR REV CH",33723.43,"7/2/2019"
"1061573","S-TRNSCTH THROM ART ",5964.11,"7/2/2019"
"1061574","S-TRNSCTH THROM VEN ",5964.11,"7/2/2019"
"1061575","S-TRNCTH THRM ART VN",7737.15,"7/2/2019"
"1061582","IR-ANG CRT EXT CC BI",12463.00,"7/2/2019"
"1061587","IR-ANG SUBCL IPS UNI",19143.84,"7/2/2019"
"1061588","IR-ANG SUBCL IPS BI ",27743.00,"7/2/2019"
"1061594","IR-VASC EMB-OCC VENO",21192.14,"7/2/2019"
"1061595","IR-VASC EMB-OCC ARTY",68671.00,"7/2/2019"
"1061598","IR-TC PLC STN ART IN",42039.00,"7/2/2019"
"1061669","CC-RPR ILIO-ILI NDGF",21382.98,"7/2/2019"
"1061682","S-RPLC COMP T CVC WO",16466.96,"7/2/2019"
"1061684","S-RMV TUN CVC WO SQ ",1760.08,"7/2/2019"
"1061701","IR-CAT DIAL DIAG ANG",3063.00,"7/2/2019"
"1061702","IR-CAT DIAL TRAN BAL",20124.72,"7/2/2019"
"1061705","IR-THRMBC TRAN BAL  ",80694.36,"7/2/2019"
"1061802","IR-TLUM BAL ANG 1STV",22294.44,"7/2/2019"
"1110801","OR LEV 1 INI 15 MIN ",4817.00,"7/2/2019"
"1110802","OR LEV 2 INI 15 MIN ",6355.00,"7/2/2019"
"1110803","OR LEV 3 INI 15 MIN ",7822.00,"7/2/2019"
"1110804","OR LEV 4 INI 15 MIN ",9740.00,"7/2/2019"
"1110805","OR LEV 5 INI 15 MIN ",11108.00,"7/2/2019"
"1110806","OR LEV 6 INI 15 MIN ",13918.00,"7/2/2019"
"1110811","OR LEV 1 EA ADD MIN ",145.00,"7/2/2019"
"1110812","OR LEV 2 EA ADD MIN ",155.00,"7/2/2019"
"1110813","OR LEV 3 EA ADD MIN ",165.00,"7/2/2019"
"1110814","OR LEV 4 EA ADD MIN ",175.00,"7/2/2019"
"1110815","OR LEV 5 EA ADD MIN ",185.00,"7/2/2019"
"1110816","OR LEV 6 EA ADD MIN ",195.00,"7/2/2019"
"1110821","AD PROCEDURE OR LV 1",1965.00,"7/2/2019"
"1110822","AD PROCEDURE OR LV 2",2390.00,"7/2/2019"
"1110823","AD PROCEDURE OR LV 3",2815.00,"7/2/2019"
"1110824","AD PROCEDURE OR LV 4",3240.00,"7/2/2019"
"1110825","AD PROCEDURE OR LV 5",3665.00,"7/2/2019"
"1110864","LITHOTRIPSY         ",42750.00,"7/2/2019"
"1110873","PAIN MGMT IN PROC L3",6053.00,"7/2/2019"
"1110874","PAIN MGMT IN PROC L4",33028.39,"7/2/2019"
"1120001","PACU LEV 1 INI 15 MN",1451.00,"7/2/2019"
"1120002","PACU LEV 2 INI 15 MN",1994.00,"7/2/2019"
"1120003","PACU LEV 3 INI 15 MN",2872.00,"7/2/2019"
"1120004","PACU LEV 4 INI 15 MN",3268.00,"7/2/2019"
"1120012","PACU LEV 2 EA ADD MN",37.00,"7/2/2019"
"1120013","PACU LEV 3 EA ADD MN",47.00,"7/2/2019"
"1120014","PACU LEV 4 EA ADD MN",86.00,"7/2/2019"
"1131111","ANES LV 1 INI 15 MIN",1131.00,"7/2/2019"
"1131112","ANES LV 2 INI 15 MIN",2365.00,"7/2/2019"
"1131113","ANES LV 3 INI 15 MIN",3647.00,"7/2/2019"
"1131114","ANES LV 4 INI 15 MIN",4424.00,"7/2/2019"
"1131121","ANES LV 1 EA ADD MIN",43.00,"7/2/2019"
"1131122","ANES LV 2 EA ADD MIN",52.00,"7/2/2019"
"1131123","ANES LV 3 EA ADD MIN",63.00,"7/2/2019"
"1131124","ANES LV 4 EA ADD MIN",77.00,"7/2/2019"
"1140171","PACU LEV 1 EA ADD MN",27.00,"7/2/2019"
"1140172","PACU LEV 2 EA ADD MN",37.00,"7/2/2019"
"1140173","PACU LEV 3 EA ADD MN",47.00,"7/2/2019"
"1140402","MSED GI SAMGT5 1ST15",544.00,"7/2/2019"
"1140403","MODSED SAME ADD15MIN",639.00,"7/2/2019"
"115110","R&B M/S PRIVATE     ",1677.00,"7/2/2019"
"115164","R&B ISOLATION       ",2177.00,"7/2/2019"
"115206","R&B M/S PVT TELEM   ",2660.00,"7/2/2019"
"1160111","GI LAB LEV 1 1ST 15 ",5220.00,"7/2/2019"
"1160112","GI LAB LEV 2 1ST 15 ",6420.00,"7/2/2019"
"1160113","GI LAB LEV 3 1ST 15 ",7620.00,"7/2/2019"
"1160114","GI LAB LEV 4 1ST 15 ",8820.00,"7/2/2019"
"1160121","GI LEV 1 EA ADD MIN ",64.00,"7/2/2019"
"1160122","GI LEV 2 EA ADD MIN ",94.00,"7/2/2019"
"1160123","GI LEV 3 EA ADD MIN ",97.00,"7/2/2019"
"1160124","GI LEV 4 EA ADD MIN ",228.00,"7/2/2019"
"1160131","AD PROCEDURE GI LV 1",2610.00,"7/2/2019"
"1160132","AD PROCEDURE GI LV 2",2868.00,"7/2/2019"
"1160134","AD PROCEDURE GI LV 4",3496.64,"7/2/2019"
"1160402","MSED GI SAMGT5 1ST15",544.00,"7/2/2019"
"1160403","MODSED SAME ADD15MIN",639.00,"7/2/2019"
"1210003","FLUVOXAMINE 25MG TAB",11.97,"7/2/2019"
"1210006","AMOXIC 400MG/5ML 5ML",11.79,"7/2/2019"
"1210027","ALTEPLASE RECOM 1MG ",602.82,"7/2/2019"
"1210031","NICARDIP 25/10ML INJ",200.48,"7/2/2019"
"1210090","LEVETIRACET 10MG INJ",17.32,"7/2/2019"
"1210134","PRAMO1-HC AC1%FM 10G",398.61,"7/2/2019"
"1210140","CLOPIDOGREL 300MG TB",169.14,"7/2/2019"
"1210145","CEFEPIME 500MG INJ  ",161.35,"7/2/2019"
"1210148","ALTEPLASE RECOM 1MG ",734.98,"7/2/2019"
"1210149","CEFOXITIN 1GM INJ   ",23.94,"7/2/2019"
"1210164","OCTREOTIDE ND 25MCG ",6.79,"7/2/2019"
"1210176","FOSPHENYTOIN 50MG   ",86.86,"7/2/2019"
"1210181","ENOXAPARIN 10MG INJ ",17.80,"7/2/2019"
"1210182","ENOXAPARIN 10MG INJ ",18.13,"7/2/2019"
"1210186","ENOXAPARIN 10MG INJ ",18.62,"7/2/2019"
"1210187","ENOXAPARIN 10MG INJ ",17.92,"7/2/2019"
"1210188","AMPICILLIN/SUB 1.5GM",153.00,"7/2/2019"
"1210194","CEFAZOLIN 500MG INJ ",64.79,"7/2/2019"
"1210195","CEFTRIAXONE 250MGINJ",99.12,"7/2/2019"
"1210196","CEFTRIAXONE 250MGINJ",93.34,"7/2/2019"
"1210199","CEFTAZIDIM 500MG INJ",71.54,"7/2/2019"
"1210205","DEXAMETH NA 1MG INJ ",4.49,"7/2/2019"
"1210206","PHENYTOIN NA 50MGINJ",24.70,"7/2/2019"
"1210207","DOBUTAMINE 250MG INJ",153.96,"7/2/2019"
"1210210","MEROPENEM 100MG INJ ",134.41,"7/2/2019"
"1210212","ACYCLOVIR 5MG INJ   ",4.49,"7/2/2019"
"1210224","LEVOFLOXAC 250MG INJ",382.91,"7/2/2019"
"1210225","LEVOFLOXAC 250MG INJ",386.52,"7/2/2019"
"1210236","AMPICILLIN 500MG INJ",136.64,"7/2/2019"
"1210237","AMPICILLIN 500MG INJ",136.64,"7/2/2019"
"1210238","FLUCONAZOL 200MG INJ",221.01,"7/2/2019"
"1210255","BETAXOLOL 0.5% OS 5M",157.81,"7/2/2019"
"1210257","CYCLOBENZAPRI 5MG TB",18.69,"7/2/2019"
"1210262","FUROSEMIDE 20MG INJ ",269.76,"7/2/2019"
"1210263","FUROSEMIDE 20MG INJ ",17.32,"7/2/2019"
"1210266","MEGESTROL 400MG/10ML",84.14,"7/2/2019"
"1210267","MEPERID HCL 100MGINJ",105.54,"7/2/2019"
"1210290","PHENYLEPH 2.5%OS 15M",145.95,"7/2/2019"
"1210294","PIPER/TAZOB 1G/.125G",26.85,"7/2/2019"
"1210335","GENTAMICIN UPTO 80MG",69.61,"7/2/2019"
"1210336","BENZ 20%DENT LIQ 30M",28.24,"7/2/2019"
"1210337","OXYCODONE 15MG TAB  ",24.59,"7/2/2019"
"1210342","AMIODARONE 30MG INJ ",17.32,"7/2/2019"
"1210358","AMOX400-CLAV57 50ML ",15.79,"7/2/2019"
"1210371","CARBID25-LEVO100MGTB",18.59,"7/2/2019"
"1210474","PANTOPRAZ 40MG PKT  ",43.71,"7/2/2019"
"1210487","VANCOMYCIN 500MG INJ",42.43,"7/2/2019"
"1210507","DEXAMETH 0.25MG ORAL",16.74,"7/2/2019"
"1210537","MIDAZOL  HCL 1MG INJ",17.32,"7/2/2019"
"1210538","MIDAZOL  HCL 1MG INJ",20.22,"7/2/2019"
"1210539","HEPARIN 1000U INJ   ",37.79,"7/2/2019"
"1210552","PHYTONADIONE 1MG INJ",27.91,"7/2/2019"
"1210554","IPRA-ALBU.5-2.5MG/3M",36.26,"7/2/2019"
"1210558","VANCOMYCIN 500MG INJ",102.11,"7/2/2019"
"1210589","CLOBETA .05% OIN 30G",320.64,"7/2/2019"
"1210719","BENZ 20%TOP SPR 60ML",17.81,"7/2/2019"
"1210736","MAGNES SULF 500MGINJ",36.89,"7/2/2019"
"1210739","POTASSI CHL 2MEQ INJ",1.03,"7/2/2019"
"1210741","MORPHINE UP TO 10MG ",29.51,"7/2/2019"
"1210745","DELSYM 30MG/5ML 90ML",9.21,"7/2/2019"
"1210757","TRANEXAMIC 1000MG IJ",2719.93,"7/2/2019"
"1210801","DEXAMETH NA 1MG INJ ",17.32,"7/2/2019"
"1210802","DEXAMETH NA 1MG INJ ",53.57,"7/2/2019"
"1210822","ALBUMIN 25% 50ML IV ",357.65,"7/2/2019"
"1210883","DEXAMETH 0.25MG ORAL",12.32,"7/2/2019"
"1210886","IVIG (FLEBOGAM)500MG",276.56,"7/2/2019"
"1210892","ALBUTEROL 90MCG 8GM ",318.19,"7/2/2019"
"1210901","HEPARIN 1000U INJ   ",11.44,"7/2/2019"
"1210902","HEPARIN 1000U INJ   ",11.44,"7/2/2019"
"1210926","TRIAMCINOL A 1MG INJ",30.91,"7/2/2019"
"1210961","REGADENOSON 0.1MG IJ",437.73,"7/2/2019"
"1210968","LORAZEPAM 2MG INJ   ",184.76,"7/2/2019"
"1210989","PYRANTEL 144MG/ML 1M",80.27,"7/2/2019"
"1211033","POTASSI CHL 2MEQ INJ",59.66,"7/2/2019"
"1211034","POTASSI CHL 2MEQ INJ",17.65,"7/2/2019"
"1211035","DOPAMIN HCL 40MG INJ",19.25,"7/2/2019"
"1211037","MIDAZOL  HCL 1MG INJ",17.32,"7/2/2019"
"1211039","GENTAMICIN UPTO 80MG",17.65,"7/2/2019"
"1211045","METHOTREX NA 5MG    ",12.06,"7/2/2019"
"1211051","EPO 1000UN INJ NESRD",196.96,"7/2/2019"
"1211052","EPO 1000UN INJ NESRD",109.89,"7/2/2019"
"1211091","HYDROCORTIS 100MGINJ",163.59,"7/2/2019"
"1211093","ROPIVACAINE 1MG INJ ",2.05,"7/2/2019"
"1211109","ACETYLCYS 20%INH 30M",173.53,"7/2/2019"
"1211117","HEPARIN NA 10U FLUSH",0.39,"7/2/2019"
"1211122","TRIAMCIN ACE 10MGINJ",39.13,"7/2/2019"
"1211140","ROPIVACAINE 1MG INJ ",1.79,"7/2/2019"
"1211142","CEFOXITIN 1GM INJ   ",171.29,"7/2/2019"
"1211143","CEFOXITIN 1GM INJ   ",209.13,"7/2/2019"
"1211154","VANCOMYCIN 500MG INJ",50.98,"7/2/2019"
"1211157","SOD CHLOR .9% 10ML  ",6.95,"7/2/2019"
"1211187","MAGNES SULF 500MGINJ",17.32,"7/2/2019"
"1211190","TUBERCU 5U/.1ML .1ML",42.57,"7/2/2019"
"1211192","CALCIUM CL 10% 10ML ",30.79,"7/2/2019"
"1211198","SOD BICARB 8.4% 50ML",112.59,"7/2/2019"
"1211199","DEXTROSE 50% 50ML   ",32.71,"7/2/2019"
"1211201","PHENYLEPH 1% SPR 15M",10.83,"7/2/2019"
"1211208","K & NA PHOS PWD PKT ",2.96,"7/2/2019"
"1211212","MORPH PO 10MG/5ML 5M",22.03,"7/2/2019"
"1211215","AMINOPHYLL 250MG INJ",17.65,"7/2/2019"
"1211221","LIDOCAINE 10MG IV   ",1.02,"7/2/2019"
"1211223","METHYLPRED 125MG INJ",71.31,"7/2/2019"
"1211347","MILRINONE 5MG INJ   ",82.76,"7/2/2019"
"1211368","NOREPI 4MG D5W 250ML",339.61,"7/2/2019"
"1211393","CARBAMAZE 100MG/5ML ",143.70,"7/2/2019"
"1211422","SOD CHL 3% 4ML NEB  ",6.59,"7/2/2019"
"1211455","IVIG (GAMMAGD) 500MG",347.93,"7/2/2019"
"1211507","DRONEDRARONE 400MG  ",70.63,"7/2/2019"
"1211513","MESALAMINE ER 375MG ",24.05,"7/2/2019"
"1211520","PRASUGREL 10MG TAB  ",45.23,"7/2/2019"
"1211531","NEOSTIGMINE .5MG INJ",17.30,"7/2/2019"
"1211596","SOD PHO 150MMOL/50ML",242.49,"7/2/2019"
"1211639","GLYCERIN 2GM SUPP   ",1.00,"7/2/2019"
"1211643","ATROPINE 0.01MG INJ ",1.79,"7/2/2019"
"1211645","ATROPINE 0.01MG INJ ",2.05,"7/2/2019"
"1211765","BUDESONIDE 0.5MG/2ML",119.32,"7/2/2019"
"1211786","PN VIT/FE/FA 27-.8TB",1.00,"7/2/2019"
"1211886","RIFAXIMIN 550MG TAB ",163.43,"7/2/2019"
"1211906","AMY-LIP-PRO 27-5-17 ",15.45,"7/2/2019"
"1211940","HYDR PEROX 1.5% 240M",12.15,"7/2/2019"
"1212092","SUCCINYLCHN 20MG INJ",18.96,"7/2/2019"
"1212096","DABIGATRAN 75MG TAB ",36.90,"7/2/2019"
"1212114","CROTALID POLY IM 1GM",23976.52,"7/2/2019"
"1212118","ADRENL/EPINEP 0.1MG ",11.44,"7/2/2019"
"1212119","ADRENL/EPINEP 0.1MG ",4.69,"7/2/2019"
"1212135","PEN G BENZ INJ 100K ",100.19,"7/2/2019"
"1212136","PEN G BENZ INJ 100K ",86.78,"7/2/2019"
"1212213","CEFTAROLIN 10MG INJ ",31.34,"7/2/2019"
"1212217","INSULIN 1 UNT INJ   ",5.13,"7/2/2019"
"1212221","INSULIN 1 UNT INJ   ",5.13,"7/2/2019"
"1212223","INSULIN 1 UNT INJ   ",2.00,"7/2/2019"
"1212224","INSULIN 1 UNT INJ   ",5.13,"7/2/2019"
"1212226","INSULIN 1 UNT INJ   ",2.00,"7/2/2019"
"1212227","INSULIN 1 UNT INJ   ",5.13,"7/2/2019"
"1212270","AMIODARONE 30MG INJ ",48.11,"7/2/2019"
"1212275","DIMETHIC 1%CRM 120ML",58.72,"7/2/2019"
"1212276","MICONAZOLE 2%PWD 85G",42.24,"7/2/2019"
"1212277","CALAZYME 113GM      ",35.78,"7/2/2019"
"1212281","SKIN REPAIR CR 118ML",11.18,"7/2/2019"
"1212282","MICONAZOLE 2%CR 118G",57.33,"7/2/2019"
"1212283","RIVAROXABAN 10MG TAB",60.88,"7/2/2019"
"1212286","ROFLUMILAS 500MCG TB",37.15,"7/2/2019"
"1212287","OSELTAMIV 6MG/ML 5ML",79.22,"7/2/2019"
"1212291","ANTIMICROBIAL CLEANS",39.15,"7/2/2019"
"1212294","TICAGRELOR 90MG TAB ",40.68,"7/2/2019"
"1212310","ONDANSETRON 4MG ODT ",11.10,"7/2/2019"
"1212332","RIVAROXABAN 15MG TAB",72.87,"7/2/2019"
"1212349","LEVOTHYROX 100MCG IV",699.84,"7/2/2019"
"1212361","H-COD7.5-APAP325 15M",22.24,"7/2/2019"
"1212377","LEVETIRACET 10MG INJ",4.75,"7/2/2019"
"1212416","CEFAZOLIN 500MG INJ ",87.58,"7/2/2019"
"1212430","SEVELAM CARB 800MGTB",10.51,"7/2/2019"
"1212467","PHENYLEP 1MG NS 10ML",73.38,"7/2/2019"
"1212470","NEOSTIGMINE .5MG INJ",11.09,"7/2/2019"
"1212547","ROPIVACAINE 1MG INJ ",1.54,"7/2/2019"
"1212550","ROPIVACAINE 1MG INJ ",2.31,"7/2/2019"
"1212812","METHYLNALTR .1MG INJ",8.34,"7/2/2019"
"1212879","TOBRAMYCIN UPTO 80MG",55.50,"7/2/2019"
"1212906","BENZO/MENT 15-2.6LOZ",1.00,"7/2/2019"
"1212933","AL400-MG400-SIM40/5M",5.60,"7/2/2019"
"1213037","NALOXONE HCL 1MG INJ",699.68,"7/2/2019"
"1213038","APIXABAN 2.5MG TAB  ",36.19,"7/2/2019"
"1213039","APIXABAN 5MG TAB    ",38.55,"7/2/2019"
"1213134","MORPHINE PF 10MG INJ",10.59,"7/2/2019"
"1213136","MORPHINE PF 10MG INJ",10.59,"7/2/2019"
"1213233","DIPHE2-ZNACE.1%CR30G",16.36,"7/2/2019"
"1213396","PERMETHRI 1%CRM 60ML",23.90,"7/2/2019"
"1213506","SKIN OIL 420ML      ",15.40,"7/2/2019"
"1213544","FLU VAC QUAD 3YR-ADU",125.43,"7/2/2019"
"1213566","K PHOS DI 3MM/ML 5ML",65.08,"7/2/2019"
"1213625","CEFDIN 125MG/5ML 5ML",20.53,"7/2/2019"
"1213710","ADENOSINE 1MG INJ   ",5.62,"7/2/2019"
"1213711","ADENOSINE 1MG INJ   ",6.56,"7/2/2019"
"1213712","CHLORPROMAZIN 5MG PO",8.73,"7/2/2019"
"1213852","TIROFIBAN 0.25MG INJ",50.02,"7/2/2019"
"1214003","ADENOSINE 1MG INJ   ",62.17,"7/2/2019"
"1214008","PROPOFOL 10MG INJ   ",12.14,"7/2/2019"
"1214009","PROPOFOL 10MG INJ   ",12.14,"7/2/2019"
"1214010","PROPOFOL 10MG INJ   ",12.14,"7/2/2019"
"1214154","SACUT24-VALSA26MG TB",44.71,"7/2/2019"
"1214178","TICAGRELOR 60MG TAB ",40.68,"7/2/2019"
"1214180","PURAPLY SQ CM       ",700.00,"7/2/2019"
"1214282","TBO-FILGRASTIM 1MCG ",4.18,"7/2/2019"
"1214284","PREDNISONE 1MG ORAL ",13.50,"7/2/2019"
"1214286","PREDNISONE 1MG ORAL ",18.28,"7/2/2019"
"1214375","METHYLENE BLUE.5%10M",1189.02,"7/2/2019"
"1214378","NUSHIELD SQ CM      ",700.00,"7/2/2019"
"1214398","TIROFIBAN 0.25MG INJ",28.42,"7/2/2019"
"1214502","LUBRICANT GEL 6.7GM ",12.21,"7/2/2019"
"1214651","ALOGLIPTIN 12.5MG TB",26.25,"7/2/2019"
"1214823","ALOGLIPTIN 25MG TAB ",30.25,"7/2/2019"
"1214825","PURAPLY AM SQ CM    ",700.00,"7/2/2019"
"1216941","ACEBUTOLOL 200MG CAP",13.34,"7/2/2019"
"1216942","APAP 160MG/5ML 5ML  ",1.00,"7/2/2019"
"1216945","ACETAMINOPH 500MG TB",1.00,"7/2/2019"
"1216946","ACETAMINO 120MG SUPP",1.00,"7/2/2019"
"1216947","ACETAMINOPHEN 325MG ",1.00,"7/2/2019"
"1216948","ACETAMINOPHEN 650MGS",1.00,"7/2/2019"
"1216950","ACETAZOLAMIDE 250MG ",14.12,"7/2/2019"
"1216954","ACETYLCYS 20%INH 4ML",63.19,"7/2/2019"
"1216955","ACTIV CHARC LIQ 120M",78.59,"7/2/2019"
"1216958","ACYCLOVIR 200MG CAP ",16.07,"7/2/2019"
"1216966","ALLOPURINOL 100MG TB",12.90,"7/2/2019"
"1216969","ALPRAZOLAM 0.25MG TB",14.77,"7/2/2019"
"1216970","ALPRAZOLAM 1MG TAB  ",16.68,"7/2/2019"
"1216973","AMANTADINE 100MG CAP",14.71,"7/2/2019"
"1216978","AMINOCAP AC 500MG TB",40.06,"7/2/2019"
"1216980","AMITRIPTYLINE 25MGTB",13.57,"7/2/2019"
"1216981","AMITRIPTYLINE 10MG T",12.36,"7/2/2019"
"1216985","GUAIF600-DM30MG ERTB",1.43,"7/2/2019"
"1216990","AMOX500-KCLAV125MGTB",32.98,"7/2/2019"
"1216991","AMOX875-CLAV125MG TB",34.98,"7/2/2019"
"1216993","AMOXICILLIN 250MG CP",11.52,"7/2/2019"
