MS_DRG,Description,Category,Median Price
266,Endovascular cardiac valve replacement w MCC,HEART & VASCULAR,"$258,548 "
267,Endovascular cardiac valve replacement w/o MCC,HEART & VASCULAR,"$212,314 "
268,Aortic and heart assist procedures except pulsation balloon w MCC,HEART & VASCULAR,"$307,668 "
269,Aortic and heart assist procedures except pulsation balloon w/o MCC,HEART & VASCULAR,"$190,403 "
270,Other major cardiovascular procedures w MCC,HEART & VASCULAR,"$290,680 "
271,Other major cardiovascular procedures w CC,HEART & VASCULAR,"$187,237 "
272,Other major cardiovascular procedures w/o CC/MCC,HEART & VASCULAR,"$135,245 "
273,Percutaneous intracardiac procedures w MCC,HEART & VASCULAR,"$269,609 "
274,Percutaneous intracardiac procedures w/o MCC,HEART & VASCULAR,"$112,814 "
280,"Acute myocardial infarction, discharged alive w MCC",HEART & VASCULAR,"$69,494 "
281,"Acute myocardial infarction, discharged alive w CC",HEART & VASCULAR,"$41,378 "
282,"Acute myocardial infarction, discharged alive w/o CC/MCC",HEART & VASCULAR,"$31,179 "
283,"Acute myocardial infarction, expired w MCC",HEART & VASCULAR,"$67,780 "
286,"Circulatory disorders except AMI, w card cath w MCC",HEART & VASCULAR,"$115,626 "
287,"Circulatory disorders except AMI, w card cath w/o MCC",HEART & VASCULAR,"$56,040 "
288,Acute & subacute endocarditis w MCC,HEART & VASCULAR,"$101,121 "
291,Heart failure & shock w MCC,HEART & VASCULAR,"$56,218 "
292,Heart failure & shock w CC,HEART & VASCULAR,"$33,450 "
293,Heart failure & shock w/o CC/MCC,HEART & VASCULAR,"$23,736 "
294,Deep vein thrombophlebitis w CC/MCC,HEART & VASCULAR,"$18,960 "
299,Peripheral vascular disorders w MCC,HEART & VASCULAR,"$126,272 "
300,Peripheral vascular disorders w CC,HEART & VASCULAR,"$59,281 "
301,Peripheral vascular disorders w/o CC/MCC,HEART & VASCULAR,"$40,760 "
302,Atherosclerosis w MCC,HEART & VASCULAR,"$115,314 "
303,Atherosclerosis w/o MCC,HEART & VASCULAR,"$19,432 "
304,Hypertension w MCC,HEART & VASCULAR,"$46,160 "
305,Hypertension w/o MCC,HEART & VASCULAR,"$29,194 "
306,Cardiac congenital & valvular disorders w MCC,HEART & VASCULAR,"$63,925 "
307,Cardiac congenital & valvular disorders w/o MCC,HEART & VASCULAR,"$29,436 "
308,Cardiac arrhythmia & conduction disorders w MCC,HEART & VASCULAR,"$51,241 "
309,Cardiac arrhythmia & conduction disorders w CC,HEART & VASCULAR,"$27,992 "
310,Cardiac arrhythmia & conduction disorders w/o CC/MCC,HEART & VASCULAR,"$17,571 "
311,Angina pectoris,HEART & VASCULAR,"$12,546 "
312,Syncope & collapse,HEART & VASCULAR,"$26,786 "
313,Chest pain,HEART & VASCULAR,"$24,908 "
314,Other circulatory system diagnoses w MCC,HEART & VASCULAR,"$89,821 "
315,Other circulatory system diagnoses w CC,HEART & VASCULAR,"$59,569 "
316,Other circulatory system diagnoses w/o CC/MCC,HEART & VASCULAR,"$29,631 "
326,"Stomach, esophageal & duodenal proc w MCC",DIGESTIVE HEALTH,"$201,790 "
327,"Stomach, esophageal & duodenal proc w CC",DIGESTIVE HEALTH,"$102,751 "
328,"Stomach, esophageal & duodenal proc w/o CC/MCC",DIGESTIVE HEALTH,"$50,676 "
329,Major small & large bowel procedures w MCC,DIGESTIVE HEALTH,"$176,045 "
330,Major small & large bowel procedures w CC,DIGESTIVE HEALTH,"$84,406 "
331,Major small & large bowel procedures w/o CC/MCC,DIGESTIVE HEALTH,"$55,104 "
334,Rectal resection w/o CC/MCC,ONCOLOGY,"$50,005 "
335,Peritoneal adhesiolysis w MCC,DIGESTIVE HEALTH,"$196,053 "
336,Peritoneal adhesiolysis w CC,DIGESTIVE HEALTH,"$94,989 "
337,Peritoneal adhesiolysis w/o CC/MCC,DIGESTIVE HEALTH,"$50,605 "
339,Appendectomy w complicated principal diag w CC,DIGESTIVE HEALTH,"$42,274 "
340,Appendectomy w complicated principal diag w/o CC/MCC,DIGESTIVE HEALTH,"$37,724 "
342,Appendectomy w/o complicated principal diag w CC,DIGESTIVE HEALTH,"$56,464 "
343,Appendectomy w/o complicated principal diag w/o CC/MCC,DIGESTIVE HEALTH,"$33,071 "
344,Minor small & large bowel procedures w MCC,DIGESTIVE HEALTH,"$49,359 "
345,Minor small & large bowel procedures w CC,DIGESTIVE HEALTH,"$52,652 "
346,Minor small & large bowel procedures w/o CC/MCC,DIGESTIVE HEALTH,"$31,939 "
347,Anal & stomal procedures w MCC,DIGESTIVE HEALTH,"$21,836 "
348,Anal & stomal procedures w CC,DIGESTIVE HEALTH,"$61,351 "
349,Anal & stomal procedures w/o CC/MCC,DIGESTIVE HEALTH,"$83,334 "
351,Inguinal & femoral hernia procedures w CC,DIGESTIVE HEALTH,"$33,476 "
352,Inguinal & femoral hernia procedures w/o CC/MCC,DIGESTIVE HEALTH,"$42,090 "
353,Hernia procedures except inguinal & femoral w MCC,DIGESTIVE HEALTH,"$93,057 "
354,Hernia procedures except inguinal & femoral w CC,DIGESTIVE HEALTH,"$65,877 "
355,Hernia procedures except inguinal & femoral w/o CC/MCC,DIGESTIVE HEALTH,"$43,433 "
356,Other digestive system O.R. procedures w MCC,DIGESTIVE HEALTH,"$135,935 "
357,Other digestive system O.R. procedures w CC,DIGESTIVE HEALTH,"$94,367 "
358,Other digestive system O.R. procedures w/o CC/MCC,DIGESTIVE HEALTH,"$46,613 "
368,Major esophageal disorders w MCC,DIGESTIVE HEALTH,"$51,134 "
369,Major esophageal disorders w CC,DIGESTIVE HEALTH,"$52,664 "
370,Major esophageal disorders w/o CC/MCC,DIGESTIVE HEALTH,"$97,617 "
371,Major gastrointestinal disorders & peritoneal infections w MCC,DIGESTIVE HEALTH,"$86,633 "
372,Major gastrointestinal disorders & peritoneal infections w CC,DIGESTIVE HEALTH,"$45,687 "
373,Major gastrointestinal disorders & peritoneal infections w/o CC/MCC,DIGESTIVE HEALTH,"$38,731 "
374,Digestive malignancy w MCC,ONCOLOGY,"$65,475 "
375,Digestive malignancy w CC,ONCOLOGY,"$51,287 "
376,Digestive malignancy w/o CC/MCC,ONCOLOGY,"$31,303 "
377,G.I. hemorrhage w MCC,DIGESTIVE HEALTH,"$95,398 "
378,G.I. hemorrhage w CC,DIGESTIVE HEALTH,"$45,407 "
379,G.I. hemorrhage w/o CC/MCC,DIGESTIVE HEALTH,"$29,707 "
380,Complicated peptic ulcer w MCC,DIGESTIVE HEALTH,"$121,145 "
381,Complicated peptic ulcer w CC,DIGESTIVE HEALTH,"$57,882 "
382,Complicated peptic ulcer w/o CC/MCC,DIGESTIVE HEALTH,"$31,396 "
383,Uncomplicated peptic ulcer w MCC,DIGESTIVE HEALTH,"$76,781 "
384,Uncomplicated peptic ulcer w/o MCC,DIGESTIVE HEALTH,"$28,341 "
385,Inflammatory bowel disease w MCC,DIGESTIVE HEALTH,"$56,995 "
386,Inflammatory bowel disease w CC,DIGESTIVE HEALTH,"$38,706 "
387,Inflammatory bowel disease w/o CC/MCC,DIGESTIVE HEALTH,"$32,963 "
388,G.I. obstruction w MCC,DIGESTIVE HEALTH,"$84,712 "
389,G.I. obstruction w CC,DIGESTIVE HEALTH,"$34,152 "
390,G.I. obstruction w/o CC/MCC,DIGESTIVE HEALTH,"$23,307 "
391,"Esophagitis, gastroent & misc digest disorders w MCC",DIGESTIVE HEALTH,"$56,028 "
392,"Esophagitis, gastroent & misc digest disorders w/o MCC",DIGESTIVE HEALTH,"$27,548 "
393,Other digestive system diagnoses w MCC,DIGESTIVE HEALTH,"$65,281 "
394,Other digestive system diagnoses w CC,DIGESTIVE HEALTH,"$48,712 "
395,Other digestive system diagnoses w/o CC/MCC,DIGESTIVE HEALTH,"$46,533 "
405,"Pancreas, liver & shunt procedures w MCC",DIGESTIVE HEALTH,"$248,363 "
406,"Pancreas, liver & shunt procedures w CC",DIGESTIVE HEALTH,"$96,523 "
407,"Pancreas, liver & shunt procedures w/o CC/MCC",DIGESTIVE HEALTH,"$71,630 "
409,Biliary tract proc except only cholecyst w or w/o c.d.e. w CC,DIGESTIVE HEALTH,"$65,097 "
410,Biliary tract proc except only cholecyst w or w/o c.d.e. w/o CC/MCC,DIGESTIVE HEALTH,"$64,583 "
411,Cholecystectomy w c.d.e. w MCC,DIGESTIVE HEALTH,"$100,072 "
413,Cholecystectomy w c.d.e. w/o CC/MCC,DIGESTIVE HEALTH,"$73,955 "
414,Cholecystectomy except by laparoscope w/o c.d.e. w MCC,DIGESTIVE HEALTH,"$153,507 "
415,Cholecystectomy except by laparoscope w/o c.d.e. w CC,DIGESTIVE HEALTH,"$69,398 "
416,Cholecystectomy except by laparoscope w/o c.d.e. w/o CC/MCC,DIGESTIVE HEALTH,"$54,223 "
417,Laparoscopic cholecystectomy w/o c.d.e. w MCC,DIGESTIVE HEALTH,"$91,357 "
418,Laparoscopic cholecystectomy w/o c.d.e. w CC,DIGESTIVE HEALTH,"$84,233 "
419,Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC,DIGESTIVE HEALTH,"$45,591 "
421,Hepatobiliary diagnostic procedures w CC,DIGESTIVE HEALTH,"$81,466 "
423,Other hepatobiliary or pancreas O.R. procedures w MCC,DIGESTIVE HEALTH,"$119,757 "
432,Cirrhosis & alcoholic hepatitis w MCC,DIGESTIVE HEALTH,"$107,882 "
433,Cirrhosis & alcoholic hepatitis w CC,DIGESTIVE HEALTH,"$40,797 "
434,Cirrhosis & alcoholic hepatitis w/o CC/MCC,DIGESTIVE HEALTH,"$28,703 "
435,Malignancy of hepatobiliary system or pancreas w MCC,ONCOLOGY,"$70,691 "
436,Malignancy of hepatobiliary system or pancreas w CC,ONCOLOGY,"$40,049 "
437,Malignancy of hepatobiliary system or pancreas w/o CC/MCC,ONCOLOGY,"$42,692 "
438,Disorders of pancreas except malignancy w MCC,DIGESTIVE HEALTH,"$63,850 "
439,Disorders of pancreas except malignancy w CC,DIGESTIVE HEALTH,"$49,485 "
440,Disorders of pancreas except malignancy w/o CC/MCC,DIGESTIVE HEALTH,"$29,430 "
441,"Disorders of liver except malig,cirr,alc hepa w MCC",DIGESTIVE HEALTH,"$118,651 "
442,"Disorders of liver except malig,cirr,alc hepa w CC",DIGESTIVE HEALTH,"$46,146 "
443,"Disorders of liver except malig,cirr,alc hepa w/o CC/MCC",DIGESTIVE HEALTH,"$29,641 "
444,Disorders of the biliary tract w MCC,DIGESTIVE HEALTH,"$88,633 "
445,Disorders of the biliary tract w CC,DIGESTIVE HEALTH,"$54,534 "
446,Disorders of the biliary tract w/o CC/MCC,DIGESTIVE HEALTH,"$45,251 "
453,Combined anterior/posterior spinal fusion w MCC,NEUROSCIENCES,"$389,198 "
454,Combined anterior/posterior spinal fusion w CC,NEUROSCIENCES,"$235,653 "
455,Combined anterior/posterior spinal fusion w/o CC/MCC,NEUROSCIENCES,"$161,915 "
456,Spinal fus exc cerv w spinal curv/malig/infec or ext fus w MCC,NEUROSCIENCES,"$278,951 "
