DeKalb,,,
,,,
,,,
Standard Charges,,,
DRG (CADRG),Description,Average Charge Per Case,Average Medicare Payment Per Case
87,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC","23,437", NO Medicare Data 
91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"50,973", NO Medicare Data 
93,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"33,352","4,332"
100,SEIZURES W MCC,"86,641","9,312"
101,SEIZURES W/O MCC,"34,098","4,915"
103,HEADACHES W/O MCC,"36,897","4,571"
133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC","31,522","11,581"
134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC","30,573", NO Medicare Data 
152,OTITIS MEDIA & URI W MCC,"27,183","5,986"
153,OTITIS MEDIA & URI W/O MCC,"16,920","4,388"
156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC","30,468", NO Medicare Data 
163,MAJOR CHEST PROCEDURES W MCC,"174,531", NO Medicare Data 
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"140,666","20,300"
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"59,705","10,163"
168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,"72,897","7,352"
175,PULMONARY EMBOLISM W MCC,"53,288","8,353"
176,PULMONARY EMBOLISM W/O MCC,"42,106","5,204"
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"65,537","10,349"
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"42,427","7,357"
179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,"31,657","8,949"
180,RESPIRATORY NEOPLASMS W MCC,"19,953","9,611"
181,RESPIRATORY NEOPLASMS W CC,"44,041", NO Medicare Data 
184,MAJOR CHEST TRAUMA W CC,"31,589","5,904"
186,PLEURAL EFFUSION W MCC,"39,535", NO Medicare Data 
189,PULMONARY EDEMA & RESPIRATORY FAILURE,"65,671","6,977"
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"44,812","6,541"
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"39,458","5,293"
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"30,228","4,388"
193,SIMPLE PNEUMONIA & PLEURISY W MCC,"50,995","7,838"
194,SIMPLE PNEUMONIA & PLEURISY W CC,"40,595","5,358"
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"20,971","4,203"
200,PNEUMOTHORAX W CC,"54,758","6,217"
201,PNEUMOTHORAX W/O CC/MCC,"29,793","4,625"
202,BRONCHITIS & ASTHMA W CC/MCC,"12,160", NO Medicare Data 
203,BRONCHITIS & ASTHMA W/O CC/MCC,"16,065","3,995"
204,RESPIRATORY SIGNS & SYMPTOMS,"32,855", NO Medicare Data 
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"48,849","8,701"
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,"176,748","31,012"
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"90,688","13,468"
226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,"340,352","38,785"
229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,"190,521","27,120"
240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,"119,202","14,906"
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"210,200", NO Medicare Data 
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"207,070","12,449"
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"172,795","18,485"
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"130,441","12,079"
248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"179,712", NO Medicare Data 
249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,"108,662","11,081"
251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,"86,649","9,420"
252,OTHER VASCULAR PROCEDURES W MCC,"107,262","18,814"
253,OTHER VASCULAR PROCEDURES W CC,"111,883","15,121"
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,"175,781","28,211"
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,"187,207","19,116"
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","61,269","9,364"
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","39,689","5,723"
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","40,176","4,535"
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC","12,849","10,083"
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","62,683","12,687"
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","66,722","6,728"
289,ACUTE & SUBACUTE ENDOCARDITIS W CC,"78,312", NO Medicare Data 
291,HEART FAILURE & SHOCK W MCC,"59,016","8,376"
292,HEART FAILURE & SHOCK W CC,"41,491","5,592"
293,HEART FAILURE & SHOCK W/O CC/MCC,"31,739","4,054"
296,"CARDIAC ARREST, UNEXPLAINED W MCC","26,900","8,698"
299,PERIPHERAL VASCULAR DISORDERS W MCC,"41,150","7,999"
300,PERIPHERAL VASCULAR DISORDERS W CC,"34,779","5,791"
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"30,088", NO Medicare Data 
303,ATHEROSCLEROSIS W/O MCC,"33,980", NO Medicare Data 
304,HYPERTENSION W MCC,"40,356","5,958"
305,HYPERTENSION W/O MCC,"33,575","4,214"
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"56,020","6,870"
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"32,332","4,607"
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"27,327","3,512"
311,ANGINA PECTORIS,"34,844", NO Medicare Data 
312,SYNCOPE & COLLAPSE,"34,481","4,767"
313,CHEST PAIN,"15,157", NO Medicare Data 
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"32,764","11,421"
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"15,666", NO Medicare Data 
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"27,951", NO Medicare Data 
326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC","91,013", NO Medicare Data 
327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC","57,116", NO Medicare Data 
328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC","70,441", NO Medicare Data 
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"204,677","28,138"
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"93,702","15,188"
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"86,665","9,465"
336,PERITONEAL ADHESIOLYSIS W CC,"52,769", NO Medicare Data 
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,"45,432","9,443"
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,"63,154", NO Medicare Data 
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"43,892", NO Medicare Data 
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"28,285", NO Medicare Data 
345,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,"51,184","9,111"
346,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"18,878", NO Medicare Data 
348,ANAL & STOMAL PROCEDURES W CC,"18,803","8,245"
351,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,"68,056","8,692"
352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,"45,250","6,092"
353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,"75,510","17,005"
354,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,"44,609","10,057"
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,"86,166","21,503"
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"35,513","8,022"
371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"135,016","9,769"
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"40,911","6,077"
373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,"15,928", NO Medicare Data 
374,DIGESTIVE MALIGNANCY W MCC,"36,811","12,063"
375,DIGESTIVE MALIGNANCY W CC,"23,926", NO Medicare Data 
376,DIGESTIVE MALIGNANCY W/O CC/MCC,"35,601","5,577"
377,G.I. HEMORRHAGE W MCC,"68,359","9,781"
378,G.I. HEMORRHAGE W CC,"37,403","5,736"
379,G.I. HEMORRHAGE W/O CC/MCC,"23,280","3,911"
380,COMPLICATED PEPTIC ULCER W MCC,"50,841", NO Medicare Data 
382,COMPLICATED PEPTIC ULCER W/O CC/MCC,"43,510","4,713"
384,UNCOMPLICATED PEPTIC ULCER W/O MCC,"22,059","5,241"
388,G.I. OBSTRUCTION W MCC,"47,906", NO Medicare Data 
389,G.I. OBSTRUCTION W CC,"27,870","5,029"
390,G.I. OBSTRUCTION W/O CC/MCC,"22,975","3,725"
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","67,482","7,004"
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","25,898","4,613"
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"67,980", NO Medicare Data 
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"35,463","5,431"
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"24,762","4,039"
411,CHOLECYSTECTOMY W C.D.E. W MCC,"108,969", NO Medicare Data 
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,"68,574","11,794"
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"64,515","13,927"
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"67,557","9,440"
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"49,572","7,434"
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,"63,394","10,988"
423,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC,"220,266", NO Medicare Data 
432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"54,249","10,503"
433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,"38,873","5,820"
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"73,712", NO Medicare Data 
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"22,130", NO Medicare Data 
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"21,716","4,021"
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","56,604","10,383"
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","42,393","5,506"
444,DISORDERS OF THE BILIARY TRACT W MCC,"17,825","1,186"
445,DISORDERS OF THE BILIARY TRACT W CC,"15,150","6,057"
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"11,200","4,653"
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,"271,083", NO Medicare Data 
465,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC","91,334","10,736"
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"183,774","16,297"
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,"204,441","18,271"
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"153,538","11,804"
476,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W/O CC/MCC,"38,032","6,626"
480,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"138,071","17,577"
481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"91,396","11,763"
482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"79,707","9,457"
487,KNEE PROCEDURES W PDX OF INFECTION W/O CC/MCC,"72,624", NO Medicare Data 
488,KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,"153,693", NO Medicare Data 
489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,"21,278", NO Medicare Data 
492,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC","117,684","19,447"
493,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","92,550","12,420"
494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","92,291","10,246"
500,SOFT TISSUE PROCEDURES W MCC,"36,578","16,909"
501,SOFT TISSUE PROCEDURES W CC,"51,612","9,501"
504,FOOT PROCEDURES W CC,"47,003","9,767"
511,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W CC","104,990", NO Medicare Data 
517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,"53,304", NO Medicare Data 
534,FRACTURES OF FEMUR W/O MCC,"17,223","4,378"
535,FRACTURES OF HIP & PELVIS W MCC,"40,300","7,198"
536,FRACTURES OF HIP & PELVIS W/O MCC,"33,266","4,511"
542,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,"43,961","10,282"
551,MEDICAL BACK PROBLEMS W MCC,"30,322", NO Medicare Data 
554,BONE DISEASES & ARTHROPATHIES W/O MCC,"17,026", NO Medicare Data 
557,"TENDONITIS, MYOSITIS & BURSITIS W MCC","73,467","8,331"
558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC","45,026","4,974"
563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC","17,056","4,718"
571,SKIN DEBRIDEMENT W CC,"36,853", NO Medicare Data 
572,SKIN DEBRIDEMENT W/O CC/MCC,"50,385","6,735"
579,"OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC","205,475", NO Medicare Data 
580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC","88,075","8,965"
581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC","25,410", NO Medicare Data 
583,MASTECTOMY FOR MALIGNANCY W/O CC/MCC,"53,703","7,682"
592,SKIN ULCERS W MCC,"51,237", NO Medicare Data 
602,CELLULITIS W MCC,"45,600","8,189"
603,CELLULITIS W/O MCC,"24,416","5,064"
605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC","17,482", NO Medicare Data 
607,MINOR SKIN DISORDERS W/O MCC,"10,034", NO Medicare Data 
617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","45,192","11,809"
621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC,"69,587","8,968"
623,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC","44,796","11,137"
627,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W/O CC/MCC","33,620", NO Medicare Data 
629,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC","42,290","12,002"
637,DIABETES W MCC,"54,412","7,634"
638,DIABETES W CC,"30,545","5,063"
639,DIABETES W/O CC/MCC,"22,350","3,769"
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","54,171","6,710"
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","13,678","4,551"
644,ENDOCRINE DISORDERS W CC,"127,026", NO Medicare Data 
668,TRANSURETHRAL PROCEDURES W MCC,"78,333","15,359"
670,TRANSURETHRAL PROCEDURES W/O CC/MCC,"33,613", NO Medicare Data 
682,RENAL FAILURE W MCC,"49,111","8,478"
683,RENAL FAILURE W CC,"39,758","5,402"
684,RENAL FAILURE W/O CC/MCC,"36,701","3,836"
689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"54,228","6,136"
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"33,141","4,748"
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"24,978","4,911"
696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,"24,216","4,033"
698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"52,760", NO Medicare Data 
699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"35,474","5,942"
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,"25,083","4,801"
741,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W/O CC/MCC","32,446", NO Medicare Data 
742,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,"56,462", NO Medicare Data 
743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,"33,779","6,288"
747,"VAGINA, CERVIX & VULVA PROCEDURES W/O CC/MCC","27,759", NO Medicare Data 
748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES,"32,668", NO Medicare Data 
750,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"31,830", NO Medicare Data 
757,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W MCC","67,861","8,058"
758,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W CC","24,682", NO Medicare Data 
759,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC","16,708", NO Medicare Data 
761,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC,"26,418", NO Medicare Data 
765,CESAREAN SECTION W CC/MCC,"30,791","6,875"
766,CESAREAN SECTION W/O CC/MCC,"25,866", NO Medicare Data 
767,VAGINAL DELIVERY W STERILIZATION &/OR D&C,"28,663", NO Medicare Data 
768,VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL &/OR D&C,"23,606", NO Medicare Data 
770,"ABORTION W D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY","23,717", NO Medicare Data 
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"18,529","4,852"
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"14,751","3,992"
776,POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,"14,954", NO Medicare Data 
778,THREATENED ABORTION,"7,188", NO Medicare Data 
779,ABORTION W/O D&C,"14,916", NO Medicare Data 
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"15,147","4,390"
783,NA,"71,682", NO Medicare Data 
784,NA,"25,008", NO Medicare Data 
785,NA,"21,564", NO Medicare Data 
787,NA,"30,599", NO Medicare Data 
788,NA,"23,336", NO Medicare Data 
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","5,778", NO Medicare Data 
790,"EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE","23,684", NO Medicare Data 
792,PREMATURITY W/O MAJOR PROBLEMS,"5,481", NO Medicare Data 
793,FULL TERM NEONATE W MAJOR PROBLEMS,"6,184", NO Medicare Data 
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"5,917", NO Medicare Data 
795,NORMAL NEWBORN,"4,307", NO Medicare Data 
797,NA,"31,996", NO Medicare Data 
805,NA,"16,281", NO Medicare Data 
806,NA,"17,500", NO Medicare Data 
807,NA,"15,601","4,163"
808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC,"54,603","12,413"
809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,"49,883","6,786"
811,RED BLOOD CELL DISORDERS W MCC,"33,825","7,595"
812,RED BLOOD CELL DISORDERS W/O MCC,"42,335","5,138"
815,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC,"32,668","6,074"
816,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W/O CC/MCC,"22,235", NO Medicare Data 
832,NA,"12,055", NO Medicare Data 
833,NA,"7,292", NO Medicare Data 
843,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,"50,284","10,107"
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"156,795","29,434"
854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,"75,656","13,347"
856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC,"96,360","25,901"
862,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,"23,873","10,423"
863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,"24,296","5,684"
864,FEVER,"18,084","5,180"
866,VIRAL ILLNESS W/O MCC,"17,133", NO Medicare Data 
869,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W/O CC/MCC,"6,578", NO Medicare Data 
870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS,"300,051","34,430"
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"62,318","10,409"
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"37,990","6,060"
880,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,"21,701", NO Medicare Data 
881,DEPRESSIVE NEUROSES,"50,760", NO Medicare Data 
883,DISORDERS OF PERSONALITY & IMPULSE CONTROL,"103,703", NO Medicare Data 
884,ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY,"87,789","7,208"
885,PSYCHOSES,"72,591", NO Medicare Data 
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"80,934", NO Medicare Data 
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"25,639","4,713"
902,WOUND DEBRIDEMENTS FOR INJURIES W CC,"584,612","48,957"
903,WOUND DEBRIDEMENTS FOR INJURIES W/O CC/MCC,"44,956", NO Medicare Data 
907,OTHER O.R. PROCEDURES FOR INJURIES W MCC,"52,760", NO Medicare Data 
908,OTHER O.R. PROCEDURES FOR INJURIES W CC,"43,058", NO Medicare Data 
914,TRAUMATIC INJURY W/O MCC,"53,682","4,996"
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"61,769","8,176"
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"22,355","4,552"
919,COMPLICATIONS OF TREATMENT W MCC,"189,853", NO Medicare Data 
920,COMPLICATIONS OF TREATMENT W CC,"68,910","5,698"
921,COMPLICATIONS OF TREATMENT W/O CC/MCC,"37,341","4,105"
923,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC","28,025","4,924"
935,NON-EXTENSIVE BURNS,"97,084", NO Medicare Data 
947,SIGNS & SYMPTOMS W MCC,"4,647", NO Medicare Data 
948,SIGNS & SYMPTOMS W/O MCC,"31,486","4,527"
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"186,988","25,413"
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"101,558", NO Medicare Data 
983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,"40,435", NO Medicare Data 
989,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,"30,245", NO Medicare Data 
