Charge Item,CHARGE,Price
633847,Tobramycin Level,89.5
633851,Transferrin (ARUP),11.01
633852,Triglycerides,35.5
633854,Troponin-I,164
633857,Urea Nitrogen Urine,46
633858,Uric Acid,71.5
633860,Uric Acid Body Fluid,41
633864,Urinalysis Microscopic,25.5
633867,Valproic Acid Level,102.5
633868,Vancomycin Level,203
633871,Vitamin B12 Level,94.5
633872,Vitamin D 25 Hydroxy Level (ARUP),24.79
633873,White Blood Count,20.5
633876,Manual Differential,42
633878,Acid Fast Bacilli Culture,37.5
633879,Acid Fast Bacilli Smear,33.5
633881,Anaerobic Culture,10.46
633882,Blood Culture,164
633885,Bordetella Pertussis Culture,48
633893,Fungal Culture,68
633894,Genital Culture,95.5
633895,Gonorrhea Culture,71
633904,Stool Culture,120.5
633905,Throat Culture,73.5
633907,Urine Culture,63
633910,Gram Stain,64.5
633912,Pinworm Prep,17
633913,Rapid Group B Strep Test,59.5
634078,Giemsa stain,109.5
634327,ABO Only,52.5
634329,Antibody Screen,49.5
634330,Antibody Identification,134
634331,Direct Antiglobulin Test,44
707705,CT Abdomen w/ + w/o Contrast,1730.5
707707,CT Abdomen w/ Contrast,1352.5
707709,CT Abdomen w/o Contrast,1275.5
707711,CT Angiography Abd Aorta + Iliofemoral,2407.5
707713,CT Angiography Abdomen,2274
707715,CT Angiography Aorta,1605
707717,CT Angiography Chest w/ + w/o Contrast,2541
707719,CT Angiography Head w/ + w/o Contrast,2407.5
707721,CT Angiography Lower Extremity Bilat,2140
707723,CT Angiography Lower Extremity Left,1605
713759,BD Bone Density DEXA App Skeleton,74.5
713761,BD Bone Density DEXA Axial Skeleton,397
713763,BD Bone Density DEXA Body Composition,159.5
713765,BD Bone Density Vetebral Fracture,150.5
713767,CT Angiography Lower Extremity Right,1605
713769,CT Angiography Neck w/ + w/o Contrast,2140
713771,CT Angiography Pelvis w/ + w/o Contrast,2407.5
713773,CT Angiography Upper Extremity Bilat,2140
713775,CT Angiography Upper Extremity Left,1605
713777,CT Angiography Upper Extremity Right,1605
713779,CT Ankle w/ + w/o Contrast Bilateral,2006.5
713781,CT Ankle w/ + w/o Contrast Left,1437
713783,CT Ankle w/ + w/o Contrast Right,1437
713785,CT Ankle w/ Contrast Bilateral,1672.5
713787,CT Ankle w/ Contrast Left,1326.5
713789,CT Ankle w/ Contrast Right,1326.5
713791,CT Ankle w/o Contrast Bilateral,1672.5
713793,CT Ankle w/o Contrast Left,1326.5
713795,CT Ankle w/o Contrast Right,1326.5
713799,CT Aspiration Renal Left,736.5
713801,CT Aspiration Renal Right,736.5
713805,CT Biopsy Abdomen,736.5
713807,CT Biopsy Bone,736.5
713809,CT Biopsy Liver,736.5
713811,CT Biopsy Lung Left,736.5
713813,CT Biopsy Lung Right,736.5
713815,CT Biopsy Pancreas,736.5
713817,CT Biopsy Pleura Left,736.5
713819,CT Biopsy Pleura Right,736.5
713821,CT Biopsy Renal Left,736.5
713823,CT Biopsy Renal Right,736.5
713829,CT Drainage - Abscess or Cyst,736.5
713831,CT Drainage Liver,736.5
713833,CT Drainage Lung Bilateral,870
713835,CT Drainage Lung Left,736.5
713837,CT Drainage Lung Right,736.5
713839,CT Drainage Pancreas,736.5
713841,CT Drainage Peritoneal,736.5
713843,CT Drainage Renal Bilateral,870
713845,CT Drainage Renal Left,736.5
713847,CT Drainage Renal Right,736.5
713849,CT Drainage Retroperitoneal Abscess,736.5
713851,CT Elbow w/ + w/o Contrast Bilateral,2006.5
713853,CT Elbow w/ + w/o Contrast Left,1437
713855,CT Elbow w/ + w/o Contrast Right,1437
713857,CT Elbow w/ Contrast Bilateral,1672.5
713859,CT Elbow w/ Contrast Left,1326.5
713861,CT Elbow w/ Contrast Right,1326.5
713863,CT Elbow w/o Contrast Bilateral,1672.5
713865,CT Elbow w/o Contrast Left,1326.5
713867,CT Elbow w/o Contrast Right,1326.5
713869,CT Femur w/ + w/o Contrast Bilateral,2006.5
713871,CT Femur w/ + w/o Contrast Left,1437
713873,CT Femur w/ + w/o Contrast Right,1437
713875,CT Femur w/ Contrast Bilateral,1672.5
713877,CT Femur w/ Contrast Left,1326.5
713879,CT Femur w/ Contrast Right,1326.5
713881,CT Femur w/o Contrast Bilateral,1672.5
713883,CT Femur w/o Contrast Left,1326.5
713885,CT Femur w/o Contrast Right,1326.5
713887,CT Fistula or Sinus Tract Abscess Study,1326.5
713889,CT Foot w/ + w/o Contrast Bilateral,2006.5
713891,CT Foot w/ + w/o Contrast Left,1437
713893,CT Foot w/ + w/o Contrast Right,1437
713895,CT Foot w/ Contrast Bilateral,1672.5
713897,CT Foot w/ Contrast Left,1326.5
713899,CT Foot w/ Contrast Right,1326.5
713901,CT Foot w/o Contrast Bilateral,1672.5
713903,CT Foot w/o Contrast Left,1326.5
713905,CT Foot w/o Contrast Right,1326.5
713907,CT Forearm w/ + w/o Contrast Bilateral,2006.5
713909,CT Forearm w/ + w/o Contrast Left,1437
713911,CT Forearm w/ + w/o Contrast Right,1437
713913,CT Forearm w/ Contrast Bilateral,1672.5
713915,CT Forearm w/ Contrast Left,1326.5
713917,CT Forearm w/ Contrast Right,1326.5
713919,CT Forearm w/o Contrast Bilateral,1672.5
713921,CT Forearm w/o Contrast Left,1326.5
713923,CT Forearm w/o Contrast Right,1326.5
713927,CT Hand w/ + w/o Contrast Bilateral,2006.5
713929,CT Hand w/ + w/o Contrast Left,1437
713931,CT Hand w/ + w/o Contrast Right,1437
713933,CT Hand w/ Contrast Bilateral,1672.5
713935,CT Hand w/ Contrast Left,1326.5
713937,CT Hand w/ Contrast Right,1326.5
713939,CT Hand w/o Contrast Bilateral,1672.5
713941,CT Hand w/o Contrast Left,1326.5
713943,CT Hand w/o Contrast Right,1326.5
713945,CT Head or Brain w/ + w/o Contrast,1699
713947,CT Head or Brain w/ Contrast,1352.5
713949,CT Head or Brain w/o Contrast,1275.5
713951,CT Hip w/ + w/o Contrast Bilateral,2006.5
713953,CT Hip w/ + w/o Contrast Left,1437
713955,CT Hip w/ + w/o Contrast Right,1437
713957,CT Hip w/ Contrast Bilateral,1672.5
713959,CT Hip w/ Contrast Left,1326.5
713961,CT Hip w/ Contrast Right,1326.5
713963,CT Hip w/o Contrast Bilateral,1672.5
713965,CT Hip w/o Contrast Left,1326.5
713967,CT Hip w/o Contrast Right,1326.5
713969,CT Humerus w/ + w/o Contrast Bilateral,2006.5
713971,CT Humerus w/ + w/o Contrast Left,1437
713973,CT Humerus w/ + w/o Contrast Right,1437
713975,CT Humerus w/ Contrast Bilateral,1672.5
713977,CT Humerus w/ Contrast Left,1326.5
713979,CT Humerus w/ Contrast Right,1326.5
713981,CT Humerus w/o Contrast Bilateral,1672.5
713983,CT Humerus w/o Contrast Left,1326.5
713985,CT Humerus w/o Contrast Right,1326.5
713987,CT IAC w/ + w/o Contrast,1437
713989,CT IAC w/ Contrast,1258
713991,CT IAC w/o Contrast,1078
713993,CT Knee w/ + w/o Contrast Bilateral,2006.5
713995,CT Knee w/ + w/o Contrast Left,1437
713997,CT Knee w/ + w/o Contrast Right,1437
713999,CT Knee w/ Contrast Bilateral,1672.5
714001,CT Knee w/ Contrast Left,1326.5
714003,CT Knee w/ Contrast Right,1326.5
714005,CT Knee w/o Contrast Bilateral,1672.5
714007,CT Knee w/o Contrast Left,1326.5
714009,CT Knee w/o Contrast Right,1326.5
714011,CT Limited or Localized F/U Study,484.5
714015,CT Maxillofacial w/ + w/o Contrast,1545.5
714017,CT Maxillofacial w/ Contrast,1352.5
714019,CT Maxillofacial w/o Contrast,1158
714021,CT Orbit Sella etc. w/ + w/o Contrast,1545.5
714023,CT Orbit Sella etc. w/ Contrast,1352.5
714025,CT Orbit Sella etc. w/o Contrast,1158
714027,CT Pelvis w/ + w/o Contrast,1545.5
714029,CT Pelvis w/ Contrast,1486.5
714031,CT Pelvis w/o Contrast,1078
714033,CT Shoulder w/ + w/o Contrast Bilateral,2006.5
714035,CT Shoulder w/ + w/o Contrast Left,1437
714037,CT Shoulder w/ + w/o Contrast Right,1437
714039,CT Shoulder w/ Contrast Bilateral,1672.5
714041,CT Shoulder w/ Contrast Left,1326.5
714043,CT Shoulder w/ Contrast Right,1326.5
714045,CT Shoulder w/o Contrast Bilateral,1672.5
714047,CT Shoulder w/o Contrast Left,1326.5
714049,CT Shoulder w/o Contrast Right,1326.5
714051,CT Sinus w/ + w/o Contrast,1437
714053,CT Sinus w/ Contrast,1258
714055,CT Sinus w/o Contrast,1078
714057,CT Soft Tissue Neck w/ + w/o Contrast,1545.5
714059,CT Soft Tissue Neck w/ Contrast,1486.5
714061,CT Soft Tissue Neck w/o Contrast,1198
714063,CT Spine Cervical w/ + w/o Contrast,1545.5
714065,CT Spine Cervical w/ Contrast,1337.5
714067,CT Spine Cervical w/o Contrast,1158
714069,CT Spine Lumbar w/ + w/o Contrast,1545.5
714071,CT Spine Lumbar w/ Contrast,1389.5
714073,CT Spine Lumbar w/o Contrast,1249.5
714075,CT Spine Thoracic w/ + w/o Contrast,1545.5
714077,CT Spine Thoracic w/ Contrast,1389.5
714079,CT Spine Thoracic w/o Contrast,1337.5
714083,CT Thorax w/ + w/o Contrast,1568.5
714085,CT Thorax w/ Contrast,1486.5
714087,CT Thorax w/o Contrast,1158
714089,CT Tibia/Fibula w/ + w/o Contrast Bilat,1437
714091,CT Tibia/Fibula w/ + w/o Contrast Left,1437
714093,CT Tibia/Fibula w/ + w/o Contrast Right,1437
714095,CT Tibia/Fibula w/ Contrast Bilateral,1672.5
714097,CT Tibia/Fibula w/ Contrast Left,1326.5
714099,CT Tibia/Fibula w/ Contrast Right,1326.5
714101,CT Tibia/Fibula w/o Contrast Bilateral,1672.5
714103,CT Tibia/Fibula w/o Contrast Left,1326.5
714105,CT Tibia/Fibula w/o Contrast Right,1326.5
714109,CT Wrist w/ + w/o Contrast Bilateral,2006.5
714111,CT Wrist w/ + w/o Contrast Left,1437
714113,CT Wrist w/ + w/o Contrast Right,1437
714115,CT Wrist w/ Contrast Bilateral,1672.5
714117,CT Wrist w/ Contrast Left,1326.5
714119,CT Wrist w/ Contrast Right,1326.5
714121,CT Wrist w/o Contrast Bilateral,1672.5
714123,CT Wrist w/o Contrast Left,1326.5
714125,CT Wrist w/o Contrast Right,1326.5
714127,EH Echo Cardiovascular Stress Test,674.5
714131,EH Echo Doppler Color Flow,261
714134,EH Echo Doppler Pw Cw Spec Display,783
714139,EH Echo Transesophageal Real Time,1067.5
714145,EH Echocardiogram Complete,714
714148,EH Echocardiography Rest/stress,1045.5
714151,IR Angiogram Arteriovenous Shunt,940
714155,IR Angiogram Brachial Retrograde Left,940
714157,IR Angiogram Brachial Retrograde Right,940
714159,IR Angiogram Extremity Bilateral,940
714161,IR Angiogram Extremity Left,940
714163,IR Angiogram Extremity Right,940
714165,IR Angiogram Renal Bilateral,962
714167,IR Aortogram Abdominal w/ Serialography,1010.5
714169,IR Biliary Drain Transhep Perc in + out,960.5
714173,IR Drainage - Abscess or Cyst,892.5
714175,IR Drainage Peritoneal,892.5
714177,IR ERCP Biliary and Pancreatic Duct,530.5
714179,IR Enteroclysis Tube Placement,567
714181,IR Esophageal Foreign Body Removal,527.5
714183,IR Fistula or Sinus Tract Abscess Study,892.5
714187,IR GI Tube Placement,1224
714189,IR IVC Filter Placement Percutaneous,940
714191,IR Nephrostogram,940
714193,IR Perc Gastrostomy Tube Placement,1027
714195,IR Retrieval Foreign Body Intravasc Perc,527.5
714197,IR Stent Placement Intravasc Perc/Open,940
714199,IR Tube or Cath Change,527.5
714201,IR Tube or Cath Change Biliary,527.5
714203,IR Tube or Cath Change Gastrointestinal,527.5
714205,IR Tube or Cath Change Ureteral,527.5
714207,IR Ureteral Cath/Stent Place Perc Left,527.5
714209,IR Ureteral Cath/Stent Place Perc Right,527.5
714211,MA Bcedp Case Management,208.5
714214,MA Bcepd Mammo,175
714217,MA Breast Ndl Loc Placement Bilat,396.5
714219,MA Breast Ndl Loc Placement Left,368.5
714221,MA Breast Ndl Loc Placement Right,368.5
714225,MA Ductogram or Galactogram Multi Bilat,574.5
714227,MA Ductogram or Galactogram Multi Left,574.5
714229,MA Ductogram or Galactogram Multi Right,574.5
714231,MA Ductogram or Galactogram Single Bilat,406.5
714233,MA Ductogram or Galactogram Single Left,406.5
714235,MA Ductogram or Galactogram Single Right,368.5
714237,MA Mammogram Diagnostic Bilateral,175
714239,MA Mammogram Digital Diagnostic Bilat,392.5
714241,MA Mammogram Digital Diagnostic Left,308.5
714243,MA Mammogram Digital Diagnostic Right,308.5
714245,MA Mammogram Digital Screening,392.5
714247,MA Mammogram Left,145.5
714249,MA Mammogram Right,145.5
714251,MA Mammogram Routine Screening Bilat,145.5
714266,MRA Abdomen w/ + w/o Contrast,2377.5
714268,MRA Abdomen w/ Contrast,2341.5
714270,MRA Abdomen w/o Contrast,2341.5
714272,MRA Chest,2517
714274,MRA Head w/ + w/o Contrast,2377.5
714276,MRA Head w/ Contrast,2341.5
714278,MRA Head w/o Contrast,2517
714280,MRA Lower Extremity Left,2517
714282,MRA Lower Extremity Right,2517
714284,MRA Neck w/ + w/o Contrast,2377.5
714286,MRA Neck w/ Contrast,2341.5
714288,MRA Neck w/o Contrast,2341.5
714292,MRA Pelvis w/ + w/o Contrast,2377.5
714294,MRA Pelvis w/ Contrast,2341.5
714296,MRA Pelvis w/o Contrast,2341.5
714298,MRA Spinal Canal + Contents,3313
714300,MRA Upper Extremity Bilat,2377.5
714302,MRA Upper Extremity Left,2517
714304,MRA Upper Extremity Right,2517
714308,MRI Abdomen w/ + w/o Contrast,2758
714310,MRI Abdomen w/ Contrast,2555.5
714312,MRI Abdomen w/o Contrast,2098
714314,MRI Ankle w/ + w/o Contrast Bilateral,3775.5
714316,MRI Ankle w/ + w/o Contrast Left,3775.5
714318,MRI Ankle w/ + w/o Contrast Right,3775.5
714320,MRI Ankle w/ Contrast Bilateral,2377.5
714322,MRI Ankle w/ Contrast Left,1951
714324,MRI Ankle w/ Contrast Right,1951
714326,MRI Ankle w/o Contrast Bilateral,2377.5
714328,MRI Ankle w/o Contrast Left,1951
714330,MRI Ankle w/o Contrast Right,1951
714332,MRI Bone Marrow Blood Supply,2098
714334,MRI Brain w/ + w/o Contrast,3414
714336,MRI Brain w/ Contrast,2954
714338,MRI Brain w/o Contrast,2309.5
714340,MRI Cardiac Morphology w/ Contrast,2683.5
714342,MRI Cardiac Morphology w/o Contrast,2098
714344,MRI Chest w/ + w/o Contrast,2377.5
714346,MRI Chest w/ Contrast,1951
714348,MRI Chest w/o Contrast,2098
714352,MRI Elbow w/ + w/o Contrast Bilateral,3775.5
714354,MRI Elbow w/ + w/o Contrast Left,3775.5
714356,MRI Elbow w/ + w/o Contrast Right,3775.5
714358,MRI Elbow w/ Contrast Bilateral,2377.5
714360,MRI Elbow w/ Contrast Left,1951
714362,MRI Elbow w/ Contrast Right,1951
714364,MRI Elbow w/o Contrast Bilateral,2377.5
714366,MRI Elbow w/o Contrast Left,1951
714368,MRI Elbow w/o Contrast Right,1951
714370,MRI Face Neck Orbit w/ + w/o Contrast,2377.5
714372,MRI Face Neck Orbit w/ Contrast,1951
714374,MRI Face Neck Orbit w/o Contrast,2098
714376,MRI Femur w/ + w/o Contrast Bilat,3775.5
714378,MRI Femur w/ + w/o Contrast Left,3775.5
714380,MRI Femur w/ + w/o Contrast Right,3775.5
714382,MRI Femur w/ Contrast Bilat,1951
714384,MRI Femur w/ Contrast Left,1951
714386,MRI Femur w/ Contrast Right,1951
714388,MRI Femur w/o Contrast Bilat,2377.5
714390,MRI Femur w/o Contrast Left,1951
714392,MRI Femur w/o Contrast Right,1951
714394,MRI Foot w/ + w/o Contrast Bilateral,3775.5
714396,MRI Foot w/ + w/o Contrast Left,3775.5
714398,MRI Foot w/ + w/o Contrast Right,3775.5
714400,MRI Foot w/ Contrast Bilateral,1951
714402,MRI Foot w/ Contrast Left,1951
714404,MRI Foot w/ Contrast Right,1951
714406,MRI Foot w/o Contrast Bilateral,2377.5
714408,MRI Foot w/o Contrast Left,1951
714410,MRI Foot w/o Contrast Right,1951
714412,MRI Forearm w/ + w/o Contrast Bilateral,3775.5
714414,MRI Forearm w/ + w/o Contrast Left,3775.5
714416,MRI Forearm w/ + w/o Contrast Right,3775.5
714418,MRI Forearm w/ Contrast Bilateral,2377.5
714420,MRI Forearm w/ Contrast Left,1951
714422,MRI Forearm w/ Contrast Right,1951
714424,MRI Forearm w/o Contrast Bilateral,2377.5
714426,MRI Forearm w/o Contrast Left,1951
714428,MRI Forearm w/o Contrast Right,1951
714430,MRI Guidance for Injection,1748
714432,MRI Hand w/ + w/o Contrast Bilateral,3775.5
714434,MRI Hand w/ + w/o Contrast Left,3775.5
714436,MRI Hand w/ + w/o Contrast Right,3775.5
714438,MRI Hand w/ Contrast Bilateral,2377.5
714440,MRI Hand w/ Contrast Left,1951
714442,MRI Hand w/ Contrast Right,1951
714444,MRI Hand w/o Contrast Bilateral,2377.5
714446,MRI Hand w/o Contrast Left,1951
714448,MRI Hand w/o Contrast Right,1951
714450,MRI Hip w/ + w/o Contrast Bilateral,3775.5
714452,MRI Hip w/ + w/o Contrast Left,3775.5
714454,MRI Hip w/ + w/o Contrast Right,3775.5
714456,MRI Hip w/ Contrast Bilateral,2377.5
714458,MRI Hip w/ Contrast Left,1951
714460,MRI Hip w/ Contrast Right,1951
714462,MRI Hip w/o Contrast Bilateral,2377.5
714464,MRI Hip w/o Contrast Left,1951
714466,MRI Hip w/o Contrast Right,1951
714468,MRI Humerus w/ + w/o Contrast Bilateral,3775.5
714470,MRI Humerus w/ + w/o Contrast Left,3775.5
714472,MRI Humerus w/ + w/o Contrast Right,3775.5
714474,MRI Humerus w/ Contrast Bilateral,2377.5
714476,MRI Humerus w/ Contrast Left,1951
714478,MRI Humerus w/ Contrast Right,1951
714480,MRI Humerus w/o Contrast Bilateral,2377.5
714482,MRI Humerus w/o Contrast Left,1951
714484,MRI Humerus w/o Contrast Right,1951
714486,MRI Knee w/ + w/o Contrast Bilateral,3775.5
714488,MRI Knee w/ + w/o Contrast Left,3775.5
714490,MRI Knee w/ + w/o Contrast Right,3775.5
714492,MRI Knee w/ Contrast Bilateral,2377.5
714494,MRI Knee w/ Contrast Left,1951
714496,MRI Knee w/ Contrast Right,1951
714498,MRI Knee w/o Contrast Bilateral,2377.5
714500,MRI Knee w/o Contrast Left,1951
714502,MRI Knee w/o Contrast Right,1951
714504,MRI Pelvis w/ + w/o Contrast,2758
714506,MRI Pelvis w/ Contrast,2555.5
714508,MRI Pelvis w/o Contrast,2098
714510,MRI Shoulder w/ + w/o Contrast Bilateral,3775.5
714512,MRI Shoulder w/ + w/o Contrast Left,3775.5
714514,MRI Shoulder w/ + w/o Contrast Right,3775.5
714516,MRI Shoulder w/ Contrast Bilateral,2377.5
714518,MRI Shoulder w/ Contrast Left,1951
714520,MRI Shoulder w/ Contrast Right,1951
714522,MRI Shoulder w/o Contrast Bilateral,2377.5
714524,MRI Shoulder w/o Contrast Left,1951
714526,MRI Shoulder w/o Contrast Right,1951
714528,MRI Spine Cervical w/ + w/o Contrast,2894.5
714530,MRI Spine Cervical w/ Contrast,2683.5
714532,MRI Spine Cervical w/o Contrast,2309.5
714534,MRI Spine Lumbar w/ + w/o Contrast,2894.5
714536,MRI Spine Lumbar w/ Contrast,2683.5
714538,MRI Spine Lumbar w/o Contrast,2493.5
714540,MRI Spine Thoracic w/ + w/o Contrast,2894.5
714542,MRI Spine Thoracic w/ Contrast,3104
714544,MRI Spine Thoracic w/o Contrast,2265
714546,MRI TMJ,2098
714548,MRI Tibia/Fibula w/ + w/o Contrast Bilat,3775.5
714550,MRI Tibia/Fibula w/ + w/o Contrast Left,3775.5
714552,MRI Tibia/Fibula w/ + w/o Contrast Right,3775.5
714554,MRI Tibia/Fibula w/ Contrast Bilateral,2377.5
714556,MRI Tibia/Fibula w/ Contrast Left,1951
714558,MRI Tibia/Fibula w/ Contrast Right,1951
714560,MRI Tibia/Fibula w/o Contrast Bilateral,2377.5
714562,MRI Tibia/Fibula w/o Contrast Left,1951
714564,MRI Tibia/Fibula w/o Contrast Right,1951
714568,MRI Wrist w/ + w/o Contrast Bilateral,3775.5
714570,MRI Wrist w/ + w/o Contrast Left,3775.5
714572,MRI Wrist w/ + w/o Contrast Right,3775.5
714574,MRI Wrist w/ Contrast Bilateral,2377.5
714576,MRI Wrist w/ Contrast Left,1951
714578,MRI Wrist w/ Contrast Right,1951
714580,MRI Wrist w/o Contrast Bilateral,2377.5
714582,MRI Wrist w/o Contrast Left,1951
714584,MRI Wrist w/o Contrast Right,1951
714586,NM Brain Imaging Spect,1446.5
714589,US Abdomen Complete,418.5
714591,US Abdomen Limited,380
714593,US Aorta Complete,490.5
714595,US Aorta Duplex Complete,625.5
714597,US Aorta Duplex Limited,525
714599,US Aorta IVC Iliac Duplex Complete,560
714601,US Aorta IVC Iliac Duplex Limited,490.5
714603,US Art/Vein Abd/Pelvis/Scrotal Complete,770
714605,US Art/Vein Abd/Pelvis/Scrotal Limited,490.5
714607,US Aspiration/Inject/Biopsy Bilateral,490.5
714609,US Aspiration/Inject/Biopsy Left,490.5
714611,US Aspiration/Inject/Biopsy Right,490.5
714613,US Biopsy Breast Bilateral,560
714615,US Biopsy Breast Left,490.5
714617,US Biopsy Breast Right,490.5
