EAP,EAP Description, Avg Chg 
76000055,HC EXC B9 LES MRGN XCP SK TG S/N/H/F/G 1.1-2.0CM, 1033.00 
76000056,HC EXC B9 LES MRGN XCP SK TG S/N/H/F/G 2.1-3.0CM, 1846.00 
76000057,HC EXC B9 LES MRGN XCP SK TG S/N/H/F/G 3.1-4.0CM, 2142.00 
76000058,HC EXC B9 LES MRGN XCP SK TG S/N/H/F/G > 4.0CM, 2939.00 
76000059,HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 0.5CM/<, 916.00 
76000060,HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 0.6-1.0CM, 916.00 
76000061,HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 1.1-2.0CM, 1623.00 
76000062,HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 2.1-3.0CM, 1623.00 
76000063,HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 3.1-4.0CM, 1623.00 
76000064,HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M > 4.0CM, 2796.00 
76000069,HC EXCISION MAL LESION TRUNK/ARM/LEG 0.6-1.0 CM, 916.00 
76000070,HC EXCISION MAL LESION TRUNK/ARM/LEG 1.1-2.0 CM, 916.00 
76000071,HC EXCISION MAL LESION TRUNK/ARM/LEG 2.1-3.0 CM/<, 1033.00 
76000072,HC EXCISION MAL LESION TRUNK/ARM/LEG 3.1-4.0 CM, 2142.00 
76000073,HC EXCISION MALIGNANT LESION TRUNK/ARM/LEG > 4.0 CM, 2939.00 
76000074,HC EXCISION MALIGNANT LESION S/N/H/F/G 0.5 CM/<, 1021.00 
76000075,HC EXCISION MALIGNANT LESION S/N/H/F/G 0.6-1.0 CM, 1033.00 
76000076,HC EXCISION MALIGNANT LESION S/N/H/F/G 1.1-2.0 CM, 1033.00 
76000077,HC EXCISION MALIGNANT LESION S/N/H/F/G 2.1-3.0 CM/<, 1623.00 
76000078,HC EXCISION MALIGNANT LESION S/N/H/F/G 3.1-4.0 CM, 2142.00 
76000079,HC EXCISION MALIGNANT LESION S/N/H/F/G >4.0 CM, 2939.00 
76000080,HC EXCISION MALIGNANT LESION F/E/E/N/L 0.5 CM/<, 1033.00 
76000081,HC EXCISION MALIGNANT LES F/E/E/N/L 0.6-1.0 CM, 1033.00 
76000082,HC EXCISION MALIGNANT LES F/E/E/N/L 1.1-2.0 CM, 1033.00 
76000083,HC EXCISION MALIGNANT LES F/E/E/N/L 2.1-3.0 CM/<, 1623.00 
76000084,HC EXCISION MALIGNANT LES F/E/E/N/L 3.1-4.0 CM, 1846.00 
76000085,HC EXCISION MALIGNANT LESION F/E/E/N/L >4.0 CM, 2796.00 
76000094,HC BIOPSY NAIL UNIT SEPARATE PROCEDURE, 916.00 
76000099,HC INJECTION INTRALESIONAL UP TO & INCLUD 7 LESIONS, 271.00 
76000106,HC SIMPLE REPAIR SCALP/NECK/AX/GENIT/TRUNK 2.5CM/<, 501.00 
76000112,HC SIMPLE REPAIR F/E/E/N/L/M 2.5CM/<, 501.00 
76000113,HC SIMPLE REPAIR F/E/E/N/L/M 2.6CM-5.0 CM, 137.00 
76000115,HC SIMPLE REPAIR F/E/E/N/L/M 7.6CM-12.5 CM, 134.00 
76000119,HC CLOSURE OF SPLIT WOUND SIMPLE - 12020, 652.00 
76000121,HC REPAIR INTERMEDIATE S/A/T/E 2.5 CM/<, 324.00 
76000122,HC REPAIR INTERMEDIATE S/A/T/E 2.6-7.5 CM, 324.00 
76000123,HC REPAIR INTERMEDIATE S/A/T/E 7.6-12.5 CM, 916.00 
76000124,HC REPAIR INTERMEDIATE S/A/T/E 12.6-20.0CM, 665.00 
76000125,HC REPAIR INTERMEDIATE S/A/T/E 20.1-30.0 CM, 615.00 
76000127,HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.5CM/<, 501.00 
76000128,HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 2.6-7.5 CM, 916.00 
76000129,HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 7.6-12.5CM, 317.00 
76000130,HC REPAIR INTERMEDIATE N/H/F/XTRNL GENT 12.6-20 CM, 482.00 
76000133,HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.5 CM/<, 324.00 
76000134,HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 2.6-5.0 CM, 324.00 
76000135,HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 5.1-7.5 CM, 916.00 
76000136,HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC 7.6-12.5 CM, 1565.00 
76000139,HC REPAIR INTERMEDIATE F/E/E/N/L&/MUC >30.0 CM, 317.00 
76000141,HC REPAIR COMPLEX TRUNK 2.6-7.5 CM, 1623.00 
76000142,HC REPAIR COMPLEX TRUNK EACH ADDITIONAL 5 CM/<, 473.00 
76000143,HC REPAIR COMPLEX SCALP/ARM/LEG 1.1-2.5 CM, 916.00 
76000144,HC REPAIR COMPLEX SCALP/ARM/LEG 2.6-7.5 CM, 1623.00 
76000145,HC REPAIR COMPLEX SCALP/ARM/LEG EA ADDL 5 CM/<, 916.00 
76000146,HC REPAIR COMPLEX 1.1-2.5 CM - 13131, 324.00 
76000147,HC REPAIR COMPLEX 2.6-7.5 CM - 13132, 1623.00 
76000148,HC REPAIR COMPLEX F/C/C/M/N/AX/G/H/F EA ADDL 5 CM/<, 916.00 
76000150,HC REPAIR COMPLEX EYELID/NOSE/EAR/LIP 1.1-2.5 CM, 665.00 
76000151,HC REPAIR COMPLEX EYELID/NOSE/EAR/LIP 2.6-7.5 CM, 1623.00 
76000152,HC REPAIR COMPLX EYELID/NOSE/EAR/LIP EA ADDL 5 CM/<, 501.00 
76000154,HC ADJACENT TISSUE TRANSFER/REARGMT TRUNK 10 SQCM/<, 2208.00 
76000156,HC ADJT TIS TRNSFR/REARGMT SCALP/ARM/LEG 10 SQ CM/<, 2939.00 
76000157,HC ADJT/REARRGMT SCALP/ARM/LEG 10.1-30.0 SQ CM, 3483.00 
76000158,HC ADJT TIS TRNS/REARGMT F/C/C/M/N/A/G/H/F 10SQCM/<, 2142.00 
76000159,HC ADJT/REARGMT F/C/C/M/N/AX/G/H/F 10.1-30.0 SQ CM, 2142.00 
76000160,HC ADJT TIS TRNSFR/REARRGMT E/N/E/L DFCT 10 SQ CM/<, 2142.00 
76000161,HC ADJT TIS REARGMT EYE/NOSE/EAR/LIP 10.1-30.0 SQCM, 2939.00 
76000162,HC ADJNT TIS TRNSFR/REARGMT ANY AREA 30.1-60 SQ CM, 5874.00 
76000163,HC ADJT TIS TRNSFR/REARGMT DEFEC EA ADDL 30 SQCM/<, 308.00 
76000165,HC PREP SITE F/S/N/H/F/G/M/D GT 1ST 100 SQ CM/1PCT, 665.00 
76000168,HC SPLIT AGRFT F/S/N/H/F/G/M/D GT 1ST 100 CM/</1 %, 800.00 
76000169,HC FTH/GFT FREE W/DIRECT CLOSURE TRUNK 20 CM/<, 3598.00 
76000171,HC FTH/GFT FREE W/DIRECT CLOSURE S/A/L 20 CM/<, 2208.00 
76000173,HC FTH/GFT FR W/DIR CLSR F/C/C/M/N/AX/G/H/F 20 CM/<, 2142.00 
76000175,HC FTH/GFT FREE W/DIRECT CLOSURE N/E/E/L 20 SQ CM/<, 2208.00 
76000176,HC APP SKN SUB GRFT T/A/L AREA/100SCM /<1ST 25, 2208.00 
76000180,HC SUB GRFT F/S/N/H/F/G/M/D <100SCM 1ST 25 SCM, 2208.00 
76000195,HC DELAY FLAP/SCTJ FLAP EYELIDS NOSE EARS/LIPS, 3590.00 
76000196,HC GRAFT COMPOSITE W/PRIMARY CLOSURE DONOR AREA, 3539.00 
76000200,HC ABRASION 1 LESION, 271.00 
76000201,HC BLEPHAROPLASTY UPPER EYELID W/EXCESSIVE SKIN, 2208.00 
76000202,HC RHYTIDECTOMY CHEEK CHIN & NECK, 3533.00 
76000203,HC DRESSING CHANGE UNDER ANESTHESIA, 154.00 
76000210,HC DESTRUCTION PREMALIGNANT LESION 1ST, 271.00 
76000211,HC DESTRUCTION PREMALIGNANT LESION 2-14 EA, 271.00 
76000212,HC DESTRUCTION PREMALIGNANT LESION 15/>, 916.00 
76000213,HC DESTRUCTION CUTANEOUS VASC PROLIFERATIVE <10CM, 1884.00 
76000214,HC DSTRJ CUTANEOUS VASCULAR LESIONS 10.0-50.0 SQ CM, 1884.00 
76000215,HC DSTRJ CUTANEOUS VASCULAR LESIONS >50.0 SQ CM, 2142.00 
76000216,HC DESTRUCTION BENIGN LESIONS UP TO 14, 916.00 
76000217,HC DESTRUCTION BENIGN LESIONS 15/>, 271.00 
76000218,HC CHEMICAL CAUTERIZATION GRANULATION TISSUE, 501.00 
76000220,HC DESTRUCTION MAL LESION TRUNK/ARM/LEG 0.6-1.0 CM, 271.00 
76000221,HC DESTRUCTION MAL LESION TRUNK/ARM/LEG 1.1-2.0CM, 271.00 
76000222,HC DESTRUCTION MAL LESION TRUNK/ARM/LEG 2.1-3.0CM, 271.00 
76000223,HC DESTRUCTION MAL LESION TRUNK/ARM/LEG 3.1-4.0CM, 235.00 
76000224,HC DESTRUCTION MAL LESION TRUNK/ARM/LEG < 4.0 CM, 438.00 
76000226,HC DESTRUCTION MALIGNANT LESION S/N/H/F/G 0.6-1.0CM, 501.00 
76000227,HC DESTRUCTION MALIGNANT LESION S/N/H/F/G 1.1-2.0CM, 501.00 
76000228,HC DESTRUCTION MALIGNANT LESION S/N/H/F/G 2.1-3.0CM, 916.00 
76000230,HC DESTRUCTION MALIGNANT LESION F/E/E/N/L/M 0.5CM/<, 239.00 
76000231,HC DESTRUCTION MAL LESION F/E/E/N/L/M 0.6-1.0CM, 916.00 
76000232,HC DESTRUCTION MAL LESION F/E/E/N/L/M 1.1-2.0CM, 916.00 
76000235,HC MOHS MICROGRAPHIC H/N/H/F/G 1ST STAGE 5 BLOCKS, 703.00 
76000236,HC MOHS MICROGRAPHIC H/N/H/F/G EACH ADDL STAGE, 2142.00 
76000237,HC MOHS TRUNK/ARM/LEG 1ST STAGE 5 BLOCKS, 703.00 
76000238,HC MOHS TRUNK/ARM/LEG EA STAGE AFTER 1ST STAGE, 2142.00 
76000239,HC MOHS TRUNK/ARM/LEG EA ADDL BLOCK ANY STAGE, 2142.00 
98300008,HCPR I&D HEMATOMA SEROMA/FLUID COLLECTION, 471.00 
98300012,HCPR DEBRIDEMENT SUBCUTANEOUS TISSUE 20 SQ CM/<, 308.00 
98300013,HCPR DEBRIDEMENT MUSCLE & FASCIA 20 SQ CM/<, 822.00 
98300014,HCPR DBRDMT SUBCUTANEOUS TISSUE EA ADDL 20 SQ CM, 212.00 
98300019,HCPR BX SKIN SUBCUTANEOUS&/MUCOUS MEMBRANE 1 LESION, 318.00 
98300042,HCPR EXC B9 LES MRGN XCP SK TG S/N/H/F/G 0.6-1.0CM, 451.00 
98300043,HCPR EXC B9 LES MRGN XCP SK TG S/N/H/F/G 1.1-2.0CM, 504.00 
98300048,HCPR EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 0.6-1.0CM, 477.00 
98300120,HCPR CHEMICAL CAUTERIZATION GRANULATION TISSUE, 239.00 
76000275,HC BIOPSY MUSCLE PERCUTANEOUS NEEDLE, 1132.00 
76000278,HC BIOPSY BONE OPEN SUPERFICIAL, 2787.00 
76000283,HC REMOVAL FOREIGN BODY MUSCLE/TENDON SHEATH SIMPLE, 1009.00 
76000284,HC RMVL FOREIGN BODY MUSCLE/TENDON SHEATH DEEP/COMP, 2787.00 
76000289,HC INJECTION SINGLE/MLT TRIGGER POINT 1/2 MUSCLES, 326.00 
76000290,HC INJECTION SINGLE/MLT TRIGGER POINT 3/> MUSCLES, 326.00 
76000304,HC REMOVAL IMPLANT DEEP, 2608.00 
76000306,HC TISSUE GRAFTS OTHER, 3590.00 
76000310,HC EXCISION TUMOR SOFT TISS FACE/SCALP SUBQ <2CM, 2941.00 
76000311,HC EXCISION TUMOR SOFT TISS FACE/SCALP SUBQ 2 CM/>, 1021.00 
76000312,HC EXC TUMOR SOFT TISS FACE&SCALP SUBFASCIAL <2CM, 1021.00 
76000313,HC EXC TUMOR SOFT TISS FACE&SCALP SUBFASCIAL 2 CM/>, 1030.00 
76000320,HC GRAFT EAR CRTLG AUTOGENOUS NOSE/EAR, 1898.00 
76000324,HC CLOSED TREATMENT NASAL FRACTURE W/O MANIPULATION, 136.00 
76000325,HC CLOSED TX NASAL FRACTURE W/O STABILIZATION, 885.00 
76000326,HC CLOSED TREATMENT NASAL FRACTURE W/STABILIZATION, 1961.00 
76000328,HC CLSD TX FX ORBIT EXCEPT BLOWOUT W/O MANIPULATION, 876.00 
76000340,HC I&D DEEP ABSC/HMTMA SOFT TISSUE NECK/THORAX, 2519.00 
76000341,HC EXC TUMOR SOFT TIS NECK/ANT THORAX SUBQ 3 CM/>, 2797.00 
76000343,HC EXC TUMOR SOFT TISSUE NECK/ANT THORAX SUBQ <3CM, 2856.00 
76000566,HC EXCISON TUMOR SOFT TISSUE THIGH/KNEE SUBQ 3 CM/>, 2787.00 
98300143,HCPR BIOPSY MUSCLE PERCUTANEOUS NEEDLE, 721.00 
98300167,HCPR EXC TUMOR SOFT TISSUE NECK/ANT THORAX SUBQ <3CM, 1299.00 
76000741,HC DRAINAGE ABSCESS/HEMATOMA NASAL INT APPROACH, 137.00 
76000742,HC DRAINAGE ABSCESS/HEMATOMA NASAL SEPTUM, 408.00 
76000743,HC BIOPSY INTRANASAL, 916.00 
76000744,HC EXCISION NASAL POLYP SIMPLE, 858.00 
76000745,HC EXCISION/DESTRUCTION INTRANASAL LESION INT APPR, 1961.00 
76000747,HC REMOVAL FOREIGN BODY INTRANASAL OFFICE PROCEDURE, 159.00 
76000748,HC CONTROL NASAL HEMORRHAGE ANTERIOR SIMPLE, 136.00 
76000749,HC CONTROL NASAL HEMORRHAGE ANTERIOR COMPLEX, 136.00 
76000750,HC CTRL NSL HEMRRG PST NASAL PACKS&/CAUTERY 1ST, 137.00 
76000756,HC NASAL ENDOSCOPY DIAGNOSTIC UNI/BI SPX, 245.00 
76000757,HC NASAL/SINUS ENDOSCOPY DX MAXILLARY SINUSOSCOPY, 1623.00 
76000758,HC NASAL/SINUS ENDOSCOPY DX SPHENOID SINUSOSCOPY, 1953.00 
76000759,HC NASAL/SINUS NDSC SURG W/BX POLYPECT/DBRDMT SPX, 1958.00 
76000760,HC NASAL/SINUS NDSC SURG W/CONTROL NASAL HEMRRG, 1971.00 
76000763,HC TRACHEOTOMY TUBE CHANGE PRIOR TO FISTULA TRACT, 219.00 
76000766,HC LARYNGOSCOPY W/WO TRACHEOSCOPY DX EXCEPT NEWBORN, 1914.00 
76000768,HC LARYNGOSCOPY W/FOREIGN BODY REMOVAL, 1971.00 
76000769,HC LARYNGOSCOPE INJECTION VOCAL CORD THERAPEUTIC, 1953.00 
76000770,HC LARGSC W/NJX VOCAL CORD THER W/MICRO/TELESCOPE, 3029.00 
76000771,HC LARYNGOSCOPY FLEXIBLE DIAGNOSTIC, 245.00 
76000772,HC LARYNGOSCOPY FLEXIBLE FIBEROPTIC W/BIOPSY, 2939.00 
76000773,HC LARYNGOSCOPY FLX FIBEROPTIC RMVL FOREIGN BODY, 599.00 
76000774,HC LARYNGOSCOPY FLX/RGD FIBOPT W/STROBOSCOPY, 916.00 
76000779,HC CONSTJ TRACHEOESOPHGL FSTL&INSJ SP PROSTH, 3012.00 
76000781,HC TRACHEOBRNCHSC THRU EST TRACHS INC, 1623.00 
76000783,HC BRNCHSC INCL FLUOR GID DX W/CELL WASHG SPX, 1529.00 
76000791,HC BRNCHSC W/TRACHEAL/BRONCHIAL DILAT/CLSD RDCTJ FX, 3211.00 
76000803,HC BRNCHSC W/THER ASPIR TRACHEOBRNCL TREE 1ST, 1483.00 
76001092,HC INSJ PRPH CVC W/O SUBQ PORT/PMP AGE 5 YR/>, 1369.00 
76001167,HC LIGATION/BIOPSY TEMPORAL ARTERY, 1846.00 
76001205,HC BX/EXC LYMPH NODE OPEN SUPERFICIAL, 3226.00 
76001206,HC BX/EXC LYMPH NODE NEEDLE SUPERFICIAL, 1600.00 
98300287,HCPR BIOPSY INTRANASAL, 424.00 
98300289,HCPR REMOVAL FOREIGN BODY INTRANASAL OFFICE PROCEDURE, 689.00 
98300290,HCPR CONTROL NASAL HEMORRHAGE ANTERIOR SIMPLE, 276.00 
98300294,HCPR NASAL ENDOSCOPY DIAGNOSTIC UNI/BI SPX, 663.00 
98300295,HCPR NASAL/SINUS NDSC SURG W/BX POLYPECT/DBRDMT SPX, 901.00 
98300297,HCPR LARYNGOSCOPY FLEXIBLE FIBEROPTIC DIAGNOSTIC, 530.00 
98300299,HCPR LARYNGOSCOPY FLX/RGD FIBOPT W/STROBOSCOPY, 578.00 
75000001,HC BIOPSY OF LIP, 501.00 
75000006,HC DRG ABSC CST HMTMA VESTIBULE MOUTH SMPL, 258.00 
75000007,HC DRG ABSC CST HMTMA VESTIBULE MOUTH COMP, 876.00 
75000010,HC BIOPSY VESTIBULE MOUTH, 916.00 
75000011,HC EXC LES MUCOSA & SBMCSL VESTIBULE MOUTH W/O RPR, 1898.00 
75000012,HC EXC LES MUCOSA & SBMCSL VESTIBULE SMPL RPR, 2142.00 
75000013,HC EXC FRENUM LABIAL/BUCCAL, 2114.00 
75000018,HC INTRAORAL I&D TONGUE/FLOOR LINGUAL, 885.00 
75000022,HC INCISION LINGUAL FRENUM FRENOTOMY, 1623.00 
75000027,HC BIOPSY TONGUE ANTERIOR TWO-THIRDS, 916.00 
75000028,HC BIOPSY TONGUE POSTERIOR ONE-THIRD, 1961.00 
75000029,HC BIOPSY FLOOR MOUTH, 1033.00 
75000030,HC EXCISION LESION TONGUE W/O CLOSURE, 1955.00 
75000031,HC EXC LES TONGUE W/CLSR ANTERIOR TWO-THIRDS, 2143.00 
75000032,HC EXC LES TONGUE W/CLSR POSTERIOR ONE-THIRD, 1955.00 
75000033,HC EXCIISION LINGUAL FRENUM FRENECTOMY, 916.00 
75000035,HC RPR LAC 2.5 CM/< MOUTH&/ANT TWO-THIRDS TONG, 137.00 
75000039,HC DRG ABSC CST HMTMA FROM DENTOALVEOLAR STRUXS, 260.00 
75000047,HC BIOPSY PALATE UVULA, 916.00 
75000048,HC EXC LESION PALATE UVULA W/O CLOSURE, 2142.00 
75000054,HC DRAINAGE ABSCESS PAROTID SIMPLE, 879.00 
75000056,HC SIALOT SUBMNDBLR SUBLNGL/PRTD UNCOMP INTRAORAL, 1974.00 
75000057,HC BIOPSY SALIVARY GLAND NEEDLE, 1132.00 
75000058,HC BIOPSY SALIVARY GLAND INCISIONAL, 2896.00 
75000060,HC INJECTION PROCEDURE SIALOGRAPHY, 499.00 
75000061,HC I&D ABSCESS PERITONSILLAR, 423.00 
75000062,HC I&D ABSC RTRPHRNGL/PARAPHARYNGEAL INTRAORAL, 1974.00 
75000064,HC BIOPSY OROPHARYNX, 2142.00 
75000066,HC BIOPSY NASOPHARYNX VISIBLE LESION SIMPLE, 2142.00 
75000068,HC REMOVAL FOREIGN BODY PHARYNX, 159.00 
75000069,HC CONTROL OROPHARYNGEAL HEMORRHAGE SIMPLE, 137.00 
75000081,HC ESPHGSC RGD/FLX W/BALLOON DILAT <30 MM DIAM, 1623.00 
75000082,HC ESPHGSC RGD/FLX W/INSJ GUIDE WIRE DILATION, 1579.00 
75000099,HC EGD FLEXIBLE FOREIGN BODY REMOVAL, 1076.00 
75000100,HC UPR GI NDSC INSJ GUIDE WIRE DILAT ESOPHAGUS, 1045.00 
75000101,HC UPR GI NDSC BALLOON DILAT ESOPH <30 MM DIAM, 1642.00 
75000121,HC DILATION ESOPH UNGUIDED SOUND/BOUGIE 1/MULT PASS, 1081.00 
75000299,HC INSERT DUODENOSTOMY/JEJUNOSTOMY TUBE PERQ, 1613.00 
75000302,HC REPLACE GASTROSTOMY/CECOSTOMY TUBE PERCUTANEOUS, 728.00 
98300323,HCPR BIOPSY VESTIBULE MOUTH, 557.00 
98300324,HCPR BIOPSY TONGUE ANTERIOR TWO-THIRDS, 467.00 
98300325,HCPR BIOPSY TONGUE POSTERIOR ONE-THIRD, 477.00 
98300326,HCPR BIOPSY FLOOR MOUTH, 424.00 
98300329,HCPR I&D ABSCESS PERITONSILLAR, 562.00 
98300330,HCPR BIOPSY OROPHARYNX, 477.00 
98300336,HCPR CHANGE GASTROSTOMY TUBE PERCUTANEOUS W/O GUIDE, 901.00 
76001272,HC NDL EMG STDS EMG ANAL/URTL SPHNCTR ANY TQ, 337.00 
76001412,HC BIOPSY THYROID PERCUTANEOUS CORE NEEDLE, 1642.00 
76001453,HC STRTCTC CPTR ASSTD PX CRANIAL INTRADURAL, 296.00 
76001462,HC SPINAL PUNCTURE LUMBAR DIAGNOSTIC, 571.00 
76001463,HC SPINAL PUNCTURE THER DRAIN CEREBROSPINAL FLUID, 564.00 
76001498,HC INJECTION ANESTHETIC AGENT FACIAL NERVE, 881.00 
76001516,HC INJECTION ANES OTHER PERIPHERAL NERVE/BRANCH, 574.00 
76001558,HC INC IMPLTJ CRNL NRV NSTIM ELTRDS & PULSE GENER, 44480.00 
76001570,HC CHEMODENERV PAROTID&SUBMANDIBL SALIVARY GLNDS, 326.00 
76001571,HC CHEMODNRVTJ MUSC MUSC INNERVATED FACIAL NRV UNIL, 326.00 
76001589,HC DSTRJ NEUROLYTIC AGENT OTHER PERIPHERAL NERVE, 1080.00 
76001591,HC CHEMODENERVATION ECCRINE GLANDS OTH AREA PER DAY, 326.00 
76001601,HC REMOVAL FB EYE CONJUNCTIVAL SUPERFICIAL, 127.00 
76001602,HC RMVL FB XTRNL EYE EMBED SCJNCL/SCLERAL NONPERFOR, 127.00 
76001603,HC RMVL FB XTRNL EYE CORNEAL W/O SLIT LAMP, 127.00 
76001604,HC RMVL FB XTRNL EYE CORNEAL W/SLIT LAMP, 127.00 
76001605,HC RMVL FB INTRAOCULAR ANT CHAMBER EYE/LENS, 1916.00 
76001606,HC RPR LAC CJNC W/WO NONPERFOR LAC SCLERA DIR CLSR, 2349.00 
76001607,HC RPR LAC CORNEA NONPERFOR W/WO RMVL FOREIGN BODY, 2834.00 
76001608,HC RPR LAC CORNEA&/SCLERA PERFOR X INVG UVEAL TIS, 2752.00 
76001611,HC CORNEA SCRAPING DIAGNOSTIC SMEAR &/CULTURE, 127.00 
76001612,HC RMVL CORNEAL EPITHELIUM W/WO CHEMOCAUTERIZATION, 1623.00 
76001613,HC CRNL RELAXING INC CORRJ INDUCED ASTIGMATISM, 1565.00 
76001614,HC PARACENTSIS ANT CHAMB EYE ASPIR AQUEOUS SPX, 1209.00 
76001615,HC PARACENTSIS ANT CHAM RMVL VITREOUS W/WO AIR INJX, 2833.00 
76001616,HC PARACEN ANT CHAM RMVL BLOOD W/WO IRRIG&/AIR IN, 2784.00 
76001617,HC TRABECULOPLASTY BY LASER SURGERY, 689.00 
76001618,HC REVJ/RPR OPRATIVE WOUND ANTERIOR SEGMENT, 1934.00 
76001620,HC IRIDOPLASTY PHOTOCOAGULATION 1/> SESSIONS, 689.00 
76001622,HC POST-CATARACT LASER SURGERY, 1704.00 
76001623,HC INTRAVITREAL NJX PHARMACOLOGIC AGT SPX, 413.00 
76001624,HC RPR RETINAL DTCHMNT 1/>SES CRYOTX/DTHRM W/WO DR, 2778.00 
76001625,HC RPR RETINAL DTCHMNT 1/> SES PC INCL SUBRETI DRG, 696.00 
76001626,HC RPR RETINAL DTCHMNT INJECTION AIR/OTHER GAS, 2778.00 
76001628,HC DSTRJ LOCLZD LES RETINA 1/> SESS PC, 696.00 
76001629,HC DSTRJ LESION CHOROID PHOTODYNAMIC THERAPY, 698.00 
76001630,HC TREATMENT EXTENSIVE RETINOPATHY PHOTOCOAGULATION, 1378.00 
76001632,HC BLEPHAROTOMY DRAINAGE ABSCESS EYELID, 415.00 
76001633,HC CANTHOTOMY SEPARATE PROCEDURE, 2327.00 
76001634,HC EXCISION CHALAZION SINGLE, 415.00 
76001635,HC INCISIONAL BIOPSY EYELID SKIN & LID MARGIN, 501.00 
76001636,HC CORRECTION TRICHIASIS EPILATION FORCEPS ONLY, 132.00 
76001637,HC CORRECTION TRICHIASIS EPILATION OTH/THAN FORCEPS, 413.00 
76001639,HC EXC LESION EYELID W/O CLSR/W/SIMPLE DIR CLOSURE, 1037.00 
76001640,HC TEMPORARY CLOSURE EYELIDS SUTURE, 1044.00 
76001641,HC REPAIR ECTROPION EXCISION TARSAL WEDGE, 2336.00 
76001642,HC REPAIR ECTROPION EXTENSIVE, 2336.00 
76001643,HC REPAIR ENTROPION SUTURE, 2349.00 
