Description, Price 
CLOSED RED METACARPAL FX W/MANIP/EA BONE, $438.87 
CLOSED RED DISTAL PHALANGEAL FX FINGER, $418.54 
FINGER JOINT CLOSED REDUCTION, $418.54 
SURG HIP INJECTION, $437.00 
SURG INJ SI JOINT, $762.00 
HIP C/R MANIPULATION, $523.78 
TREAT HIP DISLOCATION, $518.59 
SURG KNEE INJECTION, $375.00 
REMOVAL OF FOREIGN BODY THIGH/KNEE," $2,500.00 "
TOTAL KNEE ARTHROPLASTY," $15,000.00 "
REMOVAL OF GROWTH PLATE OF LEG BONE," $4,600.00 "
CLOSED RED PATELLAR DISLOCATION, $448.44 
TREATMENT OF ANKLE FRACTURE, $521.94 
CLOSED RED ANKLE FX BIMALLEOLAR W/MANIP, $504.05 
CLOSED TREATMENT OF ANKLE FRACTURE, $972.36 
SURG FB REMOVAL FOOT," $1,136.05 "
APPLICATION SPLINT LONG ARM, $304.94 
SPLINT SHORT ARM, $278.63 
SPLINT LOWER LEG/ANKLE, $283.41 
SHOULDER ARTHRO," $5,075.00 "
SHOULDER ARTHROSCOPY," $4,928.00 "
SHOULDER ARTHROSCOPY," $4,144.00 "
ARTHROSCOPY BICEPS TENODESIS," $6,048.00 "
TIBIAL ARTHROSCOPY," $5,600.00 "
FB REMOVAL NOSE, $211.66 
NASAL BLEED SIMPLE, $298.96 
NASAL BLEED COMPLEX ANTERIOR, $357.13 
NASAL BLEED COMPLEX POSTERIOR, $386.26 
INSERT EMERGENCY AIRWAY, $620.30 
TRACHEOSTOMY CLEANING, $470.86 
BRONCHOSCOPY W BIOPSY," $2,178.00 "
BRONCHOSCOPY W BIOPSY," $2,439.36 "
ASPIRATION/NASOTRACHEAL, $42.94 
THORACENTESIS, $825.95 
SURG BX LUNG- IR," $1,722.89 "
SURG BX LUNG- Radiology," $1,205.95 "
CHEST TUBE INSERTION PNEUMOTHORAX, $972.22 
INSERTION INDWELLING TUNNELED PLEURAL CA," $5,264.87 "
CHEST TUBE INSERTION HEMOTHORAX," $1,494.80 "
ASPIRATE PLEURA W/O IMAGING," $1,171.92 "
ASPRIRATE PLEURA W/IMAGING- IR," $1,171.92 "
SURG THORACENTESIS ASPIR- US, $883.73 
INSERT CATH PLEURA W/IMAGE," $1,171.92 "
PERICARDIAL CENTESIS INITIAL," $1,880.98 "
PERMANENT VERTRICULAR LEAD INSERTINO," $13,332.36 "
PERMANENT ARTRIAL & VENTRICULAR LEAD INS," $15,047.81 "
TEMPORARY PACEMAKER LEAD INSERTION SINGL," $7,333.30 "
REPLACEMENT PERMANENT GENERATOR ONLY," $10,516.41 "
REPLACEMENT PERMANENT GENERATOR ONLY," $11,170.49 "
LEAD REPOSITION," $4,954.74 "
INSERTION DUAL LEAD PACEMAKER," $8,424.77 "
REVISION PACEMAKER POCKET," $4,101.03 "
REVISE POCKET FOR DEFIB," $4,261.00 "
BI VENTRICULAR LEAD INSERTION ONLY TO UP," $14,697.70 "
ICD GENERATOR CHANGE/REMOVAL," $4,124.10 "
ICD SYSTEM IMPLANT SINGLE OR DUAL," $34,754.42 "
UPGRADE ICD DUAL LEAD SYSTEM," $47,181.90 "
LOOP RECORDER INSERTION," $9,095.90 "
LOOP RECORDER REMOVAL," $2,994.51 "
INTRA AORTIC BALLOON PMP," $3,510.15 "
INJECTION PROCEDURE FOR PERC TX OF EXTRE, $796.53 
INSRT NDL FOR VENOGRAPHY- IR," $1,264.02 "
SURG VENOGRAPHY INJ- Radiology, $585.86 
CATH INSERT SVC OR IVC- OR," $1,356.00 "
CATH INSERT SVC OR IVC- IR," $2,022.80 "
"SELECTIVE CATH PLACEMNT,FIRST ORDER BRNC- OR"," $1,395.43 "
CATH PLACMNT VEN 1ST ORD- IR," $1,789.44 "
"SELECTIVE CATH PLACEMENT, FIRST ORDER BR"," $1,789.44 "
"SELECTIVE CAT PLACEMENT, SECOND ORDER BR"," $2,028.36 "
ESTABLISH ACCESS TO ARTERY," $2,480.40 "
VERTEBRAL UNILATERAL ANGIO," $6,100.80 "
SEL 1ST ORD AD/PEL LWV," $3,114.66 "
SEL 2ND ORD ABD/PEL/LWR," $2,666.51 "
INIT 3RD ORD ADB/PEL/LWR- IR," $2,958.29 "
SELECTIVE CATHETER PLACEMENT- OR," $2,313.35 "
ANGIO RENAL UNIL 1ST ORDER," $14,779.96 "
ANGIO RENAL BILAT 1ST ORDER," $13,808.87 "
ANGIO RENAL UNIL 2/3 ORDER," $8,156.92 "
VENIPUNCTURE, $13.44 
COLLECTION OF CAPILLARY BLOOD SPEC, $6.30 
BLOOD ADMIN/UNIT ER, $927.97 
BLOOD ADMIN/UNIT SURG," $1,030.81 "
BLOOD ADMI/UNIT MS, $927.97 
INJECTION OF SCLEROSING SOLUTIONS, $825.09 
ENDOVENOUS ABLATION THERAPY," $6,388.44 "
CENTRAL LINE PLACEMENT >5YEARS OLD- OR," $2,049.67 "
INSER NON-TUNN CENTRL VENOUS CATH >5 YRS-IR," $2,517.59 "
CENTRAL LINE >5 YRS- Med Surg," $2,048.48 "
INSERT TUNN VENOUS CATH W/O PORT >5YRS," $4,700.06 "
INSERT TUNN CENTRL VEN DEV W/PORT >5 YRS," $4,942.36 "
"INSERTION OF PICC, W/O PORT; > 5 YRS OLD- IR"," $2,379.14 "
PICC > 5 YEARS OLD- Med Surg," $1,714.84 "
SURG PICC LINE PLACEMENT > 5YRS- Radiology," $1,713.64 "
REMOVAL OF TUNNELD CENT VEN CATH W/O PRT," $2,473.97 "
REMOVAL TUNNELD CENT VEN ACC DEVC W/PORT," $3,458.47 "
DRAW BLOOD OFF VENOUS DEVICE, $113.60 
MECH REMOV TUNNELED CV CATH," $1,808.00 "
CONTRAST INJ EVALUATION, $769.03 
ARTERIAL LINE PLACEMENT, $593.89 
INTRAOSSEOUS INFU, $350.38 
INTRO CATH DIALYSIS CIRCUIT," $5,696.00 "
INTRO CATH DIALYSIS CIRCUIT W/ TRLUML BA," $16,811.00 "
PERQ THRMBC/NFS DIALYSIS," $10,782.00 "
PERQ THRMBC/NFS DIAL CIRCUIT," $21,896.00 "
PERQ THRMBC NFS DIAL CIRCUIT," $32,472.00 "
TRLUML BALO ANGIOP," $16,811.00 "
DIALYSIS CIRCUIT EMBOLJ, $500.00 
PRIMARY PERCUTANEOUS TRANSLUMINAL," $7,525.54 "
SECONDARY PERCUTANEOUS TRANSLUMINAL," $5,643.04 "
VENOUS MECH THROMB DAY 1- OR," $5,843.10 "
VENOUS MECH THROMB DAY 1- IR," $7,430.69 "
PERCETANEOUS MECHANICAL THORMBECT," $4,709.80 "
IVC FILTER PLACEMENT," $7,392.17 "
IVC FILTER RETRIEVAL," $6,019.12 "
THROMBOLYTIC ART THERAPY INITIAL," $2,090.01 "
THROMBOLYTIC VENOUS THERAPY INITIAL," $2,090.01 "
CESSATION OF THERAPY W/CATH REMOVAL," $4,660.62 "
STENT ILIAC WITH PTA WHEN PERFORMED," $7,869.61 "
ILIAC REVASC ADD ON," $11,804.42 "
"STENT, ILIAC W/ PTA"," $11,804.42 "
FEM/POPL REVAS W/ TLA," $9,530.28 "
PERC ATHRCTOMY FEM/POP," $11,804.42 "
"STENT, FEMORAL/POP"," $11,804.42 "
STENT AND ATHERECTOMY FEM/POP," $20,446.96 "
TIB/ PER REVASC W/ TLA," $15,047.81 "
REVASCULARIZATION," $11,807.51 "
PTA TIBIAL/ PERONEAL EACH ADDL VESSEL," $5,561.67 "
REVASCULARIZATION," $8,226.13 "
OPEN/PERQ PLACE STENT 1ST ART," $10,574.00 "
OPEN/PERQ PLACE STENT 1ST VEIN," $10,574.00 "
OPEN/PERQ PLACE STENT EA ADD VEIN," $8,907.00 "
VASC EMBOLIZE/ OCCLUDE VENOUS," $8,611.00 "
VASC EMBOLIZE/OCCLUDE ORGAN," $8,611.00 "
VASC EMBOLIZE/OCCLUDE BLEED," $8,611.00 "
TRLUML BALO ANGIOP," $8,364.00 "
TRLUML BALO ANGIOP," $8,737.00 "
IVUS INITIAL NON CORONARY VESSEL," $3,992.00 "
IVUS EACH ADDL VESSEL IVUS," $4,108.00 "
STAB PHLEBECTOMY OF VARICOSE VEINS," $5,979.20 "
BONE MARROW ASPIRATION, $575.00 
BONE MARROW BIOPSY, $819.00 
DX BONE MARROW BX & ASPIR," $3,400.00 "
SURG BX LYMPH NODE," $1,238.89 "
RESECT MEDIASTINAL CYST," $5,500.00 "
REPAIR TONGUE LACERATION, $460.00 
"REPAIR OF LACERATION OF TONGUE, MOUTH", $750.00 
"DRAINAGE OF ABSCESS, CYST HEMATOMA", $428.11 
EGD BIOPSY SINGLE/MULTIPLE," $2,020.00 "
EGD PLACE GASTROSTOMY TUBE," $3,200.00 "
EGD OPTICAL ENDOMICROPSCOPY," $3,047.00 "
INSERTION OF CATHETER FOR HEART BLOCK," $4,500.00 "
LAP PARAESOPHAG HERNIA REPAIR," $16,000.00 "
NG TUBE PLACEMENT, $637.38 
TREAT WRIST BONE FRACTURE, $643.36 
LAP RMVL GAST ADJ ALL PARTS," $10,050.00 "
SURG ABSCESS DRAIN APPENDICAL," $1,793.76 "
APPENDECTOMY," $6,500.00 "
COLONOSCOPY AND BIOPSY," $2,548.37 "
COLONOSCOPY SUBMUCOUS NJX," $1,575.00 "
I & D ISCHIORECTA/PERIREC," $3,094.84 "
REMOVAL BY LIGAT HEMMORIOD," $2,500.00 "
LIVER BIOPSY- IR," $1,692.74 "
SURG BX LIVER- Radiology," $1,347.71 "
SURG BX PANCREAS," $1,337.83 "
SURG ABSCESS DRAIN ABDOMEN," $1,793.76 "
ABDOMINAL PARACENTESIS W IMAGING- ER," $1,600.00 "
SURG PARACENTESIS- IR," $2,937.20 "
SURG PARACENTESIS- Radiology," $1,181.36 "
ABDOMEN/RETROPERITONEAL PERC- IR," $2,097.00 "
SURG BX ABD MASS- Radiology," $1,275.96 "
SCLEROTHERAPY OF FLUID COLLECTION," $1,153.00 "
IMAGE CATH FLUID PERI/RETRO," $2,466.00 "
SURG ABSCESS DRAIN PELVIC/PERC," $2,098.96 "
INSERTION OF INTRA PERITONEAL  CATHETER," $6,888.04 "
G TUBE PLACEMENT UNDER FLUORO," $1,539.85 "
HERNIA REPAIR W/MESH," $1,700.00 "
RENAL BIOPSY PERC- IR," $1,969.55 "
SURG BX RENAL-Radiology," $1,377.61 "
PERCUTANEOUS ANTEGRADE PYELOGRAM-IR," $1,870.30 "
SURG ASPIRATION PELVIS-Radiology," $1,185.08 "
PERC NEPHROSTOMY," $3,297.53 "
"PLCMT NEPHRO CATH, PERC INCL DIAGN NEPHR"," $3,298.00 "
"LITHOTRIPSY, EXTRACORPOREAL SHOCK WAVE"," $9,627.72 "
PERC RF ABLATE RENAL TUMOR," $7,500.00 "
ABLATION RENAL TUMOR," $8,600.00 "
PLCMT OF URETERAL STENT," $3,979.00 "
ASPIRATION OF BLADDER W/ INS SUPRA CATH," $4,293.07 "
SURG VCUG INJ, $396.00 
BLADDER IRRIGATION, $368.32 
CATH UREATHRA (STRAIGHT), $175.79 
CATH UREATHRA (FOLEY), $209.27 
INSERTION OF CATHETER COMPLICATED MULTI, $337.23 
CHANGE OF BLADDER TUBE, $905.00 
NEEDLE EMG OF ANAL SPHINCTER, $460.40 
MEASUREMENT OF POST VOIDING RESIDUAL, $208.08 
CYSTOSCOPY AND TREATMENT," $3,561.60 "
CYSTO W/  STONE REMOVAL," $2,891.84 "
CYSTO W/ LITHOTRIPSY," $4,670.00 "
DRAINAGE OF SCROTUM ABSCESS," $1,548.61 "
SURG BX PROSTATE," $2,340.26 "
LAPARO RADICAL PROSTATECTOMY," $15,900.00 "
INCISION AND DRAINAGE OF VULVA OR PERINE, $508.23 
INCISION AND DRAINAGE OF ABCESS, $508.23 
COLPOPEXY EXTRAPERITONEAL," $6,500.00 "
REMOVAL FOREIGN BODY VAGINAL," $2,500.00 "
CONIZATION OF CERVIX," $5,000.00 "
CONIZATION OF CERVIX," $4,224.99 "
SURG HYSTERSONO;INJ, $396.00 
ENDOMETRIAL ABLATION THERMAL," $4,424.61 "
NON-STRESS, $417.35 
AMNIOINFUSION, $279.41 
SURG BX THYROID, $786.86 
"PARTIAL THYROID LOBECTOMY, UNILATERAL"," $5,500.00 "
SURG ASPIRATION THYROID, $837.09 
INTERDISCAL PERQ ASPIR DX," $1,361.00 "
"PERCUTANEOUS ASPIRATION, SPINAL CORD CYS"," $1,998.37 "
LUMBAR PUNCTURE- ER, $772.51 
DIAGNOSTIC SPINAL PUNCTURE - LUMBAR- OR," $1,086.11 "
SURG SPINAL TAP CS DRAIN- Radiology, $772.51 
EPIDURAL / BLOOD PATCH- ER," $1,096.59 "
INJECTION EPIDURAL BLOOD PATCH- OR," $1,484.04 "
SURG MYELO INJ OTHER, $891.60 
MYELOGRAPHY LUMBAR INJECTION," $2,016.00 "
EPIDURAL STEROID INJECTIN-CER OR THORA," $2,101.37 "
EPIDURAL INJECTION LUMBAR OR SACRAL," $2,035.84 "
EPIDURAL INJECTION W/CATH OB," $1,394.35 "
INJ INTERLAMINAR CRV/THRC," $2,957.00 "
INJ INTERLAMINAR," $2,891.00 "
LAMINOTOMY," $11,000.00 "
SPINAL DISK SURGERY ADD ON," $3,950.00 "
REMOVE SPINAL LAMINA ADD-ON," $3,500.00 "
DECOMPRESS SPINE CORD ADD-ON," $5,200.00 "
IMPLANT NEUROELCTRODES," $7,462.58 "
IMPLANT NEUROELECTRODES," $5,910.16 "
REMOVE SPINE ELECTRODE PERQ ARRAY," $3,930.79 "
REMOVE SPINE ELECTRODE PERQ ARRAY," $8,857.41 "
IMPLANT NEURORECEIVER," $9,493.36 "
INJ TRIGEMINAL NERVE, $870.57 
INJ SUPRASCAPULAR NERVE," $1,147.00 "
INJ INTERCOSTAL NERVE SINGLE," $1,328.58 "
INJ INTERCOSTAL NERVES MULTIPLE," $1,993.86 "
N BLOCK INJ ILIO-ING/HYPOGI," $1,201.82 "
INJECTION SCIATIC NERVE," $1,440.99 "
N BLOCK INJ FEM SINGLE," $1,109.74 "
NERVE BLOCK / PERIPHERAL NERVE- ER, $723.48 
INJECTION PERIPHERAL NERVE OR BRANCH- IR, $962.10 
INJ TRANSFORMINAL ADDT'L LEVELS-CERVICAL," $1,244.87 "
INJ TRANSFORMINAL EPIDURAL-LUMBAR/SACRAL," $2,095.17 "
INJ TRANSFORMINAL ADDT'L LEVELS LUMBAR," $1,142.03 "
TAP BLOCK BI INJECTION," $2,500.00 "
INJECTION/FACET JOINT-CERVICAL/THORACIC," $2,227.85 "
INJ PARAVERT F JNT C/T 2 LEV, $478.34 
INJ PARAVERT F JNT C/T 3 LEV, $447.06 
INJECTION/FACET JOINT - LUMBAR/SACRAL," $2,242.20 "
INJECTION/FACET JOINT ADDIT'L LEVELS(LS)," $1,070.28 "
INJECTION/FACET JOINT-ADDTL LEVEL (C/T)," $1,016.46 "
INJ SPHENOPALATINE GANGLION," $1,662.22 "
INJ PARAVERTEBRAL SYMPATHETIC LUMB/THORA," $2,236.22 "
INJECTION OF CELIAC PLEXUS," $2,284.06 "
CHEMODENERV MUSC MIGRAINE, $437.00 
DESTRUCTION OF FACET NERVE/CERV/THORAC," $3,651.38 "
DESTRUCTION FACET NERVE/CERV/THO EA ADD, $941.07 
DESTRUCT FACET JOINT C/T EA ADDED," $3,651.38 "
DESTRUCTION OF FACET NERVE/LUMBAR/SACRAL," $1,821.78 "
DESTRUCTION FACET NERVE/LUMBAR/ EA ADD," $1,257.36 "
DESTRUCT OTHER PERIPHERAL NERVE OR BRANC," $1,482.84 "
REVISE ULNAR NERVE AT WRIST," $3,100.00 "
REMOVE NERVE LESION," $4,500.00 "
GANGLION IMPAR SYMPATHECTIC BLOCK REPORT," $1,885.00 "
FB REMOVAL EYE CORNEAL NO SLITLAMP, $314.51 
CATARACT SURG W/IOL 1 STAGE," $2,135.00 "
FB REMOVAL EAR, $251.13 
REMOVE IMPACTED EAR WAX, $65.00 
ORBITS FOR FB DETECTION, $236.00 
MANDIBLE LTD, $261.00 
MANDIBLE 4 + VIEWS, $380.00 
FACIAL BONES LTD, $283.87 
FACIAL BONES 3 VIEWS, $391.72 
NASAL BONE 3 VIEW, $289.97 
SINUS LTD, $239.10 
SINUS 3 VIEW MIN, $385.62 
SKULL LTD, $298.11 
SKULL 4 VIEW MIN, $448.70 
TMJ RT, $251.31 
MRI TEMPOROMANDIBULAR JNT," $2,126.21 "
NECK-SOFT TISSUE VIEW, $250.00 
CT HEAD WO CON," $1,080.10 "
CT HEAD W CON," $1,190.00 "
CT HEAD W/WO CON," $1,330.00 "
CT ORB SEL PFOS IAC W/O," $1,150.80 "
CT MAXILLOFACIAL W/O CON," $1,054.20 "
CT SINUSES WO CON, $910.00 
CT MAXILLOFACIAL W CON," $1,275.40 "
CT MAXILLOFACIAL W/WO CON," $1,435.00 "
CT NECK W/O CON," $1,111.60 "
CT NECK W/CON," $1,309.70 "
CT NECK W/WO CON," $1,513.40 "
CTA HEAD," $1,528.80 "
CTA NECK," $1,526.00 "
MRI ORBITS/FACE/NECK WO," $1,742.30 "
MRI ORBIT/FACE/NECK/W/WO," $2,417.80 "
MRA HEAD W/O CON," $1,393.00 "
MRA HEAD W/WO CON," $1,890.00 "
MRA NECK W/CONTRAST," $1,685.60 "
MRI BRAIN WO," $1,610.00 "
MRI BRAIN W/CONTRAST," $2,034.90 "
MRI BRAIN W/WO CONTRAST," $2,552.90 "
CHEST 1 VIEW, $228.00 
CHEST 2 VIEW, $281.00 
CHEST 2 VIEW/W OBLIQUE, $340.00 
RIBS BILAT W/PA CHEST, $476.17 
STERNUM 2 VIEW MIN, $301.17 
SC JOINTS, $277.77 
CT THORAX W/O CON," $1,527.20 "
CT THORAX W/CON," $1,840.92 "
CT THORAX W/WO CON," $2,164.76 "
CTA CHEST," $2,177.64 "
SPINE 1 VIEW SPECIFY, $248.26 
C-SPINE LTD 2-3 VIEWS, $322.53 
C-SPINE COMPLETE MIN 4 VIEWS, $510.76 
C-SPINE COMP +FLEX/EXT, $510.76 
T-SPINE 2 VIEWS, $312.36 
T-SPINE W/SWIM 3V, $374.00 
T-SPINE W/SWIM 3V, $380.53 
T-SPINE MIN 4 VIEW, $400.88 
THORACOLUMBAR 2 VIEW, $328.64 
SCOLIOSIS, $394.77 
LS-SPINE 2-3 VIEW, $350.00 
LS-SPINE W/OBL MIN 4 VIEW, $505.68 
LS-SPINE COMPLETE W/BEND, $552.48 
LS-SPINE BENDING MIN 4 V, $395.79 
CT C-SPINE W/O CON," $1,690.96 "
CT C-SPINE W/CON," $1,970.64 "
CT T-SPINE W/O CON," $1,644.96 "
CT T-SPINE W/CON," $1,860.24 "
CT L-SPINE W/O CON," $1,702.92 "
CT L-SPINE W/CON," $1,991.80 "
CT L-SPINE W/WO CON," $2,285.28 "
MRI C-SPINE WO," $1,628.80 "
MRI T-SPINE WO," $1,879.81 "
MRI L-SPINE LIMITED WO," $1,433.60 "
MRI L-SPINE WO," $1,612.80 "
MRI L-SPINE W/CONTRAST," $1,792.00 "
MRI C-SPINE W/WO CON," $2,973.60 "
MRI T-SPINE W/WO CON," $2,060.80 "
MRI L-SPINE W/WO CONTRAST," $2,060.80 "
PELVIS 1 VIEW, $260.47 
PELVIS 3 VIEW MIN, $335.76 
CTA PELVIS," $2,093.92 "
CT PELVIS W/O CON," $1,526.28 "
CT PELVIS W/CON," $1,804.12 "
MRI PELVIS WO," $1,971.20 "
MRI PELVIS W/WO CONTRAST," $2,598.40 "
SI JOINTS LTD, $246.22 
SI JOINTS 3+ VIEWS, $304.22 
SACRUM/COCCXX 2 VIEW, $302.18 
MYELO LUMBOSCARAL," $1,492.80 "
MYELO 2 OR MORE REGIONS," $1,957.20 "
CLAVICLE LT, $268.61 
CLAVICLE RT, $268.61 
SCAPULA, $280.82 
SHOULDER ARTHRO LT, $892.80 
SHOULDER ARTHRO RT, $892.80 
AC JOINTS, $288.96 
WRIST ARTHRO, $777.60 
MRI JOINT UPR EXTREM  W/O DYE," $1,150.00 "
HIP BILAT 2V, $395.79 
INJ HIP ARTHROGRAM," $1,200.00 "
HIP & PELVIS INFANT 2V, $253.35 
FEMUR LT, $293.03 
FEMUR RT, $293.03 
KNEE BIL STANDING, $249.28 
ABD 1 VIEW, $256.00 
ABD VIEW 2, $335.00 
ABD 3+ VIEWS, $450.00 
ABD 3 VIEW/W CXR, $448.00 
CT ABDOMEN W/O CON," $1,565.84 "
CT ABDOMEN W/CON," $1,880.48 "
CT ABDOMEN W/WO CON," $2,242.96 "
CTA ABDOMEN," $2,144.52 "
CT ABD/PELVIS W/O," $1,392.88 "
CT ABD/PELVIS W," $1,703.84 "
CT ABD/PELVIS WO/W," $2,181.32 "
MRI ABDOMEN WO," $2,268.67 "
MRI ABDOMEN W/CONTRAST," $2,156.80 "
MRI ABDOMEN W/WO CONTRAST," $3,128.83 "
MRA ABD/W," $2,000.00 "
ESOPHAGRAM, $469.00 
ESOPHAGRAM VIDEO, $505.00 
UGI W/O AIR, $607.00 
UGI/SBFT W/O AIR, $897.00 
UGI W AIR, $660.00 
UGI/SBFT W AIR, $929.00 
SM BOWEL FOLLOW THRU, $555.00 
BARIUM ENEMA AIR, $860.00 
CHOLANGIOGRAM IN OR, $600.00 
IVP, $597.00 
UROGRAPHY/RETROGRADE, $697.00 
CYSTOGRAM, $534.00 
VOIDING CYSTOGRAM, $629.00 
HYSTEROSALPINGOGRAM, $648.00 
CT CARDIAC CALCIUM SCORE, $250.00 
CT CARDIAC ANGIO," $2,100.00 "
ABDOMINAL AORTAGRAPHY- IR," $4,529.40 "
ABDOMINAL AORTAGRAPHY- Radiology," $3,566.40 "
CTA AORTA W/RUNOFF," $2,270.56 "
ANGIO EXTREMITY UNIL," $4,387.70 "
ARTERY XRAYS ARMS/LEG- IR," $6,230.00 "
ANGIO EXTREMITY BILAT- Radiology," $3,619.20 "
ANGIO VISCERAL W/WO FLUSH," $4,794.00 "
EACH ADDED VESSEL AFTER BASIC," $2,862.79 "
FISTULAGRAM THRU EXISTING ACCESS," $1,365.60 "
VENOGRAPHY EXT UNILAT," $1,687.20 "
VENOGRAM RT," $1,203.60 "
VENOGRAPHY EXT BILAT," $2,102.40 "
VENOGRAPHY IVC," $3,909.00 "
VENOGRAPHY CAVAL SUPERIOR W/SERIALOGRAPH," $3,140.86 "
VENOGRAPHY RENAL UNIL," $3,922.80 "
VENOGRAPHY RENAL BILAT- IR," $4,009.20 "
VENOGRAPHY RENAL BILAT- Radiology," $2,979.60 "
ANGIO THRU CATHETER STUDY/R THERAPY," $1,447.80 "
CHANGE DRAIN TUBE GI/GU," $1,082.05 "
PERC DRN ABSC W/CTH PLACM," $1,597.25 "
"FLUOROSCOPY, UP TO 1 HOUR PHY TIME- IR", $755.70 
"FLUOROSCOPY, UP TO 1 HOUR PHY TIME", $568.80 
C-ARM/FLOURO > 1HR, $943.20 
SINOGRAM, $484.00 
BREAST SURG SPECIMEN, $195.00 
US BRAIN, $550.00 
US NECK/HEAD GLANDS, $560.00 
US CHEST, $483.00 
US BREAST RT COMPLETE, $435.00 
US ABDOMEN, $810.00 
US ABDOMEN LIMITED, $607.00 
US AAA SCREENING, $300.00 
US RETROPERITONEAL, $660.00 
US EXAM ABDO BACK WALL LIM, $595.00 
US OB 1ST TRIMESTER, $548.00 
US OB 2ND OR 3RD TRIMESTER, $673.00 
US OB 2ND/3RD TRI EA ADD FETUS, $554.00 
US OB LTD, $408.00 
US OB REPEAT, $385.00 
US OB TRANS VAGINAL, $481.00 
US BIOPHYSICAL PROFILE, $588.00 
US TRANSVAGINAL, $568.00 
US HYSTERSONOGRAPHY, $565.00 
US PELVIC, $667.00 
US PELVIC LIMITED, $418.00 
US SCROTUM NON VASCULAR, $609.00 
US TRANSRECTAL, $615.00 
US NONVAS EXT COMPLETE, $500.00 
US NONVAS LTD, $413.00 
