SVCCD,Description,PRICE1,As of Date
1110865,BILAT LITHOTRIPSY   ,99999.5,7/2/2019
1110873,PAIN MGMT IN PROC L3,5136,7/2/2019
1120001,PACU LEV 1 INI 15 MN,980,7/2/2019
1120002,PACU LEV 2 INI 15 MN,1225,7/2/2019
1120003,PACU LEV 3 INI 15 MN,1365,7/2/2019
1120004,PACU LEV 4 INI 15 MN,1475,7/2/2019
1120011,PACU LEV 1 EA ADD MN,65,7/2/2019
1120012,PACU LEV 2 EA ADD MN,82,7/2/2019
1120013,PACU LEV 3 EA ADD MN,91,7/2/2019
1120014,PACU LEV 4 EA ADD MN,98,7/2/2019
1131111,ANES LV 1 INI 15 MIN,950,7/2/2019
1131112,ANES LV 2 INI 15 MIN,1200,7/2/2019
1131113,ANES LV 3 INI 15 MIN,1240,7/2/2019
1131121,ANES LV 1 EA ADD MIN,63,7/2/2019
1131122,ANES LV 2 EA ADD MIN,80,7/2/2019
1131123,ANES LV 3 EA ADD MIN,83,7/2/2019
1138501,LABOR EPIDURAL      ,961,7/2/2019
115110,R&B M/S PRIVATE     ,4216,7/2/2019
115206,R&B M/S PVT TELEM   ,5503.5,7/2/2019
1160111,GI LAB LEV 1 1ST 15 ,4156.5,7/2/2019
1160112,GI LAB LEV 2 1ST 15 ,8313,7/2/2019
1160113,GI LAB LEV 3 1ST 15 ,9975.5,7/2/2019
1160114,GI LAB LEV 4 1ST 15 ,12468.5,7/2/2019
1160121,GI LEV 1 EA ADD MIN ,42.5,7/2/2019
1160122,GI LEV 2 EA ADD MIN ,85,7/2/2019
1160123,GI LEV 3 EA ADD MIN ,102,7/2/2019
1160124,GI LEV 4 EA ADD MIN ,127.5,7/2/2019
1160131,AD PROCEDURE GI LV 1,1246.5,7/2/2019
1160132,AD PROCEDURE GI LV 2,2494,7/2/2019
1160133,AD PROCEDURE GI LV 3,2992,7/2/2019
1160158,GI TRACT CAPSL ENDOS,3374,7/2/2019
1180011,OPEN HRT LV 1 1ST 15,4450,7/2/2019
1180012,OPEN HRT LV 2 1ST 15,4492,7/2/2019
1180021,OPEN HRT LV 1 EA AD ,296.5,7/2/2019
1180022,OPEN HRT LV 2 EA AD ,299.5,7/2/2019
1210006,AMOXIC 400MG/5ML 5ML,9.5,7/2/2019
1210007,IVIG (OCTAGAM) 500MG,575,7/2/2019
1210011,RHOPHYLAC 100UNT    ,534,7/2/2019
1210013,ZOLEDRONIC ACID 1MG ,2167.5,7/2/2019
1210016,CEPHALEX 250/5 100ML,67,7/2/2019
1210019,PHENYLEPHRINE 10MGTB,2.3,7/2/2019
1210025,MIRTAZAPINE 7.5MG TB,2.3,7/2/2019
1210027,ALTEPLASE RECOM 1MG ,591.5,7/2/2019
1210031,NICARDIP 25/10ML INJ,455,7/2/2019
1210054,CLOMIPHENE 50MG TAB ,75,7/2/2019
1210056,QUETIAPINE 200MGSRTB,57.5,7/2/2019
1210060,MICONAZ 2%VAG CR 45G,107.5,7/2/2019
1210061,ROTIGOT 4MG/24HR PTC,178,7/2/2019
1210067,SMZ-TMP 400-800 INJ ,239,7/2/2019
1210071,FLUTICASON 44MCG PUF,9,7/2/2019
1210072,FLUTICASO 110MCG PUF,12,7/2/2019
1210077,ALBUTEROL 90MCG PUFF,20,7/2/2019
1210080,MORPHIN .5MG/.5ML OR,10.5,7/2/2019
1210090,LEVETIRACET 10MG INJ,5.3,7/2/2019
1210115,RIVASTIG 9.5MG PATCH,86,7/2/2019
1210116,RIVASTIG 4.6MG PATCH,86,7/2/2019
1210138,SOD BICARB 4.2% 5ML ,157.5,7/2/2019
1210140,CLOPIDOGREL 300MG TB,97.5,7/2/2019
1210145,CEFEPIME 500MG INJ  ,62,7/2/2019
1210147,ALTEPLASE RECOM 1MG ,559.5,7/2/2019
1210148,ALTEPLASE RECOM 1MG ,559.5,7/2/2019
1210149,CEFOXITIN 1GM INJ   ,123.5,7/2/2019
1210162,OCTREOTIDE ND 25MCG ,66.5,7/2/2019
1210164,OCTREOTIDE ND 25MCG ,56,7/2/2019
1210166,PAMIDRONATE 30MG IJ ,387.5,7/2/2019
1210176,FOSPHENYTOIN 50MG   ,19.5,7/2/2019
1210181,ENOXAPARIN 10MG INJ ,99.5,7/2/2019
1210182,ENOXAPARIN 10MG INJ ,16.5,7/2/2019
1210183,ENOXAPARIN 10MG INJ ,89,7/2/2019
1210185,ENOXAPARIN 10MG INJ ,84.5,7/2/2019
1210186,ENOXAPARIN 10MG INJ ,84.5,7/2/2019
1210187,ENOXAPARIN 10MG INJ ,78,7/2/2019
1210188,AMPICILLIN/SUB 1.5GM,121.5,7/2/2019
1210194,CEFAZOLIN 500MG INJ ,79,7/2/2019
1210195,CEFTRIAXONE 250MGINJ,79,7/2/2019
1210196,CEFTRIAXONE 250MGINJ,48,7/2/2019
1210205,DEXAMETH NA 1MG INJ ,19,7/2/2019
1210206,PHENYTOIN NA 50MGINJ,31.5,7/2/2019
1210209,CEFOTAXIME NA 1GM   ,79,7/2/2019
1210210,MEROPENEM 100MG INJ ,51.5,7/2/2019
1210211,ACYCLOVIR 5MG INJ   ,2.6,7/2/2019
1210212,ACYCLOVIR 5MG INJ   ,2.6,7/2/2019
1210224,LEVOFLOXAC 250MG INJ,237.5,7/2/2019
1210225,LEVOFLOXAC 250MG INJ,210,7/2/2019
1210229,IVIG (OCTAGAM) 500MG,575,7/2/2019
1210233,KETOROLAC 15MG INJ  ,39,7/2/2019
1210234,ONDANSETRON 1MG INJ ,1175.5,7/2/2019
1210235,AMIODARONE 30MG INJ ,8,7/2/2019
1210236,AMPICILLIN 500MG INJ,127,7/2/2019
1210237,AMPICILLIN 500MG INJ,61,7/2/2019
1210238,FLUCONAZOL 200MG INJ,169.5,7/2/2019
1210243,BISMUTH SUB 262MG/15,4,7/2/2019
1210250,BUPIVAC-MPF .5% 30ML,159,7/2/2019
1210257,CYCLOBENZAPRI 5MG TB,2.3,7/2/2019
1210262,FUROSEMIDE 20MG INJ ,38,7/2/2019
1210263,FUROSEMIDE 20MG INJ ,79,7/2/2019
1210266,MEGESTROL 400MG/10ML,21,7/2/2019
1210267,MEPERID HCL 100MGINJ,157.5,7/2/2019
1210268,MEPERID HCL 100MGINJ,157.5,7/2/2019
1210290,PHENYLEPH 2.5%OS 15M,201.5,7/2/2019
1210293,LACTOBA-ACIDO-PEC TB,2.3,7/2/2019
1210294,PIPER/TAZOB 1G/.125G,69,7/2/2019
1210303,METHSUXIMIDE 300MG  ,22,7/2/2019
1210337,OXYCODONE 15MG TAB  ,3.5,7/2/2019
1210342,AMIODARONE 30MG INJ ,10.5,7/2/2019
1210343,EMOLLIENT LOT 473ML ,84,7/2/2019
1210349,CLOTRIM 1% SOLN 10ML,67,7/2/2019
1210359,BENZOC 20% REC OIN30,7.8,7/2/2019
1210360,LIDOCAIN 2%/EPI 1.8M,157.5,7/2/2019
1210366,PHEN-SHK-MO-PE OIN30,60,7/2/2019
1210371,CARBID25-LEVO100MGTB,3.8,7/2/2019
1210390,CON EST/M-PROG.3/1.5,17.5,7/2/2019
1210408,DOBUTAMINE 250MG INJ,28,7/2/2019
1210414,MEMANTINE 2MG/ML 5ML,216.5,7/2/2019
1210432,AMMON LAC 12%CR 140G,68.5,7/2/2019
1210436,PED MVI/FE 10/ML 50M,3.3,7/2/2019
1210453,MINERAL OIL 2ML     ,0.5,7/2/2019
1210474,PANTOPRAZ 40MG PKT  ,30.5,7/2/2019
1210487,VANCOMYCIN 500MG INJ,119.5,7/2/2019
1210498,THROMBIN 5000U RECOM,1032,7/2/2019
1210501,KETOROLAC .5%OS 5ML ,320,7/2/2019
1210507,DEXAMETH 0.25MG ORAL,0.1,7/2/2019
1210537,MIDAZOL  HCL 1MG INJ,16,7/2/2019
1210538,MIDAZOL  HCL 1MG INJ,31.5,7/2/2019
1210539,HEPARIN 1000U INJ   ,193,7/2/2019
1210542,DOXYLAMIN SUC 25MGTB,2.3,7/2/2019
1210546,LIDO-EPI2%-1:100 1.7,157.5,7/2/2019
1210552,PHYTONADIONE 1MG INJ,25.5,7/2/2019
1210554,IPRA-ALBU.5-2.5MG/3M,18.5,7/2/2019
1210558,VANCOMYCIN 500MG INJ,97,7/2/2019
1210563,HYDR PEROX 3% 240ML ,8.5,7/2/2019
1210569,POTASSI CHL 2MEQ INJ,16,7/2/2019
1210577,FE POLYSAC-B12-FA CP,2.3,7/2/2019
1210585,GENTAMIC .1%CRM 15GM,30,7/2/2019
1210595,RALTEGRAVIR 400MG TB,110,7/2/2019
1210609,LIDO-MPF 0.5% 50ML  ,194.5,7/2/2019
1210610,METHYL SALI OIL 60ML,53.5,7/2/2019
1210614,BENZO 20%DENT GEL 7G,9.3,7/2/2019
1210638,DIGOXIN 50MCG/ML 5ML,13.5,7/2/2019
1210662,AMPICILLIN 500MG INJ,79,7/2/2019
1210663,P-EP/SHARK/COCOA SUP,3.3,7/2/2019
1210665,DESVENLAF 50MG SR TB,23.5,7/2/2019
1210666,LUBIPROSTONE 8MCG CP,21,7/2/2019
1210736,MAGNES SULF 500MGINJ,118.5,7/2/2019
1210739,POTASSI CHL 2MEQ INJ,7.9,7/2/2019
1210740,MORPHINE UP TO 10MG ,157.5,7/2/2019
1210746,MULTIVITAM INJ 10ML ,241,7/2/2019
1210752,VIT D3 1000UNT TAB  ,2.3,7/2/2019
1210757,TRANEXAMIC 1000MG IJ,245,7/2/2019
1210801,DEXAMETH NA 1MG INJ ,7.9,7/2/2019
1210802,DEXAMETH NA 1MG INJ ,12,7/2/2019
1210807,LIP16.8-PRO40-AMY70C,21.5,7/2/2019
1210823,ALBUMIN 5% 250ML IV ,507,7/2/2019
1210860,POTASS CIT 5MEQ CRTB,4.3,7/2/2019
1210866,POTASS GLUC 595MG TB,2.3,7/2/2019
1210881,DEXAMETH 0.25MG ORAL,1.1,7/2/2019
1210882,DEXAMETH 0.25MG ORAL,0.8,7/2/2019
1210885,DEXAMETH 0.25MG ORAL,0.5,7/2/2019
1210895,TACROLIMUS 1MG PO   ,4.5,7/2/2019
1210900,PHENOL APPL KIT     ,34,7/2/2019
1210902,HEPARIN 1000U INJ   ,31.5,7/2/2019
1210909,RASAGILINE 0.5MG TAB,68.5,7/2/2019
1210922,CLEVIDIPINE 1MG INJ ,15,7/2/2019
1210925,TENECTEPLASE 1MG INJ,699,7/2/2019
1210928,APLIGRAF SKIN SQ CM ,459,7/2/2019
1210942,CLEVIDIPINE 1MG INJ ,15,7/2/2019
1210961,REGADENOSON 0.1MG IJ,602.5,7/2/2019
1210967,DEXAMETH NA 1MG INJ ,7.9,7/2/2019
1210971,OXYCODONE 15MG SR TB,18.5,7/2/2019
1210975,MICAFUNGIN 1MG INJ  ,9,7/2/2019
1211034,POTASSI CHL 2MEQ INJ,16,7/2/2019
1211035,DOPAMIN HCL 40MG INJ,16,7/2/2019
1211037,MIDAZOL  HCL 1MG INJ,79,7/2/2019
1211039,GENTAMICIN UPTO 80MG,157.5,7/2/2019
1211040,GENTAMICIN UPTO 80MG,25,7/2/2019
1211045,METHOTREX NA 5MG    ,106.5,7/2/2019
1211046,METHOTREXATE NA 50MG,53.5,7/2/2019
1211048,EPO 1000UN INJ NESRD,144.5,7/2/2019
1211075,APAP 32MG/ML 10.15ML,1,7/2/2019
1211082,PAPAVERINE UPTO 60MG,79,7/2/2019
1211091,HYDROCORTIS 100MGINJ,122,7/2/2019
1211092,HYDROCORTIS 100MGINJ,46,7/2/2019
1211094,METHYLPRED 125MG INJ,47,7/2/2019
1211116,POTASSI CHL 2MEQ INJ,9.4,7/2/2019
1211122,TRIAMCIN ACE 10MGINJ,61,7/2/2019
1211123,METHYLPRED 125MG INJ,38,7/2/2019
1211129,DEXAMETH 0.25MG ORAL,0.8,7/2/2019
1211157,SOD CHLOR .9% 10ML  ,157.5,7/2/2019
1211158,CEFTAZIDIM 500MG INJ,239.5,7/2/2019
1211159,MAGNES SULF 500MGINJ,60,7/2/2019
1211162,HEPARIN 1000U INJ   ,9.8,7/2/2019
1211167,NITROFUR MONO 100MG ,20,7/2/2019
1211168,METHYLPRED 40MG INJ ,20,7/2/2019
1211178,PROTAMINE 10MG INJ  ,11,7/2/2019
1211179,HEPARIN 1000U INJ   ,192,7/2/2019
1211186,PHENYLEPHRIN 1ML INJ,49,7/2/2019
1211187,MAGNES SULF 500MGINJ,79,7/2/2019
1211189,ASCORBIC ACID 500MG/,191,7/2/2019
1211192,CALCIUM CL 10% 10ML ,157.5,7/2/2019
1211196,PHENYLEPH.25%SPR 30M,7.5,7/2/2019
1211199,DEXTROSE 50% 50ML   ,237.5,7/2/2019
1211201,PHENYLEPH 1% SPR 15M,32,7/2/2019
1211202,MULTIVIT-MIN LIQ 5ML,2.3,7/2/2019
1211205,MULTIVITAMIN W/MINER,1,7/2/2019
1211206,APAP/COD 120-12/5ML ,5.3,7/2/2019
1211208,K & NA PHOS PWD PKT ,2.3,7/2/2019
1211212,MORPH PO 10MG/5ML 5M,4.3,7/2/2019
1211213,RABIES VAC IM       ,2992,7/2/2019
1211215,AMINOPHYLL 250MG INJ,79,7/2/2019
1211216,DOBUTAMINE 250MG INJ,192.5,7/2/2019
1211217,MORPHINE PF 10MG INJ,238.5,7/2/2019
1211219,DEX 5%/WATER 50ML   ,385,7/2/2019
1211221,LIDOCAINE 10MG IV   ,1.5,7/2/2019
1211223,METHYLPRED 125MG INJ,66,7/2/2019
1211226,MORPHINE UP TO 10MG ,189.5,7/2/2019
1211234,ARTIFIC SALIVA 45ML ,23,7/2/2019
1211251,PEG-KCL-NAB/CL420G/4,147,7/2/2019
1211283,ERYTHRO 200MG/5ML 5M,65.5,7/2/2019
1211324,DESMOPRESSIN 1MCGINJ,531,7/2/2019
1211332,PAMIDRONATE 30MG IJ ,137,7/2/2019
1211347,MILRINONE 5MG INJ   ,242,7/2/2019
1211362,QUETIAPINE 50MG SRTB,29,7/2/2019
1211363,QUETIAPINE 150MGSRTB,52,7/2/2019
1211396,DAKINS.125%SOL 480ML,90,7/2/2019
1211415,GUAIF10-PHEN400MG TB,2.3,7/2/2019
1211422,SOD CHL 3% 4ML NEB  ,8,7/2/2019
1211500,FEBUXOSTAT 40MG TAB ,29.5,7/2/2019
1211503,RABIES IG HEAT TX   ,2640,7/2/2019
1211507,DRONEDRARONE 400MG  ,23,7/2/2019
1211512,ARFORMOTL 15MCG/2ML ,34.5,7/2/2019
1211513,MESALAMINE ER 375MG ,17,7/2/2019
1211520,PRASUGREL 10MG TAB  ,35.5,7/2/2019
1211522,TOLVAPTAN 30MG TAB  ,1323,7/2/2019
1211523,TOLVAPTAN 15MG TAB  ,1217.5,7/2/2019
1211524,LACOSAMIDE 50MG TAB ,39,7/2/2019
1211531,NEOSTIGMINE .5MG INJ,79,7/2/2019
1211533,LEVONORGEST 1.5MG TB,179,7/2/2019
1211555,LORATADI 1MG/MLOR 5M,44,7/2/2019
1211563,LACOSAMIDE 100MG TAB,40.5,7/2/2019
1211574,CAR50-LEV200-ENT200T,20,7/2/2019
1211576,SOD CHL 7% 4ML NEB  ,9,7/2/2019
1211585,ALUM160-MAG105MG CHW,2.3,7/2/2019
1211593,POTASSI CHL 2MEQ INJ,159,7/2/2019
1211614,OSELTAMIVIR 30MG CAP,71.5,7/2/2019
1211643,ATROPINE 0.01MG INJ ,3.9,7/2/2019
1211655,MILNACIPRAN 50MG TAB,15.5,7/2/2019
1211670,PROPAFENONE 225MG TB,3.8,7/2/2019
1211688,INOSITOL 500MG TAB  ,2.3,7/2/2019
1211702,FLUCONAZOL 200MG INJ,247.5,7/2/2019
1211706,SEVELAMER 0.8GM PWD ,80,7/2/2019
1211754,MIDAZ 1MG/ML NS100ML,537.5,7/2/2019
1211764,TIMOLOL 0.25% GL 5ML,308,7/2/2019
1211767,NOREPI 8MG D5W 250ML,256,7/2/2019
1211786,PN VIT/FE/FA 27-.8TB,1,7/2/2019
1211789,ASENAPINE 5MG SL TAB,53,7/2/2019
1211792,PNEUMOCOC 13-VAL IM ,1408,7/2/2019
1211796,ARTIFIC TEAR OIN3.5G,20.5,7/2/2019
1211880,FERR SUL 75MG/ML 1ML,19.5,7/2/2019
1211886,RIFAXIMIN 550MG TAB ,108,7/2/2019
1211902,LIP10.5-PRO35-AMY61.,16,7/2/2019
1211903,THROMB REC 20U KIT  ,3141,7/2/2019
1211924,DIFLUPRED .05%OS 5ML,1080,7/2/2019
1211996,LIP42-PRO14.2AMY24.6,5.3,7/2/2019
1212061,TETRAHYDROZ.05% 15ML,765,7/2/2019
1212086,RISPERIDONE LA 0.5MG,108,7/2/2019
1212092,SUCCINYLCHN 20MG INJ,252,7/2/2019
1212096,DABIGATRAN 75MG TAB ,20.5,7/2/2019
1212109,DABIGATRAN 150MG TAB,21.5,7/2/2019
1212113,COLESEVELAM 3.75GM S,60.25,7/2/2019
1212114,CROTALID POLY IM 1GM,20325,7/2/2019
1212118,ADRENL/EPINEP 0.1MG ,16,7/2/2019
1212119,ADRENL/EPINEP 0.1MG ,24,7/2/2019
1212135,PEN G BENZ INJ 100K ,64.5,7/2/2019
1212136,PEN G BENZ INJ 100K ,51.5,7/2/2019
1212140,VIT D3 5000UNT CAP  ,1,7/2/2019
1212192,ACETAMINO 10MG INJ  ,2.5,7/2/2019
1212213,CEFTAROLIN 10MG INJ ,9.4,7/2/2019
1212214,CEFTAROLIN 10MG INJ ,18,7/2/2019
1212217,INSULIN 1 UNT INJ   ,1.6,7/2/2019
1212221,INSULIN 1 UNT INJ   ,1.6,7/2/2019
1212223,INSULIN 1 UNT INJ   ,1.6,7/2/2019
1212224,INSULIN 1 UNT INJ   ,1.6,7/2/2019
1212226,INSULIN 1 UNT INJ   ,1.6,7/2/2019
1212227,INSULIN 1 UNT INJ   ,1.6,7/2/2019
1212228,INSULIN 1 UNT INJ   ,1.6,7/2/2019
1212233,DM-QUINIDINE 20-10MG,55,7/2/2019
1212247,FLUPHENAZ 2.5MG/1 IJ,88,7/2/2019
1212249,CALC-VIT D 315-250MG,2.3,7/2/2019
1212257,CHLORHEXIN .12% 15ML,5,7/2/2019
1212259,LURASIDONE 40MG TAB ,85,7/2/2019
1212270,AMIODARONE 30MG INJ ,559,7/2/2019
1212280,FIDAXOMICIN 200MG TA,630,7/2/2019
1212283,RIVAROXABAN 10MG TAB,40.5,7/2/2019
1212286,ROFLUMILAS 500MCG TB,32,7/2/2019
1212287,OSELTAMIV 6MG/ML 5ML,13,7/2/2019
1212293,VILAZODONE 10MG TAB ,22.5,7/2/2019
1212294,TICAGRELOR 90MG TAB ,21,7/2/2019
1212295,VILAZODONE 20MG TAB ,24,7/2/2019
1212310,ONDANSETRON 4MG ODT ,29,7/2/2019
1212314,METHYLPREDNIS 4MG PO,2.3,7/2/2019
1212315,TRANEXAMIC 650MG TB ,24.5,7/2/2019
1212332,RIVAROXABAN 15MG TAB,36,7/2/2019
1212333,RIVAROXABAN 20MG TAB,46,7/2/2019
1212349,LEVOTHYROX 100MCG IV,660,7/2/2019
1212350,RANITIDIN 150MG/10ML,37.5,7/2/2019
1212358,EPHEDR 50MG/5ML INJ ,242,7/2/2019
1212361,H-COD7.5-APAP325 15M,3.3,7/2/2019
1212380,PEG 3350 238GM      ,25,7/2/2019
1212398,BENZ 20%DENT LIQ 60G,249.5,7/2/2019
1212410,PRAM1-CALA8%LOT 177M,40,7/2/2019
1212414,MIDAZOL  HCL 1MG INJ,16,7/2/2019
1212424,MORPH 30MG/30ML PCA ,238,7/2/2019
