CDM NO,DISPENSED DESCRIPTION,PRICE,TYPE,NOTE
38020376,SCREW POLYAX T1 9X45MM,"2,983.00",0,
38020384,SCREW POLYAX T1 9X50MM,"2,983.00",0,
38020434,BREAST IMPLANT STYLE FX 775CC,"4,650.00",0,
38020442,BREAST IMPLANT STYLE FX 685CC,"4,650.00",0,
38020541,CATH IMAGER2 5FR BERN 100CM,46.00,0,
38021010,NAIL FEM 130D TROCH 10X300 TI,"5,833.00",0,
38021564,CATH DRAIN THORA PARA 5FR,106.00,0,
38022331,PLATE MANUBRIUM,"2,835.00",0,
38023644,AGC MOD TIB II POLY BRG 12X87,"5,204.00",0,
38023693,BLADE HELICAL TFNA 125MM,"2,582.00",0,
38023867,CUP REVISION 54MM,"12,256.00",0,
38024006,INSERT 5-6 13MM HI FLX GEN2,"11,738.00",0,
38024220,IMPLANT BIOCOMP DISTAL BICEP,"3,860.00",0,
38024477,CAGE PEEK 7MM 13X16MM,"3,422.00",0,
38025128,STEM HUM 5C STD 82MM 137.5D,"13,640.00",0,
38025821,LEAD DEFIB 8X52 OPTISURE,"12,633.00",0,
38026118,VCATH EMERGE NC 2X6MM,536.00,0,
38026159,BASEPLATE TIB SZ1 LT,"9,359.00",0,
38027652,CATH  LT 6F IL3.75 100CM 2SH,"3,189.00",0,
38028601,CAGE PS BATALLION 10X30MM,"8,554.00",0,
38028635,GWIRE SUPERSTIFF J 7MM 035X260,156.00,0,
38029401,CAGE BATALLION PS 9X30MM,"8,554.00",0,
38029575,SCREW REUNION RSA 4.5X36MM,195.00,0,
38029591,NAIL FEM PRX 125D 12X360MM LT,"8,332.00",0,
38030680,STENT DES ZILVER 6X40MM PTX,"3,361.00",0,
38031001,CATH 1.25MMX60CM DIAMONBACK,"11,914.00",0,
38031233,LINER ACET FMP E-PLUS 36MM,"3,215.00",0,
38031274,DEFIB AMPLIA MRI DTMB1D4,"54,340.00",0,
38031282,DEFIB AMPLIA MRI QUAD DTMB1QQ,"61,408.00",0,
38031928,COMPONENT NECK KINECTIV MOD J1,"1,276.00",0,
38032306,RELOAD RELIATACK W 5 DEEP,449.00,0,
38032322,BREAST TIS EXPANDER 700CC,"6,405.00",0,
38032603,TENDON SPEEDGRAFT 245X9,"6,650.00",0,
38032629,SCREW LAG 20X14MM TI,"1,814.00",0,
38033338,SUTURE ACL TIGHTROPE RT,"1,181.00",0,
38033387,LINER HIP G7 ACET 46MM SZ G,"4,983.00",0,
38033940,LINER COCR G7 MOBILITY H 50MM,"4,983.00",0,
38034559,PLATE L RT 21MM,"7,896.00",0,
38034567,PLATE METATARSAL 30MM,"7,896.00",0,
38034575,SCREW 2.7X14MM,"1,316.00",0,
38034583,SCREW 2.7X26MM,"1,316.00",0,
38034633,SCREW LAG 3X16MM TI,"1,902.00",0,
38034641,SCREW LAG 3X18MM TI,"1,902.00",0,
38034658,SCREW LAG 3X14MM TI,"2,048.00",0,
38034880,CAGE BATTALION PS 8X30MM,"8,333.00",0,
38034898,CAGE BATTALION PS 11X30MM,"8,554.00",0,
38035085,ALLOGRAFT STEM CELLS 1CC,"2,154.00",0,
38035135,LEAD ACUITY X4 PASSIVE 86CM,"6,699.00",0,
38035341,COMPONENT SURFACE 5 8MM UHMWPE,"2,414.00",0,
38035580,LINER FREEDOM NEU E1 F 36MM,"8,117.00",0,
38035630,CAGE BATTALION PS 12X30MM,"8,554.00",0,
38035655,INSERT HUM SOCKET RSP 32MM +4,"3,509.00",0,
38038550,SCREW MATRIX POLYAX 8X40MM,"2,596.00",0,
38038592,BIODFENCE DRYFLEX G3 2X4,"7,604.00",0,
38038600,BIODFENCE DRYFLEX G3 3X6,"9,183.00",0,
38038873,ROD LORD 5.5X60MM 2S TI,878.00,0,
38038964,SCREW POLYAX 6.5X40MM 2S,"2,983.00",0,
38039087,GRAFT JRF VERSAGRAFT,"4,527.00",0,
38039343,CATH BAL EMERGE 2.25X20MM,404.00,0,
38039392,COMPONENT NEXGN MIS TIB 1,"3,158.00",0,
38039699,SCREW HEADED 4X48MM,265.00,0,
38040457,NAIL LCK POLARUS 3 200MM,"6,741.00",0,
38041174,INTRODUCER J 035X6FX10 GLIDE,135.00,0,
38041216,INTRODUCER 6FX10X026 GLIDESHTH,287.00,0,
38041224,INTRODUCER 5FX10X025 GLIDESHTH,287.00,0,
38041240,INTRODUCER 025X4FX10 GLIDESHTH,287.00,0,
38041257,INTRODUCER 021X5FX10 GLIDESHTH,80.00,0,
38041323,INTRODUCER 5FX10CM GLIDESHEATH,602.00,0,
38041356,INTRODUCER 6FX10CM GLIDESHEATH,548.00,0,
38041380,INTRODUCER 035X6FX25 GLIDESHTH,134.00,0,
38041513,NAIL RT 130D CANN TFNA 420X12,"8,332.00",0,
38041927,CATH SWAN GANZ 7.5F,"1,028.00",0,
38042800,COMPONENT MP CS/CR FEM 2 LT,"5,749.00",0,
38042818,BASE TIB EVOL KEELD 2 LT PRIM,"3,875.00",0,
38043204,SCREW LP NO LCK 2.7X12MM,360.00,0,
38043576,PLATE 4H RT TIB 2.7/3.5MM,"5,381.00",0,
38043618,HIP FEM 8 P2 POR COATED STD,"8,844.00",0,
38043691,CARDIAC MONITOR BIOMONITOR,"16,492.00",0,
38044327,LINER HIP G7 ACETAB 44MM F,"4,983.00",0,
38044368,PATELLA 32MM XLPE VIT-E,"1,579.00",0,
38044376,PATELLA 35MM XLPE VIT-E,"1,579.00",0,
38044434,SCREW OP LCK 4X30MM,"1,621.00",0,
38044665,UNIPOLAR FEM HD ADAPTER 4MM,"1,850.00",0,
38044814,INSERT EVOLUTION 3 LT CR 10MM,"3,411.00",0,
38044871,STEMLINEAR STD O/S 6,"7,720.00",0,
38045126,PACER ACCOLADE MRI DR L311,"14,355.00",0,
38045274,LEAD INGEVITY PASSIVE 52CM,"1,492.00",0,
38045282,LEAD INGEVITY J PASSIVE 45CM,"1,356.00",0,
38045290,LEAD  INGEVITY ACTIVE 45CM,"1,492.00",0,
38045308,LEAD  INGEVITY ACTIVE 52CM,"1,492.00",0,
38045316,LEAD  INGEVITY ACTIVE 59CM,"1,492.00",0,
38045431,STENT MAIN AFX2 25X20X140,"44,658.00",0,
38045811,PACER ACCOLADE MRI SR L310,"14,738.00",0,
38045985,GRAFT AMNIOBAND 2X2CM,"5,243.00",0,
38046199,CATH IMPRESS KA2 5F 38INX65CM,160.00,0,
38046892,SHELL REV DYNASTY G 58MM,"12,256.00",0,
38047338,CATH EP VIKING ST 6F 110CM,505.00,0,
38047536,PLATE TI STERNAL LCK TAR 12H,"3,780.00",0,
38048740,SHEATH 032X8.5FRX81 SWARTZ SL,"1,356.00",0,
38048781,BASE EVOL MP KEELTIB 2 LT CEM,"3,875.00",0,
38048831,LINER CONSTRAINED 54MM,"10,465.00",0,
38050068,AICD IPERIA 7 HF-T DF-1 PROMRI,"51,480.00",0,
38050399,SCREW TITANEX 3X36MM,"1,669.00",0,
38050514,BEARING FEM HD ACTIVE 25X54MM,"3,718.00",0,
38050589,INSERT JOURNEY 3-4 11 MM PS,"11,738.00",0,
38050902,SAFESHEATH 6FR II W/SP,215.00,0,
38050969,GRAFT EXCLUDER ILIAC 10X7,"9,927.00",0,
38050977,GRAFT EXCLUDER ILIAC 12X7,"9,927.00",0,
38050985,DRESSING AQUACELL FOAM SM,41.00,0,
38051066,CLIP APPLIER 360 CLIP 235CM,"7,685.00",0,
38051223,IMPLANT TLIF 27X12X8MM KIT,"8,554.00",0,
38051306,CATH 90D 80X130CM SUPERCRSS,"1,433.00",0,
38051462,SCREW LAG OAL 2X13MM TI,"1,814.00",0,
38051587,SCREW POLY 7.5X50MM,"2,395.00",0,
38051652,FOOT PLATE LCK SCREW 30MM,"1,316.00",0,
38051819,HEAD FEM 36MM +1.5 .857 TPR,"3,773.00",0,
38052122,LINER G7 DUAL MOBILITY 42MM E,"5,558.00",0,
38052130,PLATE METATARSAL 24MM LT,"7,896.00",0,
38052197,PLATE PMO RT 21MM,"7,896.00",0,
38054110,SCREW CORT AAP LOQTEQ 3.5X12,663.00,0,
38054128,SCREW CORT AAP LOQTEQ 3.5X18,663.00,0,
38054136,SCREW CORT AAP 3.5X14,172.00,0,
38054417,ICD VR VISIA MRI AF DVFB1D4,"40,040.00",0,
38054748,ANCHOR HEALIX ADVANCE 5.5MM,"1,531.00",0,
38054938,SCREW SCHANZ SELF DRILL,400.00,0,
38054946,HEAD FEM CONSERVE TOTAL 40MM,"3,229.00",0,
38055299,ORTHOSIS UPPER EXT FX RAD UL,992.00,0,
38056438,SCREW MULTILOC T1 4.5X48MM,920.00,0,
38056446,PLATE LCP 6H LT 105MM 3.5MM T1,"3,056.00",0,
38056537,INSERT EVLN MP CR 2 LT CR 10MM,"3,411.00",0,
38056552,STAPLER ENTRIGUE ENTACT SEPTAL,543.00,0,
38056636,LEAD PROMRI SOLIA S 53,"1,492.00",0,
38056669,IMPLANT LORDOTIC STD 7MM ACIS,"3,970.00",0,
38056818,LEAD SOLIA S STERIOD-ELUT 45CM,"1,492.00",0,
38056826,LEAD PACEMAKER SOLIA S 60,"1,492.00",0,
38057337,ICD DYNAGEN MINI DR D022,"40,673.00",0,
38057436,PLATE L SMALL,"1,247.00",0,
38057444,PLATE L MEDIUM,"1,247.00",0,
38057519,SCREW SPINE POLYAX RELINE O,"2,983.00",0,
38057550,PLATE ANT CLAV 3.5X135 8H RT,"3,211.00",0,
38057667,STEM COMP PRIMARY 15MM MICRO,"13,043.00",0,
38057840,SCREW RAYHACK CORT 3.5X20,422.00,0,
38058095,PLATE HUM MED 1H 2.7X3.5X69 RT,"3,937.00",0,
38058103,PLATE HUM LAT 2.7X3.5X69MM,"3,408.00",0,
38058780,STAPLER ARTIC CRV EGIA 45MM,"1,281.00",0,
38058806,RELOAD REINFRCE MD THCK 60MM,"1,216.00",0,
38058830,STAPLER REINFRCE MED 45MM,"1,611.00",0,
38058962,SUTURE MONO+ UNDYE 5-0 PC-5,219.00,0,
38058970,SUTURE ETHIBOND GREEN 3-0 RB-1,258.00,0,
38059036,LINER HI-WALL E1 G7 36MM G,"5,022.00",0,
38059077,INSERT .75 18MM PS XLPE,"11,738.00",0,
38059085,COMPONENT MULTIHOLE G7 58MM G,"12,932.00",0,
38059101,STEM TPR KINECTIV M/L 16.25,"7,720.00",0,
38059168,COMPONENT CAS PPU HIP STR,"5,291.00",0,
38059176,ANCHOR BIO-COMP S-TAK KNOTLESS,"1,216.00",0,
38059853,GLENOID AEQUALIS PERFORM A,"8,696.00",0,
38059861,CAGE ALEUTIAN 13X16X7,"3,422.00",0,
38059960,SHOULDER FLX AEQUALIS 50X19,"10,555.00",0,
38059978,GLENOID PEGGED E PLUS 38,"6,356.00",0,
38060414,LINER G7 HI WALL E1 36MM F,"5,022.00",0,
38061529,CONNECTOR ADJ CROSS 40-50MM,"2,456.00",0,
38061891,SHELL G7 OSSEOTI MULTIH 54MM F,"21,554.00",0,
38062758,NAIL 130D LT 12X440 CANN TI,"8,331.00",0,
38063335,PACER ACCOLADE MRI DR EL L331,"14,355.00",0,
38063541,SOLN IV 0.9% NACL 1000ML,5.00,0,
38063616,SCREW 6.5X30MM,215.00,0,
38063822,SCREW SPINAL RELINE 7.5X45MM,"2,983.00",0,
38064051,SCREW 8.5X50MM,"2,395.00",0,
38064366,LINER ACETABLAR 20D .692MM,"2,983.00",0,
38064465,SCREW CRTX S TAP 2X10 T1,138.00,0,
38064473,SCREW CRTX S TAP 2X6 T1,138.00,0,
38064481,SCREW MULTILOC 4.5X30MM T1,920.00,0,
38064499,SCREW MULTILOC 4.5X24MM T1,920.00,0,
38064515,SCREW VA LCK 2X8MM T1 S TAP,470.00,0,
38064523,SCREW VA LCK 2X12MM T1 S TAP,470.00,0,
38064531,PLATE 12H STRGT VAL 2MM T1,"1,934.00",0,
38064549,SCREW S TAP VA LCK 2X10 T1,470.00,0,
38064556,PLATE CRV 6H VA-LCP 4.5X159,"5,345.00",0,
38064697,SHELL ACETABULAR 60MM G7,"8,783.00",0,
38064879,WASHER 500 #2 SUTURE NO KNOT,"2,983.00",0,
38065348,MESH PHASIX ST 30X35CM,"62,041.00",0,
38065546,NECK MOD KINECTIV S2,"1,144.00",0,
38065975,PLATE PRX HUM 3H 80MM RT,"4,001.00",0,
38065983,SCREW CORT 3.5X24MM T15 LP,185.00,0,
38066338,SCREW POLY 8X45MM,"2,596.00",0,
38066346,SCREW POLY 8X50MM,"2,596.00",0,
38066353,NAIL 130D RT CANN TFNA 320X12,"8,331.00",0,
38066379,SCREW CORTEX 1.5X8MM,171.00,0,
38066387,SCREW VA LCK 1.5X9MM T1 T6,454.00,0,
38066452,CATH BAL OCCLUSION CODA 10FR,"1,413.00",0,
38067799,LINER DYNASTY POLY 32MM D,"1,761.00",0,
38067823,PAD RING XL FOR THOMAS SPLINT,301.00,0,
38067849,PREVENA PLUS SYSTEM PRE4001US,"2,281.00",0,
38067997,VALVE TRIFECTA VALVE 21,"19,158.00",0,
38068722,MORCELLATOR MYOSURE LITE SNGL,"2,439.00",0,
38069175,ANCHOR SWVLK PEEK TENO 7MM,"1,421.00",0,
38069217,INTRODUCER CLASSIC HEMO 6FR,206.00,0,
38069241,SCREW  6X35MM,"4,121.00",0,
38069332,INSERT LAT +5MM 20IN 32X50MM,"3,158.00",0,
38069340,COMPONENT FEM LT 4 CR NOPOR,"6,667.00",0,
38069357,INSERT TIB SIZE 3,"3,509.00",0,
38069431,ROD 5.5X75MM TI,671.00,0,
38069472,LINER DYNASTY POLY A 32MM E,"1,937.00",0,
38069811,SCREW CRTX S TAP 1.5X9MM TI,171.00,0,
38070074,WALKER INLINE PNEUMATIC 2 MED,119.00,0,
38070082,WALKER INLINE PNEUMATIC 2 LG,119.00,0,
38070090,WALKER INLINE PNEUMATIC 2 XL,119.00,0,
38071163,SCREW LO PRO HEX 4.3X32MM,513.00,0,
38071171,SCREW LO PRO HEX 3.5X24MM,357.00,0,
38071197,STEM COMP PRIMARY 10MM MICRO,"13,043.00",0,
38071213,CATH 078X7FX100 XB3 SH VISTA,160.00,0,
38071379,STEM CELL CORD BLOOD 1ML,"6,158.00",0,
38071551,SHELL ACET R3 MULTI HOLE 66MM,"7,684.00",0,
38071569,LINER R3 20D +4 XLPE 40X66/70,"2,983.00",0,
38071668,SCREW DARCO NO HD 7X16X80,"4,344.00",0,
38071767,CARTIFORM 20MM DISC,"24,310.00",0,
38071908,SCREW CORT CANN 5X45MM,"3,075.00",0,
38071932,TENDON GRACILIS HUMAN TISSUE,"6,843.00",0,
38071940,INSERT ACETAB V + E 36/52MM,"3,158.00",0,
38072195,COMPONENT RAD HD COCR 24X2X15,"6,001.00",0,
38072203,SCREW S TAP CRTX T4 1.5X11MM,171.00,0,
38072211,SCREW S TAP CRTX T4 1.5X6MM,170.00,0,
38072229,ROD CRV MIN TI 5.5X200X105MM,"3,018.00",0,
38072237,PLATE FIB 2.7MM VA-LCP 7H RT,"3,397.00",0,
38072252,PLATE STRGT 12H VAL 1.5MM T1,"1,875.00",0,
38072260,HEAD HUM ASCEND FLEX 52/23,"12,315.00",0,
38072278,COMPONENT AEQUALIS PEG GLENOID,"9,364.00",0,
38072286,COMPONENT TIGE HUM STD 127.5X4,"16,736.00",0,
38072948,INTRODUCER NEFF 21G X4FR SET,261.00,0,
38073102,CATH BAL EMERGE RX 1.2X15MM,329.00,0,
38073128,ROD 60MM,673.00,0,
38073136,SCREW 7X40MM,"4,122.00",0,
38073565,DRESSING HYDROCOLLOID THIN 6X6,17.00,0,
38073573,DRESSING HYDROCOLL SATIN 4X4,9.00,0,
38073581,DRESSING HYDROCOLL SATIN 4X3.6,19.00,0,
38073599,DRESSING HYDROCOLL SATIN 6X6.5,20.00,0,
38073607,DRESSING HYDROCOLL SATIN 8X8,37.00,0,
38073615,DRESSING ALGINATE MAXORB 4X8,21.00,0,
38073623,DRESSING ALGINATE ROPE 1X12,11.00,0,
38073631,DRESSING ALGINATE MAXORB2 2X2,6.00,0,
38073649,DRESSING ALGINATE MAXORB2 4X4,10.00,0,
38073656,DRESSING OPTICELL 0.75X18,18.00,0,
38073664,DRESSING OPTICELL 6X6,30.00,0,
38073672,DRESSING PURACOL PLUS 2X2,29.00,0,
38073680,DRESS SILVASORB 2X2,23.00,0,
38073698,DRESSING ALGINATE ROPE X 1X12,23.00,0,
38073706,DRESSING ALGINTE ROPE X 4X4.75,29.00,0,
38073714,DRESSING OPTIFOAM AG 4X4,36.00,0,
38073722,DRESSING OPTIFOAM AG 6X6,78.00,0,
38073730,DRESSING OPTIFOAM AG 3.5X10,102.00,0,
38073748,DRESSING OPTIFOAM AG 3.5X14,109.00,0,
38073755,DRESSING OPTIFOAM AG 3.5X6,109.00,0,
38073763,DRESSING OPTICELL AG 2X2,21.00,0,
38073771,DRESSING OPTICELL AG 4X5,37.00,0,
38073789,DRESSING OPTICELL AG 6X6,86.00,0,
38073797,DRESSING ALGINATE MAXORB 2X2,13.00,0,
38073805,DRESSING THERAHONEY FLEX 4X4,41.00,0,
38073813,DRESSING VERSATEL ONE 3X4,20.00,0,
38073821,DRESSING ALGINATE MAXORB X 2X2,7.00,0,
38074159,HEAD FEM BIOLOX DELTA 36MM,"2,871.00",0,
38074548,VALVE 19MM INTUITY ELITE SYS,"3,828.00",0,
38074555,VALVE 21MM INTUITY ELITE SYS,"3,828.00",0,
38074563,VALVE 23MM INTUITY ELITE SYS,"3,828.00",0,
38074571,VALVE 25MM INTUITY ELITE SYS,"38,281.00",0,
38074589,VALVE 27MM INTUITY ELITE SYS,"3,828.00",0,
38075271,STRAIGHT ROD 500MM,612.00,0,
38075362,DRESSING ALGIDEX AG 46-GZ44,421.00,0,
38075396,XENOSURE BIO PATCH 8X14CM,"2,019.00",0,
38075628,INSERT HI FLX XLPE 15MM 1-2 CR,"3,334.00",0,
38075826,HEAD HUM AEQUALIS 46X17MM,"12,314.00",0,
38075834,GLENIOD PEGGED UHMWIPE,"9,364.00",0,
38075974,ALLODERM SELECT MED 132SQCM,"22,286.00",0,
38076485,CATH 2.1/2.5FR 120D SUPERCROSS,"1,433.00",0,
38076899,PLATE 2.7MM VA-LCP 7H LT FIB,"2,931.00",0,
38077418,IMPLANT FINGER JNT SILICONE 2,"2,113.00",0,
38077913,KWIRE SPI 3X285MM COATED,324.00,0,
38077988,LINER COCR G7 2MOBILITY I 54MM,"4,983.00",0,
38078762,STENT SYNERGY RX 2.5X16,"4,825.00",0,
38078796,CATH 1.5MMX60CM DIAMONBCK360,"10,830.00",0,
38078804,CATH 2MMX60CM DIAMONBACK360,"10,830.00",0,
38078812,CEMENT 40GM KYPHYX XPEDE KIT,756.00,0,
