Service Area|Px Code|Generic Name|CPT(R)/HCPCS Code|NDC|Unit Price|Override Bill Code|Override Price
"WS SERVICE AREA|25010065|lidocaine 20 mg/mL (2 %)-epinephrine 1:100,000 injection solution||63323048327|17.80||"
"WS SERVICE AREA|25010065|lidocaine-epinephrine (PF) 2 %-1:200,000 injection solution||63323048921|17.80||"
"WS SERVICE AREA|25010065|lidocaine-epinephrine (PF) 2 %-1:200,000 injection solution||63323048917|17.80||"
"WS SERVICE AREA|25010065|lidocaine-epinephrine (PF) 2 %-1:200,000 injection solution||63323048927|126.86||"
WS SERVICE AREA|25010065|lidocaine-prilocaine 2.5 %-2.5 % topical cream||00168035755|59.92||
WS SERVICE AREA|25010065|lidocaine-prilocaine 2.5 %-2.5 % topical cream||00115146845|334.08||
WS SERVICE AREA|25010065|lidocaine-prilocaine 2.5 %-2.5 % topical cream||00115146860|58.29||
WS SERVICE AREA|25010065|lidocaine-prilocaine 2.5 %-2.5 % topical cream||00591207026|64.20||
WS SERVICE AREA|25010065|lidocaine-prilocaine 2.5 %-2.5 % topical cream||00591207072|64.20||
WS SERVICE AREA|25010065|lidocaine-prilocaine 2.5 %-2.5 % topical cream||50383066730|385.19||
WS SERVICE AREA|25010065|mercaptopurine 50 mg tablet||68084032511|7.55||
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||00409174630|17.80||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||00409904201|32.20||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||00409174610|17.80||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||63323046817|17.80||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||63323046837|67.79||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||00409904217|23.00||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution||00409904210|17.80||"
WS SERVICE AREA|25010065|mepivacaine (PF) 20 mg/mL (2 %) injection solution||63323029427|17.80||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.5 % (5 mg/mL) injection solution||00409156010|17.80||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.5 % (5 mg/mL) injection solution||00409156029|17.80||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.5 % (5 mg/mL) injection solution||00409116202|17.80||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.5 % (5 mg/mL) injection solution||63323046637|17.80||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.5 % (5 mg/mL) injection solution||63323046617|18.40||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.5 % (5 mg/mL) injection solution||55150016910|17.80||
"WS SERVICE AREA|25010065|metroNIDAZOLE 0.75 % vaginal gel||00245086070|1,181.97||"
"WS SERVICE AREA|25010065|metroNIDAZOLE 0.75 % vaginal gel||00781707787|1,107.87||"
"WS SERVICE AREA|25010065|neomycin 3.5 mg/g-polymyxin B 10,000 unit/g-dexameth 0.1 % eye oint||24208079535|143.98||"
"WS SERVICE AREA|25010065|neomycin 3.5 mg/g-polymyxin B 10,000 unit/g-dexameth 0.1 % eye oint||61314063136|318.99||"
WS SERVICE AREA|25010065|mivacurium chloride 2 mg/mL injection solution||00074436510|241.13||
WS SERVICE AREA|25010065|lidocaine (PF) 5 mg/mL (0.5 %) injection solution||00409427801|31.07||
WS SERVICE AREA|25010065|lidocaine (PF) 5 mg/mL (0.5 %) injection solution||63323049157|101.68||
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution||00409174929|17.80||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution||00409904501|17.80||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution||63323046231|17.80||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution||63323046237|17.80||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution||00409904517|19.61||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution||63323046217|43.90||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution||00409904516|17.80||"
"WS SERVICE AREA|25010065|mvi, adult no.1 with vit K 3,300 unit-150 mcg/10 mL intravenous soln||54643565002|1,128.47||"
"WS SERVICE AREA|25010065|mvi, adult no.1 with vit K 3,300 unit-150 mcg/10 mL intravenous soln||54643564901|163.26||"
WS SERVICE AREA|25010065|mupirocin 2 % topical ointment||45802011222|81.50||
"WS SERVICE AREA|25010065|neomycin-polymyxin-dexameth 3.5 mg/mL-10,000 unit/mL-0.1% eye drops||24208083060|143.99||"
WS SERVICE AREA|25010065|norepinephrine bitartrate 1 mg/mL intravenous solution||00409144304|163.27||
WS SERVICE AREA|25010065|norepinephrine bitartrate 1 mg/mL intravenous solution||00409337504|163.27||
WS SERVICE AREA|25010065|norepinephrine bitartrate 1 mg/mL intravenous solution||36000016210|70.63||
WS SERVICE AREA|25010065|norepinephrine bitartrate 1 mg/mL intravenous solution||00409337525|160.85||
WS SERVICE AREA|25010065|balanced salt solution combination no.2 intraocular irrigation||00065079515|59.92||
WS SERVICE AREA|25010065|balanced salt solution combination no.2 intraocular irrigation||00065079550|210.25||
WS SERVICE AREA|25010065|clindamycin 600 mg/4 mL intravenous solution||47781046369|41.06||
WS SERVICE AREA|25010065|clindamycin 900 mg/6 mL intravenous solution||47781046469|41.54||
"WS SERVICE AREA|25010065|hydroxocobalamin 5 gram intravenous solution||11704037001|5,404.29||"
WS SERVICE AREA|25010065|propofol 10 mg/mL intravenous emulsion||00409469924|172.70||
WS SERVICE AREA|25010065|propofol 10 mg/mL intravenous emulsion||00409469933|86.35||
WS SERVICE AREA|25010065|propofol 10 mg/mL intravenous emulsion||63323026950|121.05||
WS SERVICE AREA|25010065|propofol 10 mg/mL intravenous emulsion||25021060851|235.64||
WS SERVICE AREA|25010065|propofol 10 mg/mL intravenous emulsion||00409469950|34.54||
WS SERVICE AREA|25010065|pyridostigmine bromide 5 mg/mL injection solution||00781304072|61.97||
WS SERVICE AREA|25010065|levothyroxine 100 mcg intravenous powder for solution||63323064907|694.72||
WS SERVICE AREA|25010065|racepinephrine 2.25 % solution for nebulization||00487590199|9.06||
WS SERVICE AREA|25010065|racepinephrine 2.25 % solution for nebulization||00487278401|7.25||
WS SERVICE AREA|25010065|silver nitrate applicators 75 %-25 % topical stick||12870000101|4.40||
WS SERVICE AREA|25010065|silver nitrate applicators 75 %-25 % topical stick||12870000102|4.40||
WS SERVICE AREA|25010065|sodium bicarbonate 4 % intravenous solution||00409660902|61.57||
WS SERVICE AREA|25010065|SUFentanil citrate 50 mcg/mL intravenous solution||17478005002|17.80||
"WS SERVICE AREA|25010065|sulfacetamide 10 %-prednisolone 0.2 % eye drops,suspension||11980002205|1,054.80||"
WS SERVICE AREA|25010065|ticarcillin-clavulanate 3.1 gram intravenous solution||00029657126|107.57||
WS SERVICE AREA|25010065|timolol maleate 0.25 % eye drops||61314022605|108.75||
WS SERVICE AREA|25010065|timolol maleate 0.5 % eye drops||64980051405|123.25||
WS SERVICE AREA|25010065|timolol maleate 0.5 % eye drops||61314022705|123.25||
WS SERVICE AREA|25010065|timolol maleate 0.5 % eye drops||61314022710|234.54||
"WS SERVICE AREA|25010065|tobramycin-dexamethasone 0.3 %-0.1 % eye ointment||00065064835|1,654.53||"
"WS SERVICE AREA|25010065|tobramycin 0.3 %-dexamethasone 0.1 % eye drops,suspension||24208029525|473.14||"
"WS SERVICE AREA|25010065|tranexamic acid 1,000 mg/10 mL (100 mg/mL) intravenous solution||00013111401|242.10||"
"WS SERVICE AREA|25010065|tranexamic acid 1,000 mg/10 mL (100 mg/mL) intravenous solution||00013111410|242.10||"
"WS SERVICE AREA|25010065|tranexamic acid 1,000 mg/10 mL (100 mg/mL) intravenous solution||63323056397|473.63||"
"WS SERVICE AREA|25010065|tranexamic acid 1,000 mg/10 mL (100 mg/mL) intravenous solution||39822100001|167.05||"
"WS SERVICE AREA|25010065|isoproterenol 0.2 mg/mL injection solution||00187433005|14,134.83||"
"WS SERVICE AREA|25010065|tromethamine 36 mg/mL (0.3 M) intravenous solution||00409159304|1,595.65||"
"WS SERVICE AREA|25010065|iodine strong (Lugols) 5 % oral solution||38779059808|1,402.88||"
WS SERVICE AREA|25010065|iodine strong (Lugols) 5 % oral solution||00395277516|610.41||
WS SERVICE AREA|25010065|bupivacaine 0.25 % (2.5 mg/mL) injection solution||00409116001|17.80||
WS SERVICE AREA|25010065|bupivacaine 0.25 % (2.5 mg/mL) injection solution||63323046557|17.80||
WS SERVICE AREA|25010065|vecuronium bromide 10 mg intravenous solution||00409163249|35.67||
WS SERVICE AREA|25010065|vecuronium bromide 10 mg intravenous solution||67457057100|48.42||
WS SERVICE AREA|25010065|vecuronium bromide 10 mg intravenous solution||67457057110|48.42||
WS SERVICE AREA|25010065|vecuronium bromide 20 mg intravenous solution||00409163401|106.44||
WS SERVICE AREA|25010065|vecuronium bromide 20 mg intravenous solution||47335093240|137.19||
WS SERVICE AREA|25010065|indigotindisulfonate sodium 8 mg/mL (0.8 %) injection solution||00517037510|58.10||
"WS SERVICE AREA|25010065|indigotindisulfonate sodium 8 mg/mL (0.8 %) injection solution||00517037505|1,085.70||"
WS SERVICE AREA|25010065|sodium bicarbonate 1 mEq/mL (8.4 %) intravenous solution||00409662502|78.28||
WS SERVICE AREA|25010065|sodium bicarbonate 1 mEq/mL (8.4 %) intravenous solution||00409662525|36.32||
WS SERVICE AREA|25010065|sodium bicarbonate 1 mEq/mL (8.4 %) intravenous solution||63323008950|80.30||
WS SERVICE AREA|25010065|sodium bicarbonate 4.2 % intravenous solution||63323002605|20.58||
"WS SERVICE AREA|25010065|thrombin (bovine) 20,000 unit topical solution||60793021720|2,052.04||"
WS SERVICE AREA|25010065|calcium chloride 100 mg/mL (10 %) intravenous solution||00517271025|149.70||
WS SERVICE AREA|25010065|belladonna alkaloids-opium 16.2 mg-30 mg rectal suppository||00574704512|199.51||
WS SERVICE AREA|25010065|diluent for epoprostenol (glycine) intravenous solution||00173051801|113.79||
WS SERVICE AREA|25010065|diluent for epoprostenol (glycine) intravenous solution||00703925809|94.82||
WS SERVICE AREA|25010065|lidocaine 2 % mucosal solution||17856077502|6.53||
WS SERVICE AREA|25010065|lidocaine 2 % mucosal solution||50383077517|7.83||
WS SERVICE AREA|25010065|lidocaine 2 % mucosal solution||50383077515|4.40||
WS SERVICE AREA|25010065|lidocaine 2 % mucosal solution||50383077504|4.79||
WS SERVICE AREA|25010065|dextrose 50 % in water (D50W) intravenous syringe||00409751716|64.56||
WS SERVICE AREA|25010065|dextrose 50 % in water (D50W) intravenous syringe||76329330101|80.70||
WS SERVICE AREA|25010065|dextrose 50 % in water (D50W) intravenous syringe||00000005601|66.17||
WS SERVICE AREA|25010065|dextrose 50 % in water (D50W) intravenous syringe||69374095350|116.21||
WS SERVICE AREA|25010065|lidocaine 10 mg/mL (1 %) injection syringe||71019017007|30.99||
WS SERVICE AREA|25010065|acetylcysteine 100 mg/mL (10 %) solution||00517750425|28.90||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||00409115902|17.80||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||00409155910|17.80||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||00409155930|17.80||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||63323046431|17.80||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||63323046437|52.78||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||63323046417|46.00||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||55150016710|17.80||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||55150016830|17.80||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution||00409115910|17.80||
WS SERVICE AREA|25010065|bupivacaine 0.5 % (5 mg/mL) injection solution||63323046757|17.80||
WS SERVICE AREA|25010065|bupivacaine (PF) 0.75 % (7.5 mg/mL) injection solution||00409116502|17.80||
WS SERVICE AREA|25010065|albuterol sulfate concentrate 2.5 mg/0.5 mL solution for nebulization|J7611|00487990130|6.53||
WS SERVICE AREA|25010065|activated charcoal-sorbitol 25 gram/120 mL oral suspension||00574012074|120.93||
WS SERVICE AREA|25010065|activated charcoal 50 gram/240 mL oral suspension||66689020208|294.06||
WS SERVICE AREA|25010065|activated charcoal 50 gram/240 mL oral suspension||00574012176|172.26||
"WS SERVICE AREA|25010065|mvi, pedi no.1 with vit K 80 mg-400 unit-200 mcg/5 mL intravenous soln||54643564700|52.20||"
"WS SERVICE AREA|25010065|mvi, pedi no.1 with vit K 80 mg-400 unit-200 mcg/5 mL intravenous soln||61703042153|17.80||"
WS SERVICE AREA|25010065|acetylcysteine 200 mg/mL (20 %) solution|J7608|00409330803|4.94||
WS SERVICE AREA|25010065|acetylcysteine 200 mg/mL (20 %) solution|J7608|00517760425|43.50||
WS SERVICE AREA|25010065|acetylcysteine 200 mg/mL (20 %) solution|J7608|63323069030|10.08||
WS SERVICE AREA|25010065|fentaNYL-bupivacaine-NaCl (PF) 3 mcg/mL-0.125 % epidural solution||61553023748|159.79||
"WS SERVICE AREA|25010065|poractant alfa 240 mg/3 mL intratracheal suspension||10122051003|7,331.93||"
"WS SERVICE AREA|25010065|bupivacaine 0.5 %-epinephrine bitartrate 1:200,000 injection,cartridge||31382055705|17.80||"
WS SERVICE AREA|25010065|lidocaine (PF) 20 mg/mL (2 %) intravenous solution||63323020805|22.03||
WS SERVICE AREA|25010065|niCARdipine 25 mg/10 mL intravenous solution||00143968910|187.39||
WS SERVICE AREA|25010065|niCARdipine 25 mg/10 mL intravenous solution||67457022410|442.56||
WS SERVICE AREA|25010065|niCARdipine 25 mg/10 mL intravenous solution||00143959301|162.53||
WS SERVICE AREA|25010065|niCARdipine 25 mg/10 mL intravenous solution||00143959310|162.53||
WS SERVICE AREA|25010065|EPINEPHrine HCl (PF) 1 mg/mL (1 mL) injection solution||54288010301|42.37||
WS SERVICE AREA|25010065|EPINEPHrine HCl (PF) 1 mg/mL (1 mL) injection solution||54288010310|42.37||
WS SERVICE AREA|25010065|HYDROmorphone 3 mg/30 mL in 0.9 % sodium chloride PCA intravenous soln||61553067944|352.98||
WS SERVICE AREA|25010065|HYDROmorphone 30 mg/30 mL (1 mg/mL) in 0.9 % NaCl IV PCA syringe||61553016644|112.58||
WS SERVICE AREA|25010065|HYDROmorphone 30 mg/30 mL (1 mg/mL) in 0.9 % NaCl IV PCA syringe||69374098330|96.84||
"WS SERVICE AREA|25010065|thrombin (bovine) 5,000 unit topical solution||60793021505|520.33||"
WS SERVICE AREA|25010065|famotidine (PF) 20 mg/2 mL intravenous solution||00641602225|17.80||
WS SERVICE AREA|25010065|famotidine (PF) 20 mg/2 mL intravenous solution||63323073912|17.80||
WS SERVICE AREA|25010065|ePHEDrine (PF) 50 mg/10 mL (5 mg/mL) in 0.9 % sod.chloride IV syringe||61553030472|389.86||
WS SERVICE AREA|25010065|ePHEDrine (PF) 50 mg/10 mL (5 mg/mL) in 0.9 % sod.chloride IV syringe||71030000310|517.04||
"WS SERVICE AREA|25010065|lidocaine 2 %-epinephrine bitartrate 1:100,000 injection cartridge||31382089805|17.80||"
WS SERVICE AREA|25010065|lidocaine 2 % mucosal jelly in applicator||76329301305|46.47||
WS SERVICE AREA|25010065|lidocaine 2 % mucosal jelly in applicator||25021067376|35.96||
"WS SERVICE AREA|25010065|lidocaine HCl (bulk) 100 % powder||15455950101|3,226.25||"
WS SERVICE AREA|25010065|ePHEDrine (PF) 25 mg/5 mL (5 mg/mL) in 0.9% sodium chloride IV syringe||61553030133|38.33||
WS SERVICE AREA|25010065|ePHEDrine (PF) 25 mg/5 mL (5 mg/mL) in 0.9% sodium chloride IV syringe||71030000302|147.72||
WS SERVICE AREA|25010065|norepinephrine bitartrate 4 mg/250 mL (16 mcg/mL) in dextrose 5 % IV||61553011561|171.49||
WS SERVICE AREA|25010065|norepinephrine bitartrate 4 mg/250 mL (16 mcg/mL) in dextrose 5 % IV||00000005197|17.80||
WS SERVICE AREA|25010065|ipratropium bromide 0.02 % solution for inhalation||00487980101|9.57||
WS SERVICE AREA|25010065|ipratropium bromide 0.02 % solution for inhalation|J7644|00487980130|9.57||
WS SERVICE AREA|25010065|ipratropium bromide 0.02 % solution for inhalation||76204010001|13.39||
"WS SERVICE AREA|25010065|treprostinil 1.74 mg/2.9 mL (0.6 mg/mL) solution for nebulization|J7686|66302020603|17,111.83||"
WS SERVICE AREA|25010065|caffeine-sodium benzoate 250 mg/mL(125 mg/mL caffeine) injection soln||00517250210|141.23||
WS SERVICE AREA|25010065|morphine 30 mg/30 mL (1 mg/mL) in 0.9 % sodium chloride IV PCA syringe||61553017944|160.27||
WS SERVICE AREA|25010065|succinylcholine chloride 200 mg/10 mL (20 mg/mL) intravenous syringe||61553036465|307.71||
WS SERVICE AREA|25010065|succinylcholine chloride 200 mg/10 mL (20 mg/mL) intravenous syringe||69374091910|191.26||
WS SERVICE AREA|25010065|succinylcholine chloride 200 mg/10 mL (20 mg/mL) intravenous syringe||71019034117|302.95||
WS SERVICE AREA|25010065|tetracaine HCl (PF) 0.5 % eye drops||00065074114|74.15||
WS SERVICE AREA|25010065|tetracaine HCl (PF) 0.5 % eye drops||00065074112|66.63||
"WS SERVICE AREA|25010065|sodium bicarbonate 150 mEq/1,000 mL in dextrose 5 % intravenous||70324032601|185.36||"
"WS SERVICE AREA|25010065|sodium bicarbonate 150 mEq/1,000 mL in dextrose 5 % intravenous||70324032603|185.36||"
WS SERVICE AREA|25010065|EPINEPHrine 1 mg/mL (1 mL) injection solution||42023015925|36.22||
WS SERVICE AREA|25010065|lidocaine (PF) 200 mg/10 mL (2 %) injection syringe||61553032765|23.22||
WS SERVICE AREA|25010065|lidocaine (PF) 200 mg/10 mL (2 %) injection syringe||71019017323|17.80||
WS SERVICE AREA|25010065|ketamine 50 mg/mL (1 mL) intravenous syringe||00000005217|17.80||
WS SERVICE AREA|25010065|lidocaine 30 mg/3 mL (1%) injection syringe||61553034334|76.99||
WS SERVICE AREA|25010065|lidocaine 30 mg/3 mL (1%) injection syringe||71019016705|76.99||
WS SERVICE AREA|25010065|labetalol 20 mg/4 mL (5 mg/mL) intravenous syringe||00409233934|27.28||
WS SERVICE AREA|25010065|labetalol 20 mg/4 mL (5 mg/mL) intravenous syringe||69374094604|35.83||
WS SERVICE AREA|25010065|isoflurane 99.9 % inhalation liquid||66794001910|136.30||
WS SERVICE AREA|25010065|povidone-iodine 0.3 % vaginal solution||00132874302|17.88||
WS SERVICE AREA|25010065|povidone-iodine 0.3 % vaginal solution||41608008743|17.88||
WS SERVICE AREA|25010065|calcium chloride 100 mg/mL (10 %) intravenous syringe||00409163110|54.80||
WS SERVICE AREA|25010065|calcium chloride 100 mg/mL (10 %) intravenous syringe||00409492834|68.84||
WS SERVICE AREA|25010065|calcium chloride 100 mg/mL (10 %) intravenous syringe||76329330401|72.63||
WS SERVICE AREA|25010065|calcium chloride 100 mg/mL (10 %) intravenous syringe||69374091310|28.33||
WS SERVICE AREA|25010065|tetracaine HCl (bulk) powder||51552026902|390.85||
WS SERVICE AREA|25010065|balanced salt solution combination no.1 intraocular irrigation||00065080050|640.10||
"WS SERVICE AREA|25010065|lidocaine-epinephrine 0.5 %-1:200,000 injection solution||00409317701|27.84||"
"WS SERVICE AREA|25010065|lidocaine-epinephrine 0.5 %-1:200,000 injection solution||63323048157|17.80||"
"WS SERVICE AREA|25010065|water for injection, bacteriostatic injection solution||00409397703|17.80||"
"WS SERVICE AREA|25010065|water for injection, bacteriostatic injection solution||00409397701|17.80||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine 0.25 %-1:200,000 injection solution||00409175250|17.80||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine 0.25 %-1:200,000 injection solution||63323046157|17.80||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine 0.5 %-1:200,000 injection solution||63323046357|17.80||"
"WS SERVICE AREA|25010065|bupivacaine-epinephrine 0.5 %-1:200,000 injection solution||00000005458|17.80||"
WS SERVICE AREA|25010065|acetic acid (bulk) 3 % liquid||51552005106|485.75||
WS SERVICE AREA|25010065|nitroglycerin 50 mg/250 mL (200 mcg/mL) in 5 % dextrose intravenous||00409148202|50.44||
WS SERVICE AREA|25010065|nitroglycerin 50 mg/250 mL (200 mcg/mL) in 5 % dextrose intravenous||00338104902|155.35||
"WS SERVICE AREA|25010065|thrombin (bovine) 5,000 unit topical spray syringe||60793070505|530.77||"
"WS SERVICE AREA|25010065|thrombin (bovine) 20,000 unit topical spray syringe||60793021722|2,154.70||"
WS SERVICE AREA|25010065|sodium hypochlorite 0.25 % solution||00436093616|78.87||
WS SERVICE AREA|25010065|sodium hypochlorite 0.25 % solution||39328006325|92.59||
"WS SERVICE AREA|25010065|lidocaine-epinephrine (PF) 1.5 %-1:200,000 injection solution||00409120901|17.80||"
"WS SERVICE AREA|25010065|EPINEPHrine HCl 16 mg/250 mL (64 mcg/mL) in 5 % dextrose intravenous||71019008001|1,067.67||"
"WS SERVICE AREA|25010065|lidocaine-epinephrine (PF) 1 %-1:200,000 injection solution||63323048737|83.04||"
"WS SERVICE AREA|25010065|lidocaine-epinephrine (PF) 1 %-1:200,000 injection solution||63323048717|17.80||"
WS SERVICE AREA|25010065|tretinoin (chemotherapy) 10 mg capsule||68084007521|220.43||
"WS SERVICE AREA|25010065|EPINEPHrine (Jr) 0.15 mg/0.3 mL injection,auto-injector||49502050102|2,002.33||"
WS SERVICE AREA|25010065|cisatracurium 2 mg/mL intravenous solution||00781315295|255.25||
WS SERVICE AREA|25010065|cisatracurium 2 mg/mL intravenous solution||00781903895|255.25||
WS SERVICE AREA|25010065|cisatracurium 2 mg/mL intravenous solution||63323041605|112.98||
WS SERVICE AREA|25010065|cisatracurium 2 mg/mL intravenous solution||63323041710|185.61||
WS SERVICE AREA|25010065|cisatracurium 2 mg/mL intravenous solution||00074438010|221.93||
