ST ROSE HOSPITAL CHARGE MASTER 2019,,,
Charge Code,Charge Description,Hospital name,Charge amount 
0301154,UROMAX ULTRA CATH BALLOON,ST ROSE HOSPITAL,"$1,141.30 "
0301165,ENDOCLIP 5MM,ST ROSE HOSPITAL,$663.70 
0301176,SURGICLIP APPLIER,ST ROSE HOSPITAL,$136.30 
0301187,FLOSEAL 10ML,ST ROSE HOSPITAL,"$1,419.00 "
0302216,HERNIA MESH XL PLUG,ST ROSE HOSPITAL,"$1,416.00 "
0302224,BARD-KUGEL HERNIA PATCH LG PLG,ST ROSE HOSPITAL,"$1,527.00 "
0302240,TENSION FREE VAG TAPE,ST ROSE HOSPITAL,"$5,223.00 "
0302356,MITEK G11 ANCHOR,ST ROSE HOSPITAL,"$3,755.00 "
0305003,8F GROSHONG,ST ROSE HOSPITAL,"$4,546.00 "
0305458,BARDPORT MRI 9.6F,ST ROSE HOSPITAL,"$3,689.00 "
0310198,ISOVUE 250MG PER ML,ST ROSE HOSPITAL,$31.30 
0367607,SCREW COMPRESSION SYNTHES,ST ROSE HOSPITAL,$198.00 
0367656,SCREW CORTICAL SYNTHES,ST ROSE HOSPITAL,$101.00 
0367706,SCREW LAG SYNTHES,ST ROSE HOSPITAL,$965.00 
0367821,T TUBES #12; #14 FR,ST ROSE HOSPITAL,$135.00 
0368910,INTRODUCER 10.5FR CORDIS,ST ROSE HOSPITAL,$599.00 
0373944,8F PORTA CATH,ST ROSE HOSPITAL,"$4,522.00 "
0373969,3 X 5 PROLENE MESH,ST ROSE HOSPITAL,"$1,048.00 "
0373977,PROLENE MESH 9 X 4,ST ROSE HOSPITAL,"$1,256.00 "
0374579,GIA 60 / 80  STAPLER,ST ROSE HOSPITAL,"$1,086.00 "
0381608,11.5 X 16 QUINTON,ST ROSE HOSPITAL,"$1,308.00 "
0382101,8X40 GRAFT,ST ROSE HOSPITAL,"$4,924.44 "
0383158,ENDOGIA 30 MULTI STAPLER,ST ROSE HOSPITAL,$853.80 
0385757,SM. OVAL KUGEL,ST ROSE HOSPITAL,"$2,631.00 "
0385807,MED. OVAL KUGEL,ST ROSE HOSPITAL,"$3,158.00 "
0386300,6 X 6 ATRIUM MESH,ST ROSE HOSPITAL,$836.00 
0386318,12 X 12 PRO. MESH,ST ROSE HOSPITAL,"$2,252.00 "
0386326,6 X 6 PRO. MESH,ST ROSE HOSPITAL,"$1,482.00 "
0387456,BARD PERFIX PLUG XLG,ST ROSE HOSPITAL,"$1,416.00 "
0387506,BARD PERFIX PLUG LG,ST ROSE HOSPITAL,"$1,527.00 "
0387555,LEVEL 1 OPERATING RM BASE RATE,ST ROSE HOSPITAL,"$7,822.00 "
0387605,LEVEL 1 OPR/ROOM ADD'L 15MINS,ST ROSE HOSPITAL,$493.00 
0387654,LEVEL 2 OPERATING RM BASE RATE,ST ROSE HOSPITAL,"$10,325.00 "
0387704,LEVEL 2 OPR/ROOM ADD'L 15MINS,ST ROSE HOSPITAL,"$1,140.00 "
0387753,LEVEL 3 OPERATING RM BASE RATE,ST ROSE HOSPITAL,"$16,831.00 "
0387803,LEVEL 3 OPR/ROOM ADD'L 15MINS,ST ROSE HOSPITAL,"$2,100.00 "
0387852,LEVEL 4 OPERATING RM BASE RATE,ST ROSE HOSPITAL,"$32,971.00 "
0387902,LEVEL 4 OPR/ROOM ADD'L 15MINS,ST ROSE HOSPITAL,"$4,121.00 "
0387977,PREGNANCY URINE DIPSTICK,ST ROSE HOSPITAL,$32.00 
0388025,VISIPAQUE 50ML,ST ROSE HOSPITAL,$127.00 
0388074,SEPRA FILM 3X5 ADHESN BARRIER,ST ROSE HOSPITAL,$656.00 
0388124,SEPRA FILM PACK 3X5,ST ROSE HOSPITAL,"$2,827.00 "
0388173,SURGIO FLOW HEMOSTATIC AGENT,ST ROSE HOSPITAL,$540.00 
0388223,DERMABOND,ST ROSE HOSPITAL,$111.00 
0388272,CHITOSEAL HEMOSTASIS PAD 4X4,ST ROSE HOSPITAL,$128.00 
0388322,EVICEL ENDO APPLICATOR,ST ROSE HOSPITAL,$162.00 
0388371,EVICEL FIBRISEALANT 1-2ML,ST ROSE HOSPITAL,"$1,294.00 "
0388421,EVICEL FIBRINSEALANT 5ML,ST ROSE HOSPITAL,"$2,925.00 "
0388470,INTERCEED,ST ROSE HOSPITAL,"$1,177.00 "
0388520,NOVASURE ABLATION DEVISE,ST ROSE HOSPITAL,"$4,860.00 "
0388579,ABSORBATACK 30,ST ROSE HOSPITAL,"$3,102.00 "
0388629,HARMONIC SCAPEL HC,ST ROSE HOSPITAL,"$1,862.00 "
0388678,LIGASURE 5MM,ST ROSE HOSPITAL,"$1,808.00 "
0388728,CEEA 25 STAPLER,ST ROSE HOSPITAL,"$1,253.00 "
0388777,CEEA 28 STAPLER,ST ROSE HOSPITAL,"$1,253.00 "
0388827,CEEA 31 STAPLER,ST ROSE HOSPITAL,"$1,253.00 "
0388876,CUTTING BALLOON 6X90,ST ROSE HOSPITAL,"$3,564.00 "
0388926,LIGASURE ATLAS HC 20CM,ST ROSE HOSPITAL,"$1,706.00 "
0388975,LIGASURE ATLAS ENDO 37CM,ST ROSE HOSPITAL,"$1,820.00 "
0389023,LIGAMAX 5MM CLIP,ST ROSE HOSPITAL,$619.00 
0389024,ADVANIX PRELOADED STENT SYSTEM,ST ROSE HOSPITAL,"$1,040.95 "
0389025,JAGTOME,ST ROSE HOSPITAL,"$2,610.55 "
0389026,BASKET CYSTO,ST ROSE HOSPITAL,"$1,015.00 "
0389027,ALLIGATOR STONE FORCEPS,ST ROSE HOSPITAL,"$1,195.00 "
0389028,COOK NTRAP/NCOMPASS,ST ROSE HOSPITAL,"$1,160.00 "
0389030,SWAN NECK PERITONEAL CATH,ST ROSE HOSPITAL,$850.00 
0389072,LIGASURE PRECISE,ST ROSE HOSPITAL,"$1,214.00 "
0389122,CUTTING BALLOON 3X90,ST ROSE HOSPITAL,"$3,564.00 "
0389171,CUTTING BALLOON 8X90,ST ROSE HOSPITAL,"$3,564.00 "
0389221,V-15 STR CONTROL DEVISE,ST ROSE HOSPITAL,$401.00 
0389270,ARROW TREMOTOL PTD,ST ROSE HOSPITAL,"$2,354.00 "
0389320,ARROW TREROTOLA DRIVE,ST ROSE HOSPITAL,$438.00 
0389379,ULTRA THIN 4X90 BALLOON,ST ROSE HOSPITAL,"$1,210.00 "
0389429,ULTRA THIN 4X2-4-8X90 BALLOON,ST ROSE HOSPITAL,"$1,210.00 "
0389478,ULTRA THIN 5X4X90 STENT,ST ROSE HOSPITAL,"$1,210.00 "
0389528,ULTRA THIN 5X4-8X90 BALLOON,ST ROSE HOSPITAL,"$1,210.00 "
0389577,ULTRA THIN 6X2-4-8X90 BALLOON,ST ROSE HOSPITAL,"$1,210.00 "
0389627,ULTRA THIN 7X2-4-8X90 BALLOON,ST ROSE HOSPITAL,"$1,210.00 "
0389676,GRAFT FLAIR 8X50 STR,ST ROSE HOSPITAL,"$11,426.00 "
0389726,GRAFT FLAIR 8X50 FLARED,ST ROSE HOSPITAL,"$11,426.00 "
0389775,GRAFT FLAIR 9X50 STR,ST ROSE HOSPITAL,"$11,426.00 "
0389825,GRAFT FLAIR 9X50 FLARED,ST ROSE HOSPITAL,"$11,426.00 "
0390070,VITAGEL 4.5ML HEMOSTAT,ST ROSE HOSPITAL,"$2,319.00 "
0390120,VITASURE 3 GRAMS HEMOSTAT,ST ROSE HOSPITAL,$877.00 
0390179,ON Q PAIN PUMP,ST ROSE HOSPITAL,$719.00 
0390229,UNIVERSAL ENDO GIA,ST ROSE HOSPITAL,"$1,457.00 "
0390278,UNIVERSAL ENDO GIA RELOAD,ST ROSE HOSPITAL,$834.00 
0390328,ARGON MED CLEANER,ST ROSE HOSPITAL,"$3,161.00 "
0390377,ADEPT ADHESION REDUCTION SOLUTION,ST ROSE HOSPITAL,$823.00 
0390393,GLIDE WIRE .035X150,ST ROSE HOSPITAL,$115.00 
0390419,BOSTON SCIENTIFIC URETERAL STENT,ST ROSE HOSPITAL,$501.00 
0390435,BARD POWERPORT PORTACATH,ST ROSE HOSPITAL,"$2,528.00 "
0390450,BOSTON SCIENTIFIC VASCULAR BALLOON,ST ROSE HOSPITAL,"$1,200.00 "
0390476,BOSTON SCIENTIFIC VASCULAR BALLOON XXL,ST ROSE HOSPITAL,"$1,200.00 "
0390492,BARD DORADO VASCULAR BALLOON,ST ROSE HOSPITAL,"$1,120.00 "
0390518,TA STAPLE RELOADS,ST ROSE HOSPITAL,$154.00 
0390526,GIA STAPLE RELOADS,ST ROSE HOSPITAL,$192.00 
0390534,DUET STAPLE ENDO GIA RELOADS,ST ROSE HOSPITAL,"$1,782.00 "
0390542,ENDO TRI STAPLES,ST ROSE HOSPITAL,"$1,234.00 "
0390559,K-WIRE,ST ROSE HOSPITAL,$17.00 
0390583,MANOS CARPAL TUNNEL TRAY,ST ROSE HOSPITAL,"$5,524.00 "
0390609,SURGICEL 2X14,ST ROSE HOSPITAL,$259.00 
0390641,OSTEEA ORVIL/XL STAPLER,ST ROSE HOSPITAL,"$1,828.00 "
0390666,PALINDROME PERMCATH,ST ROSE HOSPITAL,"$2,068.00 "
0390674,AQUAMAMANTIS BIPOLAR SEALER,ST ROSE HOSPITAL,"$2,037.00 "
0390682,VERSAJET HYDROSURGERY SEALER,ST ROSE HOSPITAL,"$2,447.00 "
0390690,DRILL BIT - NON CANNULATED,ST ROSE HOSPITAL,$495.00 
0390708,DRILL BIT - CANNULATED,ST ROSE HOSPITAL,"$2,161.00 "
0390709,SECURESTRAP TACKER 5MM,ST ROSE HOSPITAL,"$2,990.00 "
0469353,RECOVERY ROOM 1 HOUR,ST ROSE HOSPITAL,"$1,735.19 "
0469403,RECOVERY ROOM EA ADDT'L 15 MIN,ST ROSE HOSPITAL,$446.20 
0672055,ANESTHESIA ADMIN. BASE HOUR,ST ROSE HOSPITAL,$654.00 
0672105,ANESTHESIA ADMIN. ADD'L 15 MIN,ST ROSE HOSPITAL,$153.00 
0700419,SEQUENTIAL COMPRESSION SLEEVES,ST ROSE HOSPITAL,$157.00 
0700781,BARD UROLOGIST TRAY,ST ROSE HOSPITAL,$840.00 
0700799,BARD SUPRAPUBIC INTRODUCER TRAY,ST ROSE HOSPITAL,$349.00 
0700807,BONANNO SUPRAPUBIC CATHETER,ST ROSE HOSPITAL,$352.00 
0700823,SHILEY XLT TRACHEOSTOMY TUBE,ST ROSE HOSPITAL,$158.00 
0700831,DISPOSABLE SKIN PUNCHES,ST ROSE HOSPITAL,$9.00 
0700849,PORTEX XLONG TRACHEOSTOMY TUBE,ST ROSE HOSPITAL,$620.00 
0700906,AIRWAY NASAL 28 FR,ST ROSE HOSPITAL,$313.00 
0700955,AIRWAY NASAL 32FR,ST ROSE HOSPITAL,$379.00 
0701003,AIRWAY NASAL 34 FR,ST ROSE HOSPITAL,$248.00 
0701102,AIRWAY ORAL ADULT LARGE,ST ROSE HOSPITAL,$22.00 
0701151,AIRWAY ORAL ADULT MED,ST ROSE HOSPITAL,$22.00 
0701201,AIRWAY ORAL CHILD,ST ROSE HOSPITAL,$22.00 
0701318,AMNIHOOK,ST ROSE HOSPITAL,$61.95 
0701904,BAG BILE,ST ROSE HOSPITAL,$230.00 
0701987,BAG AMBU PEDIATRIC DISPOSABLE,ST ROSE HOSPITAL,$751.00 
0701995,BAG AMBU ADULT DISPOSABLE,ST ROSE HOSPITAL,$751.00 
0702001,BAG URINARY DRAINAGE,ST ROSE HOSPITAL,$135.00 
0702704,BASIN STERILE,ST ROSE HOSPITAL,$47.37 
0702852,BETADINE OINT,ST ROSE HOSPITAL,$54.65 
0702951,BINDER ABD UNIVERSAL,ST ROSE HOSPITAL,$477.00 
0703058,BINDER ABD SM,ST ROSE HOSPITAL,$477.00 
0703108,BINDER ABD XLG,ST ROSE HOSPITAL,$477.00 
0703157,BINDER ABD XXLG,ST ROSE HOSPITAL,$477.00 
0703777,BOUGIES,ST ROSE HOSPITAL,"$1,058.00 "
0704247,BUCKS BOOT,ST ROSE HOSPITAL,$596.00 
0704478,CPM KIT,ST ROSE HOSPITAL,"$1,166.00 "
0704479,CPM KIT,ST ROSE HOSPITAL,"$1,166.00 "
0705152,CAST MINERVA JACKET ADULT,ST ROSE HOSPITAL,"$1,372.00 "
0705202,CAST MINERVA JACKET INFANT,ST ROSE HOSPITAL,$642.00 
0705251,CAST MINERVA JACKET YOUTH,ST ROSE HOSPITAL,"$1,006.00 "
0706143,CATH AMPLATZ 075001,ST ROSE HOSPITAL,$441.00 
0706309,"CATH ANGIO 20GA X 1 1/4"" W/SY",ST ROSE HOSPITAL,$82.37 
0706986,CATH FILIFORM OLIVE TIP,ST ROSE HOSPITAL,$200.00 
0706994,CATH FILIFORM SPIRAL,ST ROSE HOSPITAL,$208.00 
0707059,CATH FOLEY COUDE 16G,ST ROSE HOSPITAL,$430.00 
0707109,CATH FOLEY COUDE 18G,ST ROSE HOSPITAL,$430.00 
0707158,CATH FOLEY 10FR(3CC),ST ROSE HOSPITAL,$262.00 
0707208,CATH FOLEY 12FR(5CC),ST ROSE HOSPITAL,$117.00 
0707257,CATH FOLEY 14FR(5CC),ST ROSE HOSPITAL,$135.00 
0707307,CATH FOLEY 16FR(5CC),ST ROSE HOSPITAL,$135.00 
0707356,CATH FOLEY 18FR(30CC),ST ROSE HOSPITAL,$124.00 
0707406,CATH FOLEY 18FR(5CC),ST ROSE HOSPITAL,$120.00 
0707455,CATH FOLEY 20FR(30CC),ST ROSE HOSPITAL,$135.00 
0707505,CATH FOLEY 20FR(5CC),ST ROSE HOSPITAL,$117.00 
0707521,CATH FOLEY 3-WAY 22FR/30CC,ST ROSE HOSPITAL,$419.00 
0707539,CATH FOLEY 3-WAY 24FR/30CC,ST ROSE HOSPITAL,$419.00 
0707554,CATH FOLEY 22FR(30CC),ST ROSE HOSPITAL,$120.00 
0707604,CATH FOLEY 22FR(5CC),ST ROSE HOSPITAL,$55.00 
0707653,CATH FOLEY 24FR(30CC),ST ROSE HOSPITAL,$120.00 
0707703,CATH FOLEY 24FR(5CC),ST ROSE HOSPITAL,$117.00 
0707752,CATH FOLEY 26FR/30CC,ST ROSE HOSPITAL,$193.00 
0707802,CATH FOLEY 8FR (3CC),ST ROSE HOSPITAL,$328.00 
0707828,CATH FOLEY LUBRCATH TRAY 16FR,ST ROSE HOSPITAL,$364.00 
0707844,CATH HYSTEROSALPINOGRAM,ST ROSE HOSPITAL,$751.00 
0708131,CATH ICP 200 INTRAN,ST ROSE HOSPITAL,"$1,257.00 "
0708149,CATH INTRO SHEATH 5FR CORDIS,ST ROSE HOSPITAL,$813.00 
0708156,CATH INTRO SHEATH 6FR CORDIS,ST ROSE HOSPITAL,$813.00 
0708206,CATH INTRO SHEATH 8FR CORDIS,ST ROSE HOSPITAL,$813.00 
0708511,CATH MULTILUMEN,ST ROSE HOSPITAL,"$1,935.00 "
0708552,CATH RADIAL ART ARROW20GX13/4,ST ROSE HOSPITAL,$397.00 
0708610,CATHETER QUINTON PERITONEAL,ST ROSE HOSPITAL,"$1,916.69 "
0708651,CATH ROBINSON 12FR,ST ROSE HOSPITAL,$47.00 
0708701,CATH ROBINSON 14FR,ST ROSE HOSPITAL,$47.00 
0708750,CATH ROBINSON 16FR,ST ROSE HOSPITAL,$44.00 
0708800,CATH ROBINSON 18FR,ST ROSE HOSPITAL,$47.00 
0708859,CATH ROBINSON 20FR,ST ROSE HOSPITAL,$47.00 
0709659,CATH SELF FEM 14F,ST ROSE HOSPITAL,$44.00 
0709725,CATHETER COOK PA14-38-25-P-45-,ST ROSE HOSPITAL,"$1,458.00 "
0709964,CATHETERS CV4,ST ROSE HOSPITAL,"$1,858.39 "
0710244,"CATH ""S"" TIP SWAN GANZ",ST ROSE HOSPITAL,"$2,562.00 "
0710251,CATH SG VEN INFUS PORT 7.5 FR,ST ROSE HOSPITAL,"$3,554.00 "
0710269,CATH SWAN GANZ FEMORAL 5FR,ST ROSE HOSPITAL,"$2,092.00 "
0710277,CATH SG THERMODIL PACEPORT7.5,ST ROSE HOSPITAL,"$2,467.00 "
0710301,CATH UMBILIC ARTERY,ST ROSE HOSPITAL,$397.00 
0710350,CATH UMBILIC VESSEL,ST ROSE HOSPITAL,$401.00 
0710400,CATH FOL 3W 18FR-5CC,ST ROSE HOSPITAL,$521.00 
0710459,CATH FOL 3W 20FR-5CC,ST ROSE HOSPITAL,$419.00 
0710582,CATHETER MALECOTT 24,ST ROSE HOSPITAL,$485.00 
0710590,CATHETER MALECOTT 26,ST ROSE HOSPITAL,$485.00 
0710616,CATHETER PEZZAR 16,ST ROSE HOSPITAL,$353.00 
0710665,CATH PIGTAIL 5FR 65CM,ST ROSE HOSPITAL,$612.00 
0710806,SILVERSORB GEL,ST ROSE HOSPITAL,$36.00 
0710921,CHEMOPORT,ST ROSE HOSPITAL,$103.00 
0711309,CERV FLEX N/ADJ FOAM PRE OTS,ST ROSE HOSPITAL,$317.00 
0711358,CERV FLEX N/ADJ FOAM PRE OTS,ST ROSE HOSPITAL,$317.00 
0711507,CERV FLEX N/ADJ FOAM PRE OTS,ST ROSE HOSPITAL,$317.00 
0711515,CERV COL SR FOAM 2PC PRE OTS,ST ROSE HOSPITAL,$834.00 
0711523,CERV COL SR FOAM 2PC PRE OTS,ST ROSE HOSPITAL,$834.00 
0711606,COMFORT ARM SLING,ST ROSE HOSPITAL,$87.00 
0711614,GASTRO/JEJUNOSTOMY SET,ST ROSE HOSPITAL,"$1,662.00 "
0711655,CONN TUBE FOR SYR,ST ROSE HOSPITAL,$335.23 
0711705,CONNECTING TUBE,ST ROSE HOSPITAL,$43.74 
0712307,COVER XRAY,ST ROSE HOSPITAL,$258.70 
0712554,CODE BLUE PROCEDURE,ST ROSE HOSPITAL,"$1,376.00 "
0713040,DECANTING SYSTEM,ST ROSE HOSPITAL,$120.26 
0713206,DILATOR 4F-14F,ST ROSE HOSPITAL,$168.00 
0713263,VASODILATOR 12/F/0.38CM,ST ROSE HOSPITAL,$496.00 
0714253,KO IMMOB CANVAS LONG PRE OTS,ST ROSE HOSPITAL,$80.00 
0714303,KO IMMOB CANVAS LONG PRE OTS,ST ROSE HOSPITAL,$92.00 
0714352,DRESSING SOFTWIK DRAIN  PKG,ST ROSE HOSPITAL,$21.87 
0714501,DRESSING TELFA 3X8,ST ROSE HOSPITAL,$21.87 
0714600,DRESSING 4X4 MULTIP,ST ROSE HOSPITAL,$40.07 
0714774,DRESSING DUODERM THIN 4X5,ST ROSE HOSPITAL,$194.00 
0714832,DRESSING DUODERM DG 6X6,ST ROSE HOSPITAL,$58.00 
0714840,DUODERM 4X4,ST ROSE HOSPITAL,$189.00 
0714915,DIAL-TRAY ACUTE HEMODIALYSIS,ST ROSE HOSPITAL,"$2,092.00 "
0714923,DIAL-DOUBLE LUMAN CATHETER,ST ROSE HOSPITAL,"$1,411.00 "
0715417,ELECTRODE SSE TRANSPRNT LINE,ST ROSE HOSPITAL,$350.00 
0715458,ELECTRODE DIAP NDM,ST ROSE HOSPITAL,$80.17 
0715508,ELECTRODES FETAL MON,ST ROSE HOSPITAL,$218.64 
0715510,DERMABOND,ST ROSE HOSPITAL,$94.00 
0717140,FULLER SHIELD,ST ROSE HOSPITAL,$193.00 
0717330,WHO COCK-UP NON MOLDE PRE OTS,ST ROSE HOSPITAL,$590.00 
0717348,WHO COCK-UP NONMOLDE PRE OTS,ST ROSE HOSPITAL,$590.00 
0717363,WHO COC-UP NONMOLDE PRE OTS,ST ROSE HOSPITAL,$590.00 
0717371,WHO COCK-UP NONMOLDE PRE OTS,ST ROSE HOSPITAL,$590.00 
0717389,WHO COCK-UP NONMOLDE PRE OTS,ST ROSE HOSPITAL,$590.00 
0717397,WHO COC-UP NONMOLDE PRE OTS,ST ROSE HOSPITAL,$590.00 
0717652,GLOVE EXAM STERILE SINGLE EA,ST ROSE HOSPITAL,$21.87 
0718247,GOWN STERILE REUSE,ST ROSE HOSPITAL,$45.91 
0718353,GROUNDING PAD BOVIE,ST ROSE HOSPITAL,$127.55 
0718577,GUIDEWIRES CV1,ST ROSE HOSPITAL,$372.00 
0719153,HEELBO MEDIUM,ST ROSE HOSPITAL,$244.00 
0719161,HEIMLICH CHEST DRAIN VALVE,ST ROSE HOSPITAL,$321.00 
0719179,HEMOCLIP SMALL 523135,ST ROSE HOSPITAL,$343.00 
0719195,HEMOCLIP LARGE 523170,ST ROSE HOSPITAL,$423.00 
0719401,HEMOVAC LARGE,ST ROSE HOSPITAL,$973.00 
0719450,HEMOVAC MED,ST ROSE HOSPITAL,$612.00 
0719500,HEMOVAC SMALL,ST ROSE HOSPITAL,$926.00 
0719658,HOSE ANES BREATHING W/FILTER,ST ROSE HOSPITAL,$211.38 
0720102,ICP MONITORING KIT,ST ROSE HOSPITAL,"$2,347.00 "
0720177,LIDOCAINE,ST ROSE HOSPITAL,$21.00 
0720862,INTRODUCE CATHETER B.D.6999,ST ROSE HOSPITAL,$29.00 
0720888,INTRODUCER COOK TSS-8.0-38-40,ST ROSE HOSPITAL,$383.00 
0720896,INTRODUCER COOK TSS-7.0-38-40,ST ROSE HOSPITAL,"$1,227.00 "
0720904,INTRODUCER VCFN 5.0-2.5 COOK,ST ROSE HOSPITAL,$523.00 
0720920,INTRODUCER VCFN 7.0-35 COOK,ST ROSE HOSPITAL,$523.00 
0721050,INSTRUMENT SINGLE,ST ROSE HOSPITAL,$45.91 
0721159,TRAY PERCUTANEOUS CATH INSER,ST ROSE HOSPITAL,"$1,207.00 "
0721928,IV SOLUTIONS,ST ROSE HOSPITAL,$98.00 
0722108,JACKSON PRATT 10MM,ST ROSE HOSPITAL,$441.00 
0722157,JACKSON PRATT 7MM,ST ROSE HOSPITAL,$481.00 
0722256,K-PAD DUOTHERM-LARGE,ST ROSE HOSPITAL,$346.00 
