Hospital Name:   Tahoe Forest Hospital District,,,
OSHPD Facility No:   291053,,,
"Effective Date of Charges: June 1, 2017",,,
Charge Code,Description,Primary Price,Zero Charge
100001568,HCHG FETAL SCALP APPLICATION PROC,180.00,
100001569,HCHG DELIVERY FORCEPS OR KOBAYASHI,650.00,
100001576,HCHG PUDENDAL / LOCAL BLOCK,2200.00,
100001577,HCHG RECOVERY VAG DELIV 1ST HR,250.00,
100001578,HCHG RECOVERY VAG DELIV ADDL HR,125.00,
100001579,"HCHG L&D LEVEL I, 0-6 HOURS",350.00,
100001580,"HCHG L&D LEVEL I, 6-12 HRS",600.00,
100001581,"HCHG L&D LEVEL II, 0-6 HRS",400.00,
100001582,"HCHG L&D LEVEL II, 6-12 HRS",750.00,
100001583,"HCHG L&D LEVEL II, 12-18 HRS",1500.00,
100001584,"HCHG L&D LEVEL II, 18-24 HRS",2250.00,
100001585,"HCHG L&D LEVEL III, 0-6 HRS",3500.00,
100001586,"HCHG L&D LEVEL III, 6-12 HRS",4000.00,
100001587,"HCHG L&D LEVEL III, 12-18 HRS",4500.00,
100001588,"HCHG L&D LEVEL III, 18-24 HRS",5000.00,
100001589,"HCHG L&D LEVEL IV, 0-6 HRS",3800.00,
100001590,"HCHG L&D LEVEL IV, 6-12 HRS",4200.00,
100001591,"HCHG L&D LEVEL IV, 12-18 HRS",4700.00,
100001592,"HCHG L&D LEVEL IV, 18-24 HRS",5200.00,
100001593,"HCHG L&D LEVEL V, 0-6 HRS",4200.00,
100001594,"HCHG L&D LEVEL V, 6-12 HRS",4700.00,
100001595,"HCHG L&D LEVEL V, 12-18 HRS",5200.00,
100001596,"HCHG L&D LEVEL V, 18-24 HRS",5700.00,
100001597,"HCHG L&D LEVEL VI, 0-6 HRS",4500.00,
100001598,"HCHG L&D LEVEL VI, 6-12 HRS",5000.00,
100001599,"HCHG L&D LEVEL VI, 12-18 HRS",5500.00,
100001600,"HCHG L&D LEVEL VI, 18-24 HRS",6000.00,
100001608,HCHG NASAL/SINUS ENDOSC W/CONTROL,435.00,
100001610,HCHG COLLECT BLOOD ESTAB CV OR PICC LINE,131.00,
100001621,HCHG VENTILATOR RECOVERY ROOM,2807.00,
100001622,HCHG EPIDURAL INTRATHECAL CARE,350.00,
100001636,HCHG BLOOD / PRODUCTS TRANSFUSION PER HOUR,1100.00,
100001637,HCHG RAPID BLOOD / PRODUCTS TRANSFUSION,1100.00,
100001638,HCHG EXC MAL LES EXT/TR 1.1 TO 2.0,255.00,
100001640,HCHG HIGH RISK TRANSPORT,150.00,
100001666,HCHG CATHETERIZE FOR URINE SPECIMEN,141.00,
100001675,HCHG CHEMO SUBARACH/INTRAVENT VIA SQ R,227.00,
100001693,HCHG REFILL/MAINT PORTABLE PUMP,440.00,
100001701,HCHG CIRCUMCISION CLAMP OTH DEV W/O BLOCK,5099.00,
100001702,HCHG LARYNGOSCOPY DIRECT DX,291.00,
100001705,HCHG INHALATION/NEBULIZER TREATMENT REPEAT,503.00,
100001707,HCHG DEMO/EVAL OF PT USE AEROSOL/NEB/MDI,503.00,
100001708,HCHG TELEMETRY MONITORING,1100.00,
100001718,HCHG NEWBORN TRANSITIONAL CARE PER HR,85.00,
100001719,HCHG APPL CAST LONG ARM,152.00,
100001722,HCHG INTRO HOMOSTATIC VAG NON OB,472.00,
100001724,HCHG RFB FOOT SUBQ,364.00,
100001728,HCHG CHEMO ADMIN PERITONEAL CAV VIA INDWELL PORT/C,384.00,
100001733,HCHG DEBRID MUSC FASC EA ADD 20 SQCM OR PART,50.00,
100001735,HCHG TX GASTRIC INTUB ASP LAVAGE,721.00,
100001736,HCHG SPLT GRFT FACE 1ST 100SQCM,484.00,
100001742,HCHG BX/EXC CERVIX LESION W/WO FULG,167.00,
100001743,HCHG RFB INTRANASAL,332.00,
100001746,HCHG EXC MALIG LES TRNK/EXT 0.6 TO 1.0 CM,270.00,
100001759,HCHG CAR SEAT/BED TEST NB W INTERP/RPT 1ST HR,88.00,
100001760,HCHG CAR SEAT/BED TEST NB W INTERP/RPT EA ADD 30MI,49.00,
100001766,HCHG METER DOSE INHALER,503.00,
100001767,HCHG METER DOSE INHALER REPEAT,503.00,
100001768,HCHG IPPB,503.00,
100001769,HCHG IPPB REPEAT,503.00,
100001770,HCHG AIRWAY OBSTRUCTION SPUTUM INDUCT,503.00,
100001771,HCHG CPAP PER DAY,503.00,
100001778,HCHG LACTATION CONSULT 0-15 MINUTES,20.00,
100001779,HCHG LACTATION CONSULT 16-30 MINUTES,42.00,
100001780,HCHG LACTATION CONSULT 31-45 MINUTES,69.00,
100001781,HCHG LACTATION CONSULT 46-60 MINUTES,102.00,
100001782,HCHG LACTATION CONSULT >60 MINUTES,137.00,
100001785,HCHG RFB EXT AUD CANAL WO ANES,211.00,
100001788,HCHG REM IMPACT CERUMEN INSTRUMENT BILAT,170.00,
100001790,HCHG APPL CAST SHORT LEG WALKING,68.00,
100001804,HCHG REM IMPACT CERUMEN IRR/LAVAGE UNILAT,170.00,
100001805,HCHG REM IMPACT CERUMEN IRR/LAVAGE BILAT,340.00,
100001808,HCHG APP ON BODY INJ FOR TIMED SQ INJECTION,165.00,
100001813,HCHG EXC FACE LES SBQ 2CM / >,365.00,
100001815,HCHG TFH MCAL PERI NUT INT AS30M,48.00,
100001816,HCHG TFH MCAL PERI NUT AS EA15M,27.00,
100001817,HCHG TFH MCAL PERI NUT INT/REASSE,27.00,
100001818,HCHG TFH MCAL PERI NUT INT GR,6.00,
100001819,HCHG TFH MCAL PERI NUT PP INDV,27.00,
100001820,HCHG TFH MCAL PERI PSYCHSOC AS 30MI,48.00,
100001821,HCHG TFH MCAL PERI PSYCHSOC ASEA 15,27.00,
100001822,HCHG TFH MCAL PERI PSYCHSOC INT/REA,27.00,
100001823,HCHG TFH MCAL PERI PSYCHSOC INTGRP,6.00,
100001824,HCHG TFH MCAL PERI PSYCHSOC PP I,27.00,
140000000,HCHG PRIVATE,3496.00,
140000003,HCHG PRIVATE PEDIATRIC,3496.00,
140000008,HCHG ICU ROOM,7165.00,
140000011,HCHG OBSERVATION PER HOUR,112.00,
140000012,HCHG OBSERVATION TELEMETRY PE*,153.00,
140000046,HCHG ICU INTERMEDIATE,5393.00,
140000060,HCHG OBSERVATION DIR ADMIT PER ENCOUNTER,112.00,
140000065,HCHG PRIVATE OB,3496.00,
140000089,HCHG PRIVATE SKILLED,476.00,
140000091,HCHG PRIVATE MONITOR,4544.00,
140000099,HCHG OBSERVATION PER HOUR,112.00,
140000110,HCHG PRIVATE MONITOR PEDS,4544.00,
140000116,HCHG RESPITE PRIVATE,476.00,
140000118,HCHG GIP PRIVATE,3496.00,
140000131,HCHG STATISTICAL HOURLY OP IN BED,0.00,Tracking Utilization
140000133,HCHG NURSERY WELL BABY,1035.00,
140000134,HCHG NURSERY NEWBORN LEVEL I,2300.00,
140000135,HCHG NURSERY SPECIAL CARE LEVEL II,3496.00,
180001280,HCHG OFFICE CONSULT LEVEL I,46.00,
180001281,HCHG OFFICE CONSULT LEVEL II,86.00,
180001282,HCHG OFFICE CONSULT LEVEL III,117.00,
180001283,HCHG OFFICE CONSULT LEVEL IV,174.00,
180001284,HCHG OFFICE CONSULT LEVEL V,212.00,
200000110,HCHG EXC PILONIDAL CYST EXTEN PF,1389.00,
200000865,HCHG PLACE NEEDLE INTRAOS INFUS,818.00,
200001006,"HCHG IV INFUSION,HYDRATION EA ADDL HR",117.00,
200001018,HCHG ED VISIT CARE LEVEL 2,346.00,
200001019,HCHG ED VISIT CARE LEVEL 3,624.00,
200001020,HCHG ED VISIT CARE LEVEL 4,1031.00,
200001021,HCHG ED VISIT CARE LEVEL 5,1516.00,
200001024,HCHG CRITICAL CARE EA ADDL 30MINS,2066.00,
200001025,HCHG ED NO CHARGE/LWBS,0.00,Tracking Utilization
200002493,HCHG EXC PILONIDAL CYST EXTEN MLP,1389.00,
200003025,HCHG I/D VULVA/PERINEAL ABSCESS MLP,337.00,
200003143,HCHG OBSERVATION CARE DISCHARGE PF,214.00,
200003144,HCHG OBSERVATION INITL LOW PF,288.00,
200003145,HCHG OBSERVATION INITL MOD PF,397.00,
200003146,HCHG OBSERVATION INITL HIGH PF,546.00,
200003147,HCHG OBS/IP CARE SAME DAY ADM/DIS LOW PF,401.00,
200003148,HCHG OBS/IP CARE SAME DAY ADM/DIS MOD PF,505.00,
200003149,HCHG OBS/IP CARE SAME DAY ADM/DIS HIGH PF,649.00,
200003150,HCHG ED VISIT CARE LEVEL 1  PF,63.00,
200003151,HCHG ED VISIT CARE LEVEL 1 MLP,63.00,
200003152,HCHG ED PHYS CARE LEVEL 2 MLP,123.00,
200003153,HCHG ED PHYS CARE LEVEL 2 PF,123.00,
200003154,HCHG ED PHYS CARE LEVEL 3 MLP,184.00,
200003155,HCHG ED PHYS CARE LEVEL 3 PF,184.00,
200003156,HCHG ED PHYS CARE LEVEL 4 MLP,351.00,
200003157,HCHG ED PHYS CARE LEVEL 4 PF,351.00,
200003158,HCHG ED PHYS CARE LEVEL 5 MLP,515.00,
200003159,HCHG ED PHYS CARE LEVEL 5 PF,515.00,
200003294,HCHG INS BLADDER CATH NON INDWELL,1800.00,
200003295,HCHG INS BLADDER CATH INDWELL SIMP,850.00,
200003296,HCHG INS BLADDER CATH INDWELL COMP,395.00,
200003326,HCHG CPR,769.00,
200003327,HCHG ED VISIT CARE LEVEL 1,191.00,
200003328,HCHG CRITICAL CARE FIRST 30 - 74 MIN,3161.00,
200003558,HCHG ED SINGLE PROC LEVEL 1,276.00,
200003559,HCHG ED SINGLE PROC LEVEL 2,551.00,
200003560,HCHG ED SINGLE PROC LEVEL 3,1213.00,
200003561,HCHG ED SINGLE PROC LEVEL 4,1950.00,
200003562,HCHG ED SINGLE PROC LEVEL 5,2350.00,
200003563,HCHG ED MULTI PROC LEVEL 1,380.00,
200003564,HCHG ED MULTI PROC LEVEL 2,700.00,
200003565,HCHG ED MULTI PROC LEVEL 3,1650.00,
200003566,HCHG ED MULTI PROC LEVEL 4,4000.00,
200003567,HCHG ED MULTI PROC LEVEL 5,6064.00,
200003644,HCHG INITIAL HOSP CARE/DAY MOD PF,408.00,
200003645,HCHG CAH INITIAL HOSP CARE/DAY MOD MLP,408.00,
200003646,HCHG INITIAL HOSP CARE/DAY HIGH PF,599.00,
200003647,HCHG CAH INITIAL HOSP CARE/DAY HIGH MLP,599.00,
200003648,HCHG SUBSEQ HOSP CARE/DAY LOW PF,117.00,
200003649,HCHG CAH SUBSEQ HOSP CARE/DAY LOW MLP,117.00,
200003650,HCHG SUBSEQ HOSP CARE/DAY MOD PF,214.00,
200003651,HCHG CAH SUBSEQ HOSP CARE/DAY MOD MLP,214.00,
200003652,HCHG HOSP DISCH MGMT 30MIN OR LESS PF,214.00,
200003653,HCHG CAH HOSP DISCH MGMT 30MIN OR LESS MLP,214.00,
200003654,HCHG SWING BED ADMIT MOD PF,390.00,
200003655,HCHG SWING BED ADMIT HIGH PF,492.00,
200003698,HCHG MEAS POST VOID BLADDER RESID SCAN,170.00,
270001053,HCHG POSTOP FOLLOW UP,0.00,Tracking Utilization
270001054,HCHG SCREENING VISUAL ACUITY QUNT BIL,53.00,
350001014,HCHG BINOCULAR MICROSCOPY,67.00,
350001016,HCHG POSITIONAL NYSTAMNUS W/RECORDING,63.00,
350001021,HCHG PURE TONE AUDIOMETRY AIR ONLY,42.00,
350001022,HCHG PURE TONE AUDIOMETRY AIR/BONE,124.00,
350001023,HCHG SPEECH AUDIOMETRY THRESHOLD ONLY,49.00,
350001024,HCHG SPEECH AUDIOMETRY W/SP RECOGINTON,29.00,
350001025,HCHG COMP AUDIOMETRY EVAL/SPEECH RECOG,106.00,
350001026,HCHG TYMPANOMETRY,46.00,
350001027,HCHG ACOUSTIC REFLEX TESTING,48.00,
350001031,HCHG CONDITIONING PLAY AUDIOMETRY,131.00,
350001033,HCHG AUDITORY EVOKED RESP CNS COMP,318.00,
350001034,HCHG AUDITORY EVOKED RESPONSE CNS LTD,395.00,
350001035,HCHG EVOKED OTOACOUSTIC EMISSION LTD,11.00,
350001036,HCHG EVOKED OTOACOUSTIC EMISSON CMP/DX,721.00,
350001044,HCHG POLYSOM ATTENDED >3 CHN 6/> YRS,2804.00,
350001045,HCHG POLYSOM ATTENDED W CPAP 6/> YRS,2804.00,
350001046,HCHG EEG EXTENDED 41 TO 60M,519.00,
350001047,HCHG EEG EXTENDED > 1 HR,519.00,
350001048,HCHG EEG W AWAKE AND DROWSY RECORD,391.00,
350001049,HCHG EEG W AWAKE AND ASLEEP RECORD,391.00,
350001054,HCHG EMG NDL 1 EXTR W OR WO PARASPINAL,203.00,
350001055,HCHG EMG NDL 2 EXTR W OR WO PARASPINAL,248.00,
350001056,HCHG EMG NDL 3 EXTR W OR WO PARASPINAL,306.00,
350001057,HCHG EMG NDL 4 EXTR W OR WO PARASPINAL,375.00,
350001080,HCHG DIGITAL ANALYSIS EEG,843.00,
350001083,HCHG ANALYZE NEUROSTEM COMPLEX,56.00,
350001093,HCHG OP VISIT LEVEL I NEW PT,46.00,
350001094,HCHG OP VISIT LEVEL II NEW PT,70.00,
350001095,HCHG OP VISIT LEVEL III NEW PT,103.00,
350001096,HCHG OP VISIT LEVEL IV NEW PT,158.00,
350001097,HCHG OP VISIT LEVEL V NEW PT,195.00,
350001098,HCHG OP VISIT LEVEL I EST PT,20.00,
350001099,HCHG OP VISIT LEVEL II EST PT,42.00,
350001100,HCHG OP VISIT LEVEL III EST PT,69.00,
350001101,HCHG OP VISIT LEVEL IV EST PT,102.00,
350001102,HCHG OP VISIT LEVEL V EST PT,137.00,
350001103,HCHG CAH OBSERVATION CARE DISCHARGE MLP,214.00,
350001104,HCHG CAH OBSERVATION INITL LOW MLP,288.00,
350001105,HCHG CAH OBSERVATION INITL MOD MLP,397.00,
350001106,HCHG CAH OBSERVATION INITL HIGH MLP,546.00,
350001107,HCHG CAH OBS/IP CARE SAME DAY ADM/DIS LOW MLP,401.00,
350001108,HCHG CAH OBS/IP CARE SAME DAY ADM/DIS MOD MLP,505.00,
350001109,HCHG CAH OBS/IP CARE SAME DAY ADM/DIS  HIGH MLP,649.00,
350001165,HCHG BLADDER IRRIGATION SMPL LAVAGE,53.00,
350001172,HCHG DEBRID EXTEN ECZEMA <10PCT,72.00,
350001215,HCHG INS BLADDER CATH NON INDWELL,90.00,
350001224,HCHG REM IMPACT CERUMEN INSTRUMENT UNILAT,112.00,
350001320,HCHG MULTIPLE SLEEP LATENCY TEST,2330.00,
350001326,HCHG DEBRID SUBQ 1ST 20SQCM OR LESS,148.00,
350001327,HCHG DEBRID MUSC/FASC1ST20 SQCM OR LESS,224.00,
350001328,HCHG BX SKIN SUBQ MEMBRANE SNGL LESION,167.00,
350001348,HCHG SIMP REP S/NK/TR/EXT 2.6 TO 7.5CM,144.00,
350001349,HCHG TUBE THORACOSTOMY,1362.00,
350001361,HCHG INJ ANES STELLATE GANGLION,1981.00,
350001362,HCHG INJ ANES LUMBAR/THORACIC,1981.00,
350001364,HCHG INJ ANES GTR OCCIPTAL NERVE,717.00,
350001372,HCHG INJ SACROILIAC JOINT,157.00,
350001378,HCHG INJ SGL TEN ORGIN/INSERT,49.00,
350001380,HCHG INJ TRIGGER PT 3 OR > MUSC,717.00,
350001426,HCHG SLEEP STUDY ATTENDED,2330.00,
350001462,HCHG BILATERAL INJ SACROILIAC JOINT,1215.00,
350001463,HCHG BILAT INJ ANES GTR OCCIPTAL NERVE,1434.00,
350001465,HCHG BILAT INJ ANES SUPRASCAPULAR NERVE,3145.00,
350001466,HCHG BILAT INJ ANES OTHER PERIPH NERVE,3146.00,
350001492,HCHG I&D POST OP WOUND,198.00,
350001511,HCHG DEBRID WOUND SELECT 1ST 20 SQCM<,203.00,
350001514,HCHG NEG PRESS WOUND TX BY DME 50 SQCM/ <,475.00,
350001515,HCHG TRANSFORAM EPID C/T ADD LEV,1690.00,
350001516,HCHG NEG PRESS WOUND TX BY DME > 50 SQCM,908.00,
350001524,HCHG INJ TRANSFORMINAL EPI/CERV/THOR SNGL LEVEL,1981.00,
350001578,HCHG BX SKIN SUBQ MEMBRANE SNGL LESION MLP,152.00,
350001614,HCHG PR THERAPEUTIC PROC GROUP,65.00,
350001615,HCHG PR THERAPEUTIC PROC 15 MINS,65.00,
350001634,HCHG I&D FOREIGN BODY COMPLICATED,261.00,
350001646,HCHG RFB SUBQ TISSUE SIMPLE,908.00,
350001648,HCHG DESTRUCT FLAT WART UP TO 14 LESION,125.00,
350001665,HCHG TRANSFORAM EPID C/T ADD LEVEL,1690.00,
350001676,HCHG BILAT ASP/INJ SMALL JT WO US GUID,82.00,
350001678,HCHG BILAT TRANSFORAM EPID L/S ADD(50),3246.00,
350001679,HCHG BILAT INJ SGL TEN SHEATH/LIG/APO,88.00,
350001715,HCHG EXCISION LESION 1.1 TO 2.0 CM,287.00,
350001732,HCHG INJ THERA CARPAL CANAL,57.00,
350001748,HCHG BX VESTIBULE OF MOUTH,240.00,
350001750,HCHG I/D BARTHOLINS GLAND ABSCESS,96.00,
350001751,HCHG DESTRUCTION LESION/S VULVA SMPL,49.00,
350001756,HCHG BIOPSY OF PERINEUM,68.00,
350001757,HCHG DESTRUCTION VAGINAL LESION/S SMPL,48.00,
350001758,HCHG COLPOSCOPY W BX AND CURETTAGE,53.00,
350001759,HCHG COLPOSCOPY W/LOOP ELECTRODE BX,386.00,
350001760,HCHG ENDOCERVICAL CURETTAGE,30.00,
350001761,HCHG CYROCAUTERY CERVIX INIT/REAT,41.00,
350001764,HCHG REMOVAL IUD,86.00,
350001779,HCHG COLPOSCOPY,51.00,
350001799,HCHG CERV/VAG CA. SCRN. PELV/BRST EXAM,38.00,
350001812,HCHG PREVENT VISIT NEW <1 YR,106.00,
350001813,HCHG PREVENT VISIT EST <1 YR,93.00,
350001814,HCHG PREVENT VISIT NEW 1 TO 4 YRS,110.00,
350001815,HCHG PREVENT VISIT EST 1 TO 4 YRS,98.00,
350001816,HCHG PREVENT VISIT NEW 5 TO 11 YRS,113.00,
350001817,HCHG PREVENT VISIT EST 5 TO 11 YRS,98.00,
350001818,HCHG PREVENT NEW 12 TO 17 YRS,130.00,
350001819,HCHG PREVENT VISIT EST 12 TO 17 YRS,98.00,
350001820,HCHG PREVENT VISIT NEW 18 TO 39 YRS,189.00,
350001821,HCHG PREVENT VISIT EST 18 TO 39 YRS,112.00,
350001822,HCHG PREVENT VISIT NEW 40 TO 64 YRS,146.00,
350001823,HCHG PREVENT VISIT EST 40 TO 64 YRS,119.00,
350001824,HCHG PREVENT VISIT NEW 65+ YRS,158.00,
350001825,HCHG PREVENT VISIT EST 65+ YRS,130.00,
350001829,HCHG INJ ANES PUDENDAL NERVE BLOCK,1981.00,
350001880,HCHG REMOVAL TISSUE EXPANDER W/O PROS,1043.00,
350001905,HCHG CONTROL NASAL HEM ANTER SIMP,123.00,
350001909,HCHG ENDOMETRIAL BIOPSY,67.00,
350001929,HCHG EVAC SUBUNGUAL HEMATOMA,170.00,
350001941,HCHG EXC BN LES SC/NK/HDS 0.6TO1.0,337.00,
350001947,HCHG ADMIN VAC/TOX THRU 18 YRS 1ST,85.00,
350001948,HCHG ADMIN VAC/TOX THRU 18 YRS EA ADD,42.00,
350001952,HCHG EXC MALIG LES TR/ARMS/LEGS 3.1 TO 4 CM,697.00,
350001961,HCHG OP VISIT LEVEL I NEW PT PF,63.00,
350001962,HCHG OP VISIT LEVEL II NEW PT PF,107.00,
