Facility,Service,Price,,
Northwestern Medicine Central DuPage Hospital,UMBILICUP F/TRANSP U CORD,$96.00,,
Northwestern Medicine Central DuPage Hospital,HCPF VEIN X-RAY- ARM/LEG UNI,$96.00,,
Northwestern Medicine Central DuPage Hospital,"US OB, LESS THAN 14 WEEKS, SINGLE/FIRST GESTATION",$959.25,,
Northwestern Medicine Central DuPage Hospital,"US OB, LESS THAN 14 WEEKS, EACH ADD'L GESTATION",$959.25,,
Northwestern Medicine Central DuPage Hospital,ASSAY OF PROSTAGLANDIN,$958.38,,
Northwestern Medicine Central DuPage Hospital,"US OB, FETAL NUCHAL TRANSLUCENCY MEASUREMENT, SINGLE/FIRST GESTATION",$958.00,,
Northwestern Medicine Central DuPage Hospital,"RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA; SIMPLE, 6-10 MEV",$957.50,,
Northwestern Medicine Central DuPage Hospital,OR 272,$938.65,,
Northwestern Medicine Central DuPage Hospital,TCD EMBOLI DETECT W/INJ,$956.00,,
Northwestern Medicine Central DuPage Hospital,PML/RARALPHA COM BREAKPOINTS,$955.75,,
Northwestern Medicine Central DuPage Hospital,REPAIR MOUTH LACERATION; 2.5CM OR LESS,$952.25,,
Northwestern Medicine Central DuPage Hospital,ANES TRIPLE LUMEN LINE,$951.50,,
Northwestern Medicine Central DuPage Hospital,ASSAY OF URINE POTASSIUM,$95.88,,
Northwestern Medicine Central DuPage Hospital,BLOOD TYPING SEROLOGIC ABO,$95.75,,
Northwestern Medicine Central DuPage Hospital,WOUND CLEANSER-DERMAL,$95.50,,
Northwestern Medicine Central DuPage Hospital,ANES TRAY SPNL 25GX3.5/LATX,$95.50,,
Northwestern Medicine Central DuPage Hospital,HCPF ECHO EXAM ABDOMEN LIMITED,$95.50,,
Northwestern Medicine Central DuPage Hospital,4CM ROSIDAL BANDAGE,$95.25,,
Northwestern Medicine Central DuPage Hospital,DRESSING CVC KIT 57286C LAT,$95.25,,
Northwestern Medicine Central DuPage Hospital,PROTHROMBIN TIME,$95.13,,
Northwestern Medicine Central DuPage Hospital,ANES ET TUBE SINGLE,$95.00,,
Northwestern Medicine Central DuPage Hospital,PCA SETUP,$95.00,,
Northwestern Medicine Central DuPage Hospital,SAFETY NEEDL GRIPPER 19 X 1,$95.00,,
Northwestern Medicine Central DuPage Hospital,SAFETY NEEDL GRIPPER 19X3/4,$95.00,,
Northwestern Medicine Central DuPage Hospital,STIFNECK COLLAR PEDS,$95.00,,
Northwestern Medicine Central DuPage Hospital,CHAMBER MDI W/VALVE MOUTHPI,$95.00,,
Northwestern Medicine Central DuPage Hospital,HCPF REM FB EYE CORNEAL W/OSL,$95.00,,
Northwestern Medicine Central DuPage Hospital,HCPF ECHO DOPPLER CONT LMTD,$95.00,,
Northwestern Medicine Central DuPage Hospital,UAC INSERTION; ALINE,$949.00,,
Northwestern Medicine Central DuPage Hospital,INTMD RPR N-HF/GENIT2.6-7.5,$948.13,,
Northwestern Medicine Central DuPage Hospital,"FLUOROSCOPY, UP TO 1 HOUR",$948.00,,
Northwestern Medicine Central DuPage Hospital,DRUG/SUBSTANCE NOS 4-6,$946.75,,
Northwestern Medicine Central DuPage Hospital,HCPF PLACE DUOD/JEJ TUBE PERC,$943.00,,
Northwestern Medicine Central DuPage Hospital,BIOPSY SYSTEM AUTOMATIC,$941.25,,
Northwestern Medicine Central DuPage Hospital,COLD AGGLUTININ TITER,$94.88,,
Northwestern Medicine Central DuPage Hospital,CHAMBER HLD MDI VLV FLO SGNL AERCHAM PLUS,$94.50,,
Northwestern Medicine Central DuPage Hospital,ASSAY OF SERUM POTASSIUM,$94.38,,
Northwestern Medicine Central DuPage Hospital,AUTOMATED RETICULOCYTE COUNT,$94.38,,
Northwestern Medicine Central DuPage Hospital,TISSUE CULTURE PLACENTA,$939.50,,
Northwestern Medicine Central DuPage Hospital,"INJECTIONS, SINGLE OR MULTIPLE TRIGGER POINTS, 3 OR MORE MUSCLES",$939.25,,
Northwestern Medicine Central DuPage Hospital,OR 272,"$9,695.10",,
Northwestern Medicine Central DuPage Hospital,VENOM CANNULA 20G 100MM 10MM,$937.75,,
Northwestern Medicine Central DuPage Hospital,INTMD RPR FACE/MM 2.5 CM/<,$937.50,,
Northwestern Medicine Central DuPage Hospital,HCPF ANGIO SUBCLAVIAN ARTERY,$937.00,,
Northwestern Medicine Central DuPage Hospital,PHENOTYPE INFECT AGENT DRUG,$936.38,,
Northwestern Medicine Central DuPage Hospital,INFUSION SET IV Y INJ SITE SAF POWERLOC 20 GX1IN,$936.00,,
Northwestern Medicine Central DuPage Hospital,HCPF ANGIO SEL INTRCRAN CAROTD,$936.00,,
Northwestern Medicine Central DuPage Hospital,BIOPSY OF LIP,$935.75,,
Northwestern Medicine Central DuPage Hospital,MOPATH PROCEDURE LEVEL 5,$932.00,,
Northwestern Medicine Central DuPage Hospital,DRAIN CHEST EXP DUAL DRYSEAL,$931.75,,
Northwestern Medicine Central DuPage Hospital,ASSAY BLD/SERUM CHOLESTEROL,$93.88,,
Northwestern Medicine Central DuPage Hospital,ASSAY OF URINE/UREA-N,$93.88,,
Northwestern Medicine Central DuPage Hospital,MOLECULAR PATHOLOGY PROC LEVEL 9,$93.75,,
Northwestern Medicine Central DuPage Hospital,ASSAY GLUCOSE BLOOD QUANT,$93.38,,
Northwestern Medicine Central DuPage Hospital,TEMP PROBE ESOPHAGL,$93.25,,
Northwestern Medicine Central DuPage Hospital,PROBE ESPHOGEAL/RECTAL DISP,$93.25,,
Northwestern Medicine Central DuPage Hospital,PROBE SKIN TEMP DISP,$93.25,,
Northwestern Medicine Central DuPage Hospital,DRESS TEGADERM 4X4 3/4IN CVC,$93.25,,
Northwestern Medicine Central DuPage Hospital,BLOOD TYPING RBC ANTIGENS,$93.25,,
Northwestern Medicine Central DuPage Hospital,SUCTION EQUIPMENT,$93.00,,
Northwestern Medicine Central DuPage Hospital,INS/REP SUBQ DEFIBRILLATOR,"$93,514.25",,
Northwestern Medicine Central DuPage Hospital,SURGICEL HEMOSTAT 2.X14,$928.50,,
Northwestern Medicine Central DuPage Hospital,HCPF REVS OPN/PRQ TIB/PER STNT,$928.50,,
Northwestern Medicine Central DuPage Hospital,LIMITED DOPPLER - ADD ON,$928.50,,
Northwestern Medicine Central DuPage Hospital,MST SAFETY 4 FRENCH BD,$925.00,,
Northwestern Medicine Central DuPage Hospital,MST SAFETY 5 FRENCH BI,$925.00,,
Northwestern Medicine Central DuPage Hospital,FEES W/LARYNGEAL SENSE TEST,$920.50,,
Northwestern Medicine Central DuPage Hospital,RESTRAINT ARM OR LEG,$92.25,,
Northwestern Medicine Central DuPage Hospital,DRESS TEGADERM 7X8.5CM PIV,$92.00,,
Northwestern Medicine Central DuPage Hospital,"US OB, LIMITED, 1 OR MORE FETUSES",$919.25,,
Northwestern Medicine Central DuPage Hospital,BRA QUEEN (ZIPERED),$917.25,,
Northwestern Medicine Central DuPage Hospital,HCPF INCISION RECTAL ABSCESS,$915.50,,
Northwestern Medicine Central DuPage Hospital,GENOTYPE DNA/RNA HIV,$913.25,,
Northwestern Medicine Central DuPage Hospital,HCPF SEC ART M-THROMBECT ADD,$913.00,,
Northwestern Medicine Central DuPage Hospital,PLEURAL DRAIN KT PLEUR 500,$910.50,,
Northwestern Medicine Central DuPage Hospital,ASSAY OF URINE SODIUM,$91.75,,
Northwestern Medicine Central DuPage Hospital,OSTEOPATH MANJ 1-2 REGIONS,$91.75,,
Northwestern Medicine Central DuPage Hospital,BILIRUBIN TOTAL,$91.63,,
Northwestern Medicine Central DuPage Hospital,ANES WARM LOWR BODY BLANKET,$91.50,,
Northwestern Medicine Central DuPage Hospital,WARMING LOWER BODY BLANKET,$91.50,,
Northwestern Medicine Central DuPage Hospital,BURETROL SET AD BURET 150ML,$91.50,,
Northwestern Medicine Central DuPage Hospital,PROBE ESOPHAGEAL RECTAL TMP,$91.50,,
Northwestern Medicine Central DuPage Hospital,NASAL SMEAR FOR EOSINOPHILS,$91.25,,
Northwestern Medicine Central DuPage Hospital,ANES WARM SM UPPR BODY BLNKT,$91.00,,
Northwestern Medicine Central DuPage Hospital,ESOPHAGEAL STETHOSCOPE,$91.00,,
Northwestern Medicine Central DuPage Hospital,CHROMOSOME ANALYSIS 20-25,$909.88,,
Northwestern Medicine Central DuPage Hospital,INJECTION FOR ELBOW X-RAY,$907.00,,
Northwestern Medicine Central DuPage Hospital,HCPF RENAL ARTERIO 1ST UNILAT,$906.50,,
Northwestern Medicine Central DuPage Hospital,CHROMOSOME ANALYSIS 5,$905.75,,
Northwestern Medicine Central DuPage Hospital,BOOT HEEL LIFT,$904.50,,
Northwestern Medicine Central DuPage Hospital,CAST LL ADULT,$903.00,,
Northwestern Medicine Central DuPage Hospital,ED VISIT LEVEL 2,$901.50,,
Northwestern Medicine Central DuPage Hospital,PREFAB EO DYNAMIC,$900.50,,
Northwestern Medicine Central DuPage Hospital,CT LOW DOSE FOR LUNG SCREENING,$900.00,,
Northwestern Medicine Central DuPage Hospital,ALLERGEN SPECIFIC IGE,$90.88,,
Northwestern Medicine Central DuPage Hospital,FUNGI IDENTIFICATION MOLD,$90.88,,
Northwestern Medicine Central DuPage Hospital,"HIGH OUTPUT, 1P, 4 1/3""",$90.25,,
Northwestern Medicine Central DuPage Hospital,FEED SET 1000ML W/FLUSH BAG,$90.25,,
Northwestern Medicine Central DuPage Hospital,REST.HAND/SAFE POS.SPLINT,$90.00,,
Northwestern Medicine Central DuPage Hospital,ANES BIS SENSOR UNIT,$90.00,,
Northwestern Medicine Central DuPage Hospital,FILTER URINE STRAINER460NON,$9.50,,
Northwestern Medicine Central DuPage Hospital,OR 278,"$9,667.33",,
Northwestern Medicine Central DuPage Hospital,REMOVE BY LIGAT INT HEM GRPS,"$9,944.75",,
Northwestern Medicine Central DuPage Hospital,VENOUS MECHANICAL THROMBECTOMY ADD-ON,"$9,943.00",,
Northwestern Medicine Central DuPage Hospital,XPOSE FOR ENDOPROSTH FEMORL,"$9,911.00",,
Northwestern Medicine Central DuPage Hospital,BX BREAST 1ST LESION MR IMAG,"$9,862.50",,
Northwestern Medicine Central DuPage Hospital,BX BREAST ADD LESION MR IMAG,"$9,862.50",,
Northwestern Medicine Central DuPage Hospital,LIGATE/STRIP SHORT LEG VEIN,"$9,836.00",,
Northwestern Medicine Central DuPage Hospital,IN111 PENTETATE PER 0.5MCI (DTPA),"$9,781.00",,
Northwestern Medicine Central DuPage Hospital,PERQ RF ABLATE TX PUL TUMOR,"$9,780.75",,
Northwestern Medicine Central DuPage Hospital,DIAG LAPARO SEPARATE PROC,"$9,747.50",,
Northwestern Medicine Central DuPage Hospital,OR 278,"$9,119.55",,
Northwestern Medicine Central DuPage Hospital,OR 278,"$9,032.12",,
Northwestern Medicine Central DuPage Hospital,OR 272,$828.63,,
Northwestern Medicine Central DuPage Hospital,HCPF TRANSCATH STNT CCA WO EPS,"$9,637.00",,
Northwestern Medicine Central DuPage Hospital,INTRACARDIAC ECG (ICE),"$9,384.00",,
Northwestern Medicine Central DuPage Hospital,EVASC RPR ILIO-ILIAC NDGFT,"$9,381.25",,
Northwestern Medicine Central DuPage Hospital,EVASC RPR ILIO-ILIAC RPT,"$9,381.25",,
Northwestern Medicine Central DuPage Hospital,TREAT FINGER FRACTURE EACH FINGER OR THUMB,"$9,360.00",,
Northwestern Medicine Central DuPage Hospital,HDR RDNCL NTRSTL/ICAV BRCHTX 13+ CHAN,"$9,339.50",,
Northwestern Medicine Central DuPage Hospital,TLSO 4MOD SACRO-SCAP PRE,"$9,327.00",,
Northwestern Medicine Central DuPage Hospital,"INTRACRANIAL ANGIOPLASTY, PERCUTANEOUS","$9,259.75",,
Northwestern Medicine Central DuPage Hospital,"ERCP W/ BIOPSY, SINGLE OR MULTIPLE","$9,258.00",,
Northwestern Medicine Central DuPage Hospital,ERCP W/SPHINCTEROTOMY,"$9,258.00",,
Northwestern Medicine Central DuPage Hospital,ERCP REMOVE DUCT CALCULI,"$9,258.00",,
Northwestern Medicine Central DuPage Hospital,ERCP EA DUCT/AMPULLA DILATE,"$9,258.00",,
Northwestern Medicine Central DuPage Hospital,ERCP LESION ABLATE W/DILATE,"$9,258.00",,
Northwestern Medicine Central DuPage Hospital,CT ANGIO ABD&PELV W/O&W/DYE,"$9,242.00",,
Northwestern Medicine Central DuPage Hospital,PRIMARY ARTERIAL MECHANICAL THROMBECTOMY INITIAL,"$9,236.75",,
Northwestern Medicine Central DuPage Hospital,OR 278,"$8,544.60",,
Northwestern Medicine Central DuPage Hospital,ENDOLUMINAL BX BILIARY TREE INCLUDING IMAGING GUIDANCE; ADD-ON,"$9,186.25",,
Northwestern Medicine Central DuPage Hospital,DILATE BILIARY DUCT/AMPULLA,"$9,186.25",,
Northwestern Medicine Central DuPage Hospital,PERCUTANEOUS VERTEBROPLASTY; THORACIC,"$9,133.25",,
Northwestern Medicine Central DuPage Hospital,OR 270,$73.42,,
Northwestern Medicine Central DuPage Hospital,INSERT TUNNELED INTRAPERITONEAL CATHETER PERCUTANEOUS,"$9,101.50",,
Northwestern Medicine Central DuPage Hospital,OR 278,"$73,097.96",,
Northwestern Medicine Central DuPage Hospital,TRANSCATH OCCLUSION; NON-CENTRAL NERVOUS SYSTEM,"$9,071.25",,
Northwestern Medicine Central DuPage Hospital,OR 278,"$7,804.28",,
Northwestern Medicine Central DuPage Hospital,SBRT DELIVERY,"$9,011.75",,
Northwestern Medicine Central DuPage Hospital,EXCHANGE NEPHROSTOMY CATH,"$9,009.50",,
Northwestern Medicine Central DuPage Hospital,HCPF REMOV URETER STENT PERCUT,$894.00,,
Northwestern Medicine Central DuPage Hospital,SPECIAL RADIATION DOSIMETRY,$893.25,,
Northwestern Medicine Central DuPage Hospital,HIV-2 PROBE&REVRSE TRNSCRIPJ,$892.75,,
Northwestern Medicine Central DuPage Hospital,"FRACTURE FINGER, ARTICULAR; WITH MANIPULATION",$892.50,,
Northwestern Medicine Central DuPage Hospital,DISLOCATIN ANKLE; WITHOUT ANESTHESIA,$892.50,,
Northwestern Medicine Central DuPage Hospital,CATHETER FOR SONOHYSTEROGRAPHY OR HYSTEROSALPINGOGRAPHY,$892.00,,
Northwestern Medicine Central DuPage Hospital,AIRWAY EXCHACGER 11FR,$891.25,,
Northwestern Medicine Central DuPage Hospital,AIRWAY EXCHACGER 14FR,$891.25,,
Northwestern Medicine Central DuPage Hospital,OR 272,"$7,390.20",,
Northwestern Medicine Central DuPage Hospital,RADIATION THERAPY DOSE PLAN,$890.50,,
Northwestern Medicine Central DuPage Hospital,HCPF TRAN CATH ART/VEN SUB DAY,$890.00,,
Northwestern Medicine Central DuPage Hospital,HCPF HOLTER REPORT PER UP 48HR,$89.75,,
Northwestern Medicine Central DuPage Hospital,SALEM SUMP 10FR VYGON,$89.25,,
Northwestern Medicine Central DuPage Hospital,SALEM SUMP TB E 8FR,$89.25,,
Northwestern Medicine Central DuPage Hospital,SALEM SUMP TB E 6FR,$89.25,,
Northwestern Medicine Central DuPage Hospital,ASSAY OF URINE ALBUMIN,$89.25,,
Northwestern Medicine Central DuPage Hospital,ASSAY OF CADMIUM,$89.25,,
Northwestern Medicine Central DuPage Hospital,MICROSPHERE THERAPY DOSE,"$89,514.75",,
Northwestern Medicine Central DuPage Hospital,HLA CLASS I HIGH DEFIN QUAL,$888.88,,
Northwestern Medicine Central DuPage Hospital,LOW FREQUENCY NON-THERMAL US,$887.00,,
Northwestern Medicine Central DuPage Hospital,C/D PART DAY HOSPITAL,$880.00,,
Northwestern Medicine Central DuPage Hospital,M/H PARTIAL DAY HOSP,$880.00,,
Northwestern Medicine Central DuPage Hospital,M/H PARTIAL DAY HOSP ADOL,$880.00,,
Northwestern Medicine Central DuPage Hospital,CDH C/D PART DAY HOSPITAL,$880.00,,
Northwestern Medicine Central DuPage Hospital,CDH M/H PARTIAL DAY HOSP,$880.00,,
Northwestern Medicine Central DuPage Hospital,CDH M/H PARTIAL DAY HOSP ADOL,$880.00,,
Northwestern Medicine Central DuPage Hospital,6 CM ROSIDAL BANDAGE RL,$88.75,,
Northwestern Medicine Central DuPage Hospital,KERRAMAX DRESSING 4INX9IN,$88.75,,
Northwestern Medicine Central DuPage Hospital,ASSAY OF URINE CHLORIDE,$88.75,,
Northwestern Medicine Central DuPage Hospital,OR LEVEL 3 EACH ADDITIONAL MINUTE,$88.75,,
Northwestern Medicine Central DuPage Hospital,HCPF MOBILE TELEMETRY(ECAT),$88.50,,
Northwestern Medicine Central DuPage Hospital,OXYGEN,$88.13,,
Northwestern Medicine Central DuPage Hospital,IV CATH NEXIVA 20 X 1,$88.00,,
Northwestern Medicine Central DuPage Hospital,IV CATH NEXIVA 20G 1IN,$88.00,,
Northwestern Medicine Central DuPage Hospital,IV CATH NEXIVA 22G 1IN,$88.00,,
Northwestern Medicine Central DuPage Hospital,EXPIRED GAS COLLECTION,$88.00,,
Northwestern Medicine Central DuPage Hospital,ORAL SPEECH DEVICE EVAL,$638.00,,
Northwestern Medicine Central DuPage Hospital,REPAIR WOUND/LESION ADD-ON,$879.75,,
Northwestern Medicine Central DuPage Hospital,HCPF ABV DIA CATH ARTERY 2ND,$879.00,,
Northwestern Medicine Central DuPage Hospital,NEONATE TRACH 3.0,$878.75,,
Northwestern Medicine Central DuPage Hospital,NEONATE TRACH 3.5,$878.75,,
Northwestern Medicine Central DuPage Hospital,PED TRACH CUFFLESS 3.0,$878.75,,
Northwestern Medicine Central DuPage Hospital,PED TRACH CUFFLESS 3.5,$878.75,,
Northwestern Medicine Central DuPage Hospital,PED TRACH CUFFLESS 4.0,$878.75,,
Northwestern Medicine Central DuPage Hospital,PED TRACH CUFFLESS 4.5,$878.75,,
Northwestern Medicine Central DuPage Hospital,PED TRACH CUFFLESS 5.0,$878.75,,
Northwestern Medicine Central DuPage Hospital,PED TRACH CUFFLESS 5.5,$878.75,,
Northwestern Medicine Central DuPage Hospital,NEONATE TRACH 4.0,$878.75,,
Northwestern Medicine Central DuPage Hospital,PED TRACH CUFFLESS 2.5,$878.75,,
Northwestern Medicine Central DuPage Hospital,X-RAYS BONE LENGTH STUDIES,$877.00,,
Northwestern Medicine Central DuPage Hospital,REMOVE NAIL PLATE ADD-ON,$876.00,,
Northwestern Medicine Central DuPage Hospital,"DISLOCATION, THUMB, WITH MANIPULATION",$873.75,,
Northwestern Medicine Central DuPage Hospital,OR 278,"$63,929.25",,
Northwestern Medicine Central DuPage Hospital,HCPF THORACIC REPAIR ENDOVASC,$871.00,,
Northwestern Medicine Central DuPage Hospital,MR CONDITIONAL DEEO EEG CYO ELECTRODES 1.5M/CG1,$870.00,,
Northwestern Medicine Central DuPage Hospital,MR CONDITIONAL DEEO EEG CYO ELECTRODES 1.5M/CG2,$870.00,,
Northwestern Medicine Central DuPage Hospital,IV CATH NEXIVA 24G .75IN,$87.75,,
Northwestern Medicine Central DuPage Hospital,ASSAY OF GLYCATED PROTEIN,$87.75,,
Northwestern Medicine Central DuPage Hospital,EPSTEIN-BARR NUCLEAR ANTIGEN,$87.75,,
Northwestern Medicine Central DuPage Hospital,URINALYSIS AUTO W/O SCOPE,$87.75,,
Northwestern Medicine Central DuPage Hospital,ASSAY OF CAROTENE,$87.25,,
Northwestern Medicine Central DuPage Hospital,DEXA BODY COMPOSITION (FD),$87.25,,
Northwestern Medicine Central DuPage Hospital,ANES FLUID WARMER,$87.00,,
Northwestern Medicine Central DuPage Hospital,OR 278,"$60,855.00",,
Northwestern Medicine Central DuPage Hospital,RMVL& REPLC PULSE GEN 1 LEAD,"$87,058.50",,
Northwestern Medicine Central DuPage Hospital,RMVL & RPLCMT DFB GEN 2 LEAD,"$87,058.50",,
Northwestern Medicine Central DuPage Hospital,RMVL & RPLCMT DFB GEN MLT LD,"$87,058.50",,
Northwestern Medicine Central DuPage Hospital,ART LINE TRANSDUCER TRPLE,$868.75,,
Northwestern Medicine Central DuPage Hospital,EXT ECG RECORDING,$868.25,,
Northwestern Medicine Central DuPage Hospital,X-RAY FEMALE GENITAL TRACT,$868.00,,
Northwestern Medicine Central DuPage Hospital,HCPF BLW DIA CATH ARTERY 2ND,$865.75,,
Northwestern Medicine Central DuPage Hospital,APPLY RIGID LEG CAST,$864.00,,
Northwestern Medicine Central DuPage Hospital,REFILL/MAINT PORTABLE PUMP,$862.25,,
Northwestern Medicine Central DuPage Hospital,CELL ENUMERATION PHYS INTERP,$861.63,,
Northwestern Medicine Central DuPage Hospital,OR 272,"$6,885.89",,
Northwestern Medicine Central DuPage Hospital,HCPF INSERT ENDOVAS IVC FILTER,$860.25,,
Northwestern Medicine Central DuPage Hospital,ANES TUBE ET DBL LMN 39FR R,$860.00,,
Northwestern Medicine Central DuPage Hospital,CANN INNT SHILY SZ 8 DISP,$86.75,,
Northwestern Medicine Central DuPage Hospital,ASSAY OF ESTRIOL,$86.75,,
Northwestern Medicine Central DuPage Hospital,THROMBIN TIME PLASMA,$86.75,,
Northwestern Medicine Central DuPage Hospital,ELECTROPHORETIC TEST,$86.75,,
Northwestern Medicine Central DuPage Hospital,SUTURE MONOCRYL 5-0 Y493,$86.50,,
Northwestern Medicine Central DuPage Hospital,HEMOLYSINS/AGGLUTININS AUTO,$86.50,,
Northwestern Medicine Central DuPage Hospital,HCPF EXT ECG > 48HR TO 21 DAY REVIEW AND INTERP,$86.25,,
Northwestern Medicine Central DuPage Hospital,CYTOPATH TBS C/V MANUAL,$86.13,,
Northwestern Medicine Central DuPage Hospital,XM ARCHIVE TISSUE MOLEC ANAL,$86.13,,
Northwestern Medicine Central DuPage Hospital,DRESSING BORDER 6X6 IN,$86.00,,
Northwestern Medicine Central DuPage Hospital,INSRT PULSE GEN W/MULT LEADS,"$86,928.50",,
Northwestern Medicine Central DuPage Hospital,UVC TRAY ARGYLE W/SAFTY COM,$859.50,,
Northwestern Medicine Central DuPage Hospital,TRACH TB E 4FEN SHILEY,$859.25,,
Northwestern Medicine Central DuPage Hospital,NEG PRESS WOUND TX >50 CM,$858.25,,
Northwestern Medicine Central DuPage Hospital,HCPF ANGIO SEL EXTRCRAN CAROTD,$857.00,,
Northwestern Medicine Central DuPage Hospital,REPAIR TONGUE LACERATION; 2.5CM OR LESS,$856.75,,
Northwestern Medicine Central DuPage Hospital,DRUG ADMIN & HEMODYNMIC MEAS,$855.75,,
Northwestern Medicine Central DuPage Hospital,SHRINKER BELOW KNEE,$854.50,,
Northwestern Medicine Central DuPage Hospital,INJECTION FOR SHOULDER X-RAY,$854.00,,
Northwestern Medicine Central DuPage Hospital,"PROLONGED IV INF, REQ PUMP",$853.50,,
Northwestern Medicine Central DuPage Hospital,X-RAY EXAM SERIES ABDOMEN,$851.00,,
Northwestern Medicine Central DuPage Hospital,HLA I TYPING LOW RES COMP,$850.25,,
Northwestern Medicine Central DuPage Hospital,US EXAM CHEST,$850.00,,
Northwestern Medicine Central DuPage Hospital,MEDICAL NUTRITION INDIV IN,$85.75,,
